context,perturbation_key,dose_key,n_cells,task_key,eligible,selection_inputs,target_perturbed_expression_used_for_selection
A549,Givinostat,10000.0,92,A549::Givinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
A549,Hesperadin,10.0,45,A549::Hesperadin::dose=10.0,True,context_label+perturbation_label+cell_count,False
A549,Hesperadin,100.0,40,A549::Hesperadin::dose=100.0,True,context_label+perturbation_label+cell_count,False
A549,Hesperadin,1000.0,30,A549::Hesperadin::dose=1000.0,True,context_label+perturbation_label+cell_count,False
A549,Hesperadin,10000.0,38,A549::Hesperadin::dose=10000.0,True,context_label+perturbation_label+cell_count,False
A549,Quisinostat,10.0,130,A549::Quisinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
A549,Quisinostat,100.0,94,A549::Quisinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
A549,Quisinostat,1000.0,63,A549::Quisinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
A549,Quisinostat,10000.0,76,A549::Quisinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
A549,TAK901,10.0,109,A549::TAK901::dose=10.0,True,context_label+perturbation_label+cell_count,False
A549,TAK901,100.0,57,A549::TAK901::dose=100.0,True,context_label+perturbation_label+cell_count,False
A549,TAK901,1000.0,54,A549::TAK901::dose=1000.0,True,context_label+perturbation_label+cell_count,False
A549,TAK901,10000.0,73,A549::TAK901::dose=10000.0,True,context_label+perturbation_label+cell_count,False
A549,Tanespimycin,10.0,110,A549::Tanespimycin::dose=10.0,True,context_label+perturbation_label+cell_count,False
A549,Tanespimycin,100.0,121,A549::Tanespimycin::dose=100.0,True,context_label+perturbation_label+cell_count,False
A549,Tanespimycin,1000.0,109,A549::Tanespimycin::dose=1000.0,True,context_label+perturbation_label+cell_count,False
A549,Tanespimycin,10000.0,63,A549::Tanespimycin::dose=10000.0,True,context_label+perturbation_label+cell_count,False
K562,Alvespimycin,10.0,209,K562::Alvespimycin::dose=10.0,True,context_label+perturbation_label+cell_count,False
K562,Alvespimycin,100.0,131,K562::Alvespimycin::dose=100.0,True,context_label+perturbation_label+cell_count,False
K562,Alvespimycin,1000.0,115,K562::Alvespimycin::dose=1000.0,True,context_label+perturbation_label+cell_count,False
K562,Alvespimycin,10000.0,109,K562::Alvespimycin::dose=10000.0,True,context_label+perturbation_label+cell_count,False
K562,Belinostat,10.0,231,K562::Belinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
K562,Belinostat,100.0,164,K562::Belinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
K562,Belinostat,1000.0,194,K562::Belinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
K562,Belinostat,10000.0,66,K562::Belinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
K562,Dacinostat,10.0,143,K562::Dacinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
K562,Dacinostat,100.0,105,K562::Dacinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
K562,Dacinostat,1000.0,100,K562::Dacinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
K562,Dacinostat,10000.0,66,K562::Dacinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
K562,Flavopiridol,10.0,189,K562::Flavopiridol::dose=10.0,True,context_label+perturbation_label+cell_count,False
K562,Flavopiridol,100.0,118,K562::Flavopiridol::dose=100.0,True,context_label+perturbation_label+cell_count,False
K562,Flavopiridol,1000.0,18,K562::Flavopiridol::dose=1000.0,False,context_label+perturbation_label+cell_count,False
K562,Flavopiridol,10000.0,11,K562::Flavopiridol::dose=10000.0,False,context_label+perturbation_label+cell_count,False
K562,Givinostat,10.0,216,K562::Givinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
K562,Givinostat,100.0,191,K562::Givinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
K562,Givinostat,1000.0,122,K562::Givinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
K562,Givinostat,10000.0,80,K562::Givinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
K562,Hesperadin,10.0,178,K562::Hesperadin::dose=10.0,True,context_label+perturbation_label+cell_count,False
K562,Hesperadin,100.0,168,K562::Hesperadin::dose=100.0,True,context_label+perturbation_label+cell_count,False
K562,Hesperadin,1000.0,178,K562::Hesperadin::dose=1000.0,True,context_label+perturbation_label+cell_count,False
K562,Hesperadin,10000.0,100,K562::Hesperadin::dose=10000.0,True,context_label+perturbation_label+cell_count,False
K562,Quisinostat,10.0,112,K562::Quisinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
K562,Quisinostat,100.0,103,K562::Quisinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
K562,Quisinostat,1000.0,83,K562::Quisinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
K562,Quisinostat,10000.0,58,K562::Quisinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
K562,TAK901,10.0,210,K562::TAK901::dose=10.0,True,context_label+perturbation_label+cell_count,False
K562,TAK901,100.0,185,K562::TAK901::dose=100.0,True,context_label+perturbation_label+cell_count,False
K562,TAK901,1000.0,113,K562::TAK901::dose=1000.0,True,context_label+perturbation_label+cell_count,False
K562,TAK901,10000.0,88,K562::TAK901::dose=10000.0,True,context_label+perturbation_label+cell_count,False
K562,Tanespimycin,10.0,223,K562::Tanespimycin::dose=10.0,True,context_label+perturbation_label+cell_count,False
K562,Tanespimycin,100.0,179,K562::Tanespimycin::dose=100.0,True,context_label+perturbation_label+cell_count,False
K562,Tanespimycin,1000.0,137,K562::Tanespimycin::dose=1000.0,True,context_label+perturbation_label+cell_count,False
K562,Tanespimycin,10000.0,89,K562::Tanespimycin::dose=10000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Alvespimycin,10.0,237,MCF7::Alvespimycin::dose=10.0,True,context_label+perturbation_label+cell_count,False
MCF7,Alvespimycin,100.0,87,MCF7::Alvespimycin::dose=100.0,True,context_label+perturbation_label+cell_count,False
MCF7,Alvespimycin,1000.0,71,MCF7::Alvespimycin::dose=1000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Alvespimycin,10000.0,5,MCF7::Alvespimycin::dose=10000.0,False,context_label+perturbation_label+cell_count,False
MCF7,Belinostat,10.0,333,MCF7::Belinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
MCF7,Belinostat,100.0,325,MCF7::Belinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
MCF7,Belinostat,1000.0,259,MCF7::Belinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Belinostat,10000.0,260,MCF7::Belinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Dacinostat,10.0,384,MCF7::Dacinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
MCF7,Dacinostat,100.0,249,MCF7::Dacinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
MCF7,Dacinostat,1000.0,231,MCF7::Dacinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Dacinostat,10000.0,243,MCF7::Dacinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Flavopiridol,10.0,236,MCF7::Flavopiridol::dose=10.0,True,context_label+perturbation_label+cell_count,False
MCF7,Flavopiridol,100.0,121,MCF7::Flavopiridol::dose=100.0,True,context_label+perturbation_label+cell_count,False
MCF7,Flavopiridol,1000.0,7,MCF7::Flavopiridol::dose=1000.0,False,context_label+perturbation_label+cell_count,False
MCF7,Flavopiridol,10000.0,3,MCF7::Flavopiridol::dose=10000.0,False,context_label+perturbation_label+cell_count,False
MCF7,Givinostat,10.0,380,MCF7::Givinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
MCF7,Givinostat,100.0,360,MCF7::Givinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
MCF7,Givinostat,1000.0,284,MCF7::Givinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Givinostat,10000.0,319,MCF7::Givinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Hesperadin,10.0,231,MCF7::Hesperadin::dose=10.0,True,context_label+perturbation_label+cell_count,False
MCF7,Hesperadin,100.0,128,MCF7::Hesperadin::dose=100.0,True,context_label+perturbation_label+cell_count,False
MCF7,Hesperadin,1000.0,132,MCF7::Hesperadin::dose=1000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Hesperadin,10000.0,126,MCF7::Hesperadin::dose=10000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Quisinostat,10.0,237,MCF7::Quisinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
MCF7,Quisinostat,100.0,248,MCF7::Quisinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
MCF7,Quisinostat,1000.0,236,MCF7::Quisinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Quisinostat,10000.0,216,MCF7::Quisinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
MCF7,TAK901,10.0,278,MCF7::TAK901::dose=10.0,True,context_label+perturbation_label+cell_count,False
MCF7,TAK901,100.0,250,MCF7::TAK901::dose=100.0,True,context_label+perturbation_label+cell_count,False
MCF7,TAK901,1000.0,193,MCF7::TAK901::dose=1000.0,True,context_label+perturbation_label+cell_count,False
MCF7,TAK901,10000.0,71,MCF7::TAK901::dose=10000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Tanespimycin,10.0,251,MCF7::Tanespimycin::dose=10.0,True,context_label+perturbation_label+cell_count,False
MCF7,Tanespimycin,100.0,114,MCF7::Tanespimycin::dose=100.0,True,context_label+perturbation_label+cell_count,False
MCF7,Tanespimycin,1000.0,68,MCF7::Tanespimycin::dose=1000.0,True,context_label+perturbation_label+cell_count,False
MCF7,Tanespimycin,10000.0,91,MCF7::Tanespimycin::dose=10000.0,True,context_label+perturbation_label+cell_count,False
