condition,perturbation_genes,n_perturbation_genes,n_cells_obs_metadata,is_single_gene_plus_ctrl,all_perturbation_genes_in_scgpt_embedding,all_perturbation_genes_in_expression_var_metadata,was_P1_test,was_P2_test,eligible_new_test_before_sha,selection_sha256,contains_any_P3P4_heldout_gene,P3_split,P4_split,new_test_SHA_assignment
CBFA2T3+PRDM1,CBFA2T3;PRDM1,2,106,False,True,True,False,False,False,,False,train,train,
CBFA2T3+ctrl,CBFA2T3,1,658,True,True,True,False,True,False,,False,val,val,
CBL+CNN1,CBL;CNN1,2,348,False,True,True,False,False,False,,True,excluded,excluded,
CBL+PTPN12,CBL;PTPN12,2,335,False,True,True,False,False,False,,True,excluded,excluded,
CBL+PTPN9,CBL;PTPN9,2,306,False,True,True,False,False,False,,True,excluded,excluded,
CBL+TGFBR2,CBL;TGFBR2,2,188,False,True,True,False,False,False,,True,excluded,excluded,
CBL+UBASH3A,CBL;UBASH3A,2,64,False,True,True,False,False,False,,True,excluded,excluded,
CBL+UBASH3B,CBL;UBASH3B,2,410,False,True,True,False,False,False,,True,excluded,excluded,
CBL+ctrl,CBL,1,663,True,True,True,False,False,True,1bb75668f44de86b17e624babe341fc6ba90379ebf829b7808ca9097a44bc4fc,True,test,excluded,Norman_P3_test
CDKN1A+CDKN1B,CDKN1A;CDKN1B,2,134,False,True,True,False,False,False,,True,excluded,excluded,
CDKN1A+CDKN1C,CDKN1A;CDKN1C,2,126,False,True,True,False,False,False,,True,excluded,excluded,
CDKN1A+ctrl,CDKN1A,1,360,True,True,True,False,False,True,39c927f4ebb4e5ff58852f5ae7a73003a9c34573bdbefe5f562907692e5237ba,True,test,excluded,Norman_P3_test
CDKN1B+CDKN1C,CDKN1B;CDKN1C,2,107,False,True,True,False,False,False,,True,excluded,excluded,
CDKN1B+ctrl,CDKN1B,1,550,True,True,True,False,False,True,dc9523158f58044e0b019b9ac8d95486ab4ba8897f596af93d75bd17a140eddd,True,excluded,test,Norman_P4_test
CDKN1C+ctrl,CDKN1C,1,230,True,True,True,False,True,False,,False,train,train,
CEBPA+CEBPB,CEBPA;CEBPB,2,64,False,True,True,False,False,False,,False,train,train,
CEBPA+CEBPE,CEBPA;CEBPE,2,180,False,True,True,False,False,False,,True,excluded,excluded,
CEBPA+JUN,CEBPA;JUN,2,54,False,True,True,False,False,False,,False,train,train,
CEBPA+KLF1,CEBPA;KLF1,2,311,False,True,True,False,False,False,,True,excluded,excluded,
CEBPA+ZC3HAV1,CEBPA;ZC3HAV1,2,86,False,True,True,False,False,False,,False,val,val,
CEBPA+ctrl,CEBPA,1,460,True,True,True,False,True,False,,False,train,train,
CEBPB+CEBPE,CEBPB;CEBPE,2,114,False,True,True,False,False,False,,True,excluded,excluded,
CEBPB+FOSB,CEBPB;FOSB,2,71,False,True,True,False,False,False,,False,train,train,
CEBPB+JUN,CEBPB;JUN,2,59,False,True,True,False,False,False,,False,val,val,
CEBPB+LYL1,CEBPB;LYL1,2,192,False,True,True,False,False,False,,True,excluded,excluded,
CEBPB+MAPK1,CEBPB;MAPK1,2,412,False,True,True,False,False,False,,False,val,val,
CEBPB+OSR2,CEBPB;OSR2,2,211,False,True,True,False,False,False,,False,train,train,
CEBPB+PTPN12,CEBPB;PTPN12,2,331,False,True,True,False,False,False,,False,train,train,
CEBPB+ctrl,CEBPB,1,488,True,True,True,False,True,False,,False,train,train,
CEBPE+CNN1,CEBPE;CNN1,2,237,False,True,True,False,False,False,,True,excluded,excluded,
CEBPE+ETS2,CEBPE;ETS2,2,354,False,True,True,False,False,False,,True,excluded,excluded,
CEBPE+FOSB,CEBPE;FOSB,2,151,False,True,True,False,False,False,,True,excluded,excluded,
CEBPE+KLF1,CEBPE;KLF1,2,468,False,True,True,False,False,False,,True,excluded,excluded,
CEBPE+PTPN12,CEBPE;PTPN12,2,415,False,True,True,False,False,False,,True,excluded,excluded,
CEBPE+RUNX1T1,CEBPE;RUNX1T1,2,1219,False,True,True,False,False,False,,True,excluded,excluded,
CEBPE+SET,CEBPE;SET,2,658,False,True,True,False,False,False,,True,excluded,excluded,
CEBPE+SPI1,CEBPE;SPI1,2,179,False,True,True,False,False,False,,True,excluded,excluded,
CEBPE+ZC3HAV1,CEBPE;ZC3HAV1,2,410,False,True,True,False,False,False,,True,excluded,excluded,
CEBPE+ctrl,CEBPE,1,1233,True,True,True,False,False,True,0f0da80cdc66d53b40ea4d58e74003777048a777833c353f7e2e0d819c93a38d,True,test,excluded,Norman_P3_test
CELF2+ctrl,CELF2,1,475,True,True,True,False,True,False,,False,val,val,
CITED1+ctrl,CITED1,1,215,True,True,True,False,False,True,3357b6b24282fec910c5315a04daab8d268d7d8520c2d528e4e5b63903ee59f8,True,test,excluded,Norman_P3_test
CKS1B+ctrl,CKS1B,1,241,True,True,True,True,False,False,,False,train,train,
CLDN6+KLF1,CLDN6;KLF1,2,237,False,True,True,False,False,False,,True,excluded,excluded,
CLDN6+ctrl,CLDN6,1,670,True,True,True,True,False,False,,False,train,train,
CNN1+ETS2,CNN1;ETS2,2,905,False,True,True,False,False,False,,True,excluded,excluded,
CNN1+MAPK1,CNN1;MAPK1,2,398,False,True,True,False,False,False,,True,excluded,excluded,
CNN1+UBASH3A,CNN1;UBASH3A,2,178,False,True,True,False,False,False,,True,excluded,excluded,
CNN1+UBASH3B,CNN1;UBASH3B,2,402,False,True,True,False,False,False,,True,excluded,excluded,
CNN1+ctrl,CNN1,1,765,True,True,True,False,False,True,33aeb17fb2b920d373fc3d8ea7448f7436c53dab0e12dfe150d1cd94cb4a90a6,True,test,excluded,Norman_P3_test
CNNM4+ctrl,CNNM4,1,470,True,True,True,False,False,True,502ad76a6a41df0ef41ddfd02ee63296f5d11f794510bc8518f35759da5b89a3,True,test,excluded,Norman_P3_test
COL1A1+ctrl,COL1A1,1,328,True,True,True,False,True,False,,False,train,train,
COL2A1+KLF1,COL2A1;KLF1,2,298,False,True,True,False,False,False,,True,excluded,excluded,
COL2A1+ctrl,COL2A1,1,598,True,True,True,False,True,False,,False,train,train,
CSRNP1+ctrl,CSRNP1,1,478,True,True,True,False,True,False,,False,train,train,
DLX2+SNAI1,DLX2;SNAI1,2,131,False,True,True,False,False,False,,False,train,train,
DLX2+ZBTB10,DLX2;ZBTB10,2,89,False,True,True,False,False,False,,False,train,train,
DLX2+ctrl,DLX2,1,732,True,True,True,False,True,False,,False,val,val,
DUSP9+ETS2,DUSP9;ETS2,2,787,False,True,True,False,False,False,,True,excluded,excluded,
DUSP9+IGDCC3,DUSP9;IGDCC3,2,382,False,True,True,False,False,False,,True,excluded,excluded,
DUSP9+KLF1,DUSP9;KLF1,2,366,False,True,True,False,False,False,,True,excluded,excluded,
DUSP9+MAPK1,DUSP9;MAPK1,2,290,False,True,True,False,False,False,,True,excluded,excluded,
DUSP9+PRTG,DUSP9;PRTG,2,297,False,True,True,False,False,False,,True,excluded,excluded,
DUSP9+SNAI1,DUSP9;SNAI1,2,183,False,True,True,False,False,False,,True,excluded,excluded,
DUSP9+ctrl,DUSP9,1,731,True,True,True,False,False,True,2843c9d67ccdf84c5f036bf79d3bf94d8f07d3bfaa37fa461b9db6b041284b41,True,test,excluded,Norman_P3_test
EGR1+ctrl,EGR1,1,322,True,True,True,False,False,True,2798005d33d4a325b4efdc2c252c95b3ed69d72b913d8253721120f49f12420b,True,test,excluded,Norman_P3_test
ELMSAN1+LHX1,ELMSAN1;LHX1,2,647,False,False,True,False,False,False,,True,excluded,excluded,
ELMSAN1+MAP2K3,ELMSAN1;MAP2K3,2,581,False,False,True,False,False,False,,True,excluded,excluded,
ELMSAN1+MAP2K6,ELMSAN1;MAP2K6,2,451,False,False,True,False,False,False,,False,excluded,excluded,
ELMSAN1+ZBTB10,ELMSAN1;ZBTB10,2,182,False,False,True,False,False,False,,False,excluded,excluded,
ELMSAN1+ctrl,ELMSAN1,1,937,True,False,True,False,False,False,,False,excluded,excluded,
ETS2+IGDCC3,ETS2;IGDCC3,2,441,False,True,True,False,False,False,,True,excluded,excluded,
ETS2+IKZF3,ETS2;IKZF3,2,445,False,True,True,False,False,False,,True,excluded,excluded,
ETS2+MAP7D1,ETS2;MAP7D1,2,324,False,True,True,False,False,False,,True,excluded,excluded,
ETS2+MAPK1,ETS2;MAPK1,2,459,False,True,True,False,False,False,,True,excluded,excluded,
ETS2+PRTG,ETS2;PRTG,2,445,False,True,True,False,False,False,,True,excluded,excluded,
ETS2+TGFBR2,ETS2;TGFBR2,2,318,False,True,True,False,False,False,,True,excluded,excluded,
ETS2+ctrl,ETS2,1,1201,True,True,True,False,False,True,ed7295dffe2b26418325833c307e0ad7ac0afbcd58842a2e1b52c725763b2231,True,excluded,test,Norman_P4_test
FEV+ISL2,FEV;ISL2,2,284,False,True,True,False,False,False,,True,excluded,excluded,
FEV+MAP7D1,FEV;MAP7D1,2,277,False,True,True,False,False,False,,True,excluded,excluded,
FEV+ctrl,FEV,1,704,True,True,True,True,False,False,,False,train,train,
FOSB+IKZF3,FOSB;IKZF3,2,247,False,True,True,False,False,False,,False,train,train,
FOSB+OSR2,FOSB;OSR2,2,382,False,True,True,False,False,False,,False,val,val,
FOSB+PTPN12,FOSB;PTPN12,2,345,False,True,True,False,False,False,,False,val,val,
FOSB+UBASH3B,FOSB;UBASH3B,2,426,False,True,True,False,False,False,,True,excluded,excluded,
FOSB+ctrl,FOSB,1,630,True,True,True,True,False,False,,False,train,train,
FOXA1+FOXA3,FOXA1;FOXA3,2,216,False,True,True,False,False,False,,False,val,val,
FOXA1+FOXF1,FOXA1;FOXF1,2,272,False,True,True,False,False,False,,True,excluded,excluded,
FOXA1+FOXL2,FOXA1;FOXL2,2,192,False,True,True,False,False,False,,True,excluded,excluded,
FOXA1+HOXB9,FOXA1;HOXB9,2,295,False,True,True,False,False,False,,True,excluded,excluded,
FOXA1+KLF1,FOXA1;KLF1,2,361,False,True,True,False,False,False,,True,excluded,excluded,
FOXA1+ctrl,FOXA1,1,851,True,True,True,True,False,False,,False,train,train,
FOXA3+FOXF1,FOXA3;FOXF1,2,175,False,True,True,False,False,False,,True,excluded,excluded,
FOXA3+FOXL2,FOXA3;FOXL2,2,130,False,True,True,False,False,False,,True,excluded,excluded,
FOXA3+HOXB9,FOXA3;HOXB9,2,329,False,True,True,False,False,False,,True,excluded,excluded,
FOXA3+ctrl,FOXA3,1,494,True,True,True,True,False,False,,False,train,train,
FOXF1+FOXL2,FOXF1;FOXL2,2,192,False,True,True,False,False,False,,True,excluded,excluded,
FOXF1+HOXB9,FOXF1;HOXB9,2,200,False,True,True,False,False,False,,True,excluded,excluded,
FOXF1+ctrl,FOXF1,1,874,True,True,True,False,False,True,0c10b5bbfe76a02feceb66aea4d373c9dcb850ce736ff87ef4b4e4c9c2fcbe17,True,test,excluded,Norman_P3_test
FOXL2+HOXB9,FOXL2;HOXB9,2,96,False,True,True,False,False,False,,True,excluded,excluded,
FOXL2+MEIS1,FOXL2;MEIS1,2,193,False,True,True,False,False,False,,True,excluded,excluded,
FOXL2+POU3F2,FOXL2;POU3F2,2,309,False,True,True,False,False,False,,True,excluded,excluded,
FOXL2+ZNF318,FOXL2;ZNF318,2,246,False,True,True,False,False,False,,True,excluded,excluded,
FOXL2+ctrl,FOXL2,1,652,True,True,True,False,False,True,956d6f6906d139896ac3334463aac2dfa8c2f57def3b88f3ca88a999eb10a556,True,excluded,test,Norman_P4_test
FOXO4+ctrl,FOXO4,1,215,True,True,True,False,False,True,0f226d440ccf933ba40c0ae07816519323566a064083bbece4f4d4e7ee557b7c,True,test,excluded,Norman_P3_test
GLB1L2+ctrl,GLB1L2,1,463,True,True,True,False,False,True,9aceec3cea893c8653a3d183f5b22d21ac939e31cde7db4417ff1e1d3e0601fa,True,excluded,test,Norman_P4_test
HES7+ctrl,HES7,1,126,True,True,True,False,False,False,,False,train,train,
HK2+ctrl,HK2,1,303,True,True,True,False,True,False,,False,train,train,
HNF4A+ctrl,HNF4A,1,237,True,True,True,False,False,True,b8242f95c878f0407d7f91614223c206a275dd08b728f1c1ec5404809c93b3ea,True,excluded,test,Norman_P4_test
HOXA13+ctrl,HOXA13,1,274,True,True,True,False,True,False,,False,train,train,
HOXB9+ctrl,HOXB9,1,701,True,True,True,False,False,True,29983bb5621a3eecf2f7862a56047f64e922e0ff50acbebbbf6938ecd052ccfd,True,test,excluded,Norman_P3_test
HOXC13+ZC3HAV1,HOXC13;ZC3HAV1,2,618,False,True,True,False,False,False,,True,excluded,excluded,
HOXC13+ctrl,HOXC13,1,385,True,True,True,False,False,True,6425cc23b39786b10992050e2e1f1187529174a4d4de7e7f3667f8512a742e7b,True,test,excluded,Norman_P3_test
IER5L+LYL1,IER5L;LYL1,2,623,False,True,True,False,False,False,,True,excluded,excluded,
IER5L+ctrl,IER5L,1,405,True,True,True,True,False,False,,False,val,val,
IGDCC3+MAPK1,IGDCC3;MAPK1,2,368,False,True,True,False,False,False,,False,train,train,
IGDCC3+PRTG,IGDCC3;PRTG,2,140,False,True,True,False,False,False,,True,excluded,excluded,
IGDCC3+TGFBR2,IGDCC3;TGFBR2,2,301,False,True,True,False,False,False,,True,excluded,excluded,
IGDCC3+ZBTB25,IGDCC3;ZBTB25,2,141,False,True,True,False,False,False,,True,excluded,excluded,
IGDCC3+ctrl,IGDCC3,1,613,True,True,True,True,False,False,,False,train,train,
IKZF3+MAP2K3,IKZF3;MAP2K3,2,261,False,True,True,False,False,False,,True,excluded,excluded,
IKZF3+MAP2K6,IKZF3;MAP2K6,2,300,False,True,True,False,False,False,,False,val,val,
IKZF3+MAPK1,IKZF3;MAPK1,2,302,False,True,True,False,False,False,,False,train,train,
IKZF3+ctrl,IKZF3,1,681,True,True,True,True,False,False,,False,train,train,
IRF1+SET,IRF1;SET,2,444,False,True,True,False,False,False,,True,excluded,excluded,
IRF1+ctrl,IRF1,1,427,True,True,True,False,False,True,587ec07ecb06f0eed84143a90491de84ab017a06d88815fd27d9d38748a02cb9,True,test,excluded,Norman_P3_test
ISL2+ctrl,ISL2,1,582,True,True,True,False,False,True,99f1022a73e2f4bcab6b0da3d340c28324472282c68383bcda9962ceec3514c1,True,excluded,test,Norman_P4_test
JUN+ctrl,JUN,1,266,True,True,True,True,False,False,,False,train,train,
KIAA1804+ctrl,KIAA1804,1,278,True,False,False,False,False,False,,False,excluded,excluded,
KIF18B+KIF2C,KIF18B;KIF2C,2,96,False,True,True,False,False,False,,True,excluded,excluded,
KIF18B+ctrl,KIF18B,1,254,True,True,True,False,False,True,d8b78c4c55bb7bfb0bec4744b1787f8ffc96e627c7239bec09450357e0be045d,True,excluded,test,Norman_P4_test
KIF2C+ctrl,KIF2C,1,634,True,True,True,False,False,True,0e2e909c6d32d3c5c6c06da6c205384332a89ee1fcdb5d1216e85101b080af50,True,test,excluded,Norman_P3_test
KLF1+MAP2K6,KLF1;MAP2K6,2,263,False,True,True,False,False,False,,True,excluded,excluded,
KLF1+SET,KLF1;SET,2,667,False,True,True,False,False,False,,True,excluded,excluded,
KLF1+TGFBR2,KLF1;TGFBR2,2,337,False,True,True,False,False,False,,True,excluded,excluded,
KLF1+ctrl,KLF1,1,1960,True,True,True,False,False,True,b066355b14a67ddb8fe64d197e7956016705596104dd4f2f3245e0bdde71870b,True,excluded,test,Norman_P4_test
KMT2A+ctrl,KMT2A,1,241,True,True,True,False,False,True,33bbb0d6bc33338a6e295841cddc365de4ff58a49b0ad9bcbd2eb82695bc3b01,True,test,excluded,Norman_P3_test
LHX1+ctrl,LHX1,1,375,True,True,True,False,False,True,48807c968d4ee21a3a02e0ca2bd53cadce60fd4750338d5db1f763387bf23bb5,True,test,excluded,Norman_P3_test
LYL1+ctrl,LYL1,1,432,True,True,True,False,False,True,7503bcf7d537ae06676ba35b4f7c9665ffa40656bc771bda6e9344a6bfddcf66,True,excluded,test,Norman_P4_test
MAML2+ctrl,MAML2,1,626,True,True,True,False,False,True,df72f0f85116d74aa4feccd9ec29eaf7c0d358c096b63f533594918b08b8935a,True,excluded,test,Norman_P4_test
MAP2K3+MAP2K6,MAP2K3;MAP2K6,2,571,False,True,True,False,False,False,,True,excluded,excluded,
MAP2K3+SLC38A2,MAP2K3;SLC38A2,2,338,False,True,True,False,False,False,,True,excluded,excluded,
MAP2K3+ctrl,MAP2K3,1,579,True,True,True,False,False,True,60e494db9faa5af886e14bcf5308e5a9e4d8d208aeccef0a1751624510750275,True,test,excluded,Norman_P3_test
MAP2K6+SPI1,MAP2K6;SPI1,2,302,False,True,True,False,False,False,,False,train,train,
MAP2K6+ctrl,MAP2K6,1,878,True,True,True,False,False,True,fe0ec43f4873fd2e100d438dd5300898c7347ee4388c0cdf48bff92f622de811,False,val,val,reserve_not_tested
MAP4K3+ctrl,MAP4K3,1,363,True,True,True,False,False,True,e522873eb747981d911271321d54600f9476a089ba567f3ae3f5140a59874002,True,excluded,test,Norman_P4_test
MAP4K5+ctrl,MAP4K5,1,366,True,True,True,False,False,True,a906fb12f8be385b5bc86f3b84e248f834718d0789a75055595b2b0ebb7e4455,True,excluded,test,Norman_P4_test
MAP7D1+ctrl,MAP7D1,1,751,True,True,True,False,False,True,fc4c4dab17578ca3ae549d5aa2c0bab58afb1d39710399bd47b02a1dc9ccecd4,True,excluded,test,Norman_P4_test
MAPK1+PRTG,MAPK1;PRTG,2,500,False,True,True,False,False,False,,True,excluded,excluded,
MAPK1+TGFBR2,MAPK1;TGFBR2,2,497,False,True,True,False,False,False,,True,excluded,excluded,
MAPK1+ctrl,MAPK1,1,765,True,True,True,True,False,False,,False,train,train,
MEIS1+ctrl,MEIS1,1,776,True,True,True,True,False,False,,False,train,train,
MIDN+ctrl,MIDN,1,298,True,True,True,True,False,False,,False,val,val,
NCL+ctrl,NCL,1,237,True,True,True,False,True,False,,False,train,train,
NIT1+ctrl,NIT1,1,192,True,True,True,False,False,False,,False,train,train,
OSR2+PTPN12,OSR2;PTPN12,2,339,False,True,True,False,False,False,,False,val,val,
OSR2+UBASH3B,OSR2;UBASH3B,2,796,False,True,True,False,False,False,,True,excluded,excluded,
OSR2+ctrl,OSR2,1,1003,True,True,True,True,False,False,,False,train,train,
PLK4+STIL,PLK4;STIL,2,81,False,True,True,False,False,False,,False,train,train,
PLK4+ctrl,PLK4,1,113,True,True,True,False,False,False,,False,val,val,
POU3F2+ctrl,POU3F2,1,359,True,True,True,True,False,False,,False,train,train,
PRDM1+ctrl,PRDM1,1,297,True,True,True,True,False,False,,False,train,train,
PRTG+TGFBR2,PRTG;TGFBR2,2,265,False,True,True,False,False,False,,True,excluded,excluded,
PRTG+ctrl,PRTG,1,685,True,True,True,False,False,True,9ec52c288079bd5a46c9f53166f557edaf36f4b328f7355aaecaaaa4ab980c08,True,excluded,test,Norman_P4_test
PTPN1+ctrl,PTPN1,1,419,True,True,True,False,False,True,b4ce5dd3e0ac71bbddd4075e55f2c62eba45af534830939ff29e91bdcccef162,True,excluded,test,Norman_P4_test
PTPN12+PTPN9,PTPN12;PTPN9,2,364,False,True,True,False,False,False,,True,excluded,excluded,
PTPN12+SAMD1,PTPN12;SAMD1,2,351,False,True,True,False,False,False,,False,train,train,
PTPN12+SNAI1,PTPN12;SNAI1,2,283,False,True,True,False,False,False,,False,train,train,
PTPN12+UBASH3A,PTPN12;UBASH3A,2,311,False,True,True,False,False,False,,True,excluded,excluded,
PTPN12+UBASH3B,PTPN12;UBASH3B,2,298,False,True,True,False,False,False,,True,excluded,excluded,
PTPN12+ZBTB10,PTPN12;ZBTB10,2,265,False,True,True,False,False,False,,False,val,val,
PTPN12+ZBTB25,PTPN12;ZBTB25,2,303,False,True,True,False,False,False,,True,excluded,excluded,
PTPN12+ctrl,PTPN12,1,445,True,True,True,True,False,False,,False,train,train,
PTPN13+ctrl,PTPN13,1,270,True,True,True,True,False,False,,False,train,train,
PTPN9+UBASH3B,PTPN9;UBASH3B,2,325,False,True,True,False,False,False,,True,excluded,excluded,
PTPN9+ctrl,PTPN9,1,445,True,True,True,False,False,True,3a5dabdcabba9b4555901d59ba1d3e572e8a89e666960353e52905b163b866be,True,test,excluded,Norman_P3_test
RHOXF2+SET,RHOXF2;SET,2,321,False,True,True,False,False,False,,True,excluded,excluded,
RHOXF2+ZBTB25,RHOXF2;ZBTB25,2,263,False,True,True,False,False,False,,True,excluded,excluded,
RHOXF2+ctrl,RHOXF2,1,328,True,True,True,False,False,True,3a0ec3d794a50822f2546768eaf092f51f7a4c08e7c462af9cfb58d430762706,True,test,excluded,Norman_P3_test
RREB1+ctrl,RREB1,1,331,True,True,True,False,True,False,,False,val,val,
RUNX1T1+ctrl,RUNX1T1,1,779,True,True,True,False,False,True,6633e82096d144aaf6852ceb0d41f9bef729ee628369be4ab10cd4fd5811b98b,True,excluded,test,Norman_P4_test
S1PR2+SGK1,S1PR2;SGK1,2,358,False,True,True,False,False,False,,False,train,train,
S1PR2+ctrl,S1PR2,1,541,True,True,True,True,False,False,,False,train,train,
SAMD1+TGFBR2,SAMD1;TGFBR2,2,72,False,True,True,False,False,False,,True,excluded,excluded,
SAMD1+UBASH3B,SAMD1;UBASH3B,2,240,False,True,True,False,False,False,,True,excluded,excluded,
SAMD1+ZBTB1,SAMD1;ZBTB1,2,191,False,True,True,False,False,False,,True,excluded,excluded,
SAMD1+ctrl,SAMD1,1,498,True,True,True,False,True,False,,False,train,train,
SET+ctrl,SET,1,986,True,True,True,False,False,True,1f396a21a9510611e62f1316b02d705aaeee99cfb1a870111d82d0603e61fb6a,True,test,excluded,Norman_P3_test
SGK1+TBX2,SGK1;TBX2,2,349,False,True,True,False,False,False,,True,excluded,excluded,
SGK1+TBX3,SGK1;TBX3,2,300,False,True,True,False,False,False,,False,train,train,
SGK1+ctrl,SGK1,1,483,True,True,True,False,True,False,,False,val,val,
SLC38A2+ctrl,SLC38A2,1,332,True,True,True,False,True,False,,False,train,train,
SLC4A1+ctrl,SLC4A1,1,1000,True,True,True,False,True,False,,False,val,val,
SLC6A9+ctrl,SLC6A9,1,558,True,True,True,False,True,False,,False,train,train,
SNAI1+UBASH3B,SNAI1;UBASH3B,2,299,False,True,True,False,False,False,,True,excluded,excluded,
SNAI1+ZBTB10,SNAI1;ZBTB10,2,100,False,True,True,False,False,False,,False,train,train,
SNAI1+ctrl,SNAI1,1,467,True,True,True,True,False,False,,False,train,train,
SPI1+ctrl,SPI1,1,613,True,True,True,True,False,False,,False,val,val,
STIL+ctrl,STIL,1,309,True,True,True,True,False,False,,False,train,train,
TBX2+TBX3,TBX2;TBX3,2,1167,False,True,True,False,False,False,,True,excluded,excluded,
TBX2+ctrl,TBX2,1,690,True,True,True,False,False,True,97854b8eab4bb95a9411e81d294bed142fe3da58b31fa6b02850edb612710c17,True,excluded,test,Norman_P4_test
TBX3+ctrl,TBX3,1,691,True,True,True,False,True,False,,False,train,train,
TGFBR2+ctrl,TGFBR2,1,646,True,True,True,False,False,True,4c696aebf0ad2b18e64164f4ff2c3354614469d9990ebb38a96ebbb1757c0e32,True,test,excluded,Norman_P3_test
TMSB4X+ctrl,TMSB4X,1,543,True,True,True,False,False,True,afdc61427a11f1a1c40990a720f8d971304b9554956f7b4d52f091a0b7016ace,True,excluded,test,Norman_P4_test
TP73+ctrl,TP73,1,248,True,True,True,False,True,False,,False,train,train,
TSC22D1+ctrl,TSC22D1,1,441,True,True,True,True,False,False,,False,train,train,
UBASH3A+UBASH3B,UBASH3A;UBASH3B,2,554,False,True,True,False,False,False,,True,excluded,excluded,
UBASH3A+ctrl,UBASH3A,1,819,True,True,True,False,False,True,c186721845ab1fd06b7437baaff672e45d83ea39bf42b62fd8119896b4757d85,True,excluded,test,Norman_P4_test
UBASH3B+ZBTB25,UBASH3B;ZBTB25,2,255,False,True,True,False,False,False,,True,excluded,excluded,
UBASH3B+ctrl,UBASH3B,1,1202,True,True,True,False,False,True,d72b68e5789c5a1f3f73acb78f57fe9279d86d29e877d581c378e8605f44fc78,True,excluded,test,Norman_P4_test
ZBTB1+ctrl,ZBTB1,1,693,True,True,True,False,False,True,f67f5e44134a95bcce7007263fddf76cf00aa5e850bc5cb33fd50cfd71cc5a15,True,excluded,test,Norman_P4_test
ZBTB10+ctrl,ZBTB10,1,162,True,True,True,False,False,False,,False,train,train,
ZBTB25+ctrl,ZBTB25,1,740,True,True,True,False,False,True,128c61fb16b6adbf067eef1ae149791171c2a8158be526a6ad0f03c196b00326,True,test,excluded,Norman_P3_test
ZC3HAV1+ctrl,ZC3HAV1,1,516,True,True,True,False,True,False,,False,train,train,
ZNF318+ctrl,ZNF318,1,650,True,True,True,False,False,True,344b9987453656f4d60606e2b8a768d7a14013eb1907a39efc7aa1ecc4a1ed15,True,test,excluded,Norman_P3_test
ctrl,,0,11855,False,True,True,False,False,False,,False,train,train,
