context,n_perturbations,n_task_cells,median_cells_per_pair,n_multi_dose_pairs,n_multi_time_pairs,test_score_rows
RMUGS,8,291,37.0,0,0,16.0
S117,8,218,29.5,0,0,16.0
SKNSH,8,396,46.5,0,0,16.0
HCC1806,8,310,33.5,0,0,16.0
HCC827,8,216,26.0,0,0,16.0
HCT116,8,593,54.5,0,0,16.0
SKNFI,8,333,41.0,0,0,16.0
PATU8988T,8,558,67.5,0,0,16.0
RERFLCAD2,8,125,14.0,0,0,12.0
KP2,8,177,18.5,0,0,16.0
KU1919,8,441,47.5,0,0,16.0
KYSE510,8,641,78.0,0,0,16.0
NIHOVCAR3,8,244,31.5,0,0,16.0
NMCG1,8,395,46.5,0,0,16.0
ONS76,8,462,51.5,0,0,16.0
CW2,8,102,11.5,0,0,16.0
FTC238,8,330,38.0,0,0,16.0
GAMG,8,404,53.5,0,0,16.0
GB1,8,400,45.5,0,0,16.0
GI1,8,297,34.0,0,0,16.0
H4,8,97,14.0,0,0,14.0
OVISE,8,408,50.0,0,0,16.0
NCIN87,8,160,14.5,0,0,16.0
LOXIMVI,8,493,52.5,0,0,16.0
SNU761,8,282,33.5,0,0,16.0
SNU8,8,180,21.0,0,0,16.0
SNU840,8,527,71.0,0,0,16.0
SNUC2A,8,221,26.0,0,0,16.0
COLO829,8,500,66.5,0,0,16.0
CORL23,8,420,40.5,0,0,16.0
BXPC3,8,143,15.0,0,0,16.0
CAL29,8,407,48.5,0,0,16.0
LU99,8,455,48.0,0,0,16.0
NCIH1975,8,264,33.5,0,0,16.0
NCIH2009,8,471,54.5,0,0,16.0
MCAS,8,226,23.5,0,0,16.0
639V,8,397,42.0,0,0,16.0
WM1799,8,433,48.5,0,0,16.0
WM2664,8,162,22.5,0,0,16.0
A549,8,545,70.0,0,0,16.0
22RV1,4,443,87.0,0,1,8.0
769P,4,915,210.5,0,1,8.0
A2780,4,1115,285.0,0,1,8.0
A375,4,651,137.0,0,1,8.0
TE11,4,699,145.5,0,1,8.0
TE6,4,391,86.5,0,1,8.0
GP2D,4,752,155.0,0,1,8.0
DMS273,4,1178,273.5,0,1,8.0
EFM192A,4,394,77.5,0,1,8.0
SNU61,4,189,39.5,0,1,8.0
SNU685,4,459,108.0,0,1,8.0
CAL120,4,501,144.5,0,1,8.0
CAL62,4,1581,356.0,0,1,8.0
CJM,4,310,61.0,0,1,8.0
MALME3M,4,313,51.5,0,1,8.0
MDAMB468,4,605,140.0,0,1,8.0
MIAPACA2,4,739,176.0,0,1,8.0
MSTO211H,4,602,151.5,0,1,8.0
NCIH1693,4,870,196.5,0,1,8.0
NCIH1915,4,530,109.5,0,1,8.0
NCIH2126,4,524,112.5,0,1,8.0
LK2,4,583,124.5,0,1,8.0
LMSU,4,824,193.5,0,1,8.0
LN229,4,588,132.5,0,1,8.0
NCIH23,4,637,137.5,0,1,8.0
NCIH2444,4,543,133.5,0,1,8.0
NCIH522,4,399,89.5,0,1,8.0
NCIH838,4,1042,254.0,0,1,8.0
NCIH841,4,927,199.0,0,1,8.0
NUGC3,4,575,143.0,0,1,8.0
OAW42,4,1397,332.5,0,1,8.0
OSRC2,4,513,117.5,0,1,8.0
PANC0403,4,437,92.0,0,1,8.0
KNS42,4,637,140.0,0,1,8.0
KNS60,4,376,95.5,0,1,8.0
KNS81,4,424,94.0,0,1,8.0
KYSE270,4,659,150.0,0,1,8.0
LI7,4,313,65.5,0,1,8.0
PATU8988S,4,513,100.5,0,1,8.0
PC3,4,617,138.5,0,1,8.0
QGP1,4,250,55.5,0,1,8.0
IGR1,4,813,179.5,0,1,8.0
ISTMES1,4,476,107.0,0,1,8.0
J82,4,1100,244.0,0,1,8.0
JHH5,4,377,79.0,0,1,8.0
JHOM1,4,264,52.0,0,1,8.0
RH30,4,595,149.0,0,1,8.0
SKMEL24,4,460,99.0,0,1,8.0
HEC1B,4,589,150.0,0,1,8.0
HEP3B217,4,196,44.0,0,1,8.0
HS766T,4,291,49.0,0,1,8.0
HS852T,4,286,50.5,0,1,8.0
HUCCT1,4,478,106.5,0,1,8.0
HCC1195,4,288,60.0,0,1,8.0
HCC1419,4,449,89.5,0,1,8.0
SKUT1,4,525,139.0,0,1,8.0
SNU1041,4,418,86.5,0,1,8.0
SNU1214,4,205,47.0,0,1,8.0
SNU245,4,356,72.5,0,1,8.0
G401,4,741,165.5,0,1,8.0
GCIY,4,934,229.0,0,1,8.0
COLO668,4,243,51.0,0,1,8.0
ACCMESO1,4,877,222.0,0,1,8.0
AGS,4,754,156.5,0,1,8.0
BEN,4,534,146.5,0,1,8.0
SW480,4,299,61.5,0,1,8.0
SW579,4,300,66.0,0,1,8.0
SW900,4,330,78.5,0,1,8.0
TUHR4TKB,4,366,87.0,0,1,8.0
UACC257,4,606,131.5,0,1,8.0
42MGBA,4,848,194.0,0,1,8.0
NCIH1048,4,422,89.5,0,1,8.0
NCIH1299,4,1178,264.0,0,1,8.0
NCIH1573,4,341,76.0,0,1,8.0
NCIH1581,4,978,210.5,0,1,8.0
LUDLU1,4,427,85.0,0,1,8.0
NCIH1648,3,3,1.0,0,0,0.0
KMBC2,2,3,1.5,0,0,0.0
