context,perturbation,n_cells,dominant_dose_value,dominant_dose_fraction,n_dose_values,all_dose_values,dominant_time,dominant_time_fraction,n_time_values,all_time_values
769P,Dabrafenib,192,0.1,1.0,1,0.1,24,1.0,1,24
769P,Navitoclax,130,5.0,1.0,1,5.0,24,1.0,1,24
769P,Trametinib,229,0.1,1.0,1,0.1,24,1.0,1,24
786O,AZD5591,103,0.0,1.0,1,0.0,24,1.0,1,24
786O,Afatinib,44,0.5,1.0,1,0.5,24,1.0,1,24
786O,BRD3379,381,0.0,1.0,1,0.0,24,0.5643044619422573,2,24|6
786O,Dabrafenib,262,0.1,1.0,1,0.1,24,1.0,1,24
786O,Everolimus,34,10.0,1.0,1,10.0,24,1.0,1,24
786O,Gemcitabine,27,0.1,1.0,1,0.1,24,1.0,1,24
786O,JQ1,69,2.5,1.0,1,2.5,24,1.0,1,24
786O,Navitoclax,243,5.0,1.0,1,5.0,24,1.0,1,24
786O,Prexasertib,55,1.0,1.0,1,1.0,24,1.0,1,24
786O,Taselisib,42,1.0,1.0,1,1.0,24,1.0,1,24
786O,Trametinib,308,0.1,1.0,1,0.1,24,1.0,1,24
5637,AZD5591,73,0.0,1.0,1,0.0,24,1.0,1,24
5637,Afatinib,36,0.5,1.0,1,0.5,24,1.0,1,24
5637,Everolimus,31,10.0,1.0,1,10.0,24,1.0,1,24
5637,Gemcitabine,23,0.1,1.0,1,0.1,24,1.0,1,24
5637,JQ1,50,2.5,1.0,1,2.5,24,1.0,1,24
5637,Prexasertib,33,1.0,1.0,1,1.0,24,1.0,1,24
5637,Taselisib,17,1.0,1.0,1,1.0,24,1.0,1,24
5637,Trametinib,22,0.1,1.0,1,0.1,24,1.0,1,24
8505C,AZD5591,92,0.0,1.0,1,0.0,24,1.0,1,24
8505C,Afatinib,58,0.5,1.0,1,0.5,24,1.0,1,24
8505C,BRD3379,250,0.0,1.0,1,0.0,6,0.528,2,24|6
8505C,Dabrafenib,154,0.1,1.0,1,0.1,24,1.0,1,24
8505C,Everolimus,38,10.0,1.0,1,10.0,24,1.0,1,24
8505C,Gemcitabine,35,0.1,1.0,1,0.1,24,1.0,1,24
8505C,JQ1,75,2.5,1.0,1,2.5,24,1.0,1,24
8505C,Navitoclax,114,5.0,1.0,1,5.0,24,1.0,1,24
8505C,Prexasertib,35,1.0,1.0,1,1.0,24,1.0,1,24
8505C,Taselisib,33,1.0,1.0,1,1.0,24,1.0,1,24
8505C,Trametinib,154,0.1,1.0,1,0.1,24,1.0,1,24
A375,BRD3379,253,0.0,1.0,1,0.0,24,0.5731225296442688,2,24|6
A375,Dabrafenib,124,0.1,1.0,1,0.1,24,1.0,1,24
A375,Navitoclax,133,5.0,1.0,1,5.0,24,1.0,1,24
A375,Trametinib,141,0.1,1.0,1,0.1,24,1.0,1,24
A549,AZD5591,103,0.0,1.0,1,0.0,24,1.0,1,24
A549,Afatinib,88,0.5,1.0,1,0.5,24,1.0,1,24
A549,Everolimus,52,10.0,1.0,1,10.0,24,1.0,1,24
A549,Gemcitabine,35,0.1,1.0,1,0.1,24,1.0,1,24
A549,JQ1,112,2.5,1.0,1,2.5,24,1.0,1,24
A549,Prexasertib,96,1.0,1.0,1,1.0,24,1.0,1,24
A549,Taselisib,39,1.0,1.0,1,1.0,24,1.0,1,24
A549,Trametinib,20,0.1,1.0,1,0.1,24,1.0,1,24
A2780,BRD3379,334,0.0,1.0,1,0.0,24,0.625748502994012,2,24|6
A2780,Dabrafenib,316,0.1,1.0,1,0.1,24,1.0,1,24
A2780,Navitoclax,254,5.0,1.0,1,5.0,24,1.0,1,24
A2780,Trametinib,211,0.1,1.0,1,0.1,24,1.0,1,24
ACCMESO1,BRD3379,340,0.0,1.0,1,0.0,24,0.5705882352941176,2,24|6
ACCMESO1,Dabrafenib,223,0.1,1.0,1,0.1,24,1.0,1,24
ACCMESO1,Navitoclax,93,5.0,1.0,1,5.0,24,1.0,1,24
ACCMESO1,Trametinib,221,0.1,1.0,1,0.1,24,1.0,1,24
AGS,BRD3379,317,0.0,1.0,1,0.0,24,0.5331230283911672,2,24|6
AGS,Dabrafenib,164,0.1,1.0,1,0.1,24,1.0,1,24
AGS,Navitoclax,124,5.0,1.0,1,5.0,24,1.0,1,24
AGS,Trametinib,149,0.1,1.0,1,0.1,24,1.0,1,24
BEN,BRD3379,182,0.0,1.0,1,0.0,6,0.5934065934065934,2,24|6
BEN,Dabrafenib,111,0.1,1.0,1,0.1,24,1.0,1,24
BEN,Navitoclax,46,5.0,1.0,1,5.0,24,1.0,1,24
BEN,Trametinib,195,0.1,1.0,1,0.1,24,1.0,1,24
BICR6,AZD5591,71,0.0,1.0,1,0.0,24,1.0,1,24
BICR6,Afatinib,24,0.5,1.0,1,0.5,24,1.0,1,24
BICR6,Bortezomib,183,2.5,1.0,1,2.5,6,0.5683060109289617,2,24|6
BICR6,Everolimus,51,10.0,1.0,1,10.0,24,1.0,1,24
BICR6,Gemcitabine,18,0.1,1.0,1,0.1,24,1.0,1,24
BICR6,Idasanutlin,204,2.5,1.0,1,2.5,24,0.5441176470588235,2,24|6
BICR6,JQ1,60,2.5,1.0,1,2.5,24,1.0,1,24
BICR6,Prexasertib,41,1.0,1.0,1,1.0,24,1.0,1,24
BICR6,Taselisib,21,1.0,1.0,1,1.0,24,1.0,1,24
BICR6,Trametinib,950,0.1,1.0,1,0.1,"3, 6, 12, 24, 48",0.7210526315789474,3,"24|3, 6, 12, 24, 48|6"
BICR31,AZD5591,52,0.0,1.0,1,0.0,24,1.0,1,24
BICR31,Afatinib,30,0.5,1.0,1,0.5,24,1.0,1,24
BICR31,Bortezomib,375,2.5,1.0,1,2.5,6,0.5786666666666667,2,24|6
BICR31,Everolimus,51,10.0,1.0,1,10.0,24,1.0,1,24
BICR31,Gemcitabine,19,0.1,1.0,1,0.1,24,1.0,1,24
BICR31,Idasanutlin,529,2.5,1.0,1,2.5,24,0.5236294896030246,2,24|6
BICR31,JQ1,80,2.5,1.0,1,2.5,24,1.0,1,24
BICR31,Prexasertib,53,1.0,1.0,1,1.0,24,1.0,1,24
BICR31,Taselisib,29,1.0,1.0,1,1.0,24,1.0,1,24
BICR31,Trametinib,1378,0.1,1.0,1,0.1,"3, 6, 12, 24, 48",0.5979680696661829,3,"24|3, 6, 12, 24, 48|6"
BT474,AZD5591,33,0.0,1.0,1,0.0,24,1.0,1,24
BT474,Afatinib,8,0.5,1.0,1,0.5,24,1.0,1,24
BT474,Bortezomib,134,2.5,1.0,1,2.5,6,0.6417910447761194,2,24|6
BT474,Everolimus,20,10.0,1.0,1,10.0,24,1.0,1,24
BT474,Gemcitabine,11,0.1,1.0,1,0.1,24,1.0,1,24
BT474,Idasanutlin,144,2.5,1.0,1,2.5,6,0.5069444444444444,2,24|6
BT474,JQ1,33,2.5,1.0,1,2.5,24,1.0,1,24
BT474,Prexasertib,18,1.0,1.0,1,1.0,24,1.0,1,24
BT474,Taselisib,17,1.0,1.0,1,1.0,24,1.0,1,24
BT474,Trametinib,834,0.1,1.0,1,0.1,"3, 6, 12, 24, 48",0.8333333333333334,3,"24|3, 6, 12, 24, 48|6"
BT549,AZD5591,19,0.0,1.0,1,0.0,24,1.0,1,24
BT549,Afatinib,15,0.5,1.0,1,0.5,24,1.0,1,24
BT549,Bortezomib,146,2.5,1.0,1,2.5,6,0.7534246575342466,2,24|6
BT549,Everolimus,18,10.0,1.0,1,10.0,24,1.0,1,24
BT549,Gemcitabine,15,0.1,1.0,1,0.1,24,1.0,1,24
BT549,Idasanutlin,252,2.5,1.0,1,2.5,24,0.5198412698412699,2,24|6
BT549,JQ1,36,2.5,1.0,1,2.5,24,1.0,1,24
BT549,Prexasertib,20,1.0,1.0,1,1.0,24,1.0,1,24
BT549,Taselisib,25,1.0,1.0,1,1.0,24,1.0,1,24
BT549,Trametinib,912,0.1,1.0,1,0.1,"3, 6, 12, 24, 48",0.7214912280701754,3,"24|3, 6, 12, 24, 48|6"
BXPC3,AZD5591,29,0.0,1.0,1,0.0,24,1.0,1,24
BXPC3,Afatinib,14,0.5,1.0,1,0.5,24,1.0,1,24
BXPC3,Everolimus,15,10.0,1.0,1,10.0,24,1.0,1,24
BXPC3,Gemcitabine,11,0.1,1.0,1,0.1,24,1.0,1,24
BXPC3,JQ1,32,2.5,1.0,1,2.5,24,1.0,1,24
BXPC3,Prexasertib,21,1.0,1.0,1,1.0,24,1.0,1,24
BXPC3,Taselisib,15,1.0,1.0,1,1.0,24,1.0,1,24
BXPC3,Trametinib,6,0.1,1.0,1,0.1,24,1.0,1,24
CAL29,AZD5591,91,0.0,1.0,1,0.0,24,1.0,1,24
CAL29,Afatinib,52,0.5,1.0,1,0.5,24,1.0,1,24
CAL29,Everolimus,46,10.0,1.0,1,10.0,24,1.0,1,24
CAL29,Gemcitabine,26,0.1,1.0,1,0.1,24,1.0,1,24
CAL29,JQ1,76,2.5,1.0,1,2.5,24,1.0,1,24
CAL29,Prexasertib,51,1.0,1.0,1,1.0,24,1.0,1,24
CAL29,Taselisib,31,1.0,1.0,1,1.0,24,1.0,1,24
CAL29,Trametinib,34,0.1,1.0,1,0.1,24,1.0,1,24
CAL62,BRD3379,545,0.0,1.0,1,0.0,24,0.5908256880733945,2,24|6
CAL62,Dabrafenib,372,0.1,1.0,1,0.1,24,1.0,1,24
CAL62,Navitoclax,340,5.0,1.0,1,5.0,24,1.0,1,24
CAL62,Trametinib,324,0.1,1.0,1,0.1,24,1.0,1,24
CAL120,BRD3379,204,0.0,1.0,1,0.0,24,0.5,2,24|6
CAL120,Dabrafenib,131,0.1,1.0,1,0.1,24,1.0,1,24
CAL120,Navitoclax,8,5.0,1.0,1,5.0,24,1.0,1,24
CAL120,Trametinib,158,0.1,1.0,1,0.1,24,1.0,1,24
CAOV3,AZD5591,72,0.0,1.0,1,0.0,24,1.0,1,24
CAOV3,Afatinib,39,0.5,1.0,1,0.5,24,1.0,1,24
CAOV3,BRD3379,176,0.0,1.0,1,0.0,24,0.5,2,24|6
CAOV3,Bortezomib,144,2.5,1.0,1,2.5,6,0.9166666666666666,2,24|6
CAOV3,Dabrafenib,77,0.1,1.0,1,0.1,24,1.0,1,24
CAOV3,Everolimus,33,10.0,1.0,1,10.0,24,1.0,1,24
CAOV3,Gemcitabine,19,0.1,1.0,1,0.1,24,1.0,1,24
CAOV3,Idasanutlin,243,2.5,1.0,1,2.5,24,0.5761316872427984,2,24|6
CAOV3,JQ1,73,2.5,1.0,1,2.5,24,1.0,1,24
CAOV3,Navitoclax,62,5.0,1.0,1,5.0,24,1.0,1,24
CAOV3,Prexasertib,36,1.0,1.0,1,1.0,24,1.0,1,24
CAOV3,Taselisib,35,1.0,1.0,1,1.0,24,1.0,1,24
CAOV3,Trametinib,1000,0.1,1.0,1,0.1,"3, 6, 12, 24, 48",0.636,3,"24|3, 6, 12, 24, 48|6"
CCFSTTG1,AZD5591,70,0.0,1.0,1,0.0,24,1.0,1,24
CCFSTTG1,Afatinib,25,0.5,1.0,1,0.5,24,1.0,1,24
CCFSTTG1,Bortezomib,226,2.5,1.0,1,2.5,6,0.5353982300884956,2,24|6
CCFSTTG1,Everolimus,43,10.0,1.0,1,10.0,24,1.0,1,24
CCFSTTG1,Gemcitabine,24,0.1,1.0,1,0.1,24,1.0,1,24
CCFSTTG1,Idasanutlin,207,2.5,1.0,1,2.5,6,0.6280193236714976,2,24|6
CCFSTTG1,JQ1,65,2.5,1.0,1,2.5,24,1.0,1,24
CCFSTTG1,Prexasertib,50,1.0,1.0,1,1.0,24,1.0,1,24
CCFSTTG1,Taselisib,28,1.0,1.0,1,1.0,24,1.0,1,24
CCFSTTG1,Trametinib,1069,0.1,1.0,1,0.1,"3, 6, 12, 24, 48",0.7137511693171188,3,"24|3, 6, 12, 24, 48|6"
CJM,BRD3379,144,0.0,1.0,1,0.0,6,0.5694444444444444,2,24|6
CJM,Dabrafenib,61,0.1,1.0,1,0.1,24,1.0,1,24
CJM,Navitoclax,44,5.0,1.0,1,5.0,24,1.0,1,24
CJM,Trametinib,61,0.1,1.0,1,0.1,24,1.0,1,24
COLO668,BRD3379,115,0.0,1.0,1,0.0,6,0.6434782608695652,2,24|6
COLO668,Dabrafenib,44,0.1,1.0,1,0.1,24,1.0,1,24
COLO668,Navitoclax,26,5.0,1.0,1,5.0,24,1.0,1,24
COLO668,Trametinib,58,0.1,1.0,1,0.1,24,1.0,1,24
COLO680N,AZD5591,179,0.0,1.0,1,0.0,24,1.0,1,24
COLO680N,Afatinib,71,0.5,1.0,1,0.5,24,1.0,1,24
COLO680N,BRD3379,205,0.0,1.0,1,0.0,24,0.5658536585365853,2,24|6
COLO680N,Bortezomib,205,2.5,1.0,1,2.5,24,0.551219512195122,2,24|6
COLO680N,Dabrafenib,148,0.1,1.0,1,0.1,24,1.0,1,24
COLO680N,Everolimus,108,10.0,1.0,1,10.0,24,1.0,1,24
COLO680N,Gemcitabine,37,0.1,1.0,1,0.1,24,1.0,1,24
COLO680N,Idasanutlin,228,2.5,1.0,1,2.5,24,0.5657894736842105,2,24|6
COLO680N,JQ1,115,2.5,1.0,1,2.5,24,1.0,1,24
COLO680N,Navitoclax,120,5.0,1.0,1,5.0,24,1.0,1,24
COLO680N,Prexasertib,114,1.0,1.0,1,1.0,24,1.0,1,24
COLO680N,Taselisib,88,1.0,1.0,1,1.0,24,1.0,1,24
COLO680N,Trametinib,2466,0.1,1.0,1,0.1,"3, 6, 12, 24, 48",0.8012976480129764,3,"24|3, 6, 12, 24, 48|6"
COLO829,AZD5591,91,0.0,1.0,1,0.0,24,1.0,1,24
COLO829,Afatinib,50,0.5,1.0,1,0.5,24,1.0,1,24
COLO829,Everolimus,63,10.0,1.0,1,10.0,24,1.0,1,24
COLO829,Gemcitabine,21,0.1,1.0,1,0.1,24,1.0,1,24
COLO829,JQ1,72,2.5,1.0,1,2.5,24,1.0,1,24
COLO829,Prexasertib,65,1.0,1.0,1,1.0,24,1.0,1,24
COLO829,Taselisib,70,1.0,1.0,1,1.0,24,1.0,1,24
COLO829,Trametinib,68,0.1,1.0,1,0.1,24,1.0,1,24
CORL23,AZD5591,126,0.0,1.0,1,0.0,24,1.0,1,24
CORL23,Afatinib,67,0.5,1.0,1,0.5,24,1.0,1,24
CORL23,Everolimus,41,10.0,1.0,1,10.0,24,1.0,1,24
CORL23,Gemcitabine,17,0.1,1.0,1,0.1,24,1.0,1,24
CORL23,JQ1,75,2.5,1.0,1,2.5,24,1.0,1,24
CORL23,Prexasertib,40,1.0,1.0,1,1.0,24,1.0,1,24
CORL23,Taselisib,36,1.0,1.0,1,1.0,24,1.0,1,24
CORL23,Trametinib,18,0.1,1.0,1,0.1,24,1.0,1,24
COV434,AZD5591,37,0.0,1.0,1,0.0,24,1.0,1,24
COV434,Afatinib,28,0.5,1.0,1,0.5,24,1.0,1,24
COV434,BRD3379,176,0.0,1.0,1,0.0,24,0.5284090909090909,2,24|6
COV434,Bortezomib,107,2.5,1.0,1,2.5,6,0.5327102803738317,2,24|6
COV434,Dabrafenib,75,0.1,1.0,1,0.1,24,1.0,1,24
COV434,Everolimus,38,10.0,1.0,1,10.0,24,1.0,1,24
COV434,Gemcitabine,19,0.1,1.0,1,0.1,24,1.0,1,24
COV434,Idasanutlin,136,2.5,1.0,1,2.5,24,0.5514705882352942,2,24|6
COV434,JQ1,40,2.5,1.0,1,2.5,24,1.0,1,24
COV434,Navitoclax,52,5.0,1.0,1,5.0,24,1.0,1,24
COV434,Prexasertib,24,1.0,1.0,1,1.0,24,1.0,1,24
COV434,Taselisib,34,1.0,1.0,1,1.0,24,1.0,1,24
COV434,Trametinib,706,0.1,1.0,1,0.1,"3, 6, 12, 24, 48",0.6260623229461756,3,"24|3, 6, 12, 24, 48|6"
CW2,AZD5591,21,0.0,1.0,1,0.0,24,1.0,1,24
CW2,Afatinib,9,0.5,1.0,1,0.5,24,1.0,1,24
CW2,Everolimus,16,10.0,1.0,1,10.0,24,1.0,1,24
CW2,Gemcitabine,10,0.1,1.0,1,0.1,24,1.0,1,24
CW2,JQ1,17,2.5,1.0,1,2.5,24,1.0,1,24
CW2,Prexasertib,13,1.0,1.0,1,1.0,24,1.0,1,24
CW2,Taselisib,6,1.0,1.0,1,1.0,24,1.0,1,24
CW2,Trametinib,10,0.1,1.0,1,0.1,24,1.0,1,24
DKMG,AZD5591,64,0.0,1.0,1,0.0,24,1.0,1,24
DKMG,Afatinib,43,0.5,1.0,1,0.5,24,1.0,1,24
DKMG,Bortezomib,190,2.5,1.0,1,2.5,6,0.7,2,24|6
DKMG,Everolimus,57,10.0,1.0,1,10.0,24,1.0,1,24
DKMG,Gemcitabine,24,0.1,1.0,1,0.1,24,1.0,1,24
DKMG,Idasanutlin,213,2.5,1.0,1,2.5,6,0.5633802816901409,2,24|6
DKMG,JQ1,37,2.5,1.0,1,2.5,24,1.0,1,24
DKMG,Prexasertib,45,1.0,1.0,1,1.0,24,1.0,1,24
DKMG,Taselisib,33,1.0,1.0,1,1.0,24,1.0,1,24
DKMG,Trametinib,1132,0.1,1.0,1,0.1,"3, 6, 12, 24, 48",0.7632508833922261,3,"24|3, 6, 12, 24, 48|6"
DMS273,BRD3379,380,0.0,1.0,1,0.0,24,0.5868421052631579,2,24|6
DMS273,Dabrafenib,275,0.1,1.0,1,0.1,24,1.0,1,24
DMS273,Navitoclax,272,5.0,1.0,1,5.0,24,1.0,1,24
DMS273,Trametinib,251,0.1,1.0,1,0.1,24,1.0,1,24
DV90,AZD5591,16,0.0,1.0,1,0.0,24,1.0,1,24
DV90,Afatinib,8,0.5,1.0,1,0.5,24,1.0,1,24
DV90,BRD3379,11,0.0,1.0,1,0.0,24,0.6363636363636364,2,24|6
DV90,Dabrafenib,4,0.1,1.0,1,0.1,24,1.0,1,24
DV90,Everolimus,15,10.0,1.0,1,10.0,24,1.0,1,24
DV90,Gemcitabine,15,0.1,1.0,1,0.1,24,1.0,1,24
DV90,JQ1,13,2.5,1.0,1,2.5,24,1.0,1,24
DV90,Navitoclax,3,5.0,1.0,1,5.0,24,1.0,1,24
DV90,Prexasertib,17,1.0,1.0,1,1.0,24,1.0,1,24
DV90,Taselisib,8,1.0,1.0,1,1.0,24,1.0,1,24
DV90,Trametinib,15,0.1,1.0,1,0.1,24,1.0,1,24
EFM192A,BRD3379,177,0.0,1.0,1,0.0,6,0.5141242937853108,2,24|6
EFM192A,Dabrafenib,82,0.1,1.0,1,0.1,24,1.0,1,24
EFM192A,Navitoclax,73,5.0,1.0,1,5.0,24,1.0,1,24
EFM192A,Trametinib,62,0.1,1.0,1,0.1,24,1.0,1,24
FTC238,AZD5591,78,0.0,1.0,1,0.0,24,1.0,1,24
FTC238,Afatinib,56,0.5,1.0,1,0.5,24,1.0,1,24
FTC238,Everolimus,42,10.0,1.0,1,10.0,24,1.0,1,24
FTC238,Gemcitabine,19,0.1,1.0,1,0.1,24,1.0,1,24
FTC238,JQ1,49,2.5,1.0,1,2.5,24,1.0,1,24
FTC238,Prexasertib,32,1.0,1.0,1,1.0,24,1.0,1,24
FTC238,Taselisib,34,1.0,1.0,1,1.0,24,1.0,1,24
FTC238,Trametinib,20,0.1,1.0,1,0.1,24,1.0,1,24
G401,BRD3379,262,0.0,1.0,1,0.0,24,0.5572519083969466,2,24|6
G401,Dabrafenib,181,0.1,1.0,1,0.1,24,1.0,1,24
G401,Navitoclax,150,5.0,1.0,1,5.0,24,1.0,1,24
G401,Trametinib,148,0.1,1.0,1,0.1,24,1.0,1,24
GAMG,AZD5591,92,0.0,1.0,1,0.0,24,1.0,1,24
GAMG,Afatinib,58,0.5,1.0,1,0.5,24,1.0,1,24
GAMG,Everolimus,49,10.0,1.0,1,10.0,24,1.0,1,24
GAMG,Gemcitabine,26,0.1,1.0,1,0.1,24,1.0,1,24
GAMG,JQ1,68,2.5,1.0,1,2.5,24,1.0,1,24
GAMG,Prexasertib,64,1.0,1.0,1,1.0,24,1.0,1,24
GAMG,Taselisib,32,1.0,1.0,1,1.0,24,1.0,1,24
GAMG,Trametinib,15,0.1,1.0,1,0.1,24,1.0,1,24
GB1,AZD5591,85,0.0,1.0,1,0.0,24,1.0,1,24
GB1,Afatinib,49,0.5,1.0,1,0.5,24,1.0,1,24
GB1,Everolimus,41,10.0,1.0,1,10.0,24,1.0,1,24
GB1,Gemcitabine,42,0.1,1.0,1,0.1,24,1.0,1,24
GB1,JQ1,74,2.5,1.0,1,2.5,24,1.0,1,24
GB1,Prexasertib,62,1.0,1.0,1,1.0,24,1.0,1,24
GB1,Taselisib,28,1.0,1.0,1,1.0,24,1.0,1,24
GB1,Trametinib,19,0.1,1.0,1,0.1,24,1.0,1,24
GCIY,BRD3379,320,0.0,1.0,1,0.0,24,0.59375,2,24|6
GCIY,Dabrafenib,248,0.1,1.0,1,0.1,24,1.0,1,24
GCIY,Navitoclax,156,5.0,1.0,1,5.0,24,1.0,1,24
GCIY,Trametinib,210,0.1,1.0,1,0.1,24,1.0,1,24
GI1,AZD5591,36,0.0,1.0,1,0.0,24,1.0,1,24
GI1,Afatinib,59,0.5,1.0,1,0.5,24,1.0,1,24
GI1,Everolimus,26,10.0,1.0,1,10.0,24,1.0,1,24
GI1,Gemcitabine,22,0.1,1.0,1,0.1,24,1.0,1,24
GI1,JQ1,58,2.5,1.0,1,2.5,24,1.0,1,24
GI1,Prexasertib,35,1.0,1.0,1,1.0,24,1.0,1,24
GI1,Taselisib,33,1.0,1.0,1,1.0,24,1.0,1,24
GI1,Trametinib,28,0.1,1.0,1,0.1,24,1.0,1,24
GP2D,BRD3379,300,0.0,1.0,1,0.0,24,0.5433333333333333,2,24|6
GP2D,Dabrafenib,160,0.1,1.0,1,0.1,24,1.0,1,24
GP2D,Navitoclax,150,5.0,1.0,1,5.0,24,1.0,1,24
GP2D,Trametinib,142,0.1,1.0,1,0.1,24,1.0,1,24
H4,AZD5591,14,0.0,1.0,1,0.0,24,1.0,1,24
H4,Afatinib,17,0.5,1.0,1,0.5,24,1.0,1,24
H4,Everolimus,14,10.0,1.0,1,10.0,24,1.0,1,24
H4,Gemcitabine,7,0.1,1.0,1,0.1,24,1.0,1,24
H4,JQ1,20,2.5,1.0,1,2.5,24,1.0,1,24
H4,Prexasertib,4,1.0,1.0,1,1.0,24,1.0,1,24
H4,Taselisib,14,1.0,1.0,1,1.0,24,1.0,1,24
H4,Trametinib,7,0.1,1.0,1,0.1,24,1.0,1,24
HCC827,AZD5591,52,0.0,1.0,1,0.0,24,1.0,1,24
HCC827,Afatinib,15,0.5,1.0,1,0.5,24,1.0,1,24
HCC827,Everolimus,26,10.0,1.0,1,10.0,24,1.0,1,24
HCC827,Gemcitabine,26,0.1,1.0,1,0.1,24,1.0,1,24
HCC827,JQ1,35,2.5,1.0,1,2.5,24,1.0,1,24
HCC827,Prexasertib,37,1.0,1.0,1,1.0,24,1.0,1,24
HCC827,Taselisib,17,1.0,1.0,1,1.0,24,1.0,1,24
HCC827,Trametinib,8,0.1,1.0,1,0.1,24,1.0,1,24
HCC1143,AZD5591,53,0.0,1.0,1,0.0,24,1.0,1,24
HCC1143,Afatinib,27,0.5,1.0,1,0.5,24,1.0,1,24
HCC1143,BRD3379,233,0.0,1.0,1,0.0,24,0.5021459227467812,2,24|6
HCC1143,Dabrafenib,128,0.1,1.0,1,0.1,24,1.0,1,24
HCC1143,Everolimus,32,10.0,1.0,1,10.0,24,1.0,1,24
HCC1143,Gemcitabine,22,0.1,1.0,1,0.1,24,1.0,1,24
HCC1143,JQ1,58,2.5,1.0,1,2.5,24,1.0,1,24
HCC1143,Navitoclax,77,5.0,1.0,1,5.0,24,1.0,1,24
HCC1143,Prexasertib,28,1.0,1.0,1,1.0,24,1.0,1,24
HCC1143,Taselisib,27,1.0,1.0,1,1.0,24,1.0,1,24
HCC1143,Trametinib,175,0.1,1.0,1,0.1,24,1.0,1,24
HCC1195,BRD3379,126,0.0,1.0,1,0.0,24,0.5,2,24|6
HCC1195,Dabrafenib,59,0.1,1.0,1,0.1,24,1.0,1,24
HCC1195,Navitoclax,42,5.0,1.0,1,5.0,24,1.0,1,24
HCC1195,Trametinib,61,0.1,1.0,1,0.1,24,1.0,1,24
HCC1419,BRD3379,191,0.0,1.0,1,0.0,6,0.5759162303664922,2,24|6
HCC1419,Dabrafenib,94,0.1,1.0,1,0.1,24,1.0,1,24
HCC1419,Navitoclax,85,5.0,1.0,1,5.0,24,1.0,1,24
HCC1419,Trametinib,79,0.1,1.0,1,0.1,24,1.0,1,24
HCC1806,AZD5591,64,0.0,1.0,1,0.0,24,1.0,1,24
HCC1806,Afatinib,62,0.5,1.0,1,0.5,24,1.0,1,24
HCC1806,Everolimus,38,10.0,1.0,1,10.0,24,1.0,1,24
HCC1806,Gemcitabine,34,0.1,1.0,1,0.1,24,1.0,1,24
HCC1806,JQ1,33,2.5,1.0,1,2.5,24,1.0,1,24
HCC1806,Prexasertib,31,1.0,1.0,1,1.0,24,1.0,1,24
HCC1806,Taselisib,31,1.0,1.0,1,1.0,24,1.0,1,24
HCC1806,Trametinib,17,0.1,1.0,1,0.1,24,1.0,1,24
HCT15,AZD5591,138,0.0,1.0,1,0.0,24,1.0,1,24
HCT15,Afatinib,37,0.5,1.0,1,0.5,24,1.0,1,24
HCT15,Everolimus,53,10.0,1.0,1,10.0,24,1.0,1,24
HCT15,Gemcitabine,50,0.1,1.0,1,0.1,24,1.0,1,24
HCT15,JQ1,45,2.5,1.0,1,2.5,24,1.0,1,24
HCT15,Prexasertib,89,1.0,1.0,1,1.0,24,1.0,1,24
HCT15,Taselisib,46,1.0,1.0,1,1.0,24,1.0,1,24
HCT15,Trametinib,28,0.1,1.0,1,0.1,24,1.0,1,24
