dataset_name,fold_id,predictor_name,n_train,n_val,n_test,n_reference_train_val,reference_splits,test_used_as_reference,status
SantinhaPlatt2023,0,Control1NNPredictor,184,34,55,218,"train,val",False,ok
SantinhaPlatt2023,1,Control1NNPredictor,187,33,53,220,"train,val",False,ok
SantinhaPlatt2023,2,Control1NNPredictor,185,33,55,218,"train,val",False,ok
SantinhaPlatt2023,3,Control1NNPredictor,184,33,56,217,"train,val",False,ok
SantinhaPlatt2023,4,Control1NNPredictor,185,34,54,219,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,0,Control1NNPredictor,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,1,Control1NNPredictor,384,68,112,452,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,2,Control1NNPredictor,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,3,Control1NNPredictor,383,68,113,451,"train,val",False,ok
SrivatsanTrapnell2020_sciplex3,4,Control1NNPredictor,383,68,113,451,"train,val",False,ok
