perturbation,n_cells,eligible_ge30,split
CERS4,714,1,test
CERS5,205,1,train
CERS6,368,1,train
CHD3,420,1,train
CHD5,410,1,test
CHD6,370,1,test
CHD7,536,1,train
CHURC1,271,1,train
CIC,210,1,train
CIITA,194,1,validation
CIZ1,241,1,train
CLOCK,715,1,train
CNBP,635,1,test
CNOT3,255,1,train
CRAMP1,546,1,train
CREB1,343,1,train
CREB3,438,1,train
CREB3L1,652,1,train
CREB3L2,222,1,test
CREB3L3,242,1,validation
CREB3L4,427,1,validation
CREB5,281,1,validation
CREBBP,505,1,test
CREBL2,531,1,validation
CREBZF,444,1,test
CREM,304,1,train
CRTC1,790,1,train
CRTC2,266,1,train
CRTC3,734,1,train
CRX,150,1,train
CSDC2,379,1,train
CSDE1,384,1,train
CTBP1,632,1,train
CTBP2,343,1,train
CTCF,517,1,train
CTCFL,336,1,train
CTNNB1,540,1,validation
CUX1,1223,1,validation
CUX2,218,1,validation
CXXC1,274,1,train
DACH1,249,1,train
DACH2,482,1,validation
DAXX,413,1,train
DBP,613,1,train
DBX1,275,1,train
DBX2,518,1,validation
DCP1A,581,1,train
DDB1,637,1,train
DDB2,373,1,validation
DDIT3,340,1,test
DEAF1,665,1,train
DEK,598,1,train
DENND4A,496,1,validation
DHX9,447,1,train
DLX1,358,1,validation
DLX2,750,1,train
DLX3,1244,1,train
DLX4,413,1,train
DLX5,182,1,train
DLX6,532,1,train
DMAP1,723,1,train
DMBX1,393,1,validation
DMRT1,246,1,train
DMRT2,310,1,validation
DMRT3,279,1,train
DMRTA1,575,1,train
DMRTA2,811,1,train
DMRTB1,352,1,validation
DMRTC1,280,1,train
DMRTC2,351,1,train
DMTF1,415,1,train
DNAJC1,381,1,train
DNAJC2,423,1,train
DND1,423,1,test
DNMT1,409,1,validation
DPF2,233,1,validation
DPRX,413,1,validation
DR1,825,1,validation
DRAP1,636,1,train
DRGX,486,1,train
DUX4,256,1,test
DUXA,469,1,validation
E2F1,540,1,validation
E2F2,390,1,train
E2F3,511,1,validation
E2F4,265,1,test
E2F5,362,1,validation
E2F6,361,1,train
E2F7,346,1,test
E2F8,637,1,train
E4F1,342,1,train
EBF1,369,1,train
EBF2,873,1,train
EBF3,914,1,train
EBF4,578,1,validation
EGR1,496,1,train
EGR2,495,1,test
EGR3,242,1,train
EGR4,502,1,test
EHF,368,1,train
ELF1,346,1,train
ELF2,474,1,train
ELF3,363,1,train
ELF4,675,1,train
ELF5,215,1,test
ELK1,359,1,validation
ELK3,1196,1,train
ELK4,288,1,train
ELOA,165,1,train
ELOB,604,1,validation
ELOC,412,1,train
ELOF1,287,1,validation
EMX1,647,1,test
EMX2,224,1,train
EN1,581,1,test
EN2,451,1,test
ENO1,361,1,train
EOMES,338,1,validation
EP300,209,1,validation
EP400,727,1,train
EPAS1,868,1,train
ERCC2,436,1,train
ERCC3,835,1,test
ERCC6,583,1,test
ERCC8,357,1,test
ERF,443,1,validation
ERG,302,1,train
ESR1,333,1,test
ESR2,427,1,train
ESRRA,353,1,test
ESRRB,291,1,train
ESRRG,516,1,validation
ESX1,358,1,test
ETF1,604,1,test
ETS1,439,1,validation
ETS2,402,1,test
ETV1,411,1,train
ETV2,647,1,train
ETV3,528,1,validation
ETV3L,371,1,train
ETV4,596,1,train
ETV5,177,1,test
ETV6,461,1,validation
ETV7,392,1,train
EVX1,928,1,test
EVX2,390,1,train
EWSR1,538,1,test
EZH1,294,1,test
EZH2,771,1,train
FANCD2,344,1,test
FERD3L,741,1,train
FEV,390,1,train
FEZF1,303,1,validation
FEZF2,281,1,test
FGF3,938,1,test
FIGLA,434,1,train
FIZ1,373,1,validation
FLI1,89,1,train
FLII,303,1,validation
FOS,374,1,train
FOSB,557,1,train
FOSL1,456,1,train
FOSL2,348,1,train
FOXA1,293,1,train
FOXA2,481,1,validation
FOXA3,334,1,train
FOXB1,588,1,test
FOXB2,541,1,validation
FOXC1,713,1,train
FOXC2,912,1,train
FOXD1,227,1,test
FOXD2,943,1,train
FOXD3,191,1,train
FOXD4,269,1,train
FOXD4L1,76,1,train
FOXD4L3,273,1,train
FOXD4L4,113,1,train
FOXD4L5,233,1,train
FOXD4L6,256,1,train
FOXE1,272,1,train
FOXE3,231,1,validation
FOXF1,807,1,train
FOXF2,726,1,train
FOXG1,633,1,validation
FOXH1,354,1,test
FOXI1,359,1,validation
FOXI2,370,1,test
FOXI3,1058,1,train
FOXJ1,211,1,train
FOXJ2,841,1,validation
FOXJ3,538,1,train
FOXK1,717,1,validation
FOXK2,623,1,train
FOXL1,136,1,validation
FOXL2,846,1,validation
FOXM1,356,1,test
FOXN1,418,1,train
FOXN2,273,1,train
FOXN3,423,1,train
FOXN4,501,1,validation
FOXO1,305,1,validation
FOXO3,779,1,train
FOXO4,417,1,train
FOXO6,600,1,test
FOXP1,343,1,validation
FOXP2,389,1,test
FOXP3,256,1,train
FOXP4,558,1,test
FOXQ1,479,1,train
FOXR1,355,1,train
FOXR2,483,1,test
FOXS1,305,1,train
FUBP1,280,1,train
FUS,400,1,train
FXN,538,1,train
GABPA,355,1,train
GABPB1,375,1,train
GATA1,287,1,train
GATA2,291,1,train
GATA3,411,1,test
GATA4,520,1,train
GATA5,260,1,train
GATA6,125,1,train
GATAD2A,470,1,train
GATAD2B,237,1,train
GBX1,543,1,train
GBX2,541,1,train
GCFC2,401,1,train
GCM1,266,1,train
GCM2,305,1,test
GFI1,1110,1,test
GFI1B,338,1,validation
GLI1,413,1,train
GLI2,293,1,train
GLI3,339,1,train
GLI4,815,1,train
GLIS1,416,1,test
GLIS2,309,1,train
GLIS3,302,1,train
GLMP,764,1,test
GMEB1,486,1,train
GMEB2,414,1,validation
GON4L,273,1,train
GRHL1,471,1,test
GRHL2,486,1,validation
GRHL3,269,1,train
GSC,580,1,train
GSC2,839,1,test
GSX1,659,1,train
GSX2,260,1,test
GTF2A1,803,1,train
GTF2A1L,237,1,test
GTF2A2,456,1,train
GTF2B,195,1,validation
GTF2E1,379,1,test
GTF2F1,303,1,train
GTF2F2,471,1,validation
GTF2H1,354,1,train
GTF2H2,281,1,validation
GTF2H3,859,1,train
GTF2I,1041,1,test
GTF2IRD1,396,1,train
GTF2IRD2,379,1,test
GTF2IRD2B,287,1,test
GTF3A,370,1,test
GTF3C2,403,1,train
GZF1,854,1,test
HAND1,359,1,train
HAND2,383,1,train
HBP1,354,1,train
HDAC1,625,1,train
HDAC3,511,1,validation
HDAC4,459,1,validation
HDAC5,414,1,train
HDGF,412,1,test
HDX,241,1,train
HELT,383,1,train
HELZ2,306,1,validation
HES1,401,1,train
HES2,805,1,train
HES3,410,1,train
HES4,575,1,validation
HES5,1236,1,validation
HES6,532,1,test
HES7,168,1,train
HESX1,378,1,validation
HEY1,624,1,train
HEY2,765,1,train
HEYL,968,1,train
HHEX,264,1,train
HIC1,1044,1,test
HIC2,240,1,validation
HIF1A,695,1,train
HIF3A,306,1,train
HINFP,550,1,train
HIVEP1,1180,1,validation
HIVEP2,528,1,validation
HIVEP3,393,1,train
HLF,307,1,train
HLTF,220,1,train
HLX,281,1,train
HMBOX1,281,1,test
HMG20A,380,1,test
HMG20B,342,1,validation
HMGA1,430,1,train
HMGA2,469,1,train
HMGB1,278,1,validation
HMGB2,270,1,train
HMGB3,460,1,test
HMGB4,370,1,test
HMGN2,310,1,train
HMGN3,789,1,validation
HMGXB3,641,1,train
HMGXB4,492,1,train
HMX1,957,1,train
HMX2,1193,1,train
HMX3,438,1,validation
HNF1A,377,1,validation
HNF1B,442,1,validation
HNF4A,316,1,test
HNF4G,611,1,train
HNRNPAB,299,1,test
HNRNPK,400,1,train
HOMEZ,344,1,train
HOPX,171,1,train
HOXA1,671,1,train
HOXA10,424,1,validation
HOXA11,389,1,train
HOXA13,533,1,train
HOXA2,409,1,validation
HOXA3,197,1,test
HOXA4,552,1,validation
HOXA5,507,1,train
HOXA6,520,1,validation
HOXA7,894,1,train
HOXA9,384,1,validation
HOXB1,512,1,train
HOXB13,256,1,train
HOXB2,152,1,train
HOXB3,363,1,train
HOXB4,350,1,train
HOXB5,356,1,train
HOXB6,558,1,validation
HOXB7,479,1,train
HOXB8,300,1,train
HOXB9,254,1,validation
HOXC10,402,1,train
HOXC11,204,1,train
HOXC12,244,1,test
HOXC13,422,1,train
HOXC4,297,1,test
HOXC5,354,1,test
HOXC6,123,1,train
HOXC8,330,1,validation
HOXC9,579,1,validation
HOXD1,1038,1,validation
HOXD10,342,1,test
HOXD11,222,1,train
HOXD12,133,1,validation
HOXD13,357,1,test
HOXD3,223,1,test
HOXD4,467,1,train
HOXD8,660,1,test
HOXD9,360,1,test
HSBP1,227,1,test
HSF1,507,1,train
HSF2,501,1,train
HSF4,320,1,train
HSF5,332,1,train
HSFX1,167,1,validation
HSFX2,309,1,validation
HSFY1,222,1,train
HSFY2,83,1,train
ID1,277,1,test
ID2,550,1,train
ID3,356,1,test
ID4,460,1,train
IFI16,376,1,train
IGFBP1,530,1,train
IGHMBP2,364,1,train
IKZF1,489,1,validation
IKZF2,192,1,train
IKZF3,572,1,test
IKZF4,287,1,train
IKZF5,263,1,train
IL18,187,1,validation
ILF3,366,1,train
ING1,452,1,train
ING4,227,1,train
INSM1,378,1,train
INSM2,185,1,train
IRF1,322,1,test
IRF2,356,1,train
IRF3,646,1,test
IRF4,1190,1,validation
IRF5,488,1,validation
IRF6,389,1,test
IRF7,202,1,validation
IRF8,678,1,test
IRF9,552,1,validation
IRX1,827,1,train
IRX2,237,1,train
IRX3,301,1,test
IRX4,663,1,validation
IRX5,363,1,test
IRX6,463,1,validation
ISL1,548,1,test
ISL2,470,1,train
ISX,392,1,test
JARID2,431,1,train
JDP2,602,1,validation
JUN,383,1,train
JUNB,133,1,validation
JUND,489,1,train
JUP,428,1,train
KAT2A,406,1,test
KAT7,344,1,test
KCNIP2,358,1,train
KCNIP3,464,1,train
KCNIP4,388,1,train
KDM5A,687,1,train
KDM5B,692,1,validation
KDM5C,558,1,test
KDM5D,472,1,test
KDR,776,1,train
KLF1,509,1,train
KLF10,735,1,train
KLF11,750,1,test
KLF12,295,1,validation
KLF13,617,1,train
KLF14,242,1,test
KLF15,594,1,train
KLF16,618,1,validation
KLF17,281,1,train
KLF2,416,1,train
KLF3,602,1,train
KLF4,187,1,test
KLF5,295,1,test
KLF6,500,1,train
KLF7,297,1,validation
KLF8,845,1,train
KLF9,274,1,validation
KMT2B,864,1,validation
KRBOX5,313,1,validation
L3MBTL1,437,1,train
L3MBTL4,610,1,test
LBX1,408,1,train
LBX2,306,1,test
LCOR,519,1,test
LCORL,371,1,train
LDB1,581,1,validation
LDB2,308,1,train
LEF1,279,1,train
LEUTX,309,1,validation
LHX1,345,1,train
LHX2,988,1,train
LHX3,1105,1,validation
LHX4,979,1,train
LHX5,295,1,train
LHX6,615,1,validation
LHX8,451,1,test
LHX9,412,1,test
LIN28A,245,1,test
LIN28B,481,1,validation
LIN54,907,1,train
LIN9,1041,1,train
LITAF,274,1,train
LMO1,289,1,validation
LMO2,347,1,test
LMO3,339,1,validation
LMX1A,411,1,validation
LMX1B,869,1,validation
LRPPRC,498,1,train
LRRFIP1,745,1,train
LYL1,400,1,validation
LZTR1,828,1,train
MAEL,834,1,train
MAF,262,1,train
MAFA,405,1,train
MAFB,478,1,validation
MAFF,213,1,validation
MAFG,906,1,train
MAFK,189,1,train
MAML1,404,1,train
MAP3K7,244,1,test
MAPK8IP1,549,1,train
MAX,343,1,test
MAZ,623,1,train
MBD1,370,1,train
MBD2,256,1,train
MBD3,391,1,train
MBD4,378,1,train
MECOM,433,1,train
MECP2,398,1,test
MED21,359,1,train
MEF2A,399,1,train
MEF2B,334,1,validation
MEF2C,587,1,train
MEF2D,504,1,train
MEIOSIN,320,1,train
MEIS1,650,1,train
MEIS2,302,1,test
MEIS3,329,1,validation
MEOX1,199,1,train
MEOX2,251,1,validation
MESP1,1309,1,train
MESP2,402,1,train
MGA,604,1,test
MIDEAS,391,1,train
MIER1,559,1,train
MIER2,656,1,train
MIER3,736,1,train
MITF,289,1,train
MIXL1,378,1,train
MKX,495,1,train
MLLT1,745,1,validation
MLLT10,731,1,validation
MLX,433,1,test
MLXIP,399,1,test
MLXIPL,276,1,train
MMP3,270,1,train
MNAT1,334,1,validation
MNT,463,1,train
MNX1,629,1,train
MSC,272,1,train
MSGN1,332,1,test
MSLN,474,1,train
MSX1,624,1,train
MSX2,645,1,validation
MTA1,1396,1,train
MTA2,225,1,train
MTA3,224,1,validation
MTERF1,291,1,train
MTF1,314,1,train
MXD1,175,1,train
MXD3,307,1,train
MXD4,252,1,validation
MXI1,174,1,train
MYB,773,1,train
MYBBP1A,405,1,train
MYBL1,189,1,test
MYBL2,312,1,train
MYC,1912,1,train
MYCBP,343,1,train
MYCL,653,1,train
MYCN,438,1,test
MYEF2,299,1,validation
MYF5,285,1,train
MYF6,298,1,train
MYNN,554,1,train
MYOCD,389,1,test
MYOD1,610,1,train
MYOG,325,1,train
MYRF,768,1,train
MYSM1,431,1,test
MYT1,392,1,train
MYT1L,462,1,test
MZF1,460,1,train
NANOG,267,1,validation
NANOGNB,367,1,validation
NAT10,504,1,validation
NCL,81,1,train
NCOA1,582,1,test
NCOA2,568,1,train
NCOA3,566,1,validation
NCOA6,431,1,train
NCOR1,710,1,test
NCOR2,491,1,validation
NELFE,549,1,test
NEUROD1,453,1,train
NEUROD2,345,1,test
NEUROD4,311,1,train
NEUROD6,525,1,train
NEUROG1,590,1,test
NEUROG2,469,1,test
NEUROG3,370,1,test
NF1,436,1,validation
NFAT5,490,1,test
NFATC1,469,1,train
NFATC2,393,1,test
NFATC3,400,1,validation
NFATC4,162,1,train
NFE2,350,1,train
NFE2L1,592,1,test
NFE2L2,585,1,train
NFE2L3,806,1,train
NFE4,435,1,validation
NFIA,639,1,validation
NFIB,359,1,train
NFIC,697,1,train
NFIL3,643,1,train
NFIX,520,1,train
NFKB1,682,1,validation
NFKB2,646,1,train
NFKBIA,314,1,train
NFKBIB,193,1,train
NFKBID,414,1,validation
NFKBIE,243,1,train
NFKBIL1,489,1,test
NFKBIZ,437,1,train
NFRKB,706,1,train
NFX1,280,1,test
NFXL1,642,1,test
NFYA,287,1,train
NFYB,378,1,validation
NFYC,285,1,validation
NHLH1,221,1,train
NHLH2,337,1,train
NHP2,560,1,test
NKRF,425,1,train
NKX1-1,802,1,validation
NKX1-2,674,1,validation
NKX2-1,646,1,train
NKX2-2,339,1,validation
NKX2-3,373,1,test
NKX2-4,209,1,validation
NKX2-5,440,1,test
NKX2-6,338,1,test
NKX2-8,231,1,validation
NKX3-1,265,1,validation
NKX3-2,532,1,test
NKX6-1,485,1,train
NKX6-2,857,1,train
NKX6-3,513,1,train
NME2,477,1,validation
NMI,426,1,test
NOBOX,402,1,test
NOCT,447,1,train
NONO,370,1,train
NOTCH1,525,1,test
NOTCH2,100,1,train
NOTO,367,1,validation
NPAS1,479,1,validation
NPAS2,658,1,train
NPAS3,434,1,validation
NPAS4,248,1,validation
NR0B1,620,1,train
NR0B2,356,1,train
NR1D1,185,1,validation
NR1D2,379,1,validation
NR1H2,311,1,train
NR1H3,345,1,train
NR1H4,238,1,test
NR1I2,324,1,train
NR1I3,80,1,train
NR2C1,342,1,train
NR2C2,758,1,train
NR2E1,368,1,train
NR2E3,355,1,train
NR2F1,308,1,test
NR2F2,408,1,validation
NR2F6,698,1,train
NR3C1,397,1,test
NR3C2,542,1,train
NR4A1,189,1,test
NR4A2,610,1,train
NR4A3,282,1,train
NR5A1,570,1,train
NR5A2,360,1,train
NR6A1,681,1,train
NRF1,317,1,test
NRL,521,1,train
NSD2,812,1,validation
OLIG1,288,1,train
OLIG2,440,1,validation
OLIG3,384,1,train
ONECUT1,803,1,train
ONECUT2,328,1,train
ONECUT3,523,1,test
OSR1,705,1,train
OSR2,570,1,train
OTP,449,1,train
OTX1,408,1,train
OTX2,239,1,validation
OVOL1,638,1,validation
OVOL2,409,1,train
OVOL3,319,1,validation
OXSR1,400,1,train
PA2G4,211,1,validation
PARP1,419,1,validation
PATZ1,378,1,validation
PAX1,217,1,train
PAX2,466,1,train
PAX3,602,1,train
PAX4,268,1,test
PAX5,446,1,validation
PAX6,459,1,test
PAX7,313,1,train
PAX8,287,1,train
PAX9,341,1,train
PAXBP1,213,1,train
PBRM1,325,1,train
PBX1,511,1,test
PBX2,135,1,train
PBX3,570,1,train
PBX4,192,1,train
PCGF2,366,1,validation
PDCD2,339,1,validation
PDX1,612,1,validation
PEG3,241,1,test
PES1,200,1,train
PFDN5,317,1,train
PGR,261,1,train
PHF20,581,1,train
PHOX2A,535,1,test
PHOX2B,557,1,train
PIAS1,278,1,train
PIAS2,671,1,validation
PIAS3,354,1,train
PIAS4,385,1,train
PITX1,785,1,test
PITX2,514,1,test
PITX3,376,1,validation
PKNOX1,466,1,train
PKNOX2,482,1,test
PLAG1,284,1,validation
PLAGL1,573,1,test
PLAGL2,685,1,train
PLK4,230,1,train
PML,349,1,test
PMS1,505,1,test
POGZ,447,1,train
POU1F1,254,1,train
POU2AF1,411,1,train
POU2F1,548,1,test
POU2F2,320,1,test
POU2F3,323,1,test
POU3F1,628,1,train
POU3F2,383,1,train
POU3F3,444,1,train
POU3F4,239,1,train
POU4F1,667,1,train
POU4F2,338,1,train
POU4F3,378,1,train
POU5F1,382,1,train
POU5F1B,369,1,train
POU5F2,305,1,validation
POU6F1,614,1,train
POU6F2,367,1,train
PPARA,592,1,train
PPARD,239,1,train
PPARG,506,1,test
PPARGC1A,256,1,train
PPP1R13B,579,1,train
PPP1R13L,695,1,train
PRDM1,246,1,validation
PRDM10,318,1,validation
PRDM12,458,1,test
PRDM13,435,1,train
PRDM14,316,1,train
PRDM15,454,1,train
PRDM16,1189,1,train
PRDM2,424,1,test
PRDM4,849,1,test
PRDM5,473,1,train
PRDM6,477,1,test
PRDM8,364,1,test
PRDM9,384,1,train
PREB,405,1,train
PRKCD,578,1,train
PROP1,253,1,train
PROX1,936,1,validation
PROX2,423,1,train
PRRX1,429,1,test
PRRX2,517,1,train
PSAP,496,1,validation
PSIP1,406,1,validation
PSMB1,283,1,validation
PSMB4,382,1,train
PSMD14,394,1,train
PTF1A,236,1,train
PTTG1,348,1,train
PUF60,280,1,train
PURA,576,1,validation
PURB,416,1,train
RAD21,535,1,validation
RARA,522,1,test
RARB,189,1,train
RARG,248,1,train
RAX,349,1,train
RAX2,282,1,train
RB1,450,1,test
RB1CC1,392,1,train
RBAK,320,1,validation
RBL1,362,1,validation
RBL2,487,1,train
RBMS1,693,1,train
RBPJ,323,1,validation
RBPJL,313,1,test
RCOR1,886,1,train
RCOR2,422,1,validation
RCOR3,837,1,train
REL,587,1,train
RELA,1056,1,train
RELB,384,1,train
REPIN1,994,1,train
RERE,384,1,test
REST,617,1,validation
REXO1,349,1,validation
RFX1,415,1,train
RFX2,462,1,validation
RFX3,295,1,train
RFX4,319,1,train
RFX5,586,1,train
RFX6,566,1,validation
RFX7,218,1,test
RFX8,327,1,train
RFXANK,558,1,test
RHOXF1,296,1,train
RHOXF2,195,1,train
RHOXF2B,303,1,test
RLF,241,1,train
RNF138,252,1,train
RNF2,482,1,test
RORA,280,1,train
RORB,320,1,validation
RORC,320,1,test
RPA1,687,1,train
RPA2,282,1,train
RPA3,337,1,train
RREB1,766,1,train
RUNX1,215,1,train
RUNX1T1,310,1,train
RUNX2,221,1,test
RUNX3,223,1,train
RUVBL1,451,1,validation
RXRA,1250,1,test
RXRB,434,1,train
RXRG,261,1,train
SALL1,499,1,train
SALL2,444,1,train
SALL3,974,1,train
SALL4,377,1,test
SATB1,256,1,test
SATB2,351,1,train
SCRT1,871,1,test
SCRT2,316,1,test
SCX,310,1,train
SEBOX,394,1,train
SETDB1,179,1,train
SETDB2,525,1,validation
SFPQ,327,1,test
SHOX,519,1,train
SHOX2,344,1,validation
SIM1,387,1,train
SIM2,1183,1,validation
SIN3A,693,1,train
SIRT6,453,1,train
SIX1,758,1,test
SIX2,338,1,train
SIX3,351,1,train
SIX4,268,1,validation
SIX5,457,1,train
SIX6,233,1,test
SKI,1092,1,train
SKIL,523,1,train
SKP2,486,1,train
SLC15A1,682,1,train
SLC22A1,659,1,test
SLC2A4RG,355,1,test
SLC45A2,402,1,validation
SMAD1,631,1,validation
SMAD2,475,1,train
SMAD3,1140,1,train
SMAD4,524,1,test
SMAD5,350,1,train
SMAD6,774,1,train
SMAD7,572,1,train
SMAD9,428,1,test
SMARCA1,288,1,train
SMARCA2,619,1,train
SMARCA4,361,1,train
SMARCA5,254,1,train
SMARCB1,502,1,train
SMARCC1,323,1,train
SMARCC2,774,1,train
SMARCD1,485,1,validation
SMARCE1,359,1,train
SNAI1,785,1,test
SNAI2,283,1,train
SNAI3,677,1,test
SNAPC1,314,1,train
SNAPC2,508,1,validation
SNAPC3,431,1,test
SNAPC4,366,1,test
SNW1,441,1,test
SOHLH1,459,1,test
SOHLH2,474,1,train
SOX1,515,1,validation
SOX10,317,1,train
SOX11,425,1,train
SOX12,513,1,test
SOX13,211,1,train
SOX14,902,1,train
SOX15,463,1,test
SOX17,418,1,train
SOX18,436,1,validation
SOX2,420,1,train
SOX21,425,1,train
SOX3,445,1,train
SOX30,353,1,test
SOX4,225,1,train
SOX5,460,1,train
SOX6,307,1,train
SOX7,452,1,validation
SOX8,1096,1,train
SOX9,241,1,train
SP1,190,1,train
SP100,172,1,train
SP110,454,1,validation
SP140,322,1,train
SP140L,231,1,test
SP2,311,1,validation
SP3,606,1,train
SP4,551,1,validation
SP5,380,1,test
SP6,559,1,train
SP7,363,1,train
SP8,545,1,validation
SP9,324,1,train
SPDEF,448,1,train
SPI1,392,1,test
SPIB,454,1,validation
SPIC,309,1,train
SPZ1,347,1,train
SRCAP,486,1,validation
SREBF1,308,1,validation
SREBF2,372,1,train
SRF,344,1,train
SRY,281,1,train
SS18,358,1,train
SSRP1,388,1,validation
ST18,418,1,test
STAT1,700,1,train
STAT2,475,1,test
STAT3,363,1,train
STAT4,250,1,train
STAT5A,203,1,validation
STAT5B,633,1,validation
STAT6,292,1,test
STOX1,323,1,train
STOX2,333,1,train
STRAP,314,1,validation
SUB1,216,1,test
SULT2A1,235,1,train
SUPT4H1,412,1,train
SUPT5H,522,1,validation
SUZ12,760,1,validation
T,542,1,train
TADA2A,234,1,train
TADA2B,614,1,train
TADA3,296,1,test
TAF1,426,1,train
TAF10,262,1,test
TAF11,219,1,validation
TAF12,651,1,train
TAF13,266,1,train
TAF1A,526,1,train
TAF1B,499,1,test
TAF2,379,1,validation
TAF4B,154,1,train
TAF5,179,1,train
TAF6,361,1,validation
TAF7,628,1,train
TAF9,373,1,train
TAFAZZIN,414,1,train
TAL1,376,1,test
TAL2,604,1,train
TARBP2,363,1,train
TBP,376,1,train
TBPL1,599,1,train
TBPL2,232,1,test
TBR1,373,1,test
TBX1,463,1,train
TBX10,368,1,train
TBX15,401,1,train
TBX18,603,1,train
TBX19,261,1,validation
TBX2,640,1,train
TBX20,505,1,train
TBX21,528,1,train
TBX22,329,1,test
TBX3,543,1,train
TBX4,426,1,train
TBX5,391,1,train
TBX6,464,1,train
TBXT,374,1,validation
TCERG1,447,1,test
TCF12,426,1,test
TCF15,926,1,train
TCF19,354,1,train
TCF20,498,1,validation
TCF21,302,1,test
TCF23,413,1,validation
TCF24,837,1,train
TCF25,1540,1,train
TCF3,413,1,train
TCF4,393,1,train
TCF7,439,1,train
TCF7L1,688,1,train
TCF7L2,291,1,train
TCFL5,617,1,train
TEAD1,235,1,train
TEAD2,301,1,train
TEAD3,1111,1,test
TEAD4,583,1,test
TEF,329,1,train
TERB1,523,1,train
TERF1,570,1,train
TERF2,400,1,train
TFAM,671,1,test
TFAP2A,553,1,test
TFAP2B,371,1,train
TFAP2C,529,1,train
TFAP2D,408,1,validation
TFAP2E,730,1,train
TFAP4,546,1,validation
TFCP2,506,1,train
TFCP2L1,459,1,test
TFDP1,693,1,train
TFDP2,505,1,train
TFDP3,572,1,validation
TFE3,139,1,validation
TFEB,532,1,train
TFEC,204,1,train
TGFB1I1,326,1,validation
TGIF1,487,1,train
TGIF2,480,1,validation
TGIF2LX,151,1,train
TGIF2LY,191,1,train
THAP1,642,1,test
THAP10,368,1,train
THAP11,479,1,train
THAP12,1058,1,validation
THAP2,303,1,train
THAP3,540,1,test
THAP4,666,1,validation
THAP5,235,1,validation
THAP6,375,1,test
THAP7,540,1,train
THAP8,217,1,train
THAP9,380,1,train
THRA,659,1,train
THRB,380,1,train
TLE1,617,1,train
TLX1,207,1,test
TLX2,517,1,train
TLX3,257,1,test
TMF1,460,1,train
TONSL,468,1,train
TOPORS,404,1,train
TOX,1083,1,train
TOX2,628,1,train
