dataset_name,dataset_family,fold_id,predictor_name,base_formula
McFarlandTsherniak2020,chem_robust,2,ContextSimBaseline,chem_robust: log_support - model_disagreement
McFarlandTsherniak2020,chem_robust,2,V0StrongBaseline,chem_robust: log_support - model_disagreement
McFarlandTsherniak2020,chem_robust,3,ContextSimBaseline,chem_robust: log_support - model_disagreement
McFarlandTsherniak2020,chem_robust,3,V0StrongBaseline,chem_robust: log_support - model_disagreement
McFarlandTsherniak2020,chem_robust,4,ContextSimBaseline,chem_robust: log_support - model_disagreement
McFarlandTsherniak2020,chem_robust,4,V0StrongBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,0,ContextSimBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,0,V0StrongBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,1,ContextSimBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,1,V0StrongBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,2,ContextSimBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,2,V0StrongBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,3,ContextSimBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,3,V0StrongBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,4,ContextSimBaseline,chem_robust: log_support - model_disagreement
SantinhaPlatt2023,chem_robust,4,V0StrongBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,0,ContextSimBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,0,V0StrongBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,1,ContextSimBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,1,V0StrongBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,2,ContextSimBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,2,V0StrongBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,3,ContextSimBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,3,V0StrongBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,4,ContextSimBaseline,chem_robust: log_support - model_disagreement
SrivatsanTrapnell2020_sciplex3,chem_robust,4,V0StrongBaseline,chem_robust: log_support - model_disagreement
