dataset_name,task_gene,task_group,gene_panel_id,gene_order_hash,normalization_id,recommended_action
adamson,GMPPB,adamson::GMPPB,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,NEDD8,adamson::NEDD8,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,PDIA6,adamson::PDIA6,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,PSMD12,adamson::PSMD12,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,SPCS2,adamson::SPCS2,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,TIMM23,adamson::TIMM23,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,UFM1,adamson::UFM1,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,YIPF5,adamson::YIPF5,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
dixit,ETS1,dixit::ETS1,gears::dixit::single::n_genes_6000,sha256:09cfde75cdbdbdc2f6f496e5fa2cdfb4b9dfd758f582c2212777c2dd525b66e3,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
dixit,NR2C2,dixit::NR2C2,gears::dixit::single::n_genes_6000,sha256:09cfde75cdbdbdc2f6f496e5fa2cdfb4b9dfd758f582c2212777c2dd525b66e3,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,AHR,norman::AHR,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,ARID1A,norman::ARID1A,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,ATL1,norman::ATL1,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,BCL2L11,norman::BCL2L11,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,BPGM,norman::BPGM,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,CBL,norman::CBL,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,CDKN1A,norman::CDKN1A,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,CDKN1C,norman::CDKN1C,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,CEBPE,norman::CEBPE,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,CELF2,norman::CELF2,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,CLDN6,norman::CLDN6,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,CNNM4,norman::CNNM4,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,COL1A1,norman::COL1A1,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,CSRNP1,norman::CSRNP1,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,FOXL2,norman::FOXL2,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,HES7,norman::HES7,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,HOXA13,norman::HOXA13,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,HOXB9,norman::HOXB9,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,IER5L,norman::IER5L,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,KIF18B,norman::KIF18B,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,MAP2K3,norman::MAP2K3,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,NCL,norman::NCL,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,PTPN12,norman::PTPN12,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,PTPN9,norman::PTPN9,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,RHOXF2,norman::RHOXF2,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,SAMD1,norman::SAMD1,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
norman,SLC38A2,norman::SLC38A2,gears::norman::single::n_genes_5025,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
