raw_gene,scgpt_token
Rpl14,RPL14
Rpl13a,RPL13A
Rps15,RPS15
Rpl24,RPL24
Rps26,RPS26
Rpl21,RPL21
mt-Nd1,MT-ND1
Rpl9,RPL9
Rpl3,RPL3
Npm1,NPM1
Rpl23a,RPL23A
Rpl7,RPL7
Rpl36,RPL36
Rpl10a,RPL10A
Rps6,RPS6
Rpl38,RPL38
Rack1,RACK1
Rpl22,RPL22
Rpl5,RPL5
Fth1,FTH1
mt-Nd4,MT-ND4
Eef1b2,EEF1B2
Rpl29,RPL29
mt-Nd2,MT-ND2
Hmgb2,HMGB2
Rpl7a,RPL7A
Rpl10,RPL10
Rps27,RPS27
Rpl31,RPL31
Rpl27,RPL27
Rpl4,RPL4
Hspa8,HSPA8
Naca,NACA
Rpl36a,RPL36A
Ncl,NCL
Gpx1,GPX1
Ybx1,YBX1
Cox8a,COX8A
Ifitm1,IFITM1
Hsp90aa1,HSP90AA1
Prtn3,PRTN3
Rpl22l1,RPL22L1
Chchd2,CHCHD2
Rpl36al,RPL36AL
Nme2,NME2
Rpl35,RPL35
Serbp1,SERBP1
Actg1,ACTG1
Hmgb1,HMGB1
Srgn,SRGN
Snrpg,SNRPG
Ran,RAN
Oaz1,OAZ1
Btf3,BTF3
Eif5a,EIF5A
Eif1,EIF1
Ndufa4,NDUFA4
Pabpc1,PABPC1
Set,SET
Anp32b,ANP32B
Hint1,HINT1
Serf2,SERF2
Pfn1,PFN1
Rps27l,RPS27L
Calr,CALR
Sec61b,SEC61B
Cox4i1,COX4I1
Cox7c,COX7C
Gapdh,GAPDH
Eef1g,EEF1G
Plac8,PLAC8
Cox6c,COX6C
Hnrnpa2b1,HNRNPA2B1
Sem1,SEM1
Cfl1,CFL1
Arhgdib,ARHGDIB
Cmtm7,CMTM7
Xist,XIST
Cox5a,COX5A
Stmn1,STMN1
Snrpf,SNRPF
Eef2,EEF2
Ssr4,SSR4
Ubb,UBB
Myl6,MYL6
mt-Nd3,MT-ND3
Rbm3,RBM3
Gas5,GAS5
Sec61g,SEC61G
Snrpe,SNRPE
Nap1l1,NAP1L1
Mif,MIF
Uqcrh,UQCRH
Hspd1,HSPD1
Hspe1,HSPE1
Ranbp1,RANBP1
Sh3bgrl3,SH3BGRL3
Hsp90b1,HSP90B1
Mpo,MPO
Itm2b,ITM2B
Hnrnpf,HNRNPF
Sumo2,SUMO2
Gng5,GNG5
Dbi,DBI
Nop10,NOP10
Cd63,CD63
Cox6b1,COX6B1
S100a8,S100A8
Calm1,CALM1
Ly6e,LY6E
Eif4a1,EIF4A1
Nme1,NME1
Srsf3,SRSF3
Eif2s2,EIF2S2
Cd47,CD47
Cox7a2,COX7A2
Sub1,SUB1
Tagln2,TAGLN2
Slc25a3,SLC25A3
Hnrnpu,HNRNPU
Arpc2,ARPC2
Slc25a5,SLC25A5
Arpc1b,ARPC1B
Ifitm2,IFITM2
Uqcrq,UQCRQ
Ddx5,DDX5
Pgam1,PGAM1
Hnrnpab,HNRNPAB
Snrpd1,SNRPD1
B2m,B2M
Psma7,PSMA7
Pkm,PKM
Ldha,LDHA
Eif3c,EIF3C
Uqcr11,UQCR11
Park7,PARK7
Tuba1b,TUBA1B
Gpx4,GPX4
Elob,ELOB
Hspa5,HSPA5
Tma7,TMA7
Gnas,GNAS
Dut,DUT
Uqcrb,UQCRB
Nucks1,NUCKS1
Tomm7,TOMM7
Cox5b,COX5B
Ctsg,CTSG
Eif3f,EIF3F
Calm2,CALM2
Pcbp2,PCBP2
Tomm20,TOMM20
Aldoa,ALDOA
Uqcr10,UQCR10
Eif3a,EIF3A
Srrm2,SRRM2
Hnrnpa3,HNRNPA3
Tkt,TKT
Snrpd2,SNRPD2
Ppp1r14b,PPP1R14B
S100a9,S100A9
Tpr,TPR
Cox7b,COX7B
Prdx1,PRDX1
mt-Nd5,MT-ND5
Hnrnpa1,HNRNPA1
Gnai2,GNAI2
Krtcap2,KRTCAP2
Cct2,CCT2
Rbx1,RBX1
Pebp1,PEBP1
Eef1d,EEF1D
Clic1,CLIC1
Hnrnpk,HNRNPK
Etfb,ETFB
Rbm39,RBM39
Tax1bp1,TAX1BP1
Arpc3,ARPC3
Dynll1,DYNLL1
Ndufb9,NDUFB9
Cyba,CYBA
Hdgf,HDGF
Ppib,PPIB
Cst3,CST3
Morf4l1,MORF4L1
Clta,CLTA
Srsf2,SRSF2
Cct6a,CCT6A
S100a11,S100A11
Snu13,SNU13
Ssb,SSB
Ndufa2,NDUFA2
Atp6v0c,ATP6V0C
Dek,DEK
Ms4a3,MS4A3
Tpm3,TPM3
Ywhae,YWHAE
Top2a,TOP2A
Nedd8,NEDD8
Ndufb5,NDUFB5
Metap2,METAP2
Srsf7,SRSF7
Eif4g2,EIF4G2
Vamp8,VAMP8
Son,SON
Nhp2,NHP2
Ywhaz,YWHAZ
Ifitm3,IFITM3
Micos10,MICOS10
Tomm6,TOMM6
Eif3k,EIF3K
Ptges3,PTGES3
Ubl5,UBL5
Pdia3,PDIA3
Snrpb,SNRPB
Pgk1,PGK1
Eif5,EIF5
Ube2s,UBE2S
Tuba4a,TUBA4A
Ndufb7,NDUFB7
Fabp5,FABP5
Timm13,TIMM13
Ppp1ca,PPP1CA
Hnrnpd,HNRNPD
Dnaja1,DNAJA1
Rab5if,RAB5IF
Taldo1,TALDO1
Spcs2,SPCS2
Cks2,CKS2
Psmb5,PSMB5
Selenoh,SELENOH
Coro1a,CORO1A
Mtdh,MTDH
Tln1,TLN1
Manf,MANF
Tomm5,TOMM5
Hnrnpc,HNRNPC
Abracl,ABRACL
Cct8,CCT8
Cdc42,CDC42
Pfdn5,PFDN5
Srp9,SRP9
Prrc2c,PRRC2C
Psma2,PSMA2
Psma3,PSMA3
Psmb1,PSMB1
Ybx3,YBX3
Serinc3,SERINC3
U2af1,U2AF1
Nsa2,NSA2
C1qbp,C1QBP
Ndufab1,NDUFAB1
Pcbp1,PCBP1
Smdt1,SMDT1
Zfp36l2,ZFP36L2
Fxyd5,FXYD5
Banf1,BANF1
Vdac2,VDAC2
Smarca5,SMARCA5
Polr1d,POLR1D
Creg1,CREG1
Ndufb8,NDUFB8
Cacybp,CACYBP
Kcnq1ot1,KCNQ1OT1
Mrpl33,MRPL33
Vcp,VCP
Eif3i,EIF3I
Tubb4b,TUBB4B
Ndufa13,NDUFA13
Pdia6,PDIA6
G3bp1,G3BP1
Sf3b5,SF3B5
Psmb3,PSMB3
Tcp1,TCP1
Ptpn18,PTPN18
Pdap1,PDAP1
Top1,TOP1
Ost4,OST4
Cox6a1,COX6A1
Sec11c,SEC11C
Eif3h,EIF3H
Dtymk,DTYMK
Dad1,DAD1
Pomp,POMP
Swi5,SWI5
Eif3e,EIF3E
Fkbp3,FKBP3
Cox7a2l,COX7A2L
Tmed9,TMED9
Sf3b6,SF3B6
Ccnd2,CCND2
Siva1,SIVA1
Esd,ESD
Mrpl18,MRPL18
Pa2g4,PA2G4
Actr3,ACTR3
Ndufc2,NDUFC2
Snrpd3,SNRPD3
Prdx5,PRDX5
Gmfg,GMFG
Tmsb10,TMSB10
Lsm6,LSM6
Gclm,GCLM
Ndufc1,NDUFC1
Sf3b2,SF3B2
Selenof,SELENOF
Mrps14,MRPS14
Nudc,NUDC
Arl6ip1,ARL6IP1
Rbm25,RBM25
Aprt,APRT
Mlec,MLEC
Rsrp1,RSRP1
Pgls,PGLS
Romo1,ROMO1
Atox1,ATOX1
Psma4,PSMA4
Sfpq,SFPQ
Gnb2,GNB2
Ube2i,UBE2I
Cct3,CCT3
Canx,CANX
Dstn,DSTN
Mrpl20,MRPL20
Cks1b,CKS1B
Tpi1,TPI1
Ndufa7,NDUFA7
Hnrnpm,HNRNPM
Llph,LLPH
Cnbp,CNBP
Tspo,TSPO
Psmb4,PSMB4
Polr2f,POLR2F
Lamtor4,LAMTOR4
Srrm1,SRRM1
Bsg,BSG
Psmb2,PSMB2
Eif5b,EIF5B
Rac2,RAC2
Prdx6,PRDX6
Cct5,CCT5
Rnaseh2c,RNASEH2C
Cdc37,CDC37
Erp29,ERP29
Nedd4,NEDD4
Arf1,ARF1
Pclaf,PCLAF
Ndufb11,NDUFB11
Bola2,BOLA2
Mbnl1,MBNL1
Lsm4,LSM4
Fus,FUS
Capza2,CAPZA2
Smc1a,SMC1A
Vim,VIM
Fdps,FDPS
Phb2,PHB2
Psmb8,PSMB8
Ndufs5,NDUFS5
Mdh2,MDH2
Tmem14c,TMEM14C
Nop58,NOP58
Pcna,PCNA
Aldh2,ALDH2
Atp6v1f,ATP6V1F
Cdk6,CDK6
Mki67,MKI67
Lamtor2,LAMTOR2
Elane,ELANE
Taf10,TAF10
St13,ST13
Anp32e,ANP32E
Lcp1,LCP1
Dnajc8,DNAJC8
Myl12b,MYL12B
Hspa9,HSPA9
Fbl,FBL
Snrnp70,SNRNP70
Gspt1,GSPT1
Phgdh,PHGDH
Cct7,CCT7
Ubap2l,UBAP2L
Emp3,EMP3
Magoh,MAGOH
Myb,MYB
Impdh2,IMPDH2
Cited2,CITED2
Nop56,NOP56
Hmgn2,HMGN2
Rhoa,RHOA
Smc4,SMC4
Psmd7,PSMD7
Atp6v0b,ATP6V0B
Anp32a,ANP32A
Ndufb3,NDUFB3
Ndufa12,NDUFA12
Srp14,SRP14
Dctpp1,DCTPP1
Ncor1,NCOR1
Mrpl12,MRPL12
Eif3m,EIF3M
Acin1,ACIN1
Micos13,MICOS13
Sf3b1,SF3B1
Lsm5,LSM5
Pabpn1,PABPN1
Prdx2,PRDX2
Pim1,PIM1
P4hb,P4HB
Alyref,ALYREF
Ube2d3,UBE2D3
Caprin1,CAPRIN1
Pdcd5,PDCD5
Ap3s1,AP3S1
Sarnp,SARNP
Psma6,PSMA6
Psma5,PSMA5
