raw_condition,canonical_condition,perturbation_genes,n_perturbation_genes,guide_class,n_cells_obs_metadata,all_genes_in_scgpt_vocabulary,all_genes_in_expression_var_metadata,model_compatible,eligible_pair_min75,selection_sha256,exclusion_reason,split,selection_rank
DOT1L_SMARCD1,DOT1L+SMARCD1,DOT1L;SMARCD1,2,Dual,204,True,True,True,True,4302438ed95776e36defa8724f9c4808d566ee911c0b28e95fba5c1b271c2305,,test,36.0
DOT1L_SSRP1,DOT1L+SSRP1,DOT1L;SSRP1,2,Dual,29,True,True,True,False,,pair_below_75_cells,excluded,
DOT1L_VPRBP,DOT1L+VPRBP,DOT1L;VPRBP,2,Dual,156,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
DOT1L,DOT1L+ctrl,DOT1L,1,Single,93,True,True,True,False,,,train,
EP300_FLI1,EP300+FLI1,EP300;FLI1,2,Dual,163,True,True,True,True,dd10bb788dc7040e5b3afd6c1f9969ff37429fb9a523207983a5e8b779a79df6,,train,100.0
EP300_GATA2,EP300+GATA2,EP300;GATA2,2,Dual,188,True,True,True,True,e20ae2e1be893ae061f138151500a9547a1f8202f40849016b4e04fc50df1929,,train,102.0
EP300_GFI1,EP300+GFI1,EP300;GFI1,2,Dual,161,True,True,True,True,773f42da79c035f772e370886f68b5fac767b72d1fcd072255a56964d5360052,,val,62.0
EP300_GSE1,EP300+GSE1,EP300;GSE1,2,Dual,112,True,True,True,True,9079b3d953d82b139d9e0706f00e9c8e7174ca6b8d306f9dd8d34045e3917d1b,,val,70.0
EP300_HDAC3,EP300+HDAC3,EP300;HDAC3,2,Dual,246,True,True,True,True,6899f55cb47bc214f9d53fe9e0a09266266b41f27522618526e4f60063410583,,val,57.0
EP300_IKZF1,EP300+IKZF1,EP300;IKZF1,2,Dual,91,True,True,True,True,0de0329988eb19b05fb1bde95f3c122a423409dee7a0fc144e0409c224171fc1,,test,4.0
EP300_INTS1,EP300+INTS1,EP300;INTS1,2,Dual,247,True,True,True,True,60d34852b67059c9e8188e9be3ae837c4199ae733a396927242b930ca4bf62ab,,val,53.0
EP300_KDM1A,EP300+KDM1A,EP300;KDM1A,2,Dual,117,True,True,True,True,fd82d66ca0805e59ad6369a572cf4a47a289e2a772123e5527216c14352781a5,,train,115.0
EP300_MED24,EP300+MED24,EP300;MED24,2,Dual,281,True,True,True,True,e49edc647a00ea0bcdc2ab87aac958442f5305b76c261156d6010fd85c969335,,train,104.0
EP300_MYB,EP300+MYB,EP300;MYB,2,Dual,121,True,True,True,True,379359d5ef21657bd0fd5b69df4207511bdd24a981a1351480242616bc71397e,,test,29.0
EP300_RCOR1,EP300+RCOR1,EP300;RCOR1,2,Dual,136,True,True,True,True,acfdfc11ab79c871cf5947ed9a5e23663aa4fc96db94abef50e8f3d108aaa63a,,train,85.0
EP300_RING1,EP300+RING1,EP300;RING1,2,Dual,179,True,True,True,True,cfa4f0f43f6676a710f1c4369d7a26c8fc3e0e5606a3092ce6c91e1e526c5ca6,,train,98.0
EP300_SMARCD1,EP300+SMARCD1,EP300;SMARCD1,2,Dual,208,True,True,True,True,a441b0f90115d4e327eccf4db9657b63dce64febc79229d41fb161e5fa592fa4,,train,80.0
EP300_SSRP1,EP300+SSRP1,EP300;SSRP1,2,Dual,146,True,True,True,True,b7299935668a31fc95b5418dc90451ffdc833ff4c1e92c59b7b324c4868493eb,,train,88.0
EP300_VPRBP,EP300+VPRBP,EP300;VPRBP,2,Dual,148,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
EP300,EP300+ctrl,EP300,1,Single,106,True,True,True,False,,,train,
FLI1_GATA2,FLI1+GATA2,FLI1;GATA2,2,Dual,256,True,True,True,True,92256e0421723f30591d439270b7580455585e50e0bc031ffc5a6584db7e03f7,,val,72.0
FLI1_GFI1,FLI1+GFI1,FLI1;GFI1,2,Dual,104,True,True,True,True,c2f6667080c0f479bae4e2856a46941cd2d08d40bef5b70890674f7f74c69cc9,,train,94.0
FLI1_GSE1,FLI1+GSE1,FLI1;GSE1,2,Dual,151,True,True,True,True,44c05b506b9fb532b409a847baf069794032f7950bee7b4f604dcebb5175a708,,test,37.0
FLI1_HDAC3,FLI1+HDAC3,FLI1;HDAC3,2,Dual,214,True,True,True,True,3fec6155e21a62bd717d3f9f0b4599663bdeda7f3694227196c7e9b50fb43b19,,test,34.0
FLI1_IKZF1,FLI1+IKZF1,FLI1;IKZF1,2,Dual,128,True,True,True,True,52fa231954bbf309452b9d76f2b97146be14e82914ef202c8a37c55cc7c6a5b0,,test,46.0
FLI1_INTS1,FLI1+INTS1,FLI1;INTS1,2,Dual,352,True,True,True,True,459c865c8d051afaed074bff7f7c67e66eda0c648200ac4c3f68bc8b815238df,,test,38.0
FLI1_KDM1A,FLI1+KDM1A,FLI1;KDM1A,2,Dual,157,True,True,True,True,c158d24c2545ca99149b789876a1334609d74bc46479e21bda89c56f650ce152,,train,92.0
FLI1_MED24,FLI1+MED24,FLI1;MED24,2,Dual,335,True,True,True,True,1818b3376163fa31d3daa0e47e9d74f0653bdc415d7c0160ca70ebe2a81871c6,,test,12.0
FLI1_MYB,FLI1+MYB,FLI1;MYB,2,Dual,66,True,True,True,False,,pair_below_75_cells,excluded,
FLI1_RCOR1,FLI1+RCOR1,FLI1;RCOR1,2,Dual,244,True,True,True,True,e5a64751241b2d9971a453a1164c3c1141485e4d01d0274788be08144d8e8e85,,train,106.0
FLI1_RING1,FLI1+RING1,FLI1;RING1,2,Dual,182,True,True,True,True,2f7aff9ba4a47acf95768f520b7312da5b5f00e6b9ccdee4a7efef919fa51373,,test,23.0
FLI1_SMARCD1,FLI1+SMARCD1,FLI1;SMARCD1,2,Dual,208,True,True,True,True,54b5a309cc1c9561f68e9e31b71364cc39e70f8e5bb97e4fa1d74897e49fc85c,,test,47.0
FLI1_SSRP1,FLI1+SSRP1,FLI1;SSRP1,2,Dual,145,True,True,True,True,ed8905140d6240af0373860e1f5dcf182cb1ca9b6761cde97c61d7f0bec85bc5,,train,111.0
FLI1_VPRBP,FLI1+VPRBP,FLI1;VPRBP,2,Dual,128,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
FLI1,FLI1+ctrl,FLI1,1,Single,217,True,True,True,False,,,train,
GATA2_GFI1,GATA2+GFI1,GATA2;GFI1,2,Dual,165,True,True,True,True,4c763f05b98157206715fab7c439ee2b31b336a5076a89ffbca9e7b9061f141f,,test,43.0
GATA2_GSE1,GATA2+GSE1,GATA2;GSE1,2,Dual,182,True,True,True,True,93c4e486d469160c76d7249d052e6f3995f22d17bc2c0c9721a272ab438683cf,,train,74.0
GATA2_HDAC3,GATA2+HDAC3,GATA2;HDAC3,2,Dual,250,True,True,True,True,f6b9155097ab68ddebd75f2f9a66d21eae91e9be132e3c89648142702ec72604,,train,113.0
GATA2_IKZF1,GATA2+IKZF1,GATA2;IKZF1,2,Dual,167,True,True,True,True,114fdeb87fc502c88e9563f530b47a78092f127fd12ebb6f0a7e3cea241999d7,,test,8.0
GATA2_INTS1,GATA2+INTS1,GATA2;INTS1,2,Dual,599,True,True,True,True,a1dae6ea3214a9d85e7a2aecf45d3f9f8d7bf9187040be9b1af732425929758d,,train,78.0
GATA2_KDM1A,GATA2+KDM1A,GATA2;KDM1A,2,Dual,196,True,True,True,True,4f110fe0ebe0cf528b09363d6122268fe5e2bdae7a33f809cc011550ddaeb42f,,test,45.0
GATA2_MED24,GATA2+MED24,GATA2;MED24,2,Dual,264,True,True,True,True,929bfa75d3080f6d6ba3030225b1859e1a5b489083ea67c572e41933ea57a9c1,,train,73.0
GATA2_MYB,GATA2+MYB,GATA2;MYB,2,Dual,70,True,True,True,False,,pair_below_75_cells,excluded,
GATA2_RCOR1,GATA2+RCOR1,GATA2;RCOR1,2,Dual,182,True,True,True,True,2047f3a6c9f98f9e9d35e3106101ca332b2e3bf057fe036e9c8024d9b74eaaf5,,test,17.0
GATA2_RING1,GATA2+RING1,GATA2;RING1,2,Dual,214,True,True,True,True,c0fef234814cd0e4b2220b4c58658a1f7b7a05349982ca09bdd3d5c43ad2a230,,train,91.0
GATA2_SMARCD1,GATA2+SMARCD1,GATA2;SMARCD1,2,Dual,244,True,True,True,True,7f2a7b9dc31c70a63d0b6de1679b003646f151bdf44ceee466bb9dfcc94c91c9,,val,66.0
GATA2_SSRP1,GATA2+SSRP1,GATA2;SSRP1,2,Dual,87,True,True,True,True,ff75b3cc601b80a3f8ad3f4adb1c78e1c4abf15e62154d511f65a0d5ebb083a0,,train,116.0
GATA2_VPRBP,GATA2+VPRBP,GATA2;VPRBP,2,Dual,230,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
GATA2,GATA2+ctrl,GATA2,1,Single,47,True,True,True,False,,,train,
GFI1_GSE1,GFI1+GSE1,GFI1;GSE1,2,Dual,80,True,True,True,True,3e312e632404efffad1e11c218499c0ae060459fe5018e195215a7e62d2c7810,,test,33.0
GFI1_HDAC3,GFI1+HDAC3,GFI1;HDAC3,2,Dual,208,True,True,True,True,dced5a551968d3b2b76b28880994b264ed9e1fd7f13f0b2b26b403cb2e461e02,,train,99.0
GFI1_IKZF1,GFI1+IKZF1,GFI1;IKZF1,2,Dual,33,True,True,True,False,,pair_below_75_cells,excluded,
GFI1_INTS1,GFI1+INTS1,GFI1;INTS1,2,Dual,282,True,True,True,True,1d2a1ab4161cc440d342fd175c10cf33b433729781489adff7f616b3d76300f0,,test,16.0
GFI1_KDM1A,GFI1+KDM1A,GFI1;KDM1A,2,Dual,67,True,True,True,False,,pair_below_75_cells,excluded,
GFI1_MED24,GFI1+MED24,GFI1;MED24,2,Dual,148,True,True,True,True,a402a8006874c6b909f22cff9c92113f36c645060128323ea1f8d2e8ed4b35b3,,train,79.0
GFI1_MYB,GFI1+MYB,GFI1;MYB,2,Dual,46,True,True,True,False,,pair_below_75_cells,excluded,
GFI1_RCOR1,GFI1+RCOR1,GFI1;RCOR1,2,Dual,93,True,True,True,True,3cab56d9126dc889af70dcd08c1afda2814c77ec5e1a92090bb1084c95d6aa00,,test,31.0
GFI1_RING1,GFI1+RING1,GFI1;RING1,2,Dual,182,True,True,True,True,688d02ab8a3ec2036c5f5aa19e22508d76d9119004d2596590759b8429462e05,,val,56.0
GFI1_SMARCD1,GFI1+SMARCD1,GFI1;SMARCD1,2,Dual,175,True,True,True,True,5be4df72ef5681e958636726470d202267b346a883ce7839ce107b9b626eb08a,,val,52.0
GFI1_SSRP1,GFI1+SSRP1,GFI1;SSRP1,2,Dual,40,True,True,True,False,,pair_below_75_cells,excluded,
GFI1_VPRBP,GFI1+VPRBP,GFI1;VPRBP,2,Dual,109,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
GFI1,GFI1+ctrl,GFI1,1,Single,74,True,True,True,False,,,train,
GSE1_HDAC3,GSE1+HDAC3,GSE1;HDAC3,2,Dual,185,True,True,True,True,a1b5952707cd22c8f937308ee0218098f9a1b7b493be821bfd603c13ec98a489,,train,77.0
GSE1_IKZF1,GSE1+IKZF1,GSE1;IKZF1,2,Dual,89,True,True,True,True,ac8a8810656888192ee02aeafa386978ae8096cfd5b94a3646c1e4610fd10e67,,train,84.0
GSE1_INTS1,GSE1+INTS1,GSE1;INTS1,2,Dual,469,True,True,True,True,24598b3687b6562ba87914f759bb65c9d8aa998126339e893feff4b5b5cea4d7,,test,19.0
GSE1_KDM1A,GSE1+KDM1A,GSE1;KDM1A,2,Dual,109,True,True,True,True,3a37214a04df8d195b8aff089d72319900bda6efc2fa085d895337f1be94704f,,test,30.0
GSE1_MED24,GSE1+MED24,GSE1;MED24,2,Dual,224,True,True,True,True,348e70f743323f4e83fcf0347eb76b1eebbbdb307a7b3f9fc81cc2171b738212,,test,27.0
GSE1_MYB,GSE1+MYB,GSE1;MYB,2,Dual,46,True,True,True,False,,pair_below_75_cells,excluded,
GSE1_RCOR1,GSE1+RCOR1,GSE1;RCOR1,2,Dual,146,True,True,True,True,ade414e1bd379bce1dcb66d144ab8cd87c40a233dfff0c77eaaffc48adeaab56,,train,86.0
GSE1_RING1,GSE1+RING1,GSE1;RING1,2,Dual,141,True,True,True,True,60d7ae7f475652316df82d4c540a0ece2761fce8087c325e6173d9bd12f16d6d,,val,54.0
GSE1_SMARCD1,GSE1+SMARCD1,GSE1;SMARCD1,2,Dual,107,True,True,True,True,953b88c0a7846184d9fb385133f58b1b1056b16ffea408018615b900e4b8295c,,train,75.0
GSE1_SSRP1,GSE1+SSRP1,GSE1;SSRP1,2,Dual,79,True,True,True,True,0f06c6a377178640cb2c0418d17705c6e28f986351ae03503d4cb5f578402c83,,test,5.0
GSE1_VPRBP,GSE1+VPRBP,GSE1;VPRBP,2,Dual,86,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
GSE1,GSE1+ctrl,GSE1,1,Single,92,True,True,True,False,,,train,
HDAC3_IKZF1,HDAC3+IKZF1,HDAC3;IKZF1,2,Dual,107,True,True,True,True,6dc894af448b7591503335cc8c54aa3639b3f634a2b5be0d85ab82060e528083,,val,58.0
HDAC3_INTS1,HDAC3+INTS1,HDAC3;INTS1,2,Dual,684,True,True,True,True,c204c5d03390678941a00abd3bab3d3ba879a388bc38bbd5cc1fc8d7c687b8d6,,train,93.0
HDAC3_KDM1A,HDAC3+KDM1A,HDAC3;KDM1A,2,Dual,99,True,True,True,True,e251a85bbc8c684caa2bfc8a9adc1127cce9123efe2dd4a0e2b36575f58bbceb,,train,103.0
HDAC3_MED24,HDAC3+MED24,HDAC3;MED24,2,Dual,152,True,True,True,True,8a3164854044acdda9c145e35427c5ed865099a7c6393299e27664eaa61e3c25,,val,68.0
HDAC3_MYB,HDAC3+MYB,HDAC3;MYB,2,Dual,70,True,True,True,False,,pair_below_75_cells,excluded,
HDAC3_RCOR1,HDAC3+RCOR1,HDAC3;RCOR1,2,Dual,52,True,True,True,False,,pair_below_75_cells,excluded,
HDAC3_RING1,HDAC3+RING1,HDAC3;RING1,2,Dual,195,True,True,True,True,91cf9dac5347377a11c1c70a72b8d34b15019649f223632238b02f5272dfbff4,,val,71.0
HDAC3_SMARCD1,HDAC3+SMARCD1,HDAC3;SMARCD1,2,Dual,331,True,True,True,True,1c9050c05361c78a5d3deb1dd1af0516bccc53ccfb961d98dd1e31a4e1c15bc3,,test,14.0
HDAC3_SSRP1,HDAC3+SSRP1,HDAC3;SSRP1,2,Dual,80,True,True,True,True,3284288049bc85773a968d993b3cdb8bde55fdfc6d2f879db063de08bd3d4045,,test,26.0
HDAC3_VPRBP,HDAC3+VPRBP,HDAC3;VPRBP,2,Dual,193,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
HDAC3,HDAC3+ctrl,HDAC3,1,Single,96,True,True,True,False,,,train,
IKZF1_INTS1,IKZF1+INTS1,IKZF1;INTS1,2,Dual,565,True,True,True,True,354eeea079a014ff890ae436a85b65a86f5515ff04dc6f528bb51e86366b80c5,,test,28.0
IKZF1_KDM1A,IKZF1+KDM1A,IKZF1;KDM1A,2,Dual,161,True,True,True,True,30d9d5d232befbe3ea8e4148978eca4a9d0cbd0f97418d3e87ef3c7fd1e78244,,test,25.0
IKZF1_MED24,IKZF1+MED24,IKZF1;MED24,2,Dual,116,True,True,True,True,1c68822db88a91bdfdd79350a69a9cc0c58eb7d287974b3823c0b5bf87fb152a,,test,13.0
IKZF1_MYB,IKZF1+MYB,IKZF1;MYB,2,Dual,41,True,True,True,False,,pair_below_75_cells,excluded,
IKZF1_RCOR1,IKZF1+RCOR1,IKZF1;RCOR1,2,Dual,63,True,True,True,False,,pair_below_75_cells,excluded,
IKZF1_RING1,IKZF1+RING1,IKZF1;RING1,2,Dual,62,True,True,True,False,,pair_below_75_cells,excluded,
IKZF1_SMARCD1,IKZF1+SMARCD1,IKZF1;SMARCD1,2,Dual,156,True,True,True,True,13de5e94d0cd3d69eb9a46ba0e0e77ff9cc0fce63c773086ba79a769e93ee2b7,,test,10.0
IKZF1_SSRP1,IKZF1+SSRP1,IKZF1;SSRP1,2,Dual,36,True,True,True,False,,pair_below_75_cells,excluded,
IKZF1_VPRBP,IKZF1+VPRBP,IKZF1;VPRBP,2,Dual,133,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
IKZF1,IKZF1+ctrl,IKZF1,1,Single,45,True,True,True,False,,,train,
INTS1_KDM1A,INTS1+KDM1A,INTS1;KDM1A,2,Dual,462,True,True,True,True,55cb70fbf4b9a6ed556df7b5ec9b998b366dc93d67b9605a9ae2d8d7356ab9cf,,test,48.0
INTS1_MED24,INTS1+MED24,INTS1;MED24,2,Dual,322,True,True,True,True,576826f65cfd2a6beb470736d2a49f6fc94c05d6214e755029d1c65613e0e0fd,,val,49.0
INTS1_MYB,INTS1+MYB,INTS1;MYB,2,Dual,168,True,True,True,True,c92169ed190ea7374ff65d621ad98a0d4dd324b2a7038d4cc0bc6e9ffddbe3de,,train,95.0
INTS1_RCOR1,INTS1+RCOR1,INTS1;RCOR1,2,Dual,555,True,True,True,True,ce8156f41f1d4ab281c1f8c5be23bafdd027f41390da952e2c1ccda9e51fac2f,,train,97.0
INTS1_RING1,INTS1+RING1,INTS1;RING1,2,Dual,575,True,True,True,True,1604e0055ffe8e8ec53efcd162856eee286aea0cfc297d101f8777d2d3989c0a,,test,11.0
INTS1_SMARCD1,INTS1+SMARCD1,INTS1;SMARCD1,2,Dual,767,True,True,True,True,593ed71e0b13109fc3e6446d8c6b7e94622553ff1fa7b2b7f3fe5964b6a65f2a,,val,50.0
INTS1_SSRP1,INTS1+SSRP1,INTS1;SSRP1,2,Dual,514,True,True,True,True,242b8ecb92625aee997b480f8fbbca56ad14d60c07918a2fd24f3af732108fc5,,test,18.0
INTS1_VPRBP,INTS1+VPRBP,INTS1;VPRBP,2,Dual,410,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
INTS1,INTS1+ctrl,INTS1,1,Single,290,True,True,True,False,,,train,
KDM1A_MED24,KDM1A+MED24,KDM1A;MED24,2,Dual,121,True,True,True,True,121a20df6e90a687c418b323f82eb8f23436e93c93bcc9a52b6e036a772545d1,,test,9.0
KDM1A_MYB,KDM1A+MYB,KDM1A;MYB,2,Dual,34,True,True,True,False,,pair_below_75_cells,excluded,
KDM1A_RCOR1,KDM1A+RCOR1,KDM1A;RCOR1,2,Dual,59,True,True,True,False,,pair_below_75_cells,excluded,
KDM1A_RING1,KDM1A+RING1,KDM1A;RING1,2,Dual,111,True,True,True,True,82d7a4416ab3f2985f870af6f9326a13935bc9027d29f42df40122ad01f13bdf,,val,67.0
KDM1A_SMARCD1,KDM1A+SMARCD1,KDM1A;SMARCD1,2,Dual,205,True,True,True,True,3077172376c7d7f314522ab68026f07def511bb7149bcea5ce93fec2f92e778e,,test,24.0
KDM1A_SSRP1,KDM1A+SSRP1,KDM1A;SSRP1,2,Dual,56,True,True,True,False,,pair_below_75_cells,excluded,
KDM1A_VPRBP,KDM1A+VPRBP,KDM1A;VPRBP,2,Dual,109,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
KDM1A,KDM1A+ctrl,KDM1A,1,Single,39,True,True,True,False,,,train,
MED13L_MED14,MED13L+MED14,MED13L;MED14,2,Dual,127,True,True,True,True,245b091ad9552b1171cb0e227ba172093e3c071d540db6d9806163fa1c1c383d,,test,20.0
MED13L_MED16,MED13L+MED16,MED13L;MED16,2,Dual,200,True,True,True,True,5aad314005c620841c762f9deae1d2b32b74156582a233180273a1a1b912a15d,,val,51.0
MED13L_MED19,MED13L+MED19,MED13L;MED19,2,Dual,100,True,True,True,True,7eef8432692fd6f1793b400a88ca55712fd9b3bf25b347c8be4f2d1e2982159b,,val,65.0
MED13L_MED22,MED13L+MED22,MED13L;MED22,2,Dual,142,True,True,True,True,292267766bbc8b1bc1d76ff656a8e7b9745f3cbe50c0d44abc58ecefaa2eabf9,,test,21.0
MED13L_MED24,MED13L+MED24,MED13L;MED24,2,Dual,123,True,True,True,True,1d1ac0ff9cf89ec376757ab596b0ad91e4c0aa8470391c3ffb333782b19c77fc,,test,15.0
MED13L,MED13L+ctrl,MED13L,1,Single,27,True,True,True,False,,,train,
MED14_MED16,MED14+MED16,MED14;MED16,2,Dual,59,True,True,True,False,,pair_below_75_cells,excluded,
MED14_MED19,MED14+MED19,MED14;MED19,2,Dual,142,True,True,True,True,2b9502590808dcd6b2a00b092b5bec6d8ff91fedf9e8b9c596b0e35118067ae8,,test,22.0
MED14_MED22,MED14+MED22,MED14;MED22,2,Dual,129,True,True,True,True,9aed411d0376d706300096d0351ea4a47a3170c09a545e7e8951fc22a9f4eade,,train,76.0
MED14_MED24,MED14+MED24,MED14;MED24,2,Dual,119,True,True,True,True,b82da3cb9b56f3db27312f32d2bb6bfa89da55b554aa79fff413944c7aafd760,,train,89.0
MED14,MED14+ctrl,MED14,1,Single,49,True,True,True,False,,,train,
MED16_MED19,MED16+MED19,MED16;MED19,2,Dual,139,True,True,True,True,0fc3a533366ef5a8f6311722a310e3bc7d871c39358a753d80a1a63451d82baf,,test,6.0
MED16_MED22,MED16+MED22,MED16;MED22,2,Dual,148,True,True,True,True,4b83088f576977c5b0e74293db50b0ec443a574ab7008eaf28612ffe9602269a,,test,42.0
MED16_MED24,MED16+MED24,MED16;MED24,2,Dual,212,True,True,True,True,8a988e2f049d27c117ba4ee6318ae7559f24de940f7898e3e1d9d32c6b0e9130,,val,69.0
MED16,MED16+ctrl,MED16,1,Single,51,True,True,True,False,,,train,
MED19_MED22,MED19+MED22,MED19;MED22,2,Dual,106,True,True,True,True,7e51436660839c4c3ef067873a24245ec583ac754c1bcf55f9b8c15065704054,,val,64.0
MED19_MED24,MED19+MED24,MED19;MED24,2,Dual,209,True,True,True,True,fb1ba0745f2a811c85ce38478e6e678e564bc6d86b6d5319155351e8adf87fb9,,train,114.0
MED19,MED19+ctrl,MED19,1,Single,48,True,True,True,False,,,train,
MED22_MED24,MED22+MED24,MED22;MED24,2,Dual,240,True,True,True,True,e825a5bd953816ffe8a4f45d69c412b84393aa986cccb869ae8620e6a9454e20,,train,108.0
MED22,MED22+ctrl,MED22,1,Single,49,True,True,True,False,,,train,
MED24_MYB,MED24+MYB,MED24;MYB,2,Dual,66,True,True,True,False,,pair_below_75_cells,excluded,
MED24_RCOR1,MED24+RCOR1,MED24;RCOR1,2,Dual,147,True,True,True,True,0103a15c0f0402baaa7bbc42bf9560fd5f08594d22ce1ca55ffbd66f5b8261ae,,test,1.0
MED24_RING1,MED24+RING1,MED24;RING1,2,Dual,154,True,True,True,True,79452cb99cafed80e5e5b89206c1849af168248e8f821247ddd35030b0adc120,,val,63.0
MED24_SMARCD1,MED24+SMARCD1,MED24;SMARCD1,2,Dual,233,True,True,True,True,6f353ceaf6123db1a8a8b1e382ed81747f63462b229ad07b4af276312e44152c,,val,59.0
MED24_SSRP1,MED24+SSRP1,MED24;SSRP1,2,Dual,146,True,True,True,True,a65a791362b519ed79689abaab3e415d5f149fbd86d0caf26da56350a3078984,,train,81.0
MED24_VPRBP,MED24+VPRBP,MED24;VPRBP,2,Dual,204,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
MED24,MED24+ctrl,MED24,1,Single,110,True,True,True,False,,,train,
MYB_RCOR1,MYB+RCOR1,MYB;RCOR1,2,Dual,40,True,True,True,False,,pair_below_75_cells,excluded,
MYB_RING1,MYB+RING1,MYB;RING1,2,Dual,38,True,True,True,False,,pair_below_75_cells,excluded,
MYB_SMARCD1,MYB+SMARCD1,MYB;SMARCD1,2,Dual,62,True,True,True,False,,pair_below_75_cells,excluded,
MYB_SSRP1,MYB+SSRP1,MYB;SSRP1,2,Dual,44,True,True,True,False,,pair_below_75_cells,excluded,
MYB_VPRBP,MYB+VPRBP,MYB;VPRBP,2,Dual,37,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
MYB,MYB+ctrl,MYB,1,Single,15,True,True,True,False,,,train,
RCOR1_RING1,RCOR1+RING1,RCOR1;RING1,2,Dual,89,True,True,True,True,ed154676e4442ccc88856c7191b2ccab0fa5413d493a3c1fef84a02e3d7528d8,,train,110.0
RCOR1_SMARCD1,RCOR1+SMARCD1,RCOR1;SMARCD1,2,Dual,119,True,True,True,True,3cc09732f3c04efbcc50c174ebb29b6a3261be2ff465cd00cedb844a9683d68b,,test,32.0
RCOR1_SSRP1,RCOR1+SSRP1,RCOR1;SSRP1,2,Dual,63,True,True,True,False,,pair_below_75_cells,excluded,
RCOR1_VPRBP,RCOR1+VPRBP,RCOR1;VPRBP,2,Dual,190,False,False,False,False,,gene_missing_from_scgpt_vocabulary_and_expression_var,excluded,
RCOR1,RCOR1+ctrl,RCOR1,1,Single,61,True,True,True,False,,,train,
