canonical_condition,perturbation_genes,n_cells_obs_metadata,selection_sha256,selection_rank,split
GATA2+RCOR1,GATA2;RCOR1,182,2047f3a6c9f98f9e9d35e3106101ca332b2e3bf057fe036e9c8024d9b74eaaf5,17,test
INTS1+SSRP1,INTS1;SSRP1,514,242b8ecb92625aee997b480f8fbbca56ad14d60c07918a2fd24f3af732108fc5,18,test
GSE1+INTS1,GSE1;INTS1,469,24598b3687b6562ba87914f759bb65c9d8aa998126339e893feff4b5b5cea4d7,19,test
MED13L+MED14,MED13L;MED14,127,245b091ad9552b1171cb0e227ba172093e3c071d540db6d9806163fa1c1c383d,20,test
MED13L+MED22,MED13L;MED22,142,292267766bbc8b1bc1d76ff656a8e7b9745f3cbe50c0d44abc58ecefaa2eabf9,21,test
MED14+MED19,MED14;MED19,142,2b9502590808dcd6b2a00b092b5bec6d8ff91fedf9e8b9c596b0e35118067ae8,22,test
FLI1+RING1,FLI1;RING1,182,2f7aff9ba4a47acf95768f520b7312da5b5f00e6b9ccdee4a7efef919fa51373,23,test
KDM1A+SMARCD1,KDM1A;SMARCD1,205,3077172376c7d7f314522ab68026f07def511bb7149bcea5ce93fec2f92e778e,24,test
IKZF1+KDM1A,IKZF1;KDM1A,161,30d9d5d232befbe3ea8e4148978eca4a9d0cbd0f97418d3e87ef3c7fd1e78244,25,test
HDAC3+SSRP1,HDAC3;SSRP1,80,3284288049bc85773a968d993b3cdb8bde55fdfc6d2f879db063de08bd3d4045,26,test
GSE1+MED24,GSE1;MED24,224,348e70f743323f4e83fcf0347eb76b1eebbbdb307a7b3f9fc81cc2171b738212,27,test
IKZF1+INTS1,IKZF1;INTS1,565,354eeea079a014ff890ae436a85b65a86f5515ff04dc6f528bb51e86366b80c5,28,test
EP300+MYB,EP300;MYB,121,379359d5ef21657bd0fd5b69df4207511bdd24a981a1351480242616bc71397e,29,test
GSE1+KDM1A,GSE1;KDM1A,109,3a37214a04df8d195b8aff089d72319900bda6efc2fa085d895337f1be94704f,30,test
GFI1+RCOR1,GFI1;RCOR1,93,3cab56d9126dc889af70dcd08c1afda2814c77ec5e1a92090bb1084c95d6aa00,31,test
RCOR1+SMARCD1,RCOR1;SMARCD1,119,3cc09732f3c04efbcc50c174ebb29b6a3261be2ff465cd00cedb844a9683d68b,32,test
GFI1+GSE1,GFI1;GSE1,80,3e312e632404efffad1e11c218499c0ae060459fe5018e195215a7e62d2c7810,33,test
FLI1+HDAC3,FLI1;HDAC3,214,3fec6155e21a62bd717d3f9f0b4599663bdeda7f3694227196c7e9b50fb43b19,34,test
RING1+SMARCD1,RING1;SMARCD1,155,40a6330f79d02773212e7068c5b40e475f6b0a769d74e16880234e9476af90f4,35,test
DOT1L+SMARCD1,DOT1L;SMARCD1,204,4302438ed95776e36defa8724f9c4808d566ee911c0b28e95fba5c1b271c2305,36,test
FLI1+GSE1,FLI1;GSE1,151,44c05b506b9fb532b409a847baf069794032f7950bee7b4f604dcebb5175a708,37,test
FLI1+INTS1,FLI1;INTS1,352,459c865c8d051afaed074bff7f7c67e66eda0c648200ac4c3f68bc8b815238df,38,test
SSRP1+SUPT6H,SSRP1;SUPT6H,89,45e78803cd873754ac56af8192f58e6fab32de33452e6c8d43f817a4c2e7b133,39,test
DOT1L+HDAC3,DOT1L;HDAC3,266,47306d8eeab9b1399c3c4b649d3a8956e54ddc2c7828bac90546c708405394a5,40,test
DOT1L+GATA2,DOT1L;GATA2,170,47b623f82aa7be773ace9cc89e979458cd9ef1f127b92f52aa57eb69cadd4e71,41,test
MED16+MED22,MED16;MED22,148,4b83088f576977c5b0e74293db50b0ec443a574ab7008eaf28612ffe9602269a,42,test
GATA2+GFI1,GATA2;GFI1,165,4c763f05b98157206715fab7c439ee2b31b336a5076a89ffbca9e7b9061f141f,43,test
DOT1L+MED24,DOT1L;MED24,288,4d94267ea5914c64ef498e4c325e1bec7f89619960da14ab362ff19abd3da0db,44,test
GATA2+KDM1A,GATA2;KDM1A,196,4f110fe0ebe0cf528b09363d6122268fe5e2bdae7a33f809cc011550ddaeb42f,45,test
FLI1+IKZF1,FLI1;IKZF1,128,52fa231954bbf309452b9d76f2b97146be14e82914ef202c8a37c55cc7c6a5b0,46,test
FLI1+SMARCD1,FLI1;SMARCD1,208,54b5a309cc1c9561f68e9e31b71364cc39e70f8e5bb97e4fa1d74897e49fc85c,47,test
INTS1+KDM1A,INTS1;KDM1A,462,55cb70fbf4b9a6ed556df7b5ec9b998b366dc93d67b9605a9ae2d8d7356ab9cf,48,test
INTS1+MED24,INTS1;MED24,322,576826f65cfd2a6beb470736d2a49f6fc94c05d6214e755029d1c65613e0e0fd,49,val
INTS1+SMARCD1,INTS1;SMARCD1,767,593ed71e0b13109fc3e6446d8c6b7e94622553ff1fa7b2b7f3fe5964b6a65f2a,50,val
MED13L+MED16,MED13L;MED16,200,5aad314005c620841c762f9deae1d2b32b74156582a233180273a1a1b912a15d,51,val
GFI1+SMARCD1,GFI1;SMARCD1,175,5be4df72ef5681e958636726470d202267b346a883ce7839ce107b9b626eb08a,52,val
EP300+INTS1,EP300;INTS1,247,60d34852b67059c9e8188e9be3ae837c4199ae733a396927242b930ca4bf62ab,53,val
GSE1+RING1,GSE1;RING1,141,60d7ae7f475652316df82d4c540a0ece2761fce8087c325e6173d9bd12f16d6d,54,val
DOT1L+EP300,DOT1L;EP300,245,649b63e0ed04d711b3902f5593f118900efde06cf4e3fe2a4db4255c8a32364b,55,val
GFI1+RING1,GFI1;RING1,182,688d02ab8a3ec2036c5f5aa19e22508d76d9119004d2596590759b8429462e05,56,val
EP300+HDAC3,EP300;HDAC3,246,6899f55cb47bc214f9d53fe9e0a09266266b41f27522618526e4f60063410583,57,val
HDAC3+IKZF1,HDAC3;IKZF1,107,6dc894af448b7591503335cc8c54aa3639b3f634a2b5be0d85ab82060e528083,58,val
MED24+SMARCD1,MED24;SMARCD1,233,6f353ceaf6123db1a8a8b1e382ed81747f63462b229ad07b4af276312e44152c,59,val
SUPT5H+SUPT6H,SUPT5H;SUPT6H,238,7493649ab8b9c09f511ebdae7e5251ed9ef3121e821ef480bf188dcce26b84c4,60,val
DOT1L+FLI1,DOT1L;FLI1,196,75ee6468f71bb08404f585a20302a740ab5c6de098c3003d60a90533286fad49,61,val
EP300+GFI1,EP300;GFI1,161,773f42da79c035f772e370886f68b5fac767b72d1fcd072255a56964d5360052,62,val
MED24+RING1,MED24;RING1,154,79452cb99cafed80e5e5b89206c1849af168248e8f821247ddd35030b0adc120,63,val
MED19+MED22,MED19;MED22,106,7e51436660839c4c3ef067873a24245ec583ac754c1bcf55f9b8c15065704054,64,val
MED13L+MED19,MED13L;MED19,100,7eef8432692fd6f1793b400a88ca55712fd9b3bf25b347c8be4f2d1e2982159b,65,val
GATA2+SMARCD1,GATA2;SMARCD1,244,7f2a7b9dc31c70a63d0b6de1679b003646f151bdf44ceee466bb9dfcc94c91c9,66,val
KDM1A+RING1,KDM1A;RING1,111,82d7a4416ab3f2985f870af6f9326a13935bc9027d29f42df40122ad01f13bdf,67,val
HDAC3+MED24,HDAC3;MED24,152,8a3164854044acdda9c145e35427c5ed865099a7c6393299e27664eaa61e3c25,68,val
MED16+MED24,MED16;MED24,212,8a988e2f049d27c117ba4ee6318ae7559f24de940f7898e3e1d9d32c6b0e9130,69,val
EP300+GSE1,EP300;GSE1,112,9079b3d953d82b139d9e0706f00e9c8e7174ca6b8d306f9dd8d34045e3917d1b,70,val
HDAC3+RING1,HDAC3;RING1,195,91cf9dac5347377a11c1c70a72b8d34b15019649f223632238b02f5272dfbff4,71,val
FLI1+GATA2,FLI1;GATA2,256,92256e0421723f30591d439270b7580455585e50e0bc031ffc5a6584db7e03f7,72,val
GATA2+MED24,GATA2;MED24,264,929bfa75d3080f6d6ba3030225b1859e1a5b489083ea67c572e41933ea57a9c1,73,train
GATA2+GSE1,GATA2;GSE1,182,93c4e486d469160c76d7249d052e6f3995f22d17bc2c0c9721a272ab438683cf,74,train
GSE1+SMARCD1,GSE1;SMARCD1,107,953b88c0a7846184d9fb385133f58b1b1056b16ffea408018615b900e4b8295c,75,train
MED14+MED22,MED14;MED22,129,9aed411d0376d706300096d0351ea4a47a3170c09a545e7e8951fc22a9f4eade,76,train
GSE1+HDAC3,GSE1;HDAC3,185,a1b5952707cd22c8f937308ee0218098f9a1b7b493be821bfd603c13ec98a489,77,train
GATA2+INTS1,GATA2;INTS1,599,a1dae6ea3214a9d85e7a2aecf45d3f9f8d7bf9187040be9b1af732425929758d,78,train
GFI1+MED24,GFI1;MED24,148,a402a8006874c6b909f22cff9c92113f36c645060128323ea1f8d2e8ed4b35b3,79,train
EP300+SMARCD1,EP300;SMARCD1,208,a441b0f90115d4e327eccf4db9657b63dce64febc79229d41fb161e5fa592fa4,80,train
MED24+SSRP1,MED24;SSRP1,146,a65a791362b519ed79689abaab3e415d5f149fbd86d0caf26da56350a3078984,81,train
DOT1L+INTS1,DOT1L;INTS1,773,a7207cb59d767433e56c8feb5aa61dffd209fea5baf7d169cdd142d666c535a6,82,train
DOT1L+GSE1,DOT1L;GSE1,130,aa7451daea9e8973ac99ea9d1a848c3346f1afa194e7a6bcb8d14becb772e756,83,train
GSE1+IKZF1,GSE1;IKZF1,89,ac8a8810656888192ee02aeafa386978ae8096cfd5b94a3646c1e4610fd10e67,84,train
EP300+RCOR1,EP300;RCOR1,136,acfdfc11ab79c871cf5947ed9a5e23663aa4fc96db94abef50e8f3d108aaa63a,85,train
GSE1+RCOR1,GSE1;RCOR1,146,ade414e1bd379bce1dcb66d144ab8cd87c40a233dfff0c77eaaffc48adeaab56,86,train
DOT1L+IKZF1,DOT1L;IKZF1,137,b68ea9f102e874094b749503a56de0aba5b20b007d800d1b108b0e029ae57220,87,train
EP300+SSRP1,EP300;SSRP1,146,b7299935668a31fc95b5418dc90451ffdc833ff4c1e92c59b7b324c4868493eb,88,train
MED14+MED24,MED14;MED24,119,b82da3cb9b56f3db27312f32d2bb6bfa89da55b554aa79fff413944c7aafd760,89,train
DOT1L+GFI1,DOT1L;GFI1,159,c0f1d0040a42ef9a40f05b2fb6e3625f2a17a13e2e8ff300abeb1db4ea1b94af,90,train
GATA2+RING1,GATA2;RING1,214,c0fef234814cd0e4b2220b4c58658a1f7b7a05349982ca09bdd3d5c43ad2a230,91,train
FLI1+KDM1A,FLI1;KDM1A,157,c158d24c2545ca99149b789876a1334609d74bc46479e21bda89c56f650ce152,92,train
HDAC3+INTS1,HDAC3;INTS1,684,c204c5d03390678941a00abd3bab3d3ba879a388bc38bbd5cc1fc8d7c687b8d6,93,train
FLI1+GFI1,FLI1;GFI1,104,c2f6667080c0f479bae4e2856a46941cd2d08d40bef5b70890674f7f74c69cc9,94,train
INTS1+MYB,INTS1;MYB,168,c92169ed190ea7374ff65d621ad98a0d4dd324b2a7038d4cc0bc6e9ffddbe3de,95,train
SMARCD1+SSRP1,SMARCD1;SSRP1,98,ccee887f0444658ada9939137f3c1a6a791bc9932e83e69376d38b90c09d67f6,96,train
INTS1+RCOR1,INTS1;RCOR1,555,ce8156f41f1d4ab281c1f8c5be23bafdd027f41390da952e2c1ccda9e51fac2f,97,train
EP300+RING1,EP300;RING1,179,cfa4f0f43f6676a710f1c4369d7a26c8fc3e0e5606a3092ce6c91e1e526c5ca6,98,train
GFI1+HDAC3,GFI1;HDAC3,208,dced5a551968d3b2b76b28880994b264ed9e1fd7f13f0b2b26b403cb2e461e02,99,train
EP300+FLI1,EP300;FLI1,163,dd10bb788dc7040e5b3afd6c1f9969ff37429fb9a523207983a5e8b779a79df6,100,train
SSRP1+SUPT16H,SSRP1;SUPT16H,140,dde5f8acdc4a437f3c15dcf9561efc656d62506ecff311f2348315b7dd65cea3,101,train
EP300+GATA2,EP300;GATA2,188,e20ae2e1be893ae061f138151500a9547a1f8202f40849016b4e04fc50df1929,102,train
HDAC3+KDM1A,HDAC3;KDM1A,99,e251a85bbc8c684caa2bfc8a9adc1127cce9123efe2dd4a0e2b36575f58bbceb,103,train
EP300+MED24,EP300;MED24,281,e49edc647a00ea0bcdc2ab87aac958442f5305b76c261156d6010fd85c969335,104,train
SMARCA5+SMARCD1,SMARCA5;SMARCD1,195,e4df894c084d7b009374890b3b8eadd4f01fdd2f2de6857abf30edaca7d902fb,105,train
FLI1+RCOR1,FLI1;RCOR1,244,e5a64751241b2d9971a453a1164c3c1141485e4d01d0274788be08144d8e8e85,106,train
SUPT16H+SUPT6H,SUPT16H;SUPT6H,185,e6a3caf24e4305268467ee37d9403a46c57e21ed19d15c31353cbc14a7a1317c,107,train
MED22+MED24,MED22;MED24,240,e825a5bd953816ffe8a4f45d69c412b84393aa986cccb869ae8620e6a9454e20,108,train
SUPT16H+SUPT5H,SUPT16H;SUPT5H,276,eb183acaed6bc2a0fba7cecaa68f6860c19b6414e9d29aa1e6857632fd41232b,109,train
RCOR1+RING1,RCOR1;RING1,89,ed154676e4442ccc88856c7191b2ccab0fa5413d493a3c1fef84a02e3d7528d8,110,train
FLI1+SSRP1,FLI1;SSRP1,145,ed8905140d6240af0373860e1f5dcf182cb1ca9b6761cde97c61d7f0bec85bc5,111,train
SSRP1+SUPT5H,SSRP1;SUPT5H,119,f6921a249dfd9303921f6285ea7223e949b02c2d3de2a215b3a76c238d1cfb32,112,train
GATA2+HDAC3,GATA2;HDAC3,250,f6b9155097ab68ddebd75f2f9a66d21eae91e9be132e3c89648142702ec72604,113,train
MED19+MED24,MED19;MED24,209,fb1ba0745f2a811c85ce38478e6e678e564bc6d86b6d5319155351e8adf87fb9,114,train
EP300+KDM1A,EP300;KDM1A,117,fd82d66ca0805e59ad6369a572cf4a47a289e2a772123e5527216c14352781a5,115,train
GATA2+SSRP1,GATA2;SSRP1,87,ff75b3cc601b80a3f8ad3f4adb1c78e1c4abf15e62154d511f65a0d5ebb083a0,116,train
