panel,split,condition,n_cells_input_or_metadata,expression_matrix_read,n_perturbation_genes,training_edistance_label_finite,expression_used_for_gene_selection,expression_used_for_pca_fit,expression_used_for_edistance_fit,expression_role_if_not_train
Norman_P3,val,FOSB+OSR2,382,True,2,False,False,False,False,fixed_transform_validation
Norman_P3,val,FOSB+PTPN12,345,True,2,False,False,False,False,fixed_transform_validation
Norman_P3,val,FOXA1+FOXA3,216,True,2,False,False,False,False,fixed_transform_validation
Norman_P3,val,IER5L+ctrl,405,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,val,IKZF3+MAP2K6,300,True,2,False,False,False,False,fixed_transform_validation
Norman_P3,val,MAP2K6+ctrl,878,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,val,MIDN+ctrl,298,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,val,OSR2+PTPN12,339,True,2,False,False,False,False,fixed_transform_validation
Norman_P3,val,PLK4+ctrl,113,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,val,PTPN12+ZBTB10,265,True,2,False,False,False,False,fixed_transform_validation
Norman_P3,val,RREB1+ctrl,331,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,val,SGK1+ctrl,483,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,val,SLC4A1+ctrl,1000,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,val,SPI1+ctrl,613,True,1,False,False,False,False,fixed_transform_validation
Norman_P3,test,AHR+ctrl,558,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,CBL+ctrl,663,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,CDKN1A+ctrl,360,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,CEBPE+ctrl,1233,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,CITED1+ctrl,215,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,CNN1+ctrl,765,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,CNNM4+ctrl,470,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,DUSP9+ctrl,731,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,EGR1+ctrl,322,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,FOXF1+ctrl,874,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,FOXO4+ctrl,215,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,HOXB9+ctrl,701,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,HOXC13+ctrl,385,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,IRF1+ctrl,427,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,KIF2C+ctrl,634,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,KMT2A+ctrl,241,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,LHX1+ctrl,375,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,MAP2K3+ctrl,579,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,PTPN9+ctrl,445,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,RHOXF2+ctrl,328,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,SET+ctrl,986,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,TGFBR2+ctrl,646,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,ZBTB25+ctrl,740,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P3,test,ZNF318+ctrl,650,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,train,ARRDC3+ctrl,495,True,1,True,True,True,True,fit
Norman_P4,train,ATL1+ctrl,379,True,1,True,True,True,True,fit
Norman_P4,train,BCL2L11+ctrl,582,True,1,True,True,True,True,fit
Norman_P4,train,BPGM+SAMD1,301,True,2,True,True,True,True,fit
Norman_P4,train,BPGM+ctrl,464,True,1,True,True,True,True,fit
Norman_P4,train,CBFA2T3+FEV,159,True,2,True,True,True,True,fit
Norman_P4,train,CBFA2T3+POU3F2,216,True,2,True,True,True,True,fit
Norman_P4,train,CBFA2T3+PRDM1,106,True,2,True,True,True,True,fit
Norman_P4,train,CDKN1C+ctrl,230,True,1,True,True,True,True,fit
Norman_P4,train,CEBPA+CEBPB,64,True,2,True,True,True,True,fit
Norman_P4,train,CEBPA+JUN,54,True,2,True,True,True,True,fit
Norman_P4,train,CEBPA+ctrl,460,True,1,True,True,True,True,fit
Norman_P4,train,CEBPB+FOSB,71,True,2,True,True,True,True,fit
Norman_P4,train,CEBPB+OSR2,211,True,2,True,True,True,True,fit
Norman_P4,train,CEBPB+PTPN12,331,True,2,True,True,True,True,fit
Norman_P4,train,CEBPB+ctrl,488,True,1,True,True,True,True,fit
Norman_P4,train,CKS1B+ctrl,241,True,1,True,True,True,True,fit
Norman_P4,train,CLDN6+ctrl,670,True,1,True,True,True,True,fit
Norman_P4,train,COL1A1+ctrl,328,True,1,True,True,True,True,fit
Norman_P4,train,COL2A1+ctrl,598,True,1,True,True,True,True,fit
Norman_P4,train,CSRNP1+ctrl,478,True,1,True,True,True,True,fit
Norman_P4,train,DLX2+SNAI1,131,True,2,True,True,True,True,fit
Norman_P4,train,DLX2+ZBTB10,89,True,2,True,True,True,True,fit
Norman_P4,train,FEV+ctrl,704,True,1,True,True,True,True,fit
Norman_P4,train,FOSB+IKZF3,247,True,2,True,True,True,True,fit
Norman_P4,train,FOSB+ctrl,630,True,1,True,True,True,True,fit
Norman_P4,train,FOXA1+ctrl,851,True,1,True,True,True,True,fit
Norman_P4,train,FOXA3+ctrl,494,True,1,True,True,True,True,fit
Norman_P4,train,HES7+ctrl,126,True,1,True,True,True,True,fit
Norman_P4,train,HK2+ctrl,303,True,1,True,True,True,True,fit
Norman_P4,train,HOXA13+ctrl,274,True,1,True,True,True,True,fit
Norman_P4,train,IGDCC3+MAPK1,368,True,2,True,True,True,True,fit
Norman_P4,train,IGDCC3+ctrl,613,True,1,True,True,True,True,fit
Norman_P4,train,IKZF3+MAPK1,302,True,2,True,True,True,True,fit
Norman_P4,train,IKZF3+ctrl,681,True,1,True,True,True,True,fit
Norman_P4,train,JUN+ctrl,266,True,1,True,True,True,True,fit
Norman_P4,train,MAP2K6+SPI1,302,True,2,True,True,True,True,fit
Norman_P4,train,MAPK1+ctrl,765,True,1,True,True,True,True,fit
Norman_P4,train,MEIS1+ctrl,776,True,1,True,True,True,True,fit
Norman_P4,train,NCL+ctrl,237,True,1,True,True,True,True,fit
Norman_P4,train,NIT1+ctrl,192,True,1,True,True,True,True,fit
Norman_P4,train,OSR2+ctrl,1003,True,1,True,True,True,True,fit
Norman_P4,train,PLK4+STIL,81,True,2,True,True,True,True,fit
Norman_P4,train,POU3F2+ctrl,359,True,1,True,True,True,True,fit
Norman_P4,train,PRDM1+ctrl,297,True,1,True,True,True,True,fit
Norman_P4,train,PTPN12+SAMD1,351,True,2,True,True,True,True,fit
Norman_P4,train,PTPN12+SNAI1,283,True,2,True,True,True,True,fit
Norman_P4,train,PTPN12+ctrl,445,True,1,True,True,True,True,fit
Norman_P4,train,PTPN13+ctrl,270,True,1,True,True,True,True,fit
Norman_P4,train,S1PR2+SGK1,358,True,2,True,True,True,True,fit
Norman_P4,train,S1PR2+ctrl,541,True,1,True,True,True,True,fit
Norman_P4,train,SAMD1+ctrl,498,True,1,True,True,True,True,fit
Norman_P4,train,SGK1+TBX3,300,True,2,True,True,True,True,fit
Norman_P4,train,SLC38A2+ctrl,332,True,1,True,True,True,True,fit
Norman_P4,train,SLC6A9+ctrl,558,True,1,True,True,True,True,fit
Norman_P4,train,SNAI1+ZBTB10,100,True,2,True,True,True,True,fit
Norman_P4,train,SNAI1+ctrl,467,True,1,True,True,True,True,fit
Norman_P4,train,STIL+ctrl,309,True,1,True,True,True,True,fit
Norman_P4,train,TBX3+ctrl,691,True,1,True,True,True,True,fit
Norman_P4,train,TP73+ctrl,248,True,1,True,True,True,True,fit
Norman_P4,train,TSC22D1+ctrl,441,True,1,True,True,True,True,fit
Norman_P4,train,ZBTB10+ctrl,162,True,1,True,True,True,True,fit
Norman_P4,train,ZC3HAV1+ctrl,516,True,1,True,True,True,True,fit
Norman_P4,train,ctrl,11855,True,0,True,True,True,True,fit
Norman_P4,val,CBFA2T3+ctrl,658,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,CEBPA+ZC3HAV1,86,True,2,False,False,False,False,fixed_transform_validation
Norman_P4,val,CEBPB+JUN,59,True,2,False,False,False,False,fixed_transform_validation
Norman_P4,val,CEBPB+MAPK1,412,True,2,False,False,False,False,fixed_transform_validation
Norman_P4,val,CELF2+ctrl,475,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,DLX2+ctrl,732,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,FOSB+OSR2,382,True,2,False,False,False,False,fixed_transform_validation
Norman_P4,val,FOSB+PTPN12,345,True,2,False,False,False,False,fixed_transform_validation
Norman_P4,val,FOXA1+FOXA3,216,True,2,False,False,False,False,fixed_transform_validation
Norman_P4,val,IER5L+ctrl,405,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,IKZF3+MAP2K6,300,True,2,False,False,False,False,fixed_transform_validation
Norman_P4,val,MAP2K6+ctrl,878,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,MIDN+ctrl,298,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,OSR2+PTPN12,339,True,2,False,False,False,False,fixed_transform_validation
Norman_P4,val,PLK4+ctrl,113,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,PTPN12+ZBTB10,265,True,2,False,False,False,False,fixed_transform_validation
Norman_P4,val,RREB1+ctrl,331,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,SGK1+ctrl,483,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,SLC4A1+ctrl,1000,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,val,SPI1+ctrl,613,True,1,False,False,False,False,fixed_transform_validation
Norman_P4,test,ARID1A+ctrl,232,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,BAK1+ctrl,1457,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,BCORL1+ctrl,533,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,CDKN1B+ctrl,550,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,ETS2+ctrl,1201,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,FOXL2+ctrl,652,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,GLB1L2+ctrl,463,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,HNF4A+ctrl,237,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,ISL2+ctrl,582,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,KIF18B+ctrl,254,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,KLF1+ctrl,1960,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,LYL1+ctrl,432,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,MAML2+ctrl,626,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,MAP4K3+ctrl,363,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,MAP4K5+ctrl,366,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,MAP7D1+ctrl,751,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,PRTG+ctrl,685,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,PTPN1+ctrl,419,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,RUNX1T1+ctrl,779,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,TBX2+ctrl,690,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,TMSB4X+ctrl,543,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,UBASH3A+ctrl,819,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,UBASH3B+ctrl,1202,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
Norman_P4,test,ZBTB1+ctrl,693,False,1,False,False,False,False,obs_metadata_only_test_X_not_indexed_or_materialized
