condition,n_train_cells_before_balance,n_balanced,delta_to_control,sigma_within,sigma_control,edistance_training_rank_label,fit_scope,permutation_pvalue_computed
HK2+ctrl,303,54,173.45720999289802,161.40645198838232,167.15197304494137,18.355994952472344,train_only,False
HOXA13+ctrl,274,54,353.25718433531324,261.3588892744404,167.15197304494137,278.0035063512447,train_only,False
IGDCC3+MAPK1,368,54,184.40463921884697,193.33936131155238,167.15197304494137,8.317944081200181,train_only,False
IGDCC3+ctrl,613,54,208.249381319592,189.54745527807975,167.15197304494137,59.799334316162884,train_only,False
IKZF3+MAPK1,302,54,262.11650187118113,252.75541823021936,167.15197304494137,104.32561246720155,train_only,False
IKZF3+ctrl,681,54,325.3767316446703,235.7512282411532,167.15197304494137,247.8502620032461,train_only,False
JUN+ctrl,266,54,222.96464029018424,219.40653236140707,167.15197304494137,59.370775174020025,train_only,False
MAP2K6+SPI1,302,54,193.00640242429296,178.1430446124396,167.15197304494137,40.717787191204934,train_only,False
MAPK1+ctrl,765,54,187.2154645056822,147.78551470029015,167.15197304494137,59.49344126613289,train_only,False
MEIS1+ctrl,776,54,176.12976904379525,183.06921843232914,167.15197304494137,2.0383466103199908,train_only,False
NCL+ctrl,237,54,178.33377472253025,186.64226328442197,167.15197304494137,2.873313115697158,train_only,False
NIT1+ctrl,192,54,228.69749789207222,187.11719658112682,167.15197304494137,103.12582615807622,train_only,False
OSR2+ctrl,1003,54,216.38899133961885,225.68518529486713,167.15197304494137,39.94082433942921,train_only,False
PLK4+STIL,81,54,257.70884321103375,287.95112752024716,167.15197304494137,60.31458585687898,train_only,False
POU3F2+ctrl,359,54,172.05114531989855,156.91620483640273,167.15197304494137,20.034112758453006,train_only,False
PRDM1+ctrl,297,54,271.2856795282312,243.09560613372253,167.15197304494137,132.32377987779847,train_only,False
PTPN12+SAMD1,351,54,281.5708031083362,219.1684746570817,167.15197304494137,176.8211585146493,train_only,False
PTPN12+SNAI1,283,54,186.9866744241834,176.18674293425386,167.15197304494137,30.634632869171583,train_only,False
PTPN12+ctrl,445,54,153.27164701650793,120.87883823239434,167.15197304494137,18.51248275568014,train_only,False
PTPN13+ctrl,270,54,170.36525308904888,159.04822138055624,167.15197304494137,14.530311752600142,train_only,False
S1PR2+SGK1,358,54,247.86015796956934,203.73956722300557,167.15197304494137,124.82877567119175,train_only,False
S1PR2+ctrl,541,54,188.22342292922767,194.13842159178978,167.15197304494137,15.156451221724183,train_only,False
SAMD1+ctrl,498,54,198.52137091858452,203.42587438335164,167.15197304494137,26.464894408876035,train_only,False
SGK1+TBX3,300,54,194.80738875877026,168.58400339667602,167.15197304494137,53.87880107592312,train_only,False
SLC38A2+ctrl,332,54,150.6129957859712,129.459714816137,167.15197304494137,4.61430371086405,train_only,False
SLC6A9+ctrl,558,54,146.27539706580038,114.69494080795747,167.15197304494137,10.703880278701916,train_only,False
SNAI1+ZBTB10,100,54,459.44845716617857,331.4505427573523,167.15197304494137,420.29439853006346,train_only,False
SNAI1+ctrl,467,54,205.04604769237656,200.86353321079858,167.15197304494137,42.07658912901317,train_only,False
STIL+ctrl,309,54,190.6209761791519,205.79992873929987,167.15197304494137,8.290050574062576,train_only,False
TBX3+ctrl,691,54,166.79372088567516,158.09543980195335,167.15197304494137,8.340028924455595,train_only,False
TP73+ctrl,248,54,412.10493300529123,340.81183282958955,167.15197304494137,316.24606013605154,train_only,False
TSC22D1+ctrl,441,54,145.807566851746,118.3315221953977,167.15197304494137,6.131638463152939,train_only,False
ZBTB10+ctrl,162,54,323.5862590741482,263.3408647776463,167.15197304494137,216.67968032570872,train_only,False
ZC3HAV1+ctrl,516,54,141.2998086649168,101.75551967268238,167.15197304494137,13.692124612209852,train_only,False
ctrl,11855,54,167.15197304494137,167.15197304494137,167.15197304494137,0.0,train_only,False
