condition,n_train_cells,y_d_delta_to_control,y_s_sigma_within,sigma_control,y_n_edistance,fit_scope
MYB+ctrl,15,167.09076013979598,156.78893928531488,126.00961590741375,51.38296508686332,all_train_cells_unequal_n_moment_formula
RCOR1+ctrl,61,126.38353864046638,124.72913492238756,126.00961590741375,2.0283264511314627,all_train_cells_unequal_n_moment_formula
RING1+ctrl,83,137.33085017959888,143.774834420957,126.00961590741375,4.877250030827014,all_train_cells_unequal_n_moment_formula
SMARCA5+ctrl,78,143.68116566316087,148.01304819709955,126.00961590741375,13.33966722180844,all_train_cells_unequal_n_moment_formula
SMARCD1+ctrl,76,137.2985270530606,129.69107736447663,126.00961590741375,18.896360834230848,all_train_cells_unequal_n_moment_formula
SSRP1+ctrl,32,137.53074391045092,132.09445314595843,126.00961590741375,16.957418767529674,all_train_cells_unequal_n_moment_formula
SUPT16H+ctrl,138,133.8393201774056,110.45182261991204,126.00961590741375,31.21720182748541,all_train_cells_unequal_n_moment_formula
SUPT5H+ctrl,87,154.0306591657298,128.56868297150535,126.00961590741375,53.483019452540475,all_train_cells_unequal_n_moment_formula
SUPT6H+ctrl,33,138.85461713090496,126.40532495217104,126.00961590741375,25.294293402225122,all_train_cells_unequal_n_moment_formula
DOT1L+GFI1,159,175.21555189285485,151.63779559160727,126.00961590741375,72.78369228668868,all_train_cells_unequal_n_moment_formula
DOT1L+GSE1,130,159.46685585772434,135.76184343798573,126.00961590741375,57.1622523700492,all_train_cells_unequal_n_moment_formula
DOT1L+IKZF1,137,136.40370247736044,139.1914980725556,126.00961590741375,7.606290974751545,all_train_cells_unequal_n_moment_formula
DOT1L+INTS1,773,120.09849779593553,108.34609466420842,126.00961590741375,5.84128502024889,all_train_cells_unequal_n_moment_formula
EP300+FLI1,163,170.75822821644817,109.93088552516652,126.00961590741375,105.57595500031609,all_train_cells_unequal_n_moment_formula
EP300+GATA2,188,149.53191713264746,110.96602278993319,126.00961590741375,62.08819556794799,all_train_cells_unequal_n_moment_formula
EP300+KDM1A,117,172.04315205338756,119.06632284836965,126.00961590741375,99.01036535099172,all_train_cells_unequal_n_moment_formula
EP300+MED24,281,173.71807787449228,104.03609274831032,126.00961590741375,117.39044709326049,all_train_cells_unequal_n_moment_formula
EP300+RCOR1,136,154.59956770850832,93.3590887553715,126.00961590741375,89.83043075423139,all_train_cells_unequal_n_moment_formula
EP300+RING1,179,147.76991202035938,99.57214272260579,126.00961590741375,69.95806541069923,all_train_cells_unequal_n_moment_formula
EP300+SMARCD1,208,164.32347639383073,115.21226905411574,126.00961590741375,87.42506782613198,all_train_cells_unequal_n_moment_formula
EP300+SSRP1,146,155.39295020319955,95.60937114411927,126.00961590741375,89.16691335486608,all_train_cells_unequal_n_moment_formula
FLI1+GFI1,104,187.6260750794847,125.6241241342663,126.00961590741375,123.61841011728937,all_train_cells_unequal_n_moment_formula
FLI1+KDM1A,157,175.26861554453126,114.21499631463652,126.00961590741375,110.31261886701225,all_train_cells_unequal_n_moment_formula
FLI1+RCOR1,244,141.43543083380956,111.38136759775777,126.00961590741375,45.479878162447605,all_train_cells_unequal_n_moment_formula
FLI1+SSRP1,145,151.51289975871174,114.76866901563244,126.00961590741375,62.24751459437729,all_train_cells_unequal_n_moment_formula
GATA2+GSE1,182,150.1582596113703,130.5303183972372,126.00961590741375,43.77658491808967,all_train_cells_unequal_n_moment_formula
GATA2+HDAC3,250,137.74224741741315,136.34446800479617,126.00961590741375,13.130410922616392,all_train_cells_unequal_n_moment_formula
GATA2+INTS1,599,120.20581046119112,111.12852720775848,126.00961590741375,3.273477807210014,all_train_cells_unequal_n_moment_formula
GATA2+MED24,264,169.94346075057422,122.64778723228312,126.00961590741375,91.22951836145157,all_train_cells_unequal_n_moment_formula
GATA2+RING1,214,130.36268167500367,131.71287057782789,126.00961590741375,3.0028768647657103,all_train_cells_unequal_n_moment_formula
GATA2+SSRP1,87,130.6733202055415,130.7155939150085,126.00961590741375,4.621430588660758,all_train_cells_unequal_n_moment_formula
GFI1+HDAC3,208,196.7953374570544,141.348829780604,126.00961590741375,126.232229226091,all_train_cells_unequal_n_moment_formula
GFI1+MED24,148,170.80987408337904,112.54570863862352,126.00961590741375,103.06442362072082,all_train_cells_unequal_n_moment_formula
GSE1+HDAC3,185,164.66346365656202,126.37068344485762,126.00961590741375,76.94662796085267,all_train_cells_unequal_n_moment_formula
GSE1+IKZF1,89,146.66036886220985,134.0005315078553,126.00961590741375,33.310590309150655,all_train_cells_unequal_n_moment_formula
GSE1+RCOR1,146,143.0431952724816,129.62553698836186,126.00961590741375,30.45123764918759,all_train_cells_unequal_n_moment_formula
GSE1+SMARCD1,107,154.69250284944462,135.78781099348197,126.00961590741375,47.58757879799353,all_train_cells_unequal_n_moment_formula
HDAC3+INTS1,684,127.5335558837147,103.2617476709079,126.00961590741375,25.795748189107755,all_train_cells_unequal_n_moment_formula
HDAC3+KDM1A,99,202.81128657170046,135.23619484225173,126.00961590741375,144.37676239373548,all_train_cells_unequal_n_moment_formula
INTS1+MYB,168,184.32789693631364,123.53663925659302,126.00961590741375,119.1095387086205,all_train_cells_unequal_n_moment_formula
INTS1+RCOR1,555,121.36673399169618,114.63822955380068,126.00961590741375,2.0856225221779283,all_train_cells_unequal_n_moment_formula
MED14+MED22,129,183.92209624740227,90.5973520940332,126.00961590741375,151.2372244933576,all_train_cells_unequal_n_moment_formula
MED14+MED24,119,187.90001930823706,84.29848646752282,126.00961590741375,165.49193624153756,all_train_cells_unequal_n_moment_formula
MED19+MED24,209,180.72157356262844,107.01677868638404,126.00961590741375,128.41675253145908,all_train_cells_unequal_n_moment_formula
MED22+MED24,240,172.86324498025093,102.86344291554416,126.00961590741375,116.85343113754395,all_train_cells_unequal_n_moment_formula
MED24+SSRP1,146,173.0958128086558,116.99069912290594,126.00961590741375,103.19131058699193,all_train_cells_unequal_n_moment_formula
RCOR1+RING1,89,122.8167221868612,116.47606162555822,126.00961590741375,3.1477668407504353,all_train_cells_unequal_n_moment_formula
SMARCA5+SMARCD1,195,141.3780380971617,136.33122285189262,126.00961590741375,20.41523743501702,all_train_cells_unequal_n_moment_formula
SMARCD1+SSRP1,98,133.38323571099713,119.89310594987863,126.00961590741375,20.863749564701877,all_train_cells_unequal_n_moment_formula
SSRP1+SUPT16H,140,140.42789216497323,102.29571867349199,126.00961590741375,52.55044974904072,all_train_cells_unequal_n_moment_formula
SSRP1+SUPT5H,119,164.6367820561778,109.40329961183997,126.00961590741375,93.86064859310187,all_train_cells_unequal_n_moment_formula
SUPT16H+SUPT5H,276,158.74869027392066,113.8018882100215,126.00961590741375,77.68587643040607,all_train_cells_unequal_n_moment_formula
SUPT16H+SUPT6H,185,157.02772222187542,98.4218265699054,126.00961590741375,89.62400196643169,all_train_cells_unequal_n_moment_formula
