condition,split,n_graphs,n_h5ad_cells,max_abs_x_minus_control,max_abs_y_minus_h5ad,max_abs_y_pca_minus_h5ad,bad_graphs
INTS1+ctrl,train,290,290,0.0,0.0,0.0,0
KDM1A+RING1,val,111,111,0.0,0.0,0.0,0
KDM1A+ctrl,train,39,39,0.0,0.0,0.0,0
MED13L+MED16,val,200,200,0.0,0.0,0.0,0
MED13L+MED19,val,100,100,0.0,0.0,0.0,0
MED13L+ctrl,train,27,27,0.0,0.0,0.0,0
MED14+MED22,train,129,129,0.0,0.0,0.0,0
MED14+MED24,train,119,119,0.0,0.0,0.0,0
MED14+ctrl,train,49,49,0.0,0.0,0.0,0
MED16+MED24,val,212,212,0.0,0.0,0.0,0
MED16+ctrl,train,51,51,0.0,0.0,0.0,0
MED19+MED22,val,106,106,0.0,0.0,0.0,0
MED19+MED24,train,209,209,0.0,0.0,0.0,0
MED19+ctrl,train,48,48,0.0,0.0,0.0,0
MED22+MED24,train,240,240,0.0,0.0,0.0,0
MED22+ctrl,train,49,49,0.0,0.0,0.0,0
MED24+RING1,val,154,154,0.0,0.0,0.0,0
MED24+SMARCD1,val,233,233,0.0,0.0,0.0,0
MED24+SSRP1,train,146,146,0.0,0.0,0.0,0
MED24+ctrl,train,110,110,0.0,0.0,0.0,0
MYB+ctrl,train,15,15,0.0,0.0,0.0,0
RCOR1+RING1,train,89,89,0.0,0.0,0.0,0
RCOR1+ctrl,train,61,61,0.0,0.0,0.0,0
RING1+ctrl,train,83,83,0.0,0.0,0.0,0
SMARCA5+SMARCD1,train,195,195,0.0,0.0,0.0,0
SMARCA5+ctrl,train,78,78,0.0,0.0,0.0,0
SMARCD1+SSRP1,train,98,98,0.0,0.0,0.0,0
SMARCD1+ctrl,train,76,76,0.0,0.0,0.0,0
SSRP1+SUPT16H,train,140,140,0.0,0.0,0.0,0
SSRP1+SUPT5H,train,119,119,0.0,0.0,0.0,0
SSRP1+ctrl,train,32,32,0.0,0.0,0.0,0
SUPT16H+SUPT5H,train,276,276,0.0,0.0,0.0,0
SUPT16H+SUPT6H,train,185,185,0.0,0.0,0.0,0
SUPT16H+ctrl,train,138,138,0.0,0.0,0.0,0
SUPT5H+SUPT6H,val,238,238,0.0,0.0,0.0,0
SUPT5H+ctrl,train,87,87,0.0,0.0,0.0,0
SUPT6H+ctrl,train,33,33,0.0,0.0,0.0,0
ctrl,train,424,424,0.0,0.0,0.0,0
