dataset,fold_id,context,n_task_rows,n_unique_perturbations,similarity,n_valid_truth_candidates,pool_eligible,exclusion_reason
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,MkP,10,10,cosine,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,EBMP,12,12,pearson,12,True,
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,EBMP,12,12,cosine,12,True,
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GMP,8,8,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GMP (late),9,9,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,HSC,9,9,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,MkP,31,31,pearson,31,True,
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,MkP,31,31,cosine,31,True,
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb,23,23,pearson,23,True,
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb,23,23,cosine,23,True,
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Vip_Adarb2,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Neurons_L_2_3,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Neurons_L_5,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Neurons_L_6,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Interneurons_Sst_Pvalb,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Interneurons_Vip_Adarb2,23,23,pearson,23,True,
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Interneurons_Vip_Adarb2,23,23,cosine,23,True,
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Neurons_L_2_3,6,6,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Neurons_L_5,8,8,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Neurons_L_6,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Interneurons_Sst_Pvalb,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Interneurons_Vip_Adarb2,6,6,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3,23,23,pearson,23,True,
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3,23,23,cosine,23,True,
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_5,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_6,8,8,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_4_Neurons_L_5,Interneurons_Sst_Pvalb,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_4_Neurons_L_5,Interneurons_Vip_Adarb2,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_4_Neurons_L_5,Neurons_L_2_3,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_4_Neurons_L_5,Neurons_L_5,23,23,pearson,23,True,
Santinha,Santinha_context_holdout_4_Neurons_L_5,Neurons_L_5,23,23,cosine,23,True,
Santinha,Santinha_context_holdout_4_Neurons_L_5,Neurons_L_6,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_5_Neurons_L_6,Interneurons_Sst_Pvalb,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_5_Neurons_L_6,Interneurons_Vip_Adarb2,8,8,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_5_Neurons_L_6,Neurons_L_2_3,6,6,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_5_Neurons_L_6,Neurons_L_5,7,7,all,0,False,candidate_pool_below_10
Santinha,Santinha_context_holdout_5_Neurons_L_6,Neurons_L_6,23,23,pearson,23,True,
Santinha,Santinha_context_holdout_5_Neurons_L_6,Neurons_L_6,23,23,cosine,23,True,
Shifrut,Shifrut_context_holdout_1_D1_nostim,D1_nostim,20,20,pearson,20,True,
Shifrut,Shifrut_context_holdout_1_D1_nostim,D1_nostim,20,20,cosine,20,True,
Shifrut,Shifrut_context_holdout_1_D1_nostim,D1_stim,9,9,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_1_D1_nostim,D2_nostim,8,8,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_1_D1_nostim,D2_stim,6,6,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_2_D1_stim,D1_nostim,7,7,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_2_D1_stim,D1_stim,20,20,pearson,20,True,
Shifrut,Shifrut_context_holdout_2_D1_stim,D1_stim,20,20,cosine,20,True,
Shifrut,Shifrut_context_holdout_2_D1_stim,D2_nostim,7,7,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_2_D1_stim,D2_stim,9,9,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_3_D2_nostim,D1_nostim,8,8,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_3_D2_nostim,D1_stim,8,8,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_3_D2_nostim,D2_nostim,20,20,pearson,20,True,
Shifrut,Shifrut_context_holdout_3_D2_nostim,D2_nostim,20,20,cosine,20,True,
Shifrut,Shifrut_context_holdout_3_D2_nostim,D2_stim,7,7,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_4_D2_stim,D1_nostim,8,8,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_4_D2_stim,D1_stim,7,7,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_4_D2_stim,D2_nostim,8,8,all,0,False,candidate_pool_below_10
Shifrut,Shifrut_context_holdout_4_D2_stim,D2_stim,20,20,pearson,20,True,
Shifrut,Shifrut_context_holdout_4_D2_stim,D2_stim,20,20,cosine,20,True,
Liang,Liang_context_holdout_1_DM2_1,DM2_1,18,18,pearson,18,True,
Liang,Liang_context_holdout_1_DM2_1,DM2_1,18,18,cosine,18,True,
Liang,Liang_context_holdout_1_DM2_1,DM2_2,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_1_DM2_1,DM2_3,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_1_DM2_1,DM2_4,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_1_DM2_1,DM2_5,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_1_DM2_1,DM2_6,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_1_DM2_1,EM2_1,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_1_DM2_1,EM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_1_DM2_1,EM2_3,8,8,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_2_DM2_2,DM2_1,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_2_DM2_2,DM2_2,18,18,pearson,18,True,
Liang,Liang_context_holdout_2_DM2_2,DM2_2,18,18,cosine,18,True,
Liang,Liang_context_holdout_2_DM2_2,DM2_3,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_2_DM2_2,DM2_4,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_2_DM2_2,DM2_5,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_2_DM2_2,DM2_6,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_2_DM2_2,EM2_1,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_2_DM2_2,EM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_2_DM2_2,EM2_3,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_3_DM2_3,DM2_1,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_3_DM2_3,DM2_2,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_3_DM2_3,DM2_3,18,18,pearson,18,True,
Liang,Liang_context_holdout_3_DM2_3,DM2_3,18,18,cosine,18,True,
Liang,Liang_context_holdout_3_DM2_3,DM2_4,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_3_DM2_3,DM2_5,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_3_DM2_3,DM2_6,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_3_DM2_3,EM2_1,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_3_DM2_3,EM2_2,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_3_DM2_3,EM2_3,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_4_DM2_4,DM2_1,8,8,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_4_DM2_4,DM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_4_DM2_4,DM2_3,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_4_DM2_4,DM2_4,18,18,pearson,18,True,
Liang,Liang_context_holdout_4_DM2_4,DM2_4,18,18,cosine,18,True,
Liang,Liang_context_holdout_4_DM2_4,DM2_5,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_4_DM2_4,DM2_6,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_4_DM2_4,EM2_1,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_4_DM2_4,EM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_4_DM2_4,EM2_3,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_5_DM2_5,DM2_1,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_5_DM2_5,DM2_2,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_5_DM2_5,DM2_3,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_5_DM2_5,DM2_4,8,8,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_5_DM2_5,DM2_5,18,18,pearson,18,True,
Liang,Liang_context_holdout_5_DM2_5,DM2_5,18,18,cosine,18,True,
Liang,Liang_context_holdout_5_DM2_5,DM2_6,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_5_DM2_5,EM2_1,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_5_DM2_5,EM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_5_DM2_5,EM2_3,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_6_DM2_6,DM2_1,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_6_DM2_6,DM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_6_DM2_6,DM2_3,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_6_DM2_6,DM2_4,8,8,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_6_DM2_6,DM2_5,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_6_DM2_6,DM2_6,18,18,pearson,18,True,
Liang,Liang_context_holdout_6_DM2_6,DM2_6,18,18,cosine,18,True,
Liang,Liang_context_holdout_6_DM2_6,EM2_1,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_6_DM2_6,EM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_6_DM2_6,EM2_3,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_7_EM2_1,DM2_1,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_7_EM2_1,DM2_2,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_7_EM2_1,DM2_3,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_7_EM2_1,DM2_4,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_7_EM2_1,DM2_5,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_7_EM2_1,DM2_6,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_7_EM2_1,EM2_1,18,18,pearson,18,True,
Liang,Liang_context_holdout_7_EM2_1,EM2_1,18,18,cosine,18,True,
Liang,Liang_context_holdout_7_EM2_1,EM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_7_EM2_1,EM2_3,8,8,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_8_EM2_2,DM2_1,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_8_EM2_2,DM2_2,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_8_EM2_2,DM2_3,8,8,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_8_EM2_2,DM2_4,8,8,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_8_EM2_2,DM2_5,7,7,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_8_EM2_2,DM2_6,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_8_EM2_2,EM2_1,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_8_EM2_2,EM2_2,18,18,pearson,18,True,
Liang,Liang_context_holdout_8_EM2_2,EM2_2,18,18,cosine,18,True,
Liang,Liang_context_holdout_8_EM2_2,EM2_3,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_9_EM2_3,DM2_1,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_9_EM2_3,DM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_9_EM2_3,DM2_3,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_9_EM2_3,DM2_4,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_9_EM2_3,DM2_5,9,9,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_9_EM2_3,DM2_6,5,5,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_9_EM2_3,EM2_1,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_9_EM2_3,EM2_2,6,6,all,0,False,candidate_pool_below_10
Liang,Liang_context_holdout_9_EM2_3,EM2_3,18,18,pearson,18,True,
Liang,Liang_context_holdout_9_EM2_3,EM2_3,18,18,cosine,18,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,1,99,99,pearson,99,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,1,99,99,cosine,99,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,2,27,27,pearson,27,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,2,27,27,cosine,27,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,3,29,29,pearson,29,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,3,29,29,cosine,29,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,4,28,28,pearson,28,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,4,28,28,cosine,28,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,1,29,29,pearson,29,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,1,29,29,cosine,29,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,2,99,99,pearson,99,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,2,99,99,cosine,99,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,3,30,30,pearson,30,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,3,30,30,cosine,30,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,4,25,25,pearson,25,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,4,25,25,cosine,25,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,1,30,30,pearson,30,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,1,30,30,cosine,30,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,2,28,28,pearson,28,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,2,28,28,cosine,28,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,3,99,99,pearson,99,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,3,99,99,cosine,99,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,4,26,26,pearson,26,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,4,26,26,cosine,26,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,1,24,24,pearson,24,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,1,24,24,cosine,24,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,2,32,32,pearson,32,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,2,32,32,cosine,32,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,3,28,28,pearson,28,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,3,28,28,cosine,28,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,4,99,99,pearson,99,True,
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,4,99,99,cosine,99,True,
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,HepG2,96,96,pearson,96,True,
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,HepG2,96,96,cosine,96,True,
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,Jurkat,32,32,pearson,32,True,
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,Jurkat,32,32,cosine,32,True,
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,HepG2,32,32,pearson,32,True,
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,HepG2,32,32,cosine,32,True,
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,Jurkat,96,96,pearson,96,True,
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,Jurkat,96,96,cosine,96,True,
