dataset,fold_id,context,n_task_rows,n_unique_task_ids,n_unique_perturbations,duplicate_perturbation_structure,pool_size_at_least_10_before_metric_qc
Liang,Liang_context_holdout_4_DM2_4,EM2_3,7,7,7,False,False
Liang,Liang_context_holdout_5_DM2_5,DM2_1,7,7,7,False,False
Liang,Liang_context_holdout_5_DM2_5,DM2_2,5,5,5,False,False
Liang,Liang_context_holdout_5_DM2_5,DM2_3,5,5,5,False,False
Liang,Liang_context_holdout_5_DM2_5,DM2_4,8,8,8,False,False
Liang,Liang_context_holdout_5_DM2_5,DM2_5,18,18,18,False,True
Liang,Liang_context_holdout_5_DM2_5,DM2_6,7,7,7,False,False
Liang,Liang_context_holdout_5_DM2_5,EM2_1,6,6,6,False,False
Liang,Liang_context_holdout_5_DM2_5,EM2_2,6,6,6,False,False
Liang,Liang_context_holdout_5_DM2_5,EM2_3,6,6,6,False,False
Liang,Liang_context_holdout_6_DM2_6,DM2_1,6,6,6,False,False
Liang,Liang_context_holdout_6_DM2_6,DM2_2,6,6,6,False,False
Liang,Liang_context_holdout_6_DM2_6,DM2_3,5,5,5,False,False
Liang,Liang_context_holdout_6_DM2_6,DM2_4,8,8,8,False,False
Liang,Liang_context_holdout_6_DM2_6,DM2_5,6,6,6,False,False
Liang,Liang_context_holdout_6_DM2_6,DM2_6,18,18,18,False,True
Liang,Liang_context_holdout_6_DM2_6,EM2_1,6,6,6,False,False
Liang,Liang_context_holdout_6_DM2_6,EM2_2,6,6,6,False,False
Liang,Liang_context_holdout_6_DM2_6,EM2_3,7,7,7,False,False
Liang,Liang_context_holdout_7_EM2_1,DM2_1,7,7,7,False,False
Liang,Liang_context_holdout_7_EM2_1,DM2_2,5,5,5,False,False
Liang,Liang_context_holdout_7_EM2_1,DM2_3,5,5,5,False,False
Liang,Liang_context_holdout_7_EM2_1,DM2_4,6,6,6,False,False
Liang,Liang_context_holdout_7_EM2_1,DM2_5,7,7,7,False,False
Liang,Liang_context_holdout_7_EM2_1,DM2_6,6,6,6,False,False
Liang,Liang_context_holdout_7_EM2_1,EM2_1,18,18,18,False,True
Liang,Liang_context_holdout_7_EM2_1,EM2_2,6,6,6,False,False
Liang,Liang_context_holdout_7_EM2_1,EM2_3,8,8,8,False,False
Liang,Liang_context_holdout_8_EM2_2,DM2_1,6,6,6,False,False
Liang,Liang_context_holdout_8_EM2_2,DM2_2,5,5,5,False,False
Liang,Liang_context_holdout_8_EM2_2,DM2_3,8,8,8,False,False
Liang,Liang_context_holdout_8_EM2_2,DM2_4,8,8,8,False,False
Liang,Liang_context_holdout_8_EM2_2,DM2_5,7,7,7,False,False
Liang,Liang_context_holdout_8_EM2_2,DM2_6,5,5,5,False,False
Liang,Liang_context_holdout_8_EM2_2,EM2_1,5,5,5,False,False
Liang,Liang_context_holdout_8_EM2_2,EM2_2,18,18,18,False,True
Liang,Liang_context_holdout_8_EM2_2,EM2_3,6,6,6,False,False
Liang,Liang_context_holdout_9_EM2_3,DM2_1,6,6,6,False,False
Liang,Liang_context_holdout_9_EM2_3,DM2_2,6,6,6,False,False
Liang,Liang_context_holdout_9_EM2_3,DM2_3,6,6,6,False,False
Liang,Liang_context_holdout_9_EM2_3,DM2_4,6,6,6,False,False
Liang,Liang_context_holdout_9_EM2_3,DM2_5,9,9,9,False,False
Liang,Liang_context_holdout_9_EM2_3,DM2_6,5,5,5,False,False
Liang,Liang_context_holdout_9_EM2_3,EM2_1,6,6,6,False,False
Liang,Liang_context_holdout_9_EM2_3,EM2_2,6,6,6,False,False
Liang,Liang_context_holdout_9_EM2_3,EM2_3,18,18,18,False,True
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,HepG2,96,96,96,False,True
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,Jurkat,32,32,32,False,True
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,HepG2,32,32,32,False,True
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,Jurkat,96,96,96,False,True
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Sst_Pvalb,23,23,23,False,True
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Interneurons_Vip_Adarb2,7,7,7,False,False
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Neurons_L_2_3,7,7,7,False,False
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Neurons_L_5,7,7,7,False,False
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,Neurons_L_6,7,7,7,False,False
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Interneurons_Sst_Pvalb,7,7,7,False,False
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Interneurons_Vip_Adarb2,23,23,23,False,True
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Neurons_L_2_3,6,6,6,False,False
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Neurons_L_5,8,8,8,False,False
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,Neurons_L_6,7,7,7,False,False
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Interneurons_Sst_Pvalb,7,7,7,False,False
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Interneurons_Vip_Adarb2,6,6,6,False,False
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_2_3,23,23,23,False,True
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_5,7,7,7,False,False
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,Neurons_L_6,8,8,8,False,False
Santinha,Santinha_context_holdout_4_Neurons_L_5,Interneurons_Sst_Pvalb,7,7,7,False,False
Santinha,Santinha_context_holdout_4_Neurons_L_5,Interneurons_Vip_Adarb2,7,7,7,False,False
Santinha,Santinha_context_holdout_4_Neurons_L_5,Neurons_L_2_3,7,7,7,False,False
Santinha,Santinha_context_holdout_4_Neurons_L_5,Neurons_L_5,23,23,23,False,True
Santinha,Santinha_context_holdout_4_Neurons_L_5,Neurons_L_6,7,7,7,False,False
Santinha,Santinha_context_holdout_5_Neurons_L_6,Interneurons_Sst_Pvalb,7,7,7,False,False
Santinha,Santinha_context_holdout_5_Neurons_L_6,Interneurons_Vip_Adarb2,8,8,8,False,False
Santinha,Santinha_context_holdout_5_Neurons_L_6,Neurons_L_2_3,6,6,6,False,False
Santinha,Santinha_context_holdout_5_Neurons_L_6,Neurons_L_5,7,7,7,False,False
Santinha,Santinha_context_holdout_5_Neurons_L_6,Neurons_L_6,23,23,23,False,True
Shifrut,Shifrut_context_holdout_1_D1_nostim,D1_nostim,20,20,20,False,True
Shifrut,Shifrut_context_holdout_1_D1_nostim,D1_stim,9,9,9,False,False
Shifrut,Shifrut_context_holdout_1_D1_nostim,D2_nostim,8,8,8,False,False
Shifrut,Shifrut_context_holdout_1_D1_nostim,D2_stim,6,6,6,False,False
Shifrut,Shifrut_context_holdout_2_D1_stim,D1_nostim,7,7,7,False,False
Shifrut,Shifrut_context_holdout_2_D1_stim,D1_stim,20,20,20,False,True
Shifrut,Shifrut_context_holdout_2_D1_stim,D2_nostim,7,7,7,False,False
Shifrut,Shifrut_context_holdout_2_D1_stim,D2_stim,9,9,9,False,False
Shifrut,Shifrut_context_holdout_3_D2_nostim,D1_nostim,8,8,8,False,False
Shifrut,Shifrut_context_holdout_3_D2_nostim,D1_stim,8,8,8,False,False
Shifrut,Shifrut_context_holdout_3_D2_nostim,D2_nostim,20,20,20,False,True
Shifrut,Shifrut_context_holdout_3_D2_nostim,D2_stim,7,7,7,False,False
Shifrut,Shifrut_context_holdout_4_D2_stim,D1_nostim,8,8,8,False,False
Shifrut,Shifrut_context_holdout_4_D2_stim,D1_stim,7,7,7,False,False
Shifrut,Shifrut_context_holdout_4_D2_stim,D2_nostim,8,8,8,False,False
Shifrut,Shifrut_context_holdout_4_D2_stim,D2_stim,20,20,20,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,1,99,99,99,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,2,27,27,27,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,3,29,29,29,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_1_B1,4,28,28,28,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,1,29,29,29,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,2,99,99,99,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,3,30,30,30,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_2_B2,4,25,25,25,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,1,30,30,30,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,2,28,28,28,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,3,99,99,99,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_3_B3,4,26,26,26,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,1,24,24,24,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,2,32,32,32,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,3,28,28,28,False,True
Tian_CRISPRi,Tian_CRISPRi_batch_holdout_4_B4,4,99,99,99,False,True
