context,drug,dose_nM,n_cells,dataset_name,role,task_key,dose_cpa,target_perturbed_expression_used_for_selection
A549,Givinostat,10.0,93,sciPlex3,source_train,sciPlex3::A549::Givinostat::dose_nM=10.0,1.0,False
A549,Givinostat,100.0,100,sciPlex3,source_train,sciPlex3::A549::Givinostat::dose_nM=100.0,2.0,False
A549,Givinostat,1000.0,120,sciPlex3,source_train,sciPlex3::A549::Givinostat::dose_nM=1000.0,3.0,False
A549,Givinostat,10000.0,92,sciPlex3,source_train,sciPlex3::A549::Givinostat::dose_nM=10000.0,4.0,False
A549,Hesperadin,10.0,45,sciPlex3,source_train,sciPlex3::A549::Hesperadin::dose_nM=10.0,1.0,False
A549,Hesperadin,100.0,40,sciPlex3,source_train,sciPlex3::A549::Hesperadin::dose_nM=100.0,2.0,False
A549,Hesperadin,1000.0,30,sciPlex3,source_train,sciPlex3::A549::Hesperadin::dose_nM=1000.0,3.0,False
A549,Hesperadin,10000.0,38,sciPlex3,source_train,sciPlex3::A549::Hesperadin::dose_nM=10000.0,4.0,False
A549,Quisinostat,10.0,130,sciPlex3,source_train,sciPlex3::A549::Quisinostat::dose_nM=10.0,1.0,False
A549,Quisinostat,100.0,94,sciPlex3,source_train,sciPlex3::A549::Quisinostat::dose_nM=100.0,2.0,False
A549,Quisinostat,1000.0,63,sciPlex3,source_train,sciPlex3::A549::Quisinostat::dose_nM=1000.0,3.0,False
A549,Quisinostat,10000.0,76,sciPlex3,source_train,sciPlex3::A549::Quisinostat::dose_nM=10000.0,4.0,False
A549,TAK901,10.0,109,sciPlex3,source_train,sciPlex3::A549::TAK901::dose_nM=10.0,1.0,False
A549,TAK901,100.0,57,sciPlex3,source_train,sciPlex3::A549::TAK901::dose_nM=100.0,2.0,False
A549,TAK901,1000.0,54,sciPlex3,source_train,sciPlex3::A549::TAK901::dose_nM=1000.0,3.0,False
A549,TAK901,10000.0,73,sciPlex3,source_train,sciPlex3::A549::TAK901::dose_nM=10000.0,4.0,False
A549,Tanespimycin,10.0,110,sciPlex3,source_train,sciPlex3::A549::Tanespimycin::dose_nM=10.0,1.0,False
A549,Tanespimycin,100.0,121,sciPlex3,source_train,sciPlex3::A549::Tanespimycin::dose_nM=100.0,2.0,False
A549,Tanespimycin,1000.0,109,sciPlex3,source_train,sciPlex3::A549::Tanespimycin::dose_nM=1000.0,3.0,False
A549,Tanespimycin,10000.0,63,sciPlex3,source_train,sciPlex3::A549::Tanespimycin::dose_nM=10000.0,4.0,False
K562,Alvespimycin,10.0,209,sciPlex3,source_train,sciPlex3::K562::Alvespimycin::dose_nM=10.0,1.0,False
K562,Alvespimycin,100.0,131,sciPlex3,source_train,sciPlex3::K562::Alvespimycin::dose_nM=100.0,2.0,False
K562,Alvespimycin,1000.0,115,sciPlex3,source_train,sciPlex3::K562::Alvespimycin::dose_nM=1000.0,3.0,False
K562,Alvespimycin,10000.0,109,sciPlex3,source_train,sciPlex3::K562::Alvespimycin::dose_nM=10000.0,4.0,False
K562,Belinostat,10.0,231,sciPlex3,source_train,sciPlex3::K562::Belinostat::dose_nM=10.0,1.0,False
K562,Belinostat,100.0,164,sciPlex3,source_train,sciPlex3::K562::Belinostat::dose_nM=100.0,2.0,False
K562,Belinostat,1000.0,194,sciPlex3,source_train,sciPlex3::K562::Belinostat::dose_nM=1000.0,3.0,False
K562,Belinostat,10000.0,66,sciPlex3,source_train,sciPlex3::K562::Belinostat::dose_nM=10000.0,4.0,False
K562,Dacinostat,10.0,143,sciPlex3,source_train,sciPlex3::K562::Dacinostat::dose_nM=10.0,1.0,False
K562,Dacinostat,100.0,105,sciPlex3,source_train,sciPlex3::K562::Dacinostat::dose_nM=100.0,2.0,False
K562,Dacinostat,1000.0,100,sciPlex3,source_train,sciPlex3::K562::Dacinostat::dose_nM=1000.0,3.0,False
K562,Dacinostat,10000.0,66,sciPlex3,source_train,sciPlex3::K562::Dacinostat::dose_nM=10000.0,4.0,False
K562,Flavopiridol,10.0,189,sciPlex3,source_train,sciPlex3::K562::Flavopiridol::dose_nM=10.0,1.0,False
K562,Flavopiridol,100.0,118,sciPlex3,source_train,sciPlex3::K562::Flavopiridol::dose_nM=100.0,2.0,False
K562,Flavopiridol,1000.0,18,sciPlex3,source_train,sciPlex3::K562::Flavopiridol::dose_nM=1000.0,3.0,False
K562,Flavopiridol,10000.0,11,sciPlex3,source_train,sciPlex3::K562::Flavopiridol::dose_nM=10000.0,4.0,False
K562,Givinostat,10.0,216,sciPlex3,source_train,sciPlex3::K562::Givinostat::dose_nM=10.0,1.0,False
K562,Givinostat,100.0,191,sciPlex3,source_train,sciPlex3::K562::Givinostat::dose_nM=100.0,2.0,False
K562,Givinostat,1000.0,122,sciPlex3,source_train,sciPlex3::K562::Givinostat::dose_nM=1000.0,3.0,False
K562,Givinostat,10000.0,80,sciPlex3,source_train,sciPlex3::K562::Givinostat::dose_nM=10000.0,4.0,False
K562,Hesperadin,10.0,178,sciPlex3,source_train,sciPlex3::K562::Hesperadin::dose_nM=10.0,1.0,False
K562,Hesperadin,100.0,168,sciPlex3,source_train,sciPlex3::K562::Hesperadin::dose_nM=100.0,2.0,False
K562,Hesperadin,1000.0,178,sciPlex3,source_train,sciPlex3::K562::Hesperadin::dose_nM=1000.0,3.0,False
K562,Hesperadin,10000.0,100,sciPlex3,source_train,sciPlex3::K562::Hesperadin::dose_nM=10000.0,4.0,False
K562,Quisinostat,10.0,112,sciPlex3,source_train,sciPlex3::K562::Quisinostat::dose_nM=10.0,1.0,False
K562,Quisinostat,100.0,103,sciPlex3,source_train,sciPlex3::K562::Quisinostat::dose_nM=100.0,2.0,False
K562,Quisinostat,1000.0,83,sciPlex3,source_train,sciPlex3::K562::Quisinostat::dose_nM=1000.0,3.0,False
K562,Quisinostat,10000.0,58,sciPlex3,source_train,sciPlex3::K562::Quisinostat::dose_nM=10000.0,4.0,False
K562,TAK901,10.0,210,sciPlex3,source_train,sciPlex3::K562::TAK901::dose_nM=10.0,1.0,False
K562,TAK901,100.0,185,sciPlex3,source_train,sciPlex3::K562::TAK901::dose_nM=100.0,2.0,False
K562,TAK901,1000.0,113,sciPlex3,source_train,sciPlex3::K562::TAK901::dose_nM=1000.0,3.0,False
K562,TAK901,10000.0,88,sciPlex3,source_train,sciPlex3::K562::TAK901::dose_nM=10000.0,4.0,False
K562,Tanespimycin,10.0,223,sciPlex3,source_train,sciPlex3::K562::Tanespimycin::dose_nM=10.0,1.0,False
K562,Tanespimycin,100.0,179,sciPlex3,source_train,sciPlex3::K562::Tanespimycin::dose_nM=100.0,2.0,False
K562,Tanespimycin,1000.0,137,sciPlex3,source_train,sciPlex3::K562::Tanespimycin::dose_nM=1000.0,3.0,False
K562,Tanespimycin,10000.0,89,sciPlex3,source_train,sciPlex3::K562::Tanespimycin::dose_nM=10000.0,4.0,False
MCF7,Alvespimycin,10.0,237,sciPlex3,source_train,sciPlex3::MCF7::Alvespimycin::dose_nM=10.0,1.0,False
MCF7,Alvespimycin,100.0,87,sciPlex3,source_train,sciPlex3::MCF7::Alvespimycin::dose_nM=100.0,2.0,False
MCF7,Alvespimycin,1000.0,71,sciPlex3,source_train,sciPlex3::MCF7::Alvespimycin::dose_nM=1000.0,3.0,False
MCF7,Alvespimycin,10000.0,5,sciPlex3,source_train,sciPlex3::MCF7::Alvespimycin::dose_nM=10000.0,4.0,False
MCF7,Belinostat,10.0,333,sciPlex3,source_train,sciPlex3::MCF7::Belinostat::dose_nM=10.0,1.0,False
MCF7,Belinostat,100.0,325,sciPlex3,source_train,sciPlex3::MCF7::Belinostat::dose_nM=100.0,2.0,False
MCF7,Belinostat,1000.0,259,sciPlex3,source_train,sciPlex3::MCF7::Belinostat::dose_nM=1000.0,3.0,False
MCF7,Belinostat,10000.0,260,sciPlex3,source_train,sciPlex3::MCF7::Belinostat::dose_nM=10000.0,4.0,False
MCF7,Dacinostat,10.0,384,sciPlex3,source_train,sciPlex3::MCF7::Dacinostat::dose_nM=10.0,1.0,False
MCF7,Dacinostat,100.0,249,sciPlex3,source_train,sciPlex3::MCF7::Dacinostat::dose_nM=100.0,2.0,False
MCF7,Dacinostat,1000.0,231,sciPlex3,source_train,sciPlex3::MCF7::Dacinostat::dose_nM=1000.0,3.0,False
MCF7,Dacinostat,10000.0,243,sciPlex3,source_train,sciPlex3::MCF7::Dacinostat::dose_nM=10000.0,4.0,False
MCF7,Flavopiridol,10.0,236,sciPlex3,source_train,sciPlex3::MCF7::Flavopiridol::dose_nM=10.0,1.0,False
MCF7,Flavopiridol,100.0,121,sciPlex3,source_train,sciPlex3::MCF7::Flavopiridol::dose_nM=100.0,2.0,False
MCF7,Flavopiridol,1000.0,7,sciPlex3,source_train,sciPlex3::MCF7::Flavopiridol::dose_nM=1000.0,3.0,False
MCF7,Flavopiridol,10000.0,3,sciPlex3,source_train,sciPlex3::MCF7::Flavopiridol::dose_nM=10000.0,4.0,False
MCF7,Givinostat,10.0,380,sciPlex3,source_train,sciPlex3::MCF7::Givinostat::dose_nM=10.0,1.0,False
MCF7,Givinostat,100.0,360,sciPlex3,source_train,sciPlex3::MCF7::Givinostat::dose_nM=100.0,2.0,False
MCF7,Givinostat,1000.0,284,sciPlex3,source_train,sciPlex3::MCF7::Givinostat::dose_nM=1000.0,3.0,False
MCF7,Givinostat,10000.0,319,sciPlex3,source_train,sciPlex3::MCF7::Givinostat::dose_nM=10000.0,4.0,False
MCF7,Hesperadin,10.0,231,sciPlex3,source_train,sciPlex3::MCF7::Hesperadin::dose_nM=10.0,1.0,False
MCF7,Hesperadin,100.0,128,sciPlex3,source_train,sciPlex3::MCF7::Hesperadin::dose_nM=100.0,2.0,False
MCF7,Hesperadin,1000.0,132,sciPlex3,source_train,sciPlex3::MCF7::Hesperadin::dose_nM=1000.0,3.0,False
MCF7,Hesperadin,10000.0,126,sciPlex3,source_train,sciPlex3::MCF7::Hesperadin::dose_nM=10000.0,4.0,False
MCF7,Quisinostat,10.0,237,sciPlex3,source_train,sciPlex3::MCF7::Quisinostat::dose_nM=10.0,1.0,False
MCF7,Quisinostat,100.0,248,sciPlex3,source_train,sciPlex3::MCF7::Quisinostat::dose_nM=100.0,2.0,False
MCF7,Quisinostat,1000.0,236,sciPlex3,source_train,sciPlex3::MCF7::Quisinostat::dose_nM=1000.0,3.0,False
MCF7,Quisinostat,10000.0,216,sciPlex3,source_train,sciPlex3::MCF7::Quisinostat::dose_nM=10000.0,4.0,False
MCF7,TAK901,10.0,278,sciPlex3,source_train,sciPlex3::MCF7::TAK901::dose_nM=10.0,1.0,False
MCF7,TAK901,100.0,250,sciPlex3,source_train,sciPlex3::MCF7::TAK901::dose_nM=100.0,2.0,False
MCF7,TAK901,1000.0,193,sciPlex3,source_train,sciPlex3::MCF7::TAK901::dose_nM=1000.0,3.0,False
MCF7,TAK901,10000.0,71,sciPlex3,source_train,sciPlex3::MCF7::TAK901::dose_nM=10000.0,4.0,False
MCF7,Tanespimycin,10.0,251,sciPlex3,source_train,sciPlex3::MCF7::Tanespimycin::dose_nM=10.0,1.0,False
MCF7,Tanespimycin,100.0,114,sciPlex3,source_train,sciPlex3::MCF7::Tanespimycin::dose_nM=100.0,2.0,False
MCF7,Tanespimycin,1000.0,68,sciPlex3,source_train,sciPlex3::MCF7::Tanespimycin::dose_nM=1000.0,3.0,False
MCF7,Tanespimycin,10000.0,91,sciPlex3,source_train,sciPlex3::MCF7::Tanespimycin::dose_nM=10000.0,4.0,False
B cells,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,1000.0,225,OpenProblems2023,target_test,OpenProblems2023::B cells::5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine::dose_nM=1000.0,3.0,False
B cells,ABT-199 (GDC-0199),1000.0,30,OpenProblems2023,target_test,OpenProblems2023::B cells::ABT-199 (GDC-0199)::dose_nM=1000.0,3.0,False
B cells,AMD-070 (hydrochloride),1000.0,219,OpenProblems2023,target_test,OpenProblems2023::B cells::AMD-070 (hydrochloride)::dose_nM=1000.0,3.0,False
B cells,AT 7867,1000.0,348,OpenProblems2023,target_test,OpenProblems2023::B cells::AT 7867::dose_nM=1000.0,3.0,False
B cells,AT13387,1000.0,194,OpenProblems2023,target_test,OpenProblems2023::B cells::AT13387::dose_nM=1000.0,3.0,False
B cells,AVL-292,1000.0,283,OpenProblems2023,target_test,OpenProblems2023::B cells::AVL-292::dose_nM=1000.0,3.0,False
B cells,AZ628,1000.0,228,OpenProblems2023,target_test,OpenProblems2023::B cells::AZ628::dose_nM=1000.0,3.0,False
B cells,AZD-8330,1000.0,308,OpenProblems2023,target_test,OpenProblems2023::B cells::AZD-8330::dose_nM=1000.0,3.0,False
B cells,AZD3514,1000.0,244,OpenProblems2023,target_test,OpenProblems2023::B cells::AZD3514::dose_nM=1000.0,3.0,False
B cells,AZD4547,1000.0,281,OpenProblems2023,target_test,OpenProblems2023::B cells::AZD4547::dose_nM=1000.0,3.0,False
B cells,Alogliptin,1000.0,226,OpenProblems2023,target_test,OpenProblems2023::B cells::Alogliptin::dose_nM=1000.0,3.0,False
B cells,Amiodarone,1000.0,255,OpenProblems2023,target_test,OpenProblems2023::B cells::Amiodarone::dose_nM=1000.0,3.0,False
B cells,Atorvastatin,1000.0,267,OpenProblems2023,target_test,OpenProblems2023::B cells::Atorvastatin::dose_nM=1000.0,3.0,False
B cells,Azacitidine,1000.0,269,OpenProblems2023,target_test,OpenProblems2023::B cells::Azacitidine::dose_nM=1000.0,3.0,False
B cells,BAY 61-3606,1000.0,203,OpenProblems2023,target_test,OpenProblems2023::B cells::BAY 61-3606::dose_nM=1000.0,3.0,False
B cells,BAY 87-2243,1000.0,260,OpenProblems2023,target_test,OpenProblems2023::B cells::BAY 87-2243::dose_nM=1000.0,3.0,False
B cells,BI-D1870,1000.0,246,OpenProblems2023,target_test,OpenProblems2023::B cells::BI-D1870::dose_nM=1000.0,3.0,False
B cells,BMS-265246,1000.0,409,OpenProblems2023,target_test,OpenProblems2023::B cells::BMS-265246::dose_nM=1000.0,3.0,False
B cells,BMS-536924,1000.0,201,OpenProblems2023,target_test,OpenProblems2023::B cells::BMS-536924::dose_nM=1000.0,3.0,False
B cells,BMS-777607,1000.0,272,OpenProblems2023,target_test,OpenProblems2023::B cells::BMS-777607::dose_nM=1000.0,3.0,False
B cells,BX 912,1000.0,218,OpenProblems2023,target_test,OpenProblems2023::B cells::BX 912::dose_nM=1000.0,3.0,False
B cells,Bosutinib,1000.0,222,OpenProblems2023,target_test,OpenProblems2023::B cells::Bosutinib::dose_nM=1000.0,3.0,False
B cells,Buspirone,1000.0,299,OpenProblems2023,target_test,OpenProblems2023::B cells::Buspirone::dose_nM=1000.0,3.0,False
B cells,CC-401,1000.0,303,OpenProblems2023,target_test,OpenProblems2023::B cells::CC-401::dose_nM=1000.0,3.0,False
B cells,CEP-37440,1000.0,337,OpenProblems2023,target_test,OpenProblems2023::B cells::CEP-37440::dose_nM=1000.0,3.0,False
B cells,CGM-097,1000.0,243,OpenProblems2023,target_test,OpenProblems2023::B cells::CGM-097::dose_nM=1000.0,3.0,False
B cells,CHIR-99021,1000.0,288,OpenProblems2023,target_test,OpenProblems2023::B cells::CHIR-99021::dose_nM=1000.0,3.0,False
B cells,Cabozantinib,1000.0,313,OpenProblems2023,target_test,OpenProblems2023::B cells::Cabozantinib::dose_nM=1000.0,3.0,False
B cells,Canertinib,1000.0,306,OpenProblems2023,target_test,OpenProblems2023::B cells::Canertinib::dose_nM=1000.0,3.0,False
B cells,Ceritinib,1000.0,285,OpenProblems2023,target_test,OpenProblems2023::B cells::Ceritinib::dose_nM=1000.0,3.0,False
B cells,Chlorpheniramine,1000.0,294,OpenProblems2023,target_test,OpenProblems2023::B cells::Chlorpheniramine::dose_nM=1000.0,3.0,False
B cells,Clemastine,1000.0,324,OpenProblems2023,target_test,OpenProblems2023::B cells::Clemastine::dose_nM=1000.0,3.0,False
B cells,Clomipramine,1000.0,236,OpenProblems2023,target_test,OpenProblems2023::B cells::Clomipramine::dose_nM=1000.0,3.0,False
B cells,Clotrimazole,1000.0,257,OpenProblems2023,target_test,OpenProblems2023::B cells::Clotrimazole::dose_nM=1000.0,3.0,False
B cells,Colchicine,1000.0,147,OpenProblems2023,target_test,OpenProblems2023::B cells::Colchicine::dose_nM=1000.0,3.0,False
B cells,Colforsin,1000.0,223,OpenProblems2023,target_test,OpenProblems2023::B cells::Colforsin::dose_nM=1000.0,3.0,False
B cells,Crizotinib,1000.0,215,OpenProblems2023,target_test,OpenProblems2023::B cells::Crizotinib::dose_nM=1000.0,3.0,False
B cells,Dactolisib,1000.0,209,OpenProblems2023,target_test,OpenProblems2023::B cells::Dactolisib::dose_nM=1000.0,3.0,False
B cells,Dasatinib,1000.0,174,OpenProblems2023,target_test,OpenProblems2023::B cells::Dasatinib::dose_nM=1000.0,3.0,False
B cells,Decitabine,1000.0,246,OpenProblems2023,target_test,OpenProblems2023::B cells::Decitabine::dose_nM=1000.0,3.0,False
B cells,Defactinib,1000.0,260,OpenProblems2023,target_test,OpenProblems2023::B cells::Defactinib::dose_nM=1000.0,3.0,False
B cells,Desloratadine,1000.0,258,OpenProblems2023,target_test,OpenProblems2023::B cells::Desloratadine::dose_nM=1000.0,3.0,False
B cells,Disulfiram,1000.0,190,OpenProblems2023,target_test,OpenProblems2023::B cells::Disulfiram::dose_nM=1000.0,3.0,False
B cells,Dovitinib,1000.0,261,OpenProblems2023,target_test,OpenProblems2023::B cells::Dovitinib::dose_nM=1000.0,3.0,False
B cells,Doxorubicin,1000.0,185,OpenProblems2023,target_test,OpenProblems2023::B cells::Doxorubicin::dose_nM=1000.0,3.0,False
B cells,FK 866,1000.0,228,OpenProblems2023,target_test,OpenProblems2023::B cells::FK 866::dose_nM=1000.0,3.0,False
B cells,Flutamide,1000.0,215,OpenProblems2023,target_test,OpenProblems2023::B cells::Flutamide::dose_nM=1000.0,3.0,False
B cells,Foretinib,1000.0,247,OpenProblems2023,target_test,OpenProblems2023::B cells::Foretinib::dose_nM=1000.0,3.0,False
B cells,GLPG0634,1000.0,278,OpenProblems2023,target_test,OpenProblems2023::B cells::GLPG0634::dose_nM=1000.0,3.0,False
B cells,GO-6976,1000.0,230,OpenProblems2023,target_test,OpenProblems2023::B cells::GO-6976::dose_nM=1000.0,3.0,False
B cells,GSK-1070916,1000.0,276,OpenProblems2023,target_test,OpenProblems2023::B cells::GSK-1070916::dose_nM=1000.0,3.0,False
B cells,GSK256066,1000.0,270,OpenProblems2023,target_test,OpenProblems2023::B cells::GSK256066::dose_nM=1000.0,3.0,False
B cells,GW843682X,1000.0,282,OpenProblems2023,target_test,OpenProblems2023::B cells::GW843682X::dose_nM=1000.0,3.0,False
B cells,Ganetespib (STA-9090),1000.0,238,OpenProblems2023,target_test,OpenProblems2023::B cells::Ganetespib (STA-9090)::dose_nM=1000.0,3.0,False
B cells,HMN-214,1000.0,359,OpenProblems2023,target_test,OpenProblems2023::B cells::HMN-214::dose_nM=1000.0,3.0,False
B cells,HYDROXYUREA,1000.0,235,OpenProblems2023,target_test,OpenProblems2023::B cells::HYDROXYUREA::dose_nM=1000.0,3.0,False
B cells,I-BET151,1000.0,173,OpenProblems2023,target_test,OpenProblems2023::B cells::I-BET151::dose_nM=1000.0,3.0,False
B cells,IKK Inhibitor VII,1000.0,180,OpenProblems2023,target_test,OpenProblems2023::B cells::IKK Inhibitor VII::dose_nM=1000.0,3.0,False
B cells,IMD-0354,1000.0,132,OpenProblems2023,target_test,OpenProblems2023::B cells::IMD-0354::dose_nM=1000.0,3.0,False
B cells,IN1451,1000.0,81,OpenProblems2023,target_test,OpenProblems2023::B cells::IN1451::dose_nM=1000.0,3.0,False
B cells,Idelalisib,1000.0,240,OpenProblems2023,target_test,OpenProblems2023::B cells::Idelalisib::dose_nM=1000.0,3.0,False
B cells,Imatinib,1000.0,252,OpenProblems2023,target_test,OpenProblems2023::B cells::Imatinib::dose_nM=1000.0,3.0,False
B cells,Isoniazid,1000.0,242,OpenProblems2023,target_test,OpenProblems2023::B cells::Isoniazid::dose_nM=1000.0,3.0,False
B cells,Ixabepilone,1000.0,276,OpenProblems2023,target_test,OpenProblems2023::B cells::Ixabepilone::dose_nM=1000.0,3.0,False
B cells,K-02288,1000.0,231,OpenProblems2023,target_test,OpenProblems2023::B cells::K-02288::dose_nM=1000.0,3.0,False
B cells,Ketoconazole,1000.0,237,OpenProblems2023,target_test,OpenProblems2023::B cells::Ketoconazole::dose_nM=1000.0,3.0,False
B cells,LDN 193189,1000.0,292,OpenProblems2023,target_test,OpenProblems2023::B cells::LDN 193189::dose_nM=1000.0,3.0,False
B cells,LY2090314,1000.0,228,OpenProblems2023,target_test,OpenProblems2023::B cells::LY2090314::dose_nM=1000.0,3.0,False
B cells,Lamivudine,1000.0,232,OpenProblems2023,target_test,OpenProblems2023::B cells::Lamivudine::dose_nM=1000.0,3.0,False
B cells,Lapatinib,1000.0,334,OpenProblems2023,target_test,OpenProblems2023::B cells::Lapatinib::dose_nM=1000.0,3.0,False
B cells,Linagliptin,1000.0,221,OpenProblems2023,target_test,OpenProblems2023::B cells::Linagliptin::dose_nM=1000.0,3.0,False
B cells,MGCD-265,1000.0,243,OpenProblems2023,target_test,OpenProblems2023::B cells::MGCD-265::dose_nM=1000.0,3.0,False
B cells,MK-5108,1000.0,280,OpenProblems2023,target_test,OpenProblems2023::B cells::MK-5108::dose_nM=1000.0,3.0,False
B cells,Masitinib,1000.0,268,OpenProblems2023,target_test,OpenProblems2023::B cells::Masitinib::dose_nM=1000.0,3.0,False
B cells,Methotrexate,1000.0,367,OpenProblems2023,target_test,OpenProblems2023::B cells::Methotrexate::dose_nM=1000.0,3.0,False
B cells,Midostaurin,1000.0,207,OpenProblems2023,target_test,OpenProblems2023::B cells::Midostaurin::dose_nM=1000.0,3.0,False
B cells,Mometasone Furoate,1000.0,182,OpenProblems2023,target_test,OpenProblems2023::B cells::Mometasone Furoate::dose_nM=1000.0,3.0,False
B cells,Mubritinib (TAK 165),1000.0,236,OpenProblems2023,target_test,OpenProblems2023::B cells::Mubritinib (TAK 165)::dose_nM=1000.0,3.0,False
B cells,Navitoclax,1000.0,50,OpenProblems2023,target_test,OpenProblems2023::B cells::Navitoclax::dose_nM=1000.0,3.0,False
B cells,Nefazodone,1000.0,185,OpenProblems2023,target_test,OpenProblems2023::B cells::Nefazodone::dose_nM=1000.0,3.0,False
B cells,Nilotinib,1000.0,203,OpenProblems2023,target_test,OpenProblems2023::B cells::Nilotinib::dose_nM=1000.0,3.0,False
B cells,O-Demethylated Adapalene,1000.0,255,OpenProblems2023,target_test,OpenProblems2023::B cells::O-Demethylated Adapalene::dose_nM=1000.0,3.0,False
B cells,OSI-930,1000.0,264,OpenProblems2023,target_test,OpenProblems2023::B cells::OSI-930::dose_nM=1000.0,3.0,False
B cells,Oxybenzone,1000.0,249,OpenProblems2023,target_test,OpenProblems2023::B cells::Oxybenzone::dose_nM=1000.0,3.0,False
B cells,PD-0325901,1000.0,262,OpenProblems2023,target_test,OpenProblems2023::B cells::PD-0325901::dose_nM=1000.0,3.0,False
B cells,PF-03814735,1000.0,251,OpenProblems2023,target_test,OpenProblems2023::B cells::PF-03814735::dose_nM=1000.0,3.0,False
B cells,PF-04691502,1000.0,177,OpenProblems2023,target_test,OpenProblems2023::B cells::PF-04691502::dose_nM=1000.0,3.0,False
B cells,PRT-062607,1000.0,225,OpenProblems2023,target_test,OpenProblems2023::B cells::PRT-062607::dose_nM=1000.0,3.0,False
B cells,Palbociclib,1000.0,244,OpenProblems2023,target_test,OpenProblems2023::B cells::Palbociclib::dose_nM=1000.0,3.0,False
B cells,Penfluridol,1000.0,259,OpenProblems2023,target_test,OpenProblems2023::B cells::Penfluridol::dose_nM=1000.0,3.0,False
B cells,Perhexiline,1000.0,226,OpenProblems2023,target_test,OpenProblems2023::B cells::Perhexiline::dose_nM=1000.0,3.0,False
B cells,Phenylbutazone,1000.0,313,OpenProblems2023,target_test,OpenProblems2023::B cells::Phenylbutazone::dose_nM=1000.0,3.0,False
B cells,Pitavastatin Calcium,1000.0,281,OpenProblems2023,target_test,OpenProblems2023::B cells::Pitavastatin Calcium::dose_nM=1000.0,3.0,False
B cells,Pomalidomide,1000.0,291,OpenProblems2023,target_test,OpenProblems2023::B cells::Pomalidomide::dose_nM=1000.0,3.0,False
B cells,Porcn Inhibitor III,1000.0,282,OpenProblems2023,target_test,OpenProblems2023::B cells::Porcn Inhibitor III::dose_nM=1000.0,3.0,False
B cells,Prednisolone,1000.0,226,OpenProblems2023,target_test,OpenProblems2023::B cells::Prednisolone::dose_nM=1000.0,3.0,False
B cells,Proscillaridin A;Proscillaridin-A,1000.0,371,OpenProblems2023,target_test,OpenProblems2023::B cells::Proscillaridin A;Proscillaridin-A::dose_nM=1000.0,3.0,False
B cells,Protriptyline,1000.0,220,OpenProblems2023,target_test,OpenProblems2023::B cells::Protriptyline::dose_nM=1000.0,3.0,False
B cells,Quizartinib,1000.0,309,OpenProblems2023,target_test,OpenProblems2023::B cells::Quizartinib::dose_nM=1000.0,3.0,False
B cells,R428,1000.0,219,OpenProblems2023,target_test,OpenProblems2023::B cells::R428::dose_nM=1000.0,3.0,False
B cells,RG7090,1000.0,268,OpenProblems2023,target_test,OpenProblems2023::B cells::RG7090::dose_nM=1000.0,3.0,False
B cells,RG7112,1000.0,341,OpenProblems2023,target_test,OpenProblems2023::B cells::RG7112::dose_nM=1000.0,3.0,False
B cells,RN-486,1000.0,226,OpenProblems2023,target_test,OpenProblems2023::B cells::RN-486::dose_nM=1000.0,3.0,False
