target,condition,source_context,n_source_perturbed_cells,n_source_batches,n_source_control_cells
K562,CNOT3+ctrl,RPE1,54,37,11485
K562,COPB1+ctrl,RPE1,15,13,11485
K562,COPS2+ctrl,RPE1,41,27,11485
K562,COPS4+ctrl,RPE1,42,33,11485
K562,COX11+ctrl,RPE1,114,49,11485
K562,CPSF1+ctrl,RPE1,50,35,11485
K562,CPSF3+ctrl,RPE1,173,55,11485
K562,CPSF4+ctrl,RPE1,32,22,11485
K562,CPSF6+ctrl,RPE1,25,18,11485
K562,CSE1L+ctrl,RPE1,252,56,11485
K562,CSNK2B+ctrl,RPE1,68,36,11485
K562,CSTF3+ctrl,RPE1,58,36,11485
K562,CTR9+ctrl,RPE1,38,26,11485
K562,CUL2+ctrl,RPE1,29,24,11485
K562,CUL7+ctrl,RPE1,36,27,11485
K562,CWC15+ctrl,RPE1,57,36,11485
K562,CWF19L2+ctrl,RPE1,58,35,11485
K562,CXXC1+ctrl,RPE1,92,43,11485
K562,DAD1+ctrl,RPE1,36,25,11485
K562,DARS+ctrl,RPE1,30,25,11485
K562,DDB1+ctrl,RPE1,74,40,11485
K562,DDX10+ctrl,RPE1,32,26,11485
K562,DDX23+ctrl,RPE1,168,50,11485
K562,DDX41+ctrl,RPE1,30,28,11485
K562,DDX46+ctrl,RPE1,95,43,11485
K562,DDX47+ctrl,RPE1,93,45,11485
K562,DDX5+ctrl,RPE1,196,55,11485
K562,DDX52+ctrl,RPE1,34,21,11485
K562,DDX55+ctrl,RPE1,76,38,11485
K562,DDX59+ctrl,RPE1,46,34,11485
K562,DENR+ctrl,RPE1,77,37,11485
K562,DHX16+ctrl,RPE1,71,40,11485
K562,DHX33+ctrl,RPE1,44,29,11485
K562,DHX36+ctrl,RPE1,71,42,11485
K562,DHX37+ctrl,RPE1,40,25,11485
K562,DKC1+ctrl,RPE1,23,20,11485
K562,DLD+ctrl,RPE1,71,37,11485
K562,DMAP1+ctrl,RPE1,43,30,11485
K562,DNAJC17+ctrl,RPE1,73,41,11485
K562,DNAJC8+ctrl,RPE1,138,50,11485
K562,DNMT1+ctrl,RPE1,102,44,11485
K562,DR1+ctrl,RPE1,37,28,11485
K562,DSN1+ctrl,RPE1,38,28,11485
K562,DTL+ctrl,RPE1,47,34,11485
K562,DUT+ctrl,RPE1,46,32,11485
K562,DYNC1H1+ctrl,RPE1,29,24,11485
K562,DYNC1I2+ctrl,RPE1,52,33,11485
K562,EBNA1BP2+ctrl,RPE1,32,25,11485
K562,ECD+ctrl,RPE1,48,35,11485
K562,EEF2+ctrl,RPE1,70,39,11485
K562,EIF1AX+ctrl,RPE1,52,32,11485
K562,EIF2B1+ctrl,RPE1,100,44,11485
K562,EIF2B5+ctrl,RPE1,114,48,11485
K562,EIF2S1+ctrl,RPE1,75,42,11485
K562,EIF2S2+ctrl,RPE1,30,26,11485
K562,EIF2S3+ctrl,RPE1,62,38,11485
K562,EIF3B+ctrl,RPE1,109,45,11485
K562,EIF3CL+ctrl,RPE1,337,56,11485
K562,EIF3D+ctrl,RPE1,49,33,11485
K562,EIF3E+ctrl,RPE1,46,33,11485
K562,EIF3I+ctrl,RPE1,72,40,11485
K562,EIF3J+ctrl,RPE1,64,41,11485
K562,EIF3M+ctrl,RPE1,63,36,11485
K562,EIF4E+ctrl,RPE1,65,38,11485
K562,EIF4G2+ctrl,RPE1,150,50,11485
K562,EIF6+ctrl,RPE1,57,32,11485
K562,ERCC2+ctrl,RPE1,94,41,11485
K562,ETF1+ctrl,RPE1,84,44,11485
K562,EXOC7+ctrl,RPE1,32,21,11485
K562,EXOSC2+ctrl,RPE1,42,30,11485
K562,EXOSC3+ctrl,RPE1,54,34,11485
K562,EXOSC7+ctrl,RPE1,43,27,11485
K562,FAM136A+ctrl,RPE1,504,56,11485
K562,FAM32A+ctrl,RPE1,44,33,11485
K562,FARSA+ctrl,RPE1,57,35,11485
K562,FTSJ3+ctrl,RPE1,41,29,11485
K562,GARS+ctrl,RPE1,99,43,11485
K562,GBF1+ctrl,RPE1,93,47,11485
K562,GFER+ctrl,RPE1,67,39,11485
K562,GFM1+ctrl,RPE1,1669,56,11485
K562,GINS2+ctrl,RPE1,57,32,11485
K562,GLE1+ctrl,RPE1,81,42,11485
K562,GNL3+ctrl,RPE1,34,26,11485
K562,GPN2+ctrl,RPE1,37,25,11485
K562,GPN3+ctrl,RPE1,34,28,11485
K562,GRB2+ctrl,RPE1,112,48,11485
K562,GRSF1+ctrl,RPE1,122,49,11485
K562,GTF2E1+ctrl,RPE1,46,33,11485
K562,GTF2F2+ctrl,RPE1,55,34,11485
K562,HAUS5+ctrl,RPE1,90,46,11485
K562,HBS1L+ctrl,RPE1,45,30,11485
K562,HDAC7+ctrl,RPE1,86,43,11485
K562,HGS+ctrl,RPE1,44,33,11485
K562,HMGCS1+ctrl,RPE1,259,55,11485
K562,HNRNPH1+ctrl,RPE1,145,55,11485
K562,HSCB+ctrl,RPE1,227,54,11485
K562,HSPA5+ctrl,RPE1,64,36,11485
K562,HSPA9+ctrl,RPE1,94,43,11485
K562,HSPE1+ctrl,RPE1,98,47,11485
K562,IARS+ctrl,RPE1,32,26,11485
K562,ICE1+ctrl,RPE1,61,37,11485
K562,IGBP1+ctrl,RPE1,71,39,11485
K562,IK+ctrl,RPE1,191,56,11485
K562,ILF2+ctrl,RPE1,54,35,11485
K562,INO80B+ctrl,RPE1,80,44,11485
K562,INTS3+ctrl,RPE1,65,40,11485
K562,INTS4+ctrl,RPE1,50,35,11485
K562,INTS9+ctrl,RPE1,27,21,11485
K562,IPO9+ctrl,RPE1,106,48,11485
K562,ISCU+ctrl,RPE1,20,19,11485
K562,KANSL1+ctrl,RPE1,27,24,11485
K562,KARS+ctrl,RPE1,26,21,11485
K562,KAT8+ctrl,RPE1,53,39,11485
K562,KPNB1+ctrl,RPE1,180,53,11485
K562,KRI1+ctrl,RPE1,43,30,11485
K562,LAS1L+ctrl,RPE1,41,28,11485
K562,LETM1+ctrl,RPE1,153,50,11485
K562,LSG1+ctrl,RPE1,60,37,11485
K562,LSM3+ctrl,RPE1,48,28,11485
K562,LSM4+ctrl,RPE1,68,38,11485
K562,LSM5+ctrl,RPE1,72,36,11485
K562,LSM6+ctrl,RPE1,44,26,11485
K562,LSM7+ctrl,RPE1,44,30,11485
K562,MAD2L1+ctrl,RPE1,95,44,11485
K562,MARS+ctrl,RPE1,31,23,11485
K562,MAX+ctrl,RPE1,85,43,11485
K562,MCM2+ctrl,RPE1,41,28,11485
K562,MCM3+ctrl,RPE1,179,52,11485
K562,MCM3AP+ctrl,RPE1,70,41,11485
K562,MCM4+ctrl,RPE1,36,26,11485
K562,MCM6+ctrl,RPE1,120,52,11485
K562,MED11+ctrl,RPE1,32,23,11485
K562,MED19+ctrl,RPE1,195,54,11485
K562,MED22+ctrl,RPE1,29,24,11485
K562,MED29+ctrl,RPE1,29,24,11485
K562,MED4+ctrl,RPE1,59,36,11485
K562,MIOS+ctrl,RPE1,130,49,11485
K562,MNAT1+ctrl,RPE1,76,41,11485
K562,MPHOSPH10+ctrl,RPE1,27,22,11485
K562,MRGBP+ctrl,RPE1,32,22,11485
K562,MRPL36+ctrl,RPE1,1565,56,11485
K562,MRPL38+ctrl,RPE1,256,55,11485
K562,MRPS14+ctrl,RPE1,30,21,11485
K562,MTBP+ctrl,RPE1,86,41,11485
K562,MYBBP1A+ctrl,RPE1,31,23,11485
K562,MYBL2+ctrl,RPE1,877,56,11485
K562,NAA10+ctrl,RPE1,58,39,11485
K562,NAA20+ctrl,RPE1,89,43,11485
K562,NACA+ctrl,RPE1,25,19,11485
K562,NCAPH+ctrl,RPE1,36,23,11485
K562,NCBP1+ctrl,RPE1,28,24,11485
K562,NCBP2+ctrl,RPE1,34,25,11485
K562,NDC80+ctrl,RPE1,94,47,11485
K562,NDUFA2+ctrl,RPE1,29,23,11485
K562,NELFA+ctrl,RPE1,60,34,11485
K562,NELFCD+ctrl,RPE1,111,50,11485
K562,NFRKB+ctrl,RPE1,148,51,11485
K562,NFS1+ctrl,RPE1,56,32,11485
K562,NOC3L+ctrl,RPE1,40,29,11485
K562,NOL11+ctrl,RPE1,29,21,11485
K562,NOL12+ctrl,RPE1,28,21,11485
K562,NOL8+ctrl,RPE1,37,29,11485
K562,NRBP1+ctrl,RPE1,149,53,11485
K562,NRDE2+ctrl,RPE1,46,30,11485
K562,NRF1+ctrl,RPE1,54,33,11485
K562,NSRP1+ctrl,RPE1,40,29,11485
K562,NUBP1+ctrl,RPE1,37,29,11485
K562,NUF2+ctrl,RPE1,58,34,11485
K562,NUP133+ctrl,RPE1,106,47,11485
K562,NUP160+ctrl,RPE1,62,39,11485
K562,NUP54+ctrl,RPE1,79,41,11485
K562,NUP85+ctrl,RPE1,74,42,11485
K562,NUTF2+ctrl,RPE1,55,36,11485
K562,OGFOD1+ctrl,RPE1,52,32,11485
K562,OPA1+ctrl,RPE1,60,32,11485
K562,ORC1+ctrl,RPE1,56,32,11485
K562,PABPN1+ctrl,RPE1,36,24,11485
K562,PAF1+ctrl,RPE1,67,35,11485
K562,PAM16+ctrl,RPE1,72,37,11485
K562,PAXBP1+ctrl,RPE1,138,50,11485
K562,PCID2+ctrl,RPE1,145,52,11485
K562,PDAP1+ctrl,RPE1,36,28,11485
K562,PDCD2+ctrl,RPE1,29,23,11485
K562,PDCD7+ctrl,RPE1,32,25,11485
K562,PDRG1+ctrl,RPE1,27,19,11485
K562,PELP1+ctrl,RPE1,70,41,11485
K562,PET117+ctrl,RPE1,154,54,11485
K562,PFDN2+ctrl,RPE1,39,30,11485
K562,PGAM1+ctrl,RPE1,115,46,11485
K562,PHAX+ctrl,RPE1,108,49,11485
K562,PHB2+ctrl,RPE1,57,33,11485
K562,PMPCB+ctrl,RPE1,145,51,11485
K562,PNN+ctrl,RPE1,66,40,11485
K562,POLA1+ctrl,RPE1,53,35,11485
K562,POLA2+ctrl,RPE1,43,31,11485
K562,POLD2+ctrl,RPE1,97,48,11485
K562,POLD3+ctrl,RPE1,45,31,11485
K562,POLR1C+ctrl,RPE1,177,53,11485
K562,POLR2F+ctrl,RPE1,53,34,11485
K562,POLR2I+ctrl,RPE1,143,52,11485
K562,POLR3D+ctrl,RPE1,30,22,11485
K562,POLR3E+ctrl,RPE1,40,28,11485
K562,POLR3F+ctrl,RPE1,37,27,11485
K562,POLRMT+ctrl,RPE1,212,56,11485
K562,POP4+ctrl,RPE1,40,27,11485
K562,POP5+ctrl,RPE1,37,27,11485
K562,POP7+ctrl,RPE1,56,32,11485
K562,PPARGC1B+ctrl,RPE1,77,42,11485
K562,PPIE+ctrl,RPE1,25,23,11485
K562,PPIH+ctrl,RPE1,36,31,11485
K562,PPIL4+ctrl,RPE1,86,47,11485
K562,PPP1R11+ctrl,RPE1,47,32,11485
K562,PPP1R8+ctrl,RPE1,142,52,11485
K562,PPP2R1A+ctrl,RPE1,215,54,11485
K562,PPP4R2+ctrl,RPE1,68,35,11485
K562,PRIM2+ctrl,RPE1,31,27,11485
K562,PRMT1+ctrl,RPE1,36,28,11485
K562,PRMT5+ctrl,RPE1,126,50,11485
K562,PRPF18+ctrl,RPE1,59,34,11485
K562,PRRC2A+ctrl,RPE1,147,52,11485
K562,PSMA2+ctrl,RPE1,18,17,11485
K562,PSMA3+ctrl,RPE1,35,28,11485
K562,PSMA6+ctrl,RPE1,21,19,11485
K562,PSMB2+ctrl,RPE1,49,32,11485
K562,PSMB3+ctrl,RPE1,35,25,11485
K562,PSMB6+ctrl,RPE1,57,37,11485
K562,PSMC1+ctrl,RPE1,68,39,11485
K562,PSMC2+ctrl,RPE1,34,26,11485
K562,PSMC4+ctrl,RPE1,26,19,11485
K562,PSMD1+ctrl,RPE1,21,18,11485
K562,PSMD11+ctrl,RPE1,16,14,11485
K562,PSMD12+ctrl,RPE1,15,12,11485
K562,PSMD4+ctrl,RPE1,22,21,11485
K562,PSMD6+ctrl,RPE1,26,18,11485
K562,PTCD1+ctrl,RPE1,71,43,11485
K562,QARS+ctrl,RPE1,78,41,11485
K562,RABGGTA+ctrl,RPE1,189,55,11485
K562,RAD21+ctrl,RPE1,31,22,11485
K562,RAN+ctrl,RPE1,50,36,11485
K562,RARS2+ctrl,RPE1,132,51,11485
K562,RBBP4+ctrl,RPE1,48,32,11485
K562,RBM17+ctrl,RPE1,40,25,11485
K562,RBM25+ctrl,RPE1,32,25,11485
K562,RBM39+ctrl,RPE1,41,32,11485
K562,RBM42+ctrl,RPE1,46,29,11485
K562,RBM48+ctrl,RPE1,33,22,11485
K562,RBMX+ctrl,RPE1,23,19,11485
K562,RCL1+ctrl,RPE1,38,29,11485
K562,RFC2+ctrl,RPE1,77,42,11485
K562,RFC4+ctrl,RPE1,35,26,11485
K562,RFC5+ctrl,RPE1,42,33,11485
K562,RINT1+ctrl,RPE1,72,41,11485
K562,RNASEH2C+ctrl,RPE1,129,51,11485
K562,RNF113A+ctrl,RPE1,59,30,11485
K562,RNF20+ctrl,RPE1,147,52,11485
K562,RNMT+ctrl,RPE1,69,39,11485
K562,RNPS1+ctrl,RPE1,27,20,11485
K562,RPA1+ctrl,RPE1,64,38,11485
K562,RPAP1+ctrl,RPE1,37,28,11485
K562,RPL10+ctrl,RPE1,71,39,11485
K562,RPL11+ctrl,RPE1,57,33,11485
K562,RPL12+ctrl,RPE1,73,38,11485
K562,RPL14+ctrl,RPE1,42,27,11485
K562,RPL17+ctrl,RPE1,59,32,11485
K562,RPL18+ctrl,RPE1,56,36,11485
K562,RPL21+ctrl,RPE1,27,23,11485
K562,RPL23A+ctrl,RPE1,43,31,11485
K562,RPL26+ctrl,RPE1,49,31,11485
K562,RPL32+ctrl,RPE1,64,42,11485
K562,RPL34+ctrl,RPE1,31,23,11485
K562,RPL35+ctrl,RPE1,66,42,11485
K562,RPL35A+ctrl,RPE1,96,49,11485
K562,RPL37A+ctrl,RPE1,68,39,11485
K562,RPL38+ctrl,RPE1,27,18,11485
K562,RPL39+ctrl,RPE1,40,30,11485
K562,RPL4+ctrl,RPE1,60,33,11485
K562,RPL5+ctrl,RPE1,57,30,11485
K562,RPL7+ctrl,RPE1,117,47,11485
K562,RPL9+ctrl,RPE1,42,33,11485
K562,RPLP0+ctrl,RPE1,96,46,11485
K562,RPP30+ctrl,RPE1,36,22,11485
K562,RPS10+ctrl,RPE1,17,14,11485
K562,RPS15+ctrl,RPE1,40,28,11485
K562,RPS15A+ctrl,RPE1,26,20,11485
K562,RPS19BP1+ctrl,RPE1,25,19,11485
K562,RPS2+ctrl,RPE1,50,31,11485
K562,RPS20+ctrl,RPE1,29,20,11485
K562,RPS24+ctrl,RPE1,32,28,11485
K562,RPS27+ctrl,RPE1,55,35,11485
K562,RPS27A+ctrl,RPE1,65,40,11485
K562,RPS29+ctrl,RPE1,41,29,11485
K562,RPS3+ctrl,RPE1,42,28,11485
K562,RPS3A+ctrl,RPE1,36,25,11485
K562,RPS6+ctrl,RPE1,49,33,11485
K562,RPTOR+ctrl,RPE1,30,22,11485
K562,RRN3+ctrl,RPE1,42,29,11485
K562,RRP12+ctrl,RPE1,28,24,11485
K562,RSL1D1+ctrl,RPE1,75,38,11485
K562,RTF1+ctrl,RPE1,44,29,11485
K562,RUVBL1+ctrl,RPE1,103,41,11485
K562,SAMM50+ctrl,RPE1,43,27,11485
K562,SARS2+ctrl,RPE1,108,52,11485
K562,SART3+ctrl,RPE1,233,55,11485
K562,SBNO1+ctrl,RPE1,156,53,11485
K562,SCAF1+ctrl,RPE1,62,39,11485
K562,SCFD1+ctrl,RPE1,62,40,11485
K562,SDAD1+ctrl,RPE1,36,27,11485
K562,SDC1+ctrl,RPE1,78,43,11485
K562,SDE2+ctrl,RPE1,53,33,11485
K562,SDHC+ctrl,RPE1,47,35,11485
K562,SETD1A+ctrl,RPE1,78,47,11485
K562,SETDB1+ctrl,RPE1,121,48,11485
K562,SF1+ctrl,RPE1,29,21,11485
K562,SF3A2+ctrl,RPE1,136,52,11485
K562,SF3B5+ctrl,RPE1,62,35,11485
K562,SFPQ+ctrl,RPE1,76,40,11485
K562,SFSWAP+ctrl,RPE1,29,22,11485
K562,SKA3+ctrl,RPE1,63,36,11485
K562,SLBP+ctrl,RPE1,35,26,11485
K562,SLC39A9+ctrl,RPE1,115,49,11485
K562,SLC7A6OS+ctrl,RPE1,106,49,11485
K562,SLU7+ctrl,RPE1,72,39,11485
K562,SMC1A+ctrl,RPE1,88,44,11485
K562,SMC3+ctrl,RPE1,21,19,11485
K562,SMC4+ctrl,RPE1,38,25,11485
K562,SMG5+ctrl,RPE1,462,56,11485
K562,SMN2+ctrl,RPE1,424,56,11485
K562,SMU1+ctrl,RPE1,77,42,11485
K562,SNAPC1+ctrl,RPE1,48,34,11485
K562,SNIP1+ctrl,RPE1,46,30,11485
K562,SNRNP200+ctrl,RPE1,95,48,11485
K562,SNRNP70+ctrl,RPE1,39,29,11485
K562,SNRPB+ctrl,RPE1,38,27,11485
K562,SNRPC+ctrl,RPE1,96,46,11485
K562,SNRPD1+ctrl,RPE1,42,28,11485
K562,SNRPD3+ctrl,RPE1,34,28,11485
K562,SNRPF+ctrl,RPE1,34,26,11485
K562,SNW1+ctrl,RPE1,88,41,11485
K562,SPC24+ctrl,RPE1,69,37,11485
K562,SPCS3+ctrl,RPE1,128,50,11485
K562,SRBD1+ctrl,RPE1,53,38,11485
K562,SRRM1+ctrl,RPE1,53,36,11485
K562,SRRM2+ctrl,RPE1,56,35,11485
K562,SRSF1+ctrl,RPE1,27,21,11485
K562,SRSF10+ctrl,RPE1,111,49,11485
K562,SRSF3+ctrl,RPE1,25,20,11485
K562,SRSF7+ctrl,RPE1,137,51,11485
K562,SSU72+ctrl,RPE1,226,55,11485
K562,STRAP+ctrl,RPE1,66,40,11485
K562,SUGP1+ctrl,RPE1,27,19,11485
K562,SUPT16H+ctrl,RPE1,26,19,11485
K562,SURF6+ctrl,RPE1,33,27,11485
K562,TADA3+ctrl,RPE1,60,35,11485
K562,TAF10+ctrl,RPE1,23,18,11485
K562,TAF6+ctrl,RPE1,75,40,11485
K562,TAF7+ctrl,RPE1,38,24,11485
K562,TBCB+ctrl,RPE1,37,29,11485
K562,TCERG1+ctrl,RPE1,60,38,11485
K562,TCOF1+ctrl,RPE1,32,25,11485
K562,TELO2+ctrl,RPE1,47,31,11485
K562,TERF2+ctrl,RPE1,61,40,11485
K562,THAP11+ctrl,RPE1,144,52,11485
K562,THOC7+ctrl,RPE1,146,52,11485
K562,TIMM13+ctrl,RPE1,114,48,11485
K562,TIMM23B+ctrl,RPE1,343,56,11485
K562,TIMM44+ctrl,RPE1,50,34,11485
K562,TIMM9+ctrl,RPE1,37,28,11485
K562,TMX2+ctrl,RPE1,137,49,11485
K562,TOMM22+ctrl,RPE1,103,51,11485
K562,TOP1+ctrl,RPE1,36,26,11485
K562,TPR+ctrl,RPE1,116,51,11485
K562,TPX2+ctrl,RPE1,25,17,11485
K562,TRA2B+ctrl,RPE1,90,45,11485
K562,TREX2+ctrl,RPE1,384,56,11485
K562,TRMT112+ctrl,RPE1,58,38,11485
K562,TRMT5+ctrl,RPE1,59,36,11485
K562,TSEN2+ctrl,RPE1,85,43,11485
K562,TSG101+ctrl,RPE1,54,39,11485
K562,TSR1+ctrl,RPE1,145,51,11485
K562,TTI1+ctrl,RPE1,80,45,11485
K562,TTK+ctrl,RPE1,76,40,11485
K562,TUBGCP2+ctrl,RPE1,154,52,11485
K562,TXNL4A+ctrl,RPE1,23,19,11485
K562,U2AF1+ctrl,RPE1,83,43,11485
K562,U2SURP+ctrl,RPE1,35,26,11485
K562,UBA1+ctrl,RPE1,61,37,11485
K562,UBA3+ctrl,RPE1,59,38,11485
K562,UBA52+ctrl,RPE1,110,44,11485
K562,UBAP1+ctrl,RPE1,30,22,11485
K562,UBL5+ctrl,RPE1,114,48,11485
K562,UBQLN4+ctrl,RPE1,46,32,11485
K562,UFM1+ctrl,RPE1,43,31,11485
K562,UPF1+ctrl,RPE1,46,30,11485
K562,UPF2+ctrl,RPE1,104,46,11485
K562,UQCRB+ctrl,RPE1,98,48,11485
K562,UQCRFS1+ctrl,RPE1,27,21,11485
K562,UQCRQ+ctrl,RPE1,63,38,11485
K562,USP39+ctrl,RPE1,98,44,11485
K562,USPL1+ctrl,RPE1,36,23,11485
K562,UTP20+ctrl,RPE1,31,25,11485
K562,UTP23+ctrl,RPE1,48,33,11485
K562,UXT+ctrl,RPE1,62,33,11485
K562,VPS54+ctrl,RPE1,230,55,11485
K562,WAC+ctrl,RPE1,91,46,11485
K562,WBP11+ctrl,RPE1,109,47,11485
K562,WDHD1+ctrl,RPE1,40,30,11485
K562,WDR12+ctrl,RPE1,41,29,11485
K562,WDR24+ctrl,RPE1,44,30,11485
K562,WDR33+ctrl,RPE1,32,25,11485
K562,WDR61+ctrl,RPE1,59,33,11485
K562,WDTC1+ctrl,RPE1,70,40,11485
K562,XRCC5+ctrl,RPE1,54,32,11485
K562,YEATS2+ctrl,RPE1,69,39,11485
K562,YTHDC1+ctrl,RPE1,184,52,11485
K562,ZBTB17+ctrl,RPE1,282,56,11485
K562,ZC3H18+ctrl,RPE1,59,36,11485
K562,ZCRB1+ctrl,RPE1,75,39,11485
K562,ZFC3H1+ctrl,RPE1,83,41,11485
K562,ZMAT2+ctrl,RPE1,192,52,11485
K562,ZMAT5+ctrl,RPE1,50,36,11485
K562,ZNF236+ctrl,RPE1,101,46,11485
K562,ZNF574+ctrl,RPE1,154,53,11485
K562,AARS+ctrl,hepg2,51,33,4976
K562,ABCE1+ctrl,hepg2,23,21,4976
K562,ABCF1+ctrl,hepg2,64,41,4976
K562,ABT1+ctrl,hepg2,99,49,4976
K562,ACTB+ctrl,hepg2,40,25,4976
K562,ACTR6+ctrl,hepg2,51,33,4976
K562,AHCTF1+ctrl,hepg2,50,35,4976
K562,AKIRIN2+ctrl,hepg2,75,41,4976
K562,ALG13+ctrl,hepg2,30,23,4976
K562,ARGLU1+ctrl,hepg2,36,25,4976
K562,ARL2+ctrl,hepg2,74,40,4976
K562,ATP6V0B+ctrl,hepg2,51,32,4976
K562,ATP6V1A+ctrl,hepg2,43,31,4976
K562,ATR+ctrl,hepg2,96,45,4976
K562,ATRIP+ctrl,hepg2,40,30,4976
K562,BDP1+ctrl,hepg2,22,18,4976
K562,BRIX1+ctrl,hepg2,89,46,4976
K562,BUB3+ctrl,hepg2,14,13,4976
K562,BYSL+ctrl,hepg2,41,30,4976
K562,CCDC59+ctrl,hepg2,100,43,4976
K562,CCNH+ctrl,hepg2,92,44,4976
K562,CCT4+ctrl,hepg2,81,42,4976
K562,CCT7+ctrl,hepg2,107,49,4976
K562,CD3EAP+ctrl,hepg2,90,45,4976
K562,CDC123+ctrl,hepg2,44,32,4976
K562,CDC5L+ctrl,hepg2,25,17,4976
K562,CDC6+ctrl,hepg2,66,38,4976
K562,CDC73+ctrl,hepg2,54,34,4976
K562,CEP192+ctrl,hepg2,24,22,4976
K562,CHCHD4+ctrl,hepg2,60,34,4976
K562,CHD4+ctrl,hepg2,25,18,4976
K562,CHEK1+ctrl,hepg2,57,35,4976
K562,CMTR1+ctrl,hepg2,56,34,4976
K562,CNOT2+ctrl,hepg2,28,22,4976
K562,COPB1+ctrl,hepg2,19,16,4976
K562,COPS2+ctrl,hepg2,70,40,4976
K562,COPS4+ctrl,hepg2,58,37,4976
K562,COX11+ctrl,hepg2,89,45,4976
K562,COX7C+ctrl,hepg2,41,29,4976
K562,CPSF1+ctrl,hepg2,58,36,4976
K562,CPSF3+ctrl,hepg2,189,51,4976
K562,CPSF4+ctrl,hepg2,63,36,4976
K562,CPSF6+ctrl,hepg2,34,24,4976
K562,CSE1L+ctrl,hepg2,219,55,4976
K562,CSNK1A1+ctrl,hepg2,16,14,4976
K562,CSNK2B+ctrl,hepg2,106,45,4976
K562,CSTF3+ctrl,hepg2,67,39,4976
K562,CUL2+ctrl,hepg2,70,39,4976
K562,CUL7+ctrl,hepg2,53,30,4976
K562,CWC15+ctrl,hepg2,42,28,4976
K562,CWC22+ctrl,hepg2,31,20,4976
K562,CWF19L2+ctrl,hepg2,23,21,4976
K562,DAP3+ctrl,hepg2,51,32,4976
K562,DARS+ctrl,hepg2,41,27,4976
K562,DDB1+ctrl,hepg2,64,36,4976
K562,DDX10+ctrl,hepg2,89,44,4976
K562,DDX18+ctrl,hepg2,62,36,4976
K562,DDX23+ctrl,hepg2,148,53,4976
K562,DDX41+ctrl,hepg2,31,26,4976
K562,DDX46+ctrl,hepg2,89,44,4976
K562,DDX5+ctrl,hepg2,92,47,4976
K562,DDX52+ctrl,hepg2,92,39,4976
K562,DDX55+ctrl,hepg2,134,52,4976
K562,DENR+ctrl,hepg2,47,28,4976
K562,DHX16+ctrl,hepg2,68,41,4976
K562,DHX33+ctrl,hepg2,30,23,4976
K562,DHX36+ctrl,hepg2,39,29,4976
K562,DHX37+ctrl,hepg2,119,50,4976
K562,DKC1+ctrl,hepg2,39,24,4976
K562,DLD+ctrl,hepg2,98,49,4976
K562,DMAP1+ctrl,hepg2,24,18,4976
K562,DNAJC17+ctrl,hepg2,60,33,4976
K562,DNAJC8+ctrl,hepg2,78,39,4976
K562,DNM1L+ctrl,hepg2,37,25,4976
K562,DNMT1+ctrl,hepg2,80,40,4976
K562,DNTTIP2+ctrl,hepg2,52,35,4976
K562,DR1+ctrl,hepg2,23,19,4976
