task_id,target,condition,n_source_contexts,n_source_cells,weight_sum,target_perturbed_expression_rows_opened
K562::DNAJC8+ctrl,K562,DNAJC8+ctrl,3,340,340,0
K562::DNAJC17+ctrl,K562,DNAJC17+ctrl,3,212,212,0
K562::DNM1L+ctrl,K562,DNM1L+ctrl,2,78,78,0
K562::DNMT1+ctrl,K562,DNMT1+ctrl,3,337,337,0
K562::DNTTIP2+ctrl,K562,DNTTIP2+ctrl,2,117,117,0
K562::DR1+ctrl,K562,DR1+ctrl,3,115,115,0
K562::DSN1+ctrl,K562,DSN1+ctrl,2,64,64,0
K562::DTL+ctrl,K562,DTL+ctrl,3,132,132,0
K562::DUT+ctrl,K562,DUT+ctrl,2,77,77,0
K562::DYNC1H1+ctrl,K562,DYNC1H1+ctrl,3,61,61,0
K562::DYNC1I2+ctrl,K562,DYNC1I2+ctrl,3,137,137,0
K562::EBNA1BP2+ctrl,K562,EBNA1BP2+ctrl,3,120,120,0
K562::ECD+ctrl,K562,ECD+ctrl,2,81,81,0
K562::EEF2+ctrl,K562,EEF2+ctrl,3,214,214,0
K562::EIF1AX+ctrl,K562,EIF1AX+ctrl,2,119,119,0
K562::EIF2B1+ctrl,K562,EIF2B1+ctrl,3,526,526,0
K562::EIF2B5+ctrl,K562,EIF2B5+ctrl,3,351,351,0
K562::EIF2S1+ctrl,K562,EIF2S1+ctrl,3,172,172,0
K562::EIF2S2+ctrl,K562,EIF2S2+ctrl,3,117,117,0
K562::EIF2S3+ctrl,K562,EIF2S3+ctrl,3,134,134,0
K562::EIF3B+ctrl,K562,EIF3B+ctrl,3,338,338,0
K562::EIF3CL+ctrl,K562,EIF3CL+ctrl,1,337,337,0
K562::EIF3D+ctrl,K562,EIF3D+ctrl,2,97,97,0
K562::EIF3E+ctrl,K562,EIF3E+ctrl,3,104,104,0
K562::EIF3I+ctrl,K562,EIF3I+ctrl,3,216,216,0
K562::EIF3J+ctrl,K562,EIF3J+ctrl,3,189,189,0
K562::EIF3M+ctrl,K562,EIF3M+ctrl,2,153,153,0
K562::EIF4E+ctrl,K562,EIF4E+ctrl,3,170,170,0
K562::EIF4G2+ctrl,K562,EIF4G2+ctrl,3,304,304,0
K562::EIF5+ctrl,K562,EIF5+ctrl,2,61,61,0
K562::EIF6+ctrl,K562,EIF6+ctrl,3,263,263,0
K562::ERCC2+ctrl,K562,ERCC2+ctrl,3,237,237,0
K562::ESF1+ctrl,K562,ESF1+ctrl,2,317,317,0
K562::ETF1+ctrl,K562,ETF1+ctrl,3,196,196,0
K562::EXOC7+ctrl,K562,EXOC7+ctrl,3,187,187,0
K562::EXOSC2+ctrl,K562,EXOSC2+ctrl,3,270,270,0
K562::EXOSC3+ctrl,K562,EXOSC3+ctrl,3,253,253,0
K562::EXOSC7+ctrl,K562,EXOSC7+ctrl,3,155,155,0
K562::EXOSC10+ctrl,K562,EXOSC10+ctrl,2,82,82,0
K562::FAM32A+ctrl,K562,FAM32A+ctrl,3,124,124,0
K562::FAM136A+ctrl,K562,FAM136A+ctrl,3,1227,1227,0
K562::FARSA+ctrl,K562,FARSA+ctrl,3,230,230,0
K562::FBL+ctrl,K562,FBL+ctrl,2,69,69,0
K562::FBXO5+ctrl,K562,FBXO5+ctrl,1,29,29,0
K562::FTSJ3+ctrl,K562,FTSJ3+ctrl,3,110,110,0
K562::GARS+ctrl,K562,GARS+ctrl,3,251,251,0
K562::GBF1+ctrl,K562,GBF1+ctrl,1,93,93,0
K562::GFER+ctrl,K562,GFER+ctrl,3,220,220,0
K562::GFM1+ctrl,K562,GFM1+ctrl,3,3739,3739,0
K562::GINS2+ctrl,K562,GINS2+ctrl,3,272,272,0
K562::GINS3+ctrl,K562,GINS3+ctrl,1,69,69,0
K562::GLE1+ctrl,K562,GLE1+ctrl,3,205,205,0
K562::GMPS+ctrl,K562,GMPS+ctrl,2,64,64,0
K562::GNL3+ctrl,K562,GNL3+ctrl,3,255,255,0
K562::GNL3L+ctrl,K562,GNL3L+ctrl,2,128,128,0
K562::GPN1+ctrl,K562,GPN1+ctrl,2,104,104,0
K562::GPN2+ctrl,K562,GPN2+ctrl,2,90,90,0
K562::GPN3+ctrl,K562,GPN3+ctrl,3,293,293,0
K562::GRB2+ctrl,K562,GRB2+ctrl,1,112,112,0
K562::GRSF1+ctrl,K562,GRSF1+ctrl,3,279,279,0
K562::GTF2B+ctrl,K562,GTF2B+ctrl,2,67,67,0
K562::GTF2E1+ctrl,K562,GTF2E1+ctrl,3,164,164,0
K562::GTF2F2+ctrl,K562,GTF2F2+ctrl,3,245,245,0
K562::HARS2+ctrl,K562,HARS2+ctrl,1,27,27,0
K562::HAUS5+ctrl,K562,HAUS5+ctrl,2,117,117,0
K562::HBS1L+ctrl,K562,HBS1L+ctrl,2,92,92,0
K562::HDAC7+ctrl,K562,HDAC7+ctrl,2,130,130,0
K562::HEATR1+ctrl,K562,HEATR1+ctrl,1,77,77,0
K562::HGS+ctrl,K562,HGS+ctrl,3,115,115,0
K562::HMGCS1+ctrl,K562,HMGCS1+ctrl,3,441,441,0
K562::HNRNPH1+ctrl,K562,HNRNPH1+ctrl,3,234,234,0
K562::HNRNPM+ctrl,K562,HNRNPM+ctrl,2,102,102,0
K562::HSCB+ctrl,K562,HSCB+ctrl,2,546,546,0
K562::HSPA5+ctrl,K562,HSPA5+ctrl,2,155,155,0
K562::HSPA8+ctrl,K562,HSPA8+ctrl,1,49,49,0
K562::HSPA9+ctrl,K562,HSPA9+ctrl,3,239,239,0
K562::HSPE1+ctrl,K562,HSPE1+ctrl,3,331,331,0
K562::IARS+ctrl,K562,IARS+ctrl,3,118,118,0
K562::ICE1+ctrl,K562,ICE1+ctrl,3,144,144,0
K562::IGBP1+ctrl,K562,IGBP1+ctrl,3,187,187,0
K562::IK+ctrl,K562,IK+ctrl,1,191,191,0
K562::ILF2+ctrl,K562,ILF2+ctrl,3,176,176,0
K562::IMPDH2+ctrl,K562,IMPDH2+ctrl,2,182,182,0
K562::INO80B+ctrl,K562,INO80B+ctrl,3,249,249,0
K562::INTS3+ctrl,K562,INTS3+ctrl,3,223,223,0
K562::INTS4+ctrl,K562,INTS4+ctrl,3,174,174,0
K562::INTS9+ctrl,K562,INTS9+ctrl,3,258,258,0
K562::IPO9+ctrl,K562,IPO9+ctrl,3,285,285,0
K562::ISCU+ctrl,K562,ISCU+ctrl,2,99,99,0
K562::ISG20L2+ctrl,K562,ISG20L2+ctrl,2,148,148,0
K562::KANSL1+ctrl,K562,KANSL1+ctrl,3,123,123,0
K562::KARS+ctrl,K562,KARS+ctrl,2,65,65,0
K562::KAT8+ctrl,K562,KAT8+ctrl,3,177,177,0
K562::KIF20A+ctrl,K562,KIF20A+ctrl,1,35,35,0
K562::KPNB1+ctrl,K562,KPNB1+ctrl,2,226,226,0
K562::KRI1+ctrl,K562,KRI1+ctrl,3,271,271,0
K562::KRR1+ctrl,K562,KRR1+ctrl,2,118,118,0
K562::LAS1L+ctrl,K562,LAS1L+ctrl,3,269,269,0
K562::LETM1+ctrl,K562,LETM1+ctrl,3,372,372,0
K562::LSG1+ctrl,K562,LSG1+ctrl,3,304,304,0
K562::LSM3+ctrl,K562,LSM3+ctrl,3,193,193,0
K562::LSM4+ctrl,K562,LSM4+ctrl,3,144,144,0
K562::LSM5+ctrl,K562,LSM5+ctrl,3,219,219,0
K562::LSM6+ctrl,K562,LSM6+ctrl,3,149,149,0
K562::LSM7+ctrl,K562,LSM7+ctrl,3,173,173,0
K562::MAD2L1+ctrl,K562,MAD2L1+ctrl,3,232,232,0
K562::MAK16+ctrl,K562,MAK16+ctrl,2,88,88,0
K562::MARS+ctrl,K562,MARS+ctrl,3,147,147,0
K562::MAX+ctrl,K562,MAX+ctrl,3,201,201,0
K562::MCM2+ctrl,K562,MCM2+ctrl,3,192,192,0
K562::MCM3+ctrl,K562,MCM3+ctrl,3,595,595,0
K562::MCM3AP+ctrl,K562,MCM3AP+ctrl,3,151,151,0
K562::MCM4+ctrl,K562,MCM4+ctrl,3,94,94,0
K562::MCM6+ctrl,K562,MCM6+ctrl,3,567,567,0
K562::MED4+ctrl,K562,MED4+ctrl,3,383,383,0
K562::MED10+ctrl,K562,MED10+ctrl,1,41,41,0
K562::MED11+ctrl,K562,MED11+ctrl,3,211,211,0
K562::MED17+ctrl,K562,MED17+ctrl,2,63,63,0
K562::MED19+ctrl,K562,MED19+ctrl,3,562,562,0
K562::MED22+ctrl,K562,MED22+ctrl,2,86,86,0
K562::MED26+ctrl,K562,MED26+ctrl,2,113,113,0
K562::MED28+ctrl,K562,MED28+ctrl,1,34,34,0
K562::MED29+ctrl,K562,MED29+ctrl,3,103,103,0
K562::MED30+ctrl,K562,MED30+ctrl,2,128,128,0
K562::METAP2+ctrl,K562,METAP2+ctrl,2,97,97,0
K562::MICOS10+ctrl,K562,MICOS10+ctrl,2,189,189,0
K562::MIOS+ctrl,K562,MIOS+ctrl,3,322,322,0
K562::MNAT1+ctrl,K562,MNAT1+ctrl,3,284,284,0
K562::MPHOSPH10+ctrl,K562,MPHOSPH10+ctrl,3,243,243,0
K562::MRGBP+ctrl,K562,MRGBP+ctrl,3,309,309,0
K562::MRPL3+ctrl,K562,MRPL3+ctrl,2,197,197,0
K562::MRPL13+ctrl,K562,MRPL13+ctrl,1,50,50,0
K562::MRPL14+ctrl,K562,MRPL14+ctrl,2,119,119,0
K562::MRPL17+ctrl,K562,MRPL17+ctrl,2,96,96,0
K562::MRPL18+ctrl,K562,MRPL18+ctrl,2,97,97,0
K562::MRPL36+ctrl,K562,MRPL36+ctrl,3,3057,3057,0
K562::MRPL37+ctrl,K562,MRPL37+ctrl,2,103,103,0
K562::MRPL38+ctrl,K562,MRPL38+ctrl,3,428,428,0
K562::MRPL41+ctrl,K562,MRPL41+ctrl,2,189,189,0
K562::MRPL43+ctrl,K562,MRPL43+ctrl,2,68,68,0
K562::MRPL51+ctrl,K562,MRPL51+ctrl,2,76,76,0
K562::MRPL54+ctrl,K562,MRPL54+ctrl,1,48,48,0
K562::MRPS2+ctrl,K562,MRPS2+ctrl,2,77,77,0
K562::MRPS7+ctrl,K562,MRPS7+ctrl,2,116,116,0
K562::MRPS9+ctrl,K562,MRPS9+ctrl,2,137,137,0
K562::MRPS11+ctrl,K562,MRPS11+ctrl,1,92,92,0
K562::MRPS14+ctrl,K562,MRPS14+ctrl,2,56,56,0
K562::MRPS21+ctrl,K562,MRPS21+ctrl,2,255,255,0
K562::MRPS22+ctrl,K562,MRPS22+ctrl,1,68,68,0
K562::MRPS23+ctrl,K562,MRPS23+ctrl,2,104,104,0
K562::MRPS35+ctrl,K562,MRPS35+ctrl,2,130,130,0
K562::MTBP+ctrl,K562,MTBP+ctrl,2,362,362,0
K562::MYBBP1A+ctrl,K562,MYBBP1A+ctrl,3,195,195,0
K562::MYBL2+ctrl,K562,MYBL2+ctrl,2,1006,1006,0
K562::MZT1+ctrl,K562,MZT1+ctrl,2,52,52,0
K562::NAA10+ctrl,K562,NAA10+ctrl,3,202,202,0
K562::NAA20+ctrl,K562,NAA20+ctrl,3,227,227,0
K562::NACA+ctrl,K562,NACA+ctrl,3,136,136,0
K562::NAT10+ctrl,K562,NAT10+ctrl,1,32,32,0
K562::NCAPH+ctrl,K562,NCAPH+ctrl,1,36,36,0
K562::NCBP1+ctrl,K562,NCBP1+ctrl,2,73,73,0
K562::NCBP2+ctrl,K562,NCBP2+ctrl,3,101,101,0
K562::NDC80+ctrl,K562,NDC80+ctrl,1,94,94,0
K562::NDUFA2+ctrl,K562,NDUFA2+ctrl,2,60,60,0
K562::NDUFA8+ctrl,K562,NDUFA8+ctrl,1,47,47,0
K562::NDUFB4+ctrl,K562,NDUFB4+ctrl,2,154,154,0
K562::NDUFB8+ctrl,K562,NDUFB8+ctrl,2,112,112,0
K562::NELFA+ctrl,K562,NELFA+ctrl,3,229,229,0
K562::NELFCD+ctrl,K562,NELFCD+ctrl,3,275,275,0
K562::NFRKB+ctrl,K562,NFRKB+ctrl,3,383,383,0
K562::NFS1+ctrl,K562,NFS1+ctrl,3,167,167,0
K562::NOC3L+ctrl,K562,NOC3L+ctrl,3,294,294,0
K562::NOL8+ctrl,K562,NOL8+ctrl,3,350,350,0
K562::NOL11+ctrl,K562,NOL11+ctrl,3,221,221,0
K562::NOL12+ctrl,K562,NOL12+ctrl,3,212,212,0
K562::NRBP1+ctrl,K562,NRBP1+ctrl,3,274,274,0
K562::NRDE2+ctrl,K562,NRDE2+ctrl,2,97,97,0
K562::NRF1+ctrl,K562,NRF1+ctrl,1,54,54,0
K562::NSRP1+ctrl,K562,NSRP1+ctrl,1,40,40,0
K562::NUBP1+ctrl,K562,NUBP1+ctrl,3,90,90,0
K562::NUF2+ctrl,K562,NUF2+ctrl,2,81,81,0
K562::NUMA1+ctrl,K562,NUMA1+ctrl,1,30,30,0
K562::NUP54+ctrl,K562,NUP54+ctrl,3,137,137,0
K562::NUP85+ctrl,K562,NUP85+ctrl,3,245,245,0
K562::NUP133+ctrl,K562,NUP133+ctrl,3,339,339,0
K562::NUP160+ctrl,K562,NUP160+ctrl,2,117,117,0
K562::NUTF2+ctrl,K562,NUTF2+ctrl,2,135,135,0
K562::OGFOD1+ctrl,K562,OGFOD1+ctrl,3,172,172,0
K562::OPA1+ctrl,K562,OPA1+ctrl,2,99,99,0
K562::ORC1+ctrl,K562,ORC1+ctrl,3,155,155,0
K562::OXA1L+ctrl,K562,OXA1L+ctrl,1,49,49,0
K562::PABPN1+ctrl,K562,PABPN1+ctrl,3,106,106,0
K562::PAF1+ctrl,K562,PAF1+ctrl,3,147,147,0
K562::PAM16+ctrl,K562,PAM16+ctrl,3,196,196,0
K562::PAXBP1+ctrl,K562,PAXBP1+ctrl,3,332,332,0
K562::PCID2+ctrl,K562,PCID2+ctrl,3,294,294,0
K562::PDAP1+ctrl,K562,PDAP1+ctrl,3,133,133,0
K562::PDCD2+ctrl,K562,PDCD2+ctrl,3,165,165,0
K562::PDCD7+ctrl,K562,PDCD7+ctrl,3,95,95,0
K562::PDRG1+ctrl,K562,PDRG1+ctrl,3,108,108,0
K562::PELP1+ctrl,K562,PELP1+ctrl,3,307,307,0
K562::PET117+ctrl,K562,PET117+ctrl,3,352,352,0
K562::PFDN2+ctrl,K562,PFDN2+ctrl,3,133,133,0
K562::PGAM1+ctrl,K562,PGAM1+ctrl,2,262,262,0
K562::PGD+ctrl,K562,PGD+ctrl,2,107,107,0
K562::PHAX+ctrl,K562,PHAX+ctrl,3,320,320,0
K562::PHB2+ctrl,K562,PHB2+ctrl,3,133,133,0
K562::PMPCB+ctrl,K562,PMPCB+ctrl,3,493,493,0
K562::PNN+ctrl,K562,PNN+ctrl,3,278,278,0
K562::PNO1+ctrl,K562,PNO1+ctrl,2,157,157,0
K562::POLA1+ctrl,K562,POLA1+ctrl,2,110,110,0
K562::POLA2+ctrl,K562,POLA2+ctrl,2,68,68,0
K562::POLD2+ctrl,K562,POLD2+ctrl,3,196,196,0
K562::POLD3+ctrl,K562,POLD3+ctrl,2,119,119,0
K562::POLR1B+ctrl,K562,POLR1B+ctrl,1,48,48,0
K562::POLR1C+ctrl,K562,POLR1C+ctrl,1,177,177,0
K562::POLR2A+ctrl,K562,POLR2A+ctrl,1,20,20,0
K562::POLR2D+ctrl,K562,POLR2D+ctrl,1,67,67,0
K562::POLR2F+ctrl,K562,POLR2F+ctrl,3,145,145,0
K562::POLR2G+ctrl,K562,POLR2G+ctrl,1,39,39,0
K562::POLR2H+ctrl,K562,POLR2H+ctrl,1,36,36,0
K562::POLR2I+ctrl,K562,POLR2I+ctrl,3,355,355,0
K562::POLR2L+ctrl,K562,POLR2L+ctrl,1,25,25,0
K562::POLR3D+ctrl,K562,POLR3D+ctrl,3,121,121,0
K562::POLR3E+ctrl,K562,POLR3E+ctrl,3,165,165,0
K562::POLR3F+ctrl,K562,POLR3F+ctrl,3,129,129,0
K562::POLRMT+ctrl,K562,POLRMT+ctrl,3,460,460,0
K562::POP4+ctrl,K562,POP4+ctrl,3,245,245,0
K562::POP5+ctrl,K562,POP5+ctrl,3,318,318,0
K562::POP7+ctrl,K562,POP7+ctrl,3,225,225,0
K562::PPARGC1B+ctrl,K562,PPARGC1B+ctrl,1,77,77,0
K562::PPIE+ctrl,K562,PPIE+ctrl,2,66,66,0
K562::PPIH+ctrl,K562,PPIH+ctrl,3,137,137,0
K562::PPIL4+ctrl,K562,PPIL4+ctrl,3,191,191,0
K562::PPP1R8+ctrl,K562,PPP1R8+ctrl,3,293,293,0
K562::PPP1R11+ctrl,K562,PPP1R11+ctrl,3,180,180,0
K562::PPP2R1A+ctrl,K562,PPP2R1A+ctrl,3,806,806,0
K562::PPP4R2+ctrl,K562,PPP4R2+ctrl,2,143,143,0
K562::PRIM2+ctrl,K562,PRIM2+ctrl,2,65,65,0
K562::PRMT1+ctrl,K562,PRMT1+ctrl,3,109,109,0
K562::PRMT5+ctrl,K562,PRMT5+ctrl,3,405,405,0
K562::PRPF18+ctrl,K562,PRPF18+ctrl,3,156,156,0
K562::PRRC2A+ctrl,K562,PRRC2A+ctrl,3,288,288,0
K562::PSMA2+ctrl,K562,PSMA2+ctrl,2,44,44,0
K562::PSMA3+ctrl,K562,PSMA3+ctrl,2,73,73,0
K562::PSMA6+ctrl,K562,PSMA6+ctrl,2,40,40,0
K562::PSMA7+ctrl,K562,PSMA7+ctrl,1,25,25,0
K562::PSMB2+ctrl,K562,PSMB2+ctrl,3,118,118,0
K562::PSMB3+ctrl,K562,PSMB3+ctrl,2,72,72,0
K562::PSMB6+ctrl,K562,PSMB6+ctrl,3,171,171,0
K562::PSMC1+ctrl,K562,PSMC1+ctrl,3,125,125,0
K562::PSMC2+ctrl,K562,PSMC2+ctrl,3,76,76,0
K562::PSMC4+ctrl,K562,PSMC4+ctrl,2,73,73,0
K562::PSMC6+ctrl,K562,PSMC6+ctrl,1,27,27,0
K562::PSMD1+ctrl,K562,PSMD1+ctrl,2,41,41,0
K562::PSMD4+ctrl,K562,PSMD4+ctrl,3,104,104,0
K562::PSMD6+ctrl,K562,PSMD6+ctrl,2,52,52,0
K562::PSMD11+ctrl,K562,PSMD11+ctrl,2,40,40,0
K562::PSMD12+ctrl,K562,PSMD12+ctrl,3,43,43,0
K562::PTCD1+ctrl,K562,PTCD1+ctrl,3,189,189,0
K562::QARS+ctrl,K562,QARS+ctrl,3,249,249,0
K562::RABGGTA+ctrl,K562,RABGGTA+ctrl,3,597,597,0
K562::RAD21+ctrl,K562,RAD21+ctrl,2,50,50,0
K562::RAE1+ctrl,K562,RAE1+ctrl,2,66,66,0
K562::RAN+ctrl,K562,RAN+ctrl,2,106,106,0
K562::RARS2+ctrl,K562,RARS2+ctrl,3,402,402,0
K562::RBBP4+ctrl,K562,RBBP4+ctrl,3,118,118,0
K562::RBM8A+ctrl,K562,RBM8A+ctrl,2,24,24,0
K562::RBM17+ctrl,K562,RBM17+ctrl,2,72,72,0
K562::RBM25+ctrl,K562,RBM25+ctrl,3,88,88,0
K562::RBM28+ctrl,K562,RBM28+ctrl,2,213,213,0
K562::RBM39+ctrl,K562,RBM39+ctrl,2,91,91,0
K562::RBM42+ctrl,K562,RBM42+ctrl,3,129,129,0
K562::RBM48+ctrl,K562,RBM48+ctrl,3,190,190,0
K562::RBMX+ctrl,K562,RBMX+ctrl,1,23,23,0
K562::RCL1+ctrl,K562,RCL1+ctrl,3,337,337,0
K562::REXO2+ctrl,K562,REXO2+ctrl,1,27,27,0
K562::RFC2+ctrl,K562,RFC2+ctrl,3,167,167,0
K562::RFC4+ctrl,K562,RFC4+ctrl,3,102,102,0
K562::RFC5+ctrl,K562,RFC5+ctrl,2,90,90,0
K562::RINT1+ctrl,K562,RINT1+ctrl,3,233,233,0
K562::RIOK2+ctrl,K562,RIOK2+ctrl,2,86,86,0
K562::RMI1+ctrl,K562,RMI1+ctrl,1,35,35,0
K562::RNASEH2C+ctrl,K562,RNASEH2C+ctrl,3,478,478,0
K562::RNF20+ctrl,K562,RNF20+ctrl,3,302,302,0
K562::RNF113A+ctrl,K562,RNF113A+ctrl,3,149,149,0
K562::RNMT+ctrl,K562,RNMT+ctrl,3,194,194,0
K562::RNPS1+ctrl,K562,RNPS1+ctrl,3,71,71,0
K562::RPA1+ctrl,K562,RPA1+ctrl,2,98,98,0
K562::RPAP1+ctrl,K562,RPAP1+ctrl,3,198,198,0
K562::RPAP2+ctrl,K562,RPAP2+ctrl,1,51,51,0
K562::RPL4+ctrl,K562,RPL4+ctrl,3,189,189,0
K562::RPL5+ctrl,K562,RPL5+ctrl,3,152,152,0
K562::RPL7+ctrl,K562,RPL7+ctrl,3,344,344,0
K562::RPL9+ctrl,K562,RPL9+ctrl,3,144,144,0
K562::RPL10+ctrl,K562,RPL10+ctrl,3,189,189,0
