perturbation,guide_id,n_guide_cells,eligible_guide,target_split,cell_count_quartile,guide_count_stratum,selection_hash,task_id,target_cluster_id,truth_access_phase,primary_task_unit,cell_cycle_phase_is_primary_context,selection_used_expression_matrix_or_truth_effect
ATP12A,ATP12A_2,156,True,prospective_evaluation,Q3,THREE_PLUS_GUIDES,c0443a76845c9a567f5c8753a4352ecf21e1efa11cb732b32f8814f5e1d5a1eb,E180::ATP12A::ATP12A_2,ATP12A,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ATP12A,ATP12A_3,219,True,prospective_evaluation,Q3,THREE_PLUS_GUIDES,c0443a76845c9a567f5c8753a4352ecf21e1efa11cb732b32f8814f5e1d5a1eb,E180::ATP12A::ATP12A_3,ATP12A,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ATP6V1A,ATP6V1A_1,47,True,conformal_calibration,Q1,THREE_PLUS_GUIDES,300ab57edd56425cca15d95bb8e00abaa8715f1a94006729a12c283579640f2a,E180::ATP6V1A::ATP6V1A_1,ATP6V1A,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ATP6V1A,ATP6V1A_2,29,True,conformal_calibration,Q1,THREE_PLUS_GUIDES,300ab57edd56425cca15d95bb8e00abaa8715f1a94006729a12c283579640f2a,E180::ATP6V1A::ATP6V1A_2,ATP6V1A,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ATP6V1A,ATP6V1A_3,113,True,conformal_calibration,Q1,THREE_PLUS_GUIDES,300ab57edd56425cca15d95bb8e00abaa8715f1a94006729a12c283579640f2a,E180::ATP6V1A::ATP6V1A_3,ATP6V1A,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
BCS1L,BCS1L_1,243,True,supervised_train,Q3,THREE_PLUS_GUIDES,2dce6829470cbe19245d793ac103605e7ead9c8792a8a3db148337cc939f1f30,E180::BCS1L::BCS1L_1,BCS1L,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
BCS1L,BCS1L_2,114,True,supervised_train,Q3,THREE_PLUS_GUIDES,2dce6829470cbe19245d793ac103605e7ead9c8792a8a3db148337cc939f1f30,E180::BCS1L::BCS1L_2,BCS1L,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
BCS1L,BCS1L_3,274,True,supervised_train,Q3,THREE_PLUS_GUIDES,2dce6829470cbe19245d793ac103605e7ead9c8792a8a3db148337cc939f1f30,E180::BCS1L::BCS1L_3,BCS1L,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
BRD7,BRD7_1,191,True,prospective_evaluation,Q4,THREE_PLUS_GUIDES,e8e05ebc462e669d421f38a7d226a73f6a66cbc59eec4acba805367182daacbc,E180::BRD7::BRD7_1,BRD7,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
BRD7,BRD7_2,225,True,prospective_evaluation,Q4,THREE_PLUS_GUIDES,e8e05ebc462e669d421f38a7d226a73f6a66cbc59eec4acba805367182daacbc,E180::BRD7::BRD7_2,BRD7,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
BRD7,BRD7_3,417,True,prospective_evaluation,Q4,THREE_PLUS_GUIDES,e8e05ebc462e669d421f38a7d226a73f6a66cbc59eec4acba805367182daacbc,E180::BRD7::BRD7_3,BRD7,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CASC3,CASC3_1,171,True,supervised_train,Q3,THREE_PLUS_GUIDES,a947888f80e2789e1da55e7039f177c5dbabeb2f9b3abd93aea514e7777d2a3e,E180::CASC3::CASC3_1,CASC3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CASC3,CASC3_2,158,True,supervised_train,Q3,THREE_PLUS_GUIDES,a947888f80e2789e1da55e7039f177c5dbabeb2f9b3abd93aea514e7777d2a3e,E180::CASC3::CASC3_2,CASC3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CASC3,CASC3_3,332,True,supervised_train,Q3,THREE_PLUS_GUIDES,a947888f80e2789e1da55e7039f177c5dbabeb2f9b3abd93aea514e7777d2a3e,E180::CASC3::CASC3_3,CASC3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CCT3,CCT3_1,135,True,supervised_train,Q1,THREE_PLUS_GUIDES,96f85b758fbb209df4b4e249ee529f8b9bd819c40d809bfc634c80b2d0ec7a71,E180::CCT3::CCT3_1,CCT3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CCT3,CCT3_2,41,True,supervised_train,Q1,THREE_PLUS_GUIDES,96f85b758fbb209df4b4e249ee529f8b9bd819c40d809bfc634c80b2d0ec7a71,E180::CCT3::CCT3_2,CCT3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CCT3,CCT3_3,55,True,supervised_train,Q1,THREE_PLUS_GUIDES,96f85b758fbb209df4b4e249ee529f8b9bd819c40d809bfc634c80b2d0ec7a71,E180::CCT3::CCT3_3,CCT3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CCT4,CCT4_1,39,True,supervised_train,Q1,TWO_GUIDES,d60a2bb477d4fc0f0953f2cf4900e1ad6eb43279e0339f65acdbb6e799526504,E180::CCT4::CCT4_1,CCT4,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CCT4,CCT4_2,27,True,supervised_train,Q1,TWO_GUIDES,d60a2bb477d4fc0f0953f2cf4900e1ad6eb43279e0339f65acdbb6e799526504,E180::CCT4::CCT4_2,CCT4,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CHD1,CHD1_1,420,True,conformal_calibration,Q4,THREE_PLUS_GUIDES,498f7e4523cae61db8880ace99b58934eec47fcaf79f7879a211c18acba404bb,E180::CHD1::CHD1_1,CHD1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CHD1,CHD1_2,260,True,conformal_calibration,Q4,THREE_PLUS_GUIDES,498f7e4523cae61db8880ace99b58934eec47fcaf79f7879a211c18acba404bb,E180::CHD1::CHD1_2,CHD1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CHD1,CHD1_3,468,True,conformal_calibration,Q4,THREE_PLUS_GUIDES,498f7e4523cae61db8880ace99b58934eec47fcaf79f7879a211c18acba404bb,E180::CHD1::CHD1_3,CHD1,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CMPK1,CMPK1_1,175,True,supervised_train,Q3,THREE_PLUS_GUIDES,1d0a0fd253eae037c753bdc68e419f39b2cc66a43a04824be97f609ca4a728e2,E180::CMPK1::CMPK1_1,CMPK1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CMPK1,CMPK1_2,327,True,supervised_train,Q3,THREE_PLUS_GUIDES,1d0a0fd253eae037c753bdc68e419f39b2cc66a43a04824be97f609ca4a728e2,E180::CMPK1::CMPK1_2,CMPK1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CMPK1,CMPK1_3,246,True,supervised_train,Q3,THREE_PLUS_GUIDES,1d0a0fd253eae037c753bdc68e419f39b2cc66a43a04824be97f609ca4a728e2,E180::CMPK1::CMPK1_3,CMPK1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CNOT3,CNOT3_1,106,True,supervised_train,Q1,TWO_GUIDES,9b61510a8fd6ef8903401011c924f3bfd14148c50c234877eaddc44a40adecc8,E180::CNOT3::CNOT3_1,CNOT3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CNOT3,CNOT3_3,80,True,supervised_train,Q1,TWO_GUIDES,9b61510a8fd6ef8903401011c924f3bfd14148c50c234877eaddc44a40adecc8,E180::CNOT3::CNOT3_3,CNOT3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
COX6B1,COX6B1_1,185,True,prospective_evaluation,Q4,THREE_PLUS_GUIDES,fc936edc3b366c9fd54eb98da775afa0575794a89c1346d3db8e07b95cc4a385,E180::COX6B1::COX6B1_1,COX6B1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
COX6B1,COX6B1_2,438,True,prospective_evaluation,Q4,THREE_PLUS_GUIDES,fc936edc3b366c9fd54eb98da775afa0575794a89c1346d3db8e07b95cc4a385,E180::COX6B1::COX6B1_2,COX6B1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
COX6B1,COX6B1_3,212,True,prospective_evaluation,Q4,THREE_PLUS_GUIDES,fc936edc3b366c9fd54eb98da775afa0575794a89c1346d3db8e07b95cc4a385,E180::COX6B1::COX6B1_3,COX6B1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CPSF2,CPSF2_1,199,True,conformal_calibration,Q1,TWO_GUIDES,eec742481347a4ab2697c397e882def52a3fe0fddbb449ec5f753b526ca55188,E180::CPSF2::CPSF2_1,CPSF2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CPSF2,CPSF2_3,43,True,conformal_calibration,Q1,TWO_GUIDES,eec742481347a4ab2697c397e882def52a3fe0fddbb449ec5f753b526ca55188,E180::CPSF2::CPSF2_3,CPSF2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CREBBP,CREBBP_1,526,True,supervised_train,Q4,THREE_PLUS_GUIDES,1f2f5ae72fa3dc29b3bd74f1d2d51e1971cfba6426abffae36ddf325b8b1992e,E180::CREBBP::CREBBP_1,CREBBP,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CREBBP,CREBBP_2,277,True,supervised_train,Q4,THREE_PLUS_GUIDES,1f2f5ae72fa3dc29b3bd74f1d2d51e1971cfba6426abffae36ddf325b8b1992e,E180::CREBBP::CREBBP_2,CREBBP,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CREBBP,CREBBP_3,198,True,supervised_train,Q4,THREE_PLUS_GUIDES,1f2f5ae72fa3dc29b3bd74f1d2d51e1971cfba6426abffae36ddf325b8b1992e,E180::CREBBP::CREBBP_3,CREBBP,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CS,CS_1,329,True,supervised_train,Q4,THREE_PLUS_GUIDES,eb015a830694bd580e63c13875c6aab10e859d22fd23fe223a90d0111ddc702b,E180::CS::CS_1,CS,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CS,CS_2,251,True,supervised_train,Q4,THREE_PLUS_GUIDES,eb015a830694bd580e63c13875c6aab10e859d22fd23fe223a90d0111ddc702b,E180::CS::CS_2,CS,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CS,CS_3,258,True,supervised_train,Q4,THREE_PLUS_GUIDES,eb015a830694bd580e63c13875c6aab10e859d22fd23fe223a90d0111ddc702b,E180::CS::CS_3,CS,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
CSTF3,CSTF3_1,110,True,conformal_calibration,Q3,THREE_PLUS_GUIDES,f0dcb755159f2507ad2de9e2b260fe3dab9687b4df2b3df796d553e2f14af7fc,E180::CSTF3::CSTF3_1,CSTF3,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CSTF3,CSTF3_2,192,True,conformal_calibration,Q3,THREE_PLUS_GUIDES,f0dcb755159f2507ad2de9e2b260fe3dab9687b4df2b3df796d553e2f14af7fc,E180::CSTF3::CSTF3_2,CSTF3,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CSTF3,CSTF3_3,234,True,conformal_calibration,Q3,THREE_PLUS_GUIDES,f0dcb755159f2507ad2de9e2b260fe3dab9687b4df2b3df796d553e2f14af7fc,E180::CSTF3::CSTF3_3,CSTF3,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CYC1,CYC1_1,207,True,prospective_evaluation,Q2,TWO_GUIDES,e46129f02dd3e587eaa3a36c525cc0193a377b4c1aa2d0e2e1ab67bda1c3043f,E180::CYC1::CYC1_1,CYC1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
CYC1,CYC1_3,271,True,prospective_evaluation,Q2,TWO_GUIDES,e46129f02dd3e587eaa3a36c525cc0193a377b4c1aa2d0e2e1ab67bda1c3043f,E180::CYC1::CYC1_3,CYC1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DDX19B,DDX19B_1,223,True,model_validation,Q4,THREE_PLUS_GUIDES,c8be7521e3f54daa6f625e959b827ac2121bd13a3190fa2186fe1332ceebc0b2,E180::DDX19B::DDX19B_1,DDX19B,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_pooled_control,False,False
DDX19B,DDX19B_2,488,True,model_validation,Q4,THREE_PLUS_GUIDES,c8be7521e3f54daa6f625e959b827ac2121bd13a3190fa2186fe1332ceebc0b2,E180::DDX19B::DDX19B_2,DDX19B,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_pooled_control,False,False
DDX19B,DDX19B_3,205,True,model_validation,Q4,THREE_PLUS_GUIDES,c8be7521e3f54daa6f625e959b827ac2121bd13a3190fa2186fe1332ceebc0b2,E180::DDX19B::DDX19B_3,DDX19B,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_pooled_control,False,False
DDX39B,DDX39B_2,162,True,model_validation,Q2,TWO_GUIDES,5fe54e6eb2c6f18f7e622062a32ae1484e047b500a84568320773b1fe793e30e,E180::DDX39B::DDX39B_2,DDX39B,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_pooled_control,False,False
DDX39B,DDX39B_3,205,True,model_validation,Q2,TWO_GUIDES,5fe54e6eb2c6f18f7e622062a32ae1484e047b500a84568320773b1fe793e30e,E180::DDX39B::DDX39B_3,DDX39B,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_pooled_control,False,False
DDX56,DDX56_2,51,True,prospective_evaluation,Q1,TWO_GUIDES,9529f41e5181293a797588b4006f0312c4a62f593f1d5e6aea3d0d3ca08e798c,E180::DDX56::DDX56_2,DDX56,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DDX56,DDX56_3,53,True,prospective_evaluation,Q1,TWO_GUIDES,9529f41e5181293a797588b4006f0312c4a62f593f1d5e6aea3d0d3ca08e798c,E180::DDX56::DDX56_3,DDX56,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DHX15,DHX15_1,259,True,conformal_calibration,Q2,THREE_PLUS_GUIDES,165af712b5891e755936446cef2077beca4c705084f70ffb4ce9a3e4d378e4e7,E180::DHX15::DHX15_1,DHX15,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DHX15,DHX15_2,88,True,conformal_calibration,Q2,THREE_PLUS_GUIDES,165af712b5891e755936446cef2077beca4c705084f70ffb4ce9a3e4d378e4e7,E180::DHX15::DHX15_2,DHX15,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DHX15,DHX15_3,29,True,conformal_calibration,Q2,THREE_PLUS_GUIDES,165af712b5891e755936446cef2077beca4c705084f70ffb4ce9a3e4d378e4e7,E180::DHX15::DHX15_3,DHX15,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DHX29,DHX29_1,88,True,prospective_evaluation,Q1,TWO_GUIDES,166f35f3f988599b4f4d654fb0331ea5924c18fba33edfe0158004994636d99d,E180::DHX29::DHX29_1,DHX29,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DHX29,DHX29_2,48,True,prospective_evaluation,Q1,TWO_GUIDES,166f35f3f988599b4f4d654fb0331ea5924c18fba33edfe0158004994636d99d,E180::DHX29::DHX29_2,DHX29,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DICER1,DICER1_1,151,True,supervised_train,Q2,THREE_PLUS_GUIDES,24e253704625052f36b642af35c5f545abcdcfc40f7dc2dbb330e56aded35df7,E180::DICER1::DICER1_1,DICER1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
DICER1,DICER1_2,133,True,supervised_train,Q2,THREE_PLUS_GUIDES,24e253704625052f36b642af35c5f545abcdcfc40f7dc2dbb330e56aded35df7,E180::DICER1::DICER1_2,DICER1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
DICER1,DICER1_3,91,True,supervised_train,Q2,THREE_PLUS_GUIDES,24e253704625052f36b642af35c5f545abcdcfc40f7dc2dbb330e56aded35df7,E180::DICER1::DICER1_3,DICER1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
DIS3,DIS3_1,142,True,conformal_calibration,Q3,THREE_PLUS_GUIDES,4e82f13c37076417f58ef08584c84fa2aae71fe784f7ece49aba824f70c5c5fa,E180::DIS3::DIS3_1,DIS3,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DIS3,DIS3_2,193,True,conformal_calibration,Q3,THREE_PLUS_GUIDES,4e82f13c37076417f58ef08584c84fa2aae71fe784f7ece49aba824f70c5c5fa,E180::DIS3::DIS3_2,DIS3,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DIS3,DIS3_3,246,True,conformal_calibration,Q3,THREE_PLUS_GUIDES,4e82f13c37076417f58ef08584c84fa2aae71fe784f7ece49aba824f70c5c5fa,E180::DIS3::DIS3_3,DIS3,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DLAT,DLAT_1,234,True,supervised_train,Q4,THREE_PLUS_GUIDES,c0924e8698902039fcb30973f3a1a4114eb2cd46b5c695955873aaad839140dd,E180::DLAT::DLAT_1,DLAT,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
DLAT,DLAT_2,526,True,supervised_train,Q4,THREE_PLUS_GUIDES,c0924e8698902039fcb30973f3a1a4114eb2cd46b5c695955873aaad839140dd,E180::DLAT::DLAT_2,DLAT,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
DLAT,DLAT_3,496,True,supervised_train,Q4,THREE_PLUS_GUIDES,c0924e8698902039fcb30973f3a1a4114eb2cd46b5c695955873aaad839140dd,E180::DLAT::DLAT_3,DLAT,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
DLD,DLD_1,155,True,model_validation,Q2,THREE_PLUS_GUIDES,2ad5c01b0525975b0a62d663a33964915db7b18199e66c52d800f24a9c15eb20,E180::DLD::DLD_1,DLD,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_pooled_control,False,False
DLD,DLD_2,137,True,model_validation,Q2,THREE_PLUS_GUIDES,2ad5c01b0525975b0a62d663a33964915db7b18199e66c52d800f24a9c15eb20,E180::DLD::DLD_2,DLD,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_pooled_control,False,False
DLD,DLD_3,193,True,model_validation,Q2,THREE_PLUS_GUIDES,2ad5c01b0525975b0a62d663a33964915db7b18199e66c52d800f24a9c15eb20,E180::DLD::DLD_3,DLD,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_pooled_control,False,False
DLST,DLST_1,209,True,supervised_train,Q3,THREE_PLUS_GUIDES,63797fd6d0ee2deff61a70a8fe65b45b568c63d7e8e067dd94af3e8c3c38add9,E180::DLST::DLST_1,DLST,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
DLST,DLST_2,218,True,supervised_train,Q3,THREE_PLUS_GUIDES,63797fd6d0ee2deff61a70a8fe65b45b568c63d7e8e067dd94af3e8c3c38add9,E180::DLST::DLST_2,DLST,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
DLST,DLST_3,271,True,supervised_train,Q3,THREE_PLUS_GUIDES,63797fd6d0ee2deff61a70a8fe65b45b568c63d7e8e067dd94af3e8c3c38add9,E180::DLST::DLST_3,DLST,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
DNMT3A,DNMT3A_1,337,True,prospective_evaluation,Q3,THREE_PLUS_GUIDES,28fceaadbe2da741f5c5f8c4a0260a7169fa5f66590d53bc05bcdec330a3d7ab,E180::DNMT3A::DNMT3A_1,DNMT3A,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DNMT3A,DNMT3A_2,247,True,prospective_evaluation,Q3,THREE_PLUS_GUIDES,28fceaadbe2da741f5c5f8c4a0260a7169fa5f66590d53bc05bcdec330a3d7ab,E180::DNMT3A::DNMT3A_2,DNMT3A,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DNMT3A,DNMT3A_3,242,True,prospective_evaluation,Q3,THREE_PLUS_GUIDES,28fceaadbe2da741f5c5f8c4a0260a7169fa5f66590d53bc05bcdec330a3d7ab,E180::DNMT3A::DNMT3A_3,DNMT3A,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DROSHA,DROSHA_1,180,True,prospective_evaluation,Q3,THREE_PLUS_GUIDES,52ce3b503120b7c8837c348b35f8a38506395f5d32040be7c472b0bf20f8093d,E180::DROSHA::DROSHA_1,DROSHA,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DROSHA,DROSHA_2,110,True,prospective_evaluation,Q3,THREE_PLUS_GUIDES,52ce3b503120b7c8837c348b35f8a38506395f5d32040be7c472b0bf20f8093d,E180::DROSHA::DROSHA_2,DROSHA,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
DROSHA,DROSHA_3,284,True,prospective_evaluation,Q3,THREE_PLUS_GUIDES,52ce3b503120b7c8837c348b35f8a38506395f5d32040be7c472b0bf20f8093d,E180::DROSHA::DROSHA_3,DROSHA,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
EEF1D,EEF1D_1,360,True,supervised_train,Q3,TWO_GUIDES,67e7bc601ea3d65431b33f65d71bd8a0fd7543b5dd1c16414d82f1a19ea73ccc,E180::EEF1D::EEF1D_1,EEF1D,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
EEF1D,EEF1D_2,289,True,supervised_train,Q3,TWO_GUIDES,67e7bc601ea3d65431b33f65d71bd8a0fd7543b5dd1c16414d82f1a19ea73ccc,E180::EEF1D::EEF1D_2,EEF1D,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
EEF1G,EEF1G_1,231,True,prospective_evaluation,Q2,THREE_PLUS_GUIDES,dcd9111344906b4ef3edd3d108ca48bfb86c7eb4a3fc25baa40980632deb16c8,E180::EEF1G::EEF1G_1,EEF1G,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
EEF1G,EEF1G_2,94,True,prospective_evaluation,Q2,THREE_PLUS_GUIDES,dcd9111344906b4ef3edd3d108ca48bfb86c7eb4a3fc25baa40980632deb16c8,E180::EEF1G::EEF1G_2,EEF1G,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
EEF1G,EEF1G_3,128,True,prospective_evaluation,Q2,THREE_PLUS_GUIDES,dcd9111344906b4ef3edd3d108ca48bfb86c7eb4a3fc25baa40980632deb16c8,E180::EEF1G::EEF1G_3,EEF1G,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ENO2,ENO2_1,394,True,supervised_train,Q4,THREE_PLUS_GUIDES,9b09eceabda58d11854f32f6f3af068bcc9772952b04b615b322739f5035d734,E180::ENO2::ENO2_1,ENO2,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
ENO2,ENO2_2,143,True,supervised_train,Q4,THREE_PLUS_GUIDES,9b09eceabda58d11854f32f6f3af068bcc9772952b04b615b322739f5035d734,E180::ENO2::ENO2_2,ENO2,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
