target_selection_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,selected_from_label_free_identity_availability_without_abundance_or_expression
50,ENSG00000196151,WDSUB1,2,WDSUB1-1+WDSUB1-2,True,WDSUB1,True,True,WDSUB1,True,True,02476bcb6cae4e304f44544297b484c32d994916bd342f102487318e05bf5535,c791c29673037aff98b02df0dfc2e51a654957d29d6425ec2b2320bc4252a391,DONOR_UNSEEN_ONLY,6,True
51,ENSG00000100906,NFKBIA,2,NFKBIA-1+NFKBIA-2,True,NFKBIA,True,True,NFKBIA,True,True,0251eb23c94ea2146e1b976828e21d460f5fb68a28730d66dbec8695a9a372c3,a6c7bb9bfc854d779a7f49ce915a3a71e17c9d18bd1a7d959b0ec080725ec181,DONOR_UNSEEN_ONLY,6,True
52,ENSG00000113621,TXNDC15,2,TXNDC15-1+TXNDC15-2,True,TXNDC15,True,True,TXNDC15,True,True,025e68503f9ced7d4ad7b35e81723f0d9932b9e8f519441491c6fba5e3b065d8,a6b8e0a313b11e013ae186735bf67e6f1bf6d3d326ddc9e360d879532065e394,DONOR_UNSEEN_ONLY,6,True
53,ENSG00000115966,ATF2,2,ATF2-1+ATF2-2,True,ATF2,True,True,ATF2,True,True,0277ae807d87a77067fdce90ef309f816ef5c6bb7cfd9a09676fcb7d47d443c6,6278ac1102cf6965e55ffb41d760b7bbcebc1c703a060b9418905b8b99f59598,DONOR_UNSEEN_ONLY,6,True
54,ENSG00000100614,PPM1A,2,PPM1A-1+PPM1A-2,True,PPM1A,True,True,PPM1A,True,True,02793d8b29ad255dbe8c7cbd19143eed8cd88554903de20c44c218580f46e970,86b3a2665332ca97808823066f9a28fea6c2efd457a6a8a00bd3294325845cae,DONOR_UNSEEN_ONLY,6,True
55,ENSG00000251192,ZNF674,2,ZNF674-1+ZNF674-2,True,ZNF674,True,True,ZNF674,True,True,027de4d4982bea928af054e6ede621b4d780feab2a5db78172ab99af78a00838,1d67032e32674029c5cab62c588365e10494868a8e904d2d1c16b1f0954a01ed,COLUMN_UNSEEN,0,True
56,ENSG00000166669,ATF7IP2,2,ATF7IP2-1+ATF7IP2-2,True,ATF7IP2,True,True,ATF7IP2,True,True,02846746d12fe145fcee5acdeabaeda00ceeeb6240c1e75e14951fa4c7bdfd0a,eb69fbdb6ad56eadac50cf5cfb2e69e0eb738bf291bcb2200d80fc5d3137dbf0,DONOR_UNSEEN_ONLY,6,True
57,ENSG00000146247,PHIP,2,PHIP-1+PHIP-2,True,PHIP,True,True,PHIP,True,True,0288d0390cf9d716b51f463dba2e5d3ef01126d16eef8ca51262583e32045fb8,39890cdc6ae33a358f9dd3c02b1081877728041dea4a0eaf75f449b4c75d23b9,DONOR_UNSEEN_ONLY,6,True
58,ENSG00000197016,ZNF470,2,ZNF470-1+ZNF470-2,True,ZNF470,True,True,ZNF470,True,True,028b1234d94358392a894f99a401a209fdb426be13fbbfde47d844016eb6b2df,41be50fff18d97d7f66d002cd3e7dd92a5aeb7dd7c9411b01ef8166eb6be41dc,DONOR_UNSEEN_ONLY,6,True
59,ENSG00000082146,STRADB,2,STRADB-1+STRADB-2,True,STRADB,True,True,STRADB,True,True,02937b8fae14c7723b6889a7440b4788b8848539555a92f215f664f62d8e10ee,e582c80a2b6063c061a217ee4ac8b3f2459d4b046ade920ad80c22d70c401010,DONOR_UNSEEN_ONLY,6,True
60,ENSG00000170584,NUDCD2,2,NUDCD2-1+NUDCD2-2,True,NUDCD2,True,True,NUDCD2,True,True,02af38b171602b7ef0641ba28620d9ba0359b412c3076986417b253160216548,a31675e158e669568f45d358903e699ed82c9a3f92651da8f715bcb7763d289e,DONOR_UNSEEN_ONLY,6,True
61,ENSG00000115286,NDUFS7,2,NDUFS7-1+NDUFS7-2,True,NDUFS7,True,True,NDUFS7,True,True,02c9598493e854906c26eae53d2f0d90543ab14cc306b173e82ddf5c75e496a0,f9123e6de1b7f48cab8e3f3efd2659c4e5ad3d27406f8e7b5307bd31aae5dc7b,DONOR_UNSEEN_ONLY,6,True
62,ENSG00000170291,ELP5,2,ELP5-1+ELP5-2,True,ELP5,True,True,ELP5,True,True,02dbbc5135cf86d6297dafd35218a0ae98cd32042043fd65183e3f663a8073a7,dd2fafcaf71a797171b938002a957ce0aa11a74381fa5c658b248931a727a042,DONOR_UNSEEN_ONLY,6,True
63,ENSG00000144026,ZNF514,2,ZNF514-1+ZNF514-2,True,ZNF514,True,True,ZNF514,True,True,02de2b356ee22bbb95c9f880ab2f81fad0cb2cc6bf62666c908dceb32a13b073,a15efccb42db2eee5c99842d0c4345850b9e7ab5e8d851e2766ddd4876a0ae0a,DONOR_UNSEEN_ONLY,6,True
64,ENSG00000141295,SCRN2,2,SCRN2-1+SCRN2-2,True,SCRN2,True,True,SCRN2,True,True,02ea4bcdd4c5f9fd85e5d363e513dd603749dcea62e65210ce19cd55839b6635,53907a253a919b0e1e5e6ab17d32e7917da25860d48f23d3948e6f1429bf9c21,DONOR_UNSEEN_ONLY,6,True
65,ENSG00000144354,CDCA7,2,CDCA7-1+CDCA7-2,True,CDCA7,True,True,CDCA7,True,True,02eaea74293e9bc57a9f81dcd3ef3a7af7f129f2b287eeb32247ebd7f325bfa3,9ceb5d5bd866eb90fe700c3f302540e52b6af7e32741daa136df4d6a42e887be,DONOR_UNSEEN_ONLY,6,True
66,ENSG00000197457,STMN3,2,STMN3-1+STMN3-2,True,STMN3,True,True,STMN3,True,True,030161822cdd68824bda07ed58e266316ee467d6c1b48f226398f34df8fad2be,a5fb77e71631793d95654b8788d68808454b005f4d64a07e3f571209a98104f2,DONOR_UNSEEN_ONLY,6,True
67,ENSG00000169129,AFAP1L2,2,AFAP1L2-1+AFAP1L2-2,True,AFAP1L2,True,True,AFAP1L2,True,True,03083f1788e4a6d12c0313754d0411ba105e4896aa8ebe857c7130a4b2b49c0c,f052c5f26fc39b0d08e7a31c6e5b4f464a2d2072d5ba436d638677c1510e10b6,DONOR_UNSEEN_ONLY,6,True
68,ENSG00000239264,TXNDC5,2,TXNDC5-1+TXNDC5-2,True,TXNDC5,True,True,TXNDC5,True,True,030d5f0bd6b6276953ea963216bda5ca089d17b5ce795c7dd929c62d8552136e,61f75220d236332ec2526b0f694f41717799eec5606b689dfe2d8a361784f9db,DONOR_UNSEEN_ONLY,6,True
69,ENSG00000072864,NDE1,2,NDE1-1+NDE1-2,True,NDE1,True,True,NDE1,True,True,03171aa88a479674788126a617a5bbd1932a088f9ebf94164da94f0ed6efee69,4b1f0368d854ac1519f84ef512edf9809f25dc1622fd2fde971d2466a315e79a,DONOR_UNSEEN_ONLY,6,True
70,ENSG00000109113,RAB34,2,RAB34-1+RAB34-2,True,RAB34,True,True,RAB34,True,True,031f47b8e1ad40a88aeef1c1dc2065dc5627fabc799ed85d679a580de78b9d0e,d0f6242221233905d1c776c254e4b9cc2cd657f83d3ce0080e099f60c13e3c56,DONOR_UNSEEN_ONLY,6,True
71,ENSG00000198216,CACNA1E,2,CACNA1E-1+CACNA1E-2,True,CACNA1E,True,True,CACNA1E,True,True,032172d4787c7edafda588e0fb680be216331a46de812fcc1eb08136396e82b6,60dc374d0985cc2a0aa5cd954699e590598d41be87f42fa82da4ddd96f9449e2,DONOR_UNSEEN_ONLY,6,True
72,ENSG00000157823,AP3S2,2,AP3S2-1+AP3S2-2,True,AP3S2,True,True,AP3S2,True,True,032d7e2b4b8e4aa57f8f8960de1b993ac3c72d9d27f2133dffedbbae08f7ca0d,7b42bc518e6de03d8fd4187bae758fd4e9da7571c2681987b300be2c8a9711bf,DONOR_UNSEEN_ONLY,6,True
73,ENSG00000120265,PCMT1,2,PCMT1-1+PCMT1-2,True,PCMT1,True,True,PCMT1,True,True,032e54557cfcf91cb3bda892ada09aad0fc546b932d3a6fa099222aaff2f0b89,11e0057ecb6cb03ff65b2a68429601811a9de23dcf23543c35a0c2ed6ce1cccc,COLUMN_UNSEEN,0,True
74,ENSG00000111684,LPCAT3,2,LPCAT3-1+LPCAT3-2,True,LPCAT3,True,True,LPCAT3,True,True,0330c5b9fde6ca494e0335c26c5d2bda874ee7b7b49ffff17f036fabaac2363f,6c7ebec94e5ba4331cb4bf83680c147525ea373446eb5ab2d1d70a4c6a1e6f83,DONOR_UNSEEN_ONLY,6,True
75,ENSG00000051128,HOMER3,2,HOMER3-1+HOMER3-2,True,HOMER3,True,True,HOMER3,True,True,034e2a5c5bf234101104adb4dd128940e07b436d35285ce600692b3d66f14b73,1c3f9acf1d1fc713a4ca951107cc3295310e63fe52cae1e95e1dc53d3835d556,COLUMN_UNSEEN,0,True
76,ENSG00000151065,DCP1B,2,DCP1B-1+DCP1B-2,True,DCP1B,True,True,DCP1B,True,True,03516485eb8c93954e0bb533c990968c5f66b3a69f9ae63458766dfa76651f7d,10bf9072169b172675ba410fa6a56f061883bed6ebed81b8e5b16d2fe30cf6f5,COLUMN_UNSEEN,0,True
77,ENSG00000147872,PLIN2,2,PLIN2-1+PLIN2-2,True,PLIN2,True,True,PLIN2,True,True,03572d5e5f6af1c13a65d5db50705cd2df872c9fe5f18b525d689ccc79b50678,11b708bc6652382e20dfbdc6c635d90b268dad1c65b91694bfe77d813d496fe0,COLUMN_UNSEEN,0,True
78,ENSG00000169926,KLF13,2,KLF13-1+KLF13-2,True,KLF13,True,True,KLF13,True,True,0379a775d9e2082bc774488efd1fccde93b1ba57023e0809342e62b989e9b5ba,ad6ea1a6295559a05370cfcdef5d1a049c83b8f7aa3923b6a5b002bb7187f55d,DONOR_UNSEEN_ONLY,6,True
79,ENSG00000115758,ODC1,2,ODC1-1+ODC1-2,True,ODC1,True,True,ODC1,True,True,03805362e317170468c7948daf2c2a9f31918cc0f5402fea9c6fd63879d6991a,84f38f34f4b92fa59875c872a8b524903717027a629cd0857a529b1846fc4000,DONOR_UNSEEN_ONLY,6,True
80,ENSG00000164105,SAP30,2,SAP30-1+SAP30-3,True,SAP30,True,True,SAP30,True,True,038f603d183bce1aa81dfd5d2b7b40babdb312e0276f15d7ff672009b1c5a8af,99f068e4f04896dc15ab70f58ab63bd49f6d482c11e0d33f085b5a5aff883ea0,DONOR_UNSEEN_ONLY,6,True
81,ENSG00000188167,TMPPE,2,TMPPE-1+TMPPE-2,True,TMPPE,True,True,TMPPE,True,True,0398001058ec681d944d0220fb89ed17f2d258311b732020b06e93cb7221b178,557c872a37498865c6e7ab931c0abc73e98a07f7822306f8376f079d847276f4,DONOR_UNSEEN_ONLY,6,True
82,ENSG00000160284,SPATC1L,2,SPATC1L-1+SPATC1L-2,True,SPATC1L,True,True,SPATC1L,True,True,03bb8feb0c415d299215f46c8961c1d9d92f7b7c1dce86972905bf9ff53289c1,44298a2d3cc8d2a34354d27a1f550cf6d4f8542d91a7500fc2203569c76d5539,DONOR_UNSEEN_ONLY,6,True
83,ENSG00000120437,ACAT2,2,ACAT2-1+ACAT2-2,True,ACAT2,True,True,ACAT2,True,True,03bcb135486f6a97afacf664eab035507dbb8383422f46008902e5561fdc7df1,cae8b93ae4fd6a65ffd87a5a4220b3ac93c27d922f8b893615535b3822db1b94,DONOR_UNSEEN_ONLY,6,True
84,ENSG00000103855,CD276,2,CD276-1+CD276-2,True,CD276,True,True,CD276,True,True,03bd17e2b7533157df25099f3d4b4dfa5a0beba0d9aa14973dbf241993281524,8e14f3a6d35750960b9655b89689706edfe5ad650e723d0b0af10840589fdea8,DONOR_UNSEEN_ONLY,6,True
