experiment,n_train,n_test
internal_compound_holdout::Scriptaid,598,4
internal_compound_holdout::GO-6976,598,4
internal_compound_holdout::SB525334,598,4
internal_compound_holdout::AVL-292,598,4
internal_compound_holdout::BMS-777607,598,4
internal_compound_holdout::HMN-214,598,4
internal_compound_holdout::UNII-BXU45ZH6LI,598,4
internal_compound_holdout::Chlorpheniramine,598,4
internal_compound_holdout::PD-0325901,598,4
internal_compound_holdout::Isoniazid,598,4
internal_compound_holdout::Saracatinib,598,4
internal_compound_holdout::GSK-1070916,598,4
internal_compound_holdout::Vardenafil,598,4
internal_compound_holdout::Ricolinostat,598,4
internal_compound_holdout::ABT737,598,4
internal_compound_holdout::Nefazodone,598,4
internal_compound_holdout::CEP-37440,598,4
internal_compound_holdout::Tivantinib,598,4
internal_compound_holdout::IKK Inhibitor VII,598,4
internal_compound_holdout::Quizartinib,598,4
internal_compound_holdout::AZD3514,598,4
internal_compound_holdout::OSI-930,598,4
internal_compound_holdout::Dovitinib,598,4
internal_compound_holdout::K-02288,598,4
internal_compound_holdout::I-BET151,598,4
internal_compound_holdout::Midostaurin,598,4
internal_compound_holdout::STK219801,598,4
internal_compound_holdout::Vanoxerine,598,4
internal_compound_holdout::PF-03814735,598,4
internal_compound_holdout::TPCA-1,598,4
internal_compound_holdout::Sunitinib,598,4
internal_compound_holdout::BMS-536924,598,4
internal_compound_holdout::BI-D1870,598,4
internal_compound_holdout::Perhexiline,598,4
internal_compound_holdout::Mubritinib (TAK 165),598,4
internal_compound_holdout::Doxorubicin,598,4
internal_compound_holdout::Pomalidomide,598,4
internal_compound_holdout::FK 866,598,4
internal_compound_holdout::Colforsin,598,4
internal_compound_holdout::Phenylbutazone,598,4
internal_compound_holdout::Buspirone,598,4
internal_compound_holdout::Protriptyline,598,4
internal_compound_holdout::Clomipramine,598,4
internal_compound_holdout::PRT-062607,598,4
internal_compound_holdout::AT 7867,598,4
internal_compound_holdout::AZ628,598,4
internal_compound_holdout::Pitavastatin Calcium,598,4
internal_compound_holdout::TR-14035,598,4
internal_compound_holdout::Alogliptin,598,4
internal_compound_holdout::Nilotinib,598,4
internal_compound_holdout::Sgc-cbp30,598,4
internal_compound_holdout::BX 912,598,4
internal_compound_holdout::PF-04691502,598,4
internal_compound_holdout::Defactinib,598,4
internal_compound_holdout::Ruxolitinib,598,4
internal_compound_holdout::SCH-58261,598,4
internal_compound_holdout::YK 4-279,598,4
internal_compound_holdout::BAY 87-2243,598,4
internal_compound_holdout::Ganetespib (STA-9090),598,4
internal_compound_holdout::SLx-2119,598,4
internal_compound_holdout::Desloratadine,598,4
internal_compound_holdout::GLPG0634,598,4
internal_compound_holdout::Topotecan,598,4
internal_compound_holdout::Clemastine,598,4
internal_compound_holdout::AT13387,598,4
internal_compound_holdout::RG7090,598,4
internal_compound_holdout::AMD-070 (hydrochloride),598,4
internal_compound_holdout::BMS-265246,598,4
internal_compound_holdout::Tipifarnib,598,4
internal_compound_holdout::Imatinib,598,4
internal_compound_holdout::TGX 221,598,4
internal_compound_holdout::Azacitidine,598,4
internal_compound_holdout::5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,598,4
internal_compound_holdout::CGM-097,598,4
internal_compound_holdout::Atorvastatin,598,4
internal_compound_holdout::Riociguat,598,4
