dataset_name,fold_id,split,task_key,context,perturbation,perturbation_class,source_records_csv
adamson,3,test,adamson::AMIGO3+ctrl,GEARS_single_heldout,AMIGO3+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv
adamson,3,test,adamson::ATF4+ctrl,GEARS_single_heldout,ATF4+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv
adamson,3,test,adamson::EIF2S1+ctrl,GEARS_single_heldout,EIF2S1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv
adamson,3,test,adamson::FARSB+ctrl,GEARS_single_heldout,FARSB+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv
adamson,3,test,adamson::GMPPB+ctrl,GEARS_single_heldout,GMPPB+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv
adamson,3,test,adamson::SPCS2+ctrl,GEARS_single_heldout,SPCS2+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv
adamson,3,test,adamson::UFM1+ctrl,GEARS_single_heldout,UFM1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv
dixit,1,test,dixit::ETS1+ctrl,GEARS_single_heldout,ETS1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_1/tables/PREDICTION_RECORDS.csv
dixit,2,test,dixit::NR2C2+ctrl,GEARS_single_heldout,NR2C2+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_2/tables/PREDICTION_RECORDS.csv
dixit,3,test,dixit::NR2C2+ctrl,GEARS_single_heldout,NR2C2+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_3/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::ARID1A+ctrl,GEARS_single_heldout,ARID1A+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::BCL2L11+ctrl,GEARS_single_heldout,BCL2L11+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::CBL+ctrl,GEARS_single_heldout,CBL+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::CDKN1C+ctrl,GEARS_single_heldout,CDKN1C+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::CELF2+ctrl,GEARS_single_heldout,CELF2+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::HES7+ctrl,GEARS_single_heldout,HES7+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::NCL+ctrl,GEARS_single_heldout,NCL+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::PTPN12+ctrl,GEARS_single_heldout,PTPN12+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::RHOXF2+ctrl,GEARS_single_heldout,RHOXF2+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,1,test,norman::SAMD1+ctrl,GEARS_single_heldout,SAMD1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::BPGM+ctrl,GEARS_single_heldout,BPGM+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::CEBPE+ctrl,GEARS_single_heldout,CEBPE+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::COL1A1+ctrl,GEARS_single_heldout,COL1A1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::FOXL2+ctrl,GEARS_single_heldout,FOXL2+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::HOXA13+ctrl,GEARS_single_heldout,HOXA13+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::IER5L+ctrl,GEARS_single_heldout,IER5L+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::KIF18B+ctrl,GEARS_single_heldout,KIF18B+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::PTPN12+ctrl,GEARS_single_heldout,PTPN12+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::RHOXF2+ctrl,GEARS_single_heldout,RHOXF2+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,2,test,norman::SLC38A2+ctrl,GEARS_single_heldout,SLC38A2+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::AHR+ctrl,GEARS_single_heldout,AHR+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::ATL1+ctrl,GEARS_single_heldout,ATL1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::CDKN1A+ctrl,GEARS_single_heldout,CDKN1A+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::CLDN6+ctrl,GEARS_single_heldout,CLDN6+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::CNNM4+ctrl,GEARS_single_heldout,CNNM4+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::CSRNP1+ctrl,GEARS_single_heldout,CSRNP1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::HOXB9+ctrl,GEARS_single_heldout,HOXB9+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::MAP2K3+ctrl,GEARS_single_heldout,MAP2K3+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::PTPN12+ctrl,GEARS_single_heldout,PTPN12+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
norman,3,test,norman::PTPN9+ctrl,GEARS_single_heldout,PTPN9+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv
