perturbation,genes,combo_size,available_single_count,missing_single_count,missing_genes,n_cells,predicted_l2,true_l2_diagnostic,error_single_additive_rmse,risk_missing_single,risk_combo_size,risk_predicted_magnitude,risk_norman_combo_smoke
CEBPB+LYL1,CEBPB+LYL1,2,2,0,,120,0.9439267163794453,1.1583609900853709,0.03381351669822262,0.0,0.0,0.3289143502857131,0.3289143502857131
CEBPB+MAPK1,CEBPB+MAPK1,2,2,0,,120,1.1804727424839778,1.4945274614558564,0.03985724098920779,0.0,0.0,1.1382255825592797,1.1382255825592797
CEBPB+OSR2,CEBPB+OSR2,2,2,0,,120,1.1310456155296988,1.7770678206077297,0.056357186903090294,0.0,0.0,0.969117144417807,0.969117144417807
CEBPB+PTPN12,CEBPB+PTPN12,2,2,0,,120,0.9177282003717099,1.1316745331312565,0.036917232018981096,0.0,0.0,0.23927956071377024,0.23927956071377024
CEBPE+CNN1,CEBPE+CNN1,2,2,0,,120,0.9091327376164411,0.9548995117201163,0.037264721685142665,0.0,0.0,0.20987131121160355,0.20987131121160355
CEBPE+ETS2,CEBPE+ETS2,2,2,0,,120,0.9797788853169365,1.4602452170989986,0.04763466661156747,0.0,0.0,0.45157784838083126,0.45157784838083126
CEBPE+FOSB,CEBPE+FOSB,2,2,0,,120,1.1037456553929577,2.0844907357425693,0.07419466007541026,0.0,0.0,0.8757139080872944,0.8757139080872944
CEBPE+KLF1,CEBPE+KLF1,2,2,0,,120,0.7735678457369947,0.8233614564065279,0.047858082271822366,0.0,0.0,-0.25394620247388777,-0.25394620247388777
CEBPE+PTPN12,CEBPE+PTPN12,2,2,0,,120,0.9031670605073929,0.8668003696872894,0.03627120122118979,0.0,0.0,0.18946052870141086,0.18946052870141086
CEBPE+RUNX1T1,CEBPE+RUNX1T1,2,2,0,,120,0.8651752114728404,1.1533057777657094,0.03558344567432682,0.0,0.0,0.05947639552930057,0.05947639552930057
CEBPE+SET,CEBPE+SET,2,2,0,,120,1.0836308851791223,1.1287814057697985,0.0396777712307365,0.0,0.0,0.8068938575595177,0.8068938575595177
CEBPE+SPI1,CEBPE+SPI1,2,2,0,,120,1.6007673123334192,2.7676992000612457,0.0877961812546171,0.0,0.0,2.5762083795834156,2.5762083795834156
CEBPE+ZC3HAV1,CEBPE+ZC3HAV1,2,2,0,,120,0.7900684041095112,0.7205401583778569,0.03487560122023569,0.0,0.0,-0.1974917041693509,-0.1974917041693509
CLDN6+KLF1,CLDN6+KLF1,2,2,0,,120,0.767992112320737,1.4392648039827842,0.057966705813675495,0.0,0.0,-0.273022843735856,-0.273022843735856
CNN1+ETS2,CNN1+ETS2,2,2,0,,120,0.5618028508460674,0.8159005066861587,0.03276852697281648,0.0,0.0,-0.978472383657102,-0.978472383657102
CNN1+MAPK1,CNN1+MAPK1,2,2,0,,120,0.6888218182794988,0.8823681867545955,0.03438482892438573,0.0,0.0,-0.543893630639967,-0.543893630639967
CNN1+UBASH3A,CNN1+UBASH3A,2,2,0,,120,0.5985928318070723,1.5161646705323748,0.07370813959388695,0.0,0.0,-0.8526002846106601,-0.8526002846106601
CNN1+UBASH3B,CNN1+UBASH3B,2,2,0,,120,0.6632343383315392,1.5507579622251288,0.0692540843149109,0.0,0.0,-0.6314378404011031,-0.6314378404011031
COL2A1+KLF1,COL2A1+KLF1,2,2,0,,120,0.8428929765367801,1.4193570198971395,0.059000224558245815,0.0,0.0,-0.016759351529679646,-0.016759351529679646
DLX2+SNAI1,DLX2+SNAI1,2,2,0,,120,0.8032260795468322,1.6392913274053529,0.06840545878294718,0.0,0.0,-0.15247444178960512,-0.15247444178960512
DLX2+ZBTB10,DLX2+ZBTB10,2,2,0,,89,1.1733424257506742,2.7543580046761837,0.11076647135694104,0.0,0.0,1.113830138184405,1.113830138184405
DUSP9+ETS2,DUSP9+ETS2,2,2,0,,120,0.687319996943429,0.9943316441660166,0.03691495764482548,0.0,0.0,-0.5490319155486818,-0.5490319155486818
DUSP9+IGDCC3,DUSP9+IGDCC3,2,2,0,,120,0.9212284073078374,1.4140683577410078,0.04261527143191852,0.0,0.0,0.2512550600926438,0.2512550600926438
DUSP9+KLF1,DUSP9+KLF1,2,2,0,,120,0.6975237463400822,1.0798255554113814,0.04776002584035724,0.0,0.0,-0.5141211240464534,-0.5141211240464534
DUSP9+MAPK1,DUSP9+MAPK1,2,2,0,,120,0.7960999195176659,0.7855524537392707,0.04219020687741568,0.0,0.0,-0.17685566454595195,-0.17685566454595195
DUSP9+PRTG,DUSP9+PRTG,2,2,0,,120,0.9522886535679163,1.50609181435623,0.05038589825754827,0.0,0.0,0.35752362266133536,0.35752362266133536
DUSP9+SNAI1,DUSP9+SNAI1,2,2,0,,120,0.8378181998404766,2.3831748446146945,0.11264275956277008,0.0,0.0,-0.03412203501768554,-0.03412203501768554
ETS2+IGDCC3,ETS2+IGDCC3,2,2,0,,120,0.6710954162639391,0.9833128187261643,0.037191197206186626,0.0,0.0,-0.6045421923395389,-0.6045421923395389
ETS2+IKZF3,ETS2+IKZF3,2,2,0,,120,0.8802090909893729,1.3556954682161613,0.042387820480786945,0.0,0.0,0.11091284431580659,0.11091284431580659
ETS2+MAP7D1,ETS2+MAP7D1,2,2,0,,120,0.5100871232407117,1.1890180650381976,0.058351643451763066,0.0,0.0,-1.155410969037178,-1.155410969037178
ETS2+MAPK1,ETS2+MAPK1,2,2,0,,120,0.8416871508293722,1.6564237277203853,0.06428585916877369,0.0,0.0,-0.020884926181008512,-0.020884926181008512
ETS2+PRTG,ETS2+PRTG,2,2,0,,120,0.6937671065361034,0.9910993811008435,0.0358461078645745,0.0,0.0,-0.5269739748807449,-0.5269739748807449
ETS2+TGFBR2,ETS2+TGFBR2,2,2,0,,120,0.4508042249090815,0.6759222752695263,0.030162314920523067,0.0,0.0,-1.3582396374854824,-1.3582396374854824
FEV+ISL2,FEV+ISL2,2,2,0,,120,0.7222813517352655,1.6283208153122777,0.0711081009982789,0.0,0.0,-0.42941622132420637,-0.42941622132420637
FEV+MAP7D1,FEV+MAP7D1,2,2,0,,120,0.6912859356688195,1.2907711122182997,0.05507877346099532,0.0,0.0,-0.535462975880472,-0.535462975880472
FOSB+IKZF3,FOSB+IKZF3,2,2,0,,120,0.9666017020946293,1.372845962587254,0.04407501362129154,0.0,0.0,0.40649384267097727,0.40649384267097727
FOSB+OSR2,FOSB+OSR2,2,2,0,,120,0.8906251683007183,1.656805849335976,0.06555644687209848,0.0,0.0,0.14655008795555538,0.14655008795555538
FOSB+PTPN12,FOSB+PTPN12,2,2,0,,120,0.6080921519645447,0.6880586309157519,0.033852650284020805,0.0,0.0,-0.8200996054447048,-0.8200996054447048
FOSB+UBASH3B,FOSB+UBASH3B,2,2,0,,120,0.5498266772356797,0.7633323604806705,0.03083590477907783,0.0,0.0,-1.0194472923552589,-1.0194472923552589
FOXA1+FOXA3,FOXA1+FOXA3,2,2,0,,120,0.8162196163334043,1.63940695214211,0.06450330006233665,0.0,0.0,-0.10801875829532598,-0.10801875829532598
FOXA1+FOXF1,FOXA1+FOXF1,2,2,0,,120,0.6273812587076292,1.4887227074021194,0.07159659489093328,0.0,0.0,-0.7541044542904706,-0.7541044542904706
FOXA1+FOXL2,FOXA1+FOXL2,2,2,0,,120,0.8325121373749692,1.5275605091076732,0.05896897770691445,0.0,0.0,-0.052276032458262255,-0.052276032458262255
FOXA1+HOXB9,FOXA1+HOXB9,2,2,0,,120,0.7766093232888355,1.6405307360591774,0.06896325420788688,0.0,0.0,-0.24354018557329138,-0.24354018557329138
FOXA1+KLF1,FOXA1+KLF1,2,2,0,,120,0.5880608108053895,0.9990785249851395,0.04623339710960804,0.0,0.0,-0.8886342143941022,-0.8886342143941022
FOXA3+FOXF1,FOXA3+FOXF1,2,2,0,,120,0.727581417220297,1.425647226738969,0.05887340597775323,0.0,0.0,-0.4112827417665076,-0.4112827417665076
FOXA3+FOXL2,FOXA3+FOXL2,2,2,0,,120,0.9799641061508069,1.9652704787276092,0.08122583057656045,0.0,0.0,0.45221155719332323,0.45221155719332323
FOXA3+HOXB9,FOXA3+HOXB9,2,2,0,,120,0.9123891275045282,2.06332774703207,0.08368307676633156,0.0,0.0,0.22101262250941542,0.22101262250941542
FOXF1+FOXL2,FOXF1+FOXL2,2,2,0,,120,0.7795961884604631,1.7614851474321733,0.07622168647391993,0.0,0.0,-0.2333210177754071,-0.2333210177754071
FOXF1+HOXB9,FOXF1+HOXB9,2,2,0,,120,0.7368420453937116,1.895636334813102,0.08659525480428183,0.0,0.0,-0.3795987159467653,-0.3795987159467653
FOXL2+HOXB9,FOXL2+HOXB9,2,2,0,,96,0.978178330952371,2.231918478617339,0.08943445484018718,0.0,0.0,0.44610176135269863,0.44610176135269863
FOXL2+MEIS1,FOXL2+MEIS1,2,2,0,,120,0.817874084948766,1.656812015548586,0.06475944007994826,0.0,0.0,-0.10235821072280162,-0.10235821072280162
FOXL2+POU3F2,FOXL2+POU3F2,2,2,0,,120,0.8826257185851764,1.7575423916137236,0.07000209736170292,0.0,0.0,0.11918101896965459,0.11918101896965459
FOXL2+ZNF318,FOXL2+ZNF318,2,2,0,,120,0.7431864365933525,1.1852392070504951,0.04497646612514276,0.0,0.0,-0.35789221280078587,-0.35789221280078587
HOXC13+ZC3HAV1,HOXC13+ZC3HAV1,2,2,0,,120,0.8445403879578658,1.32593775429612,0.04510051151923733,0.0,0.0,-0.011122949222624037,-0.011122949222624037
IER5L+LYL1,IER5L+LYL1,2,2,0,,120,0.8239977779795988,1.3625281806790608,0.04900196717793354,0.0,0.0,-0.0814067974419957,-0.0814067974419957
IGDCC3+MAPK1,IGDCC3+MAPK1,2,2,0,,120,0.835290239613896,0.954863720485219,0.04064425849325235,0.0,0.0,-0.042771119679155783,-0.042771119679155783
IGDCC3+PRTG,IGDCC3+PRTG,2,2,0,,120,1.0156900423695185,1.1322167048128442,0.02653077111922829,0.0,0.0,0.5744431665821667,0.5744431665821667
IGDCC3+TGFBR2,IGDCC3+TGFBR2,2,2,0,,120,0.6206452010730711,0.9658779162648077,0.035309050460592135,0.0,0.0,-0.7771509928211194,-0.7771509928211194
IGDCC3+ZBTB25,IGDCC3+ZBTB25,2,2,0,,120,0.8612293364212806,1.4993382055576432,0.051907145298236666,0.0,0.0,0.04597610109203905,0.04597610109203905
IKZF3+MAP2K3,IKZF3+MAP2K3,2,2,0,,120,0.6906709585829667,1.0510044961306435,0.041486779008156435,0.0,0.0,-0.537567039395585,-0.537567039395585
IKZF3+MAP2K6,IKZF3+MAP2K6,2,2,0,,120,0.7219392608062576,1.1398325214652165,0.04376136164067034,0.0,0.0,-0.4305866406115829,-0.4305866406115829
IKZF3+MAPK1,IKZF3+MAPK1,2,2,0,,120,1.0683128295200506,1.499060525380951,0.04762469715356106,0.0,0.0,0.7544851373386166,0.7544851373386166
IRF1+SET,IRF1+SET,2,2,0,,120,0.9930617465981182,1.867526391386082,0.07436951167801802,0.0,0.0,0.49702341772149516,0.49702341772149516
KIF18B+KIF2C,KIF18B+KIF2C,2,2,0,,96,0.5616553248175846,0.7150006434117246,0.03345132801623249,0.0,0.0,-0.9789771246323363,-0.9789771246323363
KLF1+MAP2K6,KLF1+MAP2K6,2,2,0,,120,0.7039016706026091,0.9474137078212876,0.03723748691347547,0.0,0.0,-0.49229989191984763,-0.49229989191984763
KLF1+SET,KLF1+SET,2,2,0,,120,0.7606448654159356,1.164267276627252,0.046632473324753815,0.0,0.0,-0.29816048626685054,-0.29816048626685054
KLF1+TGFBR2,KLF1+TGFBR2,2,2,0,,120,0.6042993909310916,0.7822827623556893,0.0275237515963318,0.0,0.0,-0.8330760403324615,-0.8330760403324615
MAP2K3+MAP2K6,MAP2K3+MAP2K6,2,2,0,,120,0.6352424271429431,0.7771875405895723,0.0295981294069885,0.0,0.0,-0.7272084965850452,-0.7272084965850452
MAP2K3+SLC38A2,MAP2K3+SLC38A2,2,2,0,,120,0.558943837474843,0.8827096810772079,0.03452551462684255,0.0,0.0,-0.9882541232730941,-0.9882541232730941
MAP2K6+SPI1,MAP2K6+SPI1,2,2,0,,120,0.9103496167412498,0.7819417861674792,0.03384224264587177,0.0,0.0,0.2140347036821738,0.2140347036821738
MAPK1+PRTG,MAPK1+PRTG,2,2,0,,120,0.8486056159777075,0.958909524702696,0.03364026847416168,0.0,0.0,0.0027856957560795097,0.0027856957560795097
MAPK1+TGFBR2,MAPK1+TGFBR2,2,2,0,,120,0.6185353054315554,0.8961156876703943,0.035983350743874015,0.0,0.0,-0.7843697242862976,-0.7843697242862976
OSR2+PTPN12,OSR2+PTPN12,2,2,0,,120,0.6208233215344094,0.6797470670113142,0.03469249287956827,0.0,0.0,-0.7765415770028415,-0.7765415770028415
OSR2+UBASH3B,OSR2+UBASH3B,2,2,0,,120,0.572546683767614,0.6735793854213205,0.029262099869506685,0.0,0.0,-0.9417137671448309,-0.9417137671448309
PLK4+STIL,PLK4+STIL,2,2,0,,81,0.6046271101838506,1.089303654933199,0.049981791309155955,0.0,0.0,-0.8319547918521639,-0.8319547918521639
PRTG+TGFBR2,PRTG+TGFBR2,2,2,0,,120,0.6590197998575552,1.117957554331055,0.04272199906328352,0.0,0.0,-0.6458573315336112,-0.6458573315336112
PTPN12+PTPN9,PTPN12+PTPN9,2,2,0,,120,0.733780609073299,1.2938611557271074,0.05256222691199967,0.0,0.0,-0.39007301915871284,-0.39007301915871284
PTPN12+SAMD1,PTPN12+SAMD1,2,2,0,,120,0.8086548939298064,1.2953035298698625,0.0475089245288369,0.0,0.0,-0.13390046474833497,-0.13390046474833497
PTPN12+SNAI1,PTPN12+SNAI1,2,2,0,,120,0.704326574496394,1.0265608674304487,0.04366405467845007,0.0,0.0,-0.49084613892496565,-0.49084613892496565
PTPN12+UBASH3A,PTPN12+UBASH3A,2,2,0,,120,0.606196814056793,1.3449227841131015,0.060351665709691915,0.0,0.0,-0.826584255738595,-0.826584255738595
PTPN12+UBASH3B,PTPN12+UBASH3B,2,2,0,,120,0.6657950436249122,1.29269330153177,0.050872951537452825,0.0,0.0,-0.6226767227843849,-0.6226767227843849
PTPN12+ZBTB10,PTPN12+ZBTB10,2,2,0,,120,1.0934905438551275,1.7588153692394182,0.05916441395699012,0.0,0.0,0.8406273877493178,0.8406273877493178
PTPN12+ZBTB25,PTPN12+ZBTB25,2,2,0,,120,0.7717405646413787,1.3280395096448243,0.04604709084072849,0.0,0.0,-0.2601980053029473,-0.2601980053029473
PTPN9+UBASH3B,PTPN9+UBASH3B,2,2,0,,120,0.6171471330848001,1.4271482982501842,0.06423216901968945,0.0,0.0,-0.7891191740701812,-0.7891191740701812
RHOXF2+SET,RHOXF2+SET,2,2,0,,120,1.1728035802258254,1.850766405815308,0.05882650118747331,0.0,0.0,1.1119865488292926,1.1119865488292926
RHOXF2+ZBTB25,RHOXF2+ZBTB25,2,2,0,,120,0.9450186620539232,1.5265126582325235,0.05076929961874743,0.0,0.0,0.332650299326755,0.332650299326755
S1PR2+SGK1,S1PR2+SGK1,2,2,0,,120,0.8491883849704225,1.5459766951252514,0.061183381476384816,0.0,0.0,0.004779563500941155,0.004779563500941155
SAMD1+TGFBR2,SAMD1+TGFBR2,2,2,0,,72,0.6012377801483899,1.1672777714715246,0.050891955687101455,0.0,0.0,-0.8435509404442706,-0.8435509404442706
SAMD1+UBASH3B,SAMD1+UBASH3B,2,2,0,,120,0.7241489094112333,1.2383856742859476,0.04507434547468828,0.0,0.0,-0.4230266174531545,-0.4230266174531545
SAMD1+ZBTB1,SAMD1+ZBTB1,2,2,0,,120,0.8870662492353845,1.642566391016726,0.05625541398295103,0.0,0.0,0.13437371272000462,0.13437371272000462
SGK1+TBX2,SGK1+TBX2,2,2,0,,120,0.7463088321553947,1.075472555556286,0.03860980149672588,0.0,0.0,-0.3472093455314572,-0.3472093455314572
SGK1+TBX3,SGK1+TBX3,2,2,0,,120,1.772272873786801,3.8960419568377898,0.13854242341299663,0.0,0.0,3.16299218469485,3.16299218469485
SNAI1+UBASH3B,SNAI1+UBASH3B,2,2,0,,120,0.638325882585872,0.9603886345847389,0.03779650746199475,0.0,0.0,-0.7166588578307055,-0.7166588578307055
SNAI1+ZBTB10,SNAI1+ZBTB10,2,2,0,,100,1.3444581137607052,2.643336823299645,0.0979882411662481,0.0,0.0,1.6992800423968681,1.6992800423968681
TBX2+TBX3,TBX2+TBX3,2,2,0,,120,1.7714703622575094,3.0203683420328966,0.08657962697546645,0.0,0.0,3.1602464966552732,3.1602464966552732
UBASH3A+UBASH3B,UBASH3A+UBASH3B,2,2,0,,120,0.4941058071634786,1.0256313327754198,0.044963254390446655,0.0,0.0,-1.2100889478678316,-1.2100889478678316
UBASH3B+ZBTB25,UBASH3B+ZBTB25,2,2,0,,120,0.6611854885539461,1.1679807868186947,0.04561911273680365,0.0,0.0,-0.6384477114420757,-0.6384477114420757
