perturbation,rna_n_cells,protein_n_cells,rna_l2,protein_l2,protein_abs_mean,risk_rna_magnitude,risk_low_cell_support
PDCD1LG2g4,120,120,3.161388265539245,37.951992506979835,17.81875228881836,-0.48063096893424656,-0.5075214216149038
POU2F2g1,120,120,2.942410494241748,24.87048769000432,8.618751525878906,-0.6382613119247287,-0.5075214216149038
POU2F2g2,100,100,2.52536937370851,14.753818298740779,6.413333892822266,-0.9384668281343131,-0.1302772588977585
POU2F2g3,120,120,4.2113604905923,70.05699269791637,28.931251525878906,0.27518767414043865,-0.5075214216149038
POU2F2g4,41,41,3.697404865902142,45.90987880690423,16.37103843688965,-0.09478139131201996,1.7018651934614586
SMAD4g1,120,120,2.8628001240578187,25.774145819012837,10.660416603088379,-0.6955685439937013,-0.5075214216149038
SMAD4g2,120,120,3.0722774223336895,33.95908917599694,13.272918701171875,-0.5447770815530453,-0.5075214216149038
SMAD4g3,62,62,3.819302747931619,24.118181512239453,10.988978385925293,-0.00703364942814139,0.855242506384257
SMAD4g4,95,95,3.2811399068326,31.59587431386984,13.307456016540527,-0.3944281905476691,-0.024263198310974482
SPI1g3,17,17,6.680846796326493,29.693977248005986,11.653676986694336,2.052838305419967,3.4710472438301827
STAT1g1,50,50,7.02350465741836,135.21560224429714,47.361663818359375,2.2994993059966657,1.2964619087616736
STAT1g2,99,99,7.905718302473971,115.6116469192185,39.45353698730469,2.934557552489053,-0.10950068484550027
STAT1g3,120,120,5.5352146906952395,94.69157629702836,32.57500076293945,1.2281592492694535,-0.5075214216149038
STAT1g4,16,16,4.909666450992014,71.0212182345955,26.32604217529297,0.777860650479034,3.590395638911662
STAT2g1,120,120,3.2948506193294747,26.198035180169942,10.32500171661377,-0.38455858460218684,-0.5075214216149038
STAT2g2,120,120,3.4667867777582204,27.006016067928496,10.731252670288086,-0.26079097355654973,-0.5075214216149038
STAT2g3,95,95,4.08252451365491,39.00783410903561,14.917546272277832,0.18244557016421284,-0.024263198310974482
STAT2g4,68,68,3.6071706881138987,58.12197556273911,21.614948272705078,-0.15973613219711702,0.6652908440277073
STAT3g1,120,120,1.908188178650443,31.727960481651234,12.0,-1.3827424406215192,-0.5075214216149038
STAT3g2,71,71,4.278789122408618,22.38208983152379,9.456457138061523,0.32372592666537264,0.5764251576846096
STAT3g3,120,120,2.7162321247875116,22.475570318340854,9.947916030883789,-0.8010749790054058,-0.5075214216149038
STAT3g4,75,75,3.0263878770814814,41.85397414332826,17.343332290649414,-0.577810501862888,0.4635312606777494
STAT5Ag1,103,103,3.6820005047031867,55.18844842720941,21.84158706665039,-0.10587016404430674,-0.19139465030616487
STAT5Ag2,120,120,3.567484764550519,41.74033332391454,14.71875,-0.18830389825904645,-0.5075214216149038
STAT5Ag3,120,120,2.950871182197347,53.44955688727489,19.306251525878906,-0.6321709168290339,-0.5075214216149038
STAT5Ag4,120,120,1.9763357910799064,22.12510782008433,7.879167556762695,-1.3336866325475354,-0.5075214216149038
TNFRSF14g1,120,120,3.332667059208561,13.559037127418504,4.227086067199707,-0.35733655949206344,-0.5075214216149038
TNFRSF14g2,120,120,2.350443355261933,32.14925963909132,12.547918319702148,-1.064386678913288,-0.5075214216149038
TNFRSF14g3,120,120,2.590688654820481,26.666788333615624,10.785417556762695,-0.8914469839530356,-0.5075214216149038
TNFRSF14g4,32,32,7.080076708629062,16.39458955437884,7.515105247497559,2.3402224889169223,2.205418432644033
UBE2L6g1,120,120,1.9843136921559965,70.09825752718044,27.414583206176758,-1.3279437698107521,-0.5075214216149038
UBE2L6g2,120,120,3.702917308064786,20.00457928896951,6.585418701171875,-0.09081328010299575,-0.5075214216149038
UBE2L6g3,40,40,3.0629051711089508,63.09171179082595,25.53125,-0.5515236621141445,1.752181567082449
UBE2L6g4,100,100,3.000065356313907,38.05276866879306,13.214165687561035,-0.5967586715898042,-0.1302772588977585
