condition,split,n_graphs,n_graphs_expected_from_dev_h5ad,graph_count_delta,n_genes,max_abs_x_minus_train_control,n_bad_x_shape,n_nonfinite_x,n_bad_pca10_shape,n_nonfinite_pca10,n_bad_rank_label,rank_label_rule,n_bad_condition_label,n_bad_pert_idx
PTPN12+SNAI1,train,283,283,0,2044,0.0,0,0,0,0,0,finite_train,0,0
PTPN12+ZBTB10,val,265,265,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
PTPN12+ctrl,train,445,445,0,2044,0.0,0,0,0,0,0,finite_train,0,0
PTPN13+ctrl,train,270,270,0,2044,0.0,0,0,0,0,0,finite_train,0,0
RREB1+ctrl,val,331,331,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
S1PR2+SGK1,train,358,358,0,2044,0.0,0,0,0,0,0,finite_train,0,0
S1PR2+ctrl,train,541,541,0,2044,0.0,0,0,0,0,0,finite_train,0,0
SAMD1+ctrl,train,498,498,0,2044,0.0,0,0,0,0,0,finite_train,0,0
SGK1+TBX3,train,300,300,0,2044,0.0,0,0,0,0,0,finite_train,0,0
SGK1+ctrl,val,483,483,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
SLC38A2+ctrl,train,332,332,0,2044,0.0,0,0,0,0,0,finite_train,0,0
SLC4A1+ctrl,val,1000,1000,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
SLC6A9+ctrl,train,558,558,0,2044,0.0,0,0,0,0,0,finite_train,0,0
SNAI1+ZBTB10,train,100,100,0,2044,0.0,0,0,0,0,0,finite_train,0,0
SNAI1+ctrl,train,467,467,0,2044,0.0,0,0,0,0,0,finite_train,0,0
SPI1+ctrl,val,613,613,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
STIL+ctrl,train,309,309,0,2044,0.0,0,0,0,0,0,finite_train,0,0
TBX3+ctrl,train,691,691,0,2044,0.0,0,0,0,0,0,finite_train,0,0
TP73+ctrl,train,248,248,0,2044,0.0,0,0,0,0,0,finite_train,0,0
TSC22D1+ctrl,train,441,441,0,2044,0.0,0,0,0,0,0,finite_train,0,0
ZBTB10+ctrl,train,162,162,0,2044,0.0,0,0,0,0,0,finite_train,0,0
ZC3HAV1+ctrl,train,516,516,0,2044,0.0,0,0,0,0,0,finite_train,0,0
ctrl,train,11855,11855,0,2044,0.0,0,0,0,0,0,finite_train,0,0
