raw_gene,scgpt_token
EIF3G,EIF3G
CARHSP1,CARHSP1
TIMM13,TIMM13
PSMB5,PSMB5
SEPTIN7,SEPTIN7
ANP32A,ANP32A
BCLAF1,BCLAF1
ARL6IP4,ARL6IP4
MAZ,MAZ
ATP6V1G1,ATP6V1G1
BZW1,BZW1
COX6B1,COX6B1
YBX3,YBX3
EIF3I,EIF3I
NHP2,NHP2
CLTA,CLTA
NEAT1,NEAT1
PCBP1,PCBP1
ID3,ID3
IDH2,IDH2
SF3B2,SF3B2
PSMC5,PSMC5
SEPTIN6,SEPTIN6
RNASEH2B,RNASEH2B
TUBA1C,TUBA1C
LSM5,LSM5
STOML2,STOML2
CORO1A,CORO1A
TLE5,TLE5
RBX1,RBX1
SH3BGRL3,SH3BGRL3
