group_role,group,n_cells,pca_coordinate,mean,sample_variance_ddof1
singleton,GFI1+ctrl,74,1,-0.55566533838079091,29.794929990054442
singleton,GFI1+ctrl,74,2,1.2381594925289139,8.9829016530920658
singleton,GFI1+ctrl,74,3,2.3841399309828617,8.2603534193132386
singleton,GFI1+ctrl,74,4,-0.54763793236173974,3.8462822422720149
singleton,GFI1+ctrl,74,5,2.6068854070755174,4.1803009898438512
singleton,GFI1+ctrl,74,6,1.3286669914359204,3.1939494152130639
singleton,GFI1+ctrl,74,7,-0.71329833875149595,1.1649529982166296
singleton,GFI1+ctrl,74,8,0.10451534951498202,2.1517815960479503
singleton,GFI1+ctrl,74,9,0.23350795206408292,1.9215960006625903
singleton,GFI1+ctrl,74,10,0.021939778312889104,0.87855842807552342
singleton,GSE1+ctrl,92,1,1.209164071637097,30.664732297940905
singleton,GSE1+ctrl,92,2,0.34135451200386685,7.4865650667637391
singleton,GSE1+ctrl,92,3,1.662539096572959,5.4940448445607997
singleton,GSE1+ctrl,92,4,-0.65299388410791548,4.2531878862567529
singleton,GSE1+ctrl,92,5,1.8583278115527193,4.4459220713282255
singleton,GSE1+ctrl,92,6,0.96773520914429778,2.8911499473327558
singleton,GSE1+ctrl,92,7,-0.26101625101637138,1.5617716954584784
singleton,GSE1+ctrl,92,8,0.060561954857665669,2.5527557102529781
singleton,GSE1+ctrl,92,9,-0.18310466513877904,1.6982384243651425
singleton,GSE1+ctrl,92,10,-0.25674245171554777,1.4825347272680289
singleton,HDAC3+ctrl,96,1,2.4054049327284326,30.499650767284837
singleton,HDAC3+ctrl,96,2,-0.27499976120543657,7.6905365562024119
singleton,HDAC3+ctrl,96,3,0.70932564011941679,6.1387576745388346
singleton,HDAC3+ctrl,96,4,-0.57080798908985042,6.3883974785825046
singleton,HDAC3+ctrl,96,5,-0.089170537351313708,4.1779963036171157
singleton,HDAC3+ctrl,96,6,-0.48625776068130416,2.5921104120983878
singleton,HDAC3+ctrl,96,7,0.65741061526074007,1.4811558666901776
singleton,HDAC3+ctrl,96,8,-0.08155218060308804,3.2026126511170454
singleton,HDAC3+ctrl,96,9,0.32904497723835818,2.5632427210759103
singleton,HDAC3+ctrl,96,10,-0.023401139833328949,1.5408754514389167
singleton,IKZF1+ctrl,45,1,1.7259330022971804,36.047448202852543
singleton,IKZF1+ctrl,45,2,-0.45538542530771386,9.8001514248072716
singleton,IKZF1+ctrl,45,3,-0.31733632684129087,5.5592062222916141
singleton,IKZF1+ctrl,45,4,0.18986316129288811,5.3987357635485367
singleton,IKZF1+ctrl,45,5,0.0075499016633269684,3.3738857082150768
singleton,IKZF1+ctrl,45,6,-0.79853422743966129,1.6240727542557905
singleton,IKZF1+ctrl,45,7,-0.097747425098552887,1.0488468716434156
singleton,IKZF1+ctrl,45,8,-0.12197122497209677,1.93683928299793
singleton,IKZF1+ctrl,45,9,-0.60741887716873855,2.6750290983922658
singleton,IKZF1+ctrl,45,10,-0.35127743307539816,1.3431179802136519
singleton,INTS1+ctrl,290,1,3.3142134666624372,21.357582117609581
singleton,INTS1+ctrl,290,2,-1.4705009171374626,7.133020452376746
singleton,INTS1+ctrl,290,3,-0.088554459730464719,3.9792509274391912
singleton,INTS1+ctrl,290,4,-0.99228642765043751,5.3558012169887421
singleton,INTS1+ctrl,290,5,0.11611547986491247,3.7501180776034082
singleton,INTS1+ctrl,290,6,-0.4087034908530176,2.5200240646766909
singleton,INTS1+ctrl,290,7,0.71483068892059565,1.8553530631334783
singleton,INTS1+ctrl,290,8,-0.66220190004175539,3.0361325462459479
singleton,INTS1+ctrl,290,9,0.3118563109548701,2.820126897619494
singleton,INTS1+ctrl,290,10,0.12420910902538981,1.7000190761330471
singleton,KDM1A+ctrl,39,1,-0.19516404348277464,34.833150918398623
singleton,KDM1A+ctrl,39,2,1.2780788020911662,9.8772933886003713
singleton,KDM1A+ctrl,39,3,3.7874209668703602,7.2492173429570217
singleton,KDM1A+ctrl,39,4,0.50833457194429144,3.4107260062616263
singleton,KDM1A+ctrl,39,5,1.8996245911708713,3.9325287393760378
singleton,KDM1A+ctrl,39,6,0.84447189409999035,2.5080559947618268
singleton,KDM1A+ctrl,39,7,-0.47044858820422619,1.1092328972286947
singleton,KDM1A+ctrl,39,8,0.13968295864743394,1.6031826664127193
singleton,KDM1A+ctrl,39,9,0.2255880271629794,2.0812386037744566
singleton,KDM1A+ctrl,39,10,0.45866990289139042,1.1669742960428624
singleton,MED13L+ctrl,27,1,-0.25304736800397881,36.165685713721011
singleton,MED13L+ctrl,27,2,-0.24342162015196914,5.5165423559770419
singleton,MED13L+ctrl,27,3,-0.30232456687087322,4.4325182494545619
singleton,MED13L+ctrl,27,4,-0.017527566081590736,5.1292892002465242
singleton,MED13L+ctrl,27,5,-0.8038051311248553,13.252962978116939
singleton,MED13L+ctrl,27,6,-0.67634006263129198,2.9654564402474555
singleton,MED13L+ctrl,27,7,0.24555830460028072,0.89700015930680577
singleton,MED13L+ctrl,27,8,-1.2072543372297726,6.1166940935427823
singleton,MED13L+ctrl,27,9,0.59676003311719017,7.4146939919212196
singleton,MED13L+ctrl,27,10,-0.27619917920895704,1.7798334415278285
singleton,MED14+ctrl,49,1,-2.5765077174438242,36.703922473006195
singleton,MED14+ctrl,49,2,0.95651332155655322,6.2491034282815043
singleton,MED14+ctrl,49,3,0.20200614493867031,5.4939269778861402
singleton,MED14+ctrl,49,4,1.8411108781243837,5.3268365244174687
singleton,MED14+ctrl,49,5,-0.74708946698813172,3.2382240663779673
singleton,MED14+ctrl,49,6,-0.64848068488920552,1.4351222709500429
singleton,MED14+ctrl,49,7,0.8549717148773035,3.3024590000850407
singleton,MED14+ctrl,49,8,0.2919561704993367,1.1717113458085089
singleton,MED14+ctrl,49,9,-0.18912834219516914,1.1732592995200706
singleton,MED14+ctrl,49,10,0.91871187743256388,2.0602082763566369
singleton,MED16+ctrl,51,1,0.6579049396988621,29.956994973946916
singleton,MED16+ctrl,51,2,1.3127696285262658,6.7763739179968061
singleton,MED16+ctrl,51,3,-0.84285493124107524,6.8962563818040152
singleton,MED16+ctrl,51,4,-0.48438991897607891,4.0847218733720352
singleton,MED16+ctrl,51,5,-0.64381647932997554,3.0496585046966036
singleton,MED16+ctrl,51,6,-1.2306373643946242,3.7835895587615171
singleton,MED16+ctrl,51,7,0.4955857512288992,1.2521313216371543
singleton,MED16+ctrl,51,8,-0.41801073356901192,3.0672275615856783
singleton,MED16+ctrl,51,9,-0.50256335721501422,1.8332297276859839
singleton,MED16+ctrl,51,10,-0.070232661910415467,1.4505543196387589
singleton,MED19+ctrl,48,1,-0.58760599180967443,36.398426047067815
singleton,MED19+ctrl,48,2,0.36147938426560539,7.3920734826145225
singleton,MED19+ctrl,48,3,-0.44465557240916603,3.5993586176009535
singleton,MED19+ctrl,48,4,1.330386748740443,7.6663043875302881
singleton,MED19+ctrl,48,5,-0.54477122934629174,3.5334246351272851
singleton,MED19+ctrl,48,6,-1.1487868059029145,2.9595183563572358
singleton,MED19+ctrl,48,7,0.42631148320800466,2.8728984307111367
singleton,MED19+ctrl,48,8,0.11931207054267094,3.6684996315470344
singleton,MED19+ctrl,48,9,-0.090249272310655049,1.8346422698480498
singleton,MED19+ctrl,48,10,0.27812291058709304,1.4600699606184091
singleton,MED22+ctrl,49,1,-4.7648114869634739,15.723694210481549
singleton,MED22+ctrl,49,2,0.70185441890515043,2.7683493990121839
singleton,MED22+ctrl,49,3,-1.0019011796290362,2.3115563518839797
singleton,MED22+ctrl,49,4,0.9788302757529127,3.3867964902130159
singleton,MED22+ctrl,49,5,-0.57548939821318723,3.5262583170073789
singleton,MED22+ctrl,49,6,-1.1986907893020096,2.7615555821025608
singleton,MED22+ctrl,49,7,0.86190879201692816,1.538865052891176
singleton,MED22+ctrl,49,8,-0.085865127531796773,1.9363141537925168
singleton,MED22+ctrl,49,9,-0.48471834016425525,2.0625505513230489
singleton,MED22+ctrl,49,10,0.64666828323561198,1.7139570884677762
singleton,MED24+ctrl,110,1,-2.4456867480510467,32.482916682525961
singleton,MED24+ctrl,110,2,1.3253842707084551,6.318100366404594
singleton,MED24+ctrl,110,3,-0.29345636192786123,4.2852842320109161
singleton,MED24+ctrl,110,4,1.4596561071484941,4.2493783704327859
singleton,MED24+ctrl,110,5,-0.64698399620618985,3.7652317665395643
singleton,MED24+ctrl,110,6,-1.2974707404173014,2.3505581527241
singleton,MED24+ctrl,110,7,0.76976367680131619,1.6881961920005231
singleton,MED24+ctrl,110,8,-0.23256532444060224,1.59806467199086
singleton,MED24+ctrl,110,9,-0.46513154816998542,1.5896762452142086
singleton,MED24+ctrl,110,10,0.36868106585504673,1.2250575030809747
singleton,MYB+ctrl,15,1,-1.4593218042213723,43.581229675495649
singleton,MYB+ctrl,15,2,0.0047908480528164729,3.4718296342181274
singleton,MYB+ctrl,15,3,-0.52162892247483161,5.1790414219600587
singleton,MYB+ctrl,15,4,1.1586890941001105,3.5290208794944755
singleton,MYB+ctrl,15,5,-1.10393556215138,5.7544148245988724
singleton,MYB+ctrl,15,6,1.5940255817273534,6.6337975321825891
singleton,MYB+ctrl,15,7,0.10570373460793207,1.4202474472719673
singleton,MYB+ctrl,15,8,-0.11131130275477534,2.6888773876707397
singleton,MYB+ctrl,15,9,0.99222184386936119,1.7883091861236231
singleton,MYB+ctrl,15,10,-0.94742687965847761,4.3462648913683948
singleton,RCOR1+ctrl,61,1,1.4235814136972538,27.202449357475764
singleton,RCOR1+ctrl,61,2,-1.0468945446297091,9.1045976655301963
singleton,RCOR1+ctrl,61,3,-0.55293204903753168,5.052822517115132
singleton,RCOR1+ctrl,61,4,-0.27054321292811867,6.3836752303997804
singleton,RCOR1+ctrl,61,5,0.57520216997041385,3.3334218157220308
singleton,RCOR1+ctrl,61,6,-0.40954242730288226,2.9652379907930526
singleton,RCOR1+ctrl,61,7,-0.47028407915476494,1.5644470416876801
singleton,RCOR1+ctrl,61,8,-0.43442691810553746,2.868522036585738
singleton,RCOR1+ctrl,61,9,0.048575507496815412,2.2361138804477756
singleton,RCOR1+ctrl,61,10,-0.081451990015049019,1.6519818123154837
singleton,RING1+ctrl,83,1,3.9500458264311611,31.709060795132782
singleton,RING1+ctrl,83,2,-0.57978608700746148,9.8066314388512588
singleton,RING1+ctrl,83,3,-0.39904316104057735,5.8961741599979298
singleton,RING1+ctrl,83,4,0.28563926248968979,8.1798228110822357
singleton,RING1+ctrl,83,5,-0.083016899737970037,5.3359526076227919
singleton,RING1+ctrl,83,6,-0.026208256303571143,2.8636037801705032
singleton,RING1+ctrl,83,7,-0.32604439453101963,1.460024435521085
singleton,RING1+ctrl,83,8,-0.0278707204414534,2.4308435628680489
singleton,RING1+ctrl,83,9,-0.092998868713732266,2.473747701469478
singleton,RING1+ctrl,83,10,-0.046728716723886683,1.7317048819307195
singleton,SMARCA5+ctrl,78,1,0.51309129984091073,36.09182570588311
singleton,SMARCA5+ctrl,78,2,-0.16125381990419835,12.695589598106064
singleton,SMARCA5+ctrl,78,3,-2.1468073634758085,7.8399957761817882
singleton,SMARCA5+ctrl,78,4,-0.88995094500654037,4.1867001019156662
singleton,SMARCA5+ctrl,78,5,0.057905754740897923,3.9640752691208405
singleton,SMARCA5+ctrl,78,6,-0.45982079378500162,2.2211883031531179
singleton,SMARCA5+ctrl,78,7,-0.65741496634680352,1.5049314794310329
singleton,SMARCA5+ctrl,78,8,-0.10507579468257709,2.7797588818352219
singleton,SMARCA5+ctrl,78,9,-0.39626940341628619,1.3524778320426318
singleton,SMARCA5+ctrl,78,10,-0.034069546072051364,1.3695101640770584
singleton,SMARCD1+ctrl,76,1,0.33940016182955624,31.844560530819969
singleton,SMARCD1+ctrl,76,2,0.27285374863415474,8.5194899272417555
singleton,SMARCD1+ctrl,76,3,-0.98188157066168569,6.1591219155179067
singleton,SMARCD1+ctrl,76,4,0.34930713854166451,5.310627668467462
singleton,SMARCD1+ctrl,76,5,-0.68336113005443411,3.2941838335357034
singleton,SMARCD1+ctrl,76,6,-0.85689859293496218,2.6503545172322971
singleton,SMARCD1+ctrl,76,7,-0.55211273975774788,1.562683000111702
singleton,SMARCD1+ctrl,76,8,-0.21283040837255643,2.1594921978174217
singleton,SMARCD1+ctrl,76,9,-0.99868798489389798,1.8926971589184931
singleton,SMARCD1+ctrl,76,10,0.36798927091657313,1.4527628847442424
singleton,SSRP1+ctrl,32,1,0.3034375244684257,30.746834426096598
singleton,SSRP1+ctrl,32,2,0.17592394572145409,6.3984632729004627
singleton,SSRP1+ctrl,32,3,-0.075350505066792917,6.6331284876371388
singleton,SSRP1+ctrl,32,4,0.56680924242969788,4.5470636616220519
singleton,SSRP1+ctrl,32,5,-0.41410515402786863,4.4804303741809468
singleton,SSRP1+ctrl,32,6,-0.70337842187746846,3.7168161578315608
singleton,SSRP1+ctrl,32,7,0.036047436142876615,1.5417388062909243
singleton,SSRP1+ctrl,32,8,-0.12913981022652216,2.3494552532671817
singleton,SSRP1+ctrl,32,9,0.25436083859707559,3.6955187590813572
singleton,SSRP1+ctrl,32,10,-0.50061852971637966,1.9361566046167418
singleton,SUPT16H+ctrl,138,1,-0.81857053215998887,25.20879863669531
singleton,SUPT16H+ctrl,138,2,0.15681769652119038,5.8089498086596718
singleton,SUPT16H+ctrl,138,3,-0.50838051459306122,4.5096308151124793
singleton,SUPT16H+ctrl,138,4,0.47832979252610036,3.1269448309671528
singleton,SUPT16H+ctrl,138,5,-0.21025902338935606,3.4455628840950632
singleton,SUPT16H+ctrl,138,6,-0.019767914912248458,4.4002467294659668
singleton,SUPT16H+ctrl,138,7,-0.067788094543411712,1.2012145528049165
singleton,SUPT16H+ctrl,138,8,-0.4114899785713011,2.5823079938912468
singleton,SUPT16H+ctrl,138,9,0.01187368207966563,2.6881006624487966
singleton,SUPT16H+ctrl,138,10,0.11967356414973335,2.2551575596792093
singleton,SUPT5H+ctrl,87,1,-1.8295350615209749,32.446813328013732
singleton,SUPT5H+ctrl,87,2,0.57376112308671867,6.7956626982183685
singleton,SUPT5H+ctrl,87,3,-0.96252795496783794,5.4965834013682002
singleton,SUPT5H+ctrl,87,4,0.4927383869286448,4.2319179893477612
singleton,SUPT5H+ctrl,87,5,-0.12716240725374225,3.5278904785939726
singleton,SUPT5H+ctrl,87,6,-0.138474008592752,3.4059270508991299
singleton,SUPT5H+ctrl,87,7,0.99165264323472035,1.6786132055376219
singleton,SUPT5H+ctrl,87,8,0.23241969970325416,2.3071194200881284
singleton,SUPT5H+ctrl,87,9,-0.045664797859607795,2.9676380387776495
singleton,SUPT5H+ctrl,87,10,0.65681129037426345,1.4253437626541432
singleton,SUPT6H+ctrl,33,1,-0.48326445495381071,29.626411957819045
singleton,SUPT6H+ctrl,33,2,-0.29488097925241374,8.2128989592106514
singleton,SUPT6H+ctrl,33,3,-1.2326861713033439,5.3056725118967529
singleton,SUPT6H+ctrl,33,4,0.81567356769586574,6.7964108044590308
singleton,SUPT6H+ctrl,33,5,-0.36387117665401236,3.3430100128327855
singleton,SUPT6H+ctrl,33,6,-0.38956129577757465,3.4841421147645999
singleton,SUPT6H+ctrl,33,7,0.17363039417976237,1.9999928016873221
singleton,SUPT6H+ctrl,33,8,0.22095350525001153,2.0263175179346984
singleton,SUPT6H+ctrl,33,9,-0.55894829484751696,1.5736163088069806
singleton,SUPT6H+ctrl,33,10,0.69015679205230329,0.83384604652030647
