test_index,condition,gene_a,gene_b,train_single_condition_a,train_single_condition_b,train_single_cells_a,train_single_cells_b,train_pair_degree_a,train_pair_degree_b,exact_train_pair_support,both_components_have_train_singletons,test_input_role,matching_effect_rms,additive_effect_rms,matching_se_pca10_raw,matching_se_gene_raw,hash_random_sha256,min_single_cell_count_confidence,min_train_pair_degree_confidence,matching_se_pca10_confidence,matching_se_gene_confidence,matching_magnitude_confidence,hash_random_confidence,constant_confidence,exact_pair_support_confidence,raw_orientation,analysis_orientation,direction_frozen_before_E163
10,FLI1+HDAC3,FLI1,HDAC3,FLI1+ctrl,HDAC3+ctrl,217,96,5,5,0,True,canonical_condition_string_only,0.073366341591741824,0.14673268318348365,0.19790412972976074,0.029267785835734205,a02667325155842f9f56d61a5e8768a08f4f08824cb28b975a2a1fbaf2f0fb1a,4.5747109785033828,1.791759469228055,-0.19790412972976074,-0.029267785835734205,-0.073366341591741824,0.62558598497829199,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
11,FLI1+IKZF1,FLI1,IKZF1,FLI1+ctrl,IKZF1+ctrl,217,45,5,2,0,True,canonical_condition_string_only,0.074845652219596048,0.1496913044391921,0.24522059210886119,0.035245803707088505,e55c4217d52c71d94d47eed643be1c1cc016e595ac4b951e45ca091f3b9b5e72,3.8286413964890951,1.0986122886681096,-0.24522059210886119,-0.035245803707088505,-0.074845652219596048,0.89593899804929023,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
12,FLI1+INTS1,FLI1,INTS1,FLI1+ctrl,INTS1+ctrl,217,290,5,5,0,True,canonical_condition_string_only,0.059430098532961669,0.11886019706592334,0.16284824794753683,0.024410054549698031,815a7da0b2cdb0b318bf94ddc3f11aa1b6f7c26645389465550873b645b43dd2,5.3844950627890888,1.791759469228055,-0.16284824794753683,-0.024410054549698031,-0.059430098532961669,0.50528702901174571,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
13,FLI1+MED24,FLI1,MED24,FLI1+ctrl,MED24+ctrl,217,110,5,7,0,True,canonical_condition_string_only,0.11674732096701836,0.23349464193403671,0.18825911256028538,0.028562766233164935,413f169ae35ab6d35913aee54e8eb1bcdf23bca144b5d3cd363c3d70469f9008,4.7095302013123339,1.791759469228055,-0.18825911256028538,-0.028562766233164935,-0.11674732096701836,0.25486890107581928,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
14,FLI1+RING1,FLI1,RING1,FLI1+ctrl,RING1+ctrl,217,83,5,3,0,True,canonical_condition_string_only,0.059910061943582622,0.11982012388716524,0.20870966410117958,0.030032086124411352,315dae08ff99b807a03d6e8e595cf42040c969cb5773acb436ccaaaf9b3b2ac3,4.4308167988433134,1.3862943611198906,-0.20870966410117958,-0.030032086124411352,-0.059910061943582622,0.19283569068611583,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
15,FLI1+SMARCD1,FLI1,SMARCD1,FLI1+ctrl,SMARCD1+ctrl,217,76,5,4,0,True,canonical_condition_string_only,0.087983169886660384,0.17596633977332077,0.20793690122501265,0.030899249200497803,ef056a06f120afb3ef573c1126e9ed45717bbce2b5ab1cf5e01c2d4c1413ffaa,4.3438054218536841,1.6094379124341003,-0.20793690122501265,-0.030899249200497803,-0.087983169886660384,0.93367636365394691,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
16,GATA2+GFI1,GATA2,GFI1,GATA2+ctrl,GFI1+ctrl,47,74,7,4,0,True,canonical_condition_string_only,0.10035714434999603,0.20071428869999206,0.25820613993234892,0.038611224378399929,d6d6efc7af85e881c45ffcfc1e5753b7188ecce7d6446ad37f5344a5d75a2a93,3.8712010109078907,1.6094379124341003,-0.25820613993234892,-0.038611224378399929,-0.10035714434999603,0.83921717286241171,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
17,GATA2+IKZF1,GATA2,IKZF1,GATA2+ctrl,IKZF1+ctrl,47,45,7,2,0,True,canonical_condition_string_only,0.060298264703029479,0.12059652940605896,0.28835428069227181,0.042442399025185922,27724d5b8347997ca54664415039aa467b90df3c1e47c9bb03cf3ce45ac1f01d,3.8286413964890951,1.0986122886681096,-0.28835428069227181,-0.042442399025185922,-0.060298264703029479,0.15408786281775946,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
18,GATA2+KDM1A,GATA2,KDM1A,GATA2+ctrl,KDM1A+ctrl,47,39,7,3,0,True,canonical_condition_string_only,0.10466573485782747,0.20933146971565494,0.29726289507994219,0.043956020965732957,5de1b1441042d4d9a168347b5c3b81cbb3f8f438dc4846261bafeb792d2fd87f,3.6888794541139363,1.3862943611198906,-0.29726289507994219,-0.043956020965732957,-0.10466573485782747,0.36672504340846085,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
19,GATA2+RCOR1,GATA2,RCOR1,GATA2+ctrl,RCOR1+ctrl,47,61,7,5,0,True,canonical_condition_string_only,0.059718290426277507,0.11943658085255501,0.26548184845030359,0.040354197101920633,3158c9be02a689547fd204b4f00a27bb68fde9633e5d6ea2ed47c24dc3b2ff23,3.8712010109078907,1.791759469228055,-0.26548184845030359,-0.040354197101920633,-0.059718290426277507,0.1927610482113328,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
20,GFI1+GSE1,GFI1,GSE1,GFI1+ctrl,GSE1+ctrl,74,92,4,6,0,True,canonical_condition_string_only,0.11745236205792883,0.23490472411585767,0.23151727719722509,0.033655510625189192,16f2833cc41db3884a222bdd364a2e830c86cbdba0feb002a0b011cc9bed4779,4.3174881135363101,1.6094379124341003,-0.23151727719722509,-0.033655510625189192,-0.11745236205792883,0.089637949309795684,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
21,GFI1+INTS1,GFI1,INTS1,GFI1+ctrl,INTS1+ctrl,74,290,4,5,0,True,canonical_condition_string_only,0.078438527365267741,0.15687705473053548,0.20302922418167946,0.029835935019067554,6e79cd6b39e446f56834c185c15e1b704598c4be3623dc14a9798d46d9d316c2,4.3174881135363101,1.6094379124341003,-0.20302922418167946,-0.029835935019067554,-0.078438527365267741,0.43154605739427254,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
22,GFI1+RCOR1,GFI1,RCOR1,GFI1+ctrl,RCOR1+ctrl,74,61,4,5,0,True,canonical_condition_string_only,0.088609755962971243,0.17721951192594249,0.24933285677881517,0.036928348501238967,f04d11dad8c059500f6ec793472ea7d4ad254953452f3ea61adff83407b572af,4.1271343850450917,1.6094379124341003,-0.24933285677881517,-0.036928348501238967,-0.088609755962971243,0.9386759909909882,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
23,GSE1+INTS1,GSE1,INTS1,GSE1+ctrl,INTS1+ctrl,92,290,6,5,0,True,canonical_condition_string_only,0.060292358727628469,0.12058471745525694,0.19095665267534526,0.028227788907684577,df94e7664ca8a136d1f8d503353c3f2be7cdd6d48c4b1a56c55e747d795d8025,4.5325994931532554,1.791759469228055,-0.19095665267534526,-0.028227788907684577,-0.060292358727628469,0.87336584327263944,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
24,GSE1+KDM1A,GSE1,KDM1A,GSE1+ctrl,KDM1A+ctrl,92,39,6,3,0,True,canonical_condition_string_only,0.12294196444486021,0.24588392888972041,0.27439946744365545,0.039673650280545564,fdee94d8b34e13ad04d1d5520271a87852f14959bced3f4690b93c708cf29d03,3.6888794541139363,1.3862943611198906,-0.27439946744365545,-0.039673650280545564,-0.12294196444486021,0.99192171373879767,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
25,GSE1+MED24,GSE1,MED24,GSE1+ctrl,MED24+ctrl,92,110,6,7,0,True,canonical_condition_string_only,0.1030088979314543,0.20601779586290861,0.21304080548893964,0.031887127785173663,0508f722b859984883f951c7ad1aa391b49b618b081d961de42c81584a61bdb9,4.5325994931532554,1.9459101490553132,-0.21304080548893964,-0.031887127785173663,-0.1030088979314543,0.019668050743666735,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
26,GSE1+SSRP1,GSE1,SSRP1,GSE1+ctrl,SSRP1+ctrl,92,32,6,7,0,True,canonical_condition_string_only,0.083645712439663789,0.16729142487932758,0.28887690005730027,0.043252025321510082,3dbeae25bbd5d6ac6632ed4b6181339e35bad7e6496e12cd5121317232e402a9,3.4965075614664802,1.9459101490553132,-0.28887690005730027,-0.043252025321510082,-0.083645712439663789,0.24119079991563494,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
27,HDAC3+SMARCD1,HDAC3,SMARCD1,HDAC3+ctrl,SMARCD1+ctrl,96,76,5,4,0,True,canonical_condition_string_only,0.060962799727448211,0.12192559945489642,0.23119203093523819,0.034263144226398722,20823d39d653e9a4213712ca587159367e73403477a20dfa209bd6db7f0c6331,4.3438054218536841,1.6094379124341003,-0.23119203093523819,-0.034263144226398722,-0.060962799727448211,0.12698729192773298,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
28,HDAC3+SSRP1,HDAC3,SSRP1,HDAC3+ctrl,SSRP1+ctrl,96,32,5,7,0,True,canonical_condition_string_only,0.071325983618812164,0.14265196723762433,0.28933885380678637,0.043462395723654242,dbea8a7d986e06e9dee3df254fc58b43f8df2096e86140ffbe1fdfc9c50fc077,3.4965075614664802,1.791759469228055,-0.28933885380678637,-0.043462395723654242,-0.071325983618812164,0.85904756132406856,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
29,IKZF1+INTS1,IKZF1,INTS1,IKZF1+ctrl,INTS1+ctrl,45,290,2,5,0,True,canonical_condition_string_only,0.044232507241578733,0.088465014483157467,0.24020542534798917,0.034651314628394402,17c0340e929f3ffc69bb31dc75f362dce22318126ccc24fa00bc45a7ef3b5c38,3.8286413964890951,1.0986122886681096,-0.24020542534798917,-0.034651314628394402,-0.044232507241578733,0.092776540334509328,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
30,IKZF1+KDM1A,IKZF1,KDM1A,IKZF1+ctrl,KDM1A+ctrl,45,39,2,3,0,True,canonical_condition_string_only,0.096783431629854977,0.19356686325970995,0.31069160094698028,0.044473633373519332,effc6306537e96f5a55dd6126b8d1533cd932042ad4bf98b7f514d9931499643,3.6888794541139363,1.0986122886681096,-0.31069160094698028,-0.044473633373519332,-0.096783431629854977,0.93744486717650444,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
31,IKZF1+MED24,IKZF1,MED24,IKZF1+ctrl,MED24+ctrl,45,110,2,7,0,True,canonical_condition_string_only,0.095024487079628031,0.19004897415925606,0.25810964330883135,0.037692100727435889,06f3c9273f862bdbcce76daec82896c71cc8d66f577c36919ea68baff26b9dd1,3.8286413964890951,1.0986122886681096,-0.25810964330883135,-0.037692100727435889,-0.095024487079628031,0.027157375413957293,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
32,IKZF1+SMARCD1,IKZF1,SMARCD1,IKZF1+ctrl,SMARCD1+ctrl,45,76,2,4,0,True,canonical_condition_string_only,0.06488887278221131,0.12977774556442262,0.27279451863643933,0.039492106091106489,06f510b867b1be30bc4e4fd2f7e9013b34030864e16a69d86676922e9ea724e6,3.8286413964890951,1.0986122886681096,-0.27279451863643933,-0.039492106091106489,-0.06488887278221131,0.027176899929776763,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
33,INTS1+KDM1A,INTS1,KDM1A,INTS1+ctrl,KDM1A+ctrl,290,39,5,3,0,True,canonical_condition_string_only,0.087219763506935152,0.1744395270138703,0.25082999016138324,0.036489562200755873,8220125d889a7a950fc51b2050c45327a1f44d276fdfae4c039e515664d452fe,3.6888794541139363,1.3862943611198906,-0.25082999016138324,-0.036489562200755873,-0.087219763506935152,0.50830187591109588,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
34,INTS1+RING1,INTS1,RING1,INTS1+ctrl,RING1+ctrl,290,83,5,3,0,True,canonical_condition_string_only,0.047279829547026052,0.094559659094052104,0.20279356859036515,0.0293321176102481,c036e078cb0988a1d95a3dab7bd524ab5b92b64e57c6e09b249123a437bc2bfb,4.4308167988433134,1.3862943611198906,-0.20279356859036515,-0.0293321176102481,-0.047279829547026052,0.75083735417414321,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
35,INTS1+SSRP1,INTS1,SSRP1,INTS1+ctrl,SSRP1+ctrl,290,32,5,7,0,True,canonical_condition_string_only,0.058520902976648352,0.1170418059532967,0.26659047173091788,0.040351298832036968,9b4505444952c431fa70a8110aefd7431b02f0d037b2376b00c2c3f61d138300,3.4965075614664802,1.791759469228055,-0.26659047173091788,-0.040351298832036968,-0.058520902976648352,0.60652192036770736,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
36,KDM1A+MED24,KDM1A,MED24,KDM1A+ctrl,MED24+ctrl,39,110,3,7,0,True,canonical_condition_string_only,0.13303891349247446,0.26607782698494892,0.26802541962799603,0.039388691287906806,8998f96d0da20ccff17048e0914ed6bbedbae34956fda3c1b5b4722d2343fefd,3.6888794541139363,1.3862943611198906,-0.26802541962799603,-0.039388691287906806,-0.13303891349247446,0.53749045288498842,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
37,KDM1A+SMARCD1,KDM1A,SMARCD1,KDM1A+ctrl,SMARCD1+ctrl,39,76,3,4,0,True,canonical_condition_string_only,0.10301837055539244,0.20603674111078488,0.28219476783923164,0.041114486347734694,087d3f8b56d4de14be4a7aa11740e49c6e6fb14556da0e79587f7cffb8997277,3.6888794541139363,1.3862943611198906,-0.28219476783923164,-0.041114486347734694,-0.10301837055539244,0.033161136167865618,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
38,MED13L+MED14,MED13L,MED14,MED13L+ctrl,MED14+ctrl,27,49,0,2,0,True,canonical_condition_string_only,0.12088770966514796,0.24177541933029592,0.35508439138269737,0.051064724804446487,9af1299a67b5ed0c31bcd5dfa3c7eae1f94b506c809c3c11c93bb2903d393dc5,3.3322045101752038,0,-0.35508439138269737,-0.051064724804446487,-0.12088770966514796,0.60524234790474174,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
39,MED13L+MED22,MED13L,MED22,MED13L+ctrl,MED22+ctrl,27,49,0,2,0,True,canonical_condition_string_only,0.13531868058479518,0.27063736116959036,0.33403957401932372,0.050689499292035242,c157fd5fc5e41415adc433f228bce2daf9fcceab7dc5ab2577d447da02f07f02,3.3322045101752038,0,-0.33403957401932372,-0.050689499292035242,-0.13531868058479518,0.75524886692245763,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
40,MED13L+MED24,MED13L,MED24,MED13L+ctrl,MED24+ctrl,27,110,0,7,0,True,canonical_condition_string_only,0.11608633825165519,0.23217267650331039,0.32537231045695436,0.046371730857390131,e55f43da1ae1186aeab36db9359e75facb3f1b583dea5753a23d827ee5e3ec70,3.3322045101752038,0,-0.32537231045695436,-0.046371730857390131,-0.11608633825165519,0.89598487925366432,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
41,MED14+MED19,MED14,MED19,MED14+ctrl,MED19+ctrl,49,48,2,1,0,True,canonical_condition_string_only,0.12924140886670746,0.25848281773341492,0.29290250286294606,0.043323285794411824,849835bbf9451c7563e2ff69d39bc0254e6e77abe332fe02259dbc660db5ccbd,3.8918202981106265,0.69314718055994529,-0.29290250286294606,-0.043323285794411824,-0.12924140886670746,0.51794753874971322,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
42,MED16+MED19,MED16,MED19,MED16+ctrl,MED19+ctrl,51,48,0,1,0,True,canonical_condition_string_only,0.09183584340892971,0.18367168681785942,0.28723768685460555,0.042008873450739247,4036bf8a9657df6bef609ef25b1c8356af366bb66737411ddd67926df3a8880b,3.8918202981106265,0,-0.28723768685460555,-0.042008873450739247,-0.09183584340892971,0.25083539136389232,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
43,MED16+MED22,MED16,MED22,MED16+ctrl,MED22+ctrl,51,49,0,2,0,True,canonical_condition_string_only,0.12928237707594756,0.25856475415189512,0.25411736735890877,0.041933928532461189,3a8bd4866098273761d7937ddcbc58b53374b309b17f08e3aa383a7d2f38878c,3.912023005428146,0,-0.25411736735890877,-0.041933928532461189,-0.12928237707594756,0.22869613915153819,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
44,MED24+RCOR1,MED24,RCOR1,MED24+ctrl,RCOR1+ctrl,110,61,7,5,0,True,canonical_condition_string_only,0.090523072315955952,0.1810461446319119,0.23227786944098794,0.035324190662699262,c2e386c24f227a31015a9dea46e3aad98090f74eb7484ae1647e243273f888fd,4.1271343850450917,1.791759469228055,-0.23227786944098794,-0.035324190662699262,-0.090523072315955952,0.76128427738070481,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
45,RCOR1+SMARCD1,RCOR1,SMARCD1,RCOR1+ctrl,SMARCD1+ctrl,61,76,5,4,0,True,canonical_condition_string_only,0.059765958279148025,0.11953191655829605,0.2484940040747847,0.03723882963035717,60465b4be532d801ed1c1725a0de88085cc3d1465cc5574cb5677018c031bf77,4.1271343850450917,1.6094379124341003,-0.2484940040747847,-0.03723882963035717,-0.059765958279148025,0.37607355692780275,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
46,RING1+SMARCD1,RING1,SMARCD1,RING1+ctrl,SMARCD1+ctrl,83,76,3,4,0,True,canonical_condition_string_only,0.051278194908150894,0.10255638981630179,0.24050662047663751,0.03491827546624629,a953bc95f3c170dede9e51eb48da65c84b7e4ae30d98ef745210e9a59e3d45a9,4.3438054218536841,1.3862943611198906,-0.24050662047663751,-0.03491827546624629,-0.051278194908150894,0.66143397007886562,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
47,SSRP1+SUPT6H,SSRP1,SUPT6H,SSRP1+ctrl,SUPT6H+ctrl,32,33,7,1,0,True,canonical_condition_string_only,0.092297740564416877,0.18459548112883375,0.33813949043796032,0.052404271984817473,f701cda20fcca21f958cf599e07623bf86870bfde1db810573b425516a6f9783,3.4965075614664802,0.69314718055994529,-0.33813949043796032,-0.052404271984817473,-0.092297740564416877,0.96487126547417512,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True
