cell_line,drug_dose,drug,plate,n_full_cells,matched_control_cells,split,maximum_cells_to_extract
CVCL_0131,"[('Filgotinib', 5.0, 'uM')]",Filgotinib,plate12,3395,3106,test_sealed,128
CVCL_0131,"[('Folic acid', 0.5, 'uM')]",Folic acid,plate5,3666,6487,test_sealed,128
CVCL_0131,"[('Folic acid', 5.0, 'uM')]",Folic acid,plate6,3244,6853,test_sealed,128
CVCL_0131,"[('Fulvestrant', 5.0, 'uM')]",Fulvestrant,plate12,3594,3106,test_sealed,128
CVCL_0131,"[('Fusidic acid', 0.05, 'uM')]",Fusidic acid,plate4,2905,4876,test_sealed,128
CVCL_0131,"[('Gallic acid', 5.0, 'uM')]",Gallic acid,plate6,3803,6853,test_sealed,128
CVCL_0131,"[('Gefitinib', 5.0, 'uM')]",Gefitinib,plate12,3323,3106,test_sealed,128
CVCL_0131,"[('Gemcitabine', 0.05, 'uM')]",Gemcitabine,plate1,4577,4780,test_sealed,128
CVCL_0131,"[('Gemcitabine', 0.5, 'uM')]",Gemcitabine,plate2,3904,7359,test_sealed,128
CVCL_0131,"[('Goserelin (acetate)', 0.05, 'uM')]",Goserelin (acetate),plate4,2808,4876,test_sealed,128
CVCL_0131,"[('Goserelin (acetate)', 5.0, 'uM')]",Goserelin (acetate),plate6,3585,6853,test_sealed,128
CVCL_0131,"[('Hexylresorcinol', 5.0, 'uM')]",Hexylresorcinol,plate6,3469,6853,test_sealed,128
CVCL_0131,"[('Hydroxyfasudil', 0.05, 'uM')]",Hydroxyfasudil,plate13,2579,1945,test_sealed,128
CVCL_0131,"[('L-Thyroxine (sodium salt pentahydrate)', 5.0, 'uM')]",L-Thyroxine (sodium salt pentahydrate),plate6,2918,6853,test_sealed,128
CVCL_0131,"[('Lonafarnib', 0.5, 'uM')]",Lonafarnib,plate2,3136,7359,test_sealed,128
CVCL_0131,"[('Lumateperone (tosylate)', 5.0, 'uM')]",Lumateperone (tosylate),plate6,2801,6853,test_sealed,128
CVCL_0131,"[('Methotrexate', 5.0, 'uM')]",Methotrexate,plate12,2669,3106,test_sealed,128
CVCL_0131,"[('Methylthiouracil', 0.05, 'uM')]",Methylthiouracil,plate10,3170,3730,test_sealed,128
CVCL_0131,"[('Methylthiouracil', 5.0, 'uM')]",Methylthiouracil,plate12,3449,3106,test_sealed,128
CVCL_0131,"[('Minodronic acid', 0.5, 'uM')]",Minodronic acid,plate2,4322,7359,test_sealed,128
CVCL_0131,"[('Neratinib (maleate)', 5.0, 'uM')]",Neratinib (maleate),plate6,3926,6853,test_sealed,128
CVCL_0131,"[('Niclosamide (olamine)', 0.5, 'uM')]",Niclosamide (olamine),plate8,2707,3938,test_sealed,128
CVCL_0131,"[('Oleic acid', 0.5, 'uM')]",Oleic acid,plate2,3380,7359,test_sealed,128
CVCL_0131,"[('Omeprazole', 0.05, 'uM')]",Omeprazole,plate10,2307,3730,test_sealed,128
CVCL_0131,"[('Omeprazole', 5.0, 'uM')]",Omeprazole,plate12,3116,3106,test_sealed,128
CVCL_0131,"[('Ouabain (Octahydrate)', 0.05, 'uM')]",Ouabain (Octahydrate),plate10,2117,3730,test_sealed,128
CVCL_0131,"[('Oxaliplatin', 0.5, 'uM')]",Oxaliplatin,plate2,3876,7359,test_sealed,128
CVCL_0131,"[('Paclitaxel', 0.5, 'uM')]",Paclitaxel,plate2,3872,7359,test_sealed,128
CVCL_0131,"[('Palmatine (chloride)', 0.05, 'uM')]",Palmatine (chloride),plate4,2833,4876,test_sealed,128
CVCL_0131,"[('Pentagastrin', 5.0, 'uM')]",Pentagastrin,plate6,3993,6853,test_sealed,128
CVCL_0131,"[('Perindopril (erbumine)', 0.05, 'uM')]",Perindopril (erbumine),plate10,2564,3730,test_sealed,128
CVCL_0131,"[('Ponatinib', 0.05, 'uM')]",Ponatinib,plate10,2287,3730,test_sealed,128
CVCL_0131,"[('Posaconazole', 5.0, 'uM')]",Posaconazole,plate9,2276,2262,test_sealed,128
CVCL_0131,"[('Pyridoxine (hydrochloride)', 0.5, 'uM')]",Pyridoxine (hydrochloride),plate5,3686,6487,test_sealed,128
CVCL_0131,"[('Pyridoxine (hydrochloride)', 5.0, 'uM')]",Pyridoxine (hydrochloride),plate6,3179,6853,test_sealed,128
CVCL_0131,"[('Quinestrol', 0.05, 'uM')]",Quinestrol,plate4,3040,4876,test_sealed,128
CVCL_0131,"[('RMC-6236', 0.5, 'uM')]",RMC-6236,plate2,3621,7359,test_sealed,128
CVCL_0131,"[('Raltitrexed', 5.0, 'uM')]",Raltitrexed,plate6,4045,6853,test_sealed,128
CVCL_0131,"[('Regorafenib', 0.5, 'uM')]",Regorafenib,plate2,3475,7359,test_sealed,128
CVCL_0131,"[('Relugolix', 5.0, 'uM')]",Relugolix,plate6,3582,6853,test_sealed,128
CVCL_0131,"[('Resveratrol', 5.0, 'uM')]",Resveratrol,plate6,3509,6853,test_sealed,128
CVCL_0131,"[('Riluzole hydrochloride', 5.0, 'uM')]",Riluzole hydrochloride,plate6,2742,6853,test_sealed,128
CVCL_0131,"[('Rimonabant', 0.05, 'uM')]",Rimonabant,plate4,2682,4876,test_sealed,128
CVCL_0131,"[('Selinexor ', 0.05, 'uM')]",Selinexor ,plate4,3135,4876,test_sealed,128
CVCL_0131,"[('Selinexor ', 5.0, 'uM')]",Selinexor ,plate6,2816,6853,test_sealed,128
CVCL_0131,"[('Sivelestat (sodium tetrahydrate)', 5.0, 'uM')]",Sivelestat (sodium tetrahydrate),plate9,2416,2262,test_sealed,128
CVCL_0131,"[('Sonidegib', 0.05, 'uM')]",Sonidegib,plate13,2061,1945,test_sealed,128
CVCL_0131,"[('Tolcapone', 5.0, 'uM')]",Tolcapone,plate6,2994,6853,test_sealed,128
CVCL_0131,"[('Torkinib', 0.5, 'uM')]",Torkinib,plate2,3356,7359,test_sealed,128
CVCL_0131,"[('Tubulin inhibitor 6', 0.5, 'uM')]",Tubulin inhibitor 6,plate2,3700,7359,test_sealed,128
CVCL_0131,"[('Uridine', 5.0, 'uM')]",Uridine,plate12,3796,3106,test_sealed,128
CVCL_0131,"[('Vemurafenib', 0.5, 'uM')]",Vemurafenib,plate2,4885,7359,test_sealed,128
CVCL_0131,"[('olaparib', 0.5, 'uM')]",olaparib,plate2,3489,7359,test_sealed,128
CVCL_0152,"[('(R)-Verapamil (hydrochloride)', 0.05, 'uM')]",(R)-Verapamil (hydrochloride),plate4,2478,4321,test_sealed,128
CVCL_0152,"[('4EGI-1', 0.5, 'uM')]",4EGI-1,plate2,3571,6830,test_sealed,128
CVCL_0152,"[('8-Hydroxyquinoline', 5.0, 'uM')]",8-Hydroxyquinoline,plate6,3275,6192,test_sealed,128
CVCL_0152,"[('Adagrasib', 0.05, 'uM')]",Adagrasib,plate2,3853,6830,test_sealed,128
CVCL_0152,"[('Adenine', 5.0, 'uM')]",Adenine,plate6,3757,6192,test_sealed,128
CVCL_0152,"[('Afatinib', 0.5, 'uM')]",Afatinib,plate2,3922,6830,test_sealed,128
CVCL_0152,"[('Afatinib', 5.0, 'uM')]",Afatinib,plate3,2370,1422,test_sealed,128
CVCL_0152,"[('Almonertinib (mesylate)', 0.5, 'uM')]",Almonertinib (mesylate),plate8,3684,3749,test_sealed,128
CVCL_0152,"[('Anastrozole', 0.5, 'uM')]",Anastrozole,plate2,4326,6830,test_sealed,128
CVCL_0152,"[('Anethole trithione', 0.05, 'uM')]",Anethole trithione,plate4,2967,4321,test_sealed,128
CVCL_0152,"[('Anethole trithione', 0.5, 'uM')]",Anethole trithione,plate5,2955,5175,test_sealed,128
CVCL_0152,"[('Apalutamide', 0.5, 'uM')]",Apalutamide,plate8,2025,3749,test_sealed,128
CVCL_0152,"[('Artemether', 5.0, 'uM')]",Artemether,plate12,2520,3590,test_sealed,128
CVCL_0152,"[('Artesunate', 5.0, 'uM')]",Artesunate,plate6,3591,6192,test_sealed,128
CVCL_0152,"[('Ataluren', 5.0, 'uM')]",Ataluren,plate12,2802,3590,test_sealed,128
CVCL_0152,"[('Baicalin', 5.0, 'uM')]",Baicalin,plate6,3725,6192,test_sealed,128
CVCL_0152,"[('Balsalazide (sodium hydrate)', 5.0, 'uM')]",Balsalazide (sodium hydrate),plate6,3592,6192,test_sealed,128
CVCL_0152,"[('Berbamine (dihydrochloride)', 0.5, 'uM')]",Berbamine (dihydrochloride),plate8,2929,3749,test_sealed,128
CVCL_0152,"[('Berbamine', 5.0, 'uM')]",Berbamine,plate6,3502,6192,test_sealed,128
CVCL_0152,"[('Berberine (chloride hydrate)', 5.0, 'uM')]",Berberine (chloride hydrate),plate6,4713,6192,test_sealed,128
CVCL_0152,"[('Bicalutamide', 0.05, 'uM')]",Bicalutamide,plate10,1671,3494,test_sealed,128
CVCL_0152,"[('Bicalutamide', 5.0, 'uM')]",Bicalutamide,plate12,2664,3590,test_sealed,128
CVCL_0152,"[('Binimetinib', 5.0, 'uM')]",Binimetinib,plate12,3472,3590,test_sealed,128
CVCL_0152,"[('Brimonidine', 5.0, 'uM')]",Brimonidine,plate12,2891,3590,test_sealed,128
CVCL_0152,"[('Canagliflozin (hemihydrate)', 5.0, 'uM')]",Canagliflozin (hemihydrate),plate12,3804,3590,test_sealed,128
CVCL_0152,"[('Capivasertib', 0.5, 'uM')]",Capivasertib,plate2,3431,6830,test_sealed,128
CVCL_0152,"[('Carbidopa (monohydrate)', 0.05, 'uM')]",Carbidopa (monohydrate),plate13,2650,2200,test_sealed,128
CVCL_0152,"[('Chlorhexidine (diacetate)', 0.5, 'uM')]",Chlorhexidine (diacetate),plate5,2195,5175,test_sealed,128
CVCL_0152,"[('Cinacalcet', 5.0, 'uM')]",Cinacalcet,plate12,2590,3590,test_sealed,128
CVCL_0152,"[('Clonidine (hydrochloride)', 0.05, 'uM')]",Clonidine (hydrochloride),plate4,3473,4321,test_sealed,128
CVCL_0152,"[('Clonidine (hydrochloride)', 5.0, 'uM')]",Clonidine (hydrochloride),plate6,4904,6192,test_sealed,128
CVCL_0152,"[('Cloxacillin (sodium)', 5.0, 'uM')]",Cloxacillin (sodium),plate6,3244,6192,test_sealed,128
CVCL_0152,"[('Crizotinib (hydrochloride)', 5.0, 'uM')]",Crizotinib (hydrochloride),plate12,3006,3590,test_sealed,128
CVCL_0152,"[('Cysteamine (hydrochloride)', 5.0, 'uM')]",Cysteamine (hydrochloride),plate6,3262,6192,test_sealed,128
CVCL_0152,"[('DT-061', 0.5, 'uM')]",DT-061,plate2,3247,6830,test_sealed,128
CVCL_0152,"[('DTP3', 0.5, 'uM')]",DTP3,plate2,3473,6830,test_sealed,128
CVCL_0152,"[('Dabrafenib', 5.0, 'uM')]",Dabrafenib,plate3,2710,1422,test_sealed,128
CVCL_0152,"[('Daidzin', 0.5, 'uM')]",Daidzin,plate8,2900,3749,test_sealed,128
CVCL_0152,"[('Dimethyl fumarate', 0.5, 'uM')]",Dimethyl fumarate,plate8,2577,3749,test_sealed,128
CVCL_0152,"[('Diphenhydramine', 0.5, 'uM')]",Diphenhydramine,plate8,2381,3749,test_sealed,128
CVCL_0152,"[('Drospirenone', 5.0, 'uM')]",Drospirenone,plate12,2737,3590,test_sealed,128
CVCL_0152,"[('ETC-206', 0.5, 'uM')]",ETC-206,plate2,3455,6830,test_sealed,128
CVCL_0152,"[('Elimusertib hydrochloride', 0.5, 'uM')]",Elimusertib hydrochloride,plate2,2816,6830,test_sealed,128
CVCL_0152,"[('Encorafenib', 5.0, 'uM')]",Encorafenib,plate3,2878,1422,test_sealed,128
CVCL_0152,"[('Entecavir (monohydrate)', 5.0, 'uM')]",Entecavir (monohydrate),plate9,1858,1948,test_sealed,128
CVCL_0152,"[('Esmolol (hydrochloride)', 5.0, 'uM')]",Esmolol (hydrochloride),plate12,2647,3590,test_sealed,128
CVCL_0152,"[('Everolimus', 0.5, 'uM')]",Everolimus,plate2,4719,6830,test_sealed,128
CVCL_0152,"[('Filgotinib', 5.0, 'uM')]",Filgotinib,plate12,2993,3590,test_sealed,128
CVCL_0152,"[('Folic acid', 0.5, 'uM')]",Folic acid,plate5,3205,5175,test_sealed,128
CVCL_0152,"[('Folic acid', 5.0, 'uM')]",Folic acid,plate6,3362,6192,test_sealed,128
CVCL_0152,"[('Fulvestrant', 5.0, 'uM')]",Fulvestrant,plate12,3533,3590,test_sealed,128
CVCL_0152,"[('Fusidic acid', 0.05, 'uM')]",Fusidic acid,plate4,2921,4321,test_sealed,128
CVCL_0152,"[('Gallic acid', 5.0, 'uM')]",Gallic acid,plate6,3839,6192,test_sealed,128
CVCL_0152,"[('Gefitinib', 5.0, 'uM')]",Gefitinib,plate12,3326,3590,test_sealed,128
CVCL_0152,"[('Gemcitabine', 0.05, 'uM')]",Gemcitabine,plate1,5138,5244,test_sealed,128
CVCL_0152,"[('Gemcitabine', 0.5, 'uM')]",Gemcitabine,plate2,4889,6830,test_sealed,128
CVCL_0152,"[('Goserelin (acetate)', 0.05, 'uM')]",Goserelin (acetate),plate4,3102,4321,test_sealed,128
CVCL_0152,"[('Goserelin (acetate)', 5.0, 'uM')]",Goserelin (acetate),plate6,3856,6192,test_sealed,128
CVCL_0152,"[('Hexylresorcinol', 5.0, 'uM')]",Hexylresorcinol,plate6,3621,6192,test_sealed,128
CVCL_0152,"[('Hydroxyfasudil', 0.05, 'uM')]",Hydroxyfasudil,plate13,2583,2200,test_sealed,128
CVCL_0152,"[('L-Thyroxine (sodium salt pentahydrate)', 5.0, 'uM')]",L-Thyroxine (sodium salt pentahydrate),plate6,3098,6192,test_sealed,128
CVCL_0152,"[('Lonafarnib', 0.5, 'uM')]",Lonafarnib,plate2,4356,6830,test_sealed,128
CVCL_0152,"[('Lumateperone (tosylate)', 5.0, 'uM')]",Lumateperone (tosylate),plate6,3074,6192,test_sealed,128
CVCL_0152,"[('Methotrexate', 5.0, 'uM')]",Methotrexate,plate12,2532,3590,test_sealed,128
CVCL_0152,"[('Methylthiouracil', 0.05, 'uM')]",Methylthiouracil,plate10,2658,3494,test_sealed,128
CVCL_0152,"[('Methylthiouracil', 5.0, 'uM')]",Methylthiouracil,plate12,3268,3590,test_sealed,128
CVCL_0152,"[('Minodronic acid', 0.5, 'uM')]",Minodronic acid,plate2,3927,6830,test_sealed,128
CVCL_0152,"[('Neratinib (maleate)', 5.0, 'uM')]",Neratinib (maleate),plate6,3856,6192,test_sealed,128
CVCL_0152,"[('Niclosamide (olamine)', 0.5, 'uM')]",Niclosamide (olamine),plate8,2550,3749,test_sealed,128
CVCL_0152,"[('Oleic acid', 0.5, 'uM')]",Oleic acid,plate2,3304,6830,test_sealed,128
CVCL_0152,"[('Omeprazole', 0.05, 'uM')]",Omeprazole,plate10,2320,3494,test_sealed,128
CVCL_0152,"[('Omeprazole', 5.0, 'uM')]",Omeprazole,plate12,2744,3590,test_sealed,128
CVCL_0152,"[('Ouabain (Octahydrate)', 0.05, 'uM')]",Ouabain (Octahydrate),plate10,2424,3494,test_sealed,128
CVCL_0152,"[('Oxaliplatin', 0.5, 'uM')]",Oxaliplatin,plate2,4148,6830,test_sealed,128
CVCL_0152,"[('Paclitaxel', 0.5, 'uM')]",Paclitaxel,plate2,4916,6830,test_sealed,128
CVCL_0152,"[('Palmatine (chloride)', 0.05, 'uM')]",Palmatine (chloride),plate4,2808,4321,test_sealed,128
CVCL_0152,"[('Pentagastrin', 5.0, 'uM')]",Pentagastrin,plate6,4579,6192,test_sealed,128
CVCL_0152,"[('Perindopril (erbumine)', 0.05, 'uM')]",Perindopril (erbumine),plate10,2545,3494,test_sealed,128
CVCL_0152,"[('Ponatinib', 0.05, 'uM')]",Ponatinib,plate10,2502,3494,test_sealed,128
CVCL_0152,"[('Posaconazole', 5.0, 'uM')]",Posaconazole,plate9,2016,1948,test_sealed,128
CVCL_0152,"[('Pyridoxine (hydrochloride)', 0.5, 'uM')]",Pyridoxine (hydrochloride),plate5,3434,5175,test_sealed,128
CVCL_0152,"[('Pyridoxine (hydrochloride)', 5.0, 'uM')]",Pyridoxine (hydrochloride),plate6,3348,6192,test_sealed,128
CVCL_0152,"[('Quinestrol', 0.05, 'uM')]",Quinestrol,plate4,2973,4321,test_sealed,128
CVCL_0152,"[('RMC-6236', 0.5, 'uM')]",RMC-6236,plate2,4242,6830,test_sealed,128
CVCL_0152,"[('Raltitrexed', 5.0, 'uM')]",Raltitrexed,plate6,4683,6192,test_sealed,128
CVCL_0152,"[('Regorafenib', 0.5, 'uM')]",Regorafenib,plate2,4123,6830,test_sealed,128
CVCL_0152,"[('Relugolix', 5.0, 'uM')]",Relugolix,plate6,4040,6192,test_sealed,128
CVCL_0152,"[('Resveratrol', 5.0, 'uM')]",Resveratrol,plate6,3191,6192,test_sealed,128
CVCL_0152,"[('Riluzole hydrochloride', 5.0, 'uM')]",Riluzole hydrochloride,plate14,2818,2474,test_sealed,128
CVCL_0152,"[('Rimonabant', 0.05, 'uM')]",Rimonabant,plate4,2806,4321,test_sealed,128
CVCL_0152,"[('Selinexor ', 0.05, 'uM')]",Selinexor ,plate4,3080,4321,test_sealed,128
CVCL_0152,"[('Selinexor ', 5.0, 'uM')]",Selinexor ,plate6,3033,6192,test_sealed,128
CVCL_0152,"[('Sivelestat (sodium tetrahydrate)', 5.0, 'uM')]",Sivelestat (sodium tetrahydrate),plate9,1932,1948,test_sealed,128
CVCL_0152,"[('Sonidegib', 0.05, 'uM')]",Sonidegib,plate13,2165,2200,test_sealed,128
CVCL_0152,"[('Tolcapone', 5.0, 'uM')]",Tolcapone,plate6,3264,6192,test_sealed,128
CVCL_0152,"[('Torkinib', 0.5, 'uM')]",Torkinib,plate2,3405,6830,test_sealed,128
CVCL_0152,"[('Tubulin inhibitor 6', 0.5, 'uM')]",Tubulin inhibitor 6,plate2,3949,6830,test_sealed,128
CVCL_0152,"[('Uridine', 5.0, 'uM')]",Uridine,plate12,3557,3590,test_sealed,128
CVCL_0152,"[('Vemurafenib', 0.5, 'uM')]",Vemurafenib,plate2,6204,6830,test_sealed,128
CVCL_0152,"[('olaparib', 0.5, 'uM')]",olaparib,plate2,4612,6830,test_sealed,128
CVCL_0292,"[('(R)-Verapamil (hydrochloride)', 0.05, 'uM')]",(R)-Verapamil (hydrochloride),plate4,1276,2226,test_sealed,128
CVCL_0292,"[('4EGI-1', 0.5, 'uM')]",4EGI-1,plate2,2185,3958,test_sealed,128
CVCL_0292,"[('8-Hydroxyquinoline', 5.0, 'uM')]",8-Hydroxyquinoline,plate6,1700,3410,test_sealed,128
CVCL_0292,"[('Adagrasib', 0.05, 'uM')]",Adagrasib,plate13,2894,2035,test_sealed,128
CVCL_0292,"[('Adenine', 5.0, 'uM')]",Adenine,plate6,2167,3410,test_sealed,128
CVCL_0292,"[('Afatinib', 0.5, 'uM')]",Afatinib,plate2,2030,3958,test_sealed,128
CVCL_0292,"[('Afatinib', 5.0, 'uM')]",Afatinib,plate13,1639,2035,test_sealed,128
CVCL_0292,"[('Almonertinib (mesylate)', 0.5, 'uM')]",Almonertinib (mesylate),plate8,3840,3623,test_sealed,128
CVCL_0292,"[('Anastrozole', 0.5, 'uM')]",Anastrozole,plate2,2640,3958,test_sealed,128
CVCL_0292,"[('Anethole trithione', 0.05, 'uM')]",Anethole trithione,plate4,1599,2226,test_sealed,128
CVCL_0292,"[('Anethole trithione', 0.5, 'uM')]",Anethole trithione,plate5,1364,2340,test_sealed,128
CVCL_0292,"[('Apalutamide', 0.5, 'uM')]",Apalutamide,plate8,2170,3623,test_sealed,128
CVCL_0292,"[('Artemether', 5.0, 'uM')]",Artemether,plate12,2183,3367,test_sealed,128
CVCL_0292,"[('Artesunate', 5.0, 'uM')]",Artesunate,plate6,1916,3410,test_sealed,128
CVCL_0292,"[('Ataluren', 5.0, 'uM')]",Ataluren,plate12,2652,3367,test_sealed,128
CVCL_0292,"[('Baicalin', 5.0, 'uM')]",Baicalin,plate6,2001,3410,test_sealed,128
CVCL_0292,"[('Balsalazide (sodium hydrate)', 5.0, 'uM')]",Balsalazide (sodium hydrate),plate6,1991,3410,test_sealed,128
CVCL_0292,"[('Berbamine (dihydrochloride)', 0.5, 'uM')]",Berbamine (dihydrochloride),plate8,3041,3623,test_sealed,128
CVCL_0292,"[('Berbamine', 5.0, 'uM')]",Berbamine,plate6,1461,3410,test_sealed,128
CVCL_0292,"[('Berberine (chloride hydrate)', 5.0, 'uM')]",Berberine (chloride hydrate),plate6,2619,3410,test_sealed,128
CVCL_0292,"[('Bicalutamide', 0.05, 'uM')]",Bicalutamide,plate10,1782,3113,test_sealed,128
CVCL_0292,"[('Bicalutamide', 5.0, 'uM')]",Bicalutamide,plate12,2736,3367,test_sealed,128
CVCL_0292,"[('Binimetinib', 5.0, 'uM')]",Binimetinib,plate12,2942,3367,test_sealed,128
CVCL_0292,"[('Brimonidine', 5.0, 'uM')]",Brimonidine,plate12,2434,3367,test_sealed,128
CVCL_0292,"[('Canagliflozin (hemihydrate)', 5.0, 'uM')]",Canagliflozin (hemihydrate),plate12,3082,3367,test_sealed,128
CVCL_0292,"[('Capivasertib', 0.5, 'uM')]",Capivasertib,plate2,2100,3958,test_sealed,128
CVCL_0292,"[('Carbidopa (monohydrate)', 0.05, 'uM')]",Carbidopa (monohydrate),plate13,2252,2035,test_sealed,128
CVCL_0292,"[('Chlorhexidine (diacetate)', 0.5, 'uM')]",Chlorhexidine (diacetate),plate13,1675,2035,test_sealed,128
CVCL_0292,"[('Cinacalcet', 5.0, 'uM')]",Cinacalcet,plate12,2448,3367,test_sealed,128
CVCL_0292,"[('Clonidine (hydrochloride)', 0.05, 'uM')]",Clonidine (hydrochloride),plate4,1839,2226,test_sealed,128
CVCL_0292,"[('Clonidine (hydrochloride)', 5.0, 'uM')]",Clonidine (hydrochloride),plate6,2804,3410,test_sealed,128
CVCL_0292,"[('Cloxacillin (sodium)', 5.0, 'uM')]",Cloxacillin (sodium),plate6,1680,3410,test_sealed,128
CVCL_0292,"[('Crizotinib (hydrochloride)', 5.0, 'uM')]",Crizotinib (hydrochloride),plate12,2274,3367,test_sealed,128
