batch,gene,n_target_cells,task_id
34,SRP72,7,RPE1::34::SRP72
4,SRP72,5,RPE1::4::SRP72
42,SRP72,6,RPE1::42::SRP72
48,SRP72,6,RPE1::48::SRP72
55,SRP72,5,RPE1::55::SRP72
10,SRPRB,6,RPE1::10::SRPRB
2,SRPRB,6,RPE1::2::SRPRB
22,SRPRB,5,RPE1::22::SRPRB
26,SRPRB,6,RPE1::26::SRPRB
29,SRPRB,6,RPE1::29::SRPRB
3,SRPRB,5,RPE1::3::SRPRB
30,SRPRB,6,RPE1::30::SRPRB
34,SRPRB,5,RPE1::34::SRPRB
35,SRPRB,5,RPE1::35::SRPRB
37,SRPRB,7,RPE1::37::SRPRB
41,SRPRB,6,RPE1::41::SRPRB
43,SRPRB,7,RPE1::43::SRPRB
47,SRPRB,6,RPE1::47::SRPRB
38,TMED2,5,RPE1::38::TMED2
4,TMED2,5,RPE1::4::TMED2
8,TMED2,6,RPE1::8::TMED2
55,TTI1,6,RPE1::55::TTI1
28,UFL1,5,RPE1::28::UFL1
33,UFL1,7,RPE1::33::UFL1
34,UFL1,6,RPE1::34::UFL1
