dataset,modality,fold_id,heldout_context,source_contexts,split,setting,context,patient,tcr_state,perturbation,n_cells,perturbation_seen_in_training,context_seen_in_training,selected_without_expression,in_train_fraction_25,in_train_fraction_50,in_train_fraction_75,in_train_fraction_100
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,TMEM222,342,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,context_unseen_row,D1_nostim,D1,nostim,TNFRSF9,190,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_stim,D1,stim,CD3D,185,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_stim,D1,stim,DGKA,633,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_stim,D1,stim,DGKZ,270,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_stim,D1,stim,LCP2,251,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_stim,D1,stim,PDCD1,448,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,CD3D,239,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,DGKA,504,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,DGKZ,234,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,LCP2,263,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,PDCD1,275,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,CD3D,229,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,DGKA,705,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,DGKZ,294,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,LCP2,220,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,PDCD1,413,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,random_missing_pair,D1_stim,D1,stim,MEF2D,276,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,random_missing_pair,D1_stim,D1,stim,RASA2,271,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,random_missing_pair,D1_stim,D1,stim,STAT6,158,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,random_missing_pair,D1_stim,D1,stim,TMEM222,419,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,random_missing_pair,D2_nostim,D2,nostim,C10orf54,236,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,random_missing_pair,D2_nostim,D2,nostim,LAG3,150,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,random_missing_pair,D2_nostim,D2,nostim,TNFRSF9,154,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,test,random_missing_pair,D2_stim,D2,stim,STAT6,174,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D1_stim,D1,stim,ARID1A,168,True,True,True,False,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D1_stim,D1,stim,BTLA,369,True,True,True,True,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D1_stim,D1,stim,C10orf54,319,True,True,True,False,False,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D1_stim,D1,stim,CBLB,406,True,True,True,False,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D1_stim,D1,stim,CD5,311,True,True,True,False,False,False,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D1_stim,D1,stim,HAVCR2,376,True,True,True,False,False,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D1_stim,D1,stim,SOCS1,227,True,True,True,True,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D1_stim,D1,stim,TCEB2,255,True,True,True,False,False,False,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_nostim,D2,nostim,BTLA,278,True,True,True,False,False,False,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_nostim,D2,nostim,CBLB,223,True,True,True,False,False,False,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_nostim,D2,nostim,CD5,191,True,True,True,True,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_nostim,D2,nostim,HAVCR2,273,True,True,True,False,False,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_nostim,D2,nostim,SOCS1,165,True,True,True,True,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_nostim,D2,nostim,STAT6,109,True,True,True,False,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_nostim,D2,nostim,TCEB2,173,True,True,True,False,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,ARID1A,211,True,True,True,False,False,False,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,BTLA,455,True,True,True,False,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,C10orf54,290,True,True,True,False,False,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,CBLB,419,True,True,True,False,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,CD5,381,True,True,True,False,False,False,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,CDKN1B,289,True,True,True,False,False,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,HAVCR2,359,True,True,True,True,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,LAG3,267,True,True,True,False,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,MEF2D,296,True,True,True,True,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,RASA2,297,True,True,True,True,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,SOCS1,261,True,True,True,False,False,False,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,TCEB2,316,True,True,True,True,True,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,TMEM222,371,True,True,True,False,False,True,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,train,source_train_pair,D2_stim,D2,stim,TNFRSF9,178,True,True,True,False,False,False,True
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,val,source_validation_pair,D1_stim,D1,stim,CDKN1B,166,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,val,source_validation_pair,D1_stim,D1,stim,LAG3,235,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,val,source_validation_pair,D1_stim,D1,stim,TNFRSF9,255,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,val,source_validation_pair,D2_nostim,D2,nostim,ARID1A,134,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,val,source_validation_pair,D2_nostim,D2,nostim,CDKN1B,155,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,val,source_validation_pair,D2_nostim,D2,nostim,MEF2D,221,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,val,source_validation_pair,D2_nostim,D2,nostim,RASA2,176,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_1_D1_nostim,D1_nostim,D1_stim+D2_nostim+D2_stim,val,source_validation_pair,D2_nostim,D2,nostim,TMEM222,294,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_stim,D1,stim,CD3D,185,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_stim,D1,stim,CDKN1B,166,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_stim,D1,stim,HAVCR2,376,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_stim,D1,stim,LAG3,235,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_and_perturbation_unseen,D1_stim,D1,stim,SOCS1,227,False,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,ARID1A,168,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,BTLA,369,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,C10orf54,319,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,CBLB,406,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,CD5,311,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,DGKA,633,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,DGKZ,270,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,LCP2,251,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,MEF2D,276,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,PDCD1,448,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,RASA2,271,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,STAT6,158,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,TCEB2,255,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,TMEM222,419,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,context_unseen_row,D1_stim,D1,stim,TNFRSF9,255,True,False,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_nostim,D1,nostim,CD3D,203,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_nostim,D1,nostim,CDKN1B,139,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_nostim,D1,nostim,HAVCR2,347,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_nostim,D1,nostim,LAG3,188,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D1_nostim,D1,nostim,SOCS1,182,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,CD3D,239,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,CDKN1B,155,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,HAVCR2,273,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,LAG3,150,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_nostim,D2,nostim,SOCS1,165,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,CD3D,229,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,CDKN1B,289,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,HAVCR2,359,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,LAG3,267,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,perturbation_unseen_column,D2_stim,D2,stim,SOCS1,261,False,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,random_missing_pair,D1_nostim,D1,nostim,C10orf54,213,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,random_missing_pair,D1_nostim,D1,nostim,TNFRSF9,190,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,random_missing_pair,D2_nostim,D2,nostim,CD5,191,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,random_missing_pair,D2_nostim,D2,nostim,TMEM222,294,True,True,True,False,False,False,False
Shifrut,gene_knockout_plus_TCR_context,Shifrut_context_holdout_2_D1_stim,D1_stim,D1_nostim+D2_nostim+D2_stim,test,random_missing_pair,D2_stim,D2,stim,MEF2D,296,True,True,True,False,False,False,False
