cell_type,condition,n_cells
Co-culture,RAB27A+ctrl,220
Co-culture,RB1+ctrl,261
Co-culture,RBP7+ctrl,223
Co-culture,RNASEH2A+ctrl,58
Co-culture,RNF213+ctrl,177
Co-culture,RPSA+ctrl,124
Co-culture,RTP4+ctrl,250
Co-culture,S100A6+ctrl,225
Co-culture,S100B+ctrl,192
Co-culture,SAT1+ctrl,195
Co-culture,SCARB2+ctrl,192
Co-culture,SDC3+ctrl,262
Co-culture,SDCBP+ctrl,229
Co-culture,SEC11C+ctrl,214
Co-culture,SERPINA3+ctrl,171
Co-culture,SERPINE2+ctrl,169
Co-culture,SERPINF1+ctrl,223
Co-culture,SET+ctrl,160
Co-culture,SGK1+ctrl,203
Co-culture,SHMT2+ctrl,143
Co-culture,SLC19A1+ctrl,187
Co-culture,SLC22A18+ctrl,278
Co-culture,SLC25A13+ctrl,240
Co-culture,SLC26A2+ctrl,238
Co-culture,SLC5A3+ctrl,261
Co-culture,SLIRP+ctrl,136
Co-culture,SMAD3+ctrl,262
Co-culture,SMAD4+ctrl,198
Co-culture,SOX4+ctrl,220
Co-culture,SP100+ctrl,235
Co-culture,SPESP1+ctrl,233
Co-culture,SPINT1+ctrl,235
Co-culture,SSR2+ctrl,142
Co-culture,ST6GALNAC2+ctrl,144
Co-culture,STAT1+ctrl,396
Co-culture,STAT3+ctrl,185
Co-culture,STOM+ctrl,234
Co-culture,STX7+ctrl,213
Co-culture,TAPBP+ctrl,170
Co-culture,TAPBPL+ctrl,237
Co-culture,TFAP2A+ctrl,228
Co-culture,TGFB1+ctrl,261
Co-culture,TIMM50+ctrl,106
Co-culture,TIMP1+ctrl,248
Co-culture,TIMP2+ctrl,159
Co-culture,TIMP3+ctrl,205
Co-culture,TM4SF1+ctrl,231
Co-culture,TOP1MT+ctrl,192
Co-culture,TP53+ctrl,193
Co-culture,TPP1+ctrl,216
Co-culture,TRIM22+ctrl,174
Co-culture,TSC22D3+ctrl,270
Co-culture,TTLL1+ctrl,240
Co-culture,TXNDC17+ctrl,158
Co-culture,UBC+ctrl,83
Co-culture,UCN2+ctrl,169
Co-culture,UQCRFS1+ctrl,112
Co-culture,UQCRH+ctrl,74
Co-culture,VAT1+ctrl,166
Co-culture,VDAC2+ctrl,240
Co-culture,WBP2+ctrl,243
Control,A2M+ctrl,165
Control,ACSL3+ctrl,81
Control,ACTA2+ctrl,183
Control,AEBP1+ctrl,181
Control,AGA+ctrl,155
Control,AHNAK+ctrl,155
Control,APOD+ctrl,133
Control,APOE+ctrl,164
Control,ARMC6+ctrl,139
Control,ATP1B1+ctrl,176
Control,B2M+ctrl,150
Control,BOLA2+ctrl,94
Control,BOLA2B+ctrl,103
Control,BZW2+ctrl,150
Control,C19orf48+ctrl,154
Control,C1QBP+ctrl,99
Control,C6orf226+ctrl,118
Control,CCND1+ctrl,98
Control,CCND2+ctrl,115
Control,CCR10+ctrl,131
Control,CD151+ctrl,144
Control,CD274+ctrl,148
Control,CD44+ctrl,180
Control,CD47+ctrl,148
Control,CD58+ctrl,141
Control,CD59+ctrl,175
Control,CD63+ctrl,117
Control,CDH19+ctrl,170
Control,CDK4+ctrl,140
Control,CDK6+ctrl,69
Control,CDKN1A+ctrl,163
Control,CDKN2A+ctrl,124
Control,CDKN2B+ctrl,149
Control,CHCHD2+ctrl,162
Control,CITED1+ctrl,166
Control,CKS1B+ctrl,147
Control,CMSS1+ctrl,143
Control,CORO1A+ctrl,143
Control,CSPG4+ctrl,162
Control,CST3+ctrl,104
Control,CTPS1+ctrl,63
Control,CTSA+ctrl,165
Control,CTSB+ctrl,145
Control,CTSD+ctrl,182
Control,CTSL+ctrl,148
Control,CTSO+ctrl,184
Control,CXCR4+ctrl,119
Control,CYP27A1+ctrl,168
Control,DAG1+ctrl,128
Control,DDR1+ctrl,131
Control,DDX17+ctrl,119
Control,DDX39A+ctrl,84
Control,DLL3+ctrl,143
Control,DNMT1+ctrl,56
Control,E2F1+ctrl,105
Control,EEA1+ctrl,120
Control,EIF3K+ctrl,123
Control,EMP1+ctrl,156
Control,ENPP1+ctrl,146
Control,EVA1A+ctrl,121
Control,FBL+ctrl,61
Control,FBXO32+ctrl,141
Control,FGFR1+ctrl,186
Control,FKBP4+ctrl,119
Control,FMN1+ctrl,170
Control,FOS+ctrl,134
Control,FRZB+ctrl,128
Control,FSTL3+ctrl,175
Control,GAA+ctrl,142
Control,GPATCH4+ctrl,107
Control,GPNMB+ctrl,141
Control,GRN+ctrl,119
Control,GSN+ctrl,177
Control,HLA-A+ctrl,171
Control,HLA-B+ctrl,112
Control,HLA-C+ctrl,107
Control,HLA-DRB5+ctrl,162
Control,HLA-E+ctrl,123
Control,HLA-F+ctrl,153
Control,HNRNPA1+ctrl,122
Control,HSPA1A+ctrl,133
Control,IDH2+ctrl,179
Control,IFNGR1+ctrl,152
Control,IFNGR2+ctrl,168
Control,IRF3+ctrl,147
Control,IRF4+ctrl,122
Control,ISYNA1+ctrl,112
Control,ITGA3+ctrl,163
Control,JAK1+ctrl,158
Control,JAK2+ctrl,172
Control,JMJD7+ctrl,163
Control,KCNN4+ctrl,135
Control,KDR+ctrl,152
Control,KLF4+ctrl,142
Control,LAMP2+ctrl,161
Control,LCP1+ctrl,159
Control,LGALS3+ctrl,142
Control,LGALS3BP+ctrl,134
Control,LRPAP1+ctrl,141
Control,LY96+ctrl,128
Control,MC1R+ctrl,147
Control,MDH2+ctrl,131
Control,MFGE8+ctrl,183
Control,MIA+ctrl,124
Control,MRPL47+ctrl,72
Control,MT2A+ctrl,105
Control,NDUFA13+ctrl,84
Control,NGFR+ctrl,127
Control,NME1+ctrl,131
Control,NMRK1+ctrl,155
Control,NOLC1+ctrl,57
Control,NONO+ctrl,133
Control,NPC1+ctrl,156
Control,NPC2+ctrl,140
Control,NSG1+ctrl,158
Control,NT5E+ctrl,190
Control,P2RX4+ctrl,76
Control,PAICS+ctrl,55
Control,PET100+ctrl,79
Control,PFDN4+ctrl,170
Control,PFN1+ctrl,74
Control,PIK3IP1+ctrl,129
Control,PPIA+ctrl,118
Control,PROS1+ctrl,133
Control,PSAP+ctrl,182
Control,PTMA+ctrl,124
Control,PUF60+ctrl,50
Control,PYGB+ctrl,140
Control,RAB27A+ctrl,146
Control,RB1+ctrl,184
Control,RBP7+ctrl,139
Control,RNASEH2A+ctrl,71
Control,RNF213+ctrl,142
Control,RPSA+ctrl,64
Control,RTP4+ctrl,189
Control,S100A6+ctrl,139
Control,S100B+ctrl,163
Control,SAT1+ctrl,155
Control,SCARB2+ctrl,155
Control,SDC3+ctrl,143
Control,SDCBP+ctrl,160
Control,SEC11C+ctrl,154
Control,SERPINA3+ctrl,121
Control,SERPINE2+ctrl,130
Control,SERPINF1+ctrl,158
Control,SET+ctrl,114
Control,SGK1+ctrl,123
Control,SHMT2+ctrl,115
Control,SLC19A1+ctrl,104
Control,SLC22A18+ctrl,182
Control,SLC25A13+ctrl,131
Control,SLC26A2+ctrl,149
Control,SLC5A3+ctrl,177
Control,SLIRP+ctrl,117
Control,SMAD3+ctrl,170
Control,SMAD4+ctrl,149
Control,SOX4+ctrl,186
Control,SP100+ctrl,148
Control,SPESP1+ctrl,165
Control,SPINT1+ctrl,153
Control,SSR2+ctrl,100
Control,ST6GALNAC2+ctrl,109
Control,STAT1+ctrl,125
Control,STAT3+ctrl,143
Control,STOM+ctrl,153
Control,STX7+ctrl,147
Control,TAPBP+ctrl,139
Control,TAPBPL+ctrl,152
Control,TFAP2A+ctrl,142
Control,TGFB1+ctrl,178
Control,TIMM50+ctrl,104
Control,TIMP1+ctrl,155
Control,TIMP2+ctrl,119
Control,TIMP3+ctrl,123
Control,TM4SF1+ctrl,161
Control,TOP1MT+ctrl,159
Control,TP53+ctrl,158
Control,TPP1+ctrl,140
Control,TRIM22+ctrl,123
Control,TSC22D3+ctrl,187
Control,TTLL1+ctrl,186
Control,TXNDC17+ctrl,151
Control,UBC+ctrl,62
Control,UCN2+ctrl,112
Control,UQCRFS1+ctrl,88
Control,UQCRH+ctrl,63
Control,VAT1+ctrl,125
Control,VDAC2+ctrl,156
Control,WBP2+ctrl,138
IFNγ,A2M+ctrl,281
IFNγ,ACSL3+ctrl,122
IFNγ,ACTA2+ctrl,311
IFNγ,AEBP1+ctrl,283
IFNγ,AGA+ctrl,235
IFNγ,AHNAK+ctrl,224
IFNγ,APOD+ctrl,250
IFNγ,APOE+ctrl,244
IFNγ,ARMC6+ctrl,204
IFNγ,ATP1B1+ctrl,252
IFNγ,B2M+ctrl,277
IFNγ,BOLA2+ctrl,146
IFNγ,BOLA2B+ctrl,136
IFNγ,BZW2+ctrl,216
IFNγ,C19orf48+ctrl,274
IFNγ,C1QBP+ctrl,169
IFNγ,C6orf226+ctrl,226
IFNγ,CCND1+ctrl,160
IFNγ,CCND2+ctrl,245
IFNγ,CCR10+ctrl,229
IFNγ,CD151+ctrl,213
IFNγ,CD274+ctrl,287
IFNγ,CD44+ctrl,263
IFNγ,CD47+ctrl,253
IFNγ,CD58+ctrl,215
IFNγ,CD59+ctrl,289
IFNγ,CD63+ctrl,211
IFNγ,CDH19+ctrl,277
IFNγ,CDK4+ctrl,209
IFNγ,CDK6+ctrl,113
IFNγ,CDKN1A+ctrl,238
IFNγ,CDKN2A+ctrl,235
IFNγ,CDKN2B+ctrl,253
IFNγ,CHCHD2+ctrl,255
IFNγ,CITED1+ctrl,239
IFNγ,CKS1B+ctrl,241
IFNγ,CMSS1+ctrl,242
IFNγ,CORO1A+ctrl,223
IFNγ,CSPG4+ctrl,306
IFNγ,CST3+ctrl,177
IFNγ,CTPS1+ctrl,114
IFNγ,CTSA+ctrl,235
IFNγ,CTSB+ctrl,261
IFNγ,CTSD+ctrl,303
IFNγ,CTSL+ctrl,219
IFNγ,CTSO+ctrl,263
IFNγ,CXCR4+ctrl,227
IFNγ,CYP27A1+ctrl,239
IFNγ,DAG1+ctrl,206
IFNγ,DDR1+ctrl,241
IFNγ,DDX17+ctrl,175
IFNγ,DDX39A+ctrl,166
IFNγ,DLL3+ctrl,238
IFNγ,DNMT1+ctrl,78
IFNγ,E2F1+ctrl,169
IFNγ,EEA1+ctrl,185
IFNγ,EIF3K+ctrl,198
IFNγ,EMP1+ctrl,250
IFNγ,ENPP1+ctrl,251
IFNγ,EVA1A+ctrl,197
IFNγ,FBL+ctrl,89
IFNγ,FBXO32+ctrl,261
IFNγ,FGFR1+ctrl,316
IFNγ,FKBP4+ctrl,181
IFNγ,FMN1+ctrl,309
IFNγ,FOS+ctrl,200
IFNγ,FRZB+ctrl,195
IFNγ,FSTL3+ctrl,281
IFNγ,GAA+ctrl,232
IFNγ,GPATCH4+ctrl,177
IFNγ,GPNMB+ctrl,200
IFNγ,GRN+ctrl,233
IFNγ,GSN+ctrl,258
IFNγ,HLA-A+ctrl,280
IFNγ,HLA-B+ctrl,159
IFNγ,HLA-C+ctrl,178
IFNγ,HLA-DRB5+ctrl,268
IFNγ,HLA-E+ctrl,203
IFNγ,HLA-F+ctrl,256
IFNγ,HNRNPA1+ctrl,165
IFNγ,HSPA1A+ctrl,203
IFNγ,IDH2+ctrl,247
IFNγ,IFNGR1+ctrl,198
IFNγ,IFNGR2+ctrl,278
IFNγ,IRF3+ctrl,215
IFNγ,IRF4+ctrl,206
IFNγ,ISYNA1+ctrl,162
IFNγ,ITGA3+ctrl,227
IFNγ,JAK1+ctrl,248
IFNγ,JAK2+ctrl,244
IFNγ,JMJD7+ctrl,275
IFNγ,KCNN4+ctrl,289
IFNγ,KDR+ctrl,276
IFNγ,KLF4+ctrl,222
IFNγ,LAMP2+ctrl,249
IFNγ,LCP1+ctrl,293
IFNγ,LGALS3+ctrl,206
IFNγ,LGALS3BP+ctrl,187
IFNγ,LRPAP1+ctrl,279
IFNγ,LY96+ctrl,248
IFNγ,MC1R+ctrl,233
IFNγ,MDH2+ctrl,176
IFNγ,MFGE8+ctrl,341
IFNγ,MIA+ctrl,248
IFNγ,MRPL47+ctrl,138
IFNγ,MT2A+ctrl,170
IFNγ,NDUFA13+ctrl,122
IFNγ,NGFR+ctrl,195
IFNγ,NME1+ctrl,225
IFNγ,NMRK1+ctrl,229
IFNγ,NOLC1+ctrl,89
IFNγ,NONO+ctrl,192
IFNγ,NPC1+ctrl,259
IFNγ,NPC2+ctrl,232
IFNγ,NSG1+ctrl,237
IFNγ,NT5E+ctrl,309
IFNγ,P2RX4+ctrl,106
IFNγ,PAICS+ctrl,85
IFNγ,PET100+ctrl,125
IFNγ,PFDN4+ctrl,245
IFNγ,PFN1+ctrl,104
IFNγ,PIK3IP1+ctrl,185
IFNγ,PPIA+ctrl,205
IFNγ,PROS1+ctrl,162
IFNγ,PSAP+ctrl,282
IFNγ,PTMA+ctrl,216
IFNγ,PUF60+ctrl,94
IFNγ,PYGB+ctrl,191
IFNγ,RAB27A+ctrl,225
IFNγ,RB1+ctrl,265
IFNγ,RBP7+ctrl,259
IFNγ,RNASEH2A+ctrl,139
IFNγ,RNF213+ctrl,217
IFNγ,RPSA+ctrl,129
IFNγ,RTP4+ctrl,290
IFNγ,S100A6+ctrl,228
IFNγ,S100B+ctrl,248
IFNγ,SAT1+ctrl,226
IFNγ,SCARB2+ctrl,231
IFNγ,SDC3+ctrl,295
IFNγ,SDCBP+ctrl,233
IFNγ,SEC11C+ctrl,227
IFNγ,SERPINA3+ctrl,209
IFNγ,SERPINE2+ctrl,211
IFNγ,SERPINF1+ctrl,212
IFNγ,SET+ctrl,181
IFNγ,SGK1+ctrl,247
IFNγ,SHMT2+ctrl,190
IFNγ,SLC19A1+ctrl,181
IFNγ,SLC22A18+ctrl,325
IFNγ,SLC25A13+ctrl,268
IFNγ,SLC26A2+ctrl,262
IFNγ,SLC5A3+ctrl,259
IFNγ,SLIRP+ctrl,153
IFNγ,SMAD3+ctrl,272
IFNγ,SMAD4+ctrl,269
IFNγ,SOX4+ctrl,259
IFNγ,SP100+ctrl,221
IFNγ,SPESP1+ctrl,236
IFNγ,SPINT1+ctrl,228
IFNγ,SSR2+ctrl,208
IFNγ,ST6GALNAC2+ctrl,196
IFNγ,STAT1+ctrl,203
IFNγ,STAT3+ctrl,203
IFNγ,STOM+ctrl,268
IFNγ,STX7+ctrl,246
IFNγ,TAPBP+ctrl,220
IFNγ,TAPBPL+ctrl,239
IFNγ,TFAP2A+ctrl,241
IFNγ,TGFB1+ctrl,272
IFNγ,TIMM50+ctrl,128
IFNγ,TIMP1+ctrl,232
IFNγ,TIMP2+ctrl,186
IFNγ,TIMP3+ctrl,209
IFNγ,TM4SF1+ctrl,241
IFNγ,TOP1MT+ctrl,205
IFNγ,TP53+ctrl,229
IFNγ,TPP1+ctrl,230
IFNγ,TRIM22+ctrl,186
IFNγ,TSC22D3+ctrl,259
IFNγ,TTLL1+ctrl,278
IFNγ,TXNDC17+ctrl,214
IFNγ,UBC+ctrl,105
IFNγ,UCN2+ctrl,203
IFNγ,UQCRFS1+ctrl,115
IFNγ,UQCRH+ctrl,83
IFNγ,VAT1+ctrl,164
IFNγ,VDAC2+ctrl,237
IFNγ,WBP2+ctrl,280
