task_id,graph_role,target_split,contains_y
E177::G2::HDAC2,query,calibration,False
E177::G3::HDAC2,query,calibration,False
E177::G4::HDAC2,query,calibration,False
E177::G5::HDAC2,query,calibration,False
E177::G6::HDAC2,query,calibration,False
E177::G7::HDAC2,query,calibration,False
E177::G8::HDAC2,query,calibration,False
E177::G1::IFITM2,query,calibration,False
E177::G2::IFITM2,query,calibration,False
E177::G3::IFITM2,query,calibration,False
E177::G4::IFITM2,query,calibration,False
E177::G5::IFITM2,query,calibration,False
E177::G6::IFITM2,query,calibration,False
E177::G7::IFITM2,query,calibration,False
E177::G8::IFITM2,query,calibration,False
E177::G1::IFNAR2,query,calibration,False
E177::G2::IFNAR2,query,calibration,False
E177::G3::IFNAR2,query,calibration,False
E177::G4::IFNAR2,query,calibration,False
E177::G5::IFNAR2,query,calibration,False
E177::G6::IFNAR2,query,calibration,False
E177::G7::IFNAR2,query,calibration,False
E177::G8::IFNAR2,query,calibration,False
E177::G1::ISG15,query,calibration,False
E177::G2::ISG15,query,calibration,False
E177::G3::ISG15,query,calibration,False
E177::G4::ISG15,query,calibration,False
E177::G5::ISG15,query,calibration,False
E177::G6::ISG15,query,calibration,False
E177::G7::ISG15,query,calibration,False
E177::G8::ISG15,query,calibration,False
E177::G1::KEAP1,query,calibration,False
E177::G2::KEAP1,query,calibration,False
E177::G3::KEAP1,query,calibration,False
E177::G4::KEAP1,query,calibration,False
E177::G5::KEAP1,query,calibration,False
E177::G6::KEAP1,query,calibration,False
E177::G7::KEAP1,query,calibration,False
E177::G8::KEAP1,query,calibration,False
E177::G1::KPNA2,query,calibration,False
E177::G2::KPNA2,query,calibration,False
E177::G3::KPNA2,query,calibration,False
E177::G4::KPNA2,query,calibration,False
E177::G5::KPNA2,query,calibration,False
E177::G6::KPNA2,query,calibration,False
E177::G7::KPNA2,query,calibration,False
E177::G8::KPNA2,query,calibration,False
E177::G1::LDLR,query,calibration,False
E177::G2::LDLR,query,calibration,False
E177::G3::LDLR,query,calibration,False
E177::G4::LDLR,query,calibration,False
E177::G5::LDLR,query,calibration,False
E177::G6::LDLR,query,calibration,False
E177::G7::LDLR,query,calibration,False
E177::G8::LDLR,query,calibration,False
E177::G1::NFKBIA,query,calibration,False
E177::G2::NFKBIA,query,calibration,False
E177::G3::NFKBIA,query,calibration,False
E177::G4::NFKBIA,query,calibration,False
E177::G5::NFKBIA,query,calibration,False
E177::G6::NFKBIA,query,calibration,False
E177::G7::NFKBIA,query,calibration,False
E177::G8::NFKBIA,query,calibration,False
E177::G1::PPIH,query,calibration,False
E177::G2::PPIH,query,calibration,False
E177::G3::PPIH,query,calibration,False
E177::G4::PPIH,query,calibration,False
E177::G5::PPIH,query,calibration,False
E177::G6::PPIH,query,calibration,False
E177::G7::PPIH,query,calibration,False
E177::G8::PPIH,query,calibration,False
E177::G1::PRKCI,query,calibration,False
E177::G2::PRKCI,query,calibration,False
E177::G3::PRKCI,query,calibration,False
E177::G4::PRKCI,query,calibration,False
E177::G5::PRKCI,query,calibration,False
E177::G6::PRKCI,query,calibration,False
E177::G7::PRKCI,query,calibration,False
E177::G8::PRKCI,query,calibration,False
E177::G1::SGTA,query,calibration,False
E177::G2::SGTA,query,calibration,False
E177::G3::SGTA,query,calibration,False
E177::G4::SGTA,query,calibration,False
E177::G5::SGTA,query,calibration,False
E177::G6::SGTA,query,calibration,False
E177::G7::SGTA,query,calibration,False
E177::G8::SGTA,query,calibration,False
E177::G1::SPNS1,query,calibration,False
E177::G2::SPNS1,query,calibration,False
E177::G3::SPNS1,query,calibration,False
E177::G4::SPNS1,query,calibration,False
E177::G5::SPNS1,query,calibration,False
E177::G6::SPNS1,query,calibration,False
E177::G7::SPNS1,query,calibration,False
E177::G8::SPNS1,query,calibration,False
E177::G1::STAT1,query,calibration,False
E177::G2::STAT1,query,calibration,False
E177::G3::STAT1,query,calibration,False
E177::G4::STAT1,query,calibration,False
E177::G5::STAT1,query,calibration,False
E177::G6::STAT1,query,calibration,False
E177::G7::STAT1,query,calibration,False
E177::G8::STAT1,query,calibration,False
E177::G1::STK16,query,calibration,False
E177::G2::STK16,query,calibration,False
E177::G3::STK16,query,calibration,False
E177::G4::STK16,query,calibration,False
E177::G5::STK16,query,calibration,False
E177::G6::STK16,query,calibration,False
E177::G7::STK16,query,calibration,False
E177::G8::STK16,query,calibration,False
E177::G1::TLR3,query,calibration,False
E177::G2::TLR3,query,calibration,False
E177::G3::TLR3,query,calibration,False
E177::G4::TLR3,query,calibration,False
E177::G5::TLR3,query,calibration,False
E177::G6::TLR3,query,calibration,False
E177::G7::TLR3,query,calibration,False
E177::G8::TLR3,query,calibration,False
E177::G1::TOM1,query,calibration,False
E177::G2::TOM1,query,calibration,False
E177::G3::TOM1,query,calibration,False
E177::G4::TOM1,query,calibration,False
E177::G5::TOM1,query,calibration,False
E177::G6::TOM1,query,calibration,False
E177::G7::TOM1,query,calibration,False
E177::G8::TOM1,query,calibration,False
E177::G1::VAC14,query,calibration,False
E177::G2::VAC14,query,calibration,False
E177::G3::VAC14,query,calibration,False
E177::G4::VAC14,query,calibration,False
E177::G5::VAC14,query,calibration,False
E177::G6::VAC14,query,calibration,False
E177::G7::VAC14,query,calibration,False
E177::G8::VAC14,query,calibration,False
E177::G1::VPS39,query,calibration,False
E177::G2::VPS39,query,calibration,False
E177::G3::VPS39,query,calibration,False
E177::G4::VPS39,query,calibration,False
E177::G5::VPS39,query,calibration,False
E177::G6::VPS39,query,calibration,False
E177::G7::VPS39,query,calibration,False
E177::G8::VPS39,query,calibration,False
E177::G1::ZYG11B,query,calibration,False
E177::G2::ZYG11B,query,calibration,False
E177::G3::ZYG11B,query,calibration,False
E177::G4::ZYG11B,query,calibration,False
E177::G5::ZYG11B,query,calibration,False
E177::G6::ZYG11B,query,calibration,False
E177::G7::ZYG11B,query,calibration,False
E177::G8::ZYG11B,query,calibration,False
E177::G1::ANPEP,query,evaluation,False
E177::G2::ANPEP,query,evaluation,False
E177::G3::ANPEP,query,evaluation,False
E177::G4::ANPEP,query,evaluation,False
E177::G5::ANPEP,query,evaluation,False
E177::G6::ANPEP,query,evaluation,False
E177::G7::ANPEP,query,evaluation,False
E177::G8::ANPEP,query,evaluation,False
E177::G1::ATF6,query,evaluation,False
E177::G2::ATF6,query,evaluation,False
E177::G3::ATF6,query,evaluation,False
E177::G4::ATF6,query,evaluation,False
E177::G5::ATF6,query,evaluation,False
E177::G6::ATF6,query,evaluation,False
E177::G7::ATF6,query,evaluation,False
E177::G8::ATF6,query,evaluation,False
E177::G1::ATG9A,query,evaluation,False
E177::G2::ATG9A,query,evaluation,False
E177::G3::ATG9A,query,evaluation,False
E177::G4::ATG9A,query,evaluation,False
E177::G5::ATG9A,query,evaluation,False
E177::G6::ATG9A,query,evaluation,False
E177::G7::ATG9A,query,evaluation,False
E177::G8::ATG9A,query,evaluation,False
E177::G1::BAG6,query,evaluation,False
E177::G2::BAG6,query,evaluation,False
E177::G3::BAG6,query,evaluation,False
E177::G4::BAG6,query,evaluation,False
E177::G5::BAG6,query,evaluation,False
E177::G6::BAG6,query,evaluation,False
E177::G7::BAG6,query,evaluation,False
E177::G8::BAG6,query,evaluation,False
E177::G1::BCKDK,query,evaluation,False
E177::G2::BCKDK,query,evaluation,False
E177::G3::BCKDK,query,evaluation,False
E177::G4::BCKDK,query,evaluation,False
E177::G5::BCKDK,query,evaluation,False
E177::G6::BCKDK,query,evaluation,False
E177::G7::BCKDK,query,evaluation,False
E177::G8::BCKDK,query,evaluation,False
E177::G1::BRD4,query,evaluation,False
E177::G2::BRD4,query,evaluation,False
E177::G3::BRD4,query,evaluation,False
E177::G4::BRD4,query,evaluation,False
E177::G5::BRD4,query,evaluation,False
E177::G6::BRD4,query,evaluation,False
E177::G7::BRD4,query,evaluation,False
E177::G8::BRD4,query,evaluation,False
E177::G1::CASP9,query,evaluation,False
E177::G2::CASP9,query,evaluation,False
E177::G3::CASP9,query,evaluation,False
E177::G4::CASP9,query,evaluation,False
E177::G5::CASP9,query,evaluation,False
E177::G6::CASP9,query,evaluation,False
E177::G7::CASP9,query,evaluation,False
E177::G8::CASP9,query,evaluation,False
E177::G1::CCZ1B,query,evaluation,False
E177::G2::CCZ1B,query,evaluation,False
E177::G3::CCZ1B,query,evaluation,False
E177::G4::CCZ1B,query,evaluation,False
E177::G5::CCZ1B,query,evaluation,False
E177::G6::CCZ1B,query,evaluation,False
E177::G7::CCZ1B,query,evaluation,False
E177::G8::CCZ1B,query,evaluation,False
E177::G1::CHD7,query,evaluation,False
E177::G2::CHD7,query,evaluation,False
E177::G3::CHD7,query,evaluation,False
E177::G4::CHD7,query,evaluation,False
E177::G5::CHD7,query,evaluation,False
E177::G6::CHD7,query,evaluation,False
E177::G7::CHD7,query,evaluation,False
E177::G8::CHD7,query,evaluation,False
E177::G1::CHEK2,query,evaluation,False
E177::G2::CHEK2,query,evaluation,False
E177::G3::CHEK2,query,evaluation,False
E177::G4::CHEK2,query,evaluation,False
E177::G5::CHEK2,query,evaluation,False
E177::G6::CHEK2,query,evaluation,False
E177::G7::CHEK2,query,evaluation,False
E177::G8::CHEK2,query,evaluation,False
E177::G1::DDX1,query,evaluation,False
E177::G2::DDX1,query,evaluation,False
E177::G3::DDX1,query,evaluation,False
E177::G4::DDX1,query,evaluation,False
E177::G5::DDX1,query,evaluation,False
E177::G6::DDX1,query,evaluation,False
E177::G7::DDX1,query,evaluation,False
E177::G8::DDX1,query,evaluation,False
E177::G1::EIF2AK2,query,evaluation,False
E177::G2::EIF2AK2,query,evaluation,False
E177::G3::EIF2AK2,query,evaluation,False
E177::G4::EIF2AK2,query,evaluation,False
E177::G5::EIF2AK2,query,evaluation,False
E177::G6::EIF2AK2,query,evaluation,False
E177::G7::EIF2AK2,query,evaluation,False
E177::G8::EIF2AK2,query,evaluation,False
E177::G1::EIF2AK3,query,evaluation,False
E177::G2::EIF2AK3,query,evaluation,False
E177::G3::EIF2AK3,query,evaluation,False
E177::G4::EIF2AK3,query,evaluation,False
E177::G5::EIF2AK3,query,evaluation,False
E177::G6::EIF2AK3,query,evaluation,False
E177::G7::EIF2AK3,query,evaluation,False
E177::G8::EIF2AK3,query,evaluation,False
E177::G1::EMC4,query,evaluation,False
E177::G2::EMC4,query,evaluation,False
E177::G3::EMC4,query,evaluation,False
E177::G4::EMC4,query,evaluation,False
E177::G5::EMC4,query,evaluation,False
E177::G6::EMC4,query,evaluation,False
E177::G7::EMC4,query,evaluation,False
E177::G8::EMC4,query,evaluation,False
E177::G1::FURIN,query,evaluation,False
E177::G2::FURIN,query,evaluation,False
E177::G3::FURIN,query,evaluation,False
E177::G4::FURIN,query,evaluation,False
E177::G5::FURIN,query,evaluation,False
E177::G6::FURIN,query,evaluation,False
E177::G7::FURIN,query,evaluation,False
E177::G8::FURIN,query,evaluation,False
E177::G1::IFITM1,query,evaluation,False
E177::G2::IFITM1,query,evaluation,False
E177::G3::IFITM1,query,evaluation,False
E177::G4::IFITM1,query,evaluation,False
E177::G5::IFITM1,query,evaluation,False
E177::G6::IFITM1,query,evaluation,False
E177::G7::IFITM1,query,evaluation,False
E177::G8::IFITM1,query,evaluation,False
E177::G1::IFITM3,query,evaluation,False
E177::G2::IFITM3,query,evaluation,False
E177::G3::IFITM3,query,evaluation,False
E177::G4::IFITM3,query,evaluation,False
E177::G5::IFITM3,query,evaluation,False
E177::G6::IFITM3,query,evaluation,False
E177::G7::IFITM3,query,evaluation,False
E177::G8::IFITM3,query,evaluation,False
E177::G1::IFNAR1,query,evaluation,False
E177::G2::IFNAR1,query,evaluation,False
E177::G3::IFNAR1,query,evaluation,False
E177::G4::IFNAR1,query,evaluation,False
E177::G5::IFNAR1,query,evaluation,False
E177::G6::IFNAR1,query,evaluation,False
E177::G7::IFNAR1,query,evaluation,False
E177::G8::IFNAR1,query,evaluation,False
E177::G1::IRF3,query,evaluation,False
E177::G2::IRF3,query,evaluation,False
E177::G3::IRF3,query,evaluation,False
E177::G4::IRF3,query,evaluation,False
E177::G5::IRF3,query,evaluation,False
E177::G6::IRF3,query,evaluation,False
E177::G7::IRF3,query,evaluation,False
E177::G8::IRF3,query,evaluation,False
E177::G1::JAK1,query,evaluation,False
E177::G2::JAK1,query,evaluation,False
E177::G3::JAK1,query,evaluation,False
E177::G4::JAK1,query,evaluation,False
E177::G5::JAK1,query,evaluation,False
E177::G6::JAK1,query,evaluation,False
E177::G7::JAK1,query,evaluation,False
E177::G8::JAK1,query,evaluation,False
E177::G1::MARK3,query,evaluation,False
E177::G2::MARK3,query,evaluation,False
E177::G3::MARK3,query,evaluation,False
E177::G4::MARK3,query,evaluation,False
E177::G5::MARK3,query,evaluation,False
E177::G6::MARK3,query,evaluation,False
E177::G7::MARK3,query,evaluation,False
E177::G8::MARK3,query,evaluation,False
E177::G1::MFSD12,query,evaluation,False
E177::G2::MFSD12,query,evaluation,False
E177::G3::MFSD12,query,evaluation,False
E177::G4::MFSD12,query,evaluation,False
E177::G5::MFSD12,query,evaluation,False
E177::G6::MFSD12,query,evaluation,False
E177::G7::MFSD12,query,evaluation,False
E177::G8::MFSD12,query,evaluation,False
E177::G1::MOV10,query,evaluation,False
E177::G2::MOV10,query,evaluation,False
E177::G3::MOV10,query,evaluation,False
E177::G4::MOV10,query,evaluation,False
E177::G5::MOV10,query,evaluation,False
E177::G6::MOV10,query,evaluation,False
E177::G7::MOV10,query,evaluation,False
E177::G8::MOV10,query,evaluation,False
E177::G1::MYD88,query,evaluation,False
E177::G2::MYD88,query,evaluation,False
E177::G3::MYD88,query,evaluation,False
E177::G4::MYD88,query,evaluation,False
E177::G5::MYD88,query,evaluation,False
E177::G6::MYD88,query,evaluation,False
E177::G7::MYD88,query,evaluation,False
E177::G8::MYD88,query,evaluation,False
E177::G1::NAE1,query,evaluation,False
E177::G2::NAE1,query,evaluation,False
E177::G3::NAE1,query,evaluation,False
E177::G4::NAE1,query,evaluation,False
E177::G5::NAE1,query,evaluation,False
E177::G6::NAE1,query,evaluation,False
E177::G7::NAE1,query,evaluation,False
E177::G8::NAE1,query,evaluation,False
E177::G1::NBAS,query,evaluation,False
E177::G2::NBAS,query,evaluation,False
E177::G3::NBAS,query,evaluation,False
E177::G4::NBAS,query,evaluation,False
E177::G5::NBAS,query,evaluation,False
E177::G6::NBAS,query,evaluation,False
E177::G7::NBAS,query,evaluation,False
E177::G8::NBAS,query,evaluation,False
E177::G1::NDFIP2,query,evaluation,False
E177::G2::NDFIP2,query,evaluation,False
E177::G3::NDFIP2,query,evaluation,False
E177::G4::NDFIP2,query,evaluation,False
E177::G5::NDFIP2,query,evaluation,False
E177::G6::NDFIP2,query,evaluation,False
E177::G7::NDFIP2,query,evaluation,False
E177::G8::NDFIP2,query,evaluation,False
E177::G1::NLRX1,query,evaluation,False
E177::G2::NLRX1,query,evaluation,False
E177::G3::NLRX1,query,evaluation,False
E177::G4::NLRX1,query,evaluation,False
E177::G5::NLRX1,query,evaluation,False
E177::G6::NLRX1,query,evaluation,False
E177::G7::NLRX1,query,evaluation,False
E177::G8::NLRX1,query,evaluation,False
E177::G1::PPIA,query,evaluation,False
E177::G2::PPIA,query,evaluation,False
E177::G3::PPIA,query,evaluation,False
E177::G4::PPIA,query,evaluation,False
E177::G5::PPIA,query,evaluation,False
E177::G6::PPIA,query,evaluation,False
E177::G7::PPIA,query,evaluation,False
E177::G8::PPIA,query,evaluation,False
E177::G1::PPIG,query,evaluation,False
E177::G2::PPIG,query,evaluation,False
E177::G3::PPIG,query,evaluation,False
E177::G4::PPIG,query,evaluation,False
E177::G5::PPIG,query,evaluation,False
E177::G6::PPIG,query,evaluation,False
E177::G7::PPIG,query,evaluation,False
E177::G8::PPIG,query,evaluation,False
E177::G1::RB1CC1,query,evaluation,False
E177::G2::RB1CC1,query,evaluation,False
E177::G3::RB1CC1,query,evaluation,False
E177::G4::RB1CC1,query,evaluation,False
E177::G5::RB1CC1,query,evaluation,False
E177::G6::RB1CC1,query,evaluation,False
E177::G7::RB1CC1,query,evaluation,False
E177::G8::RB1CC1,query,evaluation,False
E177::G1::RELA,query,evaluation,False
E177::G2::RELA,query,evaluation,False
E177::G3::RELA,query,evaluation,False
E177::G4::RELA,query,evaluation,False
E177::G5::RELA,query,evaluation,False
E177::G6::RELA,query,evaluation,False
E177::G7::RELA,query,evaluation,False
E177::G8::RELA,query,evaluation,False
E177::G1::RIPK1,query,evaluation,False
E177::G2::RIPK1,query,evaluation,False
E177::G3::RIPK1,query,evaluation,False
E177::G4::RIPK1,query,evaluation,False
E177::G5::RIPK1,query,evaluation,False
E177::G6::RIPK1,query,evaluation,False
E177::G7::RIPK1,query,evaluation,False
E177::G8::RIPK1,query,evaluation,False
E177::G1::RTN4,query,evaluation,False
E177::G2::RTN4,query,evaluation,False
E177::G3::RTN4,query,evaluation,False
E177::G4::RTN4,query,evaluation,False
E177::G5::RTN4,query,evaluation,False
E177::G6::RTN4,query,evaluation,False
E177::G7::RTN4,query,evaluation,False
E177::G8::RTN4,query,evaluation,False
E177::G1::SCARB1,query,evaluation,False
E177::G2::SCARB1,query,evaluation,False
E177::G3::SCARB1,query,evaluation,False
E177::G4::SCARB1,query,evaluation,False
E177::G5::SCARB1,query,evaluation,False
E177::G6::SCARB1,query,evaluation,False
E177::G7::SCARB1,query,evaluation,False
E177::G8::SCARB1,query,evaluation,False
E177::G1::SIGMAR1,query,evaluation,False
E177::G2::SIGMAR1,query,evaluation,False
E177::G3::SIGMAR1,query,evaluation,False
E177::G4::SIGMAR1,query,evaluation,False
E177::G5::SIGMAR1,query,evaluation,False
E177::G6::SIGMAR1,query,evaluation,False
E177::G7::SIGMAR1,query,evaluation,False
E177::G8::SIGMAR1,query,evaluation,False
E177::G1::SIRT1,query,evaluation,False
E177::G2::SIRT1,query,evaluation,False
E177::G3::SIRT1,query,evaluation,False
E177::G4::SIRT1,query,evaluation,False
E177::G5::SIRT1,query,evaluation,False
E177::G6::SIRT1,query,evaluation,False
E177::G7::SIRT1,query,evaluation,False
E177::G8::SIRT1,query,evaluation,False
E177::G1::SLC35B2,query,evaluation,False
E177::G2::SLC35B2,query,evaluation,False
E177::G3::SLC35B2,query,evaluation,False
E177::G4::SLC35B2,query,evaluation,False
E177::G5::SLC35B2,query,evaluation,False
E177::G6::SLC35B2,query,evaluation,False
E177::G7::SLC35B2,query,evaluation,False
E177::G8::SLC35B2,query,evaluation,False
E177::G1::STAT2,query,evaluation,False
E177::G2::STAT2,query,evaluation,False
E177::G3::STAT2,query,evaluation,False
E177::G4::STAT2,query,evaluation,False
E177::G5::STAT2,query,evaluation,False
E177::G6::STAT2,query,evaluation,False
E177::G7::STAT2,query,evaluation,False
E177::G8::STAT2,query,evaluation,False
E177::G1::TBCB,query,evaluation,False
E177::G2::TBCB,query,evaluation,False
E177::G3::TBCB,query,evaluation,False
E177::G4::TBCB,query,evaluation,False
E177::G5::TBCB,query,evaluation,False
E177::G6::TBCB,query,evaluation,False
E177::G7::TBCB,query,evaluation,False
E177::G8::TBCB,query,evaluation,False
E177::G1::TLE3,query,evaluation,False
E177::G2::TLE3,query,evaluation,False
E177::G3::TLE3,query,evaluation,False
E177::G4::TLE3,query,evaluation,False
E177::G5::TLE3,query,evaluation,False
E177::G6::TLE3,query,evaluation,False
E177::G7::TLE3,query,evaluation,False
E177::G8::TLE3,query,evaluation,False
E177::G1::TMEM41B,query,evaluation,False
E177::G2::TMEM41B,query,evaluation,False
E177::G3::TMEM41B,query,evaluation,False
E177::G4::TMEM41B,query,evaluation,False
E177::G5::TMEM41B,query,evaluation,False
E177::G6::TMEM41B,query,evaluation,False
E177::G7::TMEM41B,query,evaluation,False
E177::G8::TMEM41B,query,evaluation,False
E177::G1::TMEM97,query,evaluation,False
E177::G2::TMEM97,query,evaluation,False
E177::G3::TMEM97,query,evaluation,False
E177::G4::TMEM97,query,evaluation,False
E177::G5::TMEM97,query,evaluation,False
E177::G6::TMEM97,query,evaluation,False
E177::G7::TMEM97,query,evaluation,False
E177::G8::TMEM97,query,evaluation,False
E177::G1::TRMT1,query,evaluation,False
E177::G2::TRMT1,query,evaluation,False
E177::G3::TRMT1,query,evaluation,False
E177::G4::TRMT1,query,evaluation,False
E177::G5::TRMT1,query,evaluation,False
E177::G6::TRMT1,query,evaluation,False
E177::G7::TRMT1,query,evaluation,False
E177::G8::TRMT1,query,evaluation,False
E177::G1::TYK2,query,evaluation,False
E177::G2::TYK2,query,evaluation,False
E177::G3::TYK2,query,evaluation,False
E177::G4::TYK2,query,evaluation,False
E177::G5::TYK2,query,evaluation,False
E177::G6::TYK2,query,evaluation,False
E177::G7::TYK2,query,evaluation,False
E177::G8::TYK2,query,evaluation,False
E177::G1::TYRO3,query,evaluation,False
E177::G2::TYRO3,query,evaluation,False
E177::G3::TYRO3,query,evaluation,False
E177::G4::TYRO3,query,evaluation,False
E177::G5::TYRO3,query,evaluation,False
E177::G6::TYRO3,query,evaluation,False
E177::G7::TYRO3,query,evaluation,False
E177::G8::TYRO3,query,evaluation,False
E177::G1::USO1,query,evaluation,False
E177::G2::USO1,query,evaluation,False
E177::G3::USO1,query,evaluation,False
E177::G4::USO1,query,evaluation,False
E177::G5::USO1,query,evaluation,False
E177::G6::USO1,query,evaluation,False
E177::G7::USO1,query,evaluation,False
E177::G8::USO1,query,evaluation,False
E177::G1::VPS33A,query,evaluation,False
E177::G2::VPS33A,query,evaluation,False
E177::G3::VPS33A,query,evaluation,False
E177::G4::VPS33A,query,evaluation,False
E177::G5::VPS33A,query,evaluation,False
E177::G6::VPS33A,query,evaluation,False
E177::G7::VPS33A,query,evaluation,False
E177::G8::VPS33A,query,evaluation,False
E177::G1::XBP1,query,evaluation,False
E177::G2::XBP1,query,evaluation,False
E177::G3::XBP1,query,evaluation,False
E177::G4::XBP1,query,evaluation,False
E177::G5::XBP1,query,evaluation,False
E177::G6::XBP1,query,evaluation,False
E177::G7::XBP1,query,evaluation,False
E177::G8::XBP1,query,evaluation,False
E177::G1::ZCRB1,query,evaluation,False
E177::G2::ZCRB1,query,evaluation,False
E177::G3::ZCRB1,query,evaluation,False
E177::G4::ZCRB1,query,evaluation,False
E177::G5::ZCRB1,query,evaluation,False
E177::G6::ZCRB1,query,evaluation,False
E177::G7::ZCRB1,query,evaluation,False
E177::G8::ZCRB1,query,evaluation,False
E177::G1::AP3B1,query,train,False
E177::G1::AP3B1,supervised_train,train,True
E177::G2::AP3B1,query,train,False
E177::G2::AP3B1,supervised_train,train,True
E177::G3::AP3B1,query,train,False
E177::G3::AP3B1,supervised_train,train,True
E177::G4::AP3B1,query,train,False
E177::G4::AP3B1,supervised_train,train,True
E177::G5::AP3B1,query,train,False
E177::G5::AP3B1,supervised_train,train,True
E177::G6::AP3B1,query,train,False
E177::G6::AP3B1,supervised_train,train,True
E177::G7::AP3B1,query,train,False
E177::G7::AP3B1,supervised_train,train,True
E177::G8::AP3B1,query,train,False
E177::G8::AP3B1,supervised_train,train,True
E177::G1::ARF1,query,train,False
E177::G1::ARF1,supervised_train,train,True
E177::G2::ARF1,query,train,False
E177::G2::ARF1,supervised_train,train,True
E177::G3::ARF1,query,train,False
E177::G3::ARF1,supervised_train,train,True
E177::G4::ARF1,query,train,False
E177::G4::ARF1,supervised_train,train,True
E177::G5::ARF1,query,train,False
E177::G5::ARF1,supervised_train,train,True
E177::G6::ARF1,query,train,False
E177::G6::ARF1,supervised_train,train,True
E177::G7::ARF1,query,train,False
E177::G7::ARF1,supervised_train,train,True
E177::G8::ARF1,query,train,False
E177::G8::ARF1,supervised_train,train,True
E177::G1::ARFRP1,query,train,False
E177::G1::ARFRP1,supervised_train,train,True
E177::G2::ARFRP1,query,train,False
E177::G2::ARFRP1,supervised_train,train,True
E177::G3::ARFRP1,query,train,False
E177::G3::ARFRP1,supervised_train,train,True
E177::G4::ARFRP1,query,train,False
E177::G4::ARFRP1,supervised_train,train,True
E177::G5::ARFRP1,query,train,False
E177::G5::ARFRP1,supervised_train,train,True
E177::G6::ARFRP1,query,train,False
E177::G6::ARFRP1,supervised_train,train,True
E177::G7::ARFRP1,query,train,False
E177::G7::ARFRP1,supervised_train,train,True
E177::G8::ARFRP1,query,train,False
E177::G8::ARFRP1,supervised_train,train,True
E177::G1::ATG14,query,train,False
