dataset_name,fold_id,calibration_method,inner_fold,n_train_rows,n_holdout_rows,n_train_tasks,n_holdout_tasks,task_overlap
LaraAstiasoHuntly2023_exvivo,3,isotonic,2,344,172,172,86,0
LaraAstiasoHuntly2023_exvivo,3,natural_spline_df4,0,344,172,172,86,0
LaraAstiasoHuntly2023_exvivo,3,natural_spline_df4,1,344,172,172,86,0
LaraAstiasoHuntly2023_exvivo,3,natural_spline_df4,2,344,172,172,86,0
LaraAstiasoHuntly2023_exvivo,4,isotonic,0,344,174,172,87,0
LaraAstiasoHuntly2023_exvivo,4,isotonic,1,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,4,isotonic,2,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,4,natural_spline_df4,0,344,174,172,87,0
LaraAstiasoHuntly2023_exvivo,4,natural_spline_df4,1,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,4,natural_spline_df4,2,346,172,173,86,0
LaraAstiasoHuntly2023_invivo,0,isotonic,0,400,202,200,101,0
LaraAstiasoHuntly2023_invivo,0,isotonic,1,402,200,201,100,0
LaraAstiasoHuntly2023_invivo,0,isotonic,2,402,200,201,100,0
LaraAstiasoHuntly2023_invivo,0,natural_spline_df4,0,400,202,200,101,0
LaraAstiasoHuntly2023_invivo,0,natural_spline_df4,1,402,200,201,100,0
LaraAstiasoHuntly2023_invivo,0,natural_spline_df4,2,402,200,201,100,0
LaraAstiasoHuntly2023_invivo,1,isotonic,0,404,202,202,101,0
LaraAstiasoHuntly2023_invivo,1,isotonic,1,404,202,202,101,0
LaraAstiasoHuntly2023_invivo,1,isotonic,2,404,202,202,101,0
LaraAstiasoHuntly2023_invivo,1,natural_spline_df4,0,404,202,202,101,0
LaraAstiasoHuntly2023_invivo,1,natural_spline_df4,1,404,202,202,101,0
LaraAstiasoHuntly2023_invivo,1,natural_spline_df4,2,404,202,202,101,0
LaraAstiasoHuntly2023_invivo,2,isotonic,0,398,200,199,100,0
LaraAstiasoHuntly2023_invivo,2,isotonic,1,398,200,199,100,0
LaraAstiasoHuntly2023_invivo,2,isotonic,2,400,198,200,99,0
LaraAstiasoHuntly2023_invivo,2,natural_spline_df4,0,398,200,199,100,0
LaraAstiasoHuntly2023_invivo,2,natural_spline_df4,1,398,200,199,100,0
LaraAstiasoHuntly2023_invivo,2,natural_spline_df4,2,400,198,200,99,0
LaraAstiasoHuntly2023_invivo,3,isotonic,0,400,200,200,100,0
LaraAstiasoHuntly2023_invivo,3,isotonic,1,400,200,200,100,0
LaraAstiasoHuntly2023_invivo,3,isotonic,2,400,200,200,100,0
LaraAstiasoHuntly2023_invivo,3,natural_spline_df4,0,400,200,200,100,0
LaraAstiasoHuntly2023_invivo,3,natural_spline_df4,1,400,200,200,100,0
LaraAstiasoHuntly2023_invivo,3,natural_spline_df4,2,400,200,200,100,0
LaraAstiasoHuntly2023_invivo,4,isotonic,0,402,202,201,101,0
LaraAstiasoHuntly2023_invivo,4,isotonic,1,402,202,201,101,0
LaraAstiasoHuntly2023_invivo,4,isotonic,2,404,200,202,100,0
LaraAstiasoHuntly2023_invivo,4,natural_spline_df4,0,402,202,201,101,0
LaraAstiasoHuntly2023_invivo,4,natural_spline_df4,1,402,202,201,101,0
LaraAstiasoHuntly2023_invivo,4,natural_spline_df4,2,404,200,202,100,0
McFarlandTsherniak2020,0,isotonic,0,1240,620,620,310,0
McFarlandTsherniak2020,0,isotonic,1,1240,620,620,310,0
McFarlandTsherniak2020,0,isotonic,2,1240,620,620,310,0
McFarlandTsherniak2020,0,natural_spline_df4,0,1240,620,620,310,0
McFarlandTsherniak2020,0,natural_spline_df4,1,1240,620,620,310,0
McFarlandTsherniak2020,0,natural_spline_df4,2,1240,620,620,310,0
McFarlandTsherniak2020,1,isotonic,0,1240,620,620,310,0
McFarlandTsherniak2020,1,isotonic,1,1240,620,620,310,0
McFarlandTsherniak2020,1,isotonic,2,1240,620,620,310,0
McFarlandTsherniak2020,1,natural_spline_df4,0,1240,620,620,310,0
McFarlandTsherniak2020,1,natural_spline_df4,1,1240,620,620,310,0
McFarlandTsherniak2020,1,natural_spline_df4,2,1240,620,620,310,0
McFarlandTsherniak2020,2,isotonic,0,1240,622,620,311,0
McFarlandTsherniak2020,2,isotonic,1,1242,620,621,310,0
McFarlandTsherniak2020,2,isotonic,2,1242,620,621,310,0
McFarlandTsherniak2020,2,natural_spline_df4,0,1240,622,620,311,0
McFarlandTsherniak2020,2,natural_spline_df4,1,1242,620,621,310,0
McFarlandTsherniak2020,2,natural_spline_df4,2,1242,620,621,310,0
McFarlandTsherniak2020,3,isotonic,0,1240,622,620,311,0
McFarlandTsherniak2020,3,isotonic,1,1242,620,621,310,0
McFarlandTsherniak2020,3,isotonic,2,1242,620,621,310,0
McFarlandTsherniak2020,3,natural_spline_df4,0,1240,622,620,311,0
McFarlandTsherniak2020,3,natural_spline_df4,1,1242,620,621,310,0
McFarlandTsherniak2020,3,natural_spline_df4,2,1242,620,621,310,0
McFarlandTsherniak2020,4,isotonic,0,1240,620,620,310,0
McFarlandTsherniak2020,4,isotonic,1,1240,620,620,310,0
McFarlandTsherniak2020,4,isotonic,2,1240,620,620,310,0
McFarlandTsherniak2020,4,natural_spline_df4,0,1240,620,620,310,0
McFarlandTsherniak2020,4,natural_spline_df4,1,1240,620,620,310,0
McFarlandTsherniak2020,4,natural_spline_df4,2,1240,620,620,310,0
SantinhaPlatt2023,0,isotonic,0,290,146,145,73,0
SantinhaPlatt2023,0,isotonic,1,290,146,145,73,0
SantinhaPlatt2023,0,isotonic,2,292,144,146,72,0
SantinhaPlatt2023,0,natural_spline_df4,0,290,146,145,73,0
SantinhaPlatt2023,0,natural_spline_df4,1,290,146,145,73,0
SantinhaPlatt2023,0,natural_spline_df4,2,292,144,146,72,0
SantinhaPlatt2023,1,isotonic,0,292,148,146,74,0
SantinhaPlatt2023,1,isotonic,1,294,146,147,73,0
SantinhaPlatt2023,1,isotonic,2,294,146,147,73,0
SantinhaPlatt2023,1,natural_spline_df4,0,292,148,146,74,0
SantinhaPlatt2023,1,natural_spline_df4,1,294,146,147,73,0
SantinhaPlatt2023,1,natural_spline_df4,2,294,146,147,73,0
SantinhaPlatt2023,2,isotonic,0,290,146,145,73,0
SantinhaPlatt2023,2,isotonic,1,290,146,145,73,0
SantinhaPlatt2023,2,isotonic,2,292,144,146,72,0
SantinhaPlatt2023,2,natural_spline_df4,0,290,146,145,73,0
SantinhaPlatt2023,2,natural_spline_df4,1,290,146,145,73,0
SantinhaPlatt2023,2,natural_spline_df4,2,292,144,146,72,0
SantinhaPlatt2023,3,isotonic,0,288,146,144,73,0
SantinhaPlatt2023,3,isotonic,1,290,144,145,72,0
SantinhaPlatt2023,3,isotonic,2,290,144,145,72,0
SantinhaPlatt2023,3,natural_spline_df4,0,288,146,144,73,0
SantinhaPlatt2023,3,natural_spline_df4,1,290,144,145,72,0
SantinhaPlatt2023,3,natural_spline_df4,2,290,144,145,72,0
SantinhaPlatt2023,4,isotonic,0,292,146,146,73,0
SantinhaPlatt2023,4,isotonic,1,292,146,146,73,0
SantinhaPlatt2023,4,isotonic,2,292,146,146,73,0
SantinhaPlatt2023,4,natural_spline_df4,0,292,146,146,73,0
SantinhaPlatt2023,4,natural_spline_df4,1,292,146,146,73,0
SantinhaPlatt2023,4,natural_spline_df4,2,292,146,146,73,0
SrivatsanTrapnell2020_sciplex3,0,isotonic,0,600,302,300,151,0
SrivatsanTrapnell2020_sciplex3,0,isotonic,1,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,0,isotonic,2,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,0,natural_spline_df4,0,600,302,300,151,0
SrivatsanTrapnell2020_sciplex3,0,natural_spline_df4,1,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,0,natural_spline_df4,2,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,1,isotonic,0,602,302,301,151,0
SrivatsanTrapnell2020_sciplex3,1,isotonic,1,602,302,301,151,0
SrivatsanTrapnell2020_sciplex3,1,isotonic,2,604,300,302,150,0
SrivatsanTrapnell2020_sciplex3,1,natural_spline_df4,0,602,302,301,151,0
SrivatsanTrapnell2020_sciplex3,1,natural_spline_df4,1,602,302,301,151,0
SrivatsanTrapnell2020_sciplex3,1,natural_spline_df4,2,604,300,302,150,0
SrivatsanTrapnell2020_sciplex3,2,isotonic,0,600,302,300,151,0
SrivatsanTrapnell2020_sciplex3,2,isotonic,1,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,2,isotonic,2,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,2,natural_spline_df4,0,600,302,300,151,0
SrivatsanTrapnell2020_sciplex3,2,natural_spline_df4,1,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,2,natural_spline_df4,2,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,3,isotonic,0,600,302,300,151,0
SrivatsanTrapnell2020_sciplex3,3,isotonic,1,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,3,isotonic,2,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,3,natural_spline_df4,0,600,302,300,151,0
SrivatsanTrapnell2020_sciplex3,3,natural_spline_df4,1,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,3,natural_spline_df4,2,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,4,isotonic,0,600,302,300,151,0
SrivatsanTrapnell2020_sciplex3,4,isotonic,1,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,4,isotonic,2,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,4,natural_spline_df4,0,600,302,300,151,0
SrivatsanTrapnell2020_sciplex3,4,natural_spline_df4,1,602,300,301,150,0
SrivatsanTrapnell2020_sciplex3,4,natural_spline_df4,2,602,300,301,150,0
