panel,seed,condition,task_gene,audit_stage,actual_split_verified,exact_single_condition_in_train_or_val,n_train_or_val_double_conditions_containing_gene,double_condition_examples
P1,22,IER5L+ctrl,IER5L,actual_child_set2conditions,True,False,1,IER5L+LYL1
P1,22,IGDCC3+ctrl,IGDCC3,actual_child_set2conditions,True,False,6,DUSP9+IGDCC3;ETS2+IGDCC3;IGDCC3+MAPK1;IGDCC3+PRTG;IGDCC3+TGFBR2;IGDCC3+ZBTB25
P1,22,IKZF3+ctrl,IKZF3,actual_child_set2conditions,True,False,5,ETS2+IKZF3;FOSB+IKZF3;IKZF3+MAP2K3;IKZF3+MAP2K6;IKZF3+MAPK1
P1,22,JUN+ctrl,JUN,actual_child_set2conditions,True,False,2,CEBPA+JUN;CEBPB+JUN
P1,22,MAPK1+ctrl,MAPK1,actual_child_set2conditions,True,False,8,CEBPB+MAPK1;CNN1+MAPK1;DUSP9+MAPK1;ETS2+MAPK1;IGDCC3+MAPK1;IKZF3+MAPK1;MAPK1+PRTG;MAPK1+TGFBR2
P1,22,MEIS1+ctrl,MEIS1,actual_child_set2conditions,True,False,1,FOXL2+MEIS1
P1,22,MIDN+ctrl,MIDN,actual_child_set2conditions,True,False,0,
P1,22,OSR2+ctrl,OSR2,actual_child_set2conditions,True,False,4,CEBPB+OSR2;FOSB+OSR2;OSR2+PTPN12;OSR2+UBASH3B
P1,22,POU3F2+ctrl,POU3F2,actual_child_set2conditions,True,False,2,CBFA2T3+POU3F2;FOXL2+POU3F2
P1,22,PRDM1+ctrl,PRDM1,actual_child_set2conditions,True,False,1,CBFA2T3+PRDM1
P1,22,PTPN12+ctrl,PTPN12,actual_child_set2conditions,True,False,12,CBL+PTPN12;CEBPB+PTPN12;CEBPE+PTPN12;FOSB+PTPN12;OSR2+PTPN12;PTPN12+PTPN9;PTPN12+SAMD1;PTPN12+SNAI1;PTPN12+UBASH3A;PTPN12+UBASH3B
P1,22,PTPN13+ctrl,PTPN13,actual_child_set2conditions,True,False,0,
P1,22,S1PR2+ctrl,S1PR2,actual_child_set2conditions,True,False,1,S1PR2+SGK1
P1,22,SNAI1+ctrl,SNAI1,actual_child_set2conditions,True,False,5,DLX2+SNAI1;DUSP9+SNAI1;PTPN12+SNAI1;SNAI1+UBASH3B;SNAI1+ZBTB10
P1,22,SPI1+ctrl,SPI1,actual_child_set2conditions,True,False,2,CEBPE+SPI1;MAP2K6+SPI1
P1,22,STIL+ctrl,STIL,actual_child_set2conditions,True,False,1,PLK4+STIL
P1,22,TSC22D1+ctrl,TSC22D1,actual_child_set2conditions,True,False,0,
P1,33,BCL2L11+ctrl,BCL2L11,actual_child_set2conditions,True,False,2,BAK1+BCL2L11;BCL2L11+TGFBR2
P1,33,CKS1B+ctrl,CKS1B,actual_child_set2conditions,True,False,0,
P1,33,CLDN6+ctrl,CLDN6,actual_child_set2conditions,True,False,1,CLDN6+KLF1
P1,33,FEV+ctrl,FEV,actual_child_set2conditions,True,False,4,AHR+FEV;CBFA2T3+FEV;FEV+ISL2;FEV+MAP7D1
P1,33,FOSB+ctrl,FOSB,actual_child_set2conditions,True,False,6,CEBPB+FOSB;CEBPE+FOSB;FOSB+IKZF3;FOSB+OSR2;FOSB+PTPN12;FOSB+UBASH3B
P1,33,FOXA1+ctrl,FOXA1,actual_child_set2conditions,True,False,5,FOXA1+FOXA3;FOXA1+FOXF1;FOXA1+FOXL2;FOXA1+HOXB9;FOXA1+KLF1
P1,33,FOXA3+ctrl,FOXA3,actual_child_set2conditions,True,False,4,FOXA1+FOXA3;FOXA3+FOXF1;FOXA3+FOXL2;FOXA3+HOXB9
P1,33,IER5L+ctrl,IER5L,actual_child_set2conditions,True,False,1,IER5L+LYL1
P1,33,IGDCC3+ctrl,IGDCC3,actual_child_set2conditions,True,False,6,DUSP9+IGDCC3;ETS2+IGDCC3;IGDCC3+MAPK1;IGDCC3+PRTG;IGDCC3+TGFBR2;IGDCC3+ZBTB25
P1,33,IKZF3+ctrl,IKZF3,actual_child_set2conditions,True,False,5,ETS2+IKZF3;FOSB+IKZF3;IKZF3+MAP2K3;IKZF3+MAP2K6;IKZF3+MAPK1
P1,33,JUN+ctrl,JUN,actual_child_set2conditions,True,False,2,CEBPA+JUN;CEBPB+JUN
P1,33,MAPK1+ctrl,MAPK1,actual_child_set2conditions,True,False,8,CEBPB+MAPK1;CNN1+MAPK1;DUSP9+MAPK1;ETS2+MAPK1;IGDCC3+MAPK1;IKZF3+MAPK1;MAPK1+PRTG;MAPK1+TGFBR2
P1,33,MEIS1+ctrl,MEIS1,actual_child_set2conditions,True,False,1,FOXL2+MEIS1
P1,33,MIDN+ctrl,MIDN,actual_child_set2conditions,True,False,0,
P1,33,OSR2+ctrl,OSR2,actual_child_set2conditions,True,False,4,CEBPB+OSR2;FOSB+OSR2;OSR2+PTPN12;OSR2+UBASH3B
P1,33,POU3F2+ctrl,POU3F2,actual_child_set2conditions,True,False,2,CBFA2T3+POU3F2;FOXL2+POU3F2
P1,33,PRDM1+ctrl,PRDM1,actual_child_set2conditions,True,False,1,CBFA2T3+PRDM1
P1,33,PTPN12+ctrl,PTPN12,actual_child_set2conditions,True,False,12,CBL+PTPN12;CEBPB+PTPN12;CEBPE+PTPN12;FOSB+PTPN12;OSR2+PTPN12;PTPN12+PTPN9;PTPN12+SAMD1;PTPN12+SNAI1;PTPN12+UBASH3A;PTPN12+UBASH3B
P1,33,PTPN13+ctrl,PTPN13,actual_child_set2conditions,True,False,0,
P1,33,S1PR2+ctrl,S1PR2,actual_child_set2conditions,True,False,1,S1PR2+SGK1
P1,33,SNAI1+ctrl,SNAI1,actual_child_set2conditions,True,False,5,DLX2+SNAI1;DUSP9+SNAI1;PTPN12+SNAI1;SNAI1+UBASH3B;SNAI1+ZBTB10
P1,33,SPI1+ctrl,SPI1,actual_child_set2conditions,True,False,2,CEBPE+SPI1;MAP2K6+SPI1
P1,33,STIL+ctrl,STIL,actual_child_set2conditions,True,False,1,PLK4+STIL
P1,33,TSC22D1+ctrl,TSC22D1,actual_child_set2conditions,True,False,0,
P2,11,ARRDC3+ctrl,ARRDC3,actual_child_set2conditions,True,False,0,
P2,11,ATL1+ctrl,ATL1,actual_child_set2conditions,True,False,0,
P2,11,BPGM+ctrl,BPGM,actual_child_set2conditions,True,False,2,BPGM+SAMD1;BPGM+ZBTB1
P2,11,CBFA2T3+ctrl,CBFA2T3,actual_child_set2conditions,True,False,3,CBFA2T3+FEV;CBFA2T3+POU3F2;CBFA2T3+PRDM1
P2,11,CDKN1C+ctrl,CDKN1C,actual_child_set2conditions,True,False,2,CDKN1A+CDKN1C;CDKN1B+CDKN1C
P2,11,CEBPA+ctrl,CEBPA,actual_child_set2conditions,True,False,5,CEBPA+CEBPB;CEBPA+CEBPE;CEBPA+JUN;CEBPA+KLF1;CEBPA+ZC3HAV1
P2,11,CEBPB+ctrl,CEBPB,actual_child_set2conditions,True,False,8,CEBPA+CEBPB;CEBPB+CEBPE;CEBPB+FOSB;CEBPB+JUN;CEBPB+LYL1;CEBPB+MAPK1;CEBPB+OSR2;CEBPB+PTPN12
P2,11,CELF2+ctrl,CELF2,actual_child_set2conditions,True,False,0,
P2,11,COL1A1+ctrl,COL1A1,actual_child_set2conditions,True,False,0,
P2,11,COL2A1+ctrl,COL2A1,actual_child_set2conditions,True,False,1,COL2A1+KLF1
P2,11,CSRNP1+ctrl,CSRNP1,actual_child_set2conditions,True,False,0,
P2,11,DLX2+ctrl,DLX2,actual_child_set2conditions,True,False,2,DLX2+SNAI1;DLX2+ZBTB10
P2,11,HK2+ctrl,HK2,actual_child_set2conditions,True,False,0,
P2,11,HOXA13+ctrl,HOXA13,actual_child_set2conditions,True,False,0,
P2,11,NCL+ctrl,NCL,actual_child_set2conditions,True,False,0,
P2,11,RREB1+ctrl,RREB1,actual_child_set2conditions,True,False,0,
P2,11,SAMD1+ctrl,SAMD1,actual_child_set2conditions,True,False,5,BPGM+SAMD1;PTPN12+SAMD1;SAMD1+TGFBR2;SAMD1+UBASH3B;SAMD1+ZBTB1
P2,11,SGK1+ctrl,SGK1,actual_child_set2conditions,True,False,3,S1PR2+SGK1;SGK1+TBX2;SGK1+TBX3
P2,11,SLC38A2+ctrl,SLC38A2,actual_child_set2conditions,True,False,1,MAP2K3+SLC38A2
P2,11,SLC4A1+ctrl,SLC4A1,actual_child_set2conditions,True,False,0,
P2,11,SLC6A9+ctrl,SLC6A9,actual_child_set2conditions,True,False,0,
P2,11,TBX3+ctrl,TBX3,actual_child_set2conditions,True,False,2,SGK1+TBX3;TBX2+TBX3
P2,11,TP73+ctrl,TP73,actual_child_set2conditions,True,False,0,
P2,11,ZC3HAV1+ctrl,ZC3HAV1,actual_child_set2conditions,True,False,3,CEBPA+ZC3HAV1;CEBPE+ZC3HAV1;HOXC13+ZC3HAV1
P2,22,ARRDC3+ctrl,ARRDC3,actual_child_set2conditions,True,False,0,
P2,22,ATL1+ctrl,ATL1,actual_child_set2conditions,True,False,0,
P2,22,BPGM+ctrl,BPGM,actual_child_set2conditions,True,False,2,BPGM+SAMD1;BPGM+ZBTB1
P2,22,CBFA2T3+ctrl,CBFA2T3,actual_child_set2conditions,True,False,3,CBFA2T3+FEV;CBFA2T3+POU3F2;CBFA2T3+PRDM1
P2,22,CDKN1C+ctrl,CDKN1C,actual_child_set2conditions,True,False,2,CDKN1A+CDKN1C;CDKN1B+CDKN1C
P2,22,CEBPA+ctrl,CEBPA,actual_child_set2conditions,True,False,5,CEBPA+CEBPB;CEBPA+CEBPE;CEBPA+JUN;CEBPA+KLF1;CEBPA+ZC3HAV1
P2,22,CEBPB+ctrl,CEBPB,actual_child_set2conditions,True,False,8,CEBPA+CEBPB;CEBPB+CEBPE;CEBPB+FOSB;CEBPB+JUN;CEBPB+LYL1;CEBPB+MAPK1;CEBPB+OSR2;CEBPB+PTPN12
P2,22,CELF2+ctrl,CELF2,actual_child_set2conditions,True,False,0,
P2,22,COL1A1+ctrl,COL1A1,actual_child_set2conditions,True,False,0,
P2,22,COL2A1+ctrl,COL2A1,actual_child_set2conditions,True,False,1,COL2A1+KLF1
P2,22,CSRNP1+ctrl,CSRNP1,actual_child_set2conditions,True,False,0,
P2,22,DLX2+ctrl,DLX2,actual_child_set2conditions,True,False,2,DLX2+SNAI1;DLX2+ZBTB10
P2,22,HK2+ctrl,HK2,actual_child_set2conditions,True,False,0,
P2,22,HOXA13+ctrl,HOXA13,actual_child_set2conditions,True,False,0,
P2,22,NCL+ctrl,NCL,actual_child_set2conditions,True,False,0,
P2,22,RREB1+ctrl,RREB1,actual_child_set2conditions,True,False,0,
P2,22,SAMD1+ctrl,SAMD1,actual_child_set2conditions,True,False,5,BPGM+SAMD1;PTPN12+SAMD1;SAMD1+TGFBR2;SAMD1+UBASH3B;SAMD1+ZBTB1
P2,22,SGK1+ctrl,SGK1,actual_child_set2conditions,True,False,3,S1PR2+SGK1;SGK1+TBX2;SGK1+TBX3
P2,22,SLC38A2+ctrl,SLC38A2,actual_child_set2conditions,True,False,1,MAP2K3+SLC38A2
P2,22,SLC4A1+ctrl,SLC4A1,actual_child_set2conditions,True,False,0,
P2,22,SLC6A9+ctrl,SLC6A9,actual_child_set2conditions,True,False,0,
P2,22,TBX3+ctrl,TBX3,actual_child_set2conditions,True,False,2,SGK1+TBX3;TBX2+TBX3
P2,22,TP73+ctrl,TP73,actual_child_set2conditions,True,False,0,
P2,22,ZC3HAV1+ctrl,ZC3HAV1,actual_child_set2conditions,True,False,3,CEBPA+ZC3HAV1;CEBPE+ZC3HAV1;HOXC13+ZC3HAV1
P2,33,ARRDC3+ctrl,ARRDC3,actual_child_set2conditions,True,False,0,
P2,33,ATL1+ctrl,ATL1,actual_child_set2conditions,True,False,0,
P2,33,BPGM+ctrl,BPGM,actual_child_set2conditions,True,False,2,BPGM+SAMD1;BPGM+ZBTB1
P2,33,CBFA2T3+ctrl,CBFA2T3,actual_child_set2conditions,True,False,3,CBFA2T3+FEV;CBFA2T3+POU3F2;CBFA2T3+PRDM1
P2,33,CDKN1C+ctrl,CDKN1C,actual_child_set2conditions,True,False,2,CDKN1A+CDKN1C;CDKN1B+CDKN1C
P2,33,CEBPA+ctrl,CEBPA,actual_child_set2conditions,True,False,5,CEBPA+CEBPB;CEBPA+CEBPE;CEBPA+JUN;CEBPA+KLF1;CEBPA+ZC3HAV1
P2,33,CEBPB+ctrl,CEBPB,actual_child_set2conditions,True,False,8,CEBPA+CEBPB;CEBPB+CEBPE;CEBPB+FOSB;CEBPB+JUN;CEBPB+LYL1;CEBPB+MAPK1;CEBPB+OSR2;CEBPB+PTPN12
P2,33,CELF2+ctrl,CELF2,actual_child_set2conditions,True,False,0,
P2,33,COL1A1+ctrl,COL1A1,actual_child_set2conditions,True,False,0,
P2,33,COL2A1+ctrl,COL2A1,actual_child_set2conditions,True,False,1,COL2A1+KLF1
P2,33,CSRNP1+ctrl,CSRNP1,actual_child_set2conditions,True,False,0,
P2,33,DLX2+ctrl,DLX2,actual_child_set2conditions,True,False,2,DLX2+SNAI1;DLX2+ZBTB10
P2,33,HK2+ctrl,HK2,actual_child_set2conditions,True,False,0,
P2,33,HOXA13+ctrl,HOXA13,actual_child_set2conditions,True,False,0,
P2,33,NCL+ctrl,NCL,actual_child_set2conditions,True,False,0,
P2,33,RREB1+ctrl,RREB1,actual_child_set2conditions,True,False,0,
P2,33,SAMD1+ctrl,SAMD1,actual_child_set2conditions,True,False,5,BPGM+SAMD1;PTPN12+SAMD1;SAMD1+TGFBR2;SAMD1+UBASH3B;SAMD1+ZBTB1
P2,33,SGK1+ctrl,SGK1,actual_child_set2conditions,True,False,3,S1PR2+SGK1;SGK1+TBX2;SGK1+TBX3
P2,33,SLC38A2+ctrl,SLC38A2,actual_child_set2conditions,True,False,1,MAP2K3+SLC38A2
P2,33,SLC4A1+ctrl,SLC4A1,actual_child_set2conditions,True,False,0,
P2,33,SLC6A9+ctrl,SLC6A9,actual_child_set2conditions,True,False,0,
P2,33,TBX3+ctrl,TBX3,actual_child_set2conditions,True,False,2,SGK1+TBX3;TBX2+TBX3
P2,33,TP73+ctrl,TP73,actual_child_set2conditions,True,False,0,
P2,33,ZC3HAV1+ctrl,ZC3HAV1,actual_child_set2conditions,True,False,3,CEBPA+ZC3HAV1;CEBPE+ZC3HAV1;HOXC13+ZC3HAV1
