selection_rank,perturbation,eligibility_hash,in_all_expression_gene_axes,scgpt_token,in_scgpt_vocabulary,n_cells_K562,n_batches_K562,n_guide_entities_K562,n_transcript_groups_K562,n_gene_ids_K562,n_cells_RPE1,n_batches_RPE1,n_guide_entities_RPE1,n_transcript_groups_RPE1,n_gene_ids_RPE1,minimum_cells_across_contexts,minimum_batches_across_contexts,eligible,selection_hash,selected_without_expression_values_or_outcomes
26,PRELID3B,45d9713bd17cd0ab64013728bb3c8e0ad91468242ded715620947b5e72e20c76,True,PRELID3B,True,273,48,1,1,1,132,52,1,1,1,132,48,True,0e8abcf873bbda08660e56a40c0074aeb3fe809dca71c51063845a7f7692d4cb,True
27,RAC3,3ea61300cef7bbb7795d8976dcd33e2abb4abd3da562519cfdb22cb4c8fbeb87,True,RAC3,True,220,48,1,1,1,130,50,1,1,1,130,48,True,0f27ba3731e74099c41e8613b6978aba5bbad143ca40080532d16f51d484aa71,True
28,CCNK,222d9e55bf4622f67ca7006c290d43d9c58b7ba0bc5bb9087227ca36e8d6603c,True,CCNK,True,327,48,2,2,1,349,56,2,2,1,327,48,True,0f806c3b785744b3fec37d431441113853c290b8f56b5538c4db6d715ad3be3f,True
29,WBP11,ee5241c0e955df418c7cfb9257d1a74951987d4cf5688808e404cc3044ce4c96,True,WBP11,True,312,48,2,2,1,168,48,2,2,1,168,48,True,10b45c1d2fff97bfa871d4e1ff6327d220ed467d60becfcad0846cb59df87f7b,True
30,CCNB1,ed56bf6e2103198637ea53b16d0ac047390de5777a1ee51b2b48e7dc3ca7b559,True,CCNB1,True,158,42,1,1,1,108,47,1,1,1,108,42,True,117322d0ad20599a2a80b2d82b0e7cd4bff5dca874c64be08bc76783d4726dbd,True
31,ELOVL1,019405e21778a99b683fc668f55f88c67600aebbd627c45c7093ac783cddb585,True,ELOVL1,True,176,46,1,1,1,106,44,1,1,1,106,44,True,123b8a828d1764de1b0acc088412d01694b604ac821056a9891a426b51b2cd72,True
32,SETDB1,db9c14a1468d24ae14d17642716f36c484b7ae0be3cf2f261a3e33944b2f4a8b,True,SETDB1,True,124,42,1,1,1,122,48,1,1,1,122,42,True,126bf9a87b4e7ffb19791e74c2da029360ab61b675fea60c13671d7845048f67,True
33,COX6C,42b854e79572e593fb3574a09d630c704507190220e82f3ca1e44098d6ff4e60,True,COX6C,True,117,47,1,1,1,132,48,1,1,1,117,47,True,143646d387d8f623dd7eac7c8988a51098505f5e6445373977e944c0c9d69529,True
34,VPS54,67812fff16ccd7ee420a4e8f5fc8ad27955bb330401b8ad11ed69ed999821ad7,True,VPS54,True,321,48,1,1,1,232,55,1,1,1,232,48,True,14df35ddf8f6a8c776595c1feea37d3fee0df7e3359e195691031f6e4c0cbea9,True
35,NUP107,f02f5665674a57b4a8fb27a72302fe873b0a0bb9ca4730fd457593201edacb8a,True,NUP107,True,316,48,1,1,1,143,51,1,1,1,143,48,True,15cda7218106a25f088dcfe46c59ecfd57fb89a0d515a7fd264f67ad3351f54f,True
36,GRPEL1,01321bb2bb6bd70cde737d5415b4f4561fffefebe291b3d1e4694f50f83eea98,True,GRPEL1,True,123,44,1,1,1,101,46,1,1,1,101,44,True,16e2284efa9c153947b6d4255c657403f15ac6eb0d6e2565a634c201676a3327,True
37,ATR,c1adcaef6572857ecd323604431cf722b2c4816aed8857f865cb0058df07c373,True,ATR,True,141,45,1,1,1,161,52,1,1,1,141,45,True,16ec1bf6e49aa929dc9bb11f76f375d23ed6fffcddb68461181ce4fdd972279f,True
38,SRSF7,c7ea87c3e7f5431895a909bdd7879205c0f132572c158ca82afe45c13e8de1fa,True,SRSF7,True,118,42,1,1,1,151,52,1,1,1,118,42,True,17566afa09471ed9e17701b6e4652eb256775e82be2b21fa0914ac077d1fd987,True
39,MANF,40ed79a975f92085ed298a7c8e1a96377ceeb0a06fb837c70cabd17229d3d430,True,MANF,True,142,46,1,1,1,178,50,1,1,1,142,46,True,181c1250eaa43b7d19f35f94154ae61432a8d9b587f47ffbe29b1d2c4f59ea37,True
40,CHMP6,9d7926378f8104c9b84dc1de0446254448f06e701668a49078d75c65c2833371,True,CHMP6,True,624,48,1,1,1,107,52,1,1,1,107,48,True,1882df1f1a4aff41828e2503bf57f9e41fcc856cb04c8cf7399641ff3be9b57f,True
41,ASF1B,0fbd86405b2ce686e0d1bef1b132b07321732d95e1f6ab3627321cbe092b37f9,True,ASF1B,True,284,48,1,1,1,162,55,1,1,1,162,48,True,19af9fc656e9a50301ec44a7badf663a8a1f5f6e3bc18b65f3d0afd16ea3fad7,True
42,PNISR,a4844e04966cb2d39edbafe458e4a6b0f7f72e51182d94ab0fe29e66baad4bed,True,PNISR,True,196,46,2,2,1,152,53,2,2,1,152,46,True,1c221059398a163cda109fcf018ffc6b339ddfdaf8c270ea6a2fac3d741b66e4,True
43,MIOS,d07358d5caf84d981c3eaecdb6508f01279cc4adff5b92871f36bb9c8a4757e5,True,MIOS,True,163,45,1,1,1,131,50,1,1,1,131,45,True,1cb5345cd663eb6601a2f0e1627fd783ba6d2ac0b030791a380c8640091e18a1,True
44,SRSF11,daaedd099f584ad328ea321716b8a04c7023b31d55a2339ebb2e88543e01c095,True,SRSF11,True,437,48,2,2,1,317,56,2,2,1,317,48,True,1cfeea7f4d7eaeb7143e046e1e9f288ddca2a3f2cf25737b9eb33b5a5fc2f257,True
45,UFL1,f8325f1471be714e2236c25b83ee44cc25a771b78eaa9c652b9ba7157ec31ef2,True,UFL1,True,162,48,1,1,1,115,49,1,1,1,115,48,True,1dacf4ed7bf9544fd50054309d1619e8219afc1cf33e785aaf169529a7979286,True
46,MRPS21,c2de87110695ee011715a87861c2d9d2593717f4ddc723253034d8667627dd75,True,MRPS21,True,146,47,1,1,1,251,56,1,1,1,146,47,True,1f318a468304dea0f1a495c7753162da50c8bc6a03523872171459d9ab1fffa9,True
47,QRSL1,cf12e2d292a05f870cff16c44bcdf88f0352dcdbde59017ea4974515ad792efe,True,QRSL1,True,126,44,1,1,1,199,53,1,1,1,126,44,True,1faeea33a398df85fea3f9c235066da0a763b232361c04b456db0f570406bd13,True
48,EMC3,f3add1ac10768971d669624013fa656e60561fac15c95fabe84ea6e224aad173,True,EMC3,True,195,47,2,2,1,153,50,2,2,1,153,47,True,201eb5cd5e540c3a42b7d20d2b999249cbb9c47a7fd2021a6381c0a3567db891,True
49,COA5,ea3653f541b33cb19dbc5a1763aaa103ef6dc0c07d3e8b5ecb6518157fc52092,True,COA5,True,175,47,1,1,1,135,49,1,1,1,135,47,True,203853d7cb04eea36e7f5d355ac65368448a59847ee6a705839e0a10b22e8399,True
50,RPA3,f091d437904f9d8442b7d030e2b3f70820cf38bd8ba5083972b07085b0173c75,True,RPA3,True,208,48,1,1,1,110,44,1,1,1,110,44,True,205705a46ae82994a12de1f3606814d140db3ad41ec6c765308ee09a0cd5a682,True
51,NUDCD3,c812d32b4d8c5190f4769a1cf8ec1cf3713d6bd82822a6bc53055d0f28eb327d,True,NUDCD3,True,112,42,1,1,1,134,50,1,1,1,112,42,True,213e538dfc6215c5ee61669706f1461dc6bf8d27479c931adb05e3c0193f08c4,True
52,PPP2R1A,041456d7b5722202f6b190314dd19b1fce661b308ea4fb15208fb918039d5efb,True,PPP2R1A,True,455,48,2,2,1,296,56,2,2,1,296,48,True,21e001967b7c99416d13bb9babb222673cd33993cc3712e37f2f742b28c54305,True
53,CHORDC1,bf087ec05dde033596071e3aad86109f90235f6519abf1ecb5dbf7b817d46d21,True,CHORDC1,True,259,48,1,1,1,146,54,1,1,1,146,48,True,2207085613ae5b13709ceebef33d22bcd51517b02fa4dc0a7de3875b482111e5,True
54,CSTF1,d93872f5e488423b8bea48513931ad68bc0360d6464f6de3e8aae8c56de237eb,True,CSTF1,True,141,44,1,1,1,119,50,1,1,1,119,44,True,23ec97c808baa9361630490b38a13c878a63f1e4698c17f70011288646bda1ef,True
55,DNAJC19,b2734350d62f7ed2aee0543f34472661e77dc80e8da73c4b0c8d60673f7597eb,True,DNAJC19,True,398,48,1,1,1,127,52,1,1,1,127,48,True,2520d14b0494eec4f1ff09d30758d60f371a54579a78a1c163b2cfb5cff0fdda,True
56,PRPF3,aaac14e18a8fd7a606207a34e78069653f11890a423a7bc2bf2567953f36d61a,True,PRPF3,True,143,47,1,1,1,113,49,1,1,1,113,47,True,263c9ae8989cc36820aaa3542a15111b57d20252a3a26521bfe0f6b51be9c186,True
57,METTL1,a007924117d479b322a995f3588eed58f0a2ff74a06003763d8cfd367ee0e579,True,METTL1,True,208,47,1,1,1,105,47,1,1,1,105,47,True,26e2853c48d5cc4b5ed84dd475a2d2544550ca09cc8401a0e3f59bb982bef456,True
58,FNBP4,ad29272f3313d4c7a36ff7ff9dcd45adf1b7a59202f7992610b1a02a2274b34b,True,FNBP4,True,160,44,1,1,1,116,49,1,1,1,116,44,True,27d898ed7a958556d4e66dfec6172b48587e84918001938a78530119418c79bc,True
59,TLCD1,63955e2dcbc111a2ff40a548cc6ee60b66e31c61525630cb0d0baf42c0230599,True,TLCD1,True,155,44,1,1,1,131,51,1,1,1,131,44,True,281fda7d28887d2902aa538178b7036eaf4bcb368481cd9864e6516c5cf196c4,True
60,MRPL10,e7655f865602d3a7779675c541a5347e8fd77486d903c6fe47beff7135523a9e,True,MRPL10,True,102,42,1,1,1,118,50,1,1,1,102,42,True,2a7515b61076389712dff3f1289a0e99de52cb594c9f13a7aecff1096673db7c,True
61,KPNB1,5d834472a1e14091275f092a6dc29454aeec3491d507dcf9f2f7c957c777d977,True,KPNB1,True,366,48,1,1,1,210,55,1,1,1,210,48,True,2aea5becd37983cf0afa7f8e1d9c858a08af48e6e8dca40bf2e963f68a151682,True
62,GUK1,3eecef88611f3971fb43998a991f857908d26480b8d989f6483396163dd2ed1f,True,GUK1,True,118,45,1,1,1,138,53,1,1,1,118,45,True,2b63db601427603a26a92f3c966f0f29f027b0771c6421a69177deb24dd6a0ea,True
63,CYCS,76263e1b646de3782e7e4da7abd6ef8740bf217cd59e33abb628c34d9dd56c78,True,CYCS,True,163,44,1,1,1,120,49,1,1,1,120,44,True,2be7191b0b462892770f8dcc6c0e0f78c1acdfbbdbcb285afe25f98ddf49f99d,True
64,RUVBL1,2574d6852c00ac5cd0b1f765e46a37e27051cfe3fcf44fac65e7ba84969d7787,True,RUVBL1,True,211,48,1,1,1,119,46,1,1,1,119,46,True,2db444b27a893d86a1ae1bcd55ef81b47d340df1b38f2f940c3dff170b920a5a,True
65,RPL7,bceb778817e2d1df5bc336e7b5dc9b67636432592917b83132d6d57bf89da5b4,True,RPL7,True,301,48,1,1,1,122,47,1,1,1,122,47,True,2e2ee2053229f085c48e365e5bb331e18f12cae29d141297c4ba9227d1f33bb8,True
66,DYNLRB1,19b1eae0a4069ebf2620906c5a8c74d59220c85b6a0b63b885edc80537deb4e5,True,DYNLRB1,True,282,48,2,2,1,242,56,2,2,1,242,48,True,2e40fbfad849fd9773e0c3e9a2d4eac3ce9e996d7cc481eeb1fd0cf6d0516e29,True
67,DRAP1,c679ce42ee26e384dbfc6b5f775b18fab31605f680b1ab5df26104802a97e602,True,DRAP1,True,227,47,1,1,1,148,52,1,1,1,148,47,True,2fe47f4c4611c999e7716a167c73ac25144672ca7309465e7ba1d8f117428d5b,True
68,TTC4,fdff2b6f9998a8520ed0f35efaad0f1e63aa47dec241778f0ddbe0f79df8a2f8,True,TTC4,True,108,45,1,1,1,125,50,1,1,1,108,45,True,2ffed82bb8a17041628e9ad5bc08cce1114bb0b9ac17a0e4e683df9ec81bf9c5,True
69,HSPA8,b789c1dee11ebbdc55fe6af7201f4701faf3a0de98c1f5148f40ced2873c2d98,True,HSPA8,True,255,47,1,1,1,148,54,1,1,1,148,47,True,306d15ff029da0926a14fa71ffac710ef88695240e1e3586b4b6201796433019,True
70,GMPPB,b35d5c22ea3adc0d6b4c5e317255ee8ddbede352b633b0cae28622e6d348b851,True,GMPPB,True,164,48,1,1,1,101,45,1,1,1,101,45,True,309b75118676e22e8e8b7a0a39c1a758ba9a1a5b86519c66480c469cf60eecbe,True
71,TIMM13,fa95c437d4adbbf48334023edb8d9fdc33a3bbde6871aed42a8a00ca7e9217a1,True,TIMM13,True,178,44,1,1,1,123,49,1,1,1,123,44,True,327c2561a52c4f834bedfe5909c8d7d1c3338bbc2ecb047e5c6cbe87027dca1d,True
72,EIF2B2,525fecab12149c446996ee69f934ae0ec1b1c750e9406c8964b8a5c7bde6a2d0,True,EIF2B2,True,319,48,1,1,1,148,51,1,1,1,148,48,True,32961ba63db0a3c4026f21d8390e100c05bbc015b794a5d0c2a16527d87c8cbf,True
73,SSBP3,cd614640789547efd10998e7402e42bdcc3797e277ccbd15a68200290e520810,True,SSBP3,True,107,42,1,1,1,447,56,1,1,1,107,42,True,342a88a56aa9c84c35a4880748ac5cba3ca66313f6e061c864651d3c768f8ebf,True
74,MMGT1,bab50e9fd63747e90a9f6ed8ae0f8a8d24fc6ca12eddf56c1612662599a94941,True,MMGT1,True,183,47,1,1,1,107,49,1,1,1,107,47,True,37bfc135646cc248173b042a7826ea7c02c31b6ca1b337622fb9967ac60a7afa,True
75,CDK2,86663dc64a56c71e18193ea6f1747e8b16301d1aaca3893bb54c9acdfca6d8c7,True,CDK2,True,105,44,1,1,1,206,54,1,1,1,105,44,True,37fc0516888d5be19c3f8c53229868f8e5fa7c58002a4b18c88f1130907ef033,True
76,CPNE7,90b686142ec316279780893b32bc29e1086b6614dd96c2b408aa818d91cad2a7,True,CPNE7,True,101,42,1,1,1,185,52,1,1,1,101,42,True,38e4c65c61212c313aac1b2843c2471509b7cf264870c130347b0bee7f09a162,True
77,ACTR6,dc1b53e3e6f817b52f3479efed75ba41829e13e22296d9b02c2211a84be1ad46,True,ACTR6,True,108,44,1,1,1,104,46,1,1,1,104,44,True,392b336587d9cb9e04c5710ce2431d4231f159f82c6897c465767c76b07d7510,True
78,MRPL54,f14449152ee9d9b2d1af32977680e31d69781a01946131c2fb526760442acd9d,True,MRPL54,True,142,47,1,1,1,165,53,1,1,1,142,47,True,3a796feff2f225b969e643c61e2043d58988139eb426c5581dac391b48e31bd9,True
79,GNPNAT1,e36e1afd1208b759dc966bb58902475c105dbc281886fb167e89503caaa0ac12,True,GNPNAT1,True,112,40,1,1,1,189,55,1,1,1,112,40,True,3ad7fb652348439021b447977a818f3d45c199293a5fd23226220c14e6652457,True
80,PTPMT1,eeca6a7d88700ac3c6bcdad0db28c566a194aa77f2aa6058253a84cb67c1f1eb,True,PTPMT1,True,183,46,1,1,1,103,48,1,1,1,103,46,True,3ae4313f2b4649819ba5a92b1877990f444fd1997084e9589d7e8d2fc48488ae,True
81,SMAGP,3733d0f9efb3416c80bb02bfba69dadddd2d779feea69d949a8fa1695a2495e5,True,SMAGP,True,117,46,1,1,1,176,56,1,1,1,117,46,True,3b1250c03443e7e3581c6de03b35833e94ae3174c50c3cdd13eed9a0f6c3fff1,True
82,EFTUD2,96b2ca9b8fed2207ce2195e6f597facbeaaf1661cd87f277c645cad434eabbef,True,EFTUD2,True,127,45,1,1,1,104,45,1,1,1,104,45,True,3b61313f33b05da0fdf7b97a6efec54fd699f09ab0fb9fe32feeb55f6b2e785a,True
83,TRNT1,0044fcb02c297cb8ff504db763c24357bfbe990b3bfb3f0e30c00c974ba01fb5,True,TRNT1,True,203,47,1,1,1,354,56,1,1,1,203,47,True,3bb9f4490a0427c6a410c84e1f68af9be0802ccf19be6e1b3c871022238adc8e,True
84,DDX19B,d96220b7a33f522717c81ad07df51604afc61f12b1528f8f942e8bcab39fbe5b,True,DDX19B,True,285,48,2,2,1,369,55,2,2,1,285,48,True,3c272de0a76c8a58df68c5d62f57e83d46be2d6b676763e7970fb4859579dcf4,True
85,UROD,03b6471acb1062e6b3468b9157bc31463c4548b1106a0ad37d18e1b5e6fcf544,True,UROD,True,201,48,1,1,1,250,55,1,1,1,201,48,True,3eeb5857aaa3bfdb73ae16e49f598e3c77559538f6c06d52e327f3cd47abcf37,True
86,GRSF1,bc534cc73105bb6d4e216c4e78dc2b6762e95562a5d283ddc737fcac06839064,True,GRSF1,True,172,43,1,1,1,133,51,1,1,1,133,43,True,3f2511d4a96a560cf0cc2363a90c99c383ffa049644ad4561b828b2b8c77a411,True
87,TSEN34,51c35d6f97df9e8d3e328d9dc1c2650b4d6222b04699fb347a57bafad685bb66,True,TSEN34,True,275,48,1,1,1,176,54,1,1,1,176,48,True,3f324ca390a61cb1ba4c7589a9e74a4dde01dfcf0c2fe639b799d94dab77420d,True
88,ISCA2,9acd105730ac0e94eebfbcc94e42f64c27342d25adb74f8e9494507af64bd901,True,ISCA2,True,232,48,1,1,1,146,51,1,1,1,146,48,True,3fb6db006995d6261f4d516dd494ff858c828ccc3418ceb79d807aedbb0cb31c,True
89,DAP3,3b07820990ecc3d94f221bbfaa86342abf699bbc41b94a9cca12ad17543bffd2,True,DAP3,True,162,46,1,1,1,142,54,1,1,1,142,46,True,40e769108dcf95843ca52803459b7b72fa94036515f22b39247b33368b49a177,True
90,MRPL20,f8b5d32b133ba82f005eb39d16ad2844a0db86be85fa59902dcf4f513c5acbd1,True,MRPL20,True,120,43,1,1,1,109,46,1,1,1,109,43,True,41c60d825d77de4f7b434c5920ef5aeb25b1becfc60b8738c64dd355e8644f16,True
91,NEDD1,bbdfc6a517f1619c0826b87f8e10072c352031189c86b2eca458d0e0dc439b2e,True,NEDD1,True,142,48,1,1,1,151,52,1,1,1,142,48,True,41fbd807fe5dee8a875b0defa487f69c2014d14dacb71fd13b41b4605812bdad,True
92,ATP6AP2,55a22afc0fadf87467ff85a3033ad526dcbafc0bec6df9f499b6eb59a454008c,True,ATP6AP2,True,175,45,1,1,1,283,56,1,1,1,175,45,True,420a56ab9271c7415bebee7f67164751e0ecf9b0f30541295ab29f3801c56711,True
93,USP39,3310491337bbc8d1a8d292f3c3e52cf9135357e7c3a9e6fad6152f2696706c34,True,USP39,True,220,47,2,2,1,122,47,2,2,1,122,47,True,4272a1aefe3f8cbcb178f20045110d78b1b2a0b73e7ab9996bd9d7893f2b3edf,True
94,PRKRIP1,625a9ff97e250f71e0dfc759a2cdb2d9fdd9ccb886f349bfcf8f3ac3f741e34a,True,PRKRIP1,True,182,45,2,2,1,186,55,2,2,1,182,45,True,43390451e7473be86bdade0151ac40744797b5d37fd2aa435b4d2362f01c7be6,True
95,THOC6,ed28453697debea8d475e4b8a7fc2ea604c328910cd23fd8349a7822994ac758,True,THOC6,True,116,41,1,1,1,146,53,1,1,1,116,41,True,4417dc020df1be36d9b753e185f045f3b4902c0d6c75118bda48d3d98590f88f,True
96,USP5,1129fd6d9e623b1d76b256b5929e1cb9514abcbaee88646cdf70c2ccf217069a,True,USP5,True,199,48,2,2,1,174,53,2,2,1,174,48,True,444d4c1d6709b18b58baa860a402fa0a94a3fc1776b8f41dba4c969ae8b57379,True
97,HSP90B1,ba119d3acc7b856dcfd2502d5d898b8f3004c05f082501c56bc6e3aabf307467,True,HSP90B1,True,114,43,1,1,1,144,50,1,1,1,114,43,True,4455ead5659e386df94ef2270adc2a9a07e6ee74bad6ee940fdfc5a40be91742,True
98,TRA2B,e40590413ad7de0ff5b9c256aabca1cb550e7fb83504f4a5d829a65d8a4ffa06,True,TRA2B,True,222,47,1,1,1,100,47,1,1,1,100,47,True,4463d587c79ab8726da28e5c31861131cb874a0c830023b490e1c586a2d5ffe6,True
99,ZBTB17,b4dd233de6a1c70c8ee192eb4113d3d364a36b7d04fff90e8f76b2e54336684a,True,ZBTB17,True,160,48,1,1,1,285,56,3,1,1,160,48,True,44917686eda19594c5fb445a0dd30285c7bb39b1f1361bebf9a9138631829f3d,True
100,TACC3,66fb6464c85db37644b8fc87ecebf466b896abf05cfdf9c3b8d0ba728811e513,True,TACC3,True,132,45,2,2,1,594,56,2,2,1,132,45,True,457ffacd7e602a76c95ebdf628c6f80629706385e83f13efc8721914e7212b45,True
101,RRM2,937d705807f6311ecff7beca9df3f431dd7f0aa0d6697c0fcfc5396d750105cc,True,RRM2,True,577,48,1,1,1,229,54,1,1,1,229,48,True,46a9584ea5cdf28c404dadd607357321f90b6a7e9a81e16712c4c0c80fa90a8c,True
102,ANAPC15,f7a8ae68d431e3edd159dd97f6e47c24046f4f9d4e237961da7d9a624083353f,True,ANAPC15,True,424,48,1,1,1,532,56,1,1,1,424,48,True,46b977dac1917527c28dbbcff7de2d6b855b0f4295c2b973d654470e590f07b3,True
103,NUP98,6f4a03f117d0ff876e9094230fe21eb15276a35dcd62b2953ddcf7928c00b394,True,NUP98,True,510,48,1,1,1,106,50,1,1,1,106,48,True,476957320c4b1de0239985f573a10e58697d39ab85e7860887b41a6a6c21ce8b,True
