ensembl_core,perturbed_gene_name,eligible_target
ENSG00000022840,RNF10,True
ENSG00000023171,GRAMD1B,True
ENSG00000023191,RNH1,True
ENSG00000023228,NDUFS1,True
ENSG00000023909,GCLM,True
ENSG00000024048,UBR2,True
ENSG00000025156,HSF2,True
ENSG00000025434,NR1H3,True
ENSG00000026025,VIM,True
ENSG00000027001,MIPEP,True
ENSG00000027075,PRKCH,True
ENSG00000027847,B4GALT7,True
ENSG00000027869,SH2D2A,True
ENSG00000028137,TNFRSF1B,True
ENSG00000028528,SNX1,True
ENSG00000029639,TFB1M,True
ENSG00000030419,IKZF2,True
ENSG00000032389,EIPR1,True
ENSG00000033100,CHPF2,True
ENSG00000033170,FUT8,True
ENSG00000033867,SLC4A7,True
ENSG00000034053,APBA2,True
ENSG00000034152,MAP2K3,True
ENSG00000034510,TMSB10,True
ENSG00000034533,ASTE1,True
ENSG00000035115,SH3YL1,True
ENSG00000035499,DEPDC1B,True
ENSG00000036054,TBC1D23,True
ENSG00000037042,TUBG2,True
ENSG00000037637,FBXO42,True
ENSG00000037757,MRI1,True
ENSG00000037897,METTL1,True
ENSG00000038210,PI4K2B,True
ENSG00000038427,VCAN,True
ENSG00000039068,CDH1,True
ENSG00000039319,ZFYVE16,True
ENSG00000039560,RAI14,True
ENSG00000040199,PHLPP2,True
ENSG00000040633,PHF23,True
ENSG00000041353,RAB27B,True
ENSG00000042088,TDP1,True
ENSG00000042286,AIFM2,True
ENSG00000042317,SPATA7,True
ENSG00000042980,ADAM28,True
ENSG00000046651,OFD1,True
ENSG00000047056,WDR37,True
ENSG00000047579,DTNBP1,True
ENSG00000047932,GOPC,True
ENSG00000048052,HDAC9,True
ENSG00000048740,CELF2,True
ENSG00000048828,FAM120A,True
ENSG00000048991,R3HDM1,True
ENSG00000049192,ADAMTS6,True
ENSG00000049239,H6PD,True
ENSG00000049247,UTS2,True
ENSG00000049249,TNFRSF9,True
ENSG00000049323,LTBP1,True
ENSG00000049656,CLPTM1L,True
ENSG00000049769,PPP1R3F,True
ENSG00000049860,HEXB,True
ENSG00000050327,ARHGEF5,True
ENSG00000050730,TNIP3,True
ENSG00000051523,CYBA,True
ENSG00000053918,KCNQ1,True
ENSG00000054277,OPN3,True
ENSG00000054654,SYNE2,True
ENSG00000055070,SZRD1,True
ENSG00000055147,FAM114A2,True
ENSG00000055332,EIF2AK2,True
ENSG00000055609,KMT2C,True
ENSG00000055732,MCOLN3,True
ENSG00000056277,ZNF280C,True
ENSG00000056558,TRAF1,True
ENSG00000056586,RC3H2,True
ENSG00000057608,GDI2,True
ENSG00000057757,PITHD1,True
ENSG00000057935,MTA3,True
ENSG00000058272,PPP1R12A,True
ENSG00000058668,ATP2B4,True
ENSG00000059378,PARP12,True
ENSG00000059915,PSD,True
ENSG00000060491,OGFR,True
ENSG00000061455,PRDM6,True
ENSG00000061656,SPAG4,True
ENSG00000062524,LTK,True
ENSG00000063046,EIF4B,True
ENSG00000063127,SLC6A16,True
ENSG00000063169,BICRA,True
ENSG00000063241,ISOC2,True
ENSG00000063601,MTMR1,True
ENSG00000063660,GPC1,True
ENSG00000063854,HAGH,True
ENSG00000064195,DLX3,True
ENSG00000064545,TMEM161A,True
ENSG00000064547,LPAR2,True
ENSG00000064601,CTSA,True
ENSG00000064652,SNX24,True
ENSG00000064995,TAF11,True
ENSG00000065243,PKN2,True
ENSG00000065413,ANKRD44,True
ENSG00000065491,TBC1D22B,True
ENSG00000065518,NDUFB4,True
ENSG00000065675,PRKCQ,True
ENSG00000065717,TLE2,True
ENSG00000065809,FAM107B,True
ENSG00000066044,ELAVL1,True
ENSG00000066084,DIP2B,True
ENSG00000066279,ASPM,True
ENSG00000066322,ELOVL1,True
ENSG00000066336,SPI1,True
ENSG00000066427,ATXN3,True
ENSG00000066468,FGFR2,True
ENSG00000066583,ISOC1,True
ENSG00000066827,ZFAT,True
ENSG00000066933,MYO9A,True
ENSG00000067066,SP100,True
ENSG00000067082,KLF6,True
ENSG00000067182,TNFRSF1A,True
ENSG00000067221,STOML1,True
ENSG00000067992,PDK3,True
ENSG00000068097,HEATR6,True
ENSG00000068354,TBC1D25,True
ENSG00000068383,INPP5A,True
ENSG00000068697,LAPTM4A,True
ENSG00000068796,KIF2A,True
ENSG00000068971,PPP2R5B,True
ENSG00000069188,SDK2,True
ENSG00000069345,DNAJA2,True
ENSG00000069535,MAOB,True
ENSG00000069812,HES2,True
ENSG00000069943,PIGB,True
ENSG00000070018,LRP6,True
ENSG00000070182,SPTB,True
ENSG00000070214,SLC44A1,True
ENSG00000070476,ZXDC,True
ENSG00000070540,WIPI1,True
ENSG00000070610,GBA2,True
ENSG00000070718,AP3M2,True
ENSG00000070759,TESK2,True
ENSG00000070770,CSNK2A2,True
ENSG00000071054,MAP4K4,True
ENSG00000071073,MGAT4A,True
ENSG00000071243,ING3,True
ENSG00000071655,MBD3,True
ENSG00000071794,HLTF,True
ENSG00000072071,ADGRL1,True
ENSG00000072121,ZFYVE26,True
ENSG00000072134,EPN2,True
ENSG00000072201,LNX1,True
ENSG00000072506,HSD17B10,True
ENSG00000072694,FCGR2B,True
ENSG00000072818,ACAP1,True
ENSG00000073050,XRCC1,True
ENSG00000073060,SCARB1,True
ENSG00000073910,FRY,True
ENSG00000074047,GLI2,True
ENSG00000074356,NCBP3,True
ENSG00000074416,MGLL,True
ENSG00000074603,DPP8,True
ENSG00000074842,MYDGF,True
ENSG00000075151,EIF4G3,True
ENSG00000075303,SLC25A40,True
ENSG00000075336,TIMM21,True
ENSG00000075399,VPS9D1,True
ENSG00000075407,ZNF37A,True
ENSG00000075415,SLC25A3,True
ENSG00000075539,FRYL,True
ENSG00000075624,ACTB,True
ENSG00000075711,DLG1,True
ENSG00000075785,RAB7A,True
ENSG00000075826,SEC31B,True
ENSG00000075891,PAX2,True
ENSG00000075975,MKRN2,True
ENSG00000076043,REXO2,True
ENSG00000076513,ANKRD13A,True
ENSG00000076555,ACACB,True
ENSG00000076662,ICAM3,True
ENSG00000076706,MCAM,True
ENSG00000077147,TM9SF3,True
ENSG00000077420,APBB1IP,True
ENSG00000077684,JADE1,True
ENSG00000077984,CST7,True
ENSG00000078081,LAMP3,True
ENSG00000078124,ACER3,True
ENSG00000078177,N4BP2,True
ENSG00000078668,VDAC3,True
ENSG00000078699,CBFA2T2,True
ENSG00000079150,FKBP7,True
ENSG00000079332,SAR1A,True
ENSG00000079335,CDC14A,True
ENSG00000079385,CEACAM1,True
ENSG00000079435,LIPE,True
ENSG00000079691,CARMIL1,True
ENSG00000079739,PGM1,True
ENSG00000080189,SLC35C2,True
ENSG00000080200,CRYBG3,True
ENSG00000080345,RIF1,True
ENSG00000080493,SLC4A4,True
ENSG00000080503,SMARCA2,True
ENSG00000080823,MOK,True
ENSG00000080824,HSP90AA1,True
ENSG00000081177,EXD2,True
ENSG00000081181,ARG2,True
ENSG00000081189,MEF2C,True
ENSG00000081237,PTPRC,True
ENSG00000081320,STK17B,True
ENSG00000081692,JMJD4,True
ENSG00000081913,PHLPP1,True
ENSG00000082153,BZW1,True
ENSG00000082212,ME2,True
ENSG00000082258,CCNT2,True
ENSG00000082438,COBLL1,True
ENSG00000082781,ITGB5,True
ENSG00000083099,LYRM2,True
ENSG00000083312,TNPO1,True
ENSG00000083642,PDS5B,True
ENSG00000083817,ZNF416,True
ENSG00000083937,CHMP2B,True
ENSG00000084070,SMAP2,True
ENSG00000084090,STARD7,True
ENSG00000084092,NOA1,True
ENSG00000084234,APLP2,True
ENSG00000084636,COL16A1,True
ENSG00000084731,KIF3C,True
ENSG00000085274,MYNN,True
ENSG00000085382,HACE1,True
ENSG00000085644,ZNF213,True
ENSG00000085832,EPS15,True
ENSG00000085978,ATG16L1,True
ENSG00000086619,ERO1B,True
ENSG00000086758,HUWE1,True
ENSG00000087076,HSD17B14,True
ENSG00000087088,BAX,True
ENSG00000087152,ATXN7L3,True
ENSG00000087250,MT3,True
ENSG00000087266,SH3BP2,True
ENSG00000087299,L2HGDH,True
ENSG00000087303,NID2,True
ENSG00000087338,GMCL1,True
ENSG00000087448,KLHL42,True
ENSG00000088035,ALG6,True
ENSG00000088053,GP6,True
ENSG00000088280,ASAP3,True
ENSG00000088387,DOCK9,True
ENSG00000088448,ANKRD10,True
ENSG00000088888,MAVS,True
ENSG00000088992,TESC,True
ENSG00000089060,SLC8B1,True
ENSG00000089094,KDM2B,True
ENSG00000089163,SIRT4,True
ENSG00000089225,TBX5,True
ENSG00000089248,ERP29,True
ENSG00000089335,ZNF302,True
ENSG00000089558,KCNH4,True
ENSG00000089723,OTUB2,True
ENSG00000089902,RCOR1,True
ENSG00000089916,GPATCH2L,True
ENSG00000090006,LTBP4,True
ENSG00000090013,BLVRB,True
ENSG00000090097,PCBP4,True
ENSG00000090266,NDUFB2,True
ENSG00000090554,FLT3LG,True
ENSG00000090581,GNPTG,True
ENSG00000090776,EFNB1,True
ENSG00000090924,PLEKHG2,True
ENSG00000091039,OSBPL8,True
ENSG00000091129,NRCAM,True
ENSG00000091164,TXNL1,True
ENSG00000091409,ITGA6,True
ENSG00000091436,MAP3K20,True
ENSG00000091513,TF,True
ENSG00000091656,ZFHX4,True
ENSG00000091844,RGS17,True
ENSG00000091947,TMEM101,True
ENSG00000091972,CD200,True
ENSG00000092068,SLC7A8,True
ENSG00000092295,TGM1,True
ENSG00000092841,MYL6,True
ENSG00000092871,RFFL,True
ENSG00000092964,DPYSL2,True
ENSG00000093217,XYLB,True
ENSG00000094631,HDAC6,True
ENSG00000094841,UPRT,True
ENSG00000094916,CBX5,True
ENSG00000095380,NANS,True
ENSG00000095397,WHRN,True
ENSG00000095574,IKZF5,True
ENSG00000096384,HSP90AB1,True
ENSG00000096746,HNRNPH3,True
ENSG00000096968,JAK2,True
ENSG00000097033,SH3GLB1,True
ENSG00000099338,CATSPERG,True
ENSG00000099365,STX1B,True
ENSG00000099622,CIRBP,True
ENSG00000099814,CEP170B,True
ENSG00000099840,IZUMO4,True
ENSG00000099875,MKNK2,True
ENSG00000099910,KLHL22,True
ENSG00000099917,MED15,True
ENSG00000099985,OSM,True
ENSG00000100060,MFNG,True
ENSG00000100097,LGALS1,True
ENSG00000100100,PIK3IP1,True
ENSG00000100106,TRIOBP,True
ENSG00000100124,ANKRD54,True
ENSG00000100138,SNU13,True
ENSG00000100147,CCDC134,True
ENSG00000100154,TTC28,True
ENSG00000100211,CBY1,True
ENSG00000100228,RAB36,True
ENSG00000100241,SBF1,True
ENSG00000100242,SUN2,True
ENSG00000100246,DNAL4,True
ENSG00000100263,RHBDD3,True
ENSG00000100266,PACSIN2,True
ENSG00000100290,BIK,True
ENSG00000100311,PDGFB,True
ENSG00000100321,SYNGR1,True
ENSG00000100335,MIEF1,True
ENSG00000100346,CACNA1I,True
ENSG00000100365,NCF4,True
ENSG00000100395,L3MBTL2,True
ENSG00000100403,ZC3H7B,True
ENSG00000100439,ABHD4,True
ENSG00000100445,SDR39U1,True
ENSG00000100483,VCPKMT,True
ENSG00000100522,GNPNAT1,True
ENSG00000100523,DDHD1,True
ENSG00000100558,PLEK2,True
ENSG00000100580,TMED8,True
ENSG00000100591,AHSA1,True
ENSG00000100592,DAAM1,True
ENSG00000100600,LGMN,True
ENSG00000100625,SIX4,True
ENSG00000100650,SRSF5,True
ENSG00000100664,EIF5,True
ENSG00000100721,TCL1A,True
ENSG00000100811,YY1,True
ENSG00000100823,APEX1,True
ENSG00000100867,DHRS2,True
ENSG00000100889,PCK2,True
ENSG00000100916,BRMS1L,True
ENSG00000100934,SEC23A,True
ENSG00000100968,NFATC4,True
ENSG00000100985,MMP9,True
ENSG00000100991,TRPC4AP,True
ENSG00000101084,RAB5IF,True
ENSG00000101115,SALL4,True
ENSG00000101162,TUBB1,True
ENSG00000101181,MTG2,True
ENSG00000101189,MRGBP,True
ENSG00000101199,ARFGAP1,True
ENSG00000101213,PTK6,True
ENSG00000101230,ISM1,True
ENSG00000101255,TRIB3,True
ENSG00000101294,HM13,True
ENSG00000101307,SIRPB1,True
ENSG00000101347,SAMHD1,True
ENSG00000101367,MAPRE1,True
ENSG00000101417,PXMP4,True
ENSG00000101442,ACTR5,True
ENSG00000101447,FAM83D,True
ENSG00000101457,DNTTIP1,True
ENSG00000101460,MAP1LC3A,True
ENSG00000101473,ACOT8,True
ENSG00000101596,SMCHD1,True
ENSG00000101605,MYOM1,True
ENSG00000101752,MIB1,True
ENSG00000101811,CSTF2,True
ENSG00000101842,VSIG1,True
ENSG00000101849,TBL1X,True
ENSG00000101856,PGRMC1,True
ENSG00000101997,CCDC22,True
ENSG00000102038,SMARCA1,True
ENSG00000102043,MTMR8,True
ENSG00000102158,MAGT1,True
ENSG00000102178,UBL4A,True
ENSG00000102226,USP11,True
ENSG00000102309,PIN4,True
ENSG00000102316,MAGED2,True
ENSG00000102383,ZDHHC15,True
ENSG00000102390,PBDC1,True
ENSG00000102393,GLA,True
ENSG00000102543,CDADC1,True
ENSG00000102572,STK24,True
ENSG00000102699,PARP4,True
ENSG00000102755,FLT1,True
ENSG00000102763,VWA8,True
ENSG00000102786,INTS6,True
ENSG00000102804,TSC22D1,True
ENSG00000102871,TRADD,True
ENSG00000102878,HSF4,True
ENSG00000102879,CORO1A,True
ENSG00000102882,MAPK3,True
ENSG00000102893,PHKB,True
ENSG00000102962,CCL22,True
ENSG00000103091,WDR59,True
ENSG00000103160,HSDL1,True
ENSG00000103184,SEC14L5,True
ENSG00000103194,USP10,True
ENSG00000103222,ABCC1,True
ENSG00000103241,FOXF1,True
ENSG00000103264,FBXO31,True
ENSG00000103343,ZNF174,True
ENSG00000103356,EARS2,True
ENSG00000103381,CPPED1,True
ENSG00000103415,HMOX2,True
ENSG00000103429,BFAR,True
ENSG00000103449,SALL1,True
ENSG00000103485,QPRT,True
ENSG00000103495,MAZ,True
ENSG00000103642,LACTB,True
ENSG00000103653,CSK,True
ENSG00000103769,RAB11A,True
ENSG00000103994,ZNF106,True
ENSG00000104064,GABPB1,True
ENSG00000104081,BMF,True
ENSG00000104164,BLOC1S6,True
ENSG00000104228,TRIM35,True
ENSG00000104231,ZFAND1,True
ENSG00000104290,FZD3,True
ENSG00000104332,SFRP1,True
ENSG00000104341,LAPTM4B,True
ENSG00000104343,UBE2W,True
ENSG00000104381,GDAP1,True
ENSG00000104472,CHRAC1,True
ENSG00000104497,SNX16,True
ENSG00000104524,PYCR3,True
ENSG00000104660,LEPROTL1,True
ENSG00000104756,KCTD9,True
ENSG00000104763,ASAH1,True
ENSG00000104783,KCNN4,True
ENSG00000104804,TULP2,True
ENSG00000104825,NFKBIB,True
ENSG00000104883,PEX11G,True
ENSG00000104946,TBC1D17,True
ENSG00000104951,IL4I1,True
ENSG00000104974,LILRA1,True
ENSG00000105053,VRK3,True
ENSG00000105063,PPP6R1,True
ENSG00000105088,OLFM2,True
ENSG00000105122,RASAL3,True
ENSG00000105135,ILVBL,True
ENSG00000105227,PRX,True
ENSG00000105246,EBI3,True
ENSG00000105261,OVOL3,True
ENSG00000105270,CLIP3,True
ENSG00000105281,SLC1A5,True
ENSG00000105290,APLP1,True
ENSG00000105321,CCDC9,True
ENSG00000105355,PLIN3,True
ENSG00000105393,BABAM1,True
ENSG00000105404,RABAC1,True
ENSG00000105499,PLA2G4C,True
ENSG00000105519,CAPS,True
ENSG00000105556,MIER2,True
ENSG00000105576,TNPO2,True
ENSG00000105649,RAB3A,True
ENSG00000105662,CRTC1,True
ENSG00000105676,ARMC6,True
ENSG00000105705,SUGP1,True
ENSG00000105717,PBX4,True
ENSG00000105723,GSK3A,True
ENSG00000105726,ATP13A1,True
ENSG00000105738,SIPA1L3,True
ENSG00000105771,SMG9,True
ENSG00000105875,WDR91,True
ENSG00000105880,DLX5,True
ENSG00000105991,HOXA1,True
ENSG00000105993,DNAJB6,True
ENSG00000105996,HOXA2,True
ENSG00000106080,FKBP14,True
ENSG00000106144,CASP2,True
ENSG00000106211,HSPB1,True
ENSG00000106266,SNX8,True
ENSG00000106330,MOSPD3,True
ENSG00000106333,PCOLCE,True
ENSG00000106392,C1GALT1,True
ENSG00000106410,NOBOX,True
ENSG00000106511,MEOX2,True
ENSG00000106538,RARRES2,True
ENSG00000106541,AGR2,True
ENSG00000106546,AHR,True
ENSG00000106608,URGCP,True
ENSG00000106617,PRKAG2,True
ENSG00000106638,TBL2,True
ENSG00000106665,CLIP2,True
ENSG00000106852,LHX6,True
ENSG00000107077,KDM4C,True
ENSG00000107099,DOCK8,True
ENSG00000107104,KANK1,True
ENSG00000107187,LHX3,True
ENSG00000107262,BAG1,True
ENSG00000107438,PDLIM1,True
ENSG00000107566,ERLIN1,True
ENSG00000107643,MAPK8,True
ENSG00000107669,ATE1,True
ENSG00000107745,MICU1,True
ENSG00000107758,PPP3CB,True
ENSG00000107779,BMPR1A,True
ENSG00000107796,ACTA2,True
ENSG00000107798,LIPA,True
ENSG00000107815,TWNK,True
ENSG00000107816,LZTS2,True
ENSG00000107833,NPM3,True
ENSG00000107859,PITX3,True
ENSG00000107864,CPEB3,True
ENSG00000107929,LARP4B,True
ENSG00000107954,NEURL1,True
ENSG00000107959,PITRM1,True
ENSG00000108100,CCNY,True
ENSG00000108179,PPIF,True
ENSG00000108510,MED13,True
ENSG00000108561,C1QBP,True
ENSG00000108604,SMARCD2,True
ENSG00000108771,DHX58,True
ENSG00000108819,PPP1R9B,True
ENSG00000108821,COL1A1,True
ENSG00000108861,DUSP3,True
ENSG00000108932,SLC16A6,True
ENSG00000108953,YWHAE,True
ENSG00000109065,NAT9,True
ENSG00000109066,TMEM104,True
ENSG00000109118,PHF12,True
ENSG00000109180,OCIAD1,True
ENSG00000109220,CHIC2,True
ENSG00000109272,PF4V1,True
ENSG00000109320,NFKB1,True
ENSG00000109339,MAPK10,True
ENSG00000109445,ZNF330,True
ENSG00000109471,IL2,True
ENSG00000109572,CLCN3,True
ENSG00000109654,TRIM2,True
ENSG00000109670,FBXW7,True
ENSG00000109684,CLNK,True
ENSG00000109686,SH3D19,True
ENSG00000109705,NKX3-2,True
ENSG00000109743,BST1,True
ENSG00000109756,RAPGEF2,True
ENSG00000109775,UFSP2,True
ENSG00000109851,DBX1,True
ENSG00000109881,CCDC34,True
ENSG00000109919,MTCH2,True
ENSG00000109920,FNBP4,True
ENSG00000110013,SIAE,True
ENSG00000110092,CCND1,True
ENSG00000110171,TRIM3,True
ENSG00000110200,ANAPC15,True
ENSG00000110274,CEP164,True
ENSG00000110318,CEP126,True
ENSG00000110321,EIF4G2,True
ENSG00000110367,DDX6,True
ENSG00000110395,CBL,True
ENSG00000110422,HIPK3,True
ENSG00000110436,SLC1A2,True
ENSG00000110442,COMMD9,True
ENSG00000110446,SLC15A3,True
ENSG00000110651,CD81,True
ENSG00000110660,SLC35F2,True
ENSG00000110693,SOX6,True
ENSG00000110697,PITPNM1,True
ENSG00000110711,AIP,True
ENSG00000110719,TCIRG1,True
ENSG00000110723,EXPH5,True
ENSG00000110777,POU2AF1,True
ENSG00000110811,P3H3,True
ENSG00000110844,PRPF40B,True
ENSG00000110876,SELPLG,True
ENSG00000110917,MLEC,True
ENSG00000110925,CSRNP2,True
ENSG00000110934,BIN2,True
ENSG00000111206,FOXM1,True
ENSG00000111224,PARP11,True
ENSG00000111237,VPS29,True
ENSG00000111247,RAD51AP1,True
ENSG00000111249,CUX2,True
ENSG00000111271,ACAD10,True
ENSG00000111275,ALDH2,True
ENSG00000111335,OAS2,True
ENSG00000111424,VDR,True
ENSG00000111530,CAND1,True
ENSG00000111540,RAB5B,True
ENSG00000111554,MDM1,True
ENSG00000111642,CHD4,True
ENSG00000111665,CDCA3,True
ENSG00000111671,SPSB2,True
ENSG00000111679,PTPN6,True
ENSG00000111726,CMAS,True
ENSG00000111752,PHC1,True
ENSG00000111796,KLRB1,True
ENSG00000111897,SERINC1,True
ENSG00000111906,HDDC2,True
ENSG00000111907,TPD52L1,True
ENSG00000111911,HINT3,True
ENSG00000111961,SASH1,True
ENSG00000111981,ULBP1,True
ENSG00000112062,MAPK14,True
ENSG00000112079,STK38,True
ENSG00000112115,IL17A,True
ENSG00000112146,FBXO9,True
ENSG00000112167,SAYSD1,True
ENSG00000112182,BACH2,True
ENSG00000112195,TREML2,True
ENSG00000112200,ZNF451,True
ENSG00000112210,RAB23,True
ENSG00000112234,FBXL4,True
ENSG00000112282,MED23,True
ENSG00000112297,CRYBG1,True
ENSG00000112303,VNN2,True
ENSG00000112304,ACOT13,True
ENSG00000112305,SMAP1,True
ENSG00000112309,B3GAT2,True
ENSG00000112312,GMNN,True
ENSG00000112335,SNX3,True
ENSG00000112357,PEX7,True
ENSG00000112367,FIG4,True
ENSG00000112394,SLC16A10,True
ENSG00000112406,HECA,True
ENSG00000112425,EPM2A,True
ENSG00000112584,FAM120B,True
ENSG00000112599,GUCA1B,True
ENSG00000112659,CUL9,True
ENSG00000112667,DNPH1,True
ENSG00000112679,DUSP22,True
ENSG00000112697,TMEM30A,True
ENSG00000112759,SLC29A1,True
ENSG00000112763,BTN2A1,True
ENSG00000112773,TENT5A,True
ENSG00000112782,CLIC5,True
ENSG00000112799,LY86,True
ENSG00000112936,C7,True
ENSG00000112983,BRD8,True
ENSG00000112992,NNT,True
ENSG00000113070,HBEGF,True
ENSG00000113088,GZMK,True
ENSG00000113108,APBB3,True
ENSG00000113240,CLK4,True
ENSG00000113296,THBS4,True
ENSG00000113300,CNOT6,True
ENSG00000113328,CCNG1,True
ENSG00000113369,ARRDC3,True
ENSG00000113384,GOLPH3,True
ENSG00000113387,SUB1,True
ENSG00000113448,PDE4D,True
ENSG00000113522,RAD50,True
ENSG00000113532,ST8SIA4,True
ENSG00000113594,LIFR,True
ENSG00000113597,TRAPPC13,True
ENSG00000113719,ERGIC1,True
ENSG00000113721,PDGFRB,True
ENSG00000113761,ZNF346,True
ENSG00000113838,TBCCD1,True
ENSG00000114054,PCCB,True
ENSG00000114062,UBE3A,True
ENSG00000114098,ARMC8,True
ENSG00000114113,RBP2,True
ENSG00000114316,USP4,True
ENSG00000114388,NPRL2,True
ENSG00000114416,FXR1,True
ENSG00000114446,IFT57,True
ENSG00000114450,GNB4,True
ENSG00000114455,HHLA2,True
ENSG00000114480,GBE1,True
ENSG00000114745,GORASP1,True
ENSG00000114796,KLHL24,True
ENSG00000114850,SSR3,True
ENSG00000114861,FOXP1,True
ENSG00000114902,SPCS1,True
ENSG00000114988,LMAN2L,True
ENSG00000115008,IL1A,True
ENSG00000115145,STAM2,True
ENSG00000115159,GPD2,True
ENSG00000115234,SNX17,True
ENSG00000115267,IFIH1,True
ENSG00000115271,GCA,True
ENSG00000115274,INO80B,True
ENSG00000115295,CLIP4,True
ENSG00000115310,RTN4,True
ENSG00000115317,HTRA2,True
ENSG00000115350,POLE4,True
ENSG00000115425,PECR,True
ENSG00000115468,EFHD1,True
ENSG00000115486,GGCX,True
ENSG00000115523,GNLY,True
ENSG00000115525,ST3GAL5,True
ENSG00000115526,CHST10,True
ENSG00000115548,KDM3A,True
ENSG00000115602,IL1RL1,True
ENSG00000115604,IL18R1,True
ENSG00000115649,CNPPD1,True
ENSG00000115685,PPP1R7,True
ENSG00000115687,PASK,True
ENSG00000115756,HPCAL1,True
ENSG00000115808,STRN,True
ENSG00000115827,DCAF17,True
ENSG00000115840,SLC25A12,True
ENSG00000115896,PLCL1,True
ENSG00000115904,SOS1,True
ENSG00000115935,WIPF1,True
ENSG00000115956,PLEK,True
ENSG00000115993,TRAK2,True
ENSG00000116016,EPAS1,True
ENSG00000116035,VAX2,True
ENSG00000116062,MSH6,True
ENSG00000116128,BCL9,True
ENSG00000116205,TCEANC2,True
ENSG00000116212,LRRC42,True
ENSG00000116266,STXBP3,True
ENSG00000116285,ERRFI1,True
ENSG00000116288,PARK7,True
ENSG00000116473,RAP1A,True
ENSG00000116514,RNF19B,True
ENSG00000116525,TRIM62,True
ENSG00000116604,MEF2D,True
ENSG00000116663,FBXO6,True
ENSG00000116685,KIAA2013,True
ENSG00000116690,PRG4,True
ENSG00000116698,SMG7,True
ENSG00000116711,PLA2G4A,True
ENSG00000116741,RGS2,True
ENSG00000116761,CTH,True
ENSG00000116791,CRYZ,True
ENSG00000116815,CD58,True
ENSG00000116871,MAP7D1,True
ENSG00000116874,WARS2,True
ENSG00000116977,LGALS8,True
ENSG00000116983,HPCAL4,True
ENSG00000116990,MYCL,True
ENSG00000117036,ETV3,True
ENSG00000117054,ACADM,True
ENSG00000117139,KDM5B,True
ENSG00000117143,UAP1,True
ENSG00000117318,ID3,True
ENSG00000117394,SLC2A1,True
ENSG00000117419,ERI3,True
ENSG00000117450,PRDX1,True
ENSG00000117475,BLZF1,True
ENSG00000117480,FAAH,True
ENSG00000117481,NSUN4,True
ENSG00000117500,TMED5,True
ENSG00000117505,DR1,True
ENSG00000117523,PRRC2C,True
ENSG00000117592,PRDX6,True
ENSG00000117640,MTFR1L,True
ENSG00000117724,CENPF,True
ENSG00000118046,STK11,True
ENSG00000118137,APOA1,True
ENSG00000118242,MREG,True
ENSG00000118246,FASTKD2,True
ENSG00000118257,NRP2,True
ENSG00000118402,ELOVL4,True
ENSG00000118418,HMGN3,True
ENSG00000118454,ANKRD13C,True
ENSG00000118513,MYB,True
