perturbation,selection_hash,n_cells_HepG2,n_cells_Jurkat
NOP14,0de76228dc23e01e8eace1536f958489e592fe245ae1c9740cf3b4ee35ca2d1c,123,223
FBRSL1,0e0a8699b1cf69505eb92d5232f4d5a18ceb95605b345ab5979bfc6982e2d88a,61,135
GSK3B,0e3eb9852af07a0335395118f61b382edd701d0402527a0389949efe2492b57a,59,61
ELAC2,0e77f16385822c70d55bd9ed8ba1b09ab26d967eb2fd4f1bacb64deeab2b3128,57,104
TUBB,0f278531a9beb550f4d6235f51c9ce240fe22ed0286f786816fc6cd3094e9792,97,88
POP7,0f6557e2e6740576173dc0dc6efe83a81c510133d7bb43070e8bb3f251f95508,62,118
PHF5A,0fe17b8aac35080560d835dd9b3a1e272b2f9a8904a21138c19a1c7b90301dd7,58,129
DCTN3,0ff57e1f93e74bff6894ec1f57a4d7839524ba5c43eee6a42bd8dd83bd33d7fa,80,172
TARDBP,107a65a5383294fda7254b320103360e173a4cb2599075846e2d1ed34faa59b1,262,827
RNPS1,1112bbfc8d2edef17347c29d3057388f9c0ba182800f3a921efe3dd11d8f3857,61,74
DOHH,11ceda6902a913f796d749b7590d387a7f5a04d1788644aae0f337f6f132f54a,86,143
UTP18,11d2594679de55148c667eab4d9c112b821b2b48ac5a2918dfa114409009c272,95,91
SRRM1,11da95ce03641c315d029bb9c6d1355b7042d8421ec41d889c58e19b981a837e,53,89
MRPL16,11e6ed77fc1d519a2bfdb7acfb27eac2bf59ce896f2e451189afd307c5c8c0af,63,176
TAF11,124bf6f6cd68b60ea324adb9a30af3e32582456f307ce867613585726626cf2c,61,76
TINF2,128b0cc346402cfba2b302dd665e49169fa9e0fbb5706d9e6d2cfa0a47fe0f55,50,100
TUBE1,12f2f00e78b93787371f02f8723be0be323a91d7affdc9e131778d5443cb7730,52,102
NOL8,13174c1ede16b23262fde9063aec869175fc96b23b3f82b8e7016cd252d4e0f9,124,198
NUDC,135fd25cd7f53f988005ae2dbbb0f3d277148fd5e0085e759b03f6162e9b82e8,67,206
EIF4H,13755eb65b0da573393b2632538222f651b68c2819d3c4ab44d47aabacf39316,52,138
AURKAIP1,138e2db29550e1d20b95a36a9a19e4c9101464cbc71345311413ff498f77afd6,56,103
DNAJA3,1390381b12270726d47b12fb94f5dd34d77383b7b94efa3a9ce6b3c2b974dba3,61,99
RPL10A,13c173bff11b133da3de80ca05f540e6c51bd2edd307bfd390f69078ba70fd89,116,113
DYNLRB1,14ce85cb98dfb438e39e7a387f4290af6dcfcf27a353685bdaf47e07a98b8aa6,124,224
GTF2E1,15cdb173358bc9b8a71e16ee1d33b57a748879620347b558f9f7d6434f363684,54,67
MED19,16c2bf3f8e562404c6b9ca381f600f8f10353751ca97b030a9f9ce4950e56f08,112,267
PPP1R37,16c81509dfd8d5094c93745f0cb4187d96d1da0f105342491251fdb4f171ee42,284,478
BRIX1,16ff05ef7b1f80363dc67fe0b87facf632ccf09567668db0420288727852765f,102,151
NDUFAB1,17500eac2c263f77385a6aa5e6155b30fb7f7e20f37f82561419a4d8aa0b5584,66,193
MVK,17857537b8a1bf3fb964754659f2706712aecba2c609b4e5bd929fcb9dfd71c1,153,293
EIF4E,17bde9b6fcc126b33cd15360ffb9e10d80ae48ca6602d6150386729f4ae7509c,53,55
NOC3L,18282a1a08fed503d2dad34a61476e20f5212cd0aad85d2f4a1e0ebea39cf2da,89,188
SUPT20H,1875f5bec655c4f0a34d0862d9e745b2ef252e3cea1e8126972dfb5715846b7f,81,148
PET117,18df416d963852fb06a7aabeced6cba76abd6ad3519cf2c4a3a7b44fff1f4363,51,153
SETX,18e0f86dc849a4a5b054d451f28c018a040d850c915fc1897de3a688549235ff,92,147
CCNK,18e3d29a2e6b8f4521044c79aa77dac8758e568a9eaa9aa3e8c4e0e00d92c19a,96,238
NSA2,19e6063e22c4229b62ddd3e8b15a658262e705e3623d93532c7bcfd542779080,83,88
GTF2H4,1a5524184e685b08dc94bb09680c14a39576d84a380d3cab92a9c076e7989cfe,50,126
DCUN1D5,1a7437347f5822c79b132061a011237926732c54c5cff0c171394bc0664148d1,89,78
GPN3,1a7c789d52c0ac7d1e98f94a4e46f6625e7d8a3eeb8d80fd8f4840b2901ed8ab,83,188
UNC45A,1abbd77b224f8066ebfa71c0b074e599e21de177312823e2efa0db19debf9851,67,124
CDK1,1b32a3486b85c678f3ef8f1bc9cf7330aba74c06f68359579ae3c9ca02de95f2,139,126
DDX6,1bd064ef96e73b58d78d1f7e22946f8d0ff5f363d86a4a2f89ff3e8ac10d9317,53,115
RRP9,1be0abdbdcd9f603037455ccfefa4e03bf5ef100c24f65c462c8e01e939cbd41,84,165
MRPL36,1c1c23245437f5048fb5d178221de717891ce7677d683ead5e02c4ed57d476a4,430,1192
UQCRC1,1c661e274a7826f0a73171594f7642a0ae8798d150def38a593bcaabaa072d52,53,138
RPS8,1d0c484d1a32aa49ed258b66c48d441922915145f805f3cc801a351e2e599ce7,60,130
RPS14,1dd65228f48089b9f2f3d9c0c4c373fe952926d02920f6ff8e9adc3e8a6e36de,76,115
MON1A,1e2601579e769a2537ed0fe38d8c75f46977954ebc091c6f98390fe8ac2c513d,94,162
CDCA5,1eb37ad475b6c87a62df2812b30d94082c13b85afd1c4027053b3a5b6a21fc3e,93,92
SRPRB,1ef19c9a03e96511c9d06f6b2a0617be4fcd765963fddcaec47d2e4cdf77236f,80,166
TMEM214,1fecea34aa999278c78934805878345599e29d2103bbc725a79c377a232234c3,249,455
EIF2B5,202d4712b72454e5e6e737c0b3c841fbe0da7fd55e1d8702efdafe5d947c66c0,115,138
EXOSC8,203d7ea068a439e71512c597dbfdd4f1cd822ad7fcb27647ebe176f8b9c89cc1,84,92
MRPS16,207295aa8eea38aff3b8b487d79ef212eb23b7d03878c496deb1d7eed5894deb,53,156
POLR2D,20e3215a7b30343a80a32e0e03c124d3bee49c425c09c527df10635e62c5288a,91,106
XPO5,2138832b85f6f54a71200d604c6f73d16355ef1f12fb35dc00259acfb30bb890,58,134
EMC3,21426992369767855b498381581bafabcd95a84e7c05a7018f2cf504e21c555f,103,86
TRAPPC11,21455bb101ab6781a476433d7f10f14f665dda9f811860d118060eb907c518a9,237,422
BRCA2,2145e2225522840fdbcb9ce8f9d9d9e0baf5487b98fe7f907961f5fb48d1dd5f,115,161
IK,214c3441d78de1890f2626b689b29fbbe9b49251aa0da4029e32576245af877a,176,361
ZNF292,21d43e66b0ce23787108a1eee8add4a26eb8118b60b349c7ee62cd3e20d9871e,78,158
DESI1,2275efc616d1c41f0c8991d0f4586f7349d5b753d1e9205ff77738036997d274,55,98
PMPCA,22c0a39b40f3f8be2426a14413a49e59c3e70cdb672dd014dfd678f5eea67465,51,98
SRP68,22e0d7dff89d0d897b6e0c261bf4a2de416ca035369485da814deeaad2588fc3,131,217
PCNX3,22ff9017425c681d5359a7aebe5de9b681911fc0b179bbd40f3ecf686f0d22fa,62,144
SCAF1,2421ce1ca27f3f776d350352a5e27b21cf6c1489f503a4459a34a14fd3747491,82,85
CPSF1,245b3a59f37ebf8f20089397b5d8c658b6eec62543e7b3d5d69fe0c9804b454a,59,124
VPS35,24b93768fa842cf70061561b8080f0f9f1932f8b15637fef6c0660de00a1fae4,102,133
HERC1,253e02966f686cc57280b68b360bc32f72746fd46b75c2a87b2f08935371ded3,85,136
NXF1,2556a473e920d1d39b01d70cafcd5619b92dd71365acf67a56ff4b9eb72be01a,79,145
DDX18,255fc2f3594b584a7a3bf25bff736660741aa9f047d094530aa54c2c268664e6,66,84
RBM28,258dd050d46449cb3a02978cf46c1e74c54827fa056cfb7bfc0236977813328d,75,148
MRGBP,25bb2809d05647aa8a0995aef4c98666d948a4d4fd4e33318ba4a28ebac63a19,118,176
CTDP1,25c1a01fa7c2abad35ba166840b36b27f86aee65e7408b63b2ec25b77ed3e655,83,107
RPS26,25c4259cac843a4cddb383ea5475fb9651bd68058927e95002204654add70b3f,62,55
PPA1,261d98afbc90191fce67136b2c9623a913d16a3ecff349104e5805a4d3157e06,57,134
SNAPC5,265145d815eb0aa99e2c94bf6ca6872f10792ee78d7ea36dc25901dcd0316f22,58,135
SRA1,271f6f5bff51143d04fe64fc2b7b2c3124241ce295e4e40921a5e73491a8844a,134,322
EXOSC3,28085c9ba5d361f941a8b01230d58f1a35229a2d12a5a3c3e0bc63f498c0a5a5,88,129
ETF1,280ce45adaf16c9825dbd8a276682c262e8ce05d8b8f8c27888f40f3bb99e379,97,68
CHAF1B,282d4c5fe5c2a50c26e61c20297c2a14d9213a11d621f8152389af8bcc19bd51,54,52
ILF2,286cfbc473abebd116bb702a2cbde5c877f3242f2b16328d6111c83dbbdc06b7,52,91
CSE1L,28b984eb116b36a80253dbc15b59d3216666471104adcc6dc31115f1b62722ca,240,55
EXOSC5,28e4c6a6ab826a149660741e40ace6b7dfcb502580010f9d6e266b54436c1b95,134,167
SETD1A,295fe0316d2d8fbd5fff81e796e4e44d20b6cb1f46df3c5c06b3bfcf4d14171e,81,66
DDX21,2a7884f638dc6fcf514546723e1384062832ff0a83905ea2675602094be147dc,77,203
TAF5,2acf5adc57e5ff341327d9f6b5833a3a622a86a08d563d62f164c8702556a638,60,80
DAP3,2afb3e1e91f19b56532575e65e1956fcbbd35486fa011629c9a0ddccbffbb3a4,60,109
DPY19L4,2b67a62988ed5844fcb38e01199f7fbbb1e5ccf908bec966e5d3ee9073540092,87,168
WTAP,2b91a0ab31b13915bd8521668be7ff4fd893456fbf6f4ffd700fb584805aee73,181,248
USP5,2bea92bfa8a2a8a5065a2b13fe5e905783c627276d8849d74f1d83bbaf35f6a1,98,102
RPL35A,2bf527ec3f1e9ff53d0a43c9e814990feda92582a0e973afde0e28ff73e741ed,196,139
LRR1,2c3080d9f8472f5a696a8dbcf0f29580f8f576891a0925bbb2dc8e31e9f398db,87,66
CS,2ca024dcc5c2294e89cebc79e4710ca32e81a71e71a7ca03dd29d3a0cc54eb49,77,131
PELO,2cf50d7bd876c81ce3598454219588201a590f1f5cb819b97f5f9d66766d1da9,59,107
