source_name,study_family,perturbation_type,dimension_bucket_cn,n_files,total_cells_or_obs,median_genes_or_vars,total_file_size_gb,has_cell_type_files,has_donor_files,example_relative_paths
scPerturb Zenodo,NadigOConner2024,genetic_combinatorial,基因组合扰动,2,408429,9253,2.144,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/NadigOConner2024_hepg2.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/NadigOConner2024_jurkat.h5ad
scPerturb Zenodo,NormanWeissman2019,genetic_combinatorial,基因组合扰动,1,111445,33694,0.699,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/NormanWeissman2019_filtered.h5ad
scPerturb Zenodo,ReplogleWeissman2022,genetic_combinatorial,基因组合扰动,3,2547877,8563,11.589,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ReplogleWeissman2022_K562_essential.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ReplogleWeissman2022_K562_gwps.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ReplogleWeissman2022_rpe1.h5ad
scPerturb Zenodo,SchiebingerLander2019,genetic_combinatorial,基因组合扰动,2,327494,27998,2.02,2,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchiebingerLander2019_GSE106340.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchiebingerLander2019_GSE115943.h5ad
scPerturb Zenodo,SchraivogelSteinmetz2020,genetic_combinatorial,基因组合扰动,2,232570,3688,0.043,2,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad
scPerturb Zenodo,WesselsSatija2023,genetic_combinatorial,基因组合扰动,1,30707,21052,0.219,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/WesselsSatija2023.h5ad
scPerturb Zenodo,GasperiniShendure2019,enhancer_regulatory,增强子/调控元件扰动,3,296258,32738,2.607,3,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GasperiniShendure2019_atscale.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GasperiniShendure2019_highMOI.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GasperiniShendure2019_lowMOI.h5ad
scPerturb Zenodo,JoungZhang2023,enhancer_regulatory,增强子/调控元件扰动,2,1313770,37415,6.639,2,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/JoungZhang2023_atlas.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/JoungZhang2023_combinatorial.h5ad
scPerturb Zenodo,XieHon2017,enhancer_regulatory,增强子/调控元件扰动,1,13283,26539,0.117,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/XieHon2017.h5ad
scPerturBench cellular context generalization,TCDD,chemical_single,药物/化学单扰动,1,103745,5000,2.59,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/TCDD.h5ad
scPerturBench cellular context generalization,sciplex3,chemical_single,药物/化学单扰动,1,26046,5000,0.589,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/sciplex3.h5ad
scPerturb Zenodo,LiangWang2023,chemical_single,药物/化学单扰动,1,41383,17444,0.364,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LiangWang2023.h5ad
scPerturb Zenodo,LotfollahiTheis2023,chemical_single,药物/化学单扰动,1,63430,58347,0.236,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LotfollahiTheis2023.h5ad
scPerturb Zenodo,SantinhaPlatt2023,chemical_single,药物/化学单扰动,1,100134,30556,0.939,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SantinhaPlatt2023.h5ad
scPerturb Zenodo,SrivatsanTrapnell2020,chemical_single,药物/化学单扰动,2,122699,58347,0.399,2,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SrivatsanTrapnell2020_sciplex2.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SrivatsanTrapnell2020_sciplex4.h5ad
scPerturb Zenodo,XuCao2023,chemical_single,药物/化学单扰动,1,98315,59429,0.337,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/XuCao2023.h5ad
scPerturBench perturbation generalization,sciplex3,chemical_combinatorial,药物/化学组合扰动,4,519996,5839,2.941,4,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_A549.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_K562.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_MCF7.h5ad
scPerturb Zenodo,SrivatsanTrapnell2020,chemical_combinatorial,药物/化学组合扰动,1,799317,110983,2.527,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SrivatsanTrapnell2020_sciplex3.h5ad
scPerturb Zenodo,SunshineHein2023,chemical_combinatorial,药物/化学组合扰动,1,90380,33538,0.744,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SunshineHein2023.h5ad
