perturbation,n_exact_cells,1,2,3,4,5,6,7,8,in_expression_var,in_scgpt_vocab,is_single_gene_label,min_exact_cells_per_technical_group,n_technical_groups_with_cells,eligible_e177_target,e177_selection_sha256
EXOC2,184,25,24,25,24,22,19,21,24,True,True,True,19,8,True,3058c5008b4ff60fd85e95f5803c545854db672604733a3201f18f726cfc2f8a
EXOC8,683,84,108,75,69,74,91,91,91,True,True,True,69,8,True,6b8a66245d1b379b1c6b3ed28959d8211fe671dea716629605c219c12805876c
F2RL1,131,18,19,14,23,12,18,14,13,True,True,True,12,8,True,e3ece916ddf792ddabcd743bc67f47c971a91860d07d62b14aa0a9b9592f90b8
FURIN,132,17,26,13,12,11,17,11,25,True,True,True,11,8,True,8576036f30677b11cffc210fefa5750dfdbbd05e323e002fa0b8d734edb15723
FYCO1,452,47,61,55,70,54,63,50,52,True,True,True,47,8,True,1ccb57ab3a1850f680137ff0f37ca968b0def169623ddbc8e731d68aa7e0c79d
G3BP1,90,10,13,15,15,11,12,9,5,True,True,True,5,8,True,f2302e7a2c6240b8dcc1bee0349967745574cb6114b23c682e5e4befa079ab73
G3BP2,130,17,13,17,9,24,19,16,15,True,True,True,9,8,True,a5bbfe743a95890d4a1258acbc132bb416a32300aa622100338de1c1b4ac6893
GOLGA7,52,5,8,7,9,8,4,6,5,True,True,True,4,8,True,c3fd5571150c07213a44c5ff9199093a610bbca74c9c54584b9e80e6fb38f42d
GPR89A,107,21,15,11,14,6,11,16,13,True,True,True,6,8,True,b583992ff48d7cbe665b4a7f384cc5ddf5c32f3044f285af28c4e6eaada74613
GPR89B,147,22,15,17,15,14,20,20,24,True,True,True,14,8,True,052556b0de7b9856f180c94f63aa6f06418f61c48504119dd8ea226cef18e0a4
HDAC2,76,14,12,9,9,4,8,8,12,True,True,True,4,8,True,c9aa05f62696fdba64e2b659768bf6eb369a1d1bd407ffcb9993a556c03c5929
IFIH1,100,17,12,16,8,14,12,10,11,True,True,True,8,8,True,19e27eda91660580b09d06755cfebb7c966c9cefc8d552ee8e618d4d0912d9b9
IFITM1,133,23,13,12,20,19,18,15,13,True,True,True,12,8,True,17ac1c477ad1ebbd0f576835b534a0140846ce338d0651783b672af3d1d1060d
IFITM2,151,18,18,24,20,28,13,14,16,True,True,True,13,8,True,a727bd370e168cbdf457f982e0849610cda8bf7d0da8294036b5d8935211911b
IFITM3,102,12,13,15,14,21,9,13,5,True,True,True,5,8,True,09a3d6fe726f65409b0a1c26b806ad9cf1e69e918a749461ba640219cfcfa533
IFNAR1,83,10,8,6,13,14,11,8,13,True,True,True,6,8,True,e6df0fbc7c5e80b4f5cacde1de7212f31007ed6316ce4453f64c6ed48a06b7ed
IFNAR2,162,25,22,21,21,20,12,15,26,True,True,True,12,8,True,46d5a9a370a24c554172e2e1f9a9c9961b659ba699ab76b86ca101ae05d0e80b
IRF3,81,14,18,13,8,5,9,4,10,True,True,True,4,8,True,ca89b7dacd685bf7aa1c42094de81c4b40e05fe2a6f3f89ec78f248d697ae2db
IRF9,122,16,18,13,19,7,20,13,16,True,True,True,7,8,True,55363fe50e4c0b0e0a36411f0f1c258d029c7abf1adb6119592885f4feb86e9f
ISG15,72,11,14,9,4,8,5,14,7,True,True,True,4,8,True,c0ed90afdb7214ca3df5dd3d02b6e34ac549c824f24f569ca32edc2e1a0bd187
JAK1,165,16,23,27,20,22,23,13,21,True,True,True,13,8,True,559fd8d8895bef2e2a9c61c5662bef08e9b2f078190ec7be52fba1d87dde1520
KEAP1,126,17,14,16,17,18,15,20,9,True,True,True,9,8,True,5857e6538ba7635fe339035dbe09198d2c71378fc729d0245b9b1ccab10ed726
KPNA2,114,19,12,17,16,11,13,13,13,True,True,True,11,8,True,b5d2d5e107901eda36e242f1972112dd09eed6b758af4dfd2a54d3243829ebbc
LARP1,125,12,18,22,15,14,12,10,22,True,True,True,10,8,True,2b4ccba7f6a278ca64892e2ad1c69956cbab6bef6ae4b421c949d1dbdd982e5b
LDLR,667,79,87,79,68,85,90,84,95,True,True,True,68,8,True,cfba18b84c754f9ca4bd0f7a2a84039373c0fa29a72b8a4fbbea2a661442d306
LY6E,120,19,10,12,16,14,22,17,10,True,True,True,10,8,True,7a6ef752286d32c40c8c771098ac9e1cc47ae6f113c4fbc71fb4287fe75a4ce5
M6PR,132,19,14,14,14,12,15,19,25,True,True,True,12,8,True,1e3164be040799b5600feb255ad400ed260d79aa423416d672ec30366f08179d
MAPK8,159,18,27,14,24,17,20,20,19,True,True,True,14,8,True,165bdd1adfda5fabe839c3dbe49ff2e3d1c3ef4e3f094adf41313563601c50b1
MARK2,53,4,3,11,6,10,6,8,5,True,True,True,3,8,True,a2e31e7b519d34791b737b57a277adc368508c08f299f56da33f8dbd58c36444
MARK3,109,24,7,15,10,11,16,17,9,True,True,True,7,8,True,18310a6c853bd816484115ab7c77b1c9041c7ddc57b2f97ae27e20934075080b
MBTPS2,581,90,69,70,58,84,71,60,79,True,True,True,58,8,True,d89c30e0011e3511c4f020ed3fc7fc96c630d86794b0c8b8b75e06f37efcc346
MEPCE,99,8,12,10,12,13,13,13,18,True,True,True,8,8,True,634282024f63d197bcade17dbe76d0ed2507dab4dbe3be770a2e3b0a6e9223c2
MFSD12,418,47,49,46,51,43,76,59,47,True,True,True,43,8,True,b7b4660516d1bf30b788f34f6dd8a21ae5db11f21acc487c60f75bc6306bea56
MIB1,78,9,15,11,16,4,6,9,8,True,True,True,4,8,True,4306a7a97e8da558e67c38081d97a2df96be46fd86fbfa3b32161b23a75b6d65
MOV10,68,10,9,10,9,3,9,8,10,True,True,True,3,8,True,6085c51a82e93dda25b7e7cdbf0518dad528207e9380542af79f901948599e8c
MPP5,102,12,12,10,13,10,14,15,16,True,True,True,10,8,True,e08f033df9fb1393d58f2ba97af61728206585cd27b2c09dd2b17d20bc00d2a4
MYD88,99,15,14,12,11,12,12,15,8,True,True,True,8,8,True,ec4e6d7faa03fcb10e0ebe5a230d49b63912509be417b097f51d1d5f47cbeaf3
NAE1,51,3,9,4,9,3,7,9,7,True,True,True,3,8,True,d541a607735092bb7358ba0d26ce58448ab6129594a2ba153d4c2e2df4f8b8a6
NBAS,45,8,6,3,3,4,4,13,4,True,True,True,3,8,True,47b864f934fc53bcae1ee13a6cbbd0b918e9e3f1b4a2a6ff1455787c6dbf643c
NDFIP2,129,18,13,14,22,18,17,15,12,True,True,True,12,8,True,3a6d2a1d2c801b849498ebbc221801cfd045bbbee50fc0bdd56fab27db61ef71
NFKBIA,105,18,15,11,12,16,12,9,12,True,True,True,9,8,True,927934a28fc90e16ba2bb8011b0af39e0e50088f597fa0af60f0c339cd2d93c8
NLRX1,105,15,9,15,16,15,19,6,10,True,True,True,6,8,True,43d260959355a7304ab0a1599709cecf1bd8fd7f7408f37e09c5f697b9712d73
PPIA,140,26,21,15,20,16,11,16,15,True,True,True,11,8,True,0afbff536e83da1a7580d493b2042dcd173737d3ac4a7c15e15226b3632db74a
PPIG,46,4,3,6,6,7,4,10,6,True,True,True,3,8,True,3da1c9163a4946b055d4353812d980748e8dd4632501fdc12d12d86ae301d581
PPIH,81,12,10,10,11,14,6,10,8,True,True,True,6,8,True,0f9896b6d44f9162492dff6e8a0fda7a512e14850484a69f749f1940a26a664e
PRKCI,100,14,14,12,11,17,10,9,13,True,True,True,9,8,True,014287dcd93d869d56e220795c42291920456093a4e0837cc120cfa918df43a4
RAB7A,46,3,4,3,11,5,5,5,10,True,True,True,3,8,True,c310c85c96f23ad6f1435bf9f5245d1ec692267a73a01bd743bcf153f40ab06e
RB1CC1,108,10,19,10,15,14,10,12,18,True,True,True,10,8,True,69e6ce124cc5f3dfe852638aed4e9a9c94536312eb110bb7123b37f9b9c24c8a
RELA,110,13,15,19,8,14,23,9,9,True,True,True,8,8,True,b5d4e128746eefadcb118e7fdd2680bf23dfcf575f0da1b80e4f52da662e7d34
RELB,187,22,22,28,25,30,20,21,19,True,True,True,19,8,True,26a828eb2369c85707838666240355f8b9e4112a66883f6d84968b688d145c72
RIPK1,180,27,22,19,31,30,17,17,17,True,True,True,17,8,True,74fc5a577b917c5e03b0c70f372752e3cfadb4b2066e37107c4c2f1bbc7b7a4f
RNF41,100,15,15,12,12,11,13,8,14,True,True,True,8,8,True,4d2fed2bfce1ef0bc8b4ed73c138c4638e49e4038f11a543e90bf723a899e2c9
RTN4,167,15,24,29,20,15,22,23,19,True,True,True,15,8,True,33617034320d17cc7e9ba5a6662b9f87f1c856c294164357831618f3d2ad60f2
SCAP,128,15,15,10,21,16,17,22,12,True,True,True,10,8,True,d27c9d6c0d0381ea1674957fa2de3370b97472bd3dc6b1c76c4411253e7746ef
SCARB1,46,6,7,5,6,5,7,5,5,True,True,True,5,8,True,21f04acba707a18c943eeea052cc663b2ef8f8530507ea5cdb9893e25ee335e8
SEC62,84,13,12,7,12,9,10,8,13,True,True,True,7,8,True,163c629b50dff88281cc98d42a795f4d5d1544da81fec4cc3927976d6392ccb8
SGTA,110,15,14,15,15,12,15,13,11,True,True,True,11,8,True,636c7ea93f16f05363734bf9cdaf1d3d55360a857241424942b7e359b3d9792e
SIGMAR1,190,22,26,17,30,16,35,21,23,True,True,True,16,8,True,532e20c4caaccd42bde555732537b40b497e5e9a92ed526ae31168c635cff243
SIRT1,140,15,18,23,13,21,18,16,16,True,True,True,13,8,True,5e88001783e157e2feaf3fa926b4085f06a0ffec26ff743146fb5e81b6e69583
SLC35B2,83,8,9,10,12,5,10,14,15,True,True,True,5,8,True,956efeb3fed0d920dd0779df38050f8fa8ba60d4d10ccadaa7491ca034a8f4a0
SMAD3,107,20,7,12,16,15,11,10,16,True,True,True,7,8,True,b0e157b99b33eaa3ecd5b8b99c2bb877493edd88a229149b20e09fa924348d3d
SMOC1,121,15,16,16,12,14,17,16,15,True,True,True,12,8,True,925286226b2dfc5557eed4567e7ad43df527da2f748ec8534989c90407285cf3
SPNS1,177,20,19,22,23,24,33,23,13,True,True,True,13,8,True,d11607aa000bae031ca824a8812a977895ad76ffba27c708dab12c1eed2b45f0
STAT1,138,21,13,9,21,22,11,19,22,True,True,True,9,8,True,42e2eed77ebd804994657756e4b9d334e6268d7ab8ad9e5f6729094b24d76872
STAT2,138,21,13,19,15,15,18,13,24,True,True,True,13,8,True,65c3ab5766c95186ec6c96c11bc6172852efe7a4c058bb01d18c6de1748033b2
STK16,165,19,21,19,23,19,22,14,28,True,True,True,14,8,True,3aa9190d07a946deefadeec76a0b00dfe8130678dce581004da4ccc30400c0f9
TBCB,135,25,16,12,11,14,22,16,19,True,True,True,11,8,True,212f125139c166f99dfc557eaed59cc44a5b2db6278db0b3808dc2c49d32123a
TBK1,59,10,9,13,7,4,5,6,5,True,True,True,4,8,True,c7a62ae06170935218e2db0c1d16952ade97b1cc4ec2d93ddaa68a63389f212b
TICAM1,126,19,13,6,16,17,23,11,21,True,True,True,6,8,True,2fb2823a2619e187722e55a32e144dd5a0ac656c0bea0464c03250d607d100b5
TLE1,83,12,13,4,14,6,15,10,9,True,True,True,4,8,True,60877d3ba0fad1c7197beb9841922c0ee23b563d4cd29b6ef143a86a5ed60b3a
TLE3,137,16,19,14,22,21,20,12,13,True,True,True,12,8,True,d09389f216bf2275660b25d1580daa627261fe0c440e407b896d3a1d2d5882a8
TLR3,82,7,12,8,11,10,9,7,18,True,True,True,7,8,True,1a6281433ac7f8c2fc1612849221ec442f85af4a015f1944491b9ad58d856bd1
TMEM106B,639,88,100,76,91,79,69,69,67,True,True,True,67,8,True,2bd7c86cdd9a17d3f578d2d099b00c4fbca31742e504a52758eb4982e8ada373
TMEM41B,99,11,20,13,10,10,10,11,14,True,True,True,10,8,True,e48a4a691303f6a311e326a860b0034de54cf924efc2d30840a2b1c1e949310a
TMEM97,154,23,21,21,15,18,22,15,19,True,True,True,15,8,True,5cc0b7b9de75055959d8ed0ac29743a70f1a851e73e36b50f6d34a03c7142ff1
TMPRSS2,184,18,23,20,18,23,19,33,30,True,True,True,18,8,True,22f98f93c5c4550476d39333cf9b0f88d9b328f250fcea47b01299b09b154cc8
TOLLIP,87,12,10,6,12,8,13,17,9,True,True,True,6,8,True,da886cd4351897c995a5b67b0dc18d3e511f5ed483ffd3b17c332ad9425d188f
TOM1,415,56,54,44,50,43,56,53,59,True,True,True,43,8,True,79e87283b1120570264c148ceb4fa1cd59a9c6996e9be507cb0a763f9d1f0bc9
TRIM59,94,21,14,6,10,11,11,10,11,True,True,True,6,8,True,ca102afc451ad147ad2b013f76dce60b1d104515f02f150034612a9b23a1c360
TRMT1,183,35,21,17,25,21,34,15,15,True,True,True,15,8,True,eb62c0e9b33e740a1fc0422eccabadede37ac4fd72568bd717b1e78c8667682d
TTC37,114,9,17,17,19,14,17,11,10,True,True,True,9,8,True,648a17e41528e8b5a0dbe0d8e5e1b76e1c67cdccd22c15a8169523f7a4926a0a
TYK2,111,13,13,13,13,16,16,12,15,True,True,True,12,8,True,46f216bf369b47798801ccea24c1df53aaec4761ab8075e95b9c985f60292b94
TYRO3,113,22,8,13,15,11,9,16,19,True,True,True,8,8,True,93a51b2e4bda46f2140037f02b9b58bacf5614f5919a83288ba5b884b133b369
USO1,81,13,13,14,10,12,12,4,3,True,True,True,3,8,True,6fcabe7022d6404bb393b68f6980eed757e1b1e3fdf79fb5528a275c6c80d6c5
VAC14,789,88,91,103,104,113,106,90,94,True,True,True,88,8,True,b8a702ba5b4244bfb18638fb72bbe8b7acd976e9ce5a95517ea4e76c2216b928
VMP1,115,12,13,13,14,18,15,12,18,True,True,True,12,8,True,b997922b63091f5327c8b3b6cfc84c9e383e59cefa66986df96bee7ed57d56d3
VPS33A,62,8,6,8,7,10,11,5,7,True,True,True,5,8,True,b2b05953cd898d64da4a6579eadd7965701749cb650565cf5dd895f3a66e26b3
VPS39,80,10,8,11,15,10,11,5,10,True,True,True,5,8,True,d76a595f61a3f1b0dac2126bbee81dddf01c4f3e7090907e05664858a7d29ed0
WDR61,57,7,14,4,5,5,7,9,6,True,True,True,4,8,True,b54d35a76974bf1f6d5e141444938c9782a0937fae8e5648fc5bd7b235187106
XBP1,140,24,8,21,21,17,19,16,14,True,True,True,8,8,True,b348c0092afc9d53ca17aa88dca0df5780196ae12483a6f8b6ded975ce9ea64c
ZCRB1,121,16,19,18,13,14,12,16,13,True,True,True,12,8,True,cac64086fc717368e35a90e685c66003f496ec9bc93dc0deb92aa8824ca63c51
ZDHHC5,159,8,31,15,25,28,14,18,20,True,True,True,8,8,True,00bccfa40b1648d388af29f18cee9ee40d5b4c1ec24450a6d4668e7973e50f80
ZYG11B,140,22,11,21,22,15,14,15,20,True,True,True,11,8,True,830cea1c9b8f5ffd0e9208e97a93c50fbd0cedf03bb9b27ddea9000f588d5ba5
ADCK4,119,12,20,12,12,13,15,18,17,False,False,True,12,8,False,35c4546cdf2598aa295f8d267a57314673fe286a3bd383a00a4828a41ac74fad
ASNA1,49,9,2,4,6,6,5,10,7,True,False,True,2,8,False,89e98de3dd6661466aea9a0185f960acd68db239f894a181950945c3739664f7
ATP6AP1,15,0,3,1,4,2,2,3,0,True,True,True,0,6,False,914f0d290ae44f0ecd73d7bf0ae8daee608f0785e5bc719e7038fee4a916a08b
ATP6V1A,5,2,0,1,2,0,0,0,0,True,True,True,0,3,False,620b965a925c454c650130ec33c148c5b54d545ea1dc2b98d8d8c4fe13ce83c5
ATP6V1B2,6,1,0,0,2,1,0,1,1,True,True,True,0,5,False,2a8f0d79db53ef5ef5b3949e51b544d5777a7bd7bf6be6d8d04e6869a9e951b0
BCL2L1,54,2,6,8,8,7,6,5,12,True,True,True,2,8,False,bcc2afb1e9b05e2ed5a1f1e9664d1cc38994082bc1aaac550b8e413e4a90f67d
C18orf8,178,25,30,23,19,20,16,23,22,False,False,True,16,8,False,ca17f450817e802afc76a004faa60c364f3b1cdfd4585796fa33d62c7a33e6fb
C19orf66,514,70,78,61,68,49,66,51,71,True,False,True,49,8,False,0825740befdc79af1f51954a8a8724f09a27f1121c96043d518d6b4a58008046
CHMP4B,14,1,0,1,3,2,4,2,1,True,True,True,0,7,False,d2a614a6870ade2ed1041ca482682a62cd03303af8843bdc50f87615c61c3006
COPB2,1,0,1,0,0,0,0,0,0,True,True,True,0,1,False,8b64574ffe4750be2f30b7e961faf158b56b32b68be9718d87c89d4fc18424c2
CUL2,21,1,5,2,4,2,4,1,2,True,True,True,1,8,False,53a07750b754e3beb717cedd706934558618692099c338047b1c5ea95defaecc
DHX33,43,6,7,2,9,5,5,5,4,True,True,True,2,8,False,bd55f81162dfbe6c22a466a237612ae91c9076fb6f009d0d009c97732b0917e3
EEF1A1,15,4,3,0,2,3,0,2,1,True,True,True,0,6,False,6ce63cf763b9c11321aafa66a9b0daacab7e5d6122cde26272e2d90b5d05aa75
EXOSC8,25,5,3,1,3,4,4,3,2,True,True,True,1,8,False,cb4a1e4da3b620077a3f8fcf37a49f2e3c48fe7e87df4541921722e443e068a2
GBF1,4,0,0,0,2,1,1,0,0,True,True,True,0,3,False,ab267089ad1bf9515dfa966482edc54cee23f00539a549ed63f34c93cbede5c5
MDN1,33,5,8,1,5,3,3,4,4,True,True,True,1,8,False,a85783973d7480bc4b81b1b6a7393ecac743b4f4317ca8fa49ddea5b748b6e35
NRIP1,25,1,3,3,3,4,4,2,5,True,True,True,1,8,False,73cf44ad151f56500e2f40a6f91d1007acde4af761d5d3371601fcbdee13e077
PABPC1,12,3,2,2,0,5,0,0,0,True,True,True,0,4,False,2a2d8c68b06c303b735157d2ed0a2b4ff2c21e1c8f1c952ff71531e8afeab651
PCBP1,8,2,0,1,1,1,2,1,0,True,True,True,0,6,False,526fec240a8bea3baf1643c94e50ba80d551dddb0b369974164c0457bd893cd1
PCBP2,35,7,3,2,4,6,4,4,5,True,True,True,2,8,False,1e6c71970d4321689ccc5dde0f6813b41ea4833b681dd4ca7b49fed053834b5d
POLR2B,1,0,0,0,0,0,0,0,1,True,True,True,0,1,False,58384b2f902e0168eed6fc67ce56c1254495d3da6633d90f1bc28fc3901390c5
RAE1,17,2,3,4,1,2,3,2,0,True,True,True,0,7,False,208cda44680ebbf3fd56727769b36ced04029e3c89df112efcdd8bf955fc1888
RBX1,10,0,3,0,0,3,4,0,0,True,True,True,0,3,False,045b25ac5f763d33a1a04dbee6b6d15e8e82eaf30631bf556096ebba8b62c34b
RSL24D1,22,2,4,5,1,1,3,3,3,True,True,True,1,8,False,d92380875d6751dbe1b0a9caa3323002a4388beba128d5cb0916386271b068bb
SKIV2L,21,3,3,2,4,5,2,0,2,True,True,True,0,7,False,9788040406ba401d60c6e53123abf4394209e96365941a4659b305a2fb9b72aa
SREBF1,10,2,2,1,2,0,2,0,1,True,True,True,0,6,False,a2d604b726f470dda00733d69a00222def278327a2270e4208fa7e98c25bfe9c
SREBF2,40,6,4,2,8,2,4,6,8,True,True,True,2,8,False,aebb87c0b0376a97a5671fa0598fd1a131727e5297c9bbba9949981ac6c473cd
SRP54,6,0,1,1,0,1,2,0,1,True,True,True,0,5,False,da951cdfb9f540c0b39e6c1bc34d3f66d68696b195f2bcf468a087f06fba1712
STX5,24,5,1,5,2,4,5,1,1,True,True,True,1,8,False,868e5ba8ed65e2a78e4c0e8930f45067e41688e031424ea13f164e8a6a90e236
TBKBP1,16,1,5,2,2,2,2,1,1,True,True,True,1,8,False,76e89446f8a9bc68ea8d3e9c639687e88725d8f4a8d2ed39b51ec5940633d778
TCEB1,32,7,4,3,4,5,6,2,1,False,False,True,1,8,False,e66c23d8839d650bd18624a99da05c771155cdb45db0770ff0a8f09d4b143118
