setting,gene,guide,n_train_pseudoreplicates,n_train_cells,guide_effect_rms
E192_RPE1,HSPA5,HSPA5_pDS371,4,241,0.1751348706052325
E192_RPE1,HSPA9,HSPA9_pDS088,4,716,0.17031029453044486
E192_RPE1,IARS2,IARS2_pDS090,4,351,0.12935353724926232
E192_RPE1,IARS2,IARS2_pDS091,4,539,0.1482611387850541
E192_RPE1,MANF,MANF_pDS027,4,444,0.07983408855837501
E192_RPE1,MRPL39,MRPL39_pDS498,4,547,0.08628543858992288
E192_RPE1,SEC61A1,SEC61A1_pDS031,4,361,0.12945476626102384
E192_RPE1,SEC61A1,SEC61A1_pDS032,4,592,0.14767756770932675
E192_RPE1,SPCS3,SPCS3_pDS402,4,518,0.08523332591627848
E192_RPE1,SRP68,SRP68_pDS403,4,560,0.07527828972281228
E192_RPE1,SRP72,SRP72_pDS505,4,416,0.09975514638743561
E192_RPE1,SRPRB,SRPRB_pDS404,4,563,0.09228510322360692
E192_RPE1,TMED2,TMED2_pDS175,4,404,0.08416001082180782
E192_RPE1,TTI1,TTI1_pDS407,4,421,0.1147920707269159
E192_RPE1,UFL1,UFL1_pDS410,4,468,0.08136510478601028
