task_id,batch,gene,n_target_cells
REPL::43::EIF2B2,43,EIF2B2,7
REPL::44::EIF2B2,44,EIF2B2,8
REPL::45::EIF2B2,45,EIF2B2,11
REPL::46::EIF2B2,46,EIF2B2,12
REPL::47::EIF2B2,47,EIF2B2,8
REPL::5::EIF2B2,5,EIF2B2,5
REPL::7::EIF2B2,7,EIF2B2,7
REPL::8::EIF2B2,8,EIF2B2,6
REPL::9::EIF2B2,9,EIF2B2,7
REPL::26::EIF2B3,26,EIF2B3,7
REPL::28::EIF2B3,28,EIF2B3,5
REPL::29::EIF2B3,29,EIF2B3,5
REPL::31::EIF2B3,31,EIF2B3,6
REPL::1::EIF2B4,1,EIF2B4,5
REPL::10::EIF2B4,10,EIF2B4,10
REPL::11::EIF2B4,11,EIF2B4,5
REPL::13::EIF2B4,13,EIF2B4,7
REPL::15::EIF2B4,15,EIF2B4,8
REPL::16::EIF2B4,16,EIF2B4,6
REPL::17::EIF2B4,17,EIF2B4,13
REPL::18::EIF2B4,18,EIF2B4,15
REPL::2::EIF2B4,2,EIF2B4,8
REPL::20::EIF2B4,20,EIF2B4,6
REPL::24::EIF2B4,24,EIF2B4,5
REPL::25::EIF2B4,25,EIF2B4,7
REPL::26::EIF2B4,26,EIF2B4,5
REPL::27::EIF2B4,27,EIF2B4,9
REPL::28::EIF2B4,28,EIF2B4,8
REPL::3::EIF2B4,3,EIF2B4,9
REPL::30::EIF2B4,30,EIF2B4,7
REPL::31::EIF2B4,31,EIF2B4,10
REPL::32::EIF2B4,32,EIF2B4,6
REPL::33::EIF2B4,33,EIF2B4,6
REPL::34::EIF2B4,34,EIF2B4,10
REPL::35::EIF2B4,35,EIF2B4,6
REPL::36::EIF2B4,36,EIF2B4,11
REPL::37::EIF2B4,37,EIF2B4,7
REPL::38::EIF2B4,38,EIF2B4,6
REPL::39::EIF2B4,39,EIF2B4,9
REPL::40::EIF2B4,40,EIF2B4,8
REPL::41::EIF2B4,41,EIF2B4,8
REPL::42::EIF2B4,42,EIF2B4,8
REPL::43::EIF2B4,43,EIF2B4,8
REPL::44::EIF2B4,44,EIF2B4,6
REPL::45::EIF2B4,45,EIF2B4,6
REPL::46::EIF2B4,46,EIF2B4,6
REPL::47::EIF2B4,47,EIF2B4,5
REPL::5::EIF2B4,5,EIF2B4,11
REPL::6::EIF2B4,6,EIF2B4,5
REPL::7::EIF2B4,7,EIF2B4,8
REPL::8::EIF2B4,8,EIF2B4,6
REPL::9::EIF2B4,9,EIF2B4,5
REPL::10::EIF2S1,10,EIF2S1,11
REPL::12::EIF2S1,12,EIF2S1,5
REPL::14::EIF2S1,14,EIF2S1,7
REPL::15::EIF2S1,15,EIF2S1,5
REPL::16::EIF2S1,16,EIF2S1,7
REPL::17::EIF2S1,17,EIF2S1,8
REPL::2::EIF2S1,2,EIF2S1,7
REPL::24::EIF2S1,24,EIF2S1,6
REPL::25::EIF2S1,25,EIF2S1,7
REPL::27::EIF2S1,27,EIF2S1,8
REPL::28::EIF2S1,28,EIF2S1,6
REPL::32::EIF2S1,32,EIF2S1,10
REPL::33::EIF2S1,33,EIF2S1,7
REPL::35::EIF2S1,35,EIF2S1,9
REPL::38::EIF2S1,38,EIF2S1,6
REPL::41::EIF2S1,41,EIF2S1,12
REPL::42::EIF2S1,42,EIF2S1,9
REPL::44::EIF2S1,44,EIF2S1,5
REPL::45::EIF2S1,45,EIF2S1,6
REPL::47::EIF2S1,47,EIF2S1,6
REPL::5::EIF2S1,5,EIF2S1,5
REPL::9::EIF2S1,9,EIF2S1,9
REPL::25::FARSB,25,FARSB,5
REPL::37::FARSB,37,FARSB,6
REPL::1::GBF1,1,GBF1,5
REPL::11::GBF1,11,GBF1,6
REPL::17::GBF1,17,GBF1,7
REPL::2::GBF1,2,GBF1,7
REPL::23::GBF1,23,GBF1,6
REPL::24::GBF1,24,GBF1,5
REPL::25::GBF1,25,GBF1,5
REPL::26::GBF1,26,GBF1,5
REPL::27::GBF1,27,GBF1,6
REPL::31::GBF1,31,GBF1,5
REPL::36::GBF1,36,GBF1,6
REPL::47::GBF1,47,GBF1,5
REPL::6::GBF1,6,GBF1,6
REPL::1::GMPPB,1,GMPPB,7
REPL::10::GMPPB,10,GMPPB,6
REPL::16::GMPPB,16,GMPPB,5
REPL::19::GMPPB,19,GMPPB,5
REPL::24::GMPPB,24,GMPPB,6
REPL::26::GMPPB,26,GMPPB,5
REPL::35::GMPPB,35,GMPPB,5
REPL::39::GMPPB,39,GMPPB,6
REPL::42::GMPPB,42,GMPPB,5
REPL::8::GMPPB,8,GMPPB,8
REPL::10::GNPNAT1,10,GNPNAT1,5
REPL::14::GNPNAT1,14,GNPNAT1,6
REPL::24::GNPNAT1,24,GNPNAT1,5
REPL::7::GNPNAT1,7,GNPNAT1,5
REPL::1::HARS,1,HARS,7
REPL::10::HARS,10,HARS,8
REPL::13::HARS,13,HARS,6
REPL::14::HARS,14,HARS,5
REPL::15::HARS,15,HARS,9
REPL::16::HARS,16,HARS,5
REPL::19::HARS,19,HARS,5
REPL::2::HARS,2,HARS,8
REPL::20::HARS,20,HARS,10
REPL::23::HARS,23,HARS,5
REPL::24::HARS,24,HARS,5
REPL::25::HARS,25,HARS,9
REPL::26::HARS,26,HARS,8
REPL::27::HARS,27,HARS,8
REPL::28::HARS,28,HARS,10
REPL::3::HARS,3,HARS,5
REPL::30::HARS,30,HARS,8
REPL::33::HARS,33,HARS,6
REPL::34::HARS,34,HARS,8
REPL::35::HARS,35,HARS,6
REPL::36::HARS,36,HARS,8
REPL::37::HARS,37,HARS,5
REPL::39::HARS,39,HARS,9
REPL::40::HARS,40,HARS,8
REPL::41::HARS,41,HARS,5
REPL::42::HARS,42,HARS,5
REPL::43::HARS,43,HARS,5
REPL::44::HARS,44,HARS,6
REPL::45::HARS,45,HARS,6
REPL::46::HARS,46,HARS,10
REPL::47::HARS,47,HARS,7
REPL::48::HARS,48,HARS,8
REPL::5::HARS,5,HARS,5
REPL::6::HARS,6,HARS,10
REPL::7::HARS,7,HARS,10
REPL::9::HARS,9,HARS,6
REPL::1::HSD17B12,1,HSD17B12,5
REPL::10::HSD17B12,10,HSD17B12,5
REPL::13::HSD17B12,13,HSD17B12,6
REPL::15::HSD17B12,15,HSD17B12,6
REPL::27::HSD17B12,27,HSD17B12,6
REPL::30::HSD17B12,30,HSD17B12,5
REPL::33::HSD17B12,33,HSD17B12,6
REPL::35::HSD17B12,35,HSD17B12,5
REPL::38::HSD17B12,38,HSD17B12,5
REPL::45::HSD17B12,45,HSD17B12,7
REPL::1::HSPA5,1,HSPA5,13
REPL::10::HSPA5,10,HSPA5,15
REPL::11::HSPA5,11,HSPA5,14
REPL::13::HSPA5,13,HSPA5,8
REPL::14::HSPA5,14,HSPA5,6
REPL::15::HSPA5,15,HSPA5,11
REPL::16::HSPA5,16,HSPA5,10
REPL::17::HSPA5,17,HSPA5,5
REPL::18::HSPA5,18,HSPA5,8
REPL::19::HSPA5,19,HSPA5,5
REPL::2::HSPA5,2,HSPA5,8
REPL::20::HSPA5,20,HSPA5,7
REPL::21::HSPA5,21,HSPA5,11
REPL::22::HSPA5,22,HSPA5,16
REPL::23::HSPA5,23,HSPA5,12
REPL::24::HSPA5,24,HSPA5,5
REPL::25::HSPA5,25,HSPA5,10
REPL::26::HSPA5,26,HSPA5,10
REPL::27::HSPA5,27,HSPA5,10
REPL::28::HSPA5,28,HSPA5,11
REPL::29::HSPA5,29,HSPA5,8
REPL::3::HSPA5,3,HSPA5,12
REPL::30::HSPA5,30,HSPA5,5
REPL::31::HSPA5,31,HSPA5,9
REPL::32::HSPA5,32,HSPA5,7
REPL::34::HSPA5,34,HSPA5,6
REPL::35::HSPA5,35,HSPA5,11
REPL::36::HSPA5,36,HSPA5,6
REPL::37::HSPA5,37,HSPA5,10
REPL::38::HSPA5,38,HSPA5,11
REPL::39::HSPA5,39,HSPA5,16
REPL::4::HSPA5,4,HSPA5,8
REPL::40::HSPA5,40,HSPA5,5
REPL::41::HSPA5,41,HSPA5,11
REPL::42::HSPA5,42,HSPA5,13
REPL::43::HSPA5,43,HSPA5,8
REPL::44::HSPA5,44,HSPA5,11
REPL::46::HSPA5,46,HSPA5,12
REPL::47::HSPA5,47,HSPA5,12
REPL::48::HSPA5,48,HSPA5,6
REPL::5::HSPA5,5,HSPA5,8
REPL::6::HSPA5,6,HSPA5,12
REPL::7::HSPA5,7,HSPA5,8
REPL::8::HSPA5,8,HSPA5,8
REPL::9::HSPA5,9,HSPA5,9
REPL::1::HSPA9,1,HSPA9,6
REPL::10::HSPA9,10,HSPA9,5
REPL::11::HSPA9,11,HSPA9,5
REPL::12::HSPA9,12,HSPA9,11
REPL::13::HSPA9,13,HSPA9,9
REPL::15::HSPA9,15,HSPA9,11
REPL::16::HSPA9,16,HSPA9,9
REPL::17::HSPA9,17,HSPA9,18
REPL::18::HSPA9,18,HSPA9,12
REPL::19::HSPA9,19,HSPA9,11
REPL::2::HSPA9,2,HSPA9,13
REPL::20::HSPA9,20,HSPA9,11
REPL::21::HSPA9,21,HSPA9,9
REPL::22::HSPA9,22,HSPA9,7
REPL::24::HSPA9,24,HSPA9,5
REPL::25::HSPA9,25,HSPA9,9
REPL::26::HSPA9,26,HSPA9,11
REPL::27::HSPA9,27,HSPA9,12
REPL::28::HSPA9,28,HSPA9,9
REPL::29::HSPA9,29,HSPA9,10
REPL::3::HSPA9,3,HSPA9,7
REPL::30::HSPA9,30,HSPA9,11
REPL::31::HSPA9,31,HSPA9,6
REPL::32::HSPA9,32,HSPA9,9
REPL::33::HSPA9,33,HSPA9,8
REPL::34::HSPA9,34,HSPA9,9
REPL::35::HSPA9,35,HSPA9,8
REPL::36::HSPA9,36,HSPA9,12
REPL::37::HSPA9,37,HSPA9,7
REPL::38::HSPA9,38,HSPA9,7
REPL::39::HSPA9,39,HSPA9,9
REPL::4::HSPA9,4,HSPA9,13
REPL::40::HSPA9,40,HSPA9,6
REPL::41::HSPA9,41,HSPA9,9
REPL::42::HSPA9,42,HSPA9,9
REPL::43::HSPA9,43,HSPA9,12
REPL::44::HSPA9,44,HSPA9,5
REPL::45::HSPA9,45,HSPA9,9
REPL::46::HSPA9,46,HSPA9,10
REPL::47::HSPA9,47,HSPA9,5
REPL::48::HSPA9,48,HSPA9,5
REPL::5::HSPA9,5,HSPA9,8
REPL::6::HSPA9,6,HSPA9,7
REPL::7::HSPA9,7,HSPA9,11
REPL::8::HSPA9,8,HSPA9,10
REPL::9::HSPA9,9,HSPA9,9
REPL::10::IARS2,10,IARS2,5
REPL::11::IARS2,11,IARS2,5
REPL::20::IARS2,20,IARS2,5
REPL::22::IARS2,22,IARS2,10
REPL::25::IARS2,25,IARS2,5
REPL::26::IARS2,26,IARS2,6
REPL::27::IARS2,27,IARS2,7
REPL::28::IARS2,28,IARS2,5
REPL::3::IARS2,3,IARS2,6
REPL::30::IARS2,30,IARS2,7
REPL::31::IARS2,31,IARS2,7
REPL::32::IARS2,32,IARS2,6
REPL::35::IARS2,35,IARS2,6
REPL::39::IARS2,39,IARS2,9
REPL::4::IARS2,4,IARS2,6
REPL::41::IARS2,41,IARS2,12
REPL::42::IARS2,42,IARS2,5
REPL::43::IARS2,43,IARS2,6
REPL::45::IARS2,45,IARS2,7
REPL::46::IARS2,46,IARS2,8
REPL::47::IARS2,47,IARS2,6
REPL::5::IARS2,5,IARS2,6
REPL::6::IARS2,6,IARS2,9
REPL::10::MANF,10,MANF,5
REPL::15::MANF,15,MANF,5
REPL::30::MANF,30,MANF,5
REPL::41::MANF,41,MANF,5
REPL::43::MANF,43,MANF,5
REPL::44::MANF,44,MANF,7
REPL::7::MANF,7,MANF,6
REPL::20::MARS,20,MARS,5
REPL::30::MARS,30,MARS,5
REPL::34::MARS,34,MARS,5
REPL::5::MARS,5,MARS,5
REPL::26::MRGBP,26,MRGBP,5
REPL::6::MRGBP,6,MRGBP,5
REPL::11::MRPL39,11,MRPL39,5
REPL::13::MRPL39,13,MRPL39,5
REPL::16::MRPL39,16,MRPL39,6
REPL::17::MRPL39,17,MRPL39,5
REPL::25::MRPL39,25,MRPL39,7
REPL::26::MRPL39,26,MRPL39,6
REPL::28::MRPL39,28,MRPL39,6
REPL::3::MRPL39,3,MRPL39,5
REPL::41::MRPL39,41,MRPL39,6
REPL::45::MRPL39,45,MRPL39,5
REPL::47::MRPL39,47,MRPL39,5
REPL::11::NEDD8,11,NEDD8,6
REPL::13::NEDD8,13,NEDD8,9
REPL::19::NEDD8,19,NEDD8,5
REPL::2::NEDD8,2,NEDD8,5
REPL::22::NEDD8,22,NEDD8,10
REPL::25::NEDD8,25,NEDD8,7
REPL::29::NEDD8,29,NEDD8,7
REPL::30::NEDD8,30,NEDD8,5
REPL::31::NEDD8,31,NEDD8,5
REPL::32::NEDD8,32,NEDD8,6
REPL::33::NEDD8,33,NEDD8,5
REPL::34::NEDD8,34,NEDD8,5
REPL::36::NEDD8,36,NEDD8,6
REPL::37::NEDD8,37,NEDD8,5
REPL::38::NEDD8,38,NEDD8,5
REPL::41::NEDD8,41,NEDD8,9
REPL::42::NEDD8,42,NEDD8,5
REPL::6::NEDD8,6,NEDD8,6
REPL::7::NEDD8,7,NEDD8,5
REPL::8::NEDD8,8,NEDD8,6
REPL::10::PSMA1,10,PSMA1,6
REPL::12::PSMA1,12,PSMA1,5
REPL::13::PSMA1,13,PSMA1,6
REPL::14::PSMA1,14,PSMA1,5
REPL::16::PSMA1,16,PSMA1,5
REPL::2::PSMA1,2,PSMA1,5
REPL::23::PSMA1,23,PSMA1,5
REPL::28::PSMA1,28,PSMA1,10
REPL::30::PSMA1,30,PSMA1,5
REPL::31::PSMA1,31,PSMA1,5
REPL::32::PSMA1,32,PSMA1,7
REPL::35::PSMA1,35,PSMA1,7
REPL::36::PSMA1,36,PSMA1,7
REPL::40::PSMA1,40,PSMA1,5
REPL::42::PSMA1,42,PSMA1,5
REPL::46::PSMA1,46,PSMA1,5
REPL::5::PSMA1,5,PSMA1,5
REPL::8::PSMA1,8,PSMA1,6
REPL::12::PSMD12,12,PSMD12,6
REPL::14::PSMD12,14,PSMD12,10
REPL::15::PSMD12,15,PSMD12,5
REPL::16::PSMD12,16,PSMD12,5
REPL::18::PSMD12,18,PSMD12,6
REPL::19::PSMD12,19,PSMD12,6
REPL::2::PSMD12,2,PSMD12,7
REPL::22::PSMD12,22,PSMD12,6
REPL::23::PSMD12,23,PSMD12,5
REPL::25::PSMD12,25,PSMD12,7
REPL::26::PSMD12,26,PSMD12,7
REPL::27::PSMD12,27,PSMD12,8
REPL::29::PSMD12,29,PSMD12,6
REPL::3::PSMD12,3,PSMD12,8
REPL::30::PSMD12,30,PSMD12,6
REPL::31::PSMD12,31,PSMD12,7
REPL::32::PSMD12,32,PSMD12,12
REPL::33::PSMD12,33,PSMD12,7
REPL::34::PSMD12,34,PSMD12,6
REPL::35::PSMD12,35,PSMD12,5
REPL::38::PSMD12,38,PSMD12,5
REPL::41::PSMD12,41,PSMD12,11
REPL::44::PSMD12,44,PSMD12,6
REPL::45::PSMD12,45,PSMD12,6
REPL::47::PSMD12,47,PSMD12,8
REPL::48::PSMD12,48,PSMD12,7
REPL::5::PSMD12,5,PSMD12,5
REPL::6::PSMD12,6,PSMD12,8
REPL::8::PSMD12,8,PSMD12,11
REPL::9::PSMD12,9,PSMD12,8
REPL::1::PSMD4,1,PSMD4,9
REPL::13::PSMD4,13,PSMD4,6
REPL::14::PSMD4,14,PSMD4,8
REPL::15::PSMD4,15,PSMD4,9
REPL::16::PSMD4,16,PSMD4,11
REPL::18::PSMD4,18,PSMD4,6
REPL::19::PSMD4,19,PSMD4,7
REPL::20::PSMD4,20,PSMD4,7
REPL::22::PSMD4,22,PSMD4,5
REPL::23::PSMD4,23,PSMD4,12
REPL::25::PSMD4,25,PSMD4,5
REPL::26::PSMD4,26,PSMD4,12
REPL::27::PSMD4,27,PSMD4,11
REPL::28::PSMD4,28,PSMD4,8
REPL::29::PSMD4,29,PSMD4,6
REPL::3::PSMD4,3,PSMD4,5
REPL::30::PSMD4,30,PSMD4,14
REPL::31::PSMD4,31,PSMD4,6
REPL::32::PSMD4,32,PSMD4,8
REPL::33::PSMD4,33,PSMD4,6
REPL::34::PSMD4,34,PSMD4,16
REPL::35::PSMD4,35,PSMD4,6
REPL::36::PSMD4,36,PSMD4,10
REPL::37::PSMD4,37,PSMD4,7
REPL::38::PSMD4,38,PSMD4,9
REPL::39::PSMD4,39,PSMD4,10
REPL::40::PSMD4,40,PSMD4,7
REPL::41::PSMD4,41,PSMD4,5
REPL::42::PSMD4,42,PSMD4,12
REPL::43::PSMD4,43,PSMD4,8
REPL::45::PSMD4,45,PSMD4,8
REPL::46::PSMD4,46,PSMD4,5
REPL::47::PSMD4,47,PSMD4,9
REPL::48::PSMD4,48,PSMD4,7
REPL::5::PSMD4,5,PSMD4,7
REPL::6::PSMD4,6,PSMD4,11
REPL::7::PSMD4,7,PSMD4,8
REPL::8::PSMD4,8,PSMD4,13
REPL::1::QARS,1,QARS,11
REPL::10::QARS,10,QARS,11
REPL::11::QARS,11,QARS,7
REPL::12::QARS,12,QARS,12
REPL::13::QARS,13,QARS,9
REPL::14::QARS,14,QARS,11
REPL::15::QARS,15,QARS,6
REPL::16::QARS,16,QARS,11
REPL::17::QARS,17,QARS,9
REPL::19::QARS,19,QARS,13
REPL::2::QARS,2,QARS,11
REPL::20::QARS,20,QARS,7
REPL::21::QARS,21,QARS,6
REPL::22::QARS,22,QARS,9
REPL::23::QARS,23,QARS,6
REPL::24::QARS,24,QARS,12
REPL::25::QARS,25,QARS,15
REPL::26::QARS,26,QARS,9
REPL::27::QARS,27,QARS,7
REPL::28::QARS,28,QARS,6
REPL::29::QARS,29,QARS,8
REPL::3::QARS,3,QARS,9
REPL::30::QARS,30,QARS,9
REPL::31::QARS,31,QARS,11
REPL::32::QARS,32,QARS,9
REPL::33::QARS,33,QARS,6
REPL::34::QARS,34,QARS,10
REPL::35::QARS,35,QARS,7
REPL::36::QARS,36,QARS,9
REPL::38::QARS,38,QARS,8
REPL::39::QARS,39,QARS,6
REPL::4::QARS,4,QARS,6
REPL::40::QARS,40,QARS,9
REPL::41::QARS,41,QARS,10
REPL::42::QARS,42,QARS,5
REPL::43::QARS,43,QARS,7
REPL::44::QARS,44,QARS,8
REPL::45::QARS,45,QARS,9
REPL::46::QARS,46,QARS,9
REPL::47::QARS,47,QARS,7
REPL::48::QARS,48,QARS,5
REPL::5::QARS,5,QARS,7
REPL::6::QARS,6,QARS,12
REPL::7::QARS,7,QARS,5
REPL::8::QARS,8,QARS,10
REPL::9::QARS,9,QARS,7
REPL::47::SAMM50,47,SAMM50,5
REPL::1::SEC61A1,1,SEC61A1,5
REPL::11::SEC61A1,11,SEC61A1,6
REPL::17::SEC61A1,17,SEC61A1,7
REPL::20::SEC61A1,20,SEC61A1,5
REPL::22::SEC61A1,22,SEC61A1,5
REPL::25::SEC61A1,25,SEC61A1,7
REPL::26::SEC61A1,26,SEC61A1,8
REPL::3::SEC61A1,3,SEC61A1,5
REPL::30::SEC61A1,30,SEC61A1,7
REPL::31::SEC61A1,31,SEC61A1,5
REPL::32::SEC61A1,32,SEC61A1,5
REPL::35::SEC61A1,35,SEC61A1,7
REPL::42::SEC61A1,42,SEC61A1,5
REPL::43::SEC61A1,43,SEC61A1,8
REPL::46::SEC61A1,46,SEC61A1,8
REPL::5::SEC61A1,5,SEC61A1,8
REPL::45::SEC61B,45,SEC61B,5
REPL::6::SEC61B,6,SEC61B,5
REPL::26::SEC61G,26,SEC61G,7
REPL::28::SEC61G,28,SEC61G,5
REPL::31::SEC61G,31,SEC61G,6
REPL::6::SEC61G,6,SEC61G,7
REPL::6::SEC63,6,SEC63,6
REPL::7::SEC63,7,SEC63,5
REPL::10::SLC39A7,10,SLC39A7,5
REPL::13::SLC39A7,13,SLC39A7,5
REPL::18::SLC39A7,18,SLC39A7,5
REPL::19::SLC39A7,19,SLC39A7,5
REPL::22::SLC39A7,22,SLC39A7,5
REPL::29::SLC39A7,29,SLC39A7,5
REPL::3::SLC39A7,3,SLC39A7,5
REPL::47::SLC39A7,47,SLC39A7,5
REPL::11::SPCS2,11,SPCS2,7
REPL::14::SPCS2,14,SPCS2,5
REPL::35::SPCS2,35,SPCS2,7
REPL::40::SPCS2,40,SPCS2,6
REPL::45::SPCS2,45,SPCS2,5
REPL::46::SPCS2,46,SPCS2,6
REPL::11::SPCS3,11,SPCS3,9
REPL::13::SPCS3,13,SPCS3,6
REPL::15::SPCS3,15,SPCS3,5
REPL::20::SPCS3,20,SPCS3,8
REPL::25::SPCS3,25,SPCS3,5
REPL::29::SPCS3,29,SPCS3,5
REPL::3::SPCS3,3,SPCS3,5
REPL::31::SPCS3,31,SPCS3,6
REPL::32::SPCS3,32,SPCS3,7
REPL::34::SPCS3,34,SPCS3,5
REPL::38::SPCS3,38,SPCS3,7
REPL::39::SPCS3,39,SPCS3,5
REPL::40::SPCS3,40,SPCS3,7
REPL::5::SPCS3,5,SPCS3,5
REPL::1::SRP68,1,SRP68,5
REPL::13::SRP68,13,SRP68,5
REPL::15::SRP68,15,SRP68,8
REPL::17::SRP68,17,SRP68,5
REPL::25::SRP68,25,SRP68,7
REPL::26::SRP68,26,SRP68,5
REPL::28::SRP68,28,SRP68,5
REPL::34::SRP68,34,SRP68,5
REPL::4::SRP68,4,SRP68,5
REPL::42::SRP68,42,SRP68,5
REPL::44::SRP68,44,SRP68,6
REPL::46::SRP68,46,SRP68,5
REPL::5::SRP68,5,SRP68,5
REPL::6::SRP68,6,SRP68,5
REPL::9::SRP68,9,SRP68,6
REPL::1::SRP72,1,SRP72,7
REPL::12::SRP72,12,SRP72,8
REPL::13::SRP72,13,SRP72,5
REPL::14::SRP72,14,SRP72,7
REPL::19::SRP72,19,SRP72,7
REPL::2::SRP72,2,SRP72,5
REPL::20::SRP72,20,SRP72,5
REPL::21::SRP72,21,SRP72,7
REPL::22::SRP72,22,SRP72,9
REPL::23::SRP72,23,SRP72,7
REPL::24::SRP72,24,SRP72,5
REPL::25::SRP72,25,SRP72,8
REPL::26::SRP72,26,SRP72,7
REPL::27::SRP72,27,SRP72,5
REPL::29::SRP72,29,SRP72,5
REPL::31::SRP72,31,SRP72,5
REPL::33::SRP72,33,SRP72,5
REPL::34::SRP72,34,SRP72,6
REPL::39::SRP72,39,SRP72,6
REPL::43::SRP72,43,SRP72,7
REPL::45::SRP72,45,SRP72,7
REPL::46::SRP72,46,SRP72,5
REPL::6::SRP72,6,SRP72,8
REPL::7::SRP72,7,SRP72,5
REPL::1::SRPRB,1,SRPRB,8
REPL::16::SRPRB,16,SRPRB,5
REPL::25::SRPRB,25,SRPRB,7
