perturbation,guide_id,n_guide_cells,target_split,cell_count_quartile,selection_hash,task_id,target_cluster_id,truth_access_phase,primary_task_unit,selection_used_expression_matrix_or_truth_effect
DDX6,DDX6_1,23,prospective_evaluation,Q2,d4b6c581a4a976986029a5dc6fd1a4d0785d96dbd729a939dd0dc2cf4efbc782,E182::DDX6::DDX6_1,DDX6,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
DDX6,DDX6_2,17,prospective_evaluation,Q2,d4b6c581a4a976986029a5dc6fd1a4d0785d96dbd729a939dd0dc2cf4efbc782,E182::DDX6::DDX6_2,DDX6,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
DGCR8,DGCR8_1,26,supervised_train,Q3,09c6b75352eeb0e0ff7e0ff838f763ac87a03e8c864688c90a073cc6e39d468f,E182::DGCR8::DGCR8_1,DGCR8,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
DGCR8,DGCR8_2,21,supervised_train,Q3,09c6b75352eeb0e0ff7e0ff838f763ac87a03e8c864688c90a073cc6e39d468f,E182::DGCR8::DGCR8_2,DGCR8,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
DROSHA,DROSHA_1,16,supervised_train,Q1_low,2571a8df5f907c1894eb027cbabe36582f04daa1651d9b44728c6183faff8375,E182::DROSHA::DROSHA_1,DROSHA,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
DROSHA,DROSHA_2,20,supervised_train,Q1_low,2571a8df5f907c1894eb027cbabe36582f04daa1651d9b44728c6183faff8375,E182::DROSHA::DROSHA_2,DROSHA,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
EIF4G2,EIF4G2_1,13,prospective_evaluation,Q1_low,d3fefe7c842473a3f940bccccb24700fa067edb7f8abe872f88731fcdffee346,E182::EIF4G2::EIF4G2_1,EIF4G2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
EIF4G2,EIF4G2_2,21,prospective_evaluation,Q1_low,d3fefe7c842473a3f940bccccb24700fa067edb7f8abe872f88731fcdffee346,E182::EIF4G2::EIF4G2_2,EIF4G2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
EWSR1,EWSR1_1,20,supervised_train,Q1_low,46cd75b99495993e7b5fc41a09ba7a926545b781e65e6bee377a59cc154acab3,E182::EWSR1::EWSR1_1,EWSR1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
EWSR1,EWSR1_2,5,supervised_train,Q1_low,46cd75b99495993e7b5fc41a09ba7a926545b781e65e6bee377a59cc154acab3,E182::EWSR1::EWSR1_2,EWSR1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
FAM120A,FAM120A_1,46,conformal_calibration,Q4_high,97a55892c7d6b969383da288ba33cdf4e22235488ba672e41755c99c699fe526,E182::FAM120A::FAM120A_1,FAM120A,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
FAM120A,FAM120A_2,28,conformal_calibration,Q4_high,97a55892c7d6b969383da288ba33cdf4e22235488ba672e41755c99c699fe526,E182::FAM120A::FAM120A_2,FAM120A,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
FASTKD2,FASTKD2_1,19,conformal_calibration,Q3,6cae2ac6ba0541172d40650e957b6e1472a08fb053eb57e7133b540bca6907c4,E182::FASTKD2::FASTKD2_1,FASTKD2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
FASTKD2,FASTKD2_2,30,conformal_calibration,Q3,6cae2ac6ba0541172d40650e957b6e1472a08fb053eb57e7133b540bca6907c4,E182::FASTKD2::FASTKD2_2,FASTKD2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
FTO,FTO_1,49,model_validation,Q4_high,63e39568c3675828a4e2b9476e9df03c17fed4d85828e91deaa7c053a758aa88,E182::FTO::FTO_1,FTO,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
FTO,FTO_2,30,model_validation,Q4_high,63e39568c3675828a4e2b9476e9df03c17fed4d85828e91deaa7c053a758aa88,E182::FTO::FTO_2,FTO,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
FXR1,FXR1_1,23,supervised_train,Q2,2912d0f4fc0b498d7da0c1943d4391e40a70da7702d908ed2256c3d4637de0a2,E182::FXR1::FXR1_1,FXR1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
FXR1,FXR1_2,19,supervised_train,Q2,2912d0f4fc0b498d7da0c1943d4391e40a70da7702d908ed2256c3d4637de0a2,E182::FXR1::FXR1_2,FXR1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
FXR2,FXR2_1,40,prospective_evaluation,Q3,e4b1e3c430f0271669fca04ab47ecd595c1c3b9e650016316d4398c790df51ac,E182::FXR2::FXR2_1,FXR2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
FXR2,FXR2_2,18,prospective_evaluation,Q3,e4b1e3c430f0271669fca04ab47ecd595c1c3b9e650016316d4398c790df51ac,E182::FXR2::FXR2_2,FXR2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
GPKOW,GPKOW_1,36,conformal_calibration,Q4_high,b2b74681cbc71f55925f2f14be489235e40acee6cde654c69c692d7d62ecc826,E182::GPKOW::GPKOW_1,GPKOW,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
GPKOW,GPKOW_2,26,conformal_calibration,Q4_high,b2b74681cbc71f55925f2f14be489235e40acee6cde654c69c692d7d62ecc826,E182::GPKOW::GPKOW_2,GPKOW,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
GTF2F1,GTF2F1_1,42,supervised_train,Q4_high,3848d6310a085e473964efde6ff36496253a15dff4e87c3b508f13fcd44d34d7,E182::GTF2F1::GTF2F1_1,GTF2F1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
GTF2F1,GTF2F1_2,26,supervised_train,Q4_high,3848d6310a085e473964efde6ff36496253a15dff4e87c3b508f13fcd44d34d7,E182::GTF2F1::GTF2F1_2,GTF2F1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
HNRNPC,HNRNPC_1,31,prospective_evaluation,Q2,c54c24b0bd2221621ead4cbc32fdeddb49d1e0fba5776ba22ccd4af9d3eb0ab9,E182::HNRNPC::HNRNPC_1,HNRNPC,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
HNRNPC,HNRNPC_2,5,prospective_evaluation,Q2,c54c24b0bd2221621ead4cbc32fdeddb49d1e0fba5776ba22ccd4af9d3eb0ab9,E182::HNRNPC::HNRNPC_2,HNRNPC,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
HNRNPK,HNRNPK_1,17,conformal_calibration,Q1_low,a178ba97cbe1586d767cc2230845c2637ed66a96b6e4cecf2db12ef931794b16,E182::HNRNPK::HNRNPK_1,HNRNPK,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
HNRNPK,HNRNPK_2,9,conformal_calibration,Q1_low,a178ba97cbe1586d767cc2230845c2637ed66a96b6e4cecf2db12ef931794b16,E182::HNRNPK::HNRNPK_2,HNRNPK,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
HNRNPM,HNRNPM_1,21,prospective_evaluation,Q3,a6d576632286bd1a3faf785c2987455eeacc80b4cce59940d4049bcf4b2d7e3e,E182::HNRNPM::HNRNPM_1,HNRNPM,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
HNRNPM,HNRNPM_2,23,prospective_evaluation,Q3,a6d576632286bd1a3faf785c2987455eeacc80b4cce59940d4049bcf4b2d7e3e,E182::HNRNPM::HNRNPM_2,HNRNPM,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
IGF2BP1,IGF2BP1_1,18,supervised_train,Q4_high,2e90f6e8abe2746ed9e9bb4165b2ea7eb719bfa1ac9a2e160a3ebe5a6d1ec572,E182::IGF2BP1::IGF2BP1_1,IGF2BP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
IGF2BP1,IGF2BP1_2,47,supervised_train,Q4_high,2e90f6e8abe2746ed9e9bb4165b2ea7eb719bfa1ac9a2e160a3ebe5a6d1ec572,E182::IGF2BP1::IGF2BP1_2,IGF2BP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
IGF2BP3,IGF2BP3_1,13,supervised_train,Q1_low,32d051c2631ec7a5a4244152d169dafbaf7aa2dfed95ac532a6144e0e196729c,E182::IGF2BP3::IGF2BP3_1,IGF2BP3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
IGF2BP3,IGF2BP3_2,11,supervised_train,Q1_low,32d051c2631ec7a5a4244152d169dafbaf7aa2dfed95ac532a6144e0e196729c,E182::IGF2BP3::IGF2BP3_2,IGF2BP3,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
ILF3,ILF3_1,26,prospective_evaluation,Q2,ff19a9585b178866c39d6d5d9da75e5813ca4c0b4393c015f44077c5d843b211,E182::ILF3::ILF3_1,ILF3,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
ILF3,ILF3_2,16,prospective_evaluation,Q2,ff19a9585b178866c39d6d5d9da75e5813ca4c0b4393c015f44077c5d843b211,E182::ILF3::ILF3_2,ILF3,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
KHDRBS1,KHDRBS1_1,12,supervised_train,Q2,4ae38d9a0437a2f4999f00491f5ee2e0c7fca9f1566ef0cfd45aad51e17ba39f,E182::KHDRBS1::KHDRBS1_1,KHDRBS1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
KHDRBS1,KHDRBS1_2,29,supervised_train,Q2,4ae38d9a0437a2f4999f00491f5ee2e0c7fca9f1566ef0cfd45aad51e17ba39f,E182::KHDRBS1::KHDRBS1_2,KHDRBS1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
KHDRBS2,KHDRBS2_1,8,conformal_calibration,Q1_low,bb73ee158aeefcaac09ba61765bfaea09ed61cfffe65e9adfc838118c423283d,E182::KHDRBS2::KHDRBS2_1,KHDRBS2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
KHDRBS2,KHDRBS2_2,14,conformal_calibration,Q1_low,bb73ee158aeefcaac09ba61765bfaea09ed61cfffe65e9adfc838118c423283d,E182::KHDRBS2::KHDRBS2_2,KHDRBS2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
KHSRP,KHSRP_1,15,prospective_evaluation,Q1_low,e15bf64d78ca441c7cc03094f60d44c0b24bf03b69486431d6b1d111fc87f2dd,E182::KHSRP::KHSRP_1,KHSRP,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
KHSRP,KHSRP_2,11,prospective_evaluation,Q1_low,e15bf64d78ca441c7cc03094f60d44c0b24bf03b69486431d6b1d111fc87f2dd,E182::KHSRP::KHSRP_2,KHSRP,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
LARP4,LARP4_1,20,model_validation,Q1_low,77286f73f9195f1c71acb7d8f07100f11e59cd7dfaa0ba241aa54be13d8890f2,E182::LARP4::LARP4_1,LARP4,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
LARP4,LARP4_2,10,model_validation,Q1_low,77286f73f9195f1c71acb7d8f07100f11e59cd7dfaa0ba241aa54be13d8890f2,E182::LARP4::LARP4_2,LARP4,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
LIN28B,LIN28B_1,8,conformal_calibration,Q1_low,aea4b48146ed69cb1d01220d9fc509e309e6d6eac9cb7f98063699bb08a87feb,E182::LIN28B::LIN28B_1,LIN28B,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
LIN28B,LIN28B_2,13,conformal_calibration,Q1_low,aea4b48146ed69cb1d01220d9fc509e309e6d6eac9cb7f98063699bb08a87feb,E182::LIN28B::LIN28B_2,LIN28B,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
METAP2,METAP2_1,12,model_validation,Q3,62e37605bb8fc6e9e24ee5ed3ef370f5856f1bdc4d33915f20dc0739dc9ab616,E182::METAP2::METAP2_1,METAP2,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
METAP2,METAP2_2,36,model_validation,Q3,62e37605bb8fc6e9e24ee5ed3ef370f5856f1bdc4d33915f20dc0739dc9ab616,E182::METAP2::METAP2_2,METAP2,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
MSI1,MSI1_1,53,prospective_evaluation,Q4_high,e4e4581a845cb21d0b3b668698ec24783335269f1206cabeb230c0d9a64f7ff9,E182::MSI1::MSI1_1,MSI1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
MSI1,MSI1_2,44,prospective_evaluation,Q4_high,e4e4581a845cb21d0b3b668698ec24783335269f1206cabeb230c0d9a64f7ff9,E182::MSI1::MSI1_2,MSI1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
MTPAP,MTPAP_1,23,prospective_evaluation,Q2,bbc70a4417a20855ab7169a790e3ce8e5edb991bd2258c53c232e5b23ed2975d,E182::MTPAP::MTPAP_1,MTPAP,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
MTPAP,MTPAP_2,18,prospective_evaluation,Q2,bbc70a4417a20855ab7169a790e3ce8e5edb991bd2258c53c232e5b23ed2975d,E182::MTPAP::MTPAP_2,MTPAP,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
NCBP2,NCBP2_1,12,model_validation,Q2,596ddb0aba6a35892088d2010624f0ab1957b592464b89b7c117772ebdc49afa,E182::NCBP2::NCBP2_1,NCBP2,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
NCBP2,NCBP2_2,25,model_validation,Q2,596ddb0aba6a35892088d2010624f0ab1957b592464b89b7c117772ebdc49afa,E182::NCBP2::NCBP2_2,NCBP2,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
NONO,NONO_1,27,supervised_train,Q1_low,5337fd9510e79ec7655e88c83e672e645f2fd6a07712ff416df83b8f2b4e1d1f,E182::NONO::NONO_1,NONO,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
NONO,NONO_2,5,supervised_train,Q1_low,5337fd9510e79ec7655e88c83e672e645f2fd6a07712ff416df83b8f2b4e1d1f,E182::NONO::NONO_2,NONO,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
PABPC3,PABPC3_1,10,conformal_calibration,Q3,874b1bf596da174448de7de189471ab899a85ffa942e94623602fb23f7c9d486,E182::PABPC3::PABPC3_1,PABPC3,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
PABPC3,PABPC3_2,44,conformal_calibration,Q3,874b1bf596da174448de7de189471ab899a85ffa942e94623602fb23f7c9d486,E182::PABPC3::PABPC3_2,PABPC3,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
PABPC4,PABPC4_1,14,conformal_calibration,Q2,6c8e55f79ff1a4a806d723985c98632784cc15180f874c0da44b6d1e0d5ae39a,E182::PABPC4::PABPC4_1,PABPC4,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
PABPC4,PABPC4_2,22,conformal_calibration,Q2,6c8e55f79ff1a4a806d723985c98632784cc15180f874c0da44b6d1e0d5ae39a,E182::PABPC4::PABPC4_2,PABPC4,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
PCBP1,PCBP1_1,15,prospective_evaluation,Q1_low,c7a175969b268ca5e293fa6ded8f550e124c95257c9bafcd65ff12c26f7257dc,E182::PCBP1::PCBP1_1,PCBP1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
PCBP1,PCBP1_2,16,prospective_evaluation,Q1_low,c7a175969b268ca5e293fa6ded8f550e124c95257c9bafcd65ff12c26f7257dc,E182::PCBP1::PCBP1_2,PCBP1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
PPIL4,PPIL4_1,40,supervised_train,Q4_high,1d3f06a5b3cd7274766cfaa21992c207bee74aa4acf53151813f870a34db2dcf,E182::PPIL4::PPIL4_1,PPIL4,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
PPIL4,PPIL4_2,19,supervised_train,Q4_high,1d3f06a5b3cd7274766cfaa21992c207bee74aa4acf53151813f870a34db2dcf,E182::PPIL4::PPIL4_2,PPIL4,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
PTBP1,PTBP1_1,6,supervised_train,Q1_low,105c79092a3f8e5af00081645138acd1e3d5ee1db0ebd54c168261091f88fdb9,E182::PTBP1::PTBP1_1,PTBP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
PTBP1,PTBP1_2,22,supervised_train,Q1_low,105c79092a3f8e5af00081645138acd1e3d5ee1db0ebd54c168261091f88fdb9,E182::PTBP1::PTBP1_2,PTBP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
PUM2,PUM2_1,13,supervised_train,Q2,02496da381c8abba9de957a2c1a1f87ddf3de2194781a36f5a80746fb209330d,E182::PUM2::PUM2_1,PUM2,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
PUM2,PUM2_2,26,supervised_train,Q2,02496da381c8abba9de957a2c1a1f87ddf3de2194781a36f5a80746fb209330d,E182::PUM2::PUM2_2,PUM2,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
QKI,QKI_1,58,conformal_calibration,Q4_high,b114e77afc5ccb330d9867c61c8c648b8b56023c90b9838e68a02578060a1d72,E182::QKI::QKI_1,QKI,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
QKI,QKI_2,24,conformal_calibration,Q4_high,b114e77afc5ccb330d9867c61c8c648b8b56023c90b9838e68a02578060a1d72,E182::QKI::QKI_2,QKI,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
RALY,RALY_1,15,supervised_train,Q1_low,01f34e604ce783e5de2d98b3d0d13f11a9766b6844c1207d7cf56e13154c531e,E182::RALY::RALY_1,RALY,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
RALY,RALY_2,13,supervised_train,Q1_low,01f34e604ce783e5de2d98b3d0d13f11a9766b6844c1207d7cf56e13154c531e,E182::RALY::RALY_2,RALY,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
RBFOX2,RBFOX2_1,17,conformal_calibration,Q2,923309c96cd91c9ef0f4a1518b59f793ce1a8fb2e8e7d524281c23400f1bd9f7,E182::RBFOX2::RBFOX2_1,RBFOX2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
RBFOX2,RBFOX2_2,19,conformal_calibration,Q2,923309c96cd91c9ef0f4a1518b59f793ce1a8fb2e8e7d524281c23400f1bd9f7,E182::RBFOX2::RBFOX2_2,RBFOX2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
RBM15,RBM15_1,75,conformal_calibration,Q4_high,67e2080f9363f5662c34f60bf169f3dd5616e48254e8c132a663b0418b94553d,E182::RBM15::RBM15_1,RBM15,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
RBM15,RBM15_2,43,conformal_calibration,Q4_high,67e2080f9363f5662c34f60bf169f3dd5616e48254e8c132a663b0418b94553d,E182::RBM15::RBM15_2,RBM15,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
RBM27,RBM27_1,31,supervised_train,Q4_high,4a79a3a3ddbe89bd6c379bac16f0679d42d11189802850180a646b8723344298,E182::RBM27::RBM27_1,RBM27,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
RBM27,RBM27_2,35,supervised_train,Q4_high,4a79a3a3ddbe89bd6c379bac16f0679d42d11189802850180a646b8723344298,E182::RBM27::RBM27_2,RBM27,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
RBM4,RBM4_1,15,supervised_train,Q2,25fdd9eade4f05a1a1da99074ed93b62e43c075a393e2d18691ba39c5e3cf51f,E182::RBM4::RBM4_1,RBM4,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
RBM4,RBM4_2,27,supervised_train,Q2,25fdd9eade4f05a1a1da99074ed93b62e43c075a393e2d18691ba39c5e3cf51f,E182::RBM4::RBM4_2,RBM4,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
