task_id,training_context,n_perturbed_cells,n_matched_batches,n_available_control_cells
HDAC7+ctrl,RPE1,86,43,11485
HGS+ctrl,RPE1,44,33,11485
HMGCS1+ctrl,RPE1,259,55,11485
HNRNPH1+ctrl,RPE1,145,55,11485
HSCB+ctrl,RPE1,227,54,11485
HSPA5+ctrl,RPE1,64,36,11485
HSPA9+ctrl,RPE1,94,43,11485
HSPE1+ctrl,RPE1,98,47,11485
IARS+ctrl,RPE1,32,26,11485
ICE1+ctrl,RPE1,61,37,11485
IGBP1+ctrl,RPE1,71,39,11485
IK+ctrl,RPE1,191,56,11485
ILF2+ctrl,RPE1,54,35,11485
INO80B+ctrl,RPE1,80,44,11485
INTS3+ctrl,RPE1,65,40,11485
INTS4+ctrl,RPE1,50,35,11485
INTS9+ctrl,RPE1,27,21,11485
IPO9+ctrl,RPE1,106,48,11485
ISCU+ctrl,RPE1,20,19,11485
KANSL1+ctrl,RPE1,27,24,11485
KARS+ctrl,RPE1,26,21,11485
KAT8+ctrl,RPE1,53,39,11485
KPNB1+ctrl,RPE1,180,53,11485
KRI1+ctrl,RPE1,43,30,11485
LAS1L+ctrl,RPE1,41,28,11485
LETM1+ctrl,RPE1,153,50,11485
LSG1+ctrl,RPE1,60,37,11485
LSM3+ctrl,RPE1,48,28,11485
LSM4+ctrl,RPE1,68,38,11485
LSM5+ctrl,RPE1,72,36,11485
LSM6+ctrl,RPE1,44,26,11485
LSM7+ctrl,RPE1,44,30,11485
MAD2L1+ctrl,RPE1,95,44,11485
MARS+ctrl,RPE1,31,23,11485
MAX+ctrl,RPE1,85,43,11485
MCM2+ctrl,RPE1,41,28,11485
MCM3+ctrl,RPE1,179,52,11485
MCM3AP+ctrl,RPE1,70,41,11485
MCM4+ctrl,RPE1,36,26,11485
MCM6+ctrl,RPE1,120,52,11485
MED11+ctrl,RPE1,32,23,11485
MED19+ctrl,RPE1,195,54,11485
MED22+ctrl,RPE1,29,24,11485
MED29+ctrl,RPE1,29,24,11485
MED4+ctrl,RPE1,59,36,11485
MIOS+ctrl,RPE1,130,49,11485
MNAT1+ctrl,RPE1,76,41,11485
MPHOSPH10+ctrl,RPE1,27,22,11485
MRGBP+ctrl,RPE1,32,22,11485
MRPL36+ctrl,RPE1,1565,56,11485
MRPL38+ctrl,RPE1,256,55,11485
MRPS14+ctrl,RPE1,30,21,11485
MTBP+ctrl,RPE1,86,41,11485
MYBBP1A+ctrl,RPE1,31,23,11485
MYBL2+ctrl,RPE1,877,56,11485
NAA10+ctrl,RPE1,58,39,11485
NAA20+ctrl,RPE1,89,43,11485
NACA+ctrl,RPE1,25,19,11485
NCAPH+ctrl,RPE1,36,23,11485
NCBP1+ctrl,RPE1,28,24,11485
NCBP2+ctrl,RPE1,34,25,11485
NDC80+ctrl,RPE1,94,47,11485
NDUFA2+ctrl,RPE1,29,23,11485
NELFA+ctrl,RPE1,60,34,11485
NELFCD+ctrl,RPE1,111,50,11485
NFRKB+ctrl,RPE1,148,51,11485
NFS1+ctrl,RPE1,56,32,11485
NOC3L+ctrl,RPE1,40,29,11485
NOL11+ctrl,RPE1,29,21,11485
NOL12+ctrl,RPE1,28,21,11485
NOL8+ctrl,RPE1,37,29,11485
NRBP1+ctrl,RPE1,149,53,11485
NRDE2+ctrl,RPE1,46,30,11485
NRF1+ctrl,RPE1,54,33,11485
NSRP1+ctrl,RPE1,40,29,11485
NUBP1+ctrl,RPE1,37,29,11485
NUF2+ctrl,RPE1,58,34,11485
NUP133+ctrl,RPE1,106,47,11485
NUP160+ctrl,RPE1,62,39,11485
NUP54+ctrl,RPE1,79,41,11485
NUP85+ctrl,RPE1,74,42,11485
NUTF2+ctrl,RPE1,55,36,11485
OGFOD1+ctrl,RPE1,52,32,11485
OPA1+ctrl,RPE1,60,32,11485
ORC1+ctrl,RPE1,56,32,11485
PABPN1+ctrl,RPE1,36,24,11485
PAF1+ctrl,RPE1,67,35,11485
PAM16+ctrl,RPE1,72,37,11485
PAXBP1+ctrl,RPE1,138,50,11485
PCID2+ctrl,RPE1,145,52,11485
PDAP1+ctrl,RPE1,36,28,11485
PDCD2+ctrl,RPE1,29,23,11485
PDCD7+ctrl,RPE1,32,25,11485
PDRG1+ctrl,RPE1,27,19,11485
PELP1+ctrl,RPE1,70,41,11485
PET117+ctrl,RPE1,154,54,11485
PFDN2+ctrl,RPE1,39,30,11485
PGAM1+ctrl,RPE1,115,46,11485
PHAX+ctrl,RPE1,108,49,11485
PHB2+ctrl,RPE1,57,33,11485
PMPCB+ctrl,RPE1,145,51,11485
PNN+ctrl,RPE1,66,40,11485
POLA1+ctrl,RPE1,53,35,11485
POLA2+ctrl,RPE1,43,31,11485
POLD2+ctrl,RPE1,97,48,11485
POLD3+ctrl,RPE1,45,31,11485
POLR1C+ctrl,RPE1,177,53,11485
POLR2F+ctrl,RPE1,53,34,11485
POLR2I+ctrl,RPE1,143,52,11485
POLR3D+ctrl,RPE1,30,22,11485
POLR3E+ctrl,RPE1,40,28,11485
POLR3F+ctrl,RPE1,37,27,11485
POLRMT+ctrl,RPE1,212,56,11485
POP4+ctrl,RPE1,40,27,11485
POP5+ctrl,RPE1,37,27,11485
POP7+ctrl,RPE1,56,32,11485
PPARGC1B+ctrl,RPE1,77,42,11485
PPIE+ctrl,RPE1,25,23,11485
PPIH+ctrl,RPE1,36,31,11485
PPIL4+ctrl,RPE1,86,47,11485
PPP1R11+ctrl,RPE1,47,32,11485
PPP1R8+ctrl,RPE1,142,52,11485
PPP2R1A+ctrl,RPE1,215,54,11485
PPP4R2+ctrl,RPE1,68,35,11485
PRIM2+ctrl,RPE1,31,27,11485
PRMT1+ctrl,RPE1,36,28,11485
PRMT5+ctrl,RPE1,126,50,11485
PRPF18+ctrl,RPE1,59,34,11485
PRRC2A+ctrl,RPE1,147,52,11485
PSMA2+ctrl,RPE1,18,17,11485
PSMA3+ctrl,RPE1,35,28,11485
PSMA6+ctrl,RPE1,21,19,11485
PSMB2+ctrl,RPE1,49,32,11485
PSMB3+ctrl,RPE1,35,25,11485
PSMB6+ctrl,RPE1,57,37,11485
PSMC1+ctrl,RPE1,68,39,11485
PSMC2+ctrl,RPE1,34,26,11485
PSMC4+ctrl,RPE1,26,19,11485
PSMD1+ctrl,RPE1,21,18,11485
PSMD11+ctrl,RPE1,16,14,11485
PSMD12+ctrl,RPE1,15,12,11485
PSMD4+ctrl,RPE1,22,21,11485
PSMD6+ctrl,RPE1,26,18,11485
PTCD1+ctrl,RPE1,71,43,11485
QARS+ctrl,RPE1,78,41,11485
RABGGTA+ctrl,RPE1,189,55,11485
RAD21+ctrl,RPE1,31,22,11485
RAN+ctrl,RPE1,50,36,11485
RARS2+ctrl,RPE1,132,51,11485
RBBP4+ctrl,RPE1,48,32,11485
RBM17+ctrl,RPE1,40,25,11485
RBM25+ctrl,RPE1,32,25,11485
RBM39+ctrl,RPE1,41,32,11485
RBM42+ctrl,RPE1,46,29,11485
RBM48+ctrl,RPE1,33,22,11485
RBMX+ctrl,RPE1,23,19,11485
RCL1+ctrl,RPE1,38,29,11485
RFC2+ctrl,RPE1,77,42,11485
RFC4+ctrl,RPE1,35,26,11485
RFC5+ctrl,RPE1,42,33,11485
RINT1+ctrl,RPE1,72,41,11485
RNASEH2C+ctrl,RPE1,129,51,11485
RNF113A+ctrl,RPE1,59,30,11485
RNF20+ctrl,RPE1,147,52,11485
RNMT+ctrl,RPE1,69,39,11485
RNPS1+ctrl,RPE1,27,20,11485
RPA1+ctrl,RPE1,64,38,11485
RPAP1+ctrl,RPE1,37,28,11485
RPL10+ctrl,RPE1,71,39,11485
RPL11+ctrl,RPE1,57,33,11485
RPL12+ctrl,RPE1,73,38,11485
RPL14+ctrl,RPE1,42,27,11485
RPL17+ctrl,RPE1,59,32,11485
RPL18+ctrl,RPE1,56,36,11485
RPL21+ctrl,RPE1,27,23,11485
RPL23A+ctrl,RPE1,43,31,11485
RPL26+ctrl,RPE1,49,31,11485
RPL32+ctrl,RPE1,64,42,11485
RPL34+ctrl,RPE1,31,23,11485
RPL35+ctrl,RPE1,66,42,11485
RPL35A+ctrl,RPE1,96,49,11485
RPL37A+ctrl,RPE1,68,39,11485
RPL38+ctrl,RPE1,27,18,11485
RPL39+ctrl,RPE1,40,30,11485
RPL4+ctrl,RPE1,60,33,11485
RPL5+ctrl,RPE1,57,30,11485
RPL7+ctrl,RPE1,117,47,11485
RPL9+ctrl,RPE1,42,33,11485
RPLP0+ctrl,RPE1,96,46,11485
RPP30+ctrl,RPE1,36,22,11485
RPS10+ctrl,RPE1,17,14,11485
RPS15+ctrl,RPE1,40,28,11485
RPS15A+ctrl,RPE1,26,20,11485
RPS19BP1+ctrl,RPE1,25,19,11485
RPS2+ctrl,RPE1,50,31,11485
RPS20+ctrl,RPE1,29,20,11485
RPS24+ctrl,RPE1,32,28,11485
RPS27+ctrl,RPE1,55,35,11485
RPS27A+ctrl,RPE1,65,40,11485
RPS29+ctrl,RPE1,41,29,11485
RPS3+ctrl,RPE1,42,28,11485
RPS3A+ctrl,RPE1,36,25,11485
RPS6+ctrl,RPE1,49,33,11485
RPTOR+ctrl,RPE1,30,22,11485
RRN3+ctrl,RPE1,42,29,11485
RRP12+ctrl,RPE1,28,24,11485
RSL1D1+ctrl,RPE1,75,38,11485
RTF1+ctrl,RPE1,44,29,11485
RUVBL1+ctrl,RPE1,103,41,11485
SAMM50+ctrl,RPE1,43,27,11485
SARS2+ctrl,RPE1,108,52,11485
SART3+ctrl,RPE1,233,55,11485
SBNO1+ctrl,RPE1,156,53,11485
SCAF1+ctrl,RPE1,62,39,11485
SCFD1+ctrl,RPE1,62,40,11485
SDAD1+ctrl,RPE1,36,27,11485
SDC1+ctrl,RPE1,78,43,11485
SDE2+ctrl,RPE1,53,33,11485
SDHC+ctrl,RPE1,47,35,11485
SETD1A+ctrl,RPE1,78,47,11485
SETDB1+ctrl,RPE1,121,48,11485
SF1+ctrl,RPE1,29,21,11485
SF3A2+ctrl,RPE1,136,52,11485
SF3B5+ctrl,RPE1,62,35,11485
SFPQ+ctrl,RPE1,76,40,11485
SFSWAP+ctrl,RPE1,29,22,11485
SKA3+ctrl,RPE1,63,36,11485
SLBP+ctrl,RPE1,35,26,11485
SLC39A9+ctrl,RPE1,115,49,11485
SLC7A6OS+ctrl,RPE1,106,49,11485
SLU7+ctrl,RPE1,72,39,11485
SMC1A+ctrl,RPE1,88,44,11485
SMC3+ctrl,RPE1,21,19,11485
SMC4+ctrl,RPE1,38,25,11485
SMG5+ctrl,RPE1,462,56,11485
SMN2+ctrl,RPE1,424,56,11485
SMU1+ctrl,RPE1,77,42,11485
SNAPC1+ctrl,RPE1,48,34,11485
SNIP1+ctrl,RPE1,46,30,11485
SNRNP200+ctrl,RPE1,95,48,11485
SNRNP70+ctrl,RPE1,39,29,11485
SNRPB+ctrl,RPE1,38,27,11485
SNRPC+ctrl,RPE1,96,46,11485
SNRPD1+ctrl,RPE1,42,28,11485
SNRPD3+ctrl,RPE1,34,28,11485
SNRPF+ctrl,RPE1,34,26,11485
SNW1+ctrl,RPE1,88,41,11485
SPC24+ctrl,RPE1,69,37,11485
SPCS3+ctrl,RPE1,128,50,11485
SRBD1+ctrl,RPE1,53,38,11485
SRRM1+ctrl,RPE1,53,36,11485
SRRM2+ctrl,RPE1,56,35,11485
SRSF1+ctrl,RPE1,27,21,11485
SRSF10+ctrl,RPE1,111,49,11485
SRSF3+ctrl,RPE1,25,20,11485
SRSF7+ctrl,RPE1,137,51,11485
SSU72+ctrl,RPE1,226,55,11485
STRAP+ctrl,RPE1,66,40,11485
SUGP1+ctrl,RPE1,27,19,11485
SUPT16H+ctrl,RPE1,26,19,11485
SURF6+ctrl,RPE1,33,27,11485
TADA3+ctrl,RPE1,60,35,11485
TAF10+ctrl,RPE1,23,18,11485
TAF6+ctrl,RPE1,75,40,11485
TAF7+ctrl,RPE1,38,24,11485
TBCB+ctrl,RPE1,37,29,11485
TCERG1+ctrl,RPE1,60,38,11485
TCOF1+ctrl,RPE1,32,25,11485
TELO2+ctrl,RPE1,47,31,11485
TERF2+ctrl,RPE1,61,40,11485
THAP11+ctrl,RPE1,144,52,11485
THOC7+ctrl,RPE1,146,52,11485
TIMM13+ctrl,RPE1,114,48,11485
TIMM23B+ctrl,RPE1,343,56,11485
TIMM44+ctrl,RPE1,50,34,11485
TIMM9+ctrl,RPE1,37,28,11485
TMX2+ctrl,RPE1,137,49,11485
TOMM22+ctrl,RPE1,103,51,11485
TOP1+ctrl,RPE1,36,26,11485
TPR+ctrl,RPE1,116,51,11485
TPX2+ctrl,RPE1,25,17,11485
TRA2B+ctrl,RPE1,90,45,11485
TREX2+ctrl,RPE1,384,56,11485
TRMT112+ctrl,RPE1,58,38,11485
TRMT5+ctrl,RPE1,59,36,11485
TSEN2+ctrl,RPE1,85,43,11485
TSG101+ctrl,RPE1,54,39,11485
TSR1+ctrl,RPE1,145,51,11485
TTI1+ctrl,RPE1,80,45,11485
TTK+ctrl,RPE1,76,40,11485
TUBGCP2+ctrl,RPE1,154,52,11485
TXNL4A+ctrl,RPE1,23,19,11485
U2AF1+ctrl,RPE1,83,43,11485
U2SURP+ctrl,RPE1,35,26,11485
UBA1+ctrl,RPE1,61,37,11485
UBA3+ctrl,RPE1,59,38,11485
UBA52+ctrl,RPE1,110,44,11485
UBAP1+ctrl,RPE1,30,22,11485
UBL5+ctrl,RPE1,114,48,11485
UBQLN4+ctrl,RPE1,46,32,11485
UFM1+ctrl,RPE1,43,31,11485
UPF1+ctrl,RPE1,46,30,11485
UPF2+ctrl,RPE1,104,46,11485
UQCRB+ctrl,RPE1,98,48,11485
UQCRFS1+ctrl,RPE1,27,21,11485
UQCRQ+ctrl,RPE1,63,38,11485
USP39+ctrl,RPE1,98,44,11485
USPL1+ctrl,RPE1,36,23,11485
UTP20+ctrl,RPE1,31,25,11485
UTP23+ctrl,RPE1,48,33,11485
UXT+ctrl,RPE1,62,33,11485
VPS54+ctrl,RPE1,230,55,11485
WAC+ctrl,RPE1,91,46,11485
WBP11+ctrl,RPE1,109,47,11485
WDHD1+ctrl,RPE1,40,30,11485
WDR12+ctrl,RPE1,41,29,11485
WDR24+ctrl,RPE1,44,30,11485
WDR33+ctrl,RPE1,32,25,11485
WDR61+ctrl,RPE1,59,33,11485
WDTC1+ctrl,RPE1,70,40,11485
XRCC5+ctrl,RPE1,54,32,11485
YEATS2+ctrl,RPE1,69,39,11485
YTHDC1+ctrl,RPE1,184,52,11485
ZBTB17+ctrl,RPE1,282,56,11485
ZC3H18+ctrl,RPE1,59,36,11485
ZCRB1+ctrl,RPE1,75,39,11485
ZFC3H1+ctrl,RPE1,83,41,11485
ZMAT2+ctrl,RPE1,192,52,11485
ZMAT5+ctrl,RPE1,50,36,11485
ZNF236+ctrl,RPE1,101,46,11485
ZNF574+ctrl,RPE1,154,53,11485
AARS+ctrl,hepg2,51,33,4976
ABCE1+ctrl,hepg2,23,21,4976
ABCF1+ctrl,hepg2,64,41,4976
ABT1+ctrl,hepg2,99,49,4976
ACTB+ctrl,hepg2,40,25,4976
ACTR6+ctrl,hepg2,51,33,4976
AHCTF1+ctrl,hepg2,50,35,4976
AKIRIN2+ctrl,hepg2,75,41,4976
ALG13+ctrl,hepg2,30,23,4976
ARGLU1+ctrl,hepg2,36,25,4976
ARL2+ctrl,hepg2,74,40,4976
ATP6V0B+ctrl,hepg2,51,32,4976
ATP6V1A+ctrl,hepg2,43,31,4976
ATR+ctrl,hepg2,96,45,4976
ATRIP+ctrl,hepg2,40,30,4976
BDP1+ctrl,hepg2,22,18,4976
BRIX1+ctrl,hepg2,89,46,4976
BUB3+ctrl,hepg2,14,13,4976
BYSL+ctrl,hepg2,41,30,4976
CCDC59+ctrl,hepg2,100,43,4976
CCNH+ctrl,hepg2,92,44,4976
CCT4+ctrl,hepg2,81,42,4976
CCT7+ctrl,hepg2,107,49,4976
CD3EAP+ctrl,hepg2,90,45,4976
CDC123+ctrl,hepg2,44,32,4976
CDC5L+ctrl,hepg2,25,17,4976
CDC6+ctrl,hepg2,66,38,4976
CDC73+ctrl,hepg2,54,34,4976
CEP192+ctrl,hepg2,24,22,4976
CHCHD4+ctrl,hepg2,60,34,4976
CHD4+ctrl,hepg2,25,18,4976
CHEK1+ctrl,hepg2,57,35,4976
CMTR1+ctrl,hepg2,56,34,4976
CNOT2+ctrl,hepg2,28,22,4976
COPB1+ctrl,hepg2,19,16,4976
COPS2+ctrl,hepg2,70,40,4976
COPS4+ctrl,hepg2,58,37,4976
COX11+ctrl,hepg2,89,45,4976
COX7C+ctrl,hepg2,41,29,4976
CPSF1+ctrl,hepg2,58,36,4976
CPSF3+ctrl,hepg2,189,51,4976
CPSF4+ctrl,hepg2,63,36,4976
CPSF6+ctrl,hepg2,34,24,4976
CSE1L+ctrl,hepg2,219,55,4976
CSNK1A1+ctrl,hepg2,16,14,4976
CSNK2B+ctrl,hepg2,106,45,4976
CSTF3+ctrl,hepg2,67,39,4976
CUL2+ctrl,hepg2,70,39,4976
CUL7+ctrl,hepg2,53,30,4976
CWC15+ctrl,hepg2,42,28,4976
CWC22+ctrl,hepg2,31,20,4976
CWF19L2+ctrl,hepg2,23,21,4976
DAP3+ctrl,hepg2,51,32,4976
DARS+ctrl,hepg2,41,27,4976
DDB1+ctrl,hepg2,64,36,4976
DDX10+ctrl,hepg2,89,44,4976
DDX18+ctrl,hepg2,62,36,4976
DDX23+ctrl,hepg2,148,53,4976
DDX41+ctrl,hepg2,31,26,4976
DDX46+ctrl,hepg2,89,44,4976
DDX5+ctrl,hepg2,92,47,4976
DDX52+ctrl,hepg2,92,39,4976
DDX55+ctrl,hepg2,134,52,4976
DENR+ctrl,hepg2,47,28,4976
DHX16+ctrl,hepg2,68,41,4976
DHX33+ctrl,hepg2,30,23,4976
DHX36+ctrl,hepg2,39,29,4976
DHX37+ctrl,hepg2,119,50,4976
DKC1+ctrl,hepg2,39,24,4976
DLD+ctrl,hepg2,98,49,4976
DMAP1+ctrl,hepg2,24,18,4976
DNAJC17+ctrl,hepg2,60,33,4976
DNAJC8+ctrl,hepg2,78,39,4976
DNM1L+ctrl,hepg2,37,25,4976
DNMT1+ctrl,hepg2,80,40,4976
DNTTIP2+ctrl,hepg2,52,35,4976
DR1+ctrl,hepg2,23,19,4976
DSN1+ctrl,hepg2,26,20,4976
DTL+ctrl,hepg2,60,34,4976
DYNC1H1+ctrl,hepg2,17,16,4976
DYNC1I2+ctrl,hepg2,46,31,4976
EBNA1BP2+ctrl,hepg2,52,33,4976
ECD+ctrl,hepg2,33,25,4976
EEF2+ctrl,hepg2,46,30,4976
EIF1AX+ctrl,hepg2,67,39,4976
EIF2B1+ctrl,hepg2,177,52,4976
EIF2B5+ctrl,hepg2,111,45,4976
EIF2S1+ctrl,hepg2,69,36,4976
EIF2S2+ctrl,hepg2,62,40,4976
EIF2S3+ctrl,hepg2,48,30,4976
EIF3B+ctrl,hepg2,105,47,4976
EIF3E+ctrl,hepg2,25,19,4976
EIF3I+ctrl,hepg2,83,45,4976
EIF3J+ctrl,hepg2,43,33,4976
EIF4E+ctrl,hepg2,52,33,4976
EIF4G2+ctrl,hepg2,45,33,4976
EIF5+ctrl,hepg2,29,25,4976
EIF6+ctrl,hepg2,92,40,4976
ERCC2+ctrl,hepg2,54,30,4976
ESF1+ctrl,hepg2,124,49,4976
ETF1+ctrl,hepg2,72,43,4976
EXOC7+ctrl,hepg2,65,39,4976
EXOSC10+ctrl,hepg2,29,21,4976
EXOSC2+ctrl,hepg2,114,50,4976
EXOSC3+ctrl,hepg2,82,39,4976
EXOSC7+ctrl,hepg2,45,27,4976
FAM136A+ctrl,hepg2,261,53,4976
FAM32A+ctrl,hepg2,53,34,4976
FARSA+ctrl,hepg2,45,27,4976
FBL+ctrl,hepg2,27,21,4976
FBXO5+ctrl,hepg2,29,23,4976
FTSJ3+ctrl,hepg2,27,20,4976
GARS+ctrl,hepg2,53,32,4976
GFER+ctrl,hepg2,43,31,4976
GFM1+ctrl,hepg2,717,55,4976
GINS2+ctrl,hepg2,60,35,4976
GLE1+ctrl,hepg2,97,48,4976
GMPS+ctrl,hepg2,26,19,4976
GNL3+ctrl,hepg2,98,51,4976
GNL3L+ctrl,hepg2,59,38,4976
GPN1+ctrl,hepg2,54,34,4976
GPN3+ctrl,hepg2,80,39,4976
GRSF1+ctrl,hepg2,61,31,4976
GTF2B+ctrl,hepg2,24,18,4976
GTF2E1+ctrl,hepg2,53,32,4976
GTF2F2+ctrl,hepg2,73,39,4976
HDAC7+ctrl,hepg2,44,31,4976
HGS+ctrl,hepg2,42,28,4976
HMGCS1+ctrl,hepg2,56,33,4976
HNRNPH1+ctrl,hepg2,48,30,4976
HNRNPM+ctrl,hepg2,29,24,4976
HSPA5+ctrl,hepg2,91,43,4976
HSPA8+ctrl,hepg2,49,28,4976
HSPA9+ctrl,hepg2,98,45,4976
HSPE1+ctrl,hepg2,84,42,4976
IARS+ctrl,hepg2,31,25,4976
ICE1+ctrl,hepg2,43,28,4976
IGBP1+ctrl,hepg2,48,29,4976
ILF2+ctrl,hepg2,46,31,4976
IMPDH2+ctrl,hepg2,85,42,4976
INO80B+ctrl,hepg2,44,30,4976
INTS3+ctrl,hepg2,71,39,4976
INTS4+ctrl,hepg2,60,34,4976
INTS9+ctrl,hepg2,87,42,4976
IPO9+ctrl,hepg2,42,27,4976
ISCU+ctrl,hepg2,79,38,4976
ISG20L2+ctrl,hepg2,69,38,4976
KANSL1+ctrl,hepg2,36,23,4976
