name,wos_name,field,track,track_cn,verdict_a,verdict_b,verdict_a_cn,verdict_b_cn,cas_note,publishes,a_ask,b_ask,a_why,b_why,we_have,we_lack,b_have,b_lack,source_opened,profile_origin,official_scope_verified,care_a,care_b
AAAI,AAAI,CCF,conference,计算机会议,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,AAAI 出现在本次打开的完整名单里，学科来源：CCF 会议交叉补入。按刊名和栏目，它日常刊登的是计算机会议：算法新意和相对强基线的增量。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,AAAI：A=一区/顶刊不对轨或故事不够；B=一区/顶刊不对轨或故事不够,业务B判定：一区/顶刊不对轨或故事不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,CCF 会议交叉补入,title_category_rule,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
American Journal of Human Genetics,AMERICAN JOURNAL OF HUMAN GENETICS,GENETICS,genomics,基因组学,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,American Journal of Human Genetics 出现在本次打开的完整名单里，学科来源：遗传学。按刊名和栏目，它日常刊登的是基因组学：基因组发现或能推动基因组实验的方法。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,American Journal of Human Genetics：A=一区/顶刊不对轨或故事不够；B=一区/顶刊不对轨或故事不够,业务B判定：一区/顶刊不对轨或故事不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单,title_category_rule,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Cell,Cell,CELL,multidisciplinary,综合/方法顶刊,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,综合顶刊。,Cell 要完整细胞生物学故事。当前两条业务都不是。,细胞生物学发现。,能改写细胞实验的方法。,业务A不对轨。,业务B不对轨。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,Cell/Nature 家族交叉补入,hand_profile,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Cell Genomics,Cell Genomics,CELL,genomics,基因组学,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,Cell Genomics 出现在本次打开的完整名单里，学科来源：Cell/Nature 家族交叉补入。按刊名和栏目，它日常刊登的是基因组学：基因组发现或能推动基因组实验的方法。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,Cell Genomics：A=一区/顶刊不对轨或故事不够；B=一区/顶刊不对轨或故事不够,业务B判定：一区/顶刊不对轨或故事不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,Cell/Nature 家族交叉补入,title_category_rule,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Cell Reports Methods,Cell Reports Methods,CELL,multidisciplinary,综合/方法顶刊,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,Cell 子刊方法。,Cell Reports Methods 要新实验或计算方法被实验室采用。当前是计算审计，采用证据不够。,方法是否被采用。,训练协议是否被采用。,业务A不够。,业务B没有正式效果。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,Cell/Nature 家族交叉补入,hand_profile,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Cell Systems,Cell Systems,CELL,systems,系统生物学,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,Cell 系统生物学。,Cell Systems 要系统生物学：网络、通路、细胞决策，最好能改变对细胞如何工作的理解。当前审计稿不对这本杂志。,细胞决策机制。,训练是否改变系统行为预测。,业务A不是系统生物学故事。,业务B没有效果，也不是系统故事。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,Cell/Nature 家族交叉补入,hand_profile,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Communications Biology,Communications Biology,CELL,multidisciplinary,综合/方法顶刊,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,Nature 开源生物学。,Communications Biology 仍要生物学问题和完整故事，不是纯审计表。,生物学问题。,训练是否改善生物学预测。,业务A故事不够。,业务B未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,Cell/Nature 家族交叉补入,hand_profile,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Cytogenetic and Genome Research,CYTOGENETIC AND GENOME RESEARCH,GENETICS,genomics,基因组学,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,Cytogenetic and Genome Research 出现在本次打开的完整名单里，学科来源：遗传学。按刊名和栏目，它日常刊登的是基因组学：基因组发现或能推动基因组实验的方法。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,Cytogenetic and Genome Research：A=一区/顶刊不对轨或故事不够；B=一区/顶刊不对轨或故事不够,业务B判定：一区/顶刊不对轨或故事不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单,title_category_rule,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
eLife,eLife,CELL,multidisciplinary,综合/方法顶刊,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,要完整生物学问题。,eLife 要完整生物学问题。当前审计稿不够。,完整生物学问题。,训练收益加生物学。,业务A不够。,业务B不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,Cell/Nature 家族交叉补入,hand_profile,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Genome Biology,GENOME BIOLOGY,GENETICS+BIOTECH,genomics,基因组学,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,中科院常见 1 区。,Genome Biology 要基因组尺度的生物学问题或能推动基因组实验的方法，不只是排序相关。四个细胞系上的风险相关，如果讲不成“哪些扰动/背景在生物学上更难预测”，就只是一张统计表。缺湿实验、缺跨实验室、缺改变生物学决策的硬收益时，桌面拒稿风险很高。,生物学问题、机制或至少能改变基因组实验决策。,训练是否让生物学困难扰动变得可预测。,业务A现在不是冲刺对象。,业务B没有正式效果，更远。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单；2026-09-07 打开 生物技术与应用微生物 完整名单,hand_profile,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Genome Medicine,Genome Medicine,GENETICS,genomics,基因组学,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,Genome Medicine 出现在本次打开的完整名单里，学科来源：遗传学。按刊名和栏目，它日常刊登的是基因组学：基因组发现或能推动基因组实验的方法。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,Genome Medicine：A=一区/顶刊不对轨或故事不够；B=一区/顶刊不对轨或故事不够,业务B判定：一区/顶刊不对轨或故事不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单,title_category_rule,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Genome Research,GENOME RESEARCH,GENETICS+BIOTECH,genomics,基因组学,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,中科院常见 1 区口径。,Genome Research 要新的基因组生物学发现，或能直接推动基因组实验的资源/方法。纯预测后审计、又没有新数据资源，不对这本杂志的栏目。,新生物学发现或新基因组资源。,训练是否带来新生物学可用的预测。,业务A不是发现文。,业务B没有效果，也不是发现文。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单；2026-09-07 打开 生物技术与应用微生物 完整名单,hand_profile,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Human Molecular Genetics,HUMAN MOLECULAR GENETICS,GENETICS,genomics,基因组学,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,Human Molecular Genetics 出现在本次打开的完整名单里，学科来源：遗传学。按刊名和栏目，它日常刊登的是基因组学：基因组发现或能推动基因组实验的方法。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,Human Molecular Genetics：A=一区/顶刊不对轨或故事不够；B=一区/顶刊不对轨或故事不够,业务B判定：一区/顶刊不对轨或故事不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单,title_category_rule,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
ICLR,ICLR,CCF,conference,计算机会议,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,机器学习会议。,ICLR 要表征学习或新训练方法。当前两条业务都不够。,新方法。,新训练方法。,业务A不对轨。,业务B未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,CCF 会议交叉补入,hand_profile,not_recorded,"2,2,2,2,2,2,1,0","2,2,2,1,2,2,1,0"
ICML,ICML,CCF,conference,计算机会议,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,CCF-A 会议。,ICML 同样要机器学习新方法。业务A不对轨；业务B未就绪。,ML 新方法。,新学习算法。,业务A不对轨。,业务B未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,CCF 会议交叉补入,hand_profile,not_recorded,"2,2,2,2,2,2,1,0","2,2,2,1,2,2,1,0"
IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,CS_AI,ml,机器学习,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,IEEE Transactions on Pattern Analysis and Machine Intelligence 出现在本次打开的完整名单里，学科来源：计算机科学人工智能。按刊名和栏目，它日常刊登的是机器学习：新的学习算法或理论。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,IEEE Transactions on Pattern Analysis and Machine Intelligence：A=一区/顶刊不对轨或故事不够；B=一区/顶刊不对轨或故事不够,业务B判定：一区/顶刊不对轨或故事不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 计算机科学人工智能 完整名单,title_category_rule,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
IJCAI,IJCAI,CCF,conference,计算机会议,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,IJCAI 出现在本次打开的完整名单里，学科来源：CCF 会议交叉补入。按刊名和栏目，它日常刊登的是计算机会议：算法新意和相对强基线的增量。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,IJCAI：A=一区/顶刊不对轨或故事不够；B=一区/顶刊不对轨或故事不够,业务B判定：一区/顶刊不对轨或故事不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,CCF 会议交叉补入,title_category_rule,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
KDD,KDD,CCF,conference,计算机会议,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,KDD 出现在本次打开的完整名单里，学科来源：CCF 会议交叉补入。按刊名和栏目，它日常刊登的是计算机会议：算法新意和相对强基线的增量。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,KDD：A=一区/顶刊不对轨或故事不够；B=一区/顶刊不对轨或故事不够,业务B判定：一区/顶刊不对轨或故事不够。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,CCF 会议交叉补入,title_category_rule,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
Nature,NATURE,MULTI,multidisciplinary,综合/方法顶刊,q1_off,q1_off,一区/顶刊不对轨或故事不够,一区/顶刊不对轨或故事不够,综合顶刊。,Nature 要改变一个领域看法的完整发现或方法。当前两条业务都不是。,领域级发现。,领域级方法。,业务A不对轨。,业务B不对轨。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 多学科科学 完整名单,hand_profile,not_recorded,"2,2,2,2,1,2,2,2","2,2,2,1,2,2,2,2"
