dataset_name,file_path,file_type,size,modified_time,possible_content,usable_for_confidence_scoring,has_context_field,has_perturbation_field,has_control_treated,can_compute_true_effect,has_multi_context_proxy,suitable_heldout_context_proxy,suitable_pair_split_proxy,has_existing_split,has_prediction_result,obs_columns_preview
kangCrossPatient,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/kangCrossPatient.h5ad,.h5ad,751.6MB,2026-04-17 15:44,genetic_single / RNA / n_obs=13093 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"orig.ident,nCount_RNA,nFeature_RNA,stim,seurat_annotations,integrated_snn_res.0.5,seurat_clusters,condition_x,cell_type_x,perturbation,sample_id,condition_y,cluster,cell_type_y,multiplets,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt,condition1,condition2,iid_test"
sciplex3,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/sciplex3.h5ad,.h5ad,561.8MB,2026-04-17 15:44,chemical_single / RNA / n_obs=26046 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"ncounts,well,plate,cell_line,replicate,time,dose_value,pathway_level_1,pathway_level_2,perturbation,target,pathway,dose_unit,celltype,disease,cancer,tissue_type,organism,perturbation_type,ngenes,percent_mito,percent_ribo,nperts,chembl-ID,perturbation1,n_genes,n_genes_by_counts,total_counts,total_cou"
Adamson,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Adamson.h5ad,.h5ad,2.1GB,2026-04-17 15:44,genetic_single / RNA / n_obs=56998 / n_vars=5043,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gene,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Frangieh,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Frangieh.h5ad,.h5ad,3.9GB,2026-04-17 15:45,genetic_single / multimodal / n_obs=110188 / n_vars=5124,是-可直接构造effect task,True,True,True,True,False,False,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gene,condition,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Norman,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Norman.h5ad,.h5ad,3.2GB,2026-04-17 15:46,genetic_combinatorial / RNA / n_obs=96994 / n_vars=5025,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gene,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Papalexi,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Papalexi.h5ad,.h5ad,682.1MB,2026-04-17 15:46,genetic_single / multimodal / n_obs=20343 / n_vars=5013,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"replicate,gene,Phase,sgRNA,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Replogle,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_K562essential.h5ad,.h5ad,17.2GB,2026-04-17 15:51,genetic_combinatorial / RNA / n_obs=263245 / n_vars=5822,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gem_group,gene,gene_id,transcript,gene_transcript,sgID_AB,mitopercent,UMI_count,z_gemgroup_UMI,core_scale_factor,core_adjusted_UMI_count,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Replogle,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_RPE1essential.h5ad,.h5ad,11.1GB,2026-04-17 15:55,genetic_combinatorial / RNA / n_obs=173912 / n_vars=5687,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gem_group,gene,gene_id,transcript,gene_transcript,sgID_AB,mitopercent,UMI_count,z_gemgroup_UMI,core_scale_factor,core_adjusted_UMI_count,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Replogle,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_exp6.h5ad,.h5ad,856.7MB,2026-04-17 15:55,genetic_combinatorial / RNA / n_obs=27104 / n_vars=5019,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gene_A,gene_B,gene,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Replogle,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_exp7.h5ad,.h5ad,2.5GB,2026-04-17 15:56,genetic_single / RNA / n_obs=102148 / n_vars=5087,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gene,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Replogle,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_exp8.h5ad,.h5ad,1.5GB,2026-04-17 15:56,genetic_single / RNA / n_obs=54956 / n_vars=5031,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gene,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Schmidt,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Schmidt.h5ad,.h5ad,1.8GB,2026-04-17 15:57,genetic_combinatorial / RNA / n_obs=60572 / n_vars=5005,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,False,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"gene,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
TianActivation,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/TianActivation.h5ad,.h5ad,583.7MB,2026-04-17 15:57,genetic_single / RNA / n_obs=20169 / n_vars=5045,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"batch,gene,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
TianInhibition,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/TianInhibition.h5ad,.h5ad,992.3MB,2026-04-17 15:57,genetic_single / RNA / n_obs=31815 / n_vars=5152,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"batch,gene,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
Wessels,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Wessels.h5ad,.h5ad,645.5MB,2026-04-17 15:57,genetic_combinatorial / RNA / n_obs=19775 / n_vars=5020,是-可直接构造effect task,True,True,True,True,False,False,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"GenePair,Phase,gene,perturbation,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt"
sciplex3,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_A549.h5ad,.h5ad,394.5MB,2026-04-17 15:58,chemical_combinatorial / RNA / n_obs=82975 / n_vars=5839,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"ncounts,well,plate,cell_line,replicate,time,dose_value,pathway_level_1,pathway_level_2,perturbation,target,pathway,dose_unit,celltype,disease,cancer,tissue_type,organism,perturbation_type,ngenes,percent_mito,percent_ribo,nperts,chembl-ID,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_cou"
sciplex3,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_K562.h5ad,.h5ad,787.6MB,2026-04-17 15:58,chemical_combinatorial / RNA / n_obs=150013 / n_vars=5839,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"ncounts,well,plate,cell_line,replicate,time,dose_value,pathway_level_1,pathway_level_2,perturbation,target,pathway,dose_unit,celltype,disease,cancer,tissue_type,organism,perturbation_type,ngenes,percent_mito,percent_ribo,nperts,chembl-ID,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_cou"
sciplex3,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_MCF7.h5ad,.h5ad,1.1GB,2026-04-17 15:58,chemical_combinatorial / RNA / n_obs=223630 / n_vars=5839,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"ncounts,well,plate,cell_line,replicate,time,dose_value,pathway_level_1,pathway_level_2,perturbation,target,pathway,dose_unit,celltype,disease,cancer,tissue_type,organism,perturbation_type,ngenes,percent_mito,percent_ribo,nperts,chembl-ID,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_cou"
sciplex3,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_comb.h5ad,.h5ad,460.5MB,2026-04-17 15:58,chemical_combinatorial / RNA / n_obs=63378 / n_vars=5000,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"condition,condition_ID,control,cell_type,smiles_rdkit,Drug1,Drug2,log_dose,cov_drug_dose,perturbation,cell_line,cov_drug_dose_name,split_ood_multi_task4,split_ood_multi_task5,split_ood_multi_task6"
AdamsonWeissman2016,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AdamsonWeissman2016_GSM2406675_10X001.h5ad,.h5ad,33.0MB,2026-04-17 14:35,genetic_single / RNA / n_obs=5768 / n_vars=35635,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,read count,UMI count,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,ncounts,ngenes,percent_mito,percent_ribo,nperts"
AdamsonWeissman2016,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AdamsonWeissman2016_GSM2406677_10X005.h5ad,.h5ad,132.6MB,2026-04-17 14:36,genetic_single / RNA / n_obs=15006 / n_vars=32738,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,read count,UMI count,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,ncounts,ngenes,percent_mito,percent_ribo,nperts"
AdamsonWeissman2016,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AdamsonWeissman2016_GSM2406681_10X010.h5ad,.h5ad,449.5MB,2026-04-17 14:38,genetic_single / RNA / n_obs=65337 / n_vars=32738,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,read count,UMI count,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,ncounts,ngenes,percent_mito,percent_ribo,nperts"
AissaBenevolenskaya2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AissaBenevolenskaya2021.h5ad,.h5ad,43.8MB,2026-04-17 14:36,genetic_single / RNA / n_obs=119071 / n_vars=17820,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"GEO,time,cell_line,perturbation,batch,subseries,replicate,tissue_type,cancer,perturbation_type,disease,celltype,organism,nperts,ncounts,ngenes,percent_mito,percent_ribo,chembl-ID"
ChangYe2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ChangYe2021.h5ad,.h5ad,478.6MB,2026-04-17 14:39,genetic_single / RNA / n_obs=42277 / n_vars=45066,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"sample,disease,cancer,sex,perturbation,dose_value,dose_unit,perturbation_type,organism,nperts,ncounts,ngenes,percent_mito,percent_ribo,chembl-ID"
CuiHacohen2023,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/CuiHacohen2023.h5ad,.h5ad,450.2MB,2026-04-17 14:39,genetic_single / RNA / n_obs=96034 / n_vars=31053,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"ncounts,ngenes,channel,ncounts_tags,nFeature_HTO,MULTI_ID,MULTI_classification,percent_mito,RNA_snn_res.1.5,seurat_clusters,cluster_manual,celltype,channel_hashtag,perturbation,bio_replicate,nperts,perturbation_type,disease,cancer,tissue_type,organism,percent_ribo,cytokine_family"
DatlingerBock2017,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DatlingerBock2017.h5ad,.h5ad,37.3MB,2026-04-17 14:39,genetic_single / RNA / n_obs=5905 / n_vars=36722,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,perturbation_2,replicate,target,celltype,cell_line,cancer,disease,tissue_type,organism,perturbation_type,perturbation_type_2,ncounts,ngenes,percent_mito,percent_ribo,nperts"
DatlingerBock2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DatlingerBock2021.h5ad,.h5ad,32.0MB,2026-04-17 14:39,genetic_single / RNA / n_obs=39194 / n_vars=25904,可能不够-缺context/pert/control之一或scan异常,True,True,False,False,True,False,False,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"sample,cell_line,perturbation,perturbation_2,tissue_type,cancer,celltype,disease,organism,perturbation_type,perturbation_type_2,ncounts,ngenes,percent_mito,percent_ribo,nperts"
DixitRegev2016,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DixitRegev2016_K562_TFs_13_days.h5ad,.h5ad,115.6MB,2026-04-17 14:40,genetic_single / RNA / n_obs=19268 / n_vars=21713,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,target,moi,time,cell_line,celltype,perturbation_type,cancer,disease,tissue_type,organism,guide_id,ncounts,ngenes,percent_mito,percent_ribo,nperts"
DixitRegev2016,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DixitRegev2016_K562_TFs_7_days.h5ad,.h5ad,244.8MB,2026-04-17 14:40,genetic_single / RNA / n_obs=33013 / n_vars=23111,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,target,moi,time,cell_line,celltype,perturbation_type,cancer,disease,tissue_type,organism,guide_id,ncounts,ngenes,percent_mito,percent_ribo,nperts"
DixitRegev2016,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DixitRegev2016_K562_TFs_High_MOI.h5ad,.h5ad,304.9MB,2026-04-17 14:40,genetic_combinatorial / RNA / n_obs=51898 / n_vars=23529,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"perturbation,grna_lenient,target,moi,cell_line,celltype,perturbation_type,cancer,disease,tissue_type,organism,guide_id,ncounts,ngenes,percent_mito,percent_ribo,nperts"
FrangiehIzar2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/FrangiehIzar2021_RNA.h5ad,.h5ad,1.4GB,2026-04-17 14:47,genetic_single / multimodal / n_obs=218331 / n_vars=23712,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"library_preparation_protocol,perturbation_2,MOI,sgRNA,UMI_count,guide_id,umap_x,umap_y,perturbation,tissue_type,cancer,disease,perturbation_type,celltype,organism,perturbation_type_2,nperts,ngenes,ncounts,percent_mito,percent_ribo"
FrangiehIzar2021,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/FrangiehIzar2021_protein.h5ad,.h5ad,23.6MB,2026-04-17 14:41,genetic_single / protein / n_obs=218331 / n_vars=24,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"library_preparation_protocol,perturbation_2,MOI,sgRNA,UMI_count,guide_id,umap_x,umap_y,perturbation,tissue_type,cancer,disease,perturbation_type,celltype,organism,perturbation_type_2,nperts,ngenes,ncounts,percent_mito,percent_ribo"
GasperiniShendure2019,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GasperiniShendure2019_atscale.h5ad,.h5ad,1.7GB,2026-04-17 14:51,enhancer_regulatory / RNA / n_obs=207324 / n_vars=13135,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"sample,total_umis,Size_Factor,gene,all_gene,barcode,read_count,umi_count,proportion,guide_count,sample_directory,ko_barcode_file,id,prep_batch,within_batch_chip,within_chip_lane,percent.mito,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,perturbation,nperts,ngenes,ncounts,p"
GasperiniShendure2019,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GasperiniShendure2019_highMOI.h5ad,.h5ad,399.0MB,2026-04-17 14:43,enhancer_regulatory / RNA / n_obs=47650 / n_vars=32738,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"sample,total_umis,Size_Factor,gene,all_gene,barcode,read_count,umi_count,proportion,guide_count,sample_directory,ko_barcode_file,sample_name,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,perturbation,nperts,ngenes,ncounts,percent_mito,percent_ribo"
GasperiniShendure2019,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GasperiniShendure2019_lowMOI.h5ad,.h5ad,307.8MB,2026-04-17 14:43,enhancer_regulatory / RNA / n_obs=41284 / n_vars=32738,是-可直接构造effect task,True,True,True,True,True,True,True,代码可生成 leave_context / heldout_perturbation；未见持久 split registry 覆盖全部数据,看 results/ 中 dataset 是否出现；详见 existing_results_audit.md,"sample,total_umis,Size_Factor,gene,all_gene,barcode,read_count,umi_count,proportion,guide_count,sample_directory,ko_barcode_file,sample_name,tissue_type,cell_line,cancer,disease,perturbation_type,celltype,organism,perturbation,nperts,ngenes,ncounts,percent_mito,percent_ribo"
