safeconf_perturbation,scperturbench_drug,match_type,notes
"Fluorouracil (5-Fluoracil, 5-FU)",Fluorouracil,alias,matched after removing SafeConf parenthetical aliases
Fulvestrant,Fulvestrant,exact,case/spacing/punctuation normalization only
GSK J1,GSK,manual,manual proposal; excluded because manual count exceeds preregistered limit
Givinostat (ITF2357),Givinostat,alias,matched after removing SafeConf parenthetical aliases
Glesatinib?(MGCD265),Glesatinib,alias,matched after removing SafeConf parenthetical aliases
Hesperadin,Hesperadin,exact,case/spacing/punctuation normalization only
ITSA-1 (ITSA1),ITSA1,alias,matched after removing SafeConf parenthetical aliases
JNJ-26854165 (Serdemetan),JNJ26854165,alias,matched after removing SafeConf parenthetical aliases
(+)-JQ1,JQ1,exact,case/spacing/punctuation normalization only
Ki16425,Ki16425,exact,case/spacing/punctuation normalization only
Lenalidomide (CC-5013),Lenalidomide,alias,matched after removing SafeConf parenthetical aliases
MK-0752,MK0752,exact,case/spacing/punctuation normalization only
Meprednisone,Meprednisone,exact,case/spacing/punctuation normalization only
Mercaptopurine (6-MP),Mercaptopurine,alias,matched after removing SafeConf parenthetical aliases
Mocetinostat (MGCD0103),Mocetinostat,alias,matched after removing SafeConf parenthetical aliases
NVP-BSK805 2HCl,NVPBSK805,manual,manual proposal; excluded because manual count exceeds preregistered limit
Obatoclax Mesylate (GX15-070),Obatoclax,manual,manual proposal; excluded because manual count exceeds preregistered limit
Ofloxacin,Ofloxacin,exact,case/spacing/punctuation normalization only
PCI-34051,PCI34051,exact,case/spacing/punctuation normalization only
PF-573228,PF573228,exact,case/spacing/punctuation normalization only
PHA-680632,PHA680632,exact,case/spacing/punctuation normalization only
Panobinostat (LBH589),Panobinostat,alias,matched after removing SafeConf parenthetical aliases
"Patupilone (EPO906, Epothilone B)",Patupilone,alias,matched after removing SafeConf parenthetical aliases
Pracinostat (SB939),Pracinostat,alias,matched after removing SafeConf parenthetical aliases
Prednisone,Prednisone,exact,case/spacing/punctuation normalization only
Quercetin,Quercetin,exact,case/spacing/punctuation normalization only
Quisinostat (JNJ-26481585) 2HCl,Quisinostat,manual,manual proposal; excluded because manual count exceeds preregistered limit
Resveratrol,Resveratrol,exact,case/spacing/punctuation normalization only
"Rucaparib (AG-014699,PF-01367338) phosphate",Rucaparib,manual,manual proposal; excluded because manual count exceeds preregistered limit
Ruxolitinib (INCB018424),Ruxolitinib,alias,matched after removing SafeConf parenthetical aliases
S3I-201,S3I201,exact,case/spacing/punctuation normalization only
SRT1720 HCl,SRT1720,manual,manual proposal; excluded because manual count exceeds preregistered limit
Sirtinol,Sirtinol,exact,case/spacing/punctuation normalization only
TAK-901,TAK901,exact,case/spacing/punctuation normalization only
TG101209,TG101209,exact,case/spacing/punctuation normalization only
Tacedinaline (CI994),Tacedinaline,alias,matched after removing SafeConf parenthetical aliases
Tanespimycin (17-AAG),Tanespimycin,alias,matched after removing SafeConf parenthetical aliases
Thiotepa,Thiotepa,exact,case/spacing/punctuation normalization only
Tofacitinib (CP-690550) Citrate,Tofacitinib,manual,manual proposal; excluded because manual count exceeds preregistered limit
Triamcinolone Acetonide,Triamcinolone,manual,manual proposal; excluded because manual count exceeds preregistered limit
Tubastatin A HCl,Tubastatin,manual,manual proposal; excluded because manual count exceeds preregistered limit
UNC0379,UNC0379,exact,case/spacing/punctuation normalization only
Vandetanib (ZD6474),Vandetanib,alias,matched after removing SafeConf parenthetical aliases
Veliparib (ABT-888),Veliparib,alias,matched after removing SafeConf parenthetical aliases
WHI-P154,WHIP154,exact,case/spacing/punctuation normalization only
