raw_gene,scgpt_token
PSMA7,PSMA7
CCNI,CCNI
SSR2,SSR2
TRAF3IP3,TRAF3IP3
EDF1,EDF1
PKM,PKM
MZT2B,MZT2B
HSP90AB1,HSP90AB1
COX8A,COX8A
HMGB2,HMGB2
HNRNPC,HNRNPC
COMMD6,COMMD6
HNRNPK,HNRNPK
CD8B,CD8B
CD7,CD7
PSMB8,PSMB8
NCL,NCL
SERBP1,SERBP1
ABRACL,ABRACL
COX5B,COX5B
DDX5,DDX5
MYL12B,MYL12B
EIF5A,EIF5A
GTF3A,GTF3A
PNISR,PNISR
EMP3,EMP3
UQCR11,UQCR11
PPP1CA,PPP1CA
CLEC2D,CLEC2D
CSTB,CSTB
CD27,CD27
TUBB,TUBB
CALM2,CALM2
ARL6IP4,ARL6IP4
TUBA1B,TUBA1B
SRGN,SRGN
YWHAB,YWHAB
SET,SET
DYNLL1,DYNLL1
CAPZB,CAPZB
MT2A,MT2A
S100A11,S100A11
UBXN1,UBXN1
LSP1,LSP1
TXN,TXN
ZFAS1,ZFAS1
EIF3L,EIF3L
BRK1,BRK1
IL2RG,IL2RG
SEC61B,SEC61B
GUK1,GUK1
COX5A,COX5A
COX6A1,COX6A1
TPM3,TPM3
UBL5,UBL5
CD3G,CD3G
HCST,HCST
ARL6IP5,ARL6IP5
SOD1,SOD1
PSME1,PSME1
TRBC1,TRBC1
SKP1,SKP1
HIGD2A,HIGD2A
SRSF5,SRSF5
APRT,APRT
NDUFS5,NDUFS5
MZT2A,MZT2A
LCP1,LCP1
ARGLU1,ARGLU1
SRSF3,SRSF3
CDC42,CDC42
PRELID1,PRELID1
LDHA,LDHA
PCBP1,PCBP1
GIMAP7,GIMAP7
JAK1,JAK1
EID1,EID1
COX7B,COX7B
RPS27L,RPS27L
NEDD8,NEDD8
SSR4,SSR4
ERP29,ERP29
CD99,CD99
SNRPG,SNRPG
HLA-DRA,HLA-DRA
NOP10,NOP10
STMN1,STMN1
JAML,JAML
PSMB9,PSMB9
PEBP1,PEBP1
GSTP1,GSTP1
SNRPE,SNRPE
CALM3,CALM3
RBM3,RBM3
CD48,CD48
HOPX,HOPX
PRDX1,PRDX1
ACAP1,ACAP1
LAT,LAT
PRRC2C,PRRC2C
CUTA,CUTA
PSMB1,PSMB1
NDUFB8,NDUFB8
SELL,SELL
ATP6V1G1,ATP6V1G1
BAX,BAX
RBX1,RBX1
NOSIP,NOSIP
PCBP2,PCBP2
MTDH,MTDH
CD3E,CD3E
COX7A2L,COX7A2L
UBE2D2,UBE2D2
UQCR10,UQCR10
CD8A,CD8A
TRAPPC1,TRAPPC1
TSPO,TSPO
LRRN3,LRRN3
POMP,POMP
PPDPF,PPDPF
PGAM1,PGAM1
PNRC1,PNRC1
FKBP1A,FKBP1A
ATP6V0E1,ATP6V0E1
UBE2D3,UBE2D3
YWHAZ,YWHAZ
TBCA,TBCA
UXT,UXT
N4BP2L2,N4BP2L2
SERP1,SERP1
NDUFB2,NDUFB2
TMEM123,TMEM123
IFI16,IFI16
HNRNPA3,HNRNPA3
ITGA4,ITGA4
RBM39,RBM39
MRPL51,MRPL51
EIF3G,EIF3G
ZNF706,ZNF706
NDUFB11,NDUFB11
SPCS1,SPCS1
COPE,COPE
DEK,DEK
PRDX2,PRDX2
EIF3A,EIF3A
SNRPF,SNRPF
PPIB,PPIB
CAP1,CAP1
HNRNPU,HNRNPU
DRAP1,DRAP1
ERH,ERH
CD37,CD37
SNRPB,SNRPB
TMEM258,TMEM258
UQCRQ,UQCRQ
HNRNPF,HNRNPF
TPR,TPR
DDX17,DDX17
ACTR3,ACTR3
SNU13,SNU13
LUC7L3,LUC7L3
GIMAP4,GIMAP4
NDUFB10,NDUFB10
NAP1L4,NAP1L4
PTP4A2,PTP4A2
SNRPD1,SNRPD1
CD96,CD96
EIF3M,EIF3M
MORF4L1,MORF4L1
GSTK1,GSTK1
LRRFIP1,LRRFIP1
SAP18,SAP18
TMBIM6,TMBIM6
NDUFA1,NDUFA1
NDUFV2,NDUFV2
RHOA,RHOA
POLR2L,POLR2L
NUCKS1,NUCKS1
PGK1,PGK1
HSPE1,HSPE1
CCDC85B,CCDC85B
EIF3D,EIF3D
LSM7,LSM7
HNRNPDL,HNRNPDL
PARP1,PARP1
NDUFB9,NDUFB9
TCEA1,TCEA1
NDUFA11,NDUFA11
NKG7,NKG7
LAMTOR5,LAMTOR5
UCP2,UCP2
MRPS6,MRPS6
RAC1,RAC1
ARL4C,ARL4C
LEPROTL1,LEPROTL1
ZFP36L2,ZFP36L2
POLR1D,POLR1D
RSL1D1,RSL1D1
FUS,FUS
SUMO1,SUMO1
SMDT1,SMDT1
CD63,CD63
ST13,ST13
RP5-1171I10.5,RP5-1171I10.5
DUT,DUT
JTB,JTB
CLTA,CLTA
FAM107B,FAM107B
SRSF7,SRSF7
PNN,PNN
EIF4B,EIF4B
CCT8,CCT8
CNBP,CNBP
HNRNPA0,HNRNPA0
THRAP3,THRAP3
TRMT112,TRMT112
OCIAD2,OCIAD2
PSME2,PSME2
S1PR4,S1PR4
EIF4A2,EIF4A2
EVI2B,EVI2B
HSPD1,HSPD1
STK17A,STK17A
SF3B5,SF3B5
DDX46,DDX46
SLFN5,SLFN5
RSL24D1,RSL24D1
SYNE2,SYNE2
PRDX5,PRDX5
XRCC5,XRCC5
SRRM2,SRRM2
SRSF2,SRSF2
UFC1,UFC1
SRRM1,SRRM1
PSMA4,PSMA4
MBP,MBP
SEC61G,SEC61G
ID2,ID2
LSM2,LSM2
BLOC1S1,BLOC1S1
CIRBP,CIRBP
ATP6V1F,ATP6V1F
NDUFB7,NDUFB7
NDUFC2,NDUFC2
RANBP1,RANBP1
EIF2S2,EIF2S2
SON,SON
PPP2R5C,PPP2R5C
HLA-DPB1,HLA-DPB1
PSMB3,PSMB3
NDUFA12,NDUFA12
FNBP1,FNBP1
AURKAIP1,AURKAIP1
LBH,LBH
STK4,STK4
C1QBP,C1QBP
ANAPC16,ANAPC16
RCSD1,RCSD1
UQCRFS1,UQCRFS1
PA2G4,PA2G4
NDUFB4,NDUFB4
YWHAQ,YWHAQ
LSM5,LSM5
XIST,XIST
NDUFS6,NDUFS6
CBX3,CBX3
NCOR1,NCOR1
PSMA1,PSMA1
DAD1,DAD1
NPC2,NPC2
VAMP8,VAMP8
TKT,TKT
PSMD8,PSMD8
CAPG,CAPG
FKBP8,FKBP8
SRSF9,SRSF9
CCT3,CCT3
UBXN4,UBXN4
SH2D1A,SH2D1A
HNRNPD,HNRNPD
CYTIP,CYTIP
TAX1BP1,TAX1BP1
MRPS21,MRPS21
SRI,SRI
IL7R,IL7R
MSN,MSN
PRR13,PRR13
ANXA11,ANXA11
