dataset,modality,fold_id,heldout_context,source_contexts,split,setting,context,cell_line,perturbation,n_cells,perturbation_seen_in_training,context_seen_in_training,selected_without_expression_values,disjoint_from_E136,in_train_fraction_100
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPL10A,116,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DYNLRB1,124,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,GTF2E1,54,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MED19,112,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PPP1R37,284,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,BRIX1,102,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NDUFAB1,66,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MVK,153,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,EIF4E,53,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NOC3L,89,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SUPT20H,81,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PET117,51,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,SETX,92,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CCNK,96,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NSA2,83,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,GTF2H4,50,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DCUN1D5,89,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,GPN3,83,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,UNC45A,67,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CDK1,139,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DDX6,53,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RRP9,84,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MRPL36,430,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,UQCRC1,53,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPS8,60,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPS14,76,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MON1A,94,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CDCA5,93,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SRPRB,80,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TMEM214,249,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,EIF2B5,115,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,EXOSC8,84,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MRPS16,53,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,POLR2D,91,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,XPO5,58,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,EMC3,103,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,TRAPPC11,237,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,BRCA2,115,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,IK,176,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,ZNF292,78,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DESI1,55,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PMPCA,51,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SRP68,131,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PCNX3,62,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SCAF1,82,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CPSF1,59,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,VPS35,102,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,HERC1,85,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NXF1,79,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DDX18,66,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,RBM28,75,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MRGBP,118,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CTDP1,83,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPS26,62,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,PPA1,57,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SNAPC5,58,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SRA1,134,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,EXOSC3,88,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,ETF1,97,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,CHAF1B,54,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,ILF2,52,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CSE1L,240,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,EXOSC5,134,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SETD1A,81,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DDX21,77,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TAF5,60,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DAP3,60,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,DPY19L4,87,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,WTAP,181,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,USP5,98,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPL35A,196,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,LRR1,87,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CS,77,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PELO,59,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,train,training_pair,Jurkat,Jurkat,UBQLN4,69,True,True,True,True,True
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,train,training_pair,Jurkat,Jurkat,RPS27,64,True,True,True,True,True
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,random_seen_pair,Jurkat,Jurkat,CENPT,106,True,True,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,perturbation_unseen,Jurkat,Jurkat,CHMP6,139,False,True,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,perturbation_unseen,Jurkat,Jurkat,EGLN2,148,False,True,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,perturbation_unseen,Jurkat,Jurkat,EIF4G2,129,False,True,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,perturbation_unseen,Jurkat,Jurkat,HSPA9,64,False,True,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,train,training_pair,Jurkat,Jurkat,MRPL27,169,True,True,True,True,True
