dataset_name,path,family,note,n_obs,n_vars,n_genes_used,context_col,perturbation_col,control_col,n_tasks,n_contexts,n_perturbations,n_control_contexts,role,pair
Replogle_exp6_global,official_generalization/Replogle_exp6.h5ad,genetic_replogle_small,Replogle small experiment 6; global context.,27104,5019,500,__global__,perturbation,,69,1,69,1,target,Replogle_exp8_global->Replogle_exp6_global
Replogle_exp7_global,official_generalization/Replogle_exp7.h5ad,genetic_replogle_small,Replogle small experiment 7; global context.,102148,5087,500,__global__,perturbation,,104,1,104,1,source,Replogle_exp7_global->Replogle_exp8_global
Replogle_exp8_global,official_generalization/Replogle_exp8.h5ad,genetic_replogle_small,Replogle small experiment 8; global context.,54956,5031,500,__global__,perturbation,,61,1,61,1,target,Replogle_exp7_global->Replogle_exp8_global
Replogle_exp8_global,official_generalization/Replogle_exp8.h5ad,genetic_replogle_small,Replogle small experiment 8; global context.,54956,5031,500,__global__,perturbation,,61,1,61,1,source,Replogle_exp8_global->Replogle_exp7_global
Replogle_exp7_global,official_generalization/Replogle_exp7.h5ad,genetic_replogle_small,Replogle small experiment 7; global context.,102148,5087,500,__global__,perturbation,,104,1,104,1,target,Replogle_exp8_global->Replogle_exp7_global
Adamson_global,official_generalization/Adamson.h5ad,genetic_k562_cross_study,Adamson K562 CRISPR screen; global context.,56998,5043,500,__global__,perturbation,,76,1,76,1,source,Adamson_global->Replogle_exp7_global
Replogle_exp7_global,official_generalization/Replogle_exp7.h5ad,genetic_replogle_small,Replogle small experiment 7; global context.,102148,5087,500,__global__,perturbation,,104,1,104,1,target,Adamson_global->Replogle_exp7_global
Replogle_exp7_global,official_generalization/Replogle_exp7.h5ad,genetic_replogle_small,Replogle small experiment 7; global context.,102148,5087,500,__global__,perturbation,,104,1,104,1,source,Replogle_exp7_global->Adamson_global
Adamson_global,official_generalization/Adamson.h5ad,genetic_k562_cross_study,Adamson K562 CRISPR screen; global context.,56998,5043,500,__global__,perturbation,,76,1,76,1,target,Replogle_exp7_global->Adamson_global
Adamson_global,official_generalization/Adamson.h5ad,genetic_k562_cross_study,Adamson K562 CRISPR screen; global context.,56998,5043,500,__global__,perturbation,,76,1,76,1,source,Adamson_global->TianInhibition_batch
TianInhibition_batch,official_generalization/TianInhibition.h5ad,genetic_tian_crispr,CRISPRi screen; batch as context.,31815,5152,500,batch,perturbation,,705,4,180,4,target,Adamson_global->TianInhibition_batch
TianInhibition_batch,official_generalization/TianInhibition.h5ad,genetic_tian_crispr,CRISPRi screen; batch as context.,31815,5152,500,batch,perturbation,,705,4,180,4,source,TianInhibition_batch->Adamson_global
Adamson_global,official_generalization/Adamson.h5ad,genetic_k562_cross_study,Adamson K562 CRISPR screen; global context.,56998,5043,500,__global__,perturbation,,76,1,76,1,target,TianInhibition_batch->Adamson_global
SciPlex2_cellline,official_scperturb/SrivatsanTrapnell2020_sciplex2.h5ad,chemical_sciplex_series,SciPlex2 drug perturbation; A549.,24262,58347,500,cell_line,perturbation,,4,1,4,1,source,SciPlex2_cellline->SciPlex4_cellline
SciPlex4_cellline,official_scperturb/SrivatsanTrapnell2020_sciplex4.h5ad,chemical_sciplex_series,SciPlex4 drug/metabolite perturbation.,98437,58347,500,cell_line,perturbation,,14,2,7,3,target,SciPlex2_cellline->SciPlex4_cellline
SciPlex4_cellline,official_scperturb/SrivatsanTrapnell2020_sciplex4.h5ad,chemical_sciplex_series,SciPlex4 drug/metabolite perturbation.,98437,58347,500,cell_line,perturbation,,14,2,7,3,source,SciPlex4_cellline->SciPlex2_cellline
SciPlex2_cellline,official_scperturb/SrivatsanTrapnell2020_sciplex2.h5ad,chemical_sciplex_series,SciPlex2 drug perturbation; A549.,24262,58347,500,cell_line,perturbation,,4,1,4,1,target,SciPlex4_cellline->SciPlex2_cellline
SciPlex2_cellline,official_scperturb/SrivatsanTrapnell2020_sciplex2.h5ad,chemical_sciplex_series,SciPlex2 drug perturbation; A549.,24262,58347,500,cell_line,perturbation,,4,1,4,1,source,SciPlex2_cellline->sciplex3_small_cellline
sciplex3_small_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_sciplex_series,Processed sciplex3 subset already used in E55.,26046,5000,500,condition1,condition2,,27,3,9,3,target,SciPlex2_cellline->sciplex3_small_cellline
sciplex3_small_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_sciplex_series,Processed sciplex3 subset already used in E55.,26046,5000,500,condition1,condition2,,27,3,9,3,source,sciplex3_small_cellline->SciPlex2_cellline
SciPlex2_cellline,official_scperturb/SrivatsanTrapnell2020_sciplex2.h5ad,chemical_sciplex_series,SciPlex2 drug perturbation; A549.,24262,58347,500,cell_line,perturbation,,4,1,4,1,target,sciplex3_small_cellline->SciPlex2_cellline
SciPlex4_cellline,official_scperturb/SrivatsanTrapnell2020_sciplex4.h5ad,chemical_sciplex_series,SciPlex4 drug/metabolite perturbation.,98437,58347,500,cell_line,perturbation,,14,2,7,3,source,SciPlex4_cellline->sciplex3_small_cellline
sciplex3_small_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_sciplex_series,Processed sciplex3 subset already used in E55.,26046,5000,500,condition1,condition2,,27,3,9,3,target,SciPlex4_cellline->sciplex3_small_cellline
sciplex3_small_cellline,extra_official/cellular_context_generalization/sciplex3.h5ad,chemical_sciplex_series,Processed sciplex3 subset already used in E55.,26046,5000,500,condition1,condition2,,27,3,9,3,source,sciplex3_small_cellline->SciPlex4_cellline
SciPlex4_cellline,official_scperturb/SrivatsanTrapnell2020_sciplex4.h5ad,chemical_sciplex_series,SciPlex4 drug/metabolite perturbation.,98437,58347,500,cell_line,perturbation,,14,2,7,3,target,sciplex3_small_cellline->SciPlex4_cellline
