perturbation,selection_hash,n_cells_HepG2,n_cells_Jurkat
HSPA8,251fd1e0f7fd875e2564a7c88d4c03e5ce48e0bc6f0e78524637461267af23bb,59,155
FAU,256b450710a150ecfb6c5339bba39fa264e42df28b9fc416f96630bbbb21c67d,91,134
RNF14,2705410bd678eccda6e20724c57d9a631d95e9dc54f4dee6b8a3c2716820d320,65,165
EIF2B4,274c737ff380054763699b390c6e5e92972fc7e930ee4dbf8d144dfc8a141a9d,63,68
NOP58,27bd8fae73ad05b6749f84e14132d93659b808371b45a67f541d2f3a67c665a5,62,78
C12orf45,27edaa94980aa512881e258605015628a75ad34c7954a4cae2a7fc3370b07323,54,113
HSPE1,2847e6d3b1a629bc7e3f6408f2c194b561e2e3313416b3a7f1f0f483c5c955f4,87,159
C9orf16,288dacd72a0d7b4119e518f0ee11d0dbeed1ca4f15021020810634f3ca432913,72,145
GRB2,289bb19abcb4293be4654ba69bb7a6aeb9d2a0944cd10533d7148a204c5e2e3a,78,147
CPSF4,292c7273570f585f3d9dd23f51a8c41780437b45e7cfb6bd0473419a21fe41b0,65,114
PABPC4,2a0f1d66f3537507ec8fae9daa49464b0728848ac2c8e78e3cfae6c594113f41,69,130
DNAJA1,2b3e62c3fe69ae40ab531e3d4091f25d6bcc458700aef8bbd1180647b4faeec8,65,159
WDR4,2ba49dda6cbb9a0155c4b165df9df27a4dec2b74dbc019a4a4300b6f3dc66cc8,108,137
RPAP3,2c5163c5a20759711e549023cc2b1281f998791b4374c8a32c9bc123951b07ab,51,73
ARPC4,2cd3eed911b8c766e5b337851eb24b69f7dbddf4693ca8b8fdc01543fe96efda,66,148
HNRNPH1,2d0723f30c167e3e5f95437e315eaeb1bfe88c1ebe4e188fa3f2c4950436601d,63,69
SRSF11,2d446b28b32e34866d377e6b933e88506ef02438b16920cba9ee8292bc26a89f,118,264
RPL8,2db55b3e7e8a6d7a6e4dfd2d179e81922b51ea0ecb8d88892ecb303b343e9953,73,75
PPP1R2,2e4899ca23b7dde6c67950c0e57e9f96d52b46954cd30f6babd44ded33ae0890,104,99
RPS24,2e7066246f2fab9303c5e6ec056497ec499426aefcfecc889874ab37fbdc735f,66,87
PSMG3,2f814e0e6f516d346b9f095120c5769e8e59ab2512ab6dc5c75ee9cfaaf79d5e,129,277
RPL5,300ab6f9e0990fb61a646e7b85e402f78448c4fd3a8b19734c7c4d07f0230f74,52,60
FNBP4,301fc649bacc8629fb76c68a447dcf2f85f8e62b5ca964e5ca52165a8429dd19,111,263
MRPL49,304a353b0c66c3e06c52d74c669ebb68a77a9db69cb5b8efa3de9e3c9192304a,51,55
ZNF236,30806d565f6c121e0df18ed2ecc54551dd6027bb5a35a513e84800f6ef45f11a,202,477
SMC1A,31d95583a3d174abb29dd597e9bf583fc6cf2ba552c422ef63279f4af37b2fa9,76,59
ACTR6,3308776503db867bc36578dbc495c3f1b62116ba06bc2c6eafcade35365485be,51,102
COPS4,33c4f504fa5a5457980fbf3707d653e500b6dac127176bcd8d09f3215fa1fe46,63,80
PPP2CA,3419c029328fe93d810fa2207c67bf1791094679222d9ea2f6eaaf62894327f1,89,286
UBE2M,3430810fa39799e8f9c6b7634b0dfd9fe0e24a0c037ecc261115edeb78d73e91,74,191
NCAPH2,34461bdeb7e73ea8a6c65d5cd24aabae68e7c12af0a952983b56ebabdf665152,55,162
SPG7,3465472da26f78d0c3d3432614829baa987a14771f1689ce4e3d3f136911540f,62,163
PSAT1,34b2c91b3be6b25f726cb1b42ac23472688d663fb283e918a92bc5c21488048c,69,122
SURF6,35f2c83fd1c4baa49df769aa31c9c1b64ce85a63cd5b78171c7094b4332c47ea,66,138
CNN2,360cd00cda8191a85e5c0c4d4d241517a40f59b744f5a5c25bb2e5d7c3ae636e,75,174
RNASEH2C,361eed14131ba05edca757f1dfeb2ae63335807d1552c70df2bf7e2e46f005ae,132,287
HSP90B1,36d2bba183214586e861233331e7b2afa78619b90bc6f583ffbfd4789a2d22d2,60,166
KIAA1143,375d749da32d29a766026998b6ff0119bf30e348086bd93a0ada9cc82172b259,52,134
SETDB1,377b43d047ec0debc7045457144ff61f2258c39a1884b5bdd8144a329fe7c7d4,62,131
NKAPD1,37ed2a18b3edae2c5a555ff3daae284c803ee488050115d03b316a52207fea7d,59,150
SLC7A5,38f0385a5815bb7d0d577cd6ac8a645f1b55c4b24f3b0bab14b60fb00882052a,137,308
ZNF574,3a30e69a3219cddd56c3885919ce66ba15e963f5dc21c6f2b544de862d4a031b,64,205
ATP6V1G1,3a3cc7367e0c4b362a3846d4025a93cbecbd1a4da6f4dc757d1429c8526eaa7a,68,75
PYROXD1,3a5584df5e6187d387bc5282d2d5a837fab43cf162769751e7df5bd90a4f7e15,59,145
NARS2,3b1b8a4e34ef592749deb985990fa623ba9a7b0b78cc9bee03ec633c64cdc056,76,216
GRWD1,3b4c5a983a482b2948e148b8d754b7b2e1698684f16cd2bf2a8149e885802e3d,56,120
NOL6,3c236b313124225ed47ecca3bbb53a1e6f7b687b01fc6fedbe7410722f7cb2c4,60,97
