task_id,row_index,cell_type,sm_name,sm_lincs_id,SMILES,dose_uM,split,drug_support_rows,cell_type_support_rows,pair_support_rows,nearest_train_smiles_jaccard,predicted_l2,predicted_abs_mean,true_l2_diagnostic,de_adj_gene_count,rmse_all,mae_all,rmse_de_adj,risk_low_drug_support,risk_low_pair_support,risk_low_cell_type_support,risk_low_smiles_similarity,risk_predicted_magnitude,risk_oracle_true_magnitude_diagnostic,risk_safeconf_op_smoke
10,10,B cells,Lamivudine,LSM-5215,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,1.0,private_test,4,17,0,1.0,45.1255989074707,0.2627818286418915,100.89676666259766,3516,0.6727058291435242,0.5361720323562622,1.0372862815856934,-0.10910894511800284,-0.0,-0.0,-0.0,-0.4919393551918575,0.25382809200282846,-0.6010483003098603
11,11,Myeloid cells,Lamivudine,LSM-5215,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,1.0,private_test,4,17,0,1.0,45.1255989074707,0.2627818286418915,69.22554779052734,2,0.5236043930053711,0.39591047167778015,2.0586211681365967,-0.10910894511800284,-0.0,-0.0,-0.0,-0.4919393551918575,-0.31012813160114533,-0.6010483003098603
12,12,B cells,Cabozantinib,LSM-1195,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,1.0,private_test,4,17,0,1.0,40.78377914428711,0.2285986691713333,60.25590515136719,25,0.5257351994514465,0.397950679063797,1.0387985706329346,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5885823948151683,-0.4698468279446838,-0.6976913399331711
13,13,Myeloid cells,Cabozantinib,LSM-1195,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,1.0,private_test,4,17,0,1.0,40.78377914428711,0.2285986691713333,58.00811767578125,0,0.5289397239685059,0.4047201871871948,,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5885823948151683,-0.5098722447534335,-0.6976913399331711
14,14,B cells,Flutamide,LSM-2621,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1.0,private_test,4,17,0,1.0,52.72226333618164,0.31832510232925415,62.86049270629883,5,0.5275428891181946,0.4067841172218323,2.599653959274292,-0.10910894511800284,-0.0,-0.0,-0.0,-0.3228478724881654,-0.42346802050255844,-0.4319568176061682
15,15,Myeloid cells,Flutamide,LSM-2621,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1.0,private_test,4,17,0,1.0,52.72226333618164,0.31832510232925415,60.49406051635742,0,0.511391282081604,0.3804525136947632,,-0.10910894511800284,-0.0,-0.0,-0.0,-0.3228478724881654,-0.4656060944000282,-0.4319568176061682
16,16,B cells,Dasatinib,LSM-1020,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1.0,private_test,4,17,0,1.0,66.98724365234375,0.3957686126232147,83.12297058105469,491,0.6184874176979065,0.45868033170700073,1.4144456386566162,-0.10910894511800284,-0.0,-0.0,-0.0,-0.005328690874382353,-0.06266250337787421,-0.1144376359923852
17,17,Myeloid cells,Dasatinib,LSM-1020,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1.0,private_test,4,17,0,1.0,66.98724365234375,0.3957686126232147,211.27365112304688,8670,1.3524447679519653,1.0677648782730103,1.8332666158676147,-0.10910894511800284,-0.0,-0.0,-0.0,-0.005328690874382353,2.2192633720570822,-0.1144376359923852
18,18,B cells,Selumetinib,LSM-1056,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,1.0,public_test,4,17,0,1.0,56.04484176635742,0.3281896710395813,75.65497589111328,172,0.5581573843955994,0.4229578971862793,1.3079777956008911,-0.10910894511800284,-0.0,-0.0,-0.0,-0.24889176735413057,-0.1956419791677359,-0.3580007124721334
19,19,Myeloid cells,Selumetinib,LSM-1056,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,1.0,public_test,4,17,0,1.0,56.04484176635742,0.3281896710395813,134.0048065185547,4624,0.8639246821403503,0.674291729927063,1.3769254684448242,-0.10910894511800284,-0.0,-0.0,-0.0,-0.24889176735413057,0.8433691893478719,-0.3580007124721334
20,20,B cells,Trametinib,LSM-1143,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,1.0,private_test,4,17,0,1.0,54.46567916870117,0.32712146639823914,63.09794616699219,19,0.5949652791023254,0.47082212567329407,1.5508726835250854,-0.10910894511800284,-0.0,-0.0,-0.0,-0.28404179241759386,-0.4192397854758221,-0.3931507375355967
21,21,Myeloid cells,Trametinib,LSM-1143,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,1.0,private_test,4,17,0,1.0,54.46567916870117,0.32712146639823914,97.02476501464844,2618,0.6973323822021484,0.5437443852424622,1.0792043209075928,-0.10910894511800284,-0.0,-0.0,-0.0,-0.28404179241759386,0.18488096887548094,-0.3931507375355967
22,22,B cells,ABT-199 (GDC-0199),LSM-45468,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,1.0,private_test,4,17,0,1.0,43.86155319213867,0.25780102610588074,183.58551025390625,8260,1.2574083805084229,1.0327197313308716,1.7338861227035522,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5200753043596176,1.7262321620411771,-0.6291842494776204
23,23,Myeloid cells,ABT-199 (GDC-0199),LSM-45468,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,1.0,private_test,4,17,0,1.0,43.86155319213867,0.25780102610588074,55.70307922363281,0,0.5541682839393616,0.4225974977016449,,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5200753043596176,-0.550917105893336,-0.6291842494776204
24,24,B cells,Oxybenzone,LSM-3309,COc1ccc(C(=O)c2ccccc2)c(O)c1,1.0,public_test,4,17,0,1.0,59.71117401123047,0.36100953817367554,61.40449523925781,0,0.571162223815918,0.4444114863872528,,-0.10910894511800284,-0.0,-0.0,-0.0,-0.16728416691479714,-0.4493943619043893,-0.2763931120328
25,25,Myeloid cells,Oxybenzone,LSM-3309,COc1ccc(C(=O)c2ccccc2)c(O)c1,1.0,public_test,4,17,0,1.0,59.71117401123047,0.36100953817367554,52.14948654174805,0,0.5757268071174622,0.44016316533088684,,-0.10910894511800284,-0.0,-0.0,-0.0,-0.16728416691479714,-0.6141944529761085,-0.2763931120328
26,26,B cells,Vorinostat,LSM-3828,O=C(CCCCCCC(=O)Nc1ccccc1)NO,1.0,private_test,4,17,0,1.0,112.9271240234375,0.609175443649292,86.44200897216797,1347,0.7749518156051636,0.5928594470024109,1.2237743139266968,-0.10910894511800284,-0.0,-0.0,-0.0,1.017230954885385,-0.0035617670086932943,0.9081220097673822
27,27,Myeloid cells,Vorinostat,LSM-3828,O=C(CCCCCCC(=O)Nc1ccccc1)NO,1.0,private_test,4,17,0,1.0,112.9271240234375,0.609175443649292,164.4387969970703,7751,1.1957361698150635,0.9567693471908569,1.525197148323059,-0.10910894511800284,-0.0,-0.0,-0.0,1.017230954885385,1.385294601463879,0.9081220097673822
28,28,B cells,Raloxifene,LSM-3425,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.0,public_test,4,17,0,1.0,72.6646499633789,0.44264718890190125,60.43726348876953,0,0.647462010383606,0.5206129550933838,,-0.10910894511800284,-0.0,-0.0,-0.0,0.12104270015560607,-0.46661745545057004,0.01193375503760323
29,29,Myeloid cells,Raloxifene,LSM-3425,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.0,public_test,4,17,0,1.0,72.6646499633789,0.44264718890190125,65.31652069091797,48,0.6257820725440979,0.4751250445842743,1.543709397315979,-0.10910894511800284,-0.0,-0.0,-0.0,0.12104270015560607,-0.37973455154873326,0.01193375503760323
30,30,B cells,Lapatinib,LSM-1051,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1.0,private_test,4,17,0,1.0,51.49634552001953,0.3096885085105896,60.80772399902344,6,0.5180453062057495,0.3884921371936798,1.8219468593597412,-0.10910894511800284,-0.0,-0.0,-0.0,-0.3501351461532071,-0.4600208192048638,-0.45924409127120996
31,31,Myeloid cells,Lapatinib,LSM-1051,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1.0,private_test,4,17,0,1.0,51.49634552001953,0.3096885085105896,54.084129333496094,0,0.5130981206893921,0.3839714825153351,,-0.10910894511800284,-0.0,-0.0,-0.0,-0.3501351461532071,-0.5797450733275393,-0.45924409127120996
32,32,B cells,Canertinib,LSM-1120,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,1.0,private_test,4,17,0,1.0,58.00487518310547,0.33597332239151,64.73399353027344,38,0.5790744423866272,0.4435108006000519,1.8243844509124756,-0.10910894511800284,-0.0,-0.0,-0.0,-0.20526407263404806,-0.3901073704475204,-0.3143730177520509
33,33,Myeloid cells,Canertinib,LSM-1120,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,1.0,private_test,4,17,0,1.0,58.00487518310547,0.33597332239151,86.9687728881836,357,0.8770540952682495,0.6788029670715332,1.6988060474395752,-0.10910894511800284,-0.0,-0.0,-0.0,-0.20526407263404806,0.005818098982791783,-0.3143730177520509
34,34,B cells,Disulfiram,LSM-5467,CCN(CC)C(=S)SSC(=S)N(CC)CC,1.0,private_test,4,17,0,1.0,43.88005447387695,0.2556550204753876,73.2697525024414,69,0.5396648049354553,0.41748595237731934,1.424745798110962,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5196634908340364,-0.23811466012645685,-0.6287724359520392
35,35,Myeloid cells,Disulfiram,LSM-5467,CCN(CC)C(=S)SSC(=S)N(CC)CC,1.0,private_test,4,17,0,1.0,43.88005447387695,0.2556550204753876,64.36137390136719,8,0.5111292004585266,0.3868379592895508,2.880674123764038,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5196634908340364,-0.3967424532211739,-0.6287724359520392
36,36,B cells,Vardenafil,LSM-2292,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,1.0,private_test,4,17,0,1.0,37.710914611816406,0.2163408249616623,61.800628662109375,0,0.5119588971138,0.38584184646606445,,-0.10910894511800284,-0.0,-0.0,-0.0,-0.6569802060939308,-0.442340578780441,-0.7660891512119337
37,37,Myeloid cells,Vardenafil,LSM-2292,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,1.0,private_test,4,17,0,1.0,37.710914611816406,0.2163408249616623,56.1023063659668,1,0.4886476695537567,0.3647282123565674,2.2932956218719482,-0.10910894511800284,-0.0,-0.0,-0.0,-0.6569802060939308,-0.543808234193124,-0.7660891512119337
38,38,B cells,Ricolinostat,LSM-6324,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,1.0,public_test,4,17,0,1.0,50.39707946777344,0.26984649896621704,64.77047729492188,17,0.555065393447876,0.41989651322364807,1.0987178087234497,-0.10910894511800284,-0.0,-0.0,-0.0,-0.37460332273313107,-0.3894577192226308,-0.4837122678511339
39,39,Myeloid cells,Ricolinostat,LSM-6324,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,1.0,public_test,4,17,0,1.0,50.39707946777344,0.26984649896621704,62.385162353515625,147,0.5586293339729309,0.4191341996192932,1.1894798278808594,-0.10910894511800284,-0.0,-0.0,-0.0,-0.37460332273313107,-0.4319320304228194,-0.4837122678511339
40,40,B cells,Proscillaridin A;Proscillaridin-A,LSM-1476;LSM-5290,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,1.0,public_test,4,17,0,1.0,252.2554473876953,1.6788082122802734,110.88368225097656,6928,2.2242681980133057,1.9120796918869019,2.6263163089752197,-0.10910894511800284,-0.0,-0.0,-0.0,4.1184911199707,0.4316609447081167,4.009382174852697
41,41,Myeloid cells,Proscillaridin A;Proscillaridin-A,LSM-1476;LSM-5290,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,1.0,public_test,4,17,0,1.0,252.2554473876953,1.6788082122802734,192.8455810546875,9399,1.8022956848144531,1.4454199075698853,1.8521077632904053,-0.10910894511800284,-0.0,-0.0,-0.0,4.1184911199707,1.891122391880716,4.009382174852697
42,42,B cells,IN1451,LSM-4349,Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1.0,public_test,4,17,0,1.0,187.1757354736328,1.218910574913025,298.6533508300781,12496,1.5191444158554077,1.2916924953460693,1.6463079452514648,-0.10910894511800284,-0.0,-0.0,-0.0,2.669904693026831,3.7751973468585174,2.560795747908828
43,43,Myeloid cells,IN1451,LSM-4349,Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1.0,public_test,4,17,0,1.0,187.1757354736328,1.218910574913025,176.20750427246094,9988,1.257670283317566,0.9530701041221619,1.3082911968231201,-0.10910894511800284,-0.0,-0.0,-0.0,2.669904693026831,1.5948550777606365,2.560795747908828
44,44,B cells,Ixabepilone,LSM-43293,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,1.0,private_test,4,17,0,1.0,37.65355682373047,0.20875421166419983,58.83195877075195,5,0.5059449672698975,0.37699684500694275,2.8395941257476807,-0.10910894511800284,-0.0,-0.0,-0.0,-0.6582569129332378,-0.49520244897935417,-0.7673658580512407
45,45,Myeloid cells,Ixabepilone,LSM-43293,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,1.0,private_test,4,17,0,1.0,37.65355682373047,0.20875421166419983,54.54704284667969,6,0.48081591725349426,0.35683950781822205,3.0793581008911133,-0.10910894511800284,-0.0,-0.0,-0.0,-0.6582569129332378,-0.571502164906339,-0.7673658580512407
46,46,Myeloid cells,CEP-18770 (Delanzomib),LSM-45410,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cccc(-c2ccccc2)n1)[C@@H](C)O)B(O)O,1.0,private_test,4,17,0,1.0,228.0103302001953,1.5334206819534302,420.9946594238281,12140,2.3158748149871826,1.923342227935791,2.606386184692383,-0.10910894511800284,-0.0,-0.0,-0.0,3.5788275805276646,5.953678151907164,3.4697186354096616
47,47,B cells,RG7112,LSM-47459,CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,1.0,private_test,4,17,0,1.0,46.007511138916016,0.2510462701320648,61.86111068725586,23,0.5205100774765015,0.39371904730796814,1.9693036079406738,-0.10910894511800284,-0.0,-0.0,-0.0,-0.4723091808924625,-0.4412636005108231,-0.5814181260104654
48,48,Myeloid cells,RG7112,LSM-47459,CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,1.0,private_test,4,17,0,1.0,46.007511138916016,0.2510462701320648,59.748329162597656,80,0.5087507367134094,0.380953848361969,1.77298903465271,-0.10910894511800284,-0.0,-0.0,-0.0,-0.4723091808924625,-0.4788850224952242,-0.5814181260104654
49,49,B cells,MK-5108,LSM-36812,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,1.0,public_test,4,17,0,1.0,42.39487838745117,0.24757535755634308,58.606021881103516,2,0.5268848538398743,0.396437406539917,2.8767988681793213,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5527215031875472,-0.49922561321479586,-0.66183044830555
50,50,Myeloid cells,MK-5108,LSM-36812,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,1.0,public_test,4,17,0,1.0,42.39487838745117,0.24757535755634308,52.99844741821289,0,0.47985222935676575,0.35802778601646423,,-0.10910894511800284,-0.0,-0.0,-0.0,-0.5527215031875472,-0.5990773596993212,-0.66183044830555
51,51,B cells,Resminostat,LSM-45663,CN(C)Cc1ccc(S(=O)(=O)n2ccc(/C=C/C(=O)NO)c2)cc1,1.0,private_test,3,17,0,1.0,155.20562744140625,0.9231452941894531,92.43804168701172,1618,1.0064990520477295,0.8059842586517334,1.3727962970733643,9.165151389911676,-0.0,-0.0,-0.0,1.9582932983026708,0.10320709402340247,11.123444688214347
52,52,Myeloid cells,Resminostat,LSM-45663,CN(C)Cc1ccc(S(=O)(=O)n2ccc(/C=C/C(=O)NO)c2)cc1,1.0,private_test,3,17,0,1.0,155.20562744140625,0.9231452941894531,120.56376647949219,5203,1.0578951835632324,0.7838960886001587,1.208509922027588,9.165151389911676,-0.0,-0.0,-0.0,1.9582932983026708,0.6040301789877698,11.123444688214347
53,53,B cells,IMD-0354,LSM-3667,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,1.0,private_test,4,17,0,1.0,106.61221313476562,0.6269365549087524,110.86662292480469,4832,0.7272418737411499,0.5379125475883484,0.8383334279060364,-0.10910894511800284,-0.0,-0.0,-0.0,0.8766695735939373,0.4313571763812967,0.7675606284759344
54,54,Myeloid cells,IMD-0354,LSM-3667,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,1.0,private_test,4,17,0,1.0,106.61221313476562,0.6269365549087524,103.25324249267578,3525,0.8077679872512817,0.6053972244262695,1.0136780738830566,-0.10910894511800284,-0.0,-0.0,-0.0,0.8766695735939373,0.29578887714068275,0.7675606284759344
55,55,B cells,LY2090314,LSM-45915,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,1.0,private_test,4,17,0,1.0,90.41331481933594,0.44824233651161194,73.2210464477539,378,0.7337033748626709,0.5578799247741699,1.3763200044631958,-0.10910894511800284,-0.0,-0.0,-0.0,0.5161039911561808,-0.23898194858728822,0.40699504603817793
56,56,Myeloid cells,LY2090314,LSM-45915,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,1.0,private_test,4,17,0,1.0,90.41331481933594,0.44824233651161194,99.3571548461914,3086,0.9406760931015015,0.6990842819213867,1.536280870437622,-0.10910894511800284,-0.0,-0.0,-0.0,0.5161039911561808,0.2264128646538671,0.40699504603817793
57,57,B cells,Methotrexate,LSM-5690,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1.0,public_test,4,17,0,1.0,59.18609619140625,0.3473546802997589,63.2710075378418,69,0.5382669568061829,0.417315810918808,0.8022004961967468,-0.10910894511800284,-0.0,-0.0,-0.0,-0.17897168950080733,-0.41615815361472114,-0.28808063461881017
58,58,Myeloid cells,Methotrexate,LSM-5690,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1.0,public_test,4,17,0,1.0,59.18609619140625,0.3473546802997589,57.50929641723633,0,0.526115357875824,0.3992503583431244,,-0.10910894511800284,-0.0,-0.0,-0.0,-0.17897168950080733,-0.5187545474636224,-0.28808063461881017
59,59,B cells,Tacalcitol,LSM-45518,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,1.0,private_test,4,17,0,1.0,54.25837707519531,0.31273531913757324,70.73178100585938,10,0.5450159907341003,0.4109795391559601,1.710766077041626,-0.10910894511800284,-0.0,-0.0,-0.0,-0.2886560568342246,-0.28330726312062654,-0.3977650019522274
60,60,Myeloid cells,Tacalcitol,LSM-45518,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,1.0,private_test,4,17,0,1.0,54.25837707519531,0.31273531913757324,103.9859619140625,3539,0.8435871005058289,0.6082660555839539,1.438261866569519,-0.10910894511800284,-0.0,-0.0,-0.0,-0.2886560568342246,0.30883610716727794,-0.3977650019522274
61,61,B cells,Colchicine,LSM-5199,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1.0,public_test,4,17,0,1.0,79.15216827392578,0.46891912817955017,97.99154663085938,3440,0.637705385684967,0.47485965490341187,0.754901647567749,-0.10910894511800284,-0.0,-0.0,-0.0,0.26544608936571334,0.20209604706777867,0.1563371442477105
62,62,Myeloid cells,Colchicine,LSM-5199,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1.0,public_test,4,17,0,1.0,79.15216827392578,0.46891912817955017,140.14215087890625,5676,1.0517019033432007,0.7286020517349243,1.6054714918136597,-0.10910894511800284,-0.0,-0.0,-0.0,0.26544608936571334,0.9526543280854061,0.1563371442477105
63,63,B cells,TL_HRAS26,LSM-2013,Cc1onc(C(=O)N2CCN(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)CC2)c1[N+](=O)[O-],1.0,public_test,4,17,0,1.0,38.533355712890625,0.21304284036159515,62.158912658691406,3,0.5394742488861084,0.4132313132286072,1.9217952489852905,-0.10910894511800284,-0.0,-0.0,-0.0,-0.6386737787767649,-0.43596076464994254,-0.7477827238947677
