unit_id,study_id,lane,endpoint_id,perturbation_family,candidate_name,role,synthetic_kind,n_tasks,required_resolution,score_all_finite,score_unique,score_unique_fraction,score_std,G2_score_estimability_passed,prediction_all_finite,n_predictors,vector_dimensions,min_quantized_unique_vectors,min_predictor_max_coordinate_std,prediction_unique_fraction_min,G3_prediction_task_conditioning_passed,G4_replicate_stability_evaluated,G4_replicate_stability_passed,score_vs_magnitude_spearman,G5_exact_weak_order_equivalent,G5_near_redundant_abs_rho_ge_0_98,predictor_viability_fraction_vs_simple,authorization_status,reason_codes,target_truth_used_for_G0_to_G5,aurc_delta_vs_magnitude
SYN::Liang::prediction_collapse,Liang,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_score_with_collapsed_prediction,synthetic_negative,prediction_collapse,612,306,True,552,0.90196078431372551,0.0089681964542243104,True,True,2,512;512,1,0,0.0016339869281045752,False,False,,0.4107513756681917,False,False,,ABSTAIN_PREDICTOR_COLLAPSE,G3_PREDICTOR_COLLAPSE,False,-0.0016871210201473003
SYN::Liang::magnitude_clone,Liang,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_magnitude_clone,synthetic_baseline_clone,magnitude_clone,612,306,True,612,1,0.007248831931155466,True,True,2,512;512,560,0.038537252869466646,0.91503267973856206,True,False,,1,True,True,,ASSOCIATION_ONLY_BASELINE_EQUIVALENT,G5_BASELINE_EQUIVALENT,False,0
SYN::Nadig_two_cellline::constant_score,Nadig_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_exact_constant,synthetic_negative,exact_constant,256,128,True,1,0.00390625,5.5511151231257827e-17,False,True,2,512;512,256,0.071671359101751514,1,True,False,,,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.010523922739696906
SYN::Nadig_two_cellline::epsilon_jitter,Nadig_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_machine_epsilon_jitter,synthetic_negative,epsilon_jitter,256,128,True,256,1,7.3900270577881235e-11,False,True,2,512;512,256,0.071671359101751514,1,True,False,,-0.2350816834515907,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.010523922739696906
SYN::Nadig_two_cellline::prediction_collapse,Nadig_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_score_with_collapsed_prediction,synthetic_negative,prediction_collapse,256,128,True,243,0.94921875,0.044248335403352525,True,True,2,512;512,1,0,0.00390625,False,False,,0.30449944447546407,False,False,,ABSTAIN_PREDICTOR_COLLAPSE,G3_PREDICTOR_COLLAPSE,False,0.0052981953501263779
SYN::Nadig_two_cellline::magnitude_clone,Nadig_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_magnitude_clone,synthetic_baseline_clone,magnitude_clone,256,128,True,256,1,0.023218645009126678,True,True,2,512;512,256,0.071671359101751514,1,True,False,,0.99999999999999978,True,True,,ASSOCIATION_ONLY_BASELINE_EQUIVALENT,G5_BASELINE_EQUIVALENT,False,0
SYN::Replogle_two_cellline::constant_score,Replogle_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_exact_constant,synthetic_negative,exact_constant,256,128,True,1,0.00390625,5.5511151231257827e-17,False,True,2,512;512,256,0.10861596359043488,1,True,False,,,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,-0.014379159829192578
SYN::Replogle_two_cellline::epsilon_jitter,Replogle_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_machine_epsilon_jitter,synthetic_negative,epsilon_jitter,256,128,True,256,1,7.3900269927950461e-11,False,True,2,512;512,256,0.10861596359043488,1,True,False,,-0.24770761467649147,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,-0.014379159829192578
SYN::Replogle_two_cellline::prediction_collapse,Replogle_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_score_with_collapsed_prediction,synthetic_negative,prediction_collapse,256,128,True,125,0.48828125,0.27090468704493514,False,True,2,512;512,1,0,0.00390625,False,False,,0.18765136661281226,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION;G3_PREDICTOR_COLLAPSE,False,0.011394432196880314
SYN::Replogle_two_cellline::magnitude_clone,Replogle_two_cellline,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_magnitude_clone,synthetic_baseline_clone,magnitude_clone,256,128,True,255,0.99609375,0.0036035140770409547,True,True,2,512;512,256,0.10861596359043488,1,True,False,,1,True,True,,ASSOCIATION_ONLY_BASELINE_EQUIVALENT,G5_BASELINE_EQUIVALENT,False,0
SYN::Santinha::constant_score,Santinha,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_exact_constant,synthetic_negative,exact_constant,255,128,True,1,0.0039215686274509803,6.9388939039072284e-18,False,True,2,512;512,254,0.034905868120032588,0.99607843137254903,True,False,,,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.0024211957552091809
SYN::Santinha::epsilon_jitter,Santinha,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_machine_epsilon_jitter,synthetic_negative,epsilon_jitter,255,128,True,255,1,7.3611593366828158e-11,False,True,2,512;512,254,0.034905868120032588,0.99607843137254903,True,False,,0.12926629805465492,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.0024211957552091809
SYN::Santinha::prediction_collapse,Santinha,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_score_with_collapsed_prediction,synthetic_negative,prediction_collapse,255,128,True,73,0.28627450980392155,0.0072359410227523817,False,True,2,512;512,1,0,0.0039215686274509803,False,False,,0.63207127103573502,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION;G3_PREDICTOR_COLLAPSE,False,0.00023499381667339836
SYN::Santinha::magnitude_clone,Santinha,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_magnitude_clone,synthetic_baseline_clone,magnitude_clone,255,128,True,255,1,0.0024058604030807863,True,True,2,512;512,254,0.034905868120032588,0.99607843137254903,True,False,,1,True,True,,ASSOCIATION_ONLY_BASELINE_EQUIVALENT,G5_BASELINE_EQUIVALENT,False,0
SYN::Shifrut::constant_score,Shifrut,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_exact_constant,synthetic_negative,exact_constant,172,86,True,1,0.0058139534883720929,1.3877787807814457e-17,False,True,2,512;512,172,0.074476401951501153,1,True,False,,,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.0095951285676356274
SYN::Shifrut::epsilon_jitter,Shifrut,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_machine_epsilon_jitter,synthetic_negative,epsilon_jitter,172,86,True,172,1,4.9651284046482331e-11,False,True,2,512;512,172,0.074476401951501153,1,True,False,,-0.50649375151819598,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.0095951285676356274
SYN::Shifrut::prediction_collapse,Shifrut,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_score_with_collapsed_prediction,synthetic_negative,prediction_collapse,172,86,True,172,1,0.015168615194634475,True,True,2,512;512,1,0,0.0058139534883720929,False,False,,0.9280557894265169,False,False,,ABSTAIN_PREDICTOR_COLLAPSE,G3_PREDICTOR_COLLAPSE,False,6.0290912682045561e-05
SYN::Shifrut::magnitude_clone,Shifrut,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_magnitude_clone,synthetic_baseline_clone,magnitude_clone,172,86,True,172,1,0.017078360377386661,True,True,2,512;512,172,0.074476401951501153,1,True,False,,0.99999999999999989,True,True,,ASSOCIATION_ONLY_BASELINE_EQUIVALENT,G5_BASELINE_EQUIVALENT,False,0
SYN::Tian_CRISPRi::constant_score,Tian_CRISPRi,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_exact_constant,synthetic_negative,exact_constant,732,366,True,1,0.001366120218579235,4.163336342344337e-17,False,True,2,512;512,703,0.025264600738268635,0.9603825136612022,True,False,,,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.00086827070056000322
SYN::Tian_CRISPRi::epsilon_jitter,Tian_CRISPRi,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_machine_epsilon_jitter,synthetic_negative,epsilon_jitter,732,366,True,732,1,2.1131000132610428e-10,False,True,2,512;512,703,0.025264600738268635,0.9603825136612022,True,False,,-0.62006030679999136,False,False,,ABSTAIN_SCORE_SATURATION,G2_SCORE_SATURATION,False,0.00086827070056000322
SYN::Tian_CRISPRi::prediction_collapse,Tian_CRISPRi,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_score_with_collapsed_prediction,synthetic_negative,prediction_collapse,732,366,True,732,1,0.010286066163345129,True,True,2,512;512,1,0,0.001366120218579235,False,False,,0.14091171469854416,False,False,,ABSTAIN_PREDICTOR_COLLAPSE,G3_PREDICTOR_COLLAPSE,False,-0.00089526956965649274
SYN::Tian_CRISPRi::magnitude_clone,Tian_CRISPRi,STRUCTURAL_RISK,two_predictor_mean_absolute_rmse,genetic,synthetic_magnitude_clone,synthetic_baseline_clone,magnitude_clone,732,366,True,732,1,0.0078214582453662255,True,True,2,512;512,703,0.025264600738268635,0.9603825136612022,True,False,,0.99999999999999989,True,True,,ASSOCIATION_ONLY_BASELINE_EQUIVALENT,G5_BASELINE_EQUIVALENT,False,0
