context,perturbation,n_cells,dataset
Adamson,SAMM50,838,Adamson
Adamson,SCYL1,1268,Adamson
Adamson,SEC61A1,1228,Adamson
Adamson,SEC61B,1760,Adamson
Adamson,SEC61G,674,Adamson
Adamson,SEC63,684,Adamson
Adamson,SEL1L,464,Adamson
Adamson,SLC35B1,644,Adamson
Adamson,SLC39A7,626,Adamson
Adamson,SOCS1,462,Adamson
Adamson,SPCS2,612,Adamson
Adamson,SPCS3,672,Adamson
Adamson,SRP68,729,Adamson
Adamson,SRP72,541,Adamson
Adamson,SRPRB,732,Adamson
Adamson,STT3A,523,Adamson
Adamson,SYVN1,676,Adamson
Adamson,TELO2,711,Adamson
Adamson,TIMM23,789,Adamson
Adamson,TIMM44,605,Adamson
Adamson,TMED10,649,Adamson
Adamson,TMED2,534,Adamson
Adamson,TMEM167A,488,Adamson
Adamson,TTI1,542,Adamson
Adamson,TTI2,682,Adamson
Adamson,UFL1,611,Adamson
Adamson,UFM1,723,Adamson
Adamson,XBP1,66,Adamson
Adamson,XRN1,810,Adamson
Adamson,YIPF5,1457,Adamson
Adamson,control,7629,Adamson
