dataset,context_identity,fold_id,heldout_context,context,perturbation,split,setting,n_cells,selected_without_expression
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,EIF2AK3,train,source_train,173,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,EIF2B2,train,source_train,638,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,EIF2B4,train,source_train,654,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,FARSB,train,source_train,655,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,GBF1,train,source_train,1012,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,GNPNAT1,train,source_train,514,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,HSD17B12,train,source_train,421,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,HSPA5,train,source_train,1242,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,HYOU1,train,source_train,514,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,IDH3A,train,source_train,690,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,KCTD16,train,source_train,480,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,MANF,train,source_train,578,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,MRGBP,train,source_train,586,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,MRPL39,train,source_train,712,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,MTHFD1,train,source_train,540,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,PDIA6,train,source_train,618,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,PSMA1,train,source_train,30,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,PSMD4,train,source_train,639,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SAMM50,train,source_train,838,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SEC61B,train,source_train,1760,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SEC61G,train,source_train,674,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SEC63,train,source_train,684,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SEL1L,train,source_train,464,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SLC35B1,train,source_train,644,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SLC39A7,train,source_train,626,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SOCS1,train,source_train,462,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SPCS2,train,source_train,612,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SPCS3,train,source_train,672,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SRP68,train,source_train,729,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SRP72,train,source_train,541,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SRPRB,train,source_train,732,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SYVN1,train,source_train,676,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,TELO2,train,source_train,711,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,TIMM23,train,source_train,789,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,TIMM44,train,source_train,605,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,TMED2,train,source_train,534,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,TMEM167A,train,source_train,488,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,TTI1,train,source_train,542,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,TTI2,train,source_train,682,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,XBP1,train,source_train,66,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,XRN1,train,source_train,810,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,YIPF5,train,source_train,1457,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,ARHGAP22,val,source_validation,513,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,DHDDS,val,source_validation,526,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,ERN1,val,source_validation,88,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,NEDD8,val,source_validation,518,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,PPWD1,val,source_validation,241,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,PTDSS1,val,source_validation,557,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,SCYL1,val,source_validation,1268,True
Adamson,single_context,Adamson_perturbation_holdout,NA,Adamson,UFM1,val,source_validation,723,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,CMTM6,test,context_and_perturbation_unseen,345,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,CUL3,test,context_and_perturbation_unseen,136,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,IRF1,test,context_and_perturbation_unseen,610,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,IRF7,test,context_and_perturbation_unseen,317,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,STAT1,test,context_and_perturbation_unseen,248,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,ATF2,test,context_unseen,481,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,BRD4,test,context_unseen,122,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,CAV1,test,context_unseen,357,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,CD86,test,context_unseen,560,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,ETV7,test,context_unseen,367,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,IFNGR1,test,context_unseen,680,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,IFNGR2,test,context_unseen,522,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,JAK2,test,context_unseen,417,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,MARCH8,test,context_unseen,477,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,MYC,test,context_unseen,34,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,NFKBIA,test,context_unseen,403,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,PDCD1LG2,test,context_unseen,185,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,POU2F2,test,context_unseen,352,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,SMAD4,test,context_unseen,369,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,STAT2,test,context_unseen,300,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,STAT3,test,context_unseen,218,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,STAT5A,test,context_unseen,288,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,TNFRSF14,test,context_unseen,414,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep1,UBE2L6,test,context_unseen,234,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,CMTM6,test,perturbation_unseen,214,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,CUL3,test,perturbation_unseen,69,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,IRF1,test,perturbation_unseen,267,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,IRF7,test,perturbation_unseen,121,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,STAT1,test,perturbation_unseen,88,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,CMTM6,test,perturbation_unseen,258,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,CUL3,test,perturbation_unseen,69,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,IRF1,test,perturbation_unseen,196,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,IRF7,test,perturbation_unseen,176,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,STAT1,test,perturbation_unseen,108,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,IFNGR1,test,random_pair,331,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,IFNGR2,test,random_pair,306,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,ATF2,test,random_pair,335,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,ATF2,train,source_train,286,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,BRD4,train,source_train,83,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,CAV1,train,source_train,239,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,CD86,train,source_train,309,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,ETV7,train,source_train,204,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,JAK2,train,source_train,329,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,MARCH8,train,source_train,224,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,MYC,train,source_train,35,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,NFKBIA,train,source_train,194,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,PDCD1LG2,train,source_train,175,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,POU2F2,train,source_train,152,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,SMAD4,train,source_train,159,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,STAT2,train,source_train,183,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,STAT3,train,source_train,110,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,STAT5A,train,source_train,173,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,TNFRSF14,train,source_train,257,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep2,UBE2L6,train,source_train,112,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,BRD4,train,source_train,136,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,CAV1,train,source_train,286,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,CD86,train,source_train,328,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,ETV7,train,source_train,270,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,IFNGR1,train,source_train,330,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,JAK2,train,source_train,278,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,MYC,train,source_train,40,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,NFKBIA,train,source_train,190,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,PDCD1LG2,train,source_train,257,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,POU2F2,train,source_train,158,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,SMAD4,train,source_train,131,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,STAT2,train,source_train,178,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,STAT5A,train,source_train,198,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,TNFRSF14,train,source_train,293,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,UBE2L6,train,source_train,172,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,IFNGR2,val,source_validation,385,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,MARCH8,val,source_validation,302,True
Papalexi,technical_replicate,Papalexi_holdout_rep1,rep1,rep3,STAT3,val,source_validation,165,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,BRD4,test,context_and_perturbation_unseen,83,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,CMTM6,test,context_and_perturbation_unseen,214,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,STAT2,test,context_and_perturbation_unseen,183,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,TNFRSF14,test,context_and_perturbation_unseen,257,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,UBE2L6,test,context_and_perturbation_unseen,112,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,ATF2,test,context_unseen,286,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,CAV1,test,context_unseen,239,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,CD86,test,context_unseen,309,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,CUL3,test,context_unseen,69,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,ETV7,test,context_unseen,204,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,IFNGR1,test,context_unseen,331,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,IFNGR2,test,context_unseen,306,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,IRF1,test,context_unseen,267,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,IRF7,test,context_unseen,121,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,JAK2,test,context_unseen,329,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,MARCH8,test,context_unseen,224,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,MYC,test,context_unseen,35,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,NFKBIA,test,context_unseen,194,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,PDCD1LG2,test,context_unseen,175,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,POU2F2,test,context_unseen,152,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,SMAD4,test,context_unseen,159,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,STAT1,test,context_unseen,88,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,STAT3,test,context_unseen,110,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep2,STAT5A,test,context_unseen,173,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,BRD4,test,perturbation_unseen,122,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,CMTM6,test,perturbation_unseen,345,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,STAT2,test,perturbation_unseen,300,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,TNFRSF14,test,perturbation_unseen,414,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,UBE2L6,test,perturbation_unseen,234,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,BRD4,test,perturbation_unseen,136,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,CMTM6,test,perturbation_unseen,258,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,STAT2,test,perturbation_unseen,178,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,TNFRSF14,test,perturbation_unseen,293,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,UBE2L6,test,perturbation_unseen,172,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,CD86,test,random_pair,560,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,JAK2,test,random_pair,278,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,STAT3,test,random_pair,165,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,ATF2,train,source_train,481,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,CUL3,train,source_train,136,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,ETV7,train,source_train,367,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,IFNGR1,train,source_train,680,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,IFNGR2,train,source_train,522,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,IRF1,train,source_train,610,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,IRF7,train,source_train,317,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,JAK2,train,source_train,417,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,MARCH8,train,source_train,477,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,MYC,train,source_train,34,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,NFKBIA,train,source_train,403,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,PDCD1LG2,train,source_train,185,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,SMAD4,train,source_train,369,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,STAT1,train,source_train,248,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,STAT3,train,source_train,218,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,STAT5A,train,source_train,288,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,ATF2,train,source_train,335,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,CAV1,train,source_train,286,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,CD86,train,source_train,328,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,CUL3,train,source_train,69,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,ETV7,train,source_train,270,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,IFNGR1,train,source_train,330,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,IFNGR2,train,source_train,385,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,IRF1,train,source_train,196,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,IRF7,train,source_train,176,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,MARCH8,train,source_train,302,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,MYC,train,source_train,40,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,NFKBIA,train,source_train,190,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,PDCD1LG2,train,source_train,257,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,POU2F2,train,source_train,158,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,STAT1,train,source_train,108,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,STAT5A,train,source_train,198,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,CAV1,val,source_validation,357,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep1,POU2F2,val,source_validation,352,True
Papalexi,technical_replicate,Papalexi_holdout_rep2,rep2,rep3,SMAD4,val,source_validation,131,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,CUL3,test,context_and_perturbation_unseen,69,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,ETV7,test,context_and_perturbation_unseen,270,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,IFNGR2,test,context_and_perturbation_unseen,385,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,STAT5A,test,context_and_perturbation_unseen,198,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,UBE2L6,test,context_and_perturbation_unseen,172,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,ATF2,test,context_unseen,335,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,BRD4,test,context_unseen,136,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,CAV1,test,context_unseen,286,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,CD86,test,context_unseen,328,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,CMTM6,test,context_unseen,258,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,IFNGR1,test,context_unseen,330,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,IRF1,test,context_unseen,196,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,IRF7,test,context_unseen,176,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,JAK2,test,context_unseen,278,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,MARCH8,test,context_unseen,302,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,MYC,test,context_unseen,40,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,NFKBIA,test,context_unseen,190,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,PDCD1LG2,test,context_unseen,257,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,POU2F2,test,context_unseen,158,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,SMAD4,test,context_unseen,131,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,STAT1,test,context_unseen,108,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,STAT2,test,context_unseen,178,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,STAT3,test,context_unseen,165,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep3,TNFRSF14,test,context_unseen,293,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,CUL3,test,perturbation_unseen,136,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,ETV7,test,perturbation_unseen,367,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,IFNGR2,test,perturbation_unseen,522,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,STAT5A,test,perturbation_unseen,288,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,UBE2L6,test,perturbation_unseen,234,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep2,CUL3,test,perturbation_unseen,69,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep2,ETV7,test,perturbation_unseen,204,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep2,IFNGR2,test,perturbation_unseen,306,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep2,STAT5A,test,perturbation_unseen,173,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep2,UBE2L6,test,perturbation_unseen,112,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,STAT2,test,random_pair,300,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep2,CD86,test,random_pair,309,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep2,CMTM6,test,random_pair,214,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,ATF2,train,source_train,481,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,BRD4,train,source_train,122,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,CAV1,train,source_train,357,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,CD86,train,source_train,560,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,CMTM6,train,source_train,345,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,IFNGR1,train,source_train,680,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,IRF1,train,source_train,610,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,IRF7,train,source_train,317,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,JAK2,train,source_train,417,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,MARCH8,train,source_train,477,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,MYC,train,source_train,34,True
Papalexi,technical_replicate,Papalexi_holdout_rep3,rep3,rep1,NFKBIA,train,source_train,403,True
