study_family,dataset_family,perturbation_type_manifest,local_path,read_status,n_cells,n_genes,perturbation_column,context_column,n_context_labels,n_raw_perturbation_labels,n_single_gene_like_labels,n_e201_gene_overlap,integration_status,expression_values_read
DixitRegev2016,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DixitRegev2016_K562_TFs_High_MOI.h5ad,PASS,51898,23529,perturbation,celltype,1,1726,27,0,EXPLICIT_PERTURBATION_COLUMN,False
Frangieh,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Frangieh.h5ad,PASS,110188,5124,perturbation,,1,212,211,8,EXPLICIT_PERTURBATION_COLUMN,False
FrangiehIzar2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/FrangiehIzar2021_RNA.h5ad,PASS,218331,23712,perturbation,celltype,1,249,248,13,EXPLICIT_PERTURBATION_COLUMN,False
FrangiehIzar2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/FrangiehIzar2021_protein.h5ad,PASS,218331,24,perturbation,celltype,1,249,248,13,EXPLICIT_PERTURBATION_COLUMN,False
GasperiniShendure2019,official_scperturb,enhancer_regulatory,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GasperiniShendure2019_atscale.h5ad,PASS,207324,13135,perturbation,celltype,1,203496,96,13,EXPLICIT_PERTURBATION_COLUMN,False
GasperiniShendure2019,official_scperturb,enhancer_regulatory,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GasperiniShendure2019_highMOI.h5ad,PASS,47650,32738,perturbation,celltype,1,39088,113,8,EXPLICIT_PERTURBATION_COLUMN,False
GasperiniShendure2019,official_scperturb,enhancer_regulatory,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GasperiniShendure2019_lowMOI.h5ad,PASS,41284,32738,perturbation,celltype,1,16532,381,52,EXPLICIT_PERTURBATION_COLUMN,False
GehringPachter2019,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GehringPachter2019.h5ad,PASS,20382,13256,perturbation,celltype,1,1,1,0,EXPLICIT_PERTURBATION_COLUMN,False
Haber,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,PASS,9842,5000,perturbation,cell_type,8,4,1,0,EXPLICIT_PERTURBATION_COLUMN,False
JoungZhang2023,official_scperturb,enhancer_regulatory,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/JoungZhang2023_atlas.h5ad,PASS,1145823,37528,perturbation,celltype,1,3369,0,0,EXPLICIT_PERTURBATION_COLUMN,False
JoungZhang2023,official_scperturb,enhancer_regulatory,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/JoungZhang2023_combinatorial.h5ad,PASS,167947,37302,perturbation,celltype,1,57,0,0,EXPLICIT_PERTURBATION_COLUMN,False
KaggleCrossCell,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,PASS,23653,5000,perturbation,cell_type,5,11,10,0,EXPLICIT_PERTURBATION_COLUMN,False
KaggleCrossPatient,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,PASS,25583,5000,perturbation,cell_type,6,11,10,0,EXPLICIT_PERTURBATION_COLUMN,False
LaraAstiasoHuntly2023,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,PASS,146793,32287,perturbation,celltype,9,44,43,9,EXPLICIT_PERTURBATION_COLUMN,False
LaraAstiasoHuntly2023,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,PASS,135836,32287,perturbation,celltype,20,42,41,9,EXPLICIT_PERTURBATION_COLUMN,False
LaraAstiasoHuntly2023,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,PASS,182949,32287,perturbation,celltype,7,60,59,10,EXPLICIT_PERTURBATION_COLUMN,False
LiangWang2023,official_scperturb,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LiangWang2023.h5ad,PASS,41383,17444,perturbation,celltype,1,78,77,2,EXPLICIT_PERTURBATION_COLUMN,False
LotfollahiTheis2023,official_scperturb,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LotfollahiTheis2023.h5ad,PASS,63430,58347,perturbation,celltype,1,32,6,0,EXPLICIT_PERTURBATION_COLUMN,False
McFarland,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/McFarland.h5ad,PASS,8464,5000,perturbation,cell_line,5,12,11,0,EXPLICIT_PERTURBATION_COLUMN,False
McFarlandTsherniak2020,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/McFarlandTsherniak2020.h5ad,PASS,182875,32738,perturbation,cell_line,209,18,17,0,EXPLICIT_PERTURBATION_COLUMN,False
NadigOConner2024,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/NadigOConner2024_hepg2.h5ad,PASS,145473,9624,perturbation,cell_line,1,2394,2393,575,EXPLICIT_PERTURBATION_COLUMN,False
NadigOConner2024,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/NadigOConner2024_jurkat.h5ad,PASS,262956,8882,perturbation,cell_line,1,2394,2393,575,EXPLICIT_PERTURBATION_COLUMN,False
Norman,official_generalization,genetic_combinatorial,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Norman.h5ad,PASS,96994,5025,perturbation,,1,227,101,0,EXPLICIT_PERTURBATION_COLUMN,False
NormanWeissman2019,official_scperturb,genetic_combinatorial,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/NormanWeissman2019_filtered.h5ad,PASS,111445,33694,perturbation,celltype,1,237,105,0,EXPLICIT_PERTURBATION_COLUMN,False
Papalexi,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Papalexi.h5ad,PASS,20343,5013,perturbation,replicate,3,26,25,0,EXPLICIT_PERTURBATION_COLUMN,False
PapalexiSatija2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_RNA.h5ad,PASS,20729,18649,perturbation,celltype,1,99,98,0,EXPLICIT_PERTURBATION_COLUMN,False
PapalexiSatija2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_arrayed_RNA.h5ad,PASS,8984,16826,perturbation,celltype,1,11,10,0,EXPLICIT_PERTURBATION_COLUMN,False
PapalexiSatija2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_arrayed_protein.h5ad,PASS,8984,4,perturbation,celltype,1,11,10,0,EXPLICIT_PERTURBATION_COLUMN,False
PapalexiSatija2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_protein.h5ad,PASS,20729,4,perturbation,celltype,1,99,98,0,EXPLICIT_PERTURBATION_COLUMN,False
Parekh,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,PASS,4346,5000,perturbation,cell_type,3,11,10,0,EXPLICIT_PERTURBATION_COLUMN,False
Replogle,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_K562essential.h5ad,PASS,263245,5822,perturbation,,1,1618,1617,524,EXPLICIT_PERTURBATION_COLUMN,False
Replogle,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_RPE1essential.h5ad,PASS,173912,5687,perturbation,,1,1331,1330,320,EXPLICIT_PERTURBATION_COLUMN,False
Replogle,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_exp6.h5ad,PASS,27104,5019,perturbation,,1,70,34,6,EXPLICIT_PERTURBATION_COLUMN,False
Replogle,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_exp7.h5ad,PASS,102148,5087,perturbation,,1,105,104,21,EXPLICIT_PERTURBATION_COLUMN,False
Replogle,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_exp8.h5ad,PASS,54956,5031,perturbation,,1,62,61,7,EXPLICIT_PERTURBATION_COLUMN,False
ReplogleWeissman2022,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ReplogleWeissman2022_K562_essential.h5ad,PASS,310385,8563,perturbation,cell_line,1,2058,2057,575,EXPLICIT_PERTURBATION_COLUMN,False
ReplogleWeissman2022,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ReplogleWeissman2022_K562_gwps.h5ad,PASS,1989578,8248,perturbation,cell_line,1,9867,9866,573,EXPLICIT_PERTURBATION_COLUMN,False
ReplogleWeissman2022,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ReplogleWeissman2022_rpe1.h5ad,PASS,247914,8749,perturbation,celltype,1,2394,2393,575,EXPLICIT_PERTURBATION_COLUMN,False
SantinhaPlatt2023,official_scperturb,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SantinhaPlatt2023.h5ad,PASS,100134,30556,perturbation,tissue,1,31,30,0,EXPLICIT_PERTURBATION_COLUMN,False
SchiebingerLander2019,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchiebingerLander2019_GSE106340.h5ad,PASS,68339,27998,perturbation,celltype,1,3,1,0,EXPLICIT_PERTURBATION_COLUMN,False
SchiebingerLander2019,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchiebingerLander2019_GSE115943.h5ad,PASS,259155,27998,perturbation,celltype,1,3,1,0,EXPLICIT_PERTURBATION_COLUMN,False
Schmidt,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Schmidt.h5ad,PASS,60572,5005,perturbation,,1,148,67,0,EXPLICIT_PERTURBATION_COLUMN,False
SchraivogelSteinmetz2020,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad,PASS,120310,3185,perturbation,celltype,1,3105,17,0,EXPLICIT_PERTURBATION_COLUMN,False
SchraivogelSteinmetz2020,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad,PASS,112260,4191,perturbation,celltype,1,4115,17,0,EXPLICIT_PERTURBATION_COLUMN,False
ShifrutMarson2018,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ShifrutMarson2018.h5ad,PASS,52236,33694,perturbation,celltype,1,22,21,0,EXPLICIT_PERTURBATION_COLUMN,False
SrivatsanTrapnell2020,official_scperturb,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SrivatsanTrapnell2020_sciplex2.h5ad,PASS,24262,58347,perturbation,celltype,1,5,4,0,EXPLICIT_PERTURBATION_COLUMN,False
SrivatsanTrapnell2020,official_scperturb,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SrivatsanTrapnell2020_sciplex3.h5ad,PASS,799317,110983,perturbation,celltype,4,190,90,0,EXPLICIT_PERTURBATION_COLUMN,False
SrivatsanTrapnell2020,official_scperturb,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SrivatsanTrapnell2020_sciplex4.h5ad,PASS,98437,58347,perturbation,celltype,3,9,8,0,EXPLICIT_PERTURBATION_COLUMN,False
SunshineHein2023,official_scperturb,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/SunshineHein2023.h5ad,PASS,90380,33538,perturbation,celltype,1,24196,184,13,EXPLICIT_PERTURBATION_COLUMN,False
TCDD,extra_official,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/TCDD.h5ad,PASS,103745,5000,perturbation,celltype,6,2,1,0,EXPLICIT_PERTURBATION_COLUMN,False
TianActivation,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/TianActivation.h5ad,PASS,20169,5045,perturbation,batch,2,93,92,2,EXPLICIT_PERTURBATION_COLUMN,False
TianInhibition,official_generalization,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/TianInhibition.h5ad,PASS,31815,5152,perturbation,batch,4,181,180,15,EXPLICIT_PERTURBATION_COLUMN,False
TianKampmann2019,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2019_day7neuron.h5ad,PASS,182790,33752,perturbation,celltype,1,41358,26,5,EXPLICIT_PERTURBATION_COLUMN,False
TianKampmann2019,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2019_iPSC.h5ad,PASS,275708,33752,perturbation,celltype,1,39162,26,5,EXPLICIT_PERTURBATION_COLUMN,False
TianKampmann2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2021_CRISPRa.h5ad,PASS,21193,33538,perturbation,celltype,1,101,100,2,EXPLICIT_PERTURBATION_COLUMN,False
TianKampmann2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2021_CRISPRi.h5ad,PASS,32300,33538,perturbation,celltype,1,185,184,15,EXPLICIT_PERTURBATION_COLUMN,False
WeinrebKlein2020,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/WeinrebKlein2020.h5ad,PASS,65075,25289,perturbation,celltype,11,5,4,0,EXPLICIT_PERTURBATION_COLUMN,False
Wessels,official_generalization,genetic_combinatorial,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Wessels.h5ad,PASS,19775,5020,perturbation,,1,128,14,1,EXPLICIT_PERTURBATION_COLUMN,False
WesselsSatija2023,official_scperturb,genetic_combinatorial,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/WesselsSatija2023.h5ad,PASS,30707,21052,perturbation,celltype,1,187,28,4,EXPLICIT_PERTURBATION_COLUMN,False
XieHon2017,official_scperturb,enhancer_regulatory,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/XieHon2017.h5ad,PASS,13283,26539,perturbation,cell_line,1,3385,1,0,EXPLICIT_PERTURBATION_COLUMN,False
XuCao2023,official_scperturb,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/XuCao2023.h5ad,PASS,98315,59429,perturbation,celltype,1,204,203,58,EXPLICIT_PERTURBATION_COLUMN,False
ZhaoSims2021,official_scperturb,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ZhaoSims2021.h5ad,PASS,165748,60725,perturbation,celltype,1,7,6,0,EXPLICIT_PERTURBATION_COLUMN,False
crossPatient,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/crossPatient.h5ad,PASS,117363,5000,perturbation,batch,9,3,2,0,EXPLICIT_PERTURBATION_COLUMN,False
crossSpecies,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/crossSpecies.h5ad,PASS,112903,5000,perturbation,,1,4,3,0,EXPLICIT_PERTURBATION_COLUMN,False
kangCrossCell,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/kangCrossCell.h5ad,PASS,13576,5000,perturbation,cell_type,8,2,1,0,EXPLICIT_PERTURBATION_COLUMN,False
kangCrossPatient,extra_official,genetic_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/kangCrossPatient.h5ad,PASS,13093,5000,perturbation,,1,2,1,0,EXPLICIT_PERTURBATION_COLUMN,False
sciplex3,extra_official,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/sciplex3.h5ad,PASS,26046,5000,perturbation,cell_type,3,37,0,0,EXPLICIT_PERTURBATION_COLUMN,False
sciplex3,official_generalization,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_A549.h5ad,PASS,82975,5839,perturbation,cell_type,1,188,186,0,EXPLICIT_PERTURBATION_COLUMN,False
sciplex3,official_generalization,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_K562.h5ad,PASS,150013,5839,perturbation,cell_type,1,188,186,0,EXPLICIT_PERTURBATION_COLUMN,False
sciplex3,official_generalization,chemical_single,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_MCF7.h5ad,PASS,223630,5839,perturbation,cell_type,1,188,186,0,EXPLICIT_PERTURBATION_COLUMN,False
sciplex3,official_generalization,chemical_combinatorial,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/sciplex3_comb.h5ad,PASS,63378,5000,perturbation,cell_type,1,32,6,1,EXPLICIT_PERTURBATION_COLUMN,False
