gene,n_study_families,n_dataset_records,study_families
DHX37,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DIS3,2,5,NadigOConner2024|ReplogleWeissman2022
DKC1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DLD,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DMAP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DNAJC17,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DNAJC8,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DNM1L,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DNMT1,5,10,Frangieh|FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
DNTTIP2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DR1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DSN1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DTL,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DUT,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DYNC1H1,5,8,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
DYNC1I2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EBNA1BP2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
ECD,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EEF2,5,10,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
EIF1AX,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF2B1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF2B5,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF2S1,6,12,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
EIF2S2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF2S3,4,9,FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
EIF3B,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF3CL,2,4,NadigOConner2024|ReplogleWeissman2022
EIF3D,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF3E,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF3I,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF3J,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF3M,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF4E,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF4G2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF5,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
EIF6,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ERCC2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ESF1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ETF1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EXOC7,2,5,NadigOConner2024|ReplogleWeissman2022
EXOSC10,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
EXOSC2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
EXOSC3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
EXOSC7,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
FAM136A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
FAM32A,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
FARSA,4,9,FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
FBL,5,9,Frangieh|FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
FBXO5,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
FTSJ3,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
GARS,4,7,NadigOConner2024|ReplogleWeissman2022|TianInhibition|TianKampmann2021
GBF1,4,8,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
GFER,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
GFM1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
GINS2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
GINS3,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
GLE1,5,9,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
GMPS,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
GNL3,2,5,NadigOConner2024|ReplogleWeissman2022
GNL3L,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
GPN1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
GPN2,2,5,NadigOConner2024|ReplogleWeissman2022
GPN3,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
GRB2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
GRSF1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
GTF2B,2,5,NadigOConner2024|ReplogleWeissman2022
GTF2E1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
GTF2F2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
HARS2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
HAUS5,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
HBS1L,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
HDAC7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
HEATR1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
HGS,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
HMGCS1,4,10,NadigOConner2024|Replogle|ReplogleWeissman2022|TianKampmann2019
HNRNPH1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
HNRNPM,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
HSCB,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
HSPA5,6,12,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
HSPA8,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
HSPA9,6,12,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
HSPE1,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
IARS,2,5,NadigOConner2024|ReplogleWeissman2022
ICE1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
IGBP1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
IK,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ILF2,5,10,Frangieh|FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
IMPDH2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
INO80B,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
INTS3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
INTS4,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
INTS9,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
IPO9,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ISCU,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
ISG20L2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
KANSL1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
KARS,2,5,NadigOConner2024|ReplogleWeissman2022
KAT8,4,8,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
KIF20A,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
KPNB1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
KRI1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
KRR1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
LAS1L,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
LETM1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
LSG1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
LSM3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
LSM4,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
LSM5,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
LSM6,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
LSM7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MAD2L1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MAK16,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MARS,2,5,NadigOConner2024|ReplogleWeissman2022
MAX,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MCM2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MCM3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MCM3AP,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MCM4,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MCM6,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MED10,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MED11,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MED17,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MED19,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MED22,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MED26,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MED28,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MED29,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MED30,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MED4,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
METAP2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MICOS10,2,5,NadigOConner2024|ReplogleWeissman2022
MIOS,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MNAT1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MPHOSPH10,2,5,NadigOConner2024|ReplogleWeissman2022
MRGBP,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL13,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL14,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL17,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL18,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL36,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL37,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL38,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL41,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL43,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL51,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPL54,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPS11,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPS14,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPS2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPS21,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPS22,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPS23,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPS35,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPS7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MRPS9,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MTBP,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MYBBP1A,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
MYBL2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
MZT1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NAA10,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NAA20,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NACA,5,9,Frangieh|FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
NAT10,2,5,NadigOConner2024|ReplogleWeissman2022
NCAPH,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NCBP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NCBP2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NDC80,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NDUFA2,5,8,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
NDUFA8,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NDUFB4,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NDUFB8,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NELFA,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NELFCD,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NFRKB,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NFS1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NOC3L,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NOL11,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NOL12,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NOL8,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NRBP1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NRDE2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NRF1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NSRP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NUBP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NUF2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NUMA1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
NUP133,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NUP160,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NUP54,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NUP85,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
NUTF2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
OGFOD1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
OPA1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ORC1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
OXA1L,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PABPN1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PAF1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PAM16,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PAXBP1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PCID2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PDAP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PDCD2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PDCD7,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PDRG1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PELP1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PET117,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PFDN2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PGAM1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PGD,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PHAX,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PHB2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PMPCB,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PNN,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PNO1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLA1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
POLA2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLD2,5,10,Frangieh|FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
POLD3,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR1B,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR1C,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR2A,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR2D,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR2F,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR2G,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR2H,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR2I,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR2L,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR3D,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR3E,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLR3F,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POLRMT,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
POP4,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POP5,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
POP7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PPARGC1B,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PPIE,2,5,NadigOConner2024|ReplogleWeissman2022
PPIH,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PPIL4,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PPP1R11,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PPP1R8,4,9,NadigOConner2024|Replogle|ReplogleWeissman2022|TianKampmann2019
PPP2R1A,4,9,NadigOConner2024|Replogle|ReplogleWeissman2022|TianKampmann2019
PPP4R2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PRIM2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PRMT1,4,9,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
PRMT5,4,10,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
PRPF18,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PRRC2A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMA2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMA3,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMB2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMB3,2,5,NadigOConner2024|ReplogleWeissman2022
PSMB6,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMC1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMC2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMC4,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMC6,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMD1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMD11,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PSMD12,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
PSMD4,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
PSMD6,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
PTCD1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
QARS,2,5,NadigOConner2024|ReplogleWeissman2022
RABGGTA,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RAD21,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RAE1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RAN,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
RARS2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RBBP4,4,10,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
RBM17,5,8,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
RBM25,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RBM28,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RBM39,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RBM42,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RBM48,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RBMX,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RCL1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
REXO2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RFC2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RFC4,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RFC5,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RINT1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RIOK2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
RMI1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RNASEH2C,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RNF113A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
RNF20,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
