target,gene,split
K562,PSMC1,calibration_pool
K562,RPLP0,calibration_pool
K562,AHCTF1,calibration_pool
K562,PSMC4,calibration_pool
K562,INTS9,calibration_pool
K562,DR1,calibration_pool
K562,RPS2,calibration_pool
K562,RPL34,calibration_pool
K562,SKA3,calibration_pool
K562,RFC2,calibration_pool
K562,ATP6V1A,calibration_pool
K562,STRAP,calibration_pool
K562,PFDN2,calibration_pool
K562,MRPL18,calibration_pool
K562,EXOSC3,calibration_pool
K562,ABCE1,calibration_pool
K562,POLR2I,calibration_pool
K562,RPSA,calibration_pool
K562,CPSF4,calibration_pool
K562,TBL3,calibration_pool
K562,RPA1,calibration_pool
K562,RNPS1,calibration_pool
K562,LSM7,calibration_pool
K562,PSMA2,calibration_pool
K562,CHMP1A,calibration_pool
K562,TRMT112,calibration_pool
K562,MED22,calibration_pool
K562,NDUFB8,calibration_pool
K562,CHMP2A,calibration_pool
K562,MRPS7,calibration_pool
K562,XRN2,calibration_pool
K562,SETD1A,calibration_pool
K562,RNF113A,calibration_pool
K562,CNOT3,calibration_pool
K562,RPS3,calibration_pool
K562,SNAPC1,calibration_pool
K562,IK,calibration_pool
K562,DNAJC17,calibration_pool
K562,HBS1L,calibration_pool
K562,SMN2,calibration_pool
K562,DDX18,calibration_pool
K562,COX7C,calibration_pool
K562,PDAP1,calibration_pool
K562,SF3B5,calibration_pool
K562,IMPDH2,calibration_pool
K562,EIF3I,calibration_pool
K562,YEATS2,calibration_pool
K562,MED26,calibration_pool
K562,MRPL17,calibration_pool
K562,TXNL4A,calibration_pool
K562,NDUFA8,calibration_pool
K562,SLU7,calibration_pool
K562,BUB3,calibration_pool
K562,PPIL4,calibration_pool
K562,SMC3,calibration_pool
K562,RPL18,calibration_pool
K562,ZNF236,calibration_pool
K562,DDX55,calibration_pool
K562,DAD1,calibration_pool
K562,TCERG1,calibration_pool
K562,PAXBP1,calibration_pool
K562,CHD4,calibration_pool
K562,RPL37A,calibration_pool
K562,PNN,calibration_pool
K562,EXOSC2,calibration_pool
K562,CDC123,calibration_pool
K562,NOL8,calibration_pool
K562,SLBP,calibration_pool
K562,HGS,calibration_pool
K562,RRP12,calibration_pool
K562,TADA3,calibration_pool
K562,RPS6,calibration_pool
K562,GRSF1,calibration_pool
K562,TPR,calibration_pool
K562,UPF1,calibration_pool
K562,EBNA1BP2,calibration_pool
K562,PPARGC1B,calibration_pool
K562,LETM1,calibration_pool
K562,MED28,calibration_pool
K562,ISCU,calibration_pool
K562,CCDC59,calibration_pool
K562,SURF6,calibration_pool
K562,AKIRIN2,calibration_pool
K562,KPNB1,calibration_pool
K562,PPIE,calibration_pool
K562,WDR12,calibration_pool
K562,SEC61G,calibration_pool
K562,PPP1R8,calibration_pool
K562,PAF1,calibration_pool
K562,RPL7,calibration_pool
K562,RBM28,calibration_pool
K562,MAK16,calibration_pool
K562,TERF2,calibration_pool
K562,MARS,calibration_pool
K562,GMPS,calibration_pool
K562,GFM1,calibration_pool
K562,SDHC,calibration_pool
K562,RPL32,calibration_pool
K562,DYNC1H1,calibration_pool
K562,SMU1,calibration_pool
K562,USPL1,calibration_pool
K562,TSEN2,calibration_pool
K562,RPL26,calibration_pool
K562,DNAJC8,calibration_pool
K562,U2SURP,calibration_pool
K562,NRBP1,calibration_pool
K562,CUL7,calibration_pool
K562,RAN,calibration_pool
K562,TUBGCP2,calibration_pool
K562,NDC80,calibration_pool
K562,TSG101,calibration_pool
K562,RUVBL1,calibration_pool
K562,MCM4,calibration_pool
K562,CWF19L2,calibration_pool
K562,SRSF7,calibration_pool
K562,RMI1,calibration_pool
K562,CSE1L,calibration_pool
K562,POLR2G,calibration_pool
K562,MRPS11,calibration_pool
K562,MPHOSPH10,calibration_pool
K562,ARGLU1,calibration_pool
K562,DDX41,calibration_pool
K562,EIF4G2,calibration_pool
K562,NCAPH,calibration_pool
K562,NRF1,calibration_pool
K562,BRD8,calibration_pool
K562,KIF20A,calibration_pool
K562,RBBP4,calibration_pool
K562,DNTTIP2,calibration_pool
K562,MED29,calibration_pool
K562,EXOSC7,calibration_pool
K562,PGD,calibration_pool
K562,WDR82,calibration_pool
K562,CEP192,calibration_pool
K562,HDAC7,calibration_pool
K562,EIF6,calibration_pool
K562,DDX52,calibration_pool
K562,CNOT2,calibration_pool
K562,MRPL13,calibration_pool
K562,ALG13,calibration_pool
K562,GTF2B,calibration_pool
K562,ACTR6,calibration_pool
K562,EEF2,calibration_pool
K562,FARSA,calibration_pool
K562,POLA2,calibration_pool
K562,NDUFA2,calibration_pool
K562,ZMAT5,calibration_pool
K562,POLR2A,calibration_pool
K562,RNASEH2C,calibration_pool
K562,SRRM2,calibration_pool
K562,RAD21,calibration_pool
K562,CXXC1,calibration_pool
K562,POLD2,calibration_pool
K562,NAA10,calibration_pool
K562,ANAPC2,calibration_pool
K562,RPS27,calibration_pool
K562,CCNH,calibration_pool
K562,RINT1,calibration_pool
K562,RPS10,calibration_pool
K562,CLP1,calibration_pool
K562,ABCF1,calibration_pool
K562,KAT8,calibration_pool
K562,PRMT1,calibration_pool
K562,LSM3,calibration_pool
K562,HSPA5,calibration_pool
K562,CPSF6,calibration_pool
K562,KANSL1,calibration_pool
K562,PABPN1,calibration_pool
K562,ABT1,calibration_pool
K562,COX17,calibration_pool
K562,CDC6,calibration_pool
K562,IPO9,calibration_pool
K562,FAM136A,calibration_pool
K562,PMPCB,calibration_pool
K562,UQCC2,calibration_pool
K562,SRSF1,calibration_pool
K562,POLA1,calibration_pool
K562,TIMM13,calibration_pool
K562,RIOK2,calibration_pool
K562,UBQLN4,calibration_pool
K562,MZT1,calibration_pool
K562,MICOS10,calibration_pool
K562,SETDB1,calibration_pool
K562,HSPA8,calibration_pool
K562,ETF1,calibration_pool
K562,RAE1,calibration_pool
K562,SFSWAP,calibration_pool
K562,ZCRB1,calibration_pool
K562,POLD3,calibration_pool
K562,GLE1,calibration_pool
K562,SEC61A1,calibration_pool
K562,PGAM1,calibration_pool
K562,TAF7,calibration_pool
K562,CLNS1A,calibration_pool
K562,TOP1,calibration_pool
K562,TREX2,calibration_pool
K562,PRPF18,calibration_pool
K562,BDP1,calibration_pool
K562,CHEK1,calibration_pool
K562,SDE2,calibration_pool
K562,EIF4E,calibration_pool
K562,AP2S1,calibration_pool
K562,PHB2,calibration_pool
K562,ATP6V0B,calibration_pool
K562,PSMA3,calibration_pool
K562,NUF2,calibration_pool
K562,EXOSC10,calibration_pool
K562,POP7,calibration_pool
K562,RPLP1,calibration_pool
K562,SNRPD3,calibration_pool
K562,EIF2S1,calibration_pool
K562,GNL3L,calibration_pool
K562,TAF1C,calibration_pool
K562,NUP54,calibration_pool
K562,RBM25,calibration_pool
K562,PSMD12,calibration_pool
K562,CPSF3,calibration_pool
K562,UXT,calibration_pool
K562,EIF3M,calibration_pool
K562,EIF1AX,calibration_pool
K562,SNRPF,calibration_pool
K562,MRPS22,calibration_pool
K562,RSL1D1,calibration_pool
K562,NCBP2,calibration_pool
K562,THOC6,calibration_pool
K562,CD3EAP,calibration_pool
K562,SSU72,calibration_pool
K562,DHX37,calibration_pool
K562,SRSF10,calibration_pool
K562,DHX33,calibration_pool
K562,WDHD1,calibration_pool
K562,HARS2,calibration_pool
K562,CENPE,calibration_pool
K562,EIF2B5,calibration_pool
K562,MRPS9,calibration_pool
K562,U2AF1,calibration_pool
K562,PCID2,calibration_pool
K562,NUMA1,calibration_pool
K562,NELFCD,calibration_pool
K562,PAM16,calibration_pool
K562,MNAT1,calibration_pool
K562,OXA1L,calibration_pool
K562,OPA1,calibration_pool
K562,TRMT5,calibration_pool
K562,DDB1,calibration_pool
K562,FBL,calibration_pool
K562,DDX23,calibration_pool
K562,PRIM2,calibration_pool
K562,UBL5,calibration_pool
K562,CKAP5,calibration_pool
K562,UTP23,calibration_pool
K562,SCFD1,calibration_pool
K562,GTF2E1,calibration_pool
K562,RPL10,calibration_pool
K562,SS18L2,calibration_pool
K562,TOMM22,calibration_pool
K562,SART3,calibration_pool
K562,RTF1,calibration_pool
K562,UBA52,calibration_pool
K562,SMC1A,calibration_pool
K562,OGFOD1,calibration_pool
K562,POLR1C,calibration_pool
K562,TAF6,calibration_pool
K562,PSMC2,calibration_pool
K562,MCM3,calibration_pool
K562,BCAS2,calibration_pool
K562,TIMM23B,calibration_pool
K562,NRDE2,calibration_pool
K562,RPAP2,calibration_pool
K562,TMX2,calibration_pool
K562,POP5,calibration_pool
K562,ECD,calibration_pool
K562,RPS20,calibration_pool
K562,RPS15A,calibration_pool
K562,MRPL3,calibration_pool
K562,RBMX,calibration_pool
K562,QARS,calibration_pool
K562,MRPL51,calibration_pool
K562,RABGGTA,calibration_pool
K562,TRMT10C,calibration_pool
K562,RPL14,calibration_pool
K562,PELP1,calibration_pool
K562,RNF20,calibration_pool
K562,BYSL,calibration_pool
K562,MRPL14,calibration_pool
K562,MAD2L1,calibration_pool
K562,KARS,calibration_pool
K562,RPS27A,calibration_pool
K562,FTSJ3,calibration_pool
K562,MCM3AP,calibration_pool
K562,DAP3,calibration_pool
K562,MRGBP,calibration_pool
K562,CTR9,calibration_pool
K562,RPS24,calibration_pool
K562,LSM6,calibration_pool
K562,DDX5,calibration_pool
K562,DLD,calibration_pool
K562,PSMB6,calibration_pool
K562,SUGP1,calibration_pool
K562,PSMD11,calibration_pool
K562,CYCS,calibration_pool
K562,NDUFB4,calibration_pool
K562,RPTOR,calibration_pool
K562,CUL2,calibration_pool
K562,NAA20,calibration_pool
K562,CSNK1A1,calibration_pool
K562,SSBP1,calibration_pool
K562,POLRMT,calibration_pool
K562,RPS4X,calibration_pool
K562,NFRKB,calibration_pool
K562,ZFC3H1,calibration_pool
K562,INTS3,calibration_pool
K562,GPN2,calibration_pool
K562,INTS4,calibration_pool
K562,PSMC6,calibration_pool
K562,POLR1B,calibration_pool
K562,SNIP1,calibration_pool
K562,RNMT,calibration_pool
K562,POP4,calibration_pool
K562,DIS3,calibration_pool
K562,NUP133,calibration_pool
K562,ISG20L2,calibration_pool
K562,RFC5,calibration_pool
K562,XRCC5,calibration_pool
K562,MRPS14,calibration_pool
K562,RPL23A,calibration_pool
K562,CENPK,calibration_pool
K562,RPL4,calibration_pool
K562,CSTF3,calibration_pool
K562,PPP2R1A,calibration_pool
K562,HEATR1,calibration_pool
K562,TCOF1,calibration_pool
K562,GPN1,calibration_pool
K562,PSMD4,calibration_pool
K562,MYBL2,calibration_pool
K562,MRPS21,calibration_pool
K562,NOC3L,calibration_pool
K562,SPCS3,calibration_pool
K562,ATR,calibration_pool
K562,MRPL43,calibration_pool
K562,UTP20,calibration_pool
K562,EIF2S3,calibration_pool
K562,PSMD1,calibration_pool
K562,MRPS2,calibration_pool
K562,MIOS,calibration_pool
K562,MRPS35,calibration_pool
K562,FAM32A,calibration_pool
K562,ESF1,calibration_pool
K562,INO80B,calibration_pool
K562,RCL1,calibration_pool
K562,PRRC2A,calibration_pool
K562,GPN3,calibration_pool
K562,PDCD7,calibration_pool
K562,HNRNPH1,calibration_pool
K562,TSR1,calibration_pool
K562,SLC7A6OS,calibration_pool
K562,PPP1R11,calibration_pool
K562,RPL35A,calibration_pool
K562,MYBBP1A,calibration_pool
K562,RPS28,calibration_pool
K562,ORC1,calibration_pool
K562,SAP18,calibration_pool
K562,SMC4,calibration_pool
K562,CHCHD4,calibration_pool
K562,TTK,calibration_pool
K562,ATF4,calibration_pool
K562,CCNK,calibration_pool
K562,GRB2,calibration_pool
K562,PPP4R2,calibration_pool
K562,ZMAT2,calibration_pool
K562,IARS,calibration_pool
K562,TIMM9,calibration_pool
K562,ACTB,calibration_pool
K562,UBA1,calibration_pool
K562,TAF10,calibration_pool
K562,LSM4,calibration_pool
K562,RBM48,calibration_pool
K562,RPL5,calibration_pool
K562,NACA,calibration_pool
K562,DUT,calibration_pool
K562,GBF1,calibration_pool
K562,REXO2,calibration_pool
K562,TBCB,calibration_pool
K562,SDC1,calibration_pool
K562,VPS54,calibration_pool
K562,RBM17,calibration_pool
K562,RPL17,calibration_pool
K562,POLR2D,calibration_pool
K562,DTL,calibration_pool
K562,PNO1,calibration_pool
K562,NUP160,calibration_pool
K562,RPL19,calibration_pool
K562,PDRG1,calibration_pool
K562,THOC7,calibration_pool
K562,BRIX1,calibration_pool
K562,LSG1,calibration_pool
K562,EIF3J,calibration_pool
K562,LAS1L,calibration_pool
K562,WDR33,calibration_pool
K562,ARL2,calibration_pool
K562,EIF5,calibration_pool
K562,POLR3D,calibration_pool
K562,WBP11,calibration_pool
K562,RPL38,calibration_pool
K562,SUPV3L1,calibration_pool
K562,PET117,calibration_pool
K562,ALDOA,calibration_pool
K562,MED10,calibration_pool
K562,GARS,calibration_pool
K562,STARD7,calibration_pool
K562,CINP,calibration_pool
K562,KRI1,calibration_pool
K562,MRPL54,calibration_pool
K562,IGBP1,calibration_pool
K562,NOL12,calibration_pool
K562,EIF2B1,calibration_pool
K562,DENR,calibration_pool
K562,RPP30,calibration_pool
K562,TELO2,calibration_pool
K562,DNMT1,calibration_pool
K562,COPS2,calibration_pool
K562,MED4,calibration_pool
K562,BNIP1,calibration_pool
RPE1,UPF1,evaluation
RPE1,INTS4,evaluation
RPE1,TRMT5,evaluation
RPE1,RPS27A,evaluation
RPE1,DDX10,evaluation
RPE1,CUL7,evaluation
RPE1,CPSF4,evaluation
RPE1,EIF3E,evaluation
RPE1,PSMB6,evaluation
RPE1,ANAPC2,evaluation
RPE1,TCERG1,evaluation
RPE1,PPIL4,evaluation
RPE1,NRDE2,evaluation
RPE1,WDR24,evaluation
RPE1,RPL37A,evaluation
RPE1,GARS,evaluation
RPE1,KPNB1,evaluation
RPE1,CDC5L,evaluation
RPE1,RINT1,evaluation
RPE1,BGLAP,evaluation
RPE1,SNW1,evaluation
RPE1,DYNC1I2,evaluation
RPE1,MARS,evaluation
RPE1,SNRPF,evaluation
RPE1,PPP2R1A,evaluation
RPE1,SKA3,evaluation
RPE1,HDAC7,evaluation
RPE1,TOP1,evaluation
RPE1,CSE1L,evaluation
RPE1,NRBP1,evaluation
RPE1,AHCTF1,evaluation
RPE1,CXXC1,evaluation
RPE1,CTR9,evaluation
RPE1,GRB2,evaluation
RPE1,MTBP,evaluation
RPE1,PHB2,evaluation
RPE1,EIF3J,evaluation
RPE1,TELO2,evaluation
RPE1,CPSF3,evaluation
RPE1,RBM42,evaluation
RPE1,SMG5,evaluation
RPE1,BRIX1,evaluation
RPE1,GPN3,evaluation
RPE1,TRA2B,evaluation
RPE1,ARGLU1,evaluation
RPE1,PTCD1,evaluation
RPE1,PAF1,evaluation
RPE1,STRAP,evaluation
RPE1,ILF2,evaluation
RPE1,NUBP1,evaluation
RPE1,IGBP1,evaluation
RPE1,NFS1,evaluation
RPE1,WDR12,evaluation
RPE1,NCAPH,evaluation
RPE1,QARS,evaluation
RPE1,PRRC2A,evaluation
RPE1,NOC3L,evaluation
RPE1,DHX37,evaluation
RPE1,RRN3,evaluation
RPE1,CHD4,evaluation
RPE1,RPS24,evaluation
RPE1,DLD,evaluation
RPE1,HBS1L,evaluation
RPE1,COPS4,evaluation
RPE1,SART3,evaluation
RPE1,NCBP2,evaluation
RPE1,RNMT,evaluation
RPE1,RPL5,evaluation
RPE1,UTP23,evaluation
RPE1,TIMM23B,evaluation
RPE1,INTS3,evaluation
RPE1,EIF2S3,evaluation
RPE1,NELFA,evaluation
RPE1,EIF3I,evaluation
RPE1,TSEN2,evaluation
RPE1,WDHD1,evaluation
RPE1,SDAD1,evaluation
RPE1,MCM3AP,evaluation
RPE1,CDC73,evaluation
RPE1,ZMAT2,evaluation
RPE1,NAA20,evaluation
RPE1,SURF6,evaluation
RPE1,CKAP5,evaluation
RPE1,TSR1,evaluation
RPE1,HSPE1,calibration_pool
RPE1,RPA1,calibration_pool
RPE1,ACTB,calibration_pool
RPE1,GTF2F2,calibration_pool
RPE1,RAD21,calibration_pool
RPE1,SF3B5,calibration_pool
RPE1,PELP1,calibration_pool
RPE1,POLD3,calibration_pool
RPE1,RPS27,calibration_pool
RPE1,SETD1A,calibration_pool
RPE1,CEP192,calibration_pool
RPE1,POLR3E,calibration_pool
RPE1,MYBBP1A,calibration_pool
RPE1,UBQLN4,calibration_pool
RPE1,ALDOA,calibration_pool
RPE1,SFPQ,calibration_pool
RPE1,IARS,calibration_pool
RPE1,DDX41,calibration_pool
RPE1,DTL,calibration_pool
RPE1,HNRNPH1,calibration_pool
RPE1,INO80B,calibration_pool
RPE1,RPL10,calibration_pool
RPE1,SRRM1,calibration_pool
RPE1,RPL17,calibration_pool
RPE1,HSPA5,calibration_pool
RPE1,MCM6,calibration_pool
RPE1,WDR33,calibration_pool
RPE1,RBBP4,calibration_pool
RPE1,SCFD1,calibration_pool
RPE1,CCDC84,calibration_pool
RPE1,MAX,calibration_pool
RPE1,SNAPC1,calibration_pool
RPE1,SNRNP200,calibration_pool
RPE1,ACTR6,calibration_pool
RPE1,DUT,calibration_pool
RPE1,CHCHD4,calibration_pool
RPE1,ABCF1,calibration_pool
RPE1,DENR,calibration_pool
RPE1,RNF20,calibration_pool
RPE1,GFM1,calibration_pool
RPE1,PSMA3,calibration_pool
RPE1,ATP6V0B,calibration_pool
RPE1,SMC1A,calibration_pool
RPE1,TRMT112,calibration_pool
RPE1,POLA2,calibration_pool
RPE1,SNRNP70,calibration_pool
RPE1,TSG101,calibration_pool
RPE1,PRMT5,calibration_pool
RPE1,PRMT1,calibration_pool
RPE1,SCAF1,calibration_pool
RPE1,ECD,calibration_pool
RPE1,MYBL2,calibration_pool
RPE1,DDX46,calibration_pool
RPE1,EIF3D,calibration_pool
RPE1,DHX33,calibration_pool
RPE1,SRRM2,calibration_pool
RPE1,GBF1,calibration_pool
RPE1,RBM39,calibration_pool
RPE1,CCT4,calibration_pool
RPE1,SMU1,calibration_pool
RPE1,SMN2,calibration_pool
RPE1,ORC1,calibration_pool
RPE1,RPS6,calibration_pool
RPE1,PSMB3,calibration_pool
RPE1,TTI1,calibration_pool
RPE1,CSTF3,calibration_pool
RPE1,ZNF236,calibration_pool
RPE1,VPS54,calibration_pool
RPE1,UBL5,calibration_pool
RPE1,EIF2S2,calibration_pool
RPE1,SSU72,calibration_pool
RPE1,UXT,calibration_pool
RPE1,PPARGC1B,calibration_pool
RPE1,POLA1,calibration_pool
RPE1,EIF2B5,calibration_pool
RPE1,TMX2,calibration_pool
RPE1,DDX55,calibration_pool
RPE1,CWF19L2,calibration_pool
RPE1,DR1,calibration_pool
RPE1,EIF1AX,calibration_pool
RPE1,CDC123,calibration_pool
RPE1,UBA3,calibration_pool
RPE1,FAM136A,calibration_pool
RPE1,TAF6,calibration_pool
RPE1,SNIP1,calibration_pool
RPE1,PRIM2,calibration_pool
RPE1,NAA10,calibration_pool
RPE1,GLE1,calibration_pool
RPE1,SRSF7,calibration_pool
RPE1,MNAT1,calibration_pool
RPE1,AARS,calibration_pool
RPE1,SARS2,calibration_pool
RPE1,UFM1,calibration_pool
RPE1,RTF1,calibration_pool
RPE1,DDX52,calibration_pool
RPE1,NUP133,calibration_pool
RPE1,CCT7,calibration_pool
RPE1,SETDB1,calibration_pool
RPE1,CMTR1,calibration_pool
RPE1,TREX2,calibration_pool
RPE1,DNMT1,calibration_pool
RPE1,NOL8,calibration_pool
RPE1,SRBD1,calibration_pool
RPE1,MIOS,calibration_pool
RPE1,HSPA9,calibration_pool
RPE1,RFC2,calibration_pool
RPE1,DMAP1,calibration_pool
RPE1,EXOSC3,calibration_pool
RPE1,ERCC2,calibration_pool
RPE1,POP4,calibration_pool
RPE1,RPS2,calibration_pool
RPE1,RBM25,calibration_pool
RPE1,TOMM22,calibration_pool
RPE1,TTK,calibration_pool
RPE1,RPL26,calibration_pool
RPE1,UQCRQ,calibration_pool
RPE1,USPL1,calibration_pool
RPE1,UBAP1,calibration_pool
RPE1,MRPL36,calibration_pool
RPE1,SLC39A9,calibration_pool
RPE1,TAF7,calibration_pool
RPE1,POLR3F,calibration_pool
RPE1,GINS2,calibration_pool
RPE1,NRF1,calibration_pool
RPE1,ABCE1,calibration_pool
RPE1,YEATS2,calibration_pool
RPE1,EIF2S1,calibration_pool
RPE1,DSN1,calibration_pool
RPE1,PDAP1,calibration_pool
RPE1,DDB1,calibration_pool
RPE1,NUP54,calibration_pool
RPE1,RPS3,calibration_pool
RPE1,LAS1L,calibration_pool
RPE1,PAXBP1,calibration_pool
RPE1,RFC4,calibration_pool
RPE1,ZFC3H1,calibration_pool
RPE1,RBM17,calibration_pool
RPE1,MED11,calibration_pool
RPE1,U2AF1,calibration_pool
RPE1,WDR61,calibration_pool
RPE1,THAP11,calibration_pool
RPE1,SAMM50,calibration_pool
RPE1,RPL32,calibration_pool
RPE1,COX11,calibration_pool
RPE1,YTHDC1,calibration_pool
RPE1,GFER,calibration_pool
RPE1,DDX5,calibration_pool
RPE1,PPP4R2,calibration_pool
RPE1,SLC7A6OS,calibration_pool
RPE1,UBA52,calibration_pool
RPE1,DNAJC17,calibration_pool
RPE1,MED19,calibration_pool
RPE1,UTP20,calibration_pool
RPE1,WAC,calibration_pool
RPE1,ZNF574,calibration_pool
RPE1,DHX36,calibration_pool
RPE1,RPAP1,calibration_pool
RPE1,RPS15,calibration_pool
RPE1,BDP1,calibration_pool
RPE1,EIF2B1,calibration_pool
RPE1,NUP85,calibration_pool
RPE1,TIMM44,calibration_pool
RPE1,LSM6,calibration_pool
RPE1,RARS2,calibration_pool
RPE1,CNOT3,calibration_pool
RPE1,FAM32A,calibration_pool
RPE1,RPS3A,calibration_pool
RPE1,CD3EAP,calibration_pool
RPE1,PCID2,calibration_pool
RPE1,POLRMT,calibration_pool
RPE1,PGAM1,calibration_pool
RPE1,NUP160,calibration_pool
RPE1,IPO9,calibration_pool
RPE1,PAM16,calibration_pool
RPE1,POLR2I,calibration_pool
RPE1,PNN,calibration_pool
RPE1,TPR,calibration_pool
RPE1,UPF2,calibration_pool
RPE1,EIF6,calibration_pool
RPE1,ETF1,calibration_pool
RPE1,PET117,calibration_pool
RPE1,EIF4G2,calibration_pool
RPE1,DDX47,calibration_pool
RPE1,EIF3CL,calibration_pool
RPE1,EIF3M,calibration_pool
RPE1,DHX16,calibration_pool
RPE1,POLR2F,calibration_pool
RPE1,CCDC59,calibration_pool
RPE1,DAD1,calibration_pool
RPE1,PRPF18,calibration_pool
RPE1,ATP6V1A,calibration_pool
RPE1,U2SURP,calibration_pool
RPE1,HGS,calibration_pool
RPE1,RNASEH2C,calibration_pool
RPE1,RPL14,calibration_pool
RPE1,ZCRB1,calibration_pool
RPE1,RPL12,calibration_pool
RPE1,OGFOD1,calibration_pool
RPE1,NELFCD,calibration_pool
RPE1,SPCS3,calibration_pool
RPE1,RABGGTA,calibration_pool
RPE1,THOC7,calibration_pool
RPE1,SLBP,calibration_pool
RPE1,ICE1,calibration_pool
RPE1,LSM3,calibration_pool
RPE1,CENPE,calibration_pool
RPE1,NFRKB,calibration_pool
RPE1,NSRP1,calibration_pool
RPE1,CPSF1,calibration_pool
RPE1,CSNK2B,calibration_pool
RPE1,ATRIP,calibration_pool
RPE1,TERF2,calibration_pool
RPE1,ZMAT5,calibration_pool
RPE1,RNF113A,calibration_pool
RPE1,WBP11,calibration_pool
RPE1,LSM7,calibration_pool
RPE1,RPL34,calibration_pool
RPE1,DDX23,calibration_pool
RPE1,RPP30,calibration_pool
RPE1,POP7,calibration_pool
RPE1,SDC1,calibration_pool
RPE1,GNL3,calibration_pool
RPE1,OPA1,calibration_pool
RPE1,ARL2,calibration_pool
RPE1,MED4,calibration_pool
RPE1,UBA1,calibration_pool
RPE1,LETM1,calibration_pool
RPE1,KAT8,calibration_pool
RPE1,POP5,calibration_pool
RPE1,LSG1,calibration_pool
RPE1,RPL4,calibration_pool
