split,condition
train,S1PR2+ctrl
train,SAMD1+TGFBR2
train,SAMD1+UBASH3B
train,SAMD1+ZBTB1
train,SET+ctrl
train,SGK1+TBX2
train,SGK1+TBX3
train,SNAI1+UBASH3B
train,SNAI1+ZBTB10
train,SNAI1+ctrl
train,SPI1+ctrl
train,STIL+ctrl
train,TBX2+TBX3
train,TBX2+ctrl
train,TGFBR2+ctrl
train,TMSB4X+ctrl
train,TSC22D1+ctrl
train,UBASH3A+UBASH3B
train,UBASH3A+ctrl
train,UBASH3B+ZBTB25
train,UBASH3B+ctrl
train,ZBTB1+ctrl
train,ZBTB10+ctrl
train,ZBTB25+ctrl
train,ZNF318+ctrl
val,AHR+FEV
val,AHR+KLF1
val,AHR+ctrl
val,ARID1A+ctrl
val,BAK1+BCL2L11
val,BAK1+KLF1
val,BAK1+TMSB4X
val,BAK1+ctrl
val,BCL2L11+TGFBR2
val,BCL2L11+ctrl
val,BCORL1+ctrl
val,BPGM+SAMD1
val,BPGM+ZBTB1
val,CBFA2T3+FEV
val,CBFA2T3+POU3F2
val,CBFA2T3+PRDM1
val,CBL+CNN1
val,CBL+PTPN12
val,CBL+PTPN9
val,CBL+TGFBR2
test,ARRDC3+ctrl
test,ATL1+ctrl
test,BPGM+ctrl
test,CBFA2T3+ctrl
test,CDKN1C+ctrl
test,CEBPA+ctrl
test,CEBPB+ctrl
test,CELF2+ctrl
test,COL1A1+ctrl
test,COL2A1+ctrl
test,CSRNP1+ctrl
test,DLX2+ctrl
test,HK2+ctrl
test,HOXA13+ctrl
test,NCL+ctrl
test,RREB1+ctrl
test,SAMD1+ctrl
test,SGK1+ctrl
test,SLC38A2+ctrl
test,SLC4A1+ctrl
test,SLC6A9+ctrl
test,TBX3+ctrl
test,TP73+ctrl
test,ZC3HAV1+ctrl
