target,condition,source_context,n_source_perturbed_cells,n_source_batches,n_source_control_cells
K562,CRKL+ctrl,RPE1,35,24,11485
K562,CS+ctrl,RPE1,99,48,11485
K562,CSE1L+ctrl,RPE1,252,56,11485
K562,CSNK2B+ctrl,RPE1,68,36,11485
K562,CSTF3+ctrl,RPE1,58,36,11485
K562,CTPS1+ctrl,RPE1,25,21,11485
K562,CTR9+ctrl,RPE1,38,26,11485
K562,CTU2+ctrl,RPE1,81,42,11485
K562,CUL2+ctrl,RPE1,29,24,11485
K562,CUL3+ctrl,RPE1,93,45,11485
K562,CUL7+ctrl,RPE1,36,27,11485
K562,CWC15+ctrl,RPE1,57,36,11485
K562,CWC25+ctrl,RPE1,31,26,11485
K562,CWF19L2+ctrl,RPE1,58,35,11485
K562,CXXC1+ctrl,RPE1,92,43,11485
K562,CYC1+ctrl,RPE1,73,42,11485
K562,CYREN+ctrl,RPE1,45,35,11485
K562,DAD1+ctrl,RPE1,36,25,11485
K562,DARS+ctrl,RPE1,30,25,11485
K562,DAXX+ctrl,RPE1,111,48,11485
K562,DCTN3+ctrl,RPE1,144,50,11485
K562,DCTN4+ctrl,RPE1,110,48,11485
K562,DDB1+ctrl,RPE1,74,40,11485
K562,DDX1+ctrl,RPE1,121,50,11485
K562,DDX10+ctrl,RPE1,32,26,11485
K562,DDX19A+ctrl,RPE1,393,56,11485
K562,DDX23+ctrl,RPE1,168,50,11485
K562,DDX41+ctrl,RPE1,30,28,11485
K562,DDX46+ctrl,RPE1,95,43,11485
K562,DDX47+ctrl,RPE1,93,45,11485
K562,DDX5+ctrl,RPE1,196,55,11485
K562,DDX52+ctrl,RPE1,34,21,11485
K562,DDX55+ctrl,RPE1,76,38,11485
K562,DDX59+ctrl,RPE1,46,34,11485
K562,DENR+ctrl,RPE1,77,37,11485
K562,DGCR8+ctrl,RPE1,43,35,11485
K562,DHPS+ctrl,RPE1,73,38,11485
K562,DHX16+ctrl,RPE1,71,40,11485
K562,DHX33+ctrl,RPE1,44,29,11485
K562,DHX36+ctrl,RPE1,71,42,11485
K562,DHX37+ctrl,RPE1,40,25,11485
K562,DHX8+ctrl,RPE1,88,43,11485
K562,DHX9+ctrl,RPE1,82,45,11485
K562,DKC1+ctrl,RPE1,23,20,11485
K562,DLD+ctrl,RPE1,71,37,11485
K562,DMAP1+ctrl,RPE1,43,30,11485
K562,DNAJC17+ctrl,RPE1,73,41,11485
K562,DNAJC8+ctrl,RPE1,138,50,11485
K562,DNMT1+ctrl,RPE1,102,44,11485
K562,DOLK+ctrl,RPE1,121,48,11485
K562,DPAGT1+ctrl,RPE1,60,33,11485
K562,DPY19L4+ctrl,RPE1,184,54,11485
K562,DR1+ctrl,RPE1,37,28,11485
K562,DSN1+ctrl,RPE1,38,28,11485
K562,DSTYK+ctrl,RPE1,258,56,11485
K562,DTL+ctrl,RPE1,47,34,11485
K562,DUT+ctrl,RPE1,46,32,11485
K562,DYNC1H1+ctrl,RPE1,29,24,11485
K562,DYNC1I2+ctrl,RPE1,52,33,11485
K562,DYNLL2+ctrl,RPE1,212,54,11485
K562,EARS2+ctrl,RPE1,129,49,11485
K562,EBNA1BP2+ctrl,RPE1,32,25,11485
K562,ECD+ctrl,RPE1,48,35,11485
K562,EDC4+ctrl,RPE1,94,40,11485
K562,EEF2+ctrl,RPE1,70,39,11485
K562,EEFSEC+ctrl,RPE1,35,24,11485
K562,EFR3A+ctrl,RPE1,214,55,11485
K562,EHMT2+ctrl,RPE1,171,52,11485
K562,EIF1AX+ctrl,RPE1,52,32,11485
K562,EIF2B1+ctrl,RPE1,100,44,11485
K562,EIF2B5+ctrl,RPE1,114,48,11485
K562,EIF2S1+ctrl,RPE1,75,42,11485
K562,EIF2S2+ctrl,RPE1,30,26,11485
K562,EIF2S3+ctrl,RPE1,62,38,11485
K562,EIF3B+ctrl,RPE1,109,45,11485
K562,EIF3CL+ctrl,RPE1,337,56,11485
K562,EIF3D+ctrl,RPE1,49,33,11485
K562,EIF3E+ctrl,RPE1,46,33,11485
K562,EIF3I+ctrl,RPE1,72,40,11485
K562,EIF3J+ctrl,RPE1,64,41,11485
K562,EIF3L+ctrl,RPE1,114,49,11485
K562,EIF3M+ctrl,RPE1,63,36,11485
K562,EIF4A1+ctrl,RPE1,50,33,11485
K562,EIF4A3+ctrl,RPE1,20,17,11485
K562,EIF4E+ctrl,RPE1,65,38,11485
K562,EIF4G2+ctrl,RPE1,150,50,11485
K562,EIF4H+ctrl,RPE1,148,47,11485
K562,EIF6+ctrl,RPE1,57,32,11485
K562,ELL+ctrl,RPE1,168,54,11485
K562,ELOB+ctrl,RPE1,126,48,11485
K562,ELOF1+ctrl,RPE1,150,53,11485
K562,ELP2+ctrl,RPE1,72,41,11485
K562,ELP6+ctrl,RPE1,79,40,11485
K562,EMC7+ctrl,RPE1,134,52,11485
K562,ENY2+ctrl,RPE1,79,42,11485
K562,ERCC2+ctrl,RPE1,94,41,11485
K562,ESPL1+ctrl,RPE1,26,22,11485
K562,ESYT1+ctrl,RPE1,57,38,11485
K562,ESYT2+ctrl,RPE1,49,36,11485
K562,ETF1+ctrl,RPE1,84,44,11485
K562,EWSR1+ctrl,RPE1,88,40,11485
K562,EXOC1+ctrl,RPE1,46,31,11485
K562,EXOC2+ctrl,RPE1,85,42,11485
K562,EXOC3+ctrl,RPE1,52,32,11485
K562,EXOC4+ctrl,RPE1,27,20,11485
K562,EXOC5+ctrl,RPE1,91,44,11485
K562,EXOC7+ctrl,RPE1,32,21,11485
K562,EXOSC1+ctrl,RPE1,46,31,11485
K562,EXOSC2+ctrl,RPE1,42,30,11485
K562,EXOSC3+ctrl,RPE1,54,34,11485
K562,EXOSC7+ctrl,RPE1,43,27,11485
K562,FAM136A+ctrl,RPE1,504,56,11485
K562,FAM32A+ctrl,RPE1,44,33,11485
K562,FARSA+ctrl,RPE1,57,35,11485
K562,FASN+ctrl,RPE1,71,42,11485
K562,FBRSL1+ctrl,RPE1,77,41,11485
K562,FBXL14+ctrl,RPE1,91,45,11485
K562,FBXO42+ctrl,RPE1,876,56,11485
K562,FBXW7+ctrl,RPE1,197,55,11485
K562,FEN1+ctrl,RPE1,47,26,11485
K562,FKBP9+ctrl,RPE1,42,30,11485
K562,FNBP4+ctrl,RPE1,114,49,11485
K562,FOXO1+ctrl,RPE1,65,34,11485
K562,FOXS1+ctrl,RPE1,88,43,11485
K562,FTSJ3+ctrl,RPE1,41,29,11485
K562,FUNDC2+ctrl,RPE1,41,30,11485
K562,FXN+ctrl,RPE1,33,25,11485
K562,FYN+ctrl,RPE1,146,55,11485
K562,GABPB1+ctrl,RPE1,48,32,11485
K562,GARS+ctrl,RPE1,99,43,11485
K562,GART+ctrl,RPE1,45,35,11485
K562,GBF1+ctrl,RPE1,93,47,11485
K562,GEMIN4+ctrl,RPE1,79,46,11485
K562,GEMIN6+ctrl,RPE1,45,32,11485
K562,GEMIN8+ctrl,RPE1,45,26,11485
K562,GET3+ctrl,RPE1,161,53,11485
K562,GFER+ctrl,RPE1,67,39,11485
K562,GFM1+ctrl,RPE1,1669,56,11485
K562,GFOD2+ctrl,RPE1,123,51,11485
K562,GGPS1+ctrl,RPE1,52,36,11485
K562,GINS2+ctrl,RPE1,57,32,11485
K562,GIT2+ctrl,RPE1,48,33,11485
K562,GLE1+ctrl,RPE1,81,42,11485
K562,GLRX3+ctrl,RPE1,79,41,11485
K562,GMIP+ctrl,RPE1,140,53,11485
K562,GNL3+ctrl,RPE1,34,26,11485
K562,GON4L+ctrl,RPE1,107,48,11485
K562,GPN2+ctrl,RPE1,37,25,11485
K562,GPN3+ctrl,RPE1,34,28,11485
K562,GRB2+ctrl,RPE1,112,48,11485
K562,GRSF1+ctrl,RPE1,122,49,11485
K562,GRWD1+ctrl,RPE1,69,39,11485
K562,GSK3B+ctrl,RPE1,84,43,11485
K562,GTF2E1+ctrl,RPE1,46,33,11485
K562,GTF2F2+ctrl,RPE1,55,34,11485
K562,GTF2H2+ctrl,RPE1,47,29,11485
K562,GTF2H3+ctrl,RPE1,66,36,11485
K562,GTF3A+ctrl,RPE1,32,25,11485
K562,GTF3C2+ctrl,RPE1,77,39,11485
K562,GTF3C4+ctrl,RPE1,889,56,11485
K562,GTF3C5+ctrl,RPE1,103,50,11485
K562,GYG1+ctrl,RPE1,284,55,11485
K562,H2AFZ+ctrl,RPE1,263,54,11485
K562,HAUS1+ctrl,RPE1,48,33,11485
K562,HAUS3+ctrl,RPE1,37,25,11485
K562,HAUS5+ctrl,RPE1,90,46,11485
K562,HAUS6+ctrl,RPE1,61,36,11485
K562,HAUS7+ctrl,RPE1,117,50,11485
K562,HAUS8+ctrl,RPE1,169,56,11485
K562,HBS1L+ctrl,RPE1,45,30,11485
K562,HDAC7+ctrl,RPE1,86,43,11485
K562,HERC1+ctrl,RPE1,90,45,11485
K562,HEXIM1+ctrl,RPE1,48,34,11485
K562,HGS+ctrl,RPE1,44,33,11485
K562,HIPK1+ctrl,RPE1,69,42,11485
K562,HJURP+ctrl,RPE1,116,48,11485
K562,HMGA1+ctrl,RPE1,67,36,11485
K562,HMGB3+ctrl,RPE1,91,42,11485
K562,HMGCS1+ctrl,RPE1,259,55,11485
K562,HMX3+ctrl,RPE1,54,36,11485
K562,HNRNPH1+ctrl,RPE1,145,55,11485
K562,HNRNPK+ctrl,RPE1,69,40,11485
K562,HNRNPR+ctrl,RPE1,51,31,11485
K562,HPS5+ctrl,RPE1,39,28,11485
K562,HSCB+ctrl,RPE1,227,54,11485
K562,HSD17B10+ctrl,RPE1,809,56,11485
K562,HSPA14+ctrl,RPE1,104,47,11485
K562,HSPA5+ctrl,RPE1,64,36,11485
K562,HSPA9+ctrl,RPE1,94,43,11485
K562,HSPE1+ctrl,RPE1,98,47,11485
K562,HSPH1+ctrl,RPE1,25,21,11485
K562,HTATSF1+ctrl,RPE1,57,39,11485
K562,HYOU1+ctrl,RPE1,64,40,11485
K562,IARS+ctrl,RPE1,32,26,11485
K562,ICE1+ctrl,RPE1,61,37,11485
K562,IGBP1+ctrl,RPE1,71,39,11485
K562,IK+ctrl,RPE1,191,56,11485
K562,ILF2+ctrl,RPE1,54,35,11485
K562,IMPA2+ctrl,RPE1,40,27,11485
K562,INF2+ctrl,RPE1,115,54,11485
K562,ING3+ctrl,RPE1,133,49,11485
K562,INO80B+ctrl,RPE1,80,44,11485
K562,INO80C+ctrl,RPE1,147,53,11485
K562,INO80D+ctrl,RPE1,58,35,11485
K562,INO80E+ctrl,RPE1,79,40,11485
K562,INPPL1+ctrl,RPE1,108,46,11485
K562,INTS10+ctrl,RPE1,90,45,11485
K562,INTS13+ctrl,RPE1,288,56,11485
K562,INTS3+ctrl,RPE1,65,40,11485
K562,INTS4+ctrl,RPE1,50,35,11485
K562,INTS9+ctrl,RPE1,27,21,11485
K562,IPO11+ctrl,RPE1,77,41,11485
K562,IPO7+ctrl,RPE1,45,31,11485
K562,IPO9+ctrl,RPE1,106,48,11485
K562,IRF2BP2+ctrl,RPE1,76,41,11485
K562,ISCA2+ctrl,RPE1,143,51,11485
K562,ISCU+ctrl,RPE1,20,19,11485
K562,IST1+ctrl,RPE1,182,55,11485
K562,ISY1+ctrl,RPE1,40,24,11485
K562,JMJD6+ctrl,RPE1,183,55,11485
K562,KANSL1+ctrl,RPE1,27,24,11485
K562,KARS+ctrl,RPE1,26,21,11485
K562,KAT8+ctrl,RPE1,53,39,11485
K562,KCMF1+ctrl,RPE1,42,29,11485
K562,KDM1A+ctrl,RPE1,178,54,11485
K562,KDM6A+ctrl,RPE1,213,55,11485
K562,KIAA0586+ctrl,RPE1,52,37,11485
K562,KIF18A+ctrl,RPE1,26,19,11485
K562,KIF18B+ctrl,RPE1,34,26,11485
K562,KLF7+ctrl,RPE1,46,29,11485
K562,KPNB1+ctrl,RPE1,180,53,11485
K562,KRI1+ctrl,RPE1,43,30,11485
K562,LAMTOR1+ctrl,RPE1,321,55,11485
K562,LAMTOR3+ctrl,RPE1,38,28,11485
K562,LAS1L+ctrl,RPE1,41,28,11485
K562,LDB1+ctrl,RPE1,78,38,11485
K562,LETM1+ctrl,RPE1,153,50,11485
K562,LMO2+ctrl,RPE1,268,54,11485
K562,LRP5+ctrl,RPE1,104,47,11485
K562,LRR1+ctrl,RPE1,47,28,11485
K562,LSG1+ctrl,RPE1,60,37,11485
K562,LSM12+ctrl,RPE1,111,45,11485
K562,LSM3+ctrl,RPE1,48,28,11485
K562,LSM4+ctrl,RPE1,68,38,11485
K562,LSM5+ctrl,RPE1,72,36,11485
K562,LSM6+ctrl,RPE1,44,26,11485
K562,LSM7+ctrl,RPE1,44,30,11485
K562,MAD2L1+ctrl,RPE1,95,44,11485
K562,MAD2L2+ctrl,RPE1,229,55,11485
K562,MARS+ctrl,RPE1,31,23,11485
K562,MASTL+ctrl,RPE1,28,24,11485
K562,MAX+ctrl,RPE1,85,43,11485
K562,MBD3+ctrl,RPE1,187,50,11485
K562,MBIP+ctrl,RPE1,34,25,11485
K562,MBNL1+ctrl,RPE1,37,26,11485
K562,MBTPS1+ctrl,RPE1,184,55,11485
K562,MBTPS2+ctrl,RPE1,151,53,11485
K562,MCM2+ctrl,RPE1,41,28,11485
K562,MCM3+ctrl,RPE1,179,52,11485
K562,MCM3AP+ctrl,RPE1,70,41,11485
K562,MCM4+ctrl,RPE1,36,26,11485
K562,MCM6+ctrl,RPE1,120,52,11485
K562,MED11+ctrl,RPE1,32,23,11485
K562,MED16+ctrl,RPE1,44,25,11485
K562,MED18+ctrl,RPE1,35,26,11485
K562,MED19+ctrl,RPE1,195,54,11485
K562,MED22+ctrl,RPE1,29,24,11485
K562,MED24+ctrl,RPE1,34,24,11485
K562,MED29+ctrl,RPE1,29,24,11485
K562,MED4+ctrl,RPE1,59,36,11485
K562,MEN1+ctrl,RPE1,99,44,11485
K562,METAP1+ctrl,RPE1,55,39,11485
K562,MIOS+ctrl,RPE1,130,49,11485
K562,MIS12+ctrl,RPE1,25,21,11485
K562,MIS18BP1+ctrl,RPE1,33,27,11485
K562,MLST8+ctrl,RPE1,93,48,11485
K562,MMP17+ctrl,RPE1,61,37,11485
K562,MMS19+ctrl,RPE1,86,41,11485
K562,MNAT1+ctrl,RPE1,76,41,11485
K562,MON1A+ctrl,RPE1,172,55,11485
K562,MPHOSPH10+ctrl,RPE1,27,22,11485
K562,MRGBP+ctrl,RPE1,32,22,11485
K562,MRM1+ctrl,RPE1,29,25,11485
K562,MRPL34+ctrl,RPE1,159,53,11485
K562,MRPL36+ctrl,RPE1,1565,56,11485
K562,MRPL38+ctrl,RPE1,256,55,11485
K562,MRPS14+ctrl,RPE1,30,21,11485
K562,MRPS33+ctrl,RPE1,89,45,11485
K562,MRTO4+ctrl,RPE1,14,12,11485
K562,MTBP+ctrl,RPE1,86,41,11485
K562,MYBBP1A+ctrl,RPE1,31,23,11485
K562,MYBL2+ctrl,RPE1,877,56,11485
K562,MYSM1+ctrl,RPE1,106,51,11485
K562,NAA10+ctrl,RPE1,58,39,11485
K562,NAA20+ctrl,RPE1,89,43,11485
K562,NAA35+ctrl,RPE1,308,56,11485
K562,NAA50+ctrl,RPE1,53,34,11485
K562,NACA+ctrl,RPE1,25,19,11485
K562,NAF1+ctrl,RPE1,60,34,11485
K562,NCAPG+ctrl,RPE1,28,21,11485
K562,NCAPG2+ctrl,RPE1,39,30,11485
K562,NCAPH+ctrl,RPE1,36,23,11485
K562,NCAPH2+ctrl,RPE1,60,40,11485
K562,NCBP1+ctrl,RPE1,28,24,11485
K562,NCBP2+ctrl,RPE1,34,25,11485
K562,NDC1+ctrl,RPE1,109,48,11485
K562,NDC80+ctrl,RPE1,94,47,11485
K562,NDUFA2+ctrl,RPE1,29,23,11485
K562,NDUFA3+ctrl,RPE1,169,51,11485
K562,NELFA+ctrl,RPE1,60,34,11485
K562,NELFCD+ctrl,RPE1,111,50,11485
K562,NFKBIE+ctrl,RPE1,62,39,11485
K562,NFRKB+ctrl,RPE1,148,51,11485
K562,NFS1+ctrl,RPE1,56,32,11485
K562,NFYB+ctrl,RPE1,78,41,11485
K562,NFYC+ctrl,RPE1,111,50,11485
K562,NHP2+ctrl,RPE1,44,29,11485
K562,NKAPD1+ctrl,RPE1,117,47,11485
K562,NOC3L+ctrl,RPE1,40,29,11485
K562,NOL11+ctrl,RPE1,29,21,11485
K562,NOL12+ctrl,RPE1,28,21,11485
K562,NOL7+ctrl,RPE1,44,32,11485
K562,NOL8+ctrl,RPE1,37,29,11485
K562,NOMO1+ctrl,RPE1,69,42,11485
K562,NOMO3+ctrl,RPE1,115,50,11485
K562,NOP9+ctrl,RPE1,39,28,11485
K562,NPM1+ctrl,RPE1,40,27,11485
K562,NRBP1+ctrl,RPE1,149,53,11485
K562,NRDE2+ctrl,RPE1,46,30,11485
K562,NRF1+ctrl,RPE1,54,33,11485
K562,NSF+ctrl,RPE1,62,38,11485
K562,NSL1+ctrl,RPE1,51,29,11485
K562,NSMCE2+ctrl,RPE1,73,37,11485
K562,NSRP1+ctrl,RPE1,40,29,11485
K562,NUB1+ctrl,RPE1,144,51,11485
K562,NUBP1+ctrl,RPE1,37,29,11485
K562,NUBP2+ctrl,RPE1,88,39,11485
K562,NUDT15+ctrl,RPE1,69,34,11485
K562,NUF2+ctrl,RPE1,58,34,11485
K562,NUP133+ctrl,RPE1,106,47,11485
K562,NUP160+ctrl,RPE1,62,39,11485
K562,NUP205+ctrl,RPE1,52,32,11485
K562,NUP35+ctrl,RPE1,64,35,11485
K562,NUP43+ctrl,RPE1,71,37,11485
K562,NUP54+ctrl,RPE1,79,41,11485
K562,NUP85+ctrl,RPE1,74,42,11485
K562,NUTF2+ctrl,RPE1,55,36,11485
K562,OGFOD1+ctrl,RPE1,52,32,11485
K562,OPA1+ctrl,RPE1,60,32,11485
K562,ORC1+ctrl,RPE1,56,32,11485
K562,ORC3+ctrl,RPE1,57,38,11485
K562,ORC4+ctrl,RPE1,159,52,11485
K562,ORC6+ctrl,RPE1,33,27,11485
K562,OSGEP+ctrl,RPE1,69,42,11485
K562,OSTC+ctrl,RPE1,28,22,11485
K562,PABPC1+ctrl,RPE1,77,41,11485
K562,PABPC4+ctrl,RPE1,75,43,11485
K562,PABPN1+ctrl,RPE1,36,24,11485
K562,PAF1+ctrl,RPE1,67,35,11485
K562,PAFAH1B1+ctrl,RPE1,26,18,11485
K562,PALB2+ctrl,RPE1,36,25,11485
K562,PAM16+ctrl,RPE1,72,37,11485
K562,PARN+ctrl,RPE1,153,49,11485
K562,PARS2+ctrl,RPE1,292,56,11485
K562,PAXBP1+ctrl,RPE1,138,50,11485
K562,PCBP2+ctrl,RPE1,182,53,11485
K562,PCID2+ctrl,RPE1,145,52,11485
K562,PCM1+ctrl,RPE1,27,21,11485
K562,PCNX3+ctrl,RPE1,171,53,11485
K562,PDAP1+ctrl,RPE1,36,28,11485
K562,PDCD2+ctrl,RPE1,29,23,11485
K562,PDCD5+ctrl,RPE1,132,48,11485
K562,PDCD7+ctrl,RPE1,32,25,11485
K562,PDHA1+ctrl,RPE1,27,20,11485
K562,PDRG1+ctrl,RPE1,27,19,11485
K562,PELP1+ctrl,RPE1,70,41,11485
K562,PET117+ctrl,RPE1,154,54,11485
K562,PEX19+ctrl,RPE1,68,36,11485
K562,PFDN2+ctrl,RPE1,39,30,11485
K562,PGAM1+ctrl,RPE1,115,46,11485
K562,PGAM5+ctrl,RPE1,173,54,11485
K562,PGK1+ctrl,RPE1,110,48,11485
K562,PGS1+ctrl,RPE1,95,48,11485
K562,PHAX+ctrl,RPE1,108,49,11485
K562,PHB2+ctrl,RPE1,57,33,11485
K562,PHF10+ctrl,RPE1,124,47,11485
K562,PI4KA+ctrl,RPE1,68,38,11485
K562,PIGH+ctrl,RPE1,40,32,11485
K562,PIK3R4+ctrl,RPE1,68,37,11485
K562,PLK4+ctrl,RPE1,174,54,11485
K562,PMPCB+ctrl,RPE1,145,51,11485
K562,PNKP+ctrl,RPE1,54,33,11485
K562,PNN+ctrl,RPE1,66,40,11485
K562,POGLUT3+ctrl,RPE1,768,56,11485
K562,POLA1+ctrl,RPE1,53,35,11485
K562,POLA2+ctrl,RPE1,43,31,11485
K562,POLD2+ctrl,RPE1,97,48,11485
K562,POLD3+ctrl,RPE1,45,31,11485
