dataset_name,task_id,task_key,context,perturbation,n_cells,context_col,perturbation_col
Parekh,19,Parekh::task_00019,hPSC,SPI1,72,cell_type,perturbation
Parekh,20,Parekh::task_00020,multilineage,ASCL3,67,cell_type,perturbation
Parekh,21,Parekh::task_00021,multilineage,CDX2,69,cell_type,perturbation
Parekh,22,Parekh::task_00022,multilineage,FOXP1,64,cell_type,perturbation
Parekh,23,Parekh::task_00023,multilineage,HAND2,52,cell_type,perturbation
Parekh,24,Parekh::task_00024,multilineage,HOXA10,42,cell_type,perturbation
Parekh,25,Parekh::task_00025,multilineage,KLF4,80,cell_type,perturbation
Parekh,26,Parekh::task_00026,multilineage,LMX1A,57,cell_type,perturbation
Parekh,27,Parekh::task_00027,multilineage,MYOG,56,cell_type,perturbation
Parekh,28,Parekh::task_00028,multilineage,SNAI2,36,cell_type,perturbation
Parekh,29,Parekh::task_00029,multilineage,SPI1,51,cell_type,perturbation
kangCrossCell,0,kangCrossCell::task_00000,B,stimulated,80,cell_type,perturbation
kangCrossCell,1,kangCrossCell::task_00001,CD4_T,stimulated,80,cell_type,perturbation
kangCrossCell,2,kangCrossCell::task_00002,CD8_T,stimulated,80,cell_type,perturbation
kangCrossCell,3,kangCrossCell::task_00003,CD14_Mono,stimulated,80,cell_type,perturbation
kangCrossCell,4,kangCrossCell::task_00004,CD16_Mono,stimulated,80,cell_type,perturbation
kangCrossCell,5,kangCrossCell::task_00005,DC,stimulated,80,cell_type,perturbation
kangCrossCell,6,kangCrossCell::task_00006,NK,stimulated,80,cell_type,perturbation
kangCrossCell,7,kangCrossCell::task_00007,T,stimulated,80,cell_type,perturbation
kangCrossPatient,0,kangCrossPatient::task_00000,Pat101,stimulated,80,condition1,perturbation
kangCrossPatient,1,kangCrossPatient::task_00001,Pat107,stimulated,80,condition1,perturbation
kangCrossPatient,2,kangCrossPatient::task_00002,Pat1015,stimulated,80,condition1,perturbation
kangCrossPatient,3,kangCrossPatient::task_00003,Pat1016,stimulated,80,condition1,perturbation
kangCrossPatient,4,kangCrossPatient::task_00004,Pat1039,stimulated,80,condition1,perturbation
kangCrossPatient,5,kangCrossPatient::task_00005,Pat1244,stimulated,80,condition1,perturbation
kangCrossPatient,6,kangCrossPatient::task_00006,Pat1256,stimulated,80,condition1,perturbation
kangCrossPatient,7,kangCrossPatient::task_00007,Pat1488,stimulated,80,condition1,perturbation
TCDD,0,TCDD::task_00000,Cholangiocytes,TCDD,80,condition1,perturbation
TCDD,1,TCDD::task_00001,EndothelialCells,TCDD,80,condition1,perturbation
TCDD,2,TCDD::task_00002,HepatocytesCentral,TCDD,80,condition1,perturbation
TCDD,3,TCDD::task_00003,HepatocytesPortal,TCDD,80,condition1,perturbation
TCDD,4,TCDD::task_00004,PortalFibroblasts,TCDD,80,condition1,perturbation
TCDD,5,TCDD::task_00005,StellateCells,TCDD,80,condition1,perturbation
sciplex3,0,sciplex3::task_00000,A549,Alvespimycin_10.0,80,cell_type,perturbation
sciplex3,1,sciplex3::task_00001,A549,Alvespimycin_100.0,80,cell_type,perturbation
sciplex3,2,sciplex3::task_00002,A549,Alvespimycin_1000.0,66,cell_type,perturbation
sciplex3,3,sciplex3::task_00003,A549,Alvespimycin_10000.0,61,cell_type,perturbation
sciplex3,4,sciplex3::task_00004,A549,Belinostat_10.0,80,cell_type,perturbation
sciplex3,5,sciplex3::task_00005,A549,Belinostat_100.0,80,cell_type,perturbation
sciplex3,6,sciplex3::task_00006,A549,Belinostat_1000.0,80,cell_type,perturbation
sciplex3,7,sciplex3::task_00007,A549,Belinostat_10000.0,73,cell_type,perturbation
sciplex3,8,sciplex3::task_00008,A549,Dacinostat_10.0,80,cell_type,perturbation
sciplex3,9,sciplex3::task_00009,A549,Dacinostat_100.0,80,cell_type,perturbation
sciplex3,10,sciplex3::task_00010,A549,Dacinostat_1000.0,80,cell_type,perturbation
sciplex3,11,sciplex3::task_00011,A549,Dacinostat_10000.0,71,cell_type,perturbation
sciplex3,12,sciplex3::task_00012,A549,Flavopiridol_10.0,80,cell_type,perturbation
sciplex3,13,sciplex3::task_00013,A549,Flavopiridol_100.0,77,cell_type,perturbation
sciplex3,14,sciplex3::task_00014,A549,Flavopiridol_1000.0,57,cell_type,perturbation
sciplex3,15,sciplex3::task_00015,A549,Flavopiridol_10000.0,64,cell_type,perturbation
sciplex3,16,sciplex3::task_00016,A549,Givinostat_10.0,80,cell_type,perturbation
sciplex3,17,sciplex3::task_00017,A549,Givinostat_100.0,80,cell_type,perturbation
sciplex3,18,sciplex3::task_00018,A549,Givinostat_1000.0,80,cell_type,perturbation
sciplex3,19,sciplex3::task_00019,A549,Givinostat_10000.0,80,cell_type,perturbation
sciplex3,20,sciplex3::task_00020,A549,Hesperadin_10.0,45,cell_type,perturbation
sciplex3,21,sciplex3::task_00021,A549,Hesperadin_100.0,40,cell_type,perturbation
sciplex3,22,sciplex3::task_00022,A549,Hesperadin_1000.0,30,cell_type,perturbation
sciplex3,23,sciplex3::task_00023,A549,Hesperadin_10000.0,38,cell_type,perturbation
sciplex3,24,sciplex3::task_00024,A549,Quisinostat_10.0,80,cell_type,perturbation
sciplex3,25,sciplex3::task_00025,A549,Quisinostat_100.0,80,cell_type,perturbation
sciplex3,26,sciplex3::task_00026,A549,Quisinostat_1000.0,63,cell_type,perturbation
sciplex3,27,sciplex3::task_00027,A549,Quisinostat_10000.0,76,cell_type,perturbation
sciplex3,28,sciplex3::task_00028,A549,TAK901_10.0,80,cell_type,perturbation
sciplex3,29,sciplex3::task_00029,A549,TAK901_100.0,57,cell_type,perturbation
sciplex3,30,sciplex3::task_00030,A549,TAK901_1000.0,54,cell_type,perturbation
sciplex3,31,sciplex3::task_00031,A549,TAK901_10000.0,73,cell_type,perturbation
sciplex3,32,sciplex3::task_00032,A549,Tanespimycin_10.0,80,cell_type,perturbation
sciplex3,33,sciplex3::task_00033,A549,Tanespimycin_100.0,80,cell_type,perturbation
sciplex3,34,sciplex3::task_00034,A549,Tanespimycin_1000.0,80,cell_type,perturbation
sciplex3,35,sciplex3::task_00035,A549,Tanespimycin_10000.0,63,cell_type,perturbation
sciplex3,36,sciplex3::task_00036,K562,Alvespimycin_10.0,80,cell_type,perturbation
sciplex3,37,sciplex3::task_00037,K562,Alvespimycin_100.0,80,cell_type,perturbation
sciplex3,38,sciplex3::task_00038,K562,Alvespimycin_1000.0,80,cell_type,perturbation
sciplex3,39,sciplex3::task_00039,K562,Alvespimycin_10000.0,80,cell_type,perturbation
sciplex3,40,sciplex3::task_00040,K562,Belinostat_10.0,80,cell_type,perturbation
sciplex3,41,sciplex3::task_00041,K562,Belinostat_100.0,80,cell_type,perturbation
sciplex3,42,sciplex3::task_00042,K562,Belinostat_1000.0,80,cell_type,perturbation
sciplex3,43,sciplex3::task_00043,K562,Belinostat_10000.0,66,cell_type,perturbation
sciplex3,44,sciplex3::task_00044,K562,Dacinostat_10.0,80,cell_type,perturbation
sciplex3,45,sciplex3::task_00045,K562,Dacinostat_100.0,80,cell_type,perturbation
sciplex3,46,sciplex3::task_00046,K562,Dacinostat_1000.0,80,cell_type,perturbation
sciplex3,47,sciplex3::task_00047,K562,Dacinostat_10000.0,66,cell_type,perturbation
sciplex3,48,sciplex3::task_00048,K562,Flavopiridol_10.0,80,cell_type,perturbation
sciplex3,49,sciplex3::task_00049,K562,Flavopiridol_100.0,80,cell_type,perturbation
sciplex3,50,sciplex3::task_00050,K562,Flavopiridol_1000.0,18,cell_type,perturbation
sciplex3,51,sciplex3::task_00051,K562,Flavopiridol_10000.0,11,cell_type,perturbation
sciplex3,52,sciplex3::task_00052,K562,Givinostat_10.0,80,cell_type,perturbation
sciplex3,53,sciplex3::task_00053,K562,Givinostat_100.0,80,cell_type,perturbation
sciplex3,54,sciplex3::task_00054,K562,Givinostat_1000.0,80,cell_type,perturbation
sciplex3,55,sciplex3::task_00055,K562,Givinostat_10000.0,80,cell_type,perturbation
sciplex3,56,sciplex3::task_00056,K562,Hesperadin_10.0,80,cell_type,perturbation
sciplex3,57,sciplex3::task_00057,K562,Hesperadin_100.0,80,cell_type,perturbation
sciplex3,58,sciplex3::task_00058,K562,Hesperadin_1000.0,80,cell_type,perturbation
sciplex3,59,sciplex3::task_00059,K562,Hesperadin_10000.0,80,cell_type,perturbation
sciplex3,60,sciplex3::task_00060,K562,Quisinostat_10.0,80,cell_type,perturbation
sciplex3,61,sciplex3::task_00061,K562,Quisinostat_100.0,80,cell_type,perturbation
sciplex3,62,sciplex3::task_00062,K562,Quisinostat_1000.0,80,cell_type,perturbation
sciplex3,63,sciplex3::task_00063,K562,Quisinostat_10000.0,58,cell_type,perturbation
sciplex3,64,sciplex3::task_00064,K562,TAK901_10.0,80,cell_type,perturbation
sciplex3,65,sciplex3::task_00065,K562,TAK901_100.0,80,cell_type,perturbation
sciplex3,66,sciplex3::task_00066,K562,TAK901_1000.0,80,cell_type,perturbation
sciplex3,67,sciplex3::task_00067,K562,TAK901_10000.0,80,cell_type,perturbation
sciplex3,68,sciplex3::task_00068,K562,Tanespimycin_10.0,80,cell_type,perturbation
sciplex3,69,sciplex3::task_00069,K562,Tanespimycin_100.0,80,cell_type,perturbation
sciplex3,70,sciplex3::task_00070,K562,Tanespimycin_1000.0,80,cell_type,perturbation
sciplex3,71,sciplex3::task_00071,K562,Tanespimycin_10000.0,80,cell_type,perturbation
sciplex3,72,sciplex3::task_00072,MCF7,Alvespimycin_10.0,80,cell_type,perturbation
sciplex3,73,sciplex3::task_00073,MCF7,Alvespimycin_100.0,80,cell_type,perturbation
sciplex3,74,sciplex3::task_00074,MCF7,Alvespimycin_1000.0,71,cell_type,perturbation
sciplex3,75,sciplex3::task_00075,MCF7,Belinostat_10.0,80,cell_type,perturbation
sciplex3,76,sciplex3::task_00076,MCF7,Belinostat_100.0,80,cell_type,perturbation
sciplex3,77,sciplex3::task_00077,MCF7,Belinostat_1000.0,80,cell_type,perturbation
sciplex3,78,sciplex3::task_00078,MCF7,Belinostat_10000.0,80,cell_type,perturbation
sciplex3,79,sciplex3::task_00079,MCF7,Dacinostat_10.0,80,cell_type,perturbation
sciplex3,80,sciplex3::task_00080,MCF7,Dacinostat_100.0,80,cell_type,perturbation
sciplex3,81,sciplex3::task_00081,MCF7,Dacinostat_1000.0,80,cell_type,perturbation
sciplex3,82,sciplex3::task_00082,MCF7,Dacinostat_10000.0,80,cell_type,perturbation
sciplex3,83,sciplex3::task_00083,MCF7,Flavopiridol_10.0,80,cell_type,perturbation
sciplex3,84,sciplex3::task_00084,MCF7,Flavopiridol_100.0,80,cell_type,perturbation
sciplex3,85,sciplex3::task_00085,MCF7,Givinostat_10.0,80,cell_type,perturbation
sciplex3,86,sciplex3::task_00086,MCF7,Givinostat_100.0,80,cell_type,perturbation
sciplex3,87,sciplex3::task_00087,MCF7,Givinostat_1000.0,80,cell_type,perturbation
sciplex3,88,sciplex3::task_00088,MCF7,Givinostat_10000.0,80,cell_type,perturbation
sciplex3,89,sciplex3::task_00089,MCF7,Hesperadin_10.0,80,cell_type,perturbation
sciplex3,90,sciplex3::task_00090,MCF7,Hesperadin_100.0,80,cell_type,perturbation
sciplex3,91,sciplex3::task_00091,MCF7,Hesperadin_1000.0,80,cell_type,perturbation
sciplex3,92,sciplex3::task_00092,MCF7,Hesperadin_10000.0,80,cell_type,perturbation
sciplex3,93,sciplex3::task_00093,MCF7,Quisinostat_10.0,80,cell_type,perturbation
sciplex3,94,sciplex3::task_00094,MCF7,Quisinostat_100.0,80,cell_type,perturbation
sciplex3,95,sciplex3::task_00095,MCF7,Quisinostat_1000.0,80,cell_type,perturbation
sciplex3,96,sciplex3::task_00096,MCF7,Quisinostat_10000.0,80,cell_type,perturbation
sciplex3,97,sciplex3::task_00097,MCF7,TAK901_10.0,80,cell_type,perturbation
sciplex3,98,sciplex3::task_00098,MCF7,TAK901_100.0,80,cell_type,perturbation
sciplex3,99,sciplex3::task_00099,MCF7,TAK901_1000.0,80,cell_type,perturbation
sciplex3,100,sciplex3::task_00100,MCF7,TAK901_10000.0,71,cell_type,perturbation
sciplex3,101,sciplex3::task_00101,MCF7,Tanespimycin_10.0,80,cell_type,perturbation
sciplex3,102,sciplex3::task_00102,MCF7,Tanespimycin_100.0,80,cell_type,perturbation
sciplex3,103,sciplex3::task_00103,MCF7,Tanespimycin_1000.0,68,cell_type,perturbation
sciplex3,104,sciplex3::task_00104,MCF7,Tanespimycin_10000.0,80,cell_type,perturbation
ShifrutMarson2018,0,ShifrutMarson2018::task_00000,D1,ARID1A,80,patient,perturbation
ShifrutMarson2018,1,ShifrutMarson2018::task_00001,D1,BTLA,80,patient,perturbation
ShifrutMarson2018,2,ShifrutMarson2018::task_00002,D1,C10orf54,80,patient,perturbation
ShifrutMarson2018,3,ShifrutMarson2018::task_00003,D1,CBLB,80,patient,perturbation
ShifrutMarson2018,4,ShifrutMarson2018::task_00004,D1,CD3D,80,patient,perturbation
ShifrutMarson2018,5,ShifrutMarson2018::task_00005,D1,CD5,80,patient,perturbation
ShifrutMarson2018,6,ShifrutMarson2018::task_00006,D1,CDKN1B,80,patient,perturbation
ShifrutMarson2018,7,ShifrutMarson2018::task_00007,D1,DGKA,80,patient,perturbation
ShifrutMarson2018,8,ShifrutMarson2018::task_00008,D1,DGKZ,80,patient,perturbation
ShifrutMarson2018,9,ShifrutMarson2018::task_00009,D1,HAVCR2,80,patient,perturbation
ShifrutMarson2018,10,ShifrutMarson2018::task_00010,D1,LAG3,80,patient,perturbation
ShifrutMarson2018,11,ShifrutMarson2018::task_00011,D1,LCP2,80,patient,perturbation
ShifrutMarson2018,12,ShifrutMarson2018::task_00012,D1,MEF2D,80,patient,perturbation
ShifrutMarson2018,13,ShifrutMarson2018::task_00013,D1,PDCD1,80,patient,perturbation
ShifrutMarson2018,14,ShifrutMarson2018::task_00014,D1,RASA2,80,patient,perturbation
ShifrutMarson2018,15,ShifrutMarson2018::task_00015,D1,SOCS1,80,patient,perturbation
ShifrutMarson2018,16,ShifrutMarson2018::task_00016,D1,STAT6,80,patient,perturbation
ShifrutMarson2018,17,ShifrutMarson2018::task_00017,D1,TCEB2,80,patient,perturbation
ShifrutMarson2018,18,ShifrutMarson2018::task_00018,D1,TMEM222,80,patient,perturbation
ShifrutMarson2018,19,ShifrutMarson2018::task_00019,D1,TNFRSF9,80,patient,perturbation
ShifrutMarson2018,20,ShifrutMarson2018::task_00020,D2,ARID1A,80,patient,perturbation
ShifrutMarson2018,21,ShifrutMarson2018::task_00021,D2,BTLA,80,patient,perturbation
ShifrutMarson2018,22,ShifrutMarson2018::task_00022,D2,C10orf54,80,patient,perturbation
ShifrutMarson2018,23,ShifrutMarson2018::task_00023,D2,CBLB,80,patient,perturbation
ShifrutMarson2018,24,ShifrutMarson2018::task_00024,D2,CD3D,80,patient,perturbation
ShifrutMarson2018,25,ShifrutMarson2018::task_00025,D2,CD5,80,patient,perturbation
ShifrutMarson2018,26,ShifrutMarson2018::task_00026,D2,CDKN1B,80,patient,perturbation
ShifrutMarson2018,27,ShifrutMarson2018::task_00027,D2,DGKA,80,patient,perturbation
ShifrutMarson2018,28,ShifrutMarson2018::task_00028,D2,DGKZ,80,patient,perturbation
ShifrutMarson2018,29,ShifrutMarson2018::task_00029,D2,HAVCR2,80,patient,perturbation
ShifrutMarson2018,30,ShifrutMarson2018::task_00030,D2,LAG3,80,patient,perturbation
ShifrutMarson2018,31,ShifrutMarson2018::task_00031,D2,LCP2,80,patient,perturbation
ShifrutMarson2018,32,ShifrutMarson2018::task_00032,D2,MEF2D,80,patient,perturbation
ShifrutMarson2018,33,ShifrutMarson2018::task_00033,D2,PDCD1,80,patient,perturbation
ShifrutMarson2018,34,ShifrutMarson2018::task_00034,D2,RASA2,80,patient,perturbation
ShifrutMarson2018,35,ShifrutMarson2018::task_00035,D2,SOCS1,80,patient,perturbation
ShifrutMarson2018,36,ShifrutMarson2018::task_00036,D2,STAT6,80,patient,perturbation
ShifrutMarson2018,37,ShifrutMarson2018::task_00037,D2,TCEB2,80,patient,perturbation
ShifrutMarson2018,38,ShifrutMarson2018::task_00038,D2,TMEM222,80,patient,perturbation
ShifrutMarson2018,39,ShifrutMarson2018::task_00039,D2,TNFRSF9,80,patient,perturbation
