dataset_name,setting,split_id,heldout,n_train,n_test,shared_opposite_axis_count,cold_start_level
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Quisinostat_100.0,Quisinostat_100.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Quisinostat_1000.0,Quisinostat_1000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Quisinostat_10000.0,Quisinostat_10000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::TAK901_10.0,TAK901_10.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::TAK901_100.0,TAK901_100.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::TAK901_1000.0,TAK901_1000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::TAK901_10000.0,TAK901_10000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Tanespimycin_10.0,Tanespimycin_10.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Tanespimycin_100.0,Tanespimycin_100.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Tanespimycin_1000.0,Tanespimycin_1000.0,102,3,3,new_perturbation
sciplex3,E35_column_holdout,sciplex3::E35_column_holdout::Tanespimycin_10000.0,Tanespimycin_10000.0,102,3,3,new_perturbation
ShifrutMarson2018,E35_row_holdout,ShifrutMarson2018::E35_row_holdout::D1,D1,20,20,20,new_context
ShifrutMarson2018,E35_row_holdout,ShifrutMarson2018::E35_row_holdout::D2,D2,20,20,20,new_context
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::ARID1A,ARID1A,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::BTLA,BTLA,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::C10orf54,C10orf54,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::CBLB,CBLB,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::CD3D,CD3D,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::CD5,CD5,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::CDKN1B,CDKN1B,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::DGKA,DGKA,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::DGKZ,DGKZ,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::HAVCR2,HAVCR2,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::LAG3,LAG3,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::LCP2,LCP2,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::MEF2D,MEF2D,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::PDCD1,PDCD1,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::RASA2,RASA2,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::SOCS1,SOCS1,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::STAT6,STAT6,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::TCEB2,TCEB2,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::TMEM222,TMEM222,38,2,2,new_perturbation
ShifrutMarson2018,E35_column_holdout,ShifrutMarson2018::E35_column_holdout::TNFRSF9,TNFRSF9,38,2,2,new_perturbation
